"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Виноградник
Тарас
Теофілович","Волощук
Ігор
Іванович","Галига
Петро
Степанович","Гергелюк
Володимир
Іванович","Зелінський
Микола
Романович","Круховська
Галина
Василівна","Круць
Микола
Федорович","Купчак
Володимир
Романович","Людера
Володимир
Ярославович","Мельник
Василь
Іванович","Олексюк
Олег
Миколайович","Пилянська
Марта
Ігорівна","Поліш
Володимир
Віталійович","Симак
Дмитро
Михайлович","Фученко
Василь
Павлович","Шевчук
Євген
Вільямович","Дата підписання протоколу"
"260087","84","Івано-Франківська область","Народний дім, фойє
вул.Я.Осмомисла, 1, м.Галич, Галицький р-н, Івано-Франківська обл., 77100","2052","820","2030","3","1230","2","1232","","0","1230","2","1232","30","1202","18","26","3","111","26","30","206","627","4","4","6","4","48","84","1","4","29.10.12"
"260088","84","Івано-Франківська область","школа №2, спортивний зал
вул.Львівська, 9, м.Галич, Галицький р-н, Івано-Франківська обл., 77100","1252","507","1234","10","737","8","745","","0","737","8","745","11","734","1","12","2","66","10","9","158","373","3","0","6","3","26","59","1","5","29.10.12"
"260089","84","Івано-Франківська область","школа №1, актовий зал
вул.Шевченка, 7, м.Галич, Галицький р-н, Івано-Франківська обл., 77100","1992","868","1980","5","1119","5","1124","","0","1119","5","1124","28","1096","12","28","3","113","25","15","185","583","3","2","9","1","54","60","2","1","29.10.12"
"260090","84","Івано-Франківська область","школа №1, актовий зал
вул.Степана Бандери, 60, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1716","636","1680","20","1060","20","1080","","0","1060","20","1080","23","1057","4","11","8","96","25","10","86","639","2","5","4","2","37","123","0","5","29.10.12"
"260091","84","Івано-Франківська область","Вище професійне училище торгівлі та ресторанного сервісу, актовий зал
вул.Ольги Басараб, 1, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1808","642","1812","7","1159","7","1166","","0","1159","7","1166","19","1147","7","8","4","104","34","4","126","626","6","3","5","7","60","149","1","3","29.10.12"
"260092","84","Івано-Франківська область","школа №3, фойє
вул.Коновальця, 3, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1904","641","1884","6","1257","6","1263","","0","1257","6","1263","36","1227","9","13","13","138","21","11","110","705","2","5","3","7","62","124","2","2","29.10.12"
"260093","84","Івано-Франківська область","Бурштинський енергетичний коледж, читальний зал
вул.Калуська, 4, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1716","624","1700","12","1081","11","1092","","0","1081","11","1092","24","1068","5","17","5","125","16","13","115","573","5","3","4","6","65","113","2","1","29.10.12"
"260094","84","Івано-Франківська область","музична школа, актовий зал
вул.Енергетиків, 15, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1560","545","1554","17","1001","14","1015","","0","1001","14","1015","25","990","5","17","1","69","30","6","93","619","8","1","3","3","50","82","2","1","29.10.12"
"260095","84","Івано-Франківська область","Палац культури ""Прометей"", фойє
вул.Міцкевича, 4, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","1484","594","1475","13","879","11","890","","0","879","11","890","25","865","7","17","2","73","17","16","79","512","12","5","4","1","56","62","1","1","29.10.12"
"260096","84","Івано-Франківська область","школа №2, актовий зал
вул.Січових Стрільців, 18, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","736","269","724","6","464","3","467","","0","464","3","467","10","457","5","5","1","34","11","7","46","275","2","2","3","1","11","53","0","1","29.10.12"
"260097","84","Івано-Франківська область","міська гімназія, актовий зал
вул.Січових Стрільців, 31, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","712","252","701","9","451","9","460","","0","451","9","460","17","443","2","10","3","34","4","8","47","250","6","0","6","0","28","42","0","3","29.10.12"
"260098","84","Івано-Франківська область","народний дім, великий зал
вул.Перемоги, народний дім, с.Вигівка, Галицький р-н, Івано-Франківська обл., 77111","296","74","307","12","210","12","222","","0","210","12","222","0","222","1","0","0","14","5","2","57","126","0","0","4","0","1","12","0","0","28.10.12"
"260099","84","Івано-Франківська область","будинок культури, фойє
вул.Гайова, 5, смт Більшівці, Галицький р-н, Івано-Франківська обл., 77147","2160","768","2150","70","1327","65","1392","","0","1327","65","1392","25","1367","4","17","7","76","35","7","185","702","2","1","19","3","21","285","2","1","29.10.12"
"260100","84","Івано-Франківська область","Народний дім, актовий зал
вул.Галицька, 38, с.Блюдники, Галицький р-н, Івано-Франківська обл., 77161","528","164","526","29","336","28","364","","0","336","28","364","6","358","4","6","1","12","1","3","109","183","0","0","4","1","11","23","0","0","29.10.12"
"260101","84","Івано-Франківська область","бібліотека, читальний зал
вул.С.Бандери, 9, с.Темирівці, Галицький р-н, Івано-Франківська обл., 77161","208","52","208","11","145","11","156","","0","145","11","156","2","154","1","0","1","16","2","0","18","95","0","0","9","0","4","8","0","0","28.10.12"
"260102","84","Івано-Франківська область","школа, кабінет медсестри
вул.Незалежності, 62, с.Пукасівці, Галицький р-н, Івано-Франківська обл., 77161","144","28","141","7","109","7","116","","0","109","7","116","2","114","0","5","2","4","0","0","25","64","0","3","1","0","3","7","0","0","29.10.12"
"260103","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Центральна, 1, с.Ганнівці, Галицький р-н, Івано-Франківська обл., 77161","116","18","117","8","90","8","98","","0","90","8","98","2","96","0","4","0","8","0","0","41","35","0","0","0","0","4","3","0","1","29.10.12"
"260104","84","Івано-Франківська область","школа, актовий зал
вул.Довга, 20, с.Курипів, Галицький р-н, Івано-Франківська обл., 77161","152","42","152","3","107","3","110","","0","107","3","110","3","107","1","5","0","3","4","0","31","53","0","0","0","0","4","6","0","0","29.10.12"
"260105","84","Івано-Франківська область","будинок культури, танцювальний зал
вул.Шевченка, 18, с.Бовшів, Галицький р-н, Івано-Франківська обл., 77132","1100","269","1103","68","771","60","831","","0","771","60","831","14","817","2","3","0","26","31","0","183","379","1","0","9","2","9","169","2","1","29.10.12"
"260110","84","Івано-Франківська область","сільський клуб, зал
вул.Молодіжна, 70, с.Делієве, Галицький р-н, Івано-Франківська обл., 77173","336","116","332","21","199","21","220","","0","199","21","220","6","214","0","2","1","8","1","1","74","102","0","0","2","0","0","22","1","0","29.10.12"
"260111","84","Івано-Франківська область","сільський клуб, зал
вул.Центральна, 69, с.Бишів, Галицький р-н, Івано-Франківська обл., 77173","200","43","199","12","145","12","157","","0","145","12","157","4","153","0","8","0","1","1","0","39","95","0","2","4","0","3","0","0","0","29.10.12"
"260112","84","Івано-Франківська область","школа-сад, актовий зал
вул.Шевченка, школа-сад, с.Демешківці, Галицький р-н, Івано-Франківська обл., 77134","256","84","248","11","163","9","172","","0","163","9","172","2","170","1","4","0","8","2","0","49","72","0","0","6","0","7","20","1","0","28.10.12"
"260113","84","Івано-Франківська область","будинок культури, актовий зал
вул.Миру, 1А, с.Німшин, Галицький р-н, Івано-Франківська обл., 77135","396","108","394","39","254","34","288","","0","254","34","288","12","276","0","4","1","14","0","0","40","154","2","0","5","0","8","48","0","0","29.10.12"
"260114","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Шкільна, 34А, с.Придністров’я, Галицький р-н, Івано-Франківська обл., 77134","260","89","258","19","153","18","171","","0","153","18","171","1","170","1","8","1","6","0","0","19","104","1","1","1","1","3","22","1","1","29.10.12"
"260115","84","Івано-Франківська область","школа, каб.2
вул.Вишнева, 31А, с.Поплавники, Галицький р-н, Івано-Франківська обл., 77134","240","65","241","22","153","22","175","","0","153","22","175","0","175","4","5","1","4","2","2","21","100","0","0","4","0","5","26","1","0","29.10.12"
"260116","84","Івано-Франківська область","будинок культури, актовий зал
вул.Шевченка, 50, с.Дем’янів, Галицький р-н, Івано-Франківська обл., 77131","1400","309","1387","67","1024","67","1091","","0","1024","67","1091","23","1068","6","12","1","89","7","2","157","648","6","1","4","2","25","106","1","1","29.10.12"
"260117","84","Івано-Франківська область","народний дім, фойє
вул.Центральна, народний дім, с.Дитятин, Галицький р-н, Івано-Франківська обл., 77140","336","103","332","14","222","11","233","","0","222","11","233","7","226","1","4","2","8","2","1","35","113","3","2","4","1","14","35","1","0","28.10.12"
"260118","84","Івано-Франківська область","школа, фойє
вул.Шкільна, 35, с.Хохонів, Галицький р-н, Івано-Франківська обл., 77142","312","109","310","25","180","23","203","","0","180","23","203","6","197","1","12","0","14","0","1","78","58","0","2","1","1","4","25","0","0","29.10.12"
"260119","84","Івано-Франківська область","фельдшерсько-акушерський пункт, приймальня
вул.Шевченка, фельдшерсько-акушерський пункт, с.Набережне, Галицький р-н, Івано-Франківська обл., 77141","60","13","58","7","42","5","47","","0","42","5","47","1","46","0","9","0","5","0","0","13","16","0","0","0","0","1","2","0","0","28.10.12"
"260120","84","Івано-Франківська область","школа, фойє
вул.Центральна, 22А, с.Дорогів, Галицький р-н, Івано-Франківська обл., 77152","560","196","551","24","342","22","364","","0","342","22","364","5","359","1","3","0","48","5","2","115","116","0","2","9","3","5","49","1","0","29.10.12"
"260121","84","Івано-Франківська область","школа, приміщення початкових класів
вул.Центральна, 61А, с.Колодіїв, Галицький р-н, Івано-Франківська обл., 77153","488","155","487","24","309","24","333","","0","309","24","333","6","327","7","9","0","48","5","5","81","97","2","2","3","0","10","57","1","0","29.10.12"
"260122","84","Івано-Франківська область","будинок культури, фойє
пл.Незалежності, 3, с.Дубівці, Галицький р-н, Івано-Франківська обл., 77172","1564","371","1580","66","1128","65","1193","","0","1128","65","1193","27","1166","5","11","0","91","62","4","339","565","13","4","7","2","17","42","0","4","29.10.12"
"260123","84","Івано-Франківська область","адмінбудинок сільської ради, зал засідань
вул.І.Франка, 47В, с.Жалибори, Галицький р-н, Івано-Франківська обл., 77126","472","105","470","47","321","46","367","","0","321","46","367","10","357","0","1","2","8","2","0","114","88","1","1","2","0","13","125","0","0","29.10.12"
"260124","84","Івано-Франківська область","Народний дім, танцювальний зал
просп.Шевченка, 1, с.Задністрянське, Галицький р-н, Івано-Франківська обл., 77133","1044","304","1033","28","714","26","740","","0","714","26","740","3","737","5","11","2","39","10","2","159","375","1","2","19","1","21","86","1","3","29.10.12"
"260125","84","Івано-Франківська область","народний дім, фойє
вул.Галицька, народний дім, с.Залуква, Галицький р-н, Івано-Франківська обл., 77160","1864","620","1843","30","1217","27","1244","","0","1217","27","1244","21","1223","8","17","5","69","21","4","198","746","2","5","10","2","35","98","2","1","29.10.12"
"260126","84","Івано-Франківська область","сільський клуб, зал
вул.Шевченка, сільський клуб, с.Шевченкове, Галицький р-н, Івано-Франківська обл., 77160","136","22","134","6","108","6","114","","0","108","6","114","5","109","1","5","0","7","0","1","25","51","0","0","6","0","5","8","0","0","28.10.12"
"260127","84","Івано-Франківська область","будинок культури, зал
вул.Січових Стрільців, 11, с.Кінашів, Галицький р-н, Івано-Франківська обл., 77125","836","199","830","54","584","53","637","","0","584","53","637","12","625","0","2","0","15","8","3","46","162","1","1","3","0","8","375","0","1","29.10.12"
"260128","84","Івано-Франківська область","будинок культури, актовий зал
вул.Шевченка, 10, с.Кінчаки, Галицький р-н, Івано-Франківська обл., 77180","416","163","414","21","234","19","253","","0","234","19","253","7","246","2","8","1","13","5","2","133","53","2","0","2","0","4","19","2","0","29.10.12"
"260129","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Чорновола, 1, с.Кремидів, Галицький р-н, Івано-Франківська обл., 77180","116","50","114","1","65","1","66","","0","65","1","66","4","62","0","7","0","3","0","1","8","19","0","0","0","0","1","23","0","0","29.10.12"
"260131","84","Івано-Франківська область","сільський клуб, зал
вул.Б.Хмельницького, 25, с.Коростовичі, Галицький р-н, Івано-Франківська обл., 77122","368","75","364","25","268","25","293","","0","268","25","293","9","284","2","5","1","23","4","2","54","143","0","1","5","1","7","35","0","1","29.10.12"
"260132","84","Івано-Франківська область","сільський клуб, зал
вул.Б.Хмельницького, 61, с.Куропатники, Галицький р-н, Івано-Франківська обл., 77122","288","81","285","8","199","8","207","","0","199","8","207","16","191","2","5","4","7","0","1","36","73","12","2","3","0","20","24","2","0","29.10.12"
"260134","84","Івано-Франківська область","будинок культури, фойє
вул.Галицька, будинок культури, с.Кукільники, Галицький р-н, Івано-Франківська обл., 77143","376","124","373","33","219","33","252","","0","219","33","252","2","250","2","2","0","7","1","2","56","91","1","0","2","0","2","81","1","2","28.10.12"
"260135","84","Івано-Франківська область","школа, актовий зал
вул.Шевченка, школа, с.Загір’я-Кукільницьке, Галицький р-н, Івано-Франківська обл., 77143","392","124","389","36","233","35","268","","0","233","35","268","6","262","2","11","2","19","1","1","56","72","1","1","3","0","17","72","1","3","28.10.12"
"260136","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Шевченка, 67, с.Курів, Галицький р-н, Івано-Франківська обл., 77125","240","39","236","22","179","22","201","","0","179","22","201","1","200","2","7","0","9","2","0","74","79","0","0","1","0","11","14","1","0","29.10.12"
"260137","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Центральна, 117, с.Лани, Галицький р-н, Івано-Франківська обл., 77174","416","145","408","20","251","20","271","","0","251","20","271","9","262","2","13","3","11","1","1","69","120","1","3","2","1","7","26","0","2","29.10.12"
"260138","84","Івано-Франківська область","будинок культури, актовий зал
вул.Галицька, будинок культури, с.Маріямпіль, Галицький р-н, Івано-Франківська обл., 77181","688","240","686","31","419","29","448","","0","419","29","448","10","438","1","12","1","12","0","1","196","177","2","2","2","0","4","27","0","1","29.10.12"
"260139","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Галицька, сільський клуб, с.Водники, Галицький р-н, Івано-Франківська обл., 77172","392","88","392","17","287","17","304","","0","287","17","304","5","299","0","4","2","34","9","1","102","114","1","1","0","2","4","25","0","0","29.10.12"
"260141","84","Івано-Франківська область","адмінбудинок сільської ради, зал засідань
вул.Тернопільська, 13, с.Медуха, Галицький р-н, Івано-Франківська обл., 77145","340","82","338","27","231","27","258","","0","231","27","258","11","247","0","6","1","17","3","0","68","125","1","0","3","0","2","20","0","1","28.10.12"
"260142","84","Івано-Франківська область","сільський клуб, зал
вул.Дружби, 8, с.Межигірці, Галицький р-н, Івано-Франківська обл., 77171","484","112","482","21","351","21","372","","0","351","21","372","7","365","3","7","2","25","8","3","205","88","0","1","2","0","3","16","1","1","29.10.12"
"260143","84","Івано-Франківська область","будинок культури, фойє
вул.Шкільна, 13, с.Нараївка, Галицький р-н, Івано-Франківська обл., 77191","420","94","416","26","300","26","326","","0","300","26","326","3","323","3","0","0","11","0","1","7","20","1","0","1","0","0","279","0","0","29.10.12"
"260144","84","Івано-Франківська область","школа, спортивний зал
вул.Шкільна, школа, с.Насташине, Галицький р-н, Івано-Франківська обл., 77110","684","113","679","53","518","53","571","","0","518","53","571","13","558","1","11","2","32","6","1","121","284","2","1","4","4","13","74","0","2","29.10.12"
