"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боднар
Тарас
Григорович","Валентієв
Валентин
Володимирович","Гуменюк
Василь
Васильович","Когут
Олександр
Євгенович","Міглачов
Ігор
Васильович","Сич
Олександр
Володимирович","Сич
Олександр
Максимович","Тітов
Володимир
Дмитрович","Чорноус
Володимир
Ярославович","Шевченко
Олександр
Леонідович","Дата підписання протоколу"
"260877","83","Івано-Франківська область","Івано-Франківськтеплокомуненерго, актовий зал
вул.Б.Хмельницького, 59А, м.Івано-Франківськ, 76000","1632","617","1628","9","1009","6","1015","","0","1009","6","1015","19","996","10","1","6","16","9","35","599","2","84","234","29.10.12"
"260878","83","Івано-Франківська область","Народний дім ""Княгинин"", фойє
вул.Галицька, 40, м.Івано-Франківськ, 76000","1440","530","1410","10","901","9","910","","0","901","9","910","26","884","7","2","3","12","16","40","524","3","70","207","30.10.12"
"260879","83","Івано-Франківська область","школа №16, фойє
вул.Вовчинецька, 103, м.Івано-Франківськ, 76000","2334","918","2310","8","1408","8","1416","","0","1408","8","1416","36","1379","7","2","5","18","17","56","870","7","100","297","29.10.12"
"260880","83","Івано-Франківська область","школа №16, фойє
вул.Вовчинецька, 103, м.Івано-Франківськ, 76000","2340","853","2324","17","1472","15","1487","","0","1472","15","1487","36","1451","19","2","7","29","23","48","851","3","151","318","29.10.12"
"260881","83","Івано-Франківська область","школа №8, фойє
вул.Коломийська, 9, м.Івано-Франківськ, 76000","1818","714","1805","18","1087","17","1104","","0","1087","17","1104","40","1064","5","2","7","11","16","41","636","3","82","261","29.10.12"
"260882","83","Івано-Франківська область","гімназія №3, фойє
вул.Гоголя, 10, м.Івано-Франківськ, 76000","1824","683","1793","3","1140","1","1141","","0","1140","1","1141","10","1131","8","2","3","10","12","43","705","1","83","264","29.10.12"
"260883","83","Івано-Франківська область","фізично-оздоровчий центр, спортзал
вул.Василя Симоненка, 13, м.Івано-Франківськ, 76000","1272","455","1265","4","813","4","817","","0","813","4","817","15","802","6","3","5","11","13","19","475","0","59","211","28.10.12"
"260884","83","Івано-Франківська область","міська бібліотека №1, читальний зал
вул.Вовчинецька, 206, м.Івано-Франківськ, 76000","2436","993","2414","5","1440","3","1443","","0","1440","3","1443","29","1414","11","6","12","12","13","60","797","2","151","350","29.10.12"
"260887","83","Івано-Франківська область","школа №25, фойє
вул.24 Серпня, 13, м.Івано-Франківськ, 76000","2472","937","2433","10","1529","6","1535","","0","1529","6","1535","41","1494","24","2","4","24","24","50","842","3","109","412","29.10.12"
"260888","83","Івано-Франківська область","школа №25, фойє
вул.24 Серпня, 13, м.Івано-Франківськ, 76000","2364","839","2347","13","1514","11","1525","","0","1514","11","1525","38","1487","18","5","2","34","12","63","901","3","128","321","29.10.12"
"260889","83","Івано-Франківська область","міський центр соціальних служб, службова кімната
вул.Василя Симоненка, 3Б, м.Івано-Франківськ, 76000","1231","539","1208","7","685","7","692","","0","685","7","692","19","673","8","1","3","8","9","21","371","4","56","192","29.10.12"
"260890","83","Івано-Франківська область","школа №10, фойє
вул.Вовчинецька, 196Б, м.Івано-Франківськ, 76000","2226","851","2239","9","1367","8","1375","","0","1367","8","1375","30","1345","15","5","6","31","22","49","738","5","117","357","29.10.12"
"260891","83","Івано-Франківська область","підлітковий клуб ""Оріон"", спортзал
вул.Василя Стуса, 15Б, м.Івано-Франківськ, 76000","1986","813","1940","16","1161","12","1173","","0","1161","12","1173","26","1147","15","7","6","43","16","43","579","5","136","297","29.10.12"
"260892","83","Івано-Франківська область","школа №10, фойє
вул.Вовчинецька, 196Б, м.Івано-Франківськ, 76000","2370","896","2337","24","1457","17","1474","","0","1457","17","1474","42","1432","16","7","7","44","48","47","732","6","168","357","29.10.12"
"260893","83","Івано-Франківська область","міський народний дім, актовий зал
вул.Вовчинецька, 188, м.Івано-Франківськ, 76000","2394","956","2413","16","1425","13","1438","","0","1425","13","1438","49","1389","16","2","8","45","23","41","750","7","154","343","29.10.12"
"260894","83","Івано-Франківська область","підлітковий клуб ""Прометей"", актовий зал
вул.Вовчинецька, 198, м.Івано-Франківськ, 76000","1314","518","1301","6","790","6","796","","0","789","6","795","19","776","4","1","5","24","15","34","418","4","64","207","29.10.12"
"260895","83","Івано-Франківська область","гімназія №3, фойє
вул.Гоголя, 10, м.Івано-Франківськ, 76000","2490","991","2473","20","1481","18","1499","","0","1481","18","1499","28","1471","16","6","4","27","19","51","923","2","111","312","29.10.12"
"260896","83","Івано-Франківська область","школа №22, фойє початкової школи
вул.Івана Павла ІІ, 24, м.Івано-Франківськ, 76000","2370","938","2331","12","1426","6","1432","","0","1426","6","1432","25","1405","6","0","5","17","18","56","899","4","101","299","29.10.12"
"260897","83","Івано-Франківська область","дитячий садок №28 ""Квітка Карпат"", музичний зал
вул.Івана Павла ІІ, 26, м.Івано-Франківськ, 76000","2466","924","2437","13","1534","8","1542","","0","1534","8","1542","56","1486","16","5","5","27","19","67","886","4","128","329","29.10.12"
"260898","83","Івано-Франківська область","станція юних техніків, фойє
вул.В.Івасюка, 38А, м.Івано-Франківськ, 76000","2394","956","2327","15","1428","10","1438","","0","1428","10","1438","57","1381","17","11","7","24","28","77","772","8","100","337","29.10.12"
"260899","83","Івано-Франківська область","підлітковий клуб ""Мрія"", актова зала
вул.Гната Хоткевича, 76, м.Івано-Франківськ, 76000","1800","706","1763","21","1074","20","1094","","0","1074","20","1094","36","1058","11","7","4","25","18","60","621","6","65","241","29.10.12"
"260900","83","Івано-Франківська область","школа №19, фойє
вул.Гната Хоткевича, 56, м.Івано-Франківськ, 76000","2356","907","2331","17","1437","12","1449","","0","1437","12","1449","26","1423","12","3","5","9","12","55","830","1","134","362","30.10.12"
"260901","83","Івано-Франківська область","школа №22, фойє старших класів
вул.Івана Павла ІІ, 24, м.Івано-Франківськ, 76000","2454","862","2438","12","1582","10","1592","","0","1582","10","1592","33","1558","8","4","1","10","13","63","977","4","121","357","29.10.12"
"260902","83","Івано-Франківська область","школа №19, фойє
вул.Гната Хоткевича, 56, м.Івано-Франківськ, 76000","2400","906","2374","21","1477","17","1494","","0","1477","17","1494","57","1437","12","7","13","24","20","65","799","7","118","372","29.10.12"
"260903","83","Івано-Франківська область","школа №19, фойє
вул.Гната Хоткевича, 56, м.Івано-Франківськ, 76000","2472","956","2448","9","1508","8","1516","","0","1508","8","1516","51","1465","14","6","2","17","17","55","859","5","151","339","29.10.12"
"260904","83","Івано-Франківська область","школа №15, фойє
вул.Незалежності, 207, м.Івано-Франківськ, 76000","1908","764","1889","14","1136","8","1144","","0","1136","8","1144","36","1107","3","3","8","18","18","45","642","3","89","278","30.10.12"
"260905","83","Івано-Франківська область","школа №15, фойє
вул.Незалежності, 207, м.Івано-Франківськ, 76000","2406","906","2380","18","1483","17","1500","","0","1483","17","1500","46","1454","15","2","7","22","17","57","822","9","158","345","29.10.12"
"260906","83","Івано-Франківська область","школа №15, фойє
вул.Незалежності, 207, м.Івано-Франківськ, 76000","2112","799","2080","21","1299","14","1313","","0","1299","14","1313","28","1284","11","2","3","12","5","56","825","5","86","279","29.10.12"
"260907","83","Івано-Франківська область","Микитинецька школа, майстерня по дереву і металу
вул.Просвіти, 2, с.Микитинці, м.Івано-Франківськ, 76494","780","259","780","8","514","7","521","","0","514","7","521","14","507","3","2","3","8","0","19","354","0","24","94","28.10.12"
"260911","83","Івано-Франківська область","шаховий клуб ""Дебют"", зал
вул.Незалежності, 152Б, м.Івано-Франківськ, 76000","2280","749","2273","48","1496","35","1531","","0","1496","35","1531","78","1453","8","4","8","18","22","64","779","0","125","425","29.10.12"
"260912","83","Івано-Франківська область","гімназія №2, каб.29
вул.Шухевичів, 35, м.Івано-Франківськ, 76000","1944","696","1918","25","1224","24","1248","","0","1224","24","1248","31","1217","10","3","10","29","25","44","677","3","79","337","29.10.12"
"260913","83","Івано-Франківська область","управління водних ресурсів, актовий зал
вул.Академіка Сахарова, 23А, м.Івано-Франківськ, 76000","1650","562","1653","20","1069","19","1088","","0","1069","19","1088","34","1054","8","5","10","32","26","39","538","2","70","324","28.10.12"
"260914","83","Івано-Франківська область","центр підвищення кваліфікації, фойє
вул.Незалежності, 46, м.Івано-Франківськ, 76000","2472","949","2437","29","1494","29","1523","","0","1494","29","1523","50","1473","10","10","17","53","36","59","808","1","159","320","31.10.12"
"260915","83","Івано-Франківська область","школа №3, актова зала
вул.Івана Франка, 14, м.Івано-Франківськ, 76000","1572","553","1564","19","1003","16","1019","","0","1003","16","1019","30","989","11","6","15","37","60","31","468","6","102","253","29.10.12"
"260916","83","Івано-Франківська область","народний дім ""Просвіта"", актова зала
вул.М.Грушевського, 18, м.Івано-Франківськ, 76000","1590","552","1570","24","1018","20","1038","","0","1018","20","1038","32","1006","7","4","11","24","30","25","564","13","88","240","29.10.12"
"260917","83","Івано-Франківська область","школа №6, шкільна їдальня
вул.Джерельна, 2А, м.Івано-Франківськ, 76000","2100","670","2077","18","1413","17","1430","","0","1413","17","1430","37","1391","6","4","4","16","13","77","896","8","79","288","28.10.12"
"260919","83","Івано-Франківська область","клуб, зал
вул.Отця І.Блавацького, 1, м.Івано-Франківськ, 76000","1830","597","1827","6","1227","6","1233","","0","1227","6","1233","38","1195","16","1","9","10","4","74","665","2","55","359","29.10.12"
"260920","83","Івано-Франківська область","школа №21, фойє
вул.Академіка Сахарова, 36А, м.Івано-Франківськ, 76000","1632","645","1610","21","974","13","987","","0","974","13","987","34","953","8","2","5","33","42","32","508","3","72","248","29.10.12"
"260921","83","Івано-Франківська область","фінансово-комерційний кооперативний коледж, ауд.109
вул.Степана Бандери, 79, м.Івано-Франківськ, 76000","1980","694","1977","10","1278","8","1286","","0","1278","8","1286","44","1242","9","5","6","46","40","44","613","5","100","374","29.10.12"
"260922","83","Івано-Франківська область","методично-навчальний центр культури і туризму Прикарпаття, зал
вул.Незалежності, 12, м.Івано-Франківськ, 76000","1908","752","1877","49","1123","33","1156","","0","1123","33","1156","32","1124","11","4","7","45","39","28","580","3","134","273","29.10.12"
"260923","83","Івано-Франківська область","коледж технологій та бізнесу, спортивний зал
вул.Євгена Коновальця, 140, м.Івано-Франківськ, 76000","1284","505","1269","6","774","5","779","","0","774","5","779","30","749","6","1","7","9","10","33","439","2","67","175","29.10.12"
"260924","83","Івано-Франківська область","школа №12, спортивний зал
вул.Національної Гвардії, 13, м.Івано-Франківськ, 76000","2250","965","2306","17","1270","15","1285","","0","1270","15","1285","42","1243","23","11","17","47","46","31","531","9","143","385","29.10.12"
"260925","83","Івано-Франківська область","ВПУ готельного сервісу і туризму, актова зала
вул.О.Сорохтея, 43, м.Івано-Франківськ, 76000","2118","895","2090","15","1214","9","1223","","0","1214","9","1223","28","1195","4","0","6","33","23","51","724","5","86","263","29.10.12"
"260926","83","Івано-Франківська область","школа №12, хол
вул.Національної Гвардії, 13, м.Івано-Франківськ, 76000","1596","628","1609","14","956","12","968","","0","956","12","968","28","940","4","0","8","53","26","26","447","4","105","267","29.10.12"
"260927","83","Івано-Франківська область","ДНЗ №20, актова зала
вул.Симона Петлюри, 21, м.Івано-Франківськ, 76000","2292","1053","2245","9","1232","7","1239","","0","1232","7","1239","46","1193","8","3","7","24","27","56","660","4","66","338","29.10.12"
"260928","83","Івано-Франківська область","школа №21, спортивний зал
вул.Академіка Сахарова, 36А, м.Івано-Франківськ, 76000","2310","930","2292","27","1358","22","1380","","0","1358","22","1380","39","1341","13","7","23","63","31","50","717","10","103","324","29.10.12"
"260929","83","Івано-Франківська область","Народний дім, глядацький зал
вул.Шевченка, 1, м.Івано-Франківськ, 76000","1188","455","1183","14","722","11","733","","0","722","11","733","21","712","3","1","5","35","32","38","380","1","66","151","29.10.12"
"260930","83","Івано-Франківська область","головний корпус Прикарпатського університету ім.Стефаника, танцювальний хол
вул.Шевченка, 57, м.Івано-Франківськ, 76000","2082","748","2053","32","1305","29","1334","","0","1305","29","1334","21","1313","15","3","14","39","32","30","761","8","128","283","29.10.12"
"260931","83","Івано-Франківська область","економічний факультет Прикарпатського університету ім.Стефаника, ауд.26
вул.Шевченка, 14, м.Івано-Франківськ, 76000","1008","389","977","21","606","13","619","","0","606","13","619","19","600","11","3","10","23","27","25","291","4","57","149","29.10.12"
"260932","83","Івано-Франківська область","міжшкільний комбінат, каб.16
вул.Новгородська, 15, м.Івано-Франківськ, 76000","1686","636","1651","20","1036","14","1050","","0","1036","14","1050","34","1016","7","1","6","30","30","27","570","6","87","252","30.10.12"
"260933","83","Івано-Франківська область","навчальний корпус №2 економічного факультету Прикарпатського університету ім.Стефаника, ауд.06
вул.Шевченка, 82, м.Івано-Франківськ, 76000","2274","877","2274","43","1364","33","1397","","0","1364","33","1397","43","1354","9","1","11","38","54","53","705","5","129","349","29.10.12"
"260934","83","Івано-Франківська область","школа-ліцей №23, хол
вул.Гетьмана Мазепи, 90, м.Івано-Франківськ, 76000","2298","858","2253","15","1427","13","1440","","0","1427","13","1440","37","1403","13","4","8","52","58","50","751","4","116","347","30.10.12"
"260935","83","Івано-Франківська область","школа №4, актова зала
бульв.Південний, 24, м.Івано-Франківськ, 76000","2238","867","2196","34","1339","32","1371","","0","1339","32","1371","41","1330","16","6","11","38","61","45","703","5","125","320","29.10.12"
"260936","83","Івано-Франківська область","гуртожиток медичного університету, актова зала
бульв.Південний, 32, м.Івано-Франківськ, 76000","1854","624","1864","10","1223","7","1230","","0","1223","7","1230","26","1204","13","1","10","30","15","62","657","5","134","277","28.10.12"
"260937","83","Івано-Франківська область","дитячий садок №29, спортивний зал
вул.Гвардійська, 4, м.Івано-Франківськ, 76000","1626","617","1594","9","1001","8","1009","","1","1001","8","1009","34","974","14","4","4","52","34","49","428","3","104","282","29.10.12"
"260938","83","Івано-Франківська область","школа-інтернат №1, вестибюль
вул.Чорновола, 130, м.Івано-Франківськ, 76000","2232","969","2213","16","1250","13","1263","","0","1250","13","1263","34","1229","14","5","7","118","74","41","496","7","121","346","29.10.12"
"260939","83","Івано-Франківська область","школа №2, спортивний зал
вул.Гетьмана П.Дорошенка, 29, м.Івано-Франківськ, 76000","2286","946","2254","3","1337","3","1340","","0","1337","3","1340","34","1305","16","8","22","85","54","44","533","14","157","372","29.10.12"
"260940","83","Івано-Франківська область","коледж фізичного виховання, актова зала
вул.Гетьмана Мазепи, 142А, м.Івано-Франківськ, 76000","1410","734","1459","4","672","4","676","","0","672","4","676","20","656","4","1","5","9","8","38","300","1","82","208","29.10.12"
"260941","83","Івано-Франківська область","медичний коледж, фойє
вул.Гетьмана Мазепи, 165, м.Івано-Франківськ, 76000","2454","1007","2436","19","1430","17","1447","","0","1430","17","1447","49","1398","10","3","6","27","16","54","824","4","145","309","29.10.12"
"260942","83","Івано-Франківська область","гуртожиток №5 Прикарпатського університету ім.Стефаника, читальний зал
вул.Сухомлинського, 2, м.Івано-Франківськ, 76000","2226","1054","2211","4","1170","2","1172","","1","1170","2","1172","35","1137","9","4","5","20","15","48","512","3","132","389","29.10.12"
"260943","83","Івано-Франківська область","школа №9, актова зала
вул.Гетьмана Мазепи, 169, корпус 4, м.Івано-Франківськ, 76000","2508","1177","2453","0","1331","0","1331","","0","1331","0","1331","39","1292","14","7","7","17","14","66","735","7","111","314","29.10.12"
"260946","83","Івано-Франківська область","геріатричний пансіонат, актова зала
вул.Медична, 4, м.Івано-Франківськ, 76000","174","15","169","87","78","81","159","","0","78","81","159","5","154","5","2","4","14","2","5","35","0","4","83","29.10.12"
"260947","83","Івано-Франківська область","обласна клінічна лікарня, фойє
вул.Федьковича, 91, м.Івано-Франківськ, 76000","852","649","371","119","133","70","203","","0","133","70","203","7","196","4","1","6","6","2","11","90","1","31","44","30.10.12"
"260948","83","Івано-Франківська область","обласна клінічна інфекційна лікарня, актова зала
вул.Гетьмана Сагайдачного, 66, м.Івано-Франківськ, 76000","174","118","69","7","50","6","56","","0","50","6","56","4","52","2","1","0","1","3","3","17","0","4","21","29.10.12"
"260949","83","Івано-Франківська область","обласний фтизіопульмонологічний центр, методичний кабінет
вул.Матейки, 53, м.Івано-Франківськ, 76000","318","184","136","7","127","7","134","","0","127","7","134","7","127","4","0","7","3","2","18","58","1","9","25","29.10.12"
"260950","83","Івано-Франківська область","обласна дитяча клінічна лікарня, світлиця
вул.Євгена Коновальця, 132, м.Івано-Франківськ, 76000","468","401","74","0","67","0","67","","0","67","0","67","6","61","1","1","2","1","2","3","18","0","5","28","28.10.12"
"260951","83","Івано-Франківська область","обласний клінічний онкологічний диспансер, кабінет з охорони праці
вул.Медична, 17, м.Івано-Франківськ, 76000","282","191","103","70","29","62","91","","0","29","62","91","8","83","3","1","1","3","3","8","33","1","10","20","29.10.12"
"260952","83","Івано-Франківська область","обласна психоневрологічна лікарня №3, актова зала
вул.Медична, 15, м.Івано-Франківськ, 76000","474","411","78","0","63","0","63","","0","63","0","63","9","54","3","0","3","7","0","5","13","0","4","19","28.10.12"
"260953","83","Івано-Франківська область","міська клінічна лікарня №1, фойє
вул.Матейки, 34, м.Івано-Франківськ, 76000","282","200","126","37","60","22","82","","0","60","22","82","5","77","1","0","0","0","2","6","39","2","6","21","29.10.12"
"260954","83","Івано-Франківська область","міський клінічний пологовий будинок, гінекологічний корпус, 1-й поверх, службова кімната
вул.Чорновола, 49, м.Івано-Франківськ, 76000","216","174","54","4","39","3","42","","0","39","3","42","1","41","0","1","0","2","1","2","14","0","4","17","28.10.12"
"260955","83","Івано-Франківська область","обласний перинатальний центр, актова зала
вул.Чорновола, 47, м.Івано-Франківськ, 76000","204","143","134","2","60","1","61","","0","60","1","61","4","57","3","0","1","3","1","1","16","0","10","22","29.10.12"
"260956","83","Івано-Франківська область","центральна міська клінічна лікарня, фойє
вул.Гетьмана Мазепи, 114, м.Івано-Франківськ, 76000","474","245","274","107","145","84","229","","0","145","84","229","4","225","3","1","2","8","4","16","134","0","10","47","29.10.12"
"260957","83","Івано-Франківська область","обласний клінічний кардіологічний диспансер, конференц-зал
вул.Гетьмана Мазепи, 114, м.Івано-Франківськ, 76000","204","80","140","25","101","23","124","","0","101","23","124","5","119","2","4","1","1","1","5","80","0","6","19","29.10.12"
"260958","83","Івано-Франківська область","обласний клінічний дерматовенерологічний диспансер, актова зала
вул.Короля Данила, 10, м.Івано-Франківськ, 76000","102","81","23","0","21","0","21","","0","21","0","21","0","21","1","0","0","0","2","0","4","0","2","12","28.10.12"
"260959","83","Івано-Франківська область","обласна психоневрологічна лікарня №1, лекційний зал
вул.Млинарська, 21, м.Івано-Франківськ, 76000","306","265","48","0","41","0","41","","0","41","0","41","1","40","1","0","4","0","3","2","12","1","2","15","29.10.12"
"260960","83","Івано-Франківська область","обласний наркологічний диспансер, лекційний зал
вул.Млинарська, 21, м.Івано-Франківськ, 76000","84","46","44","0","38","0","38","","0","38","0","38","0","38","0","2","0","4","1","6","8","0","3","14","29.10.12"
"260961","83","Івано-Франківська область","обласний психоневрологічний диспансер, кабінет психолога
вул.Софіївка, 39, м.Івано-Франківськ, 76000","54","32","22","0","22","0","22","","0","22","0","22","0","22","1","0","1","2","1","0","8","0","3","6","29.10.12"
