"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Богославець
Руслана
Юріївна","Гіль
Світлана
Богданівна","Гоголь
Василь
Васильович","Гриньків
Тетяна
Михайлівна","Дерев’янко
Юрій
Богданович","Жавранков
Віталій
Вячеславович","Жолоб
Юрій
Ігорович","Калічко
Володимир
Іванович","Монастирецький
Володимир
Ярославович","Мочерняк
Роман
Михайлович","Онутчак
Василь
Васильович","Піцуряк
Манолій
Васильович","Припхан
Наталія
Павлівна","Пришляк
Тетяна
Іванівна","Слободян
Іван
Володимирович","Хопта
Володимир
Іванович","Черноволенко
Олександр
Миколайович","Дата підписання протоколу"
"260484","87","Івано-Франківська область","школа, актовий зал
вул.Промислова, школа, смт Битків, Надвірнянський р-н, Івано-Франківська обл., 78430","228","73","237","13","143","12","155","","0","143","12","155","2","153","0","1","0","1","93","0","0","15","0","1","3","39","0","0","0","0","0","29.10.12"
"260485","87","Івано-Франківська область","Народний дім, актовий зал
вул.16 Липня, 227А, смт Делятин, Надвірнянський р-н, Івано-Франківська обл., 78442","2212","1081","2211","29","1103","28","1131","","0","1103","28","1131","46","1085","4","5","4","4","332","2","1","60","2","10","160","474","7","4","8","4","4","29.10.12"
"260486","87","Івано-Франківська область","навчально-виховний комплекс, спортивний зал
вул.16 Липня, 113В, смт Делятин, Надвірнянський р-н, Івано-Франківська обл., 78442","1416","634","1414","52","748","34","782","","0","748","34","782","19","763","2","12","1","3","214","2","0","34","2","22","133","325","1","2","5","4","1","29.10.12"
"260487","87","Івано-Франківська область","школа, хол
вул.Шевелівка, 21, смт Делятин, Надвірнянський р-н, Івано-Франківська обл., 78442","1456","722","1453","16","719","15","734","","0","719","15","734","25","709","4","5","5","5","342","2","1","33","3","28","86","175","5","2","3","8","2","29.10.12"
"260488","87","Івано-Франківська область","школа, хол
вул.Любіжня, 130А, смт Делятин, Надвірнянський р-н, Івано-Франківська обл., 78442","548","236","552","24","290","22","312","","0","290","22","312","10","302","2","2","2","1","169","1","3","14","3","6","30","63","0","1","1","0","4","31.10.12"
"260489","87","Івано-Франківська область","школа, актовий зал
вул.Авіаційна, школа, смт Делятин, Надвірнянський р-н, Івано-Франківська обл., 78442","916","366","943","7","543","7","550","","0","543","7","550","24","526","3","4","7","10","222","21","3","90","3","9","54","69","7","6","7","8","3","29.10.12"
"260490","87","Івано-Франківська область","селищна рада, кімната депутата
вул.Незалежності, 109А, смт Ланчин, Надвірнянський р-н, Івано-Франківська обл., 78455","1680","908","1684","51","725","47","772","","0","725","47","772","23","749","9","5","2","4","306","2","4","26","3","8","53","308","3","4","4","7","1","29.10.12"
"260491","87","Івано-Франківська область","народний дім, хол
вул.Незалежності, 142, смт Ланчин, Надвірнянський р-н, Івано-Франківська обл., 78455","1912","1030","1903","32","850","32","882","","0","850","32","882","19","863","2","6","0","5","343","5","2","16","0","20","72","377","5","0","4","5","1","29.10.12"
"260492","87","Івано-Франківська область","школа, актовий зал
вул.30-років Перемоги, 6, смт Ланчин, Надвірнянський р-н, Івано-Франківська обл., 78455","1704","983","1703","48","684","37","721","","0","684","37","721","28","693","6","9","0","6","308","3","1","19","2","8","51","257","0","2","7","6","8","29.10.12"
"260493","87","Івано-Франківська область","будинок культури, фойє
ур.Центр, 104А, с.Бистриця, Надвірнянський р-н, Івано-Франківська обл., 78436","968","481","968","42","446","41","487","","0","446","41","487","9","478","6","2","1","0","349","1","2","30","2","4","13","58","0","4","1","3","2","29.10.12"
"260494","87","Івано-Франківська область","школа, спортивний зал
вул.Підгірянки, 97, с.Білі Ослави, Надвірнянський р-н, Івано-Франківська обл., 78460","1592","838","1585","14","742","12","754","","0","742","12","754","16","738","2","4","2","2","318","2","4","28","3","21","68","274","2","3","3","2","0","29.10.12"
"260495","87","Івано-Франківська область","сільська рада, актовий зал
вул.Підгірянки, 150А, с.Білі Ослави, Надвірнянський р-н, Івано-Франківська обл., 78460","1860","1027","1855","23","810","23","833","","0","810","23","833","37","796","8","15","1","6","424","2","2","50","4","11","43","212","1","0","7","4","6","29.10.12"
"260496","87","Івано-Франківська область","школа, спортивний зал
вул.Грушевського, 55, с.Верхній Майдан, Надвірнянський р-н, Івано-Франківська обл., 78452","1176","504","1176","49","629","43","672","","0","629","43","672","16","656","5","4","1","1","376","2","0","29","1","3","62","161","2","1","3","4","1","30.10.12"
"260497","87","Івано-Франківська область","будинок культури, актовий зал
вул.Грушевського, 2, с.Волосів, Надвірнянський р-н, Івано-Франківська обл., 78412","1188","422","1177","41","725","41","766","","0","725","41","766","15","751","1","2","2","3","557","4","4","15","2","7","41","97","1","3","4","5","3","29.10.12"
"260498","87","Івано-Франківська область","школа, фойє
вул.Українська, 78, с.Гаврилівка, Надвірнянський р-н, Івано-Франківська обл., 78414","1028","369","1021","41","619","40","659","","0","619","40","659","7","652","2","0","3","1","518","0","0","16","0","8","12","74","2","1","9","4","2","29.10.12"
"260499","87","Івано-Франківська область","школа, фойє
вул.Українська, 78, с.Гаврилівка, Надвірнянський р-н, Івано-Франківська обл., 78414","1032","326","1025","66","640","66","706","","0","640","66","706","6","700","0","2","4","2","564","2","0","19","2","4","11","74","0","1","11","4","0","29.10.12"
"260500","87","Івано-Франківська область","будинок культури, зал
вул.Д.Синяка, 2, с.Гвізд, Надвірнянський р-н, Івано-Франківська обл., 78423","1720","727","1720","27","968","25","993","","0","968","25","993","22","971","2","4","0","2","483","1","1","33","0","1","76","355","2","3","2","5","1","30.10.12"
"260501","87","Івано-Франківська область","сільська рада, кабінет бухгалтерії
вул.Д.Синяка, 126, с.Гвізд, Надвірнянський р-н, Івано-Франківська обл., 78423","1108","499","1099","24","587","22","609","","0","587","22","609","5","604","2","2","0","1","304","2","0","4","1","2","83","196","2","2","2","0","1","29.10.12"
"260502","87","Івано-Франківська область","навчально-виховний комплекс, спортивний зал
вул.Шевченка, 14, с.Добротів, Надвірнянський р-н, Івано-Франківська обл., 78454","1596","747","1597","20","829","20","849","","0","829","20","849","27","822","6","8","1","4","460","5","2","75","4","10","71","162","0","4","3","6","1","30.10.12"
"260503","87","Івано-Франківська область","будинок культури, фойє
вул.Незалежності, 71, с.Заріччя, Надвірнянський р-н, Івано-Франківська обл., 78445","1520","705","1523","33","787","28","815","","0","787","28","815","25","790","1","3","2","0","356","2","2","33","1","13","73","294","3","0","5","1","1","29.10.12"
"260504","87","Івано-Франківська область","школа, актовий зал
вул.Церковна, 39, с.Заріччя, Надвірнянський р-н, Івано-Франківська обл., 78445","1464","809","1460","8","647","8","655","","0","647","8","655","39","616","3","6","0","0","240","0","1","24","2","27","69","236","1","2","4","0","1","01.11.12"
"260505","87","Івано-Франківська область","будинок культури, зал урочистих подій
Хрипелів, будинок культури, с.Зелена, Надвірнянський р-н, Івано-Франківська обл., 78433","1644","622","1634","68","960","62","1022","","0","960","62","1022","16","1006","3","2","2","4","687","5","1","58","0","3","86","135","4","2","3","9","2","30.10.12"
"260506","87","Івано-Франківська область","школа, кабінет початкових класів
Черник, школа, с.Черник, Надвірнянський р-н, Івано-Франківська обл., 78435","760","290","774","16","454","16","470","","0","454","16","470","19","451","6","2","1","1","273","0","0","16","0","5","28","106","0","1","3","1","8","29.10.12"
"260507","87","Івано-Франківська область","будинок культури, зал ведення вечорів для молоді
Максимець-Звір, будинок культури, с.Максимець, Надвірнянський р-н, Івано-Франківська обл., 78434","576","213","572","37","326","37","363","","0","326","37","363","19","344","3","4","1","1","170","2","3","19","0","4","19","108","2","0","3","5","0","29.10.12"
"260508","87","Івано-Франківська область","будинок культури, актовий зал
вул.Винниченка, 2А, с.Камінне, Надвірнянський р-н, Івано-Франківська обл., 78411","860","242","858","38","582","36","618","","0","582","36","618","18","600","2","2","1","2","378","0","2","15","0","15","25","146","1","2","2","4","3","30.10.12"
"260509","87","Івано-Франківська область","школа, актовий зал
вул.Шевченка, 147, с.Красна, Надвірнянський р-н, Івано-Франківська обл., 78451","1284","456","1273","16","812","16","828","","0","812","16","828","11","817","2","7","2","1","429","1","0","40","1","12","40","271","1","1","3","5","1","29.10.12"
"260510","87","Івано-Франківська область","школа, спортивний зал
вул.Шевченка, 147, с.Красна, Надвірнянський р-н, Івано-Франківська обл., 78451","1176","435","1165","18","724","17","741","","0","724","17","741","17","724","2","4","2","2","377","2","1","64","2","2","40","214","1","1","2","7","1","29.10.12"
"260511","87","Івано-Франківська область","будинок культури, актовий зал
вул.Грушевського, 17, с.Лісна Тарновиця, Надвірнянський р-н, Івано-Франківська обл., 78422","1228","600","1224","1","627","1","628","","0","627","1","628","17","611","3","8","1","3","414","0","0","12","5","3","48","102","1","4","5","1","1","29.10.12"
"260512","87","Івано-Франківська область","школа, спортивний зал
вул.Стуса, 18А, с.Лоєва, Надвірнянський р-н, Івано-Франківська обл., 78440","1288","599","1300","38","653","36","689","","0","653","36","689","26","663","2","6","0","3","346","4","1","24","5","14","53","188","1","1","1","14","0","29.10.12"
"260513","87","Івано-Франківська область","будинок культури, кінозал
вул.Шевченка, 59, с.Молодків, Надвірнянський р-н, Івано-Франківська обл., 78424","2028","830","2013","65","1138","60","1198","","0","1138","60","1198","17","1181","2","2","8","5","636","4","2","29","2","0","56","417","3","2","6","5","2","29.10.12"
"260514","87","Івано-Франківська область","сільський клуб, зал
вул.Грушевського, 170, с.Назавизів, Надвірнянський р-н, Івано-Франківська обл., 78425","1804","699","1798","16","1089","16","1105","","0","1089","16","1105","25","1080","7","2","1","5","600","3","1","38","1","0","90","307","3","6","6","7","3","29.10.12"
"260515","87","Івано-Франківська область","сільський будинок культури, актовий зал
вул.Шевченка, 95В, с.Парище, Надвірнянський р-н, Івано-Франківська обл., 78426","1244","429","1227","45","775","40","815","","0","775","40","815","12","803","1","4","3","2","604","1","1","14","1","2","30","121","1","2","12","3","1","29.10.12"
"260516","87","Івано-Франківська область","школа, спортивний зал
вул.Грушевського, 16Е, с.Лісна Велесниця, Надвірнянський р-н, Івано-Франківська обл., 78426","232","60","241","10","162","10","172","","0","162","10","172","2","170","0","0","0","2","131","1","0","0","0","0","20","15","0","1","0","0","0","29.10.12"
"260517","87","Івано-Франківська область","школа №1, кабінет математики
вул.С.Галечко, школа №1, с.Пасічна, Надвірнянський р-н, Івано-Франківська обл., 78432","1120","534","1114","16","570","16","586","","0","570","16","586","19","567","2","2","0","3","388","3","0","8","3","7","21","119","0","0","3","6","2","29.10.12"
"260518","87","Івано-Франківська область","школа №2, кабінет історії
вул.Постоята, школа №2, с.Постоята, Надвірнянський р-н, Івано-Франківська обл., 78432","504","259","501","2","243","2","245","","0","243","2","245","8","237","0","2","2","1","169","1","0","17","0","2","17","18","3","1","0","4","0","29.10.12"
"260519","87","Івано-Франківська область","школа, актовий зал
вул.С.Галечко, школа, с.Пасічна, Надвірнянський р-н, Івано-Франківська обл., 78432","2476","1432","2463","22","1023","21","1044","","0","1023","21","1044","33","1011","2","2","2","2","617","3","4","40","1","6","75","235","2","2","3","12","3","29.10.12"
"260520","87","Івано-Франківська область","Пасічнянське лісництво №5, актовий зал
Бухтівець, Пасічнянське лісництво №5, с.Букове, Надвірнянський р-н, Івано-Франківська обл., 78432","408","199","411","20","189","20","209","","0","189","20","209","10","199","1","0","0","1","116","1","0","28","1","1","6","40","0","0","2","1","1","29.10.12"
"260521","87","Івано-Франківська область","будинок культури, актовий зал
вул.Січових Стрільців, 47, с.Перерісль, Надвірнянський р-н, Івано-Франківська обл., 78420","1808","823","1796","56","930","55","985","","0","930","55","985","24","961","6","4","2","4","702","2","2","33","1","3","47","142","0","2","1","7","3","30.10.12"
"260522","87","Івано-Франківська область","школа, спортивний зал
вул.Українських Січових Стрільців, 90, с.Пнів, Надвірнянський р-н, Івано-Франківська обл., 78431","1720","667","1719","20","1034","19","1053","","0","1034","19","1053","19","1034","9","4","5","11","484","7","2","46","0","4","96","345","0","3","9","7","2","29.10.12"
"260523","87","Івано-Франківська область","будинок культури, актовий зал
вул.Українських Січових Стрільців, 104А, с.Пнів, Надвірнянський р-н, Івано-Франківська обл., 78431","2376","1147","2358","11","1218","11","1229","","0","1218","11","1229","59","1170","5","10","4","9","602","2","1","25","4","6","100","369","2","9","4","12","6","30.10.12"
"260524","87","Івано-Франківська область","школа, актовий зал
вул.Плоснина, 27, с.Білозорина, Надвірнянський р-н, Івано-Франківська обл., 78431","748","360","740","12","377","11","388","","0","377","11","388","13","375","1","2","0","4","229","3","3","12","1","2","34","79","0","1","3","1","0","29.10.12"
"260525","87","Івано-Франківська область","школа, спортивний зал
вул.Українська, 77А, с.Саджавка, Надвірнянський р-н, Івано-Франківська обл., 78453","1296","531","1293","32","733","32","765","","0","733","32","765","14","751","4","11","1","3","290","1","1","29","1","8","34","348","6","0","11","2","1","29.10.12"
"260526","87","Івано-Франківська область","сільська рада, актовий зал
вул.Українська, 68, с.Саджавка, Надвірнянський р-н, Івано-Франківська обл., 78453","1224","511","1214","32","681","32","713","","0","681","32","713","16","697","3","3","4","2","233","10","4","43","1","10","30","333","4","2","6","5","4","29.10.12"
"260527","87","Івано-Франківська область","сільський клуб, актовий зал
вул.Українська, 21Б, с.Кубаївка, Надвірнянський р-н, Івано-Франківська обл., 78453","36","13","34","0","23","0","23","","0","23","0","23","2","21","0","0","0","0","6","1","0","1","0","3","0","9","0","1","0","0","0","29.10.12"
"260528","87","Івано-Франківська область","сільська рада, зал засідань
вул.Українська, 65, с.Середній Майдан, Надвірнянський р-н, Івано-Франківська обл., 78450","664","334","647","29","308","22","330","","0","308","22","330","7","323","1","6","2","0","208","1","1","22","1","4","25","46","1","2","2","1","0","29.10.12"
"260529","87","Івано-Франківська область","сільський клуб, зал
вул.Незалежна, сільський клуб, с.Вишнівці, Надвірнянський р-н, Івано-Франківська обл., 78450","212","91","209","6","115","6","121","","0","115","6","121","5","116","1","0","2","0","65","1","0","20","1","3","10","9","0","1","1","2","0","01.11.12"
"260530","87","Івано-Франківська область","сільський клуб, зал
вул.Довбуша, сільський клуб, с.Глинки, Надвірнянський р-н, Івано-Франківська обл., 78450","128","32","127","1","95","1","96","","0","95","1","96","8","88","1","0","0","1","46","2","0","7","0","0","5","23","2","0","1","0","0","29.10.12"
"260531","87","Івано-Франківська область","будинок культури, танцювальний зал
вул.Соборна, 17, с.Стримба, Надвірнянський р-н, Івано-Франківська обл., 78441","1708","735","1697","27","949","24","973","","0","947","24","971","25","946","2","2","0","3","410","5","3","34","5","4","49","405","2","10","2","7","3","29.10.12"
"260532","87","Івано-Франківська область","школа, актовий зал
вул.Грушевського, 53, с.Тисменичани, Надвірнянський р-н, Івано-Франківська обл., 78410","2360","990","2347","55","1315","55","1370","","0","1315","55","1370","38","1332","4","11","2","4","733","2","6","21","4","9","116","385","5","6","9","10","5","29.10.12"
"260533","87","Івано-Франківська область","школа, спортивний зал
вул.Січових Стрільців, 76, с.Фитьків, Надвірнянський р-н, Івано-Франківська обл., 78421","1116","378","1109","54","685","53","738","","0","685","53","738","15","723","0","2","1","3","520","3","3","22","2","2","37","119","0","1","2","4","2","29.10.12"
"260534","87","Івано-Франківська область","Народний дім, фойє
вул.Братів Бойчуків, 71А, с.Цуцилів, Надвірнянський р-н, Івано-Франківська обл., 78413","760","242","755","29","491","27","518","","0","491","27","518","8","510","3","2","1","3","288","0","0","26","0","3","26","151","2","1","1","2","1","29.10.12"
"260535","87","Івано-Франківська область","сільський клуб, зал
участок Центр, 2, с.Чорні Ослави, Надвірнянський р-н, Івано-Франківська обл., 78462","1388","715","1384","19","654","19","673","","0","654","19","673","32","641","5","7","1","2","331","4","3","46","1","2","97","130","0","5","1","1","5","29.10.12"
"260536","87","Івано-Франківська область","будинок культури, актовий зал
вул.Богдана Хмельницького, 388А, с.Чорний Потік, Надвірнянський р-н, Івано-Франківська обл., 78461","2060","958","2044","49","1054","48","1102","","0","1054","48","1102","38","1064","5","13","2","4","665","3","3","28","2","13","47","251","2","5","9","11","1","30.10.12"
"260537","87","Івано-Франківська область","райполіклініка, конференцзал
вул.Грушевського, 12А, м.Надвірна, Івано-Франківська обл., 78400","124","93","33","24","8","23","31","","0","8","23","31","0","31","0","0","0","0","14","0","0","6","0","0","1","9","0","0","0","0","1","29.10.12"
"261025","87","Івано-Франківська область","школа №2, вестибюль, 1-й поверх
вул.Свободи, 89, м.Яремче, Івано-Франківська обл., 78500","2456","1019","2432","37","1407","30","1437","","0","1407","30","1437","41","1396","1","5","2","4","233","4","1","16","0","23","628","465","0","3","7","2","2","29.10.12"
"261026","87","Івано-Франківська область","школа №1, спортзал, 2-й поверх
вул.Свободи, 164, м.Яремче, Івано-Франківська обл., 78500","1584","619","1568","44","932","33","965","","0","932","33","965","12","953","3","3","1","2","236","1","0","19","0","12","297","376","0","1","0","1","1","29.10.12"
"261027","87","Івано-Франківська область","будинок культури, приміщення для засідань, 1-й поверх
вул.Свободи, 270, м.Яремче, Івано-Франківська обл., 78500","1572","628","1555","45","903","41","944","","0","903","41","944","20","924","3","4","0","2","237","11","2","19","2","24","315","299","3","1","2","0","0","28.10.12"
"261028","87","Івано-Франківська область","школа №3, кімната здоров’я, 1-й поверх
вул.Свободи, 316, м.Яремче, Івано-Франківська обл., 78500","928","431","930","7","490","7","497","","0","490","7","497","8","489","0","0","3","1","114","2","0","16","0","9","266","76","0","0","2","0","0","29.10.12"
"261029","87","Івано-Франківська область","школа, спортзал, 1-й поверх
вул.Горби-1, 2, с.Микуличин, м.Яремче, Івано-Франківська обл., 78590","1952","849","1944","22","1082","21","1103","","0","1082","21","1103","26","1077","2","2","1","0","107","0","1","21","0","28","716","194","1","1","1","0","2","29.10.12"
"261030","87","Івано-Франківська область","оздоровчий табір ""Едельвейс"", їдальня, 1-й поверх
вул.Грушевського, 3А, с.Микуличин, м.Яремче, Івано-Франківська обл., 78590","1784","772","1781","23","989","23","1012","","0","989","23","1012","6","1006","1","2","3","1","116","2","1","10","1","15","686","164","0","1","3","0","0","29.10.12"
"261031","87","Івано-Франківська область","школа, актовий зал, 1-й поверх
вул.Незалежності, 679, с.Татарів, м.Яремче, Івано-Франківська обл., 78596","1144","501","1142","37","611","32","643","","0","611","32","643","15","628","0","4","1","3","194","3","1","13","1","28","266","109","1","0","4","0","0","30.10.12"
"261032","87","Івано-Франківська область","школа, спортзал, 1-й поверх
вул.Д.Галицького, 79, смт Ворохта, м.Яремче, Івано-Франківська обл., 78595","1472","719","1449","32","723","30","753","","0","723","30","753","18","735","0","3","0","2","321","0","0","10","2","42","150","199","1","1","1","0","3","29.10.12"
"261033","87","Івано-Франківська область","будинок культури, глядацький зал, 1-й поверх
вул.Д.Галицького, 76, смт Ворохта, м.Яремче, Івано-Франківська обл., 78595","1636","693","1630","21","923","20","943","","0","923","20","943","20","923","0","1","2","5","380","3","2","16","3","49","226","232","0","1","1","2","0","29.10.12"
"261034","87","Івано-Франківська область","клубна установа, глядацький зал
вул.Центр, 6А, с.Поляниця, м.Яремче, Івано-Франківська обл., 78593","572","174","582","8","390","8","398","","0","390","8","398","9","389","0","6","2","1","83","1","1","15","3","17","228","19","2","2","3","2","4","29.10.12"
"261035","87","Івано-Франківська область","школа, актовий зал, 2-й поверх
вул.Село, 123Б, с.Яблуниця, м.Яремче, Івано-Франківська обл., 78592","1560","818","1555","57","703","39","742","","0","703","39","742","28","714","7","3","2","1","137","1","4","13","1","19","377","137","4","1","3","1","3","29.10.12"
"261036","87","Івано-Франківська область","школа, актовий зал, 2-й поверх
вул.Вороненко, 548Б, с.Вороненко, м.Яремче, Івано-Франківська обл., 78592","332","141","334","16","176","15","191","","0","176","15","191","3","188","0","0","0","1","25","0","0","3","0","9","133","15","0","0","2","0","0","29.10.12"
