"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бовсуновський
Олександр
Михайлович","Захарчук
Микола
Петрович","Кандиба
Олександр
Володимирович","Крейнін
Дмитро
Олександрович","Купченко
Вадим
Володимирович","Лупейко
Олександр
Васильович","Москаленко
Ярослав
Миколайович","Наєлапєа
Галина
Миколаївна","Дата підписання протоколу"
"320389","96","Київська область","будинок культури, зала
вул.Князя Святослава, 149, с.Старі Петрівці, Вишгородський р-н, Київська обл., 07353","2304","1026","2306","27","1260","18","1278","","0","1260","18","1278","32","1246","16","28","488","192","9","24","466","23","29.10.12"
"320390","96","Київська область","будинок культури, зала
вул.Леніна, 44, с.Сувид, Вишгородський р-н, Київська обл., 07341","208","63","203","38","114","31","145","","0","114","31","145","6","139","0","7","32","8","1","2","89","0","28.10.12"
"320391","96","Київська область","бібліотека, читальна зала
пров.Луговий, 1А, с.Боденьки, Вишгородський р-н, Київська обл., 07341","312","99","306","40","173","40","213","","0","173","40","213","6","207","0","6","52","6","1","7","128","7","28.10.12"
"320392","96","Київська область","сільська рада, каб.2
вул.Леніна, 3, с.Сухолуччя, Вишгородський р-н, Київська обл., 07320","264","57","259","18","190","17","207","","0","190","17","207","6","201","0","9","46","13","1","1","129","2","29.10.12"
"320393","96","Київська область","будинок культури, актова зала
вул.Шкільна, 15, с.Толокунь, Вишгородський р-н, Київська обл., 07323","208","73","202","16","121","14","135","","0","121","14","135","6","129","1","6","22","7","0","0","93","0","29.10.12"
"320394","96","Київська область","будинок культури, хол
вул.Деснянська, 9, с.Хотянівка, Вишгородський р-н, Київська обл., 07363","816","300","807","37","481","35","516","","0","481","35","516","7","509","4","18","203","119","3","15","139","8","29.10.12"
"320395","96","Київська область","школа, фойє
вул.Колективна, 20А, с.Ясногородка, Вишгородський р-н, Київська обл., 07324","368","102","373","55","217","49","266","","0","217","49","266","9","257","1","16","60","16","4","3","152","5","28.10.12"
"320396","96","Київська область","Центральна районна лікарня, актова зала
вул.Кургузова, 1, м.Вишгород, Вишгородський р-н, Київська обл., 07300","104","55","54","3","46","3","49","","0","46","3","49","1","48","0","1","6","7","0","0","34","0","30.10.12"
"320397","96","Київська область","Всеукраїнський центр професійної реабілітації інвалідів №26, актова зала
урочище ""Туровча лісова"", 2, с.Лютіж, Вишгородський р-н, Київська обл., 07352","160","94","73","0","66","0","66","","0","0","0","66","2","64","0","6","11","3","1","4","37","2","31.10.12"
"320461","96","Київська область","будинок культури, актова зала
вул.Івана Проскури, 2, смт Іванків, Іванківський р-н, Київська обл., 07200","2296","896","2255","22","1378","22","1400","","0","1378","22","1400","39","1361","7","42","577","252","3","9","458","13","29.10.12"
"320462","96","Київська область","школа №1, фойє
вул.Орєхово-Зуєвська, 6, смт Іванків, Іванківський р-н, Київська обл., 07200","2200","875","2150","29","1299","26","1325","","0","1299","26","1325","32","1293","2","40","642","230","4","6","346","23","28.10.12"
"320463","96","Київська область","центр ""Довір’я"", каб.1
вул.Поліська, 65А, смт Іванків, Іванківський р-н, Київська обл., 07200","2168","918","2134","23","1233","17","1250","","0","1233","17","1250","27","1223","11","52","576","219","8","12","334","11","29.10.12"
"320464","96","Київська область","школа №2, фойє
вул.Івана Проскури, 49, смт Іванків, Іванківський р-н, Київська обл., 07200","1960","758","1931","15","1190","12","1202","","0","1190","12","1202","31","1171","5","34","487","223","3","11","393","15","29.10.12"
"320465","96","Київська область","будинок культури, актова зала
вул.Шляхова, 1, с.Обуховичі, Іванківський р-н, Київська обл., 07254","1080","487","1074","30","572","21","593","","0","572","21","593","19","574","1","18","307","43","6","1","191","7","29.10.12"
"320466","96","Київська область","дитячий садок, каб.1
вул.Леніна, 69, с.Сукачі, Іванківський р-н, Київська обл., 07205","848","335","838","22","491","22","513","","0","491","22","513","26","487","5","9","219","44","3","4","194","9","29.10.12"
"320467","96","Київська область","сільський клуб, актова зала
вул.Дружби, 6, с.Сукачі, Іванківський р-н, Київська обл., 07205","408","107","401","96","205","96","301","","0","205","96","301","2","299","5","12","106","20","0","1","145","10","29.10.12"
"320468","96","Київська область","Горностайпільська сільська рада, каб.2
вул.Леніна, 9, с.Горностайпіль, Іванківський р-н, Київська обл., 07222","840","318","828","147","391","131","522","","0","391","131","522","16","506","9","31","161","39","6","5","246","9","28.10.12"
"320469","96","Київська область","будинок культури, актова зала
вул.Шкільна, 11А, с.Шпилі, Іванківський р-н, Київська обл., 07260","712","287","698","27","403","22","425","","0","403","22","425","10","415","5","10","172","56","6","0","157","9","28.10.12"
"320470","96","Київська область","школа, фойє
вул.Шевченка, 77, с.Запрудка, Іванківський р-н, Київська обл., 07203","576","222","564","20","334","20","354","","0","334","20","354","16","338","2","10","88","70","3","1","157","7","28.10.12"
"320471","96","Київська область","школа, фойє
вул.Шкільна, 27, с.Розважів, Іванківський р-н, Київська обл., 07241","624","216","608","36","374","34","408","","0","374","34","408","7","401","4","21","142","53","3","2","170","6","29.10.12"
"320472","96","Київська область","школа, фойє
вул.Лесі Українки, 1, с.Кухарі, Іванківський р-н, Київська обл., 07243","528","151","510","60","320","57","377","","0","320","57","377","10","367","2","16","121","26","2","0","195","5","28.10.12"
"320473","96","Київська область","дитячий садок, каб.2
вул.Жовтнева, 1, с.Прибірськ, Іванківський р-н, Київська обл., 07253","520","144","519","65","317","59","376","","0","317","59","376","11","365","0","14","92","25","2","2","227","3","28.10.12"
"320474","96","Київська область","сільський клуб, актова зала
вул.Червоний Шлях, 72, с.Оране, Іванківський р-н, Київська обл., 07250","472","143","468","45","285","44","329","","0","285","44","329","8","321","5","7","113","23","3","4","158","8","28.10.12"
"320475","96","Київська область","школа, каб.2
вул.Шкільна, 3В, с.Блідча, Іванківський р-н, Київська обл., 07261","424","137","418","16","271","16","287","","0","271","16","287","14","273","4","14","75","23","2","4","146","5","29.10.12"
"320476","96","Київська область","будинок культури, фойє права сторона
вул.Петровського, 9, с.Феневичі, Іванківський р-н, Київська обл., 07263","824","340","817","50","448","36","484","","0","448","36","484","18","466","8","20","115","40","6","2","269","6","28.10.12"
"320477","96","Київська область","будинок культури, актова зала
вул.Поліська, 11, с.Термахівка, Іванківський р-н, Київська обл., 07240","400","138","395","38","229","33","262","","0","229","33","262","15","247","2","8","90","9","0","5","131","2","28.10.12"
"320478","96","Київська область","сільський клуб, каб.2
вул.Миру, 94, с.Коленці, Іванківський р-н, Київська обл., 07262","344","117","337","33","196","31","227","","0","196","31","227","11","216","0","8","96","13","0","0","96","3","29.10.12"
"320479","96","Київська область","будинок культури, каб.2
вул.Л. Бикова, 18А, с.Страхолісся, Іванківський р-н, Київська обл., 07225","352","153","351","19","185","14","199","","0","185","14","199","2","197","0","1","54","12","1","2","127","0","29.10.12"
"320480","96","Київська область","сільська рада, каб.2
вул.Леніна, 1, с.Варівськ, Іванківський р-н, Київська обл., 07233","344","103","339","42","202","39","241","","0","202","39","241","3","238","7","7","79","15","2","2","121","5","28.10.12"
"320481","96","Київська область","будинок культури, каб.2
пров.Мічурінський, 1А, с.Дитятки, Іванківський р-н, Київська обл., 07220","336","82","349","25","230","24","254","","0","230","24","254","6","248","2","9","47","7","1","3","178","1","28.10.12"
"320482","96","Київська область","школа, фойє
вул.Дзержинського, 10, с.Жміївка, Іванківський р-н, Київська обл., 07230","344","98","338","24","224","22","246","","0","224","22","246","9","237","8","5","57","17","1","2","147","0","28.10.12"
"320483","96","Київська область","сільськогосподарський виробничий кооператив ""Мусійки"", каб.1
вул.Леніна, 145, с.Мусійки, Іванківський р-н, Київська обл., 07211","304","80","297","27","197","27","224","","0","197","27","224","7","217","1","6","48","14","1","0","145","2","28.10.12"
"320484","96","Київська область","школа, фойє
вул.Леніна, 20, с.Макарівка, Іванківський р-н, Київська обл., 07251","304","93","295","39","174","37","211","","0","174","37","211","8","203","2","4","37","17","1","7","132","3","28.10.12"
"320485","96","Київська область","будинок культури, каб.2
пров.Леніна, 14, с.Олізарівка, Іванківський р-н, Київська обл., 07231","272","80","263","19","173","19","192","","0","173","19","192","4","188","1","3","49","5","1","2","127","0","28.10.12"
"320486","96","Київська область","будинок культури, актова зала
вул.Богдана Хмельницького, 74В, с.Болотня, Іванківський р-н, Київська обл., 07200","368","141","364","14","213","14","227","","0","213","14","227","18","209","1","4","102","29","3","1","65","4","28.10.12"
"320487","96","Київська область","сільський клуб, фойє
вул.Леніна, 70, с.Станішівка, Іванківський р-н, Київська обл., 07254","272","99","266","2","171","2","173","","0","171","2","173","5","168","2","4","71","18","1","2","67","3","28.10.12"
"320488","96","Київська область","школа, фойє
вул.Леніна, 69, с.Кропивня, Іванківський р-н, Київська обл., 07234","264","73","260","31","167","24","191","","0","167","24","191","7","184","4","6","44","11","0","2","116","1","29.10.12"
"320489","96","Київська область","дитячий садок, фойє
вул.Дружби, 1, с.Олива, Іванківський р-н, Київська обл., 07242","272","95","269","8","170","7","177","","0","170","7","177","4","173","1","9","44","9","2","1","105","2","28.10.12"
"320490","96","Київська область","фельдшерсько-акушерський пункт, каб.1
вул.Шляхова, 1А, с.Зорин, Іванківський р-н, Київська обл., 07221","256","75","255","29","155","26","181","","0","155","26","181","4","177","0","5","44","9","1","6","112","0","28.10.12"
"320491","96","Київська область","науково-виборча фірма ""Інтегдиф"", зал засідань
вул.Заводська, 3, с.Жеревпілля, Іванківський р-н, Київська обл., 07241","248","111","241","27","116","21","137","","0","116","21","137","8","129","0","21","35","22","0","2","49","0","28.10.12"
"320492","96","Київська область","сільський клуб, фойє
вул.Ставрівська, 40, с.Ставрівка, Іванківський р-н, Київська обл., 07201","88","23","87","11","55","10","65","","0","55","10","65","5","60","3","4","22","5","0","0","26","0","29.10.12"
"320493","96","Київська область","сільська рада, каб.1
вул.Шкільна, 1, с.Заруддя, Іванківський р-н, Київська обл., 07244","208","52","209","41","118","38","156","","0","118","38","156","0","156","0","2","46","12","1","1","92","2","28.10.12"
"320494","96","Київська область","будинок культури, фойє
вул.Гагаріна, 4, с.Сидоровичі, Іванківський р-н, Київська обл., 07232","200","52","195","16","133","15","148","","0","133","15","148","3","145","0","2","21","5","0","0","117","0","28.10.12"
"320495","96","Київська область","сільський клуб, актова зала
вул.Сергієнка, 33Д, с.Підгайне, Іванківський р-н, Київська обл., 07201","192","37","189","35","121","34","155","","0","121","34","155","8","147","4","10","35","11","3","3","80","1","28.10.12"
"320496","96","Київська область","школа, фойє
вул.Радянська, 50А, с.Рудня-Тальська, Іванківський р-н, Київська обл., 07203","200","53","203","18","136","11","147","","0","136","11","147","7","140","1","9","47","8","1","0","74","0","28.10.12"
"320497","96","Київська область","сільський клуб, актова зала
вул.Жовтнева, 2, с.Тетерівське, Іванківський р-н, Київська обл., 07245","176","38","173","56","89","49","138","","0","89","49","138","1","137","0","5","33","1","0","1","97","0","28.10.12"
"320498","96","Київська область","дитячий садок, каб.1
вул.Леніна, 9, с.Русаки, Іванківський р-н, Київська обл., 07252","192","72","192","23","97","23","120","","0","97","23","120","2","118","1","9","34","13","1","3","52","5","28.10.12"
"320499","96","Київська область","сільський клуб, актова зала
вул.8 Березня, 10, с.Мала Макарівка, Іванківський р-н, Київська обл., 07204","152","32","148","16","106","14","120","","0","106","14","120","1","119","1","3","51","4","1","1","56","2","28.10.12"
"320500","96","Київська область","сільський клуб, каб.2
вул.1-го Травня, 97А, с.Слобода-Кухарська, Іванківський р-н, Київська обл., 07201","144","48","140","20","76","20","96","","0","76","20","96","4","92","0","2","40","5","0","0","43","2","28.10.12"
"320501","96","Київська область","будинок культури, каб.2
вул.Кірова, 46, с.Рудня-Левківська, Іванківський р-н, Київська обл., 07210","136","33","134","8","96","7","103","","0","96","7","103","4","99","0","1","13","6","0","0","79","0","28.10.12"
"320502","96","Київська область","сільський клуб, актова зала
вул.Леніна, 4, с.Воропаївка, Іванківський р-н, Київська обл., 07203","136","35","134","4","97","4","101","","0","97","4","101","3","98","0","2","32","7","2","1","54","0","28.10.12"
"320503","96","Київська область","сільський клуб, каб 2
вул.Пролетарська, 60Б, с.Пироговичі, Іванківський р-н, Київська обл., 07202","120","23","118","7","90","7","97","","0","90","7","97","4","93","2","2","24","3","4","2","54","2","30.10.12"
"320504","96","Київська область","сільський клуб, каб.2
вул.Пролетарська, 20Б, с.Доманівка, Іванківський р-н, Київська обл., 07204","176","59","173","12","107","10","117","","0","107","10","117","4","113","1","3","23","12","0","1","70","3","29.10.12"
"320505","96","Київська область","будинок культури, каб.1
вул.Леніна, 50А, с.Піски, Іванківський р-н, Київська обл., 07213","176","49","167","7","120","7","127","","0","120","7","127","7","120","2","2","35","6","1","1","72","1","28.10.12"
"320506","96","Київська область","сільський клуб, актова зала
вул.Жовтнева, 29, с.Поталіївка, Іванківський р-н, Київська обл., 07211","120","44","114","11","66","10","76","","0","66","10","76","4","72","1","2","18","2","1","0","47","1","28.10.12"
"320507","96","Київська область","фельдшерсько-акушерський пункт, каб.1
вул.Миру, 53, с.Хочева, Іванківський р-н, Київська обл., 07202","112","34","107","15","64","14","78","","0","64","14","78","1","77","1","4","38","3","0","0","30","1","28.10.12"
"320508","96","Київська область","сільський клуб, каб.2
вул.Леніна, 27, с.Леонівка, Іванківський р-н, Київська обл., 07203","96","21","96","11","65","10","75","","0","65","10","75","2","73","1","1","14","5","1","1","50","0","29.10.12"
"320509","96","Київська область","сільський клуб, каб.2
вул.Леніна, 33А, с.Соснівка, Іванківський р-н, Київська обл., 07203","160","65","156","15","83","12","95","","0","83","12","95","2","93","0","2","20","8","0","0","62","1","28.10.12"
"320510","96","Київська область","сільський клуб, каб.2
вул.Ворошилова, 106, с.Старі Соколи, Іванківський р-н, Київська обл., 07214","176","37","173","30","110","29","139","","0","110","29","139","4","135","2","2","41","9","1","1","79","0","28.10.12"
"320511","96","Київська область","фельдшерсько-акушерський пункт, каб. 2
вул.Леніна, 46Б, с.Зимовище, Іванківський р-н, Київська обл., 07203","112","24","109","15","75","13","88","","0","75","13","88","1","87","1","1","41","7","0","0","35","2","28.10.12"
"320512","96","Київська область","сільський клуб, актова зала
вул.Правди, 6А, с.Нові Макалевичі, Іванківський р-н, Київська обл., 07204","96","21","94","8","68","7","75","","0","68","7","75","0","75","0","2","26","4","1","2","40","0","28.10.12"
"320513","96","Київська область","фельдшерсько-акушерський пункт, каб.1
вул.8 Березня, 5А, с.Старовичі, Іванківський р-н, Київська обл., 07201","88","25","87","10","53","10","63","","0","53","10","63","1","62","0","6","15","3","1","0","37","0","28.10.12"
"320514","96","Київська область","фельдшерсько-акушерський пункт, каб.1
вул.Зої Космодем’янської, 49, с.Білий Берег, Іванківський р-н, Київська обл., 07203","80","19","80","4","57","4","61","","0","57","4","61","1","60","0","0","30","5","0","0","25","0","29.10.12"
"320515","96","Київська область","фельдшерсько-акушерський пункт, каб.1
вул.Центральна, 56/1, с.Красилівка, Іванківський р-н, Київська обл., 07212","72","12","73","10","52","8","60","","0","52","8","60","4","56","0","3","4","5","0","0","44","0","28.10.12"
"320516","96","Київська область","сільський клуб, каб.1
вул.Недашківський, 2Б, с.Петрівське, Іванківський р-н, Київська обл., 07210","64","19","58","3","42","3","45","","0","42","3","45","1","44","0","1","2","2","0","0","39","0","29.10.12"
"320517","96","Київська область","Жеревське лісництво, каб.1
вул.Жеревська, 12А, с.Жерева, Іванківський р-н, Київська обл., 07201","64","11","63","9","44","9","53","","0","44","9","53","2","51","0","6","6","1","0","0","38","0","28.10.12"
"320518","96","Київська область","лікарня, статистичне відділення
вул.Поліська, 65, смт Іванків, Іванківський р-н, Київська обл., 07200","192","145","58","21","35","12","47","","0","35","12","47","2","45","0","1","11","8","1","0","22","2","29.10.12"
"320817","96","Київська область","Красятицький селищний будинок культури, актова зала
вул.Жовтнева, 84, смт Красятичі, Поліський р-н, Київська обл., 07053","648","231","622","57","363","54","417","","0","363","54","417","12","405","5","18","113","12","3","3","242","9","28.10.12"
"320818","96","Київська область","Вовчківський сільський клуб, фойє
вул.Жовтнева, 37, с.Вовчків, Поліський р-н, Київська обл., 07044","296","96","291","28","174","26","200","","0","174","26","200","4","196","1","5","57","7","2","2","122","0","28.10.12"
"320819","96","Київська область","Володарське НВО, актова зала
вул.Першотравнева, 57, с.Володарка, Поліський р-н, Київська обл., 07052","304","80","300","36","190","34","224","","0","190","34","224","1","223","0","5","39","13","0","1","163","2","28.10.12"
"320820","96","Київська область","Залишанський сільський клуб, фойє
вул.Покрова, 2В, с.Залишани, Поліський р-н, Київська обл., 07054","352","63","348","49","241","48","289","","0","241","48","289","2","287","0","14","53","8","0","4","207","1","28.10.12"
"320821","96","Київська область","Зеленополянський сільський клуб, фойє
вул.Шевченка, 2, с.Зелена Поляна, Поліський р-н, Київська обл., 07035","240","40","233","21","179","21","200","","0","179","21","200","1","199","2","4","61","7","0","1","123","1","28.10.12"
"320822","96","Київська область","школа, спортивний зал, 1-й поверх
вул.1-го Травня, 2, с.Луговики, Поліський р-н, Київська обл., 07031","400","94","398","47","259","47","306","","0","259","47","306","2","304","1","9","62","19","0","6","204","3","28.10.12"
"320823","96","Київська область","Максимовицький будинок культури, актова зала
вул.Миру, 123, с.Максимовичі, Поліський р-н, Київська обл., 07040","464","135","459","55","274","55","329","","0","274","55","329","12","317","1","13","97","19","4","6","173","4","30.10.12"
"320824","96","Київська область","школа, спортивний зал, 1-й поверх
вул.Шляхова, 3, с.Мар’янівка, Поліський р-н, Київська обл., 07034","304","79","304","24","202","23","225","","0","202","23","225","8","217","0","5","47","11","5","1","148","0","29.10.12"
"320825","96","Київська область","Млачівський сільський клуб, актова зала
вул.Лугова, 2, с.Млачівка, Поліський р-н, Київська обл., 07041","272","95","268","13","166","11","177","","0","166","11","177","9","168","1","6","40","11","0","4","103","3","31.10.12"
"320826","96","Київська область","Орджонікідзенський сільський клуб, актова зала
вул.Миру, 11, с.Орджонікідзе, Поліський р-н, Київська обл., 07051","176","53","167","22","104","19","123","","0","104","19","123","5","118","0","10","23","4","1","3","77","0","29.10.12"
"320827","96","Київська область","Рагівський сільський клуб, фойє
вул.Яблунева, 39, с.Рагівка, Поліський р-н, Київська обл., 07033","328","96","332","36","198","34","232","","0","198","34","232","1","231","1","13","41","5","2","4","163","2","28.10.12"
"320828","96","Київська область","школа, їдальня, 1-й поверх
вул.Піонерська, 25, с.Радинка, Поліський р-н, Київська обл., 07024","744","238","731","84","434","72","506","","0","434","72","506","14","492","7","16","153","35","4","2","267","8","29.10.12"
"320829","96","Київська область","Стещинський сільський клуб, актова зала
вул.К.Іванова, 2, с.Стещина, Поліський р-н, Київська обл., 07050","176","48","171","26","104","24","128","","0","104","24","128","2","126","1","2","24","7","1","3","88","0","29.10.12"
"320830","96","Київська область","Шкневський сільський клуб, актова зала
вул.Молодіжна, 1, с.Шкнева, Поліський р-н, Київська обл., 07043","120","20","113","15","85","15","100","","0","85","15","100","0","100","0","1","13","4","0","0","81","1","28.10.12"
"320831","96","Київська область","Поліська центральна районна лікарня, фойє, 1-й поверх
вул.Жовтнева, 7, смт Красятичі, Поліський р-н, Київська обл., 07053","32","6","26","3","23","3","26","","0","23","3","26","0","26","0","1","2","2","0","0","20","1","29.10.12"
"321259","96","Київська область","дитячий центр творчості, хол
вул.Будьонного, 2, м.Буча, Київської обл., 08292","1264","563","1253","9","693","8","701","","0","693","8","701","25","676","12","34","354","118","5","6","128","19","29.10.12"
"321260","96","Київська область","Бучанська міська рада, хол
вул.Енергетиків, 12, м.Буча, Київської обл., 08292","2456","981","2429","13","1465","10","1475","","0","1465","10","1475","51","1424","22","67","668","322","9","26","270","40","28.10.12"
"321261","96","Київська область","школа №4, спортивна зала
вул.Енергетиків, 4, м.Буча, Київської обл., 08292","2144","877","2117","28","1245","22","1267","","0","1245","22","1267","56","1211","15","84","578","226","16","20","228","44","31.10.12"
"321262","96","Київська область","Центральний будинок культури, танцювальна зала
вул.Пушкінська, 61Б, м.Буча, Київської обл., 08292","2096","834","2098","32","1236","26","1262","","0","1234","26","1260","33","1227","17","59","580","226","18","22","255","50","30.10.12"
"321263","96","Київська область","Центральний будинок культури, актова зала
вул.Пушкінська, 61Б, м.Буча, Київської обл., 08292","1552","687","1542","7","860","5","865","","0","860","5","865","40","825","14","40","422","159","8","10","148","24","29.10.12"
"321264","96","Київська область","школа №1, спортивна зала
вул.Малиновського, 74, м.Буча, Київської обл., 08292","2200","1019","2203","6","1175","6","1181","","0","1175","6","1181","36","1145","14","59","621","219","7","10","172","43","30.10.12"
"321265","96","Київська область","школа №2, хол
вул.Шевченка, 14, м.Буча, Київської обл., 08292","1128","568","1132","2","558","2","560","","0","558","2","560","16","544","9","24","274","113","7","8","87","22","29.10.12"
