"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Григоришин
Роман
Мирославович","Дригало
Людмила
Борисівна","Зозуля
Руслан
Петрович","Костельнюк
Олександр
Васильович","Коча
Ігор
Юрійович","Ліневич
Олександр
Станіславович","Марченко
Олександр
Олександрович","Музика
Григорій
Дмитрович","Найвельт
Едуард
Михайлович","Нечас
Олександр
Вікторович","Пензарєв
Олексій
Якович","Підпалий
Юрій
Миколайович","Поляруш
Олександр
Олексійович","Чудновський
Віталій
Олегович","Дата підписання протоколу"
"000001","90","Київська область","
вул.Привокзальна, 3, м.Біла Церква, Київська обл.","60","42","18","0","18","0","18","","0","18","0","18","0","18","4","2","3","0","0","0","0","0","0","0","0","1","2","6","28.10.12"
"321097","90","Київська область","школа №8, великий спортзал
Гайок, м.Біла Церква, Київська обл., 09104","1998","678","1966","20","1303","17","1320","","0","1303","17","1320","31","1289","79","165","54","8","4","53","279","17","7","1","6","5","33","578","29.10.12"
"321098","90","Київська область","школа №8, малий спортивний зал
Гайок, м.Біла Церква, Київська обл., 09104","1836","640","1808","9","1187","9","1196","","0","1187","9","1196","38","1158","71","125","34","9","5","57","236","8","7","0","9","1","47","549","29.10.12"
"321099","90","Київська область","дитячо-юнацька спортивна школа ""Олімп"", хол
вул.Сломчинського, 15, м.Біла Церква, Київська обл., 09113","1998","840","1729","2","1157","1","1158","","0","1157","1","1158","23","1135","84","100","20","15","14","31","167","14","7","0","59","6","14","604","29.10.12"
"321100","90","Київська область","Білоцерківське вище професійне училище будівництва та сервісу, спортивний зал
вул.Турчанінова, 33/35, м.Біла Церква, Київська обл., 09113","2328","871","2290","38","1422","35","1457","","0","1422","35","1457","57","1400","136","186","42","13","4","71","447","12","7","5","9","6","20","442","29.10.12"
"321101","90","Київська область","Білоцерківське вище професійне училище будівництва та сервісу, вестибюль
вул.Турчанінова, 33/35, м.Біла Церква, Київська обл., 09113","468","166","468","1","301","1","302","","0","301","1","302","2","300","26","36","8","4","0","12","101","3","0","1","4","2","6","97","29.10.12"
"321102","90","Київська область","Білоцекрівський медичний коледж, фойє
вул.Сквирське шосе, 240, м.Біла Церква, Київська обл., 09113","2436","923","2432","13","1501","12","1513","","0","1501","12","1513","27","1486","148","201","58","16","5","64","321","10","5","2","5","1","8","642","29.10.12"
"321103","90","Київська область","школа №5, вестибюль
вул.Крижанівського, 7, м.Біла Церква, Київська обл., 09113","2496","867","2475","45","1592","37","1629","","0","1592","37","1629","48","1581","37","228","51","4","7","88","533","19","7","3","25","5","32","542","29.10.12"
"321104","90","Київська область","школа №5, спортивний зал
вул.Крижанівського, 7, м.Біла Церква, Київська обл., 09113","318","98","321","6","214","6","220","","0","214","6","220","9","211","15","45","6","0","1","28","73","3","0","0","2","0","0","38","29.10.12"
"321105","90","Київська область","Дитяча стоматологічна поліклініка, хол
вул.Січневого прориву, 2, м.Біла Церква, Київська обл., 09113","2394","865","2367","43","1497","32","1529","","0","1497","32","1529","28","1501","107","190","42","12","11","76","561","11","6","8","27","4","26","420","29.10.12"
"321106","90","Київська область","навчальний корпус №6 юридичного факультету аграрного університету, хол
бульв.50-річчя Перемоги, 96, м.Біла Церква, Київська обл., 09113","1908","770","1877","17","1124","14","1138","","0","1124","14","1138","31","1107","103","160","38","14","3","38","397","8","6","1","8","4","16","311","29.10.12"
"321107","90","Київська область","готель ""Рось"", фойє
бульв.50-річчя Перемоги, 94, м.Біла Церква, Київська обл., 09113","1476","425","1473","8","1045","6","1051","","0","1045","6","1051","16","1035","86","140","34","2","5","37","384","9","1","3","9","3","6","316","29.10.12"
"321108","90","Київська область","поліклініка сімейної медицини, хол
вул.Щорса, 65А, м.Біла Церква, Київська обл., 09113","1920","611","1913","22","1293","16","1309","","0","1293","16","1309","25","1284","94","152","35","10","11","32","542","6","2","1","22","5","2","370","29.10.12"
"321109","90","Київська область","школа №6, центральний вестибюль
вул.Сломчинського, 8, м.Біла Церква, Київська обл., 09113","2472","923","2443","25","1524","25","1549","","0","1524","25","1549","39","1510","125","220","49","11","11","69","528","16","7","2","17","3","22","430","29.10.12"
"321110","90","Київська область","школа №6, вестибюль 2
вул.Сломчинського, 8, м.Біла Церква, Київська обл., 09113","1662","661","1349","0","1001","0","1001","","0","1001","0","1001","13","988","58","49","19","17","8","19","57","12","5","3","8","7","7","719","28.10.12"
"321111","90","Київська область","7 спортивний клуб Міноборони України, спортзал
бульв.50-річчя Перемоги, 54Г, м.Біла Церква, Київська обл., 09117","2274","828","2246","34","1413","33","1446","","0","1413","33","1446","40","1406","110","230","36","11","6","68","469","0","3","0","20","0","2","451","29.10.12"
"321112","90","Київська область","Білоцерківський колегіум, вестибюль
бульв.50-річчя Перемоги, 149, м.Біла Церква, Київська обл., 09117","2448","856","2437","21","1574","18","1592","","0","1574","18","1592","32","1560","58","212","44","14","7","55","578","12","7","2","18","1","30","522","29.10.12"
"321113","90","Київська область","Білоцерківський колегіум, актова зала
бульв.50-річчя Перемоги, 149, м.Біла Церква, Київська обл., 09117","726","208","733","5","515","3","518","","0","515","3","518","9","509","32","60","24","0","3","12","220","1","3","1","14","4","18","117","29.10.12"
"321114","90","Київська область","школа №16, блок А, хол
вул.Зелена, 21, м.Біла Церква, Київська обл., 09117","2154","739","2131","20","1397","18","1415","","0","1397","18","1415","23","1392","101","188","30","8","3","31","635","11","5","1","12","1","25","341","29.10.12"
"321115","90","Київська область","школа №16, блок Б, хол
вул.Зелена, 21, м.Біла Церква, Київська обл., 09117","2514","858","2483","25","1637","19","1656","","0","1637","19","1656","24","1632","90","203","33","13","11","36","681","11","5","1","15","5","35","493","29.10.12"
"321116","90","Київська область","станція швидкої медичної допомоги, хол
вул.Водопійна, 40, м.Біла Церква, Київська обл., 09117","2166","701","2140","17","1451","14","1465","","0","1451","14","1465","25","1440","41","231","52","15","0","55","451","17","10","2","18","4","20","524","28.10.12"
"321117","90","Київська область","управління архітектури, хол
бульв.50-річчя Перемоги, 75, м.Біла Церква, Київська обл., 09117","444","117","441","1","326","1","327","","0","326","1","327","10","317","22","57","12","2","0","8","94","3","8","0","5","1","5","100","29.10.12"
"321118","90","Київська область","школа №7, вестибюль
бульв.50-річчя Перемоги, 40, м.Біла Церква, Київська обл., 09117","2394","796","2376","45","1558","40","1598","","0","1558","40","1598","34","1564","96","196","36","11","3","52","545","10","8","0","34","4","18","551","29.10.12"
"321119","90","Київська область","школа №7, великий спортзал
бульв.50-річчя Перемоги, 40, м.Біла Церква, Київська обл., 09117","2424","845","2415","17","1562","17","1579","","0","1562","17","1579","28","1551","104","178","44","9","4","60","559","10","5","3","27","5","28","515","29.10.12"
"321120","90","Київська область","відділення зв’язку, к.1
бульв.50-річчя Перемоги, 107(вхід з двору), м.Біла Церква, Київська обл., 09117","396","138","392","2","256","2","258","","0","256","2","258","14","244","19","39","13","5","3","8","56","1","3","0","4","0","3","90","29.10.12"
"321121","90","Київська область","шахово-шашковий клуб, зал 1
вул.Олеся Гончара, 11, м.Біла Церква, Київська обл., 09117","2448","786","2412","28","1635","27","1662","","0","1635","27","1662","35","1627","120","183","49","16","6","75","538","2","3","1","16","4","18","596","29.10.12"
"321122","90","Київська область","спеціалізована школа №9, вестибюль
вул.Водопійна, 22, м.Біла Церква, Київська обл., 09117","2328","733","2319","39","1559","36","1595","","0","1559","36","1595","35","1560","115","270","37","16","4","41","540","10","6","1","14","7","10","489","29.10.12"
"321123","90","Київська область","спеціалізована школа №9, спортивний зал
вул.Водопійна, 22, м.Біла Церква, Київська обл., 09117","366","119","367","6","243","4","247","","0","243","4","247","3","244","17","20","4","2","0","5","85","1","1","0","0","0","0","109","29.10.12"
"321124","90","Київська область","гуртожиток технолого-економічного коледжу аграрного університету, хол
вул.Чуйкова, 3, м.Біла Церква, Київська обл., 09117","1512","508","1490","11","993","11","1004","","0","993","11","1004","17","987","97","135","37","5","8","14","294","5","7","1","6","0","3","375","29.10.12"
"321125","90","Київська область","будинок художньої творчості, каб.6
вул.Богдана Хмельницького, 42/41, м.Біла Церква, Київська обл., 09117","2292","760","2241","17","1519","13","1532","","0","1519","13","1532","28","1504","105","230","62","8","4","48","515","12","5","0","16","5","21","473","29.10.12"
"321126","90","Київська область","гімназія №2, хол
вул.Гетьманська, 25, м.Біла Церква, Київська обл., 09117","1320","431","1312","23","869","20","889","","0","869","20","889","23","866","47","110","24","4","0","23","355","6","5","0","9","5","7","271","29.10.12"
"321127","90","Київська область","спеціалізована школа №1, актова зала
вул.Логінова, 28, м.Біла Церква, Київська обл., 09117","2472","900","2449","30","1544","28","1572","","0","1544","28","1572","43","1529","131","221","38","16","3","63","512","22","5","1","11","3","23","480","29.10.12"
"321128","90","Київська область","гімназія №1, зелений зал
вул.Ярослава Мудрого, 54, м.Біла Церква, Київська обл., 09107","2286","656","2266","19","1616","14","1630","","0","1616","14","1630","35","1595","55","223","38","12","4","56","476","12","14","0","19","9","30","647","29.10.12"
"321129","90","Київська область","гімназія №1, рекреація
вул.Ярослава Мудрого, 54, м.Біла Церква, Київська обл., 09107","414","123","415","6","287","4","291","","0","287","4","291","6","285","21","39","11","1","2","6","77","2","3","0","5","2","4","112","29.10.12"
"321130","90","Київська область","Українське товариство сліпих, 2-й поверх, клуб, актова зала
вул.Петра Запорожця, 39, м.Біла Церква, Київська обл., 09107","1800","593","1793","18","1194","13","1207","","0","1194","13","1207","23","1184","105","119","34","4","4","44","390","6","7","1","10","5","13","442","29.10.12"
"321131","90","Київська область","міська санітарно-епідеміологічна станція, актова зала
вул.Павліченко, 91, м.Біла Церква, Київська обл., 09107","1722","586","1709","10","1126","10","1136","","0","1126","10","1136","23","1113","98","114","29","3","4","26","417","5","5","0","8","3","9","392","29.10.12"
"321132","90","Київська область","економіко-правовий ліцей, актова зала
вул.Павліченко, 30, м.Біла Церква, Київська обл., 09107","1854","614","1827","4","1236","4","1240","","0","1236","4","1240","33","1207","92","169","33","6","6","20","473","11","7","1","12","1","7","369","29.10.12"
"321133","90","Київська область","гуманітарно-педагогічний коледж, фойє
вул.Ярослава Мудрого, 37, м.Біла Церква, Київська обл., 09107","1608","471","1589","18","1120","17","1137","","0","1120","17","1137","24","1113","94","208","24","8","4","31","332","10","4","0","7","1","18","372","29.10.12"
"321134","90","Київська область","кінотеатр ім. О.Довженка, фойє
вул.Ярослава Мудрого, 19, м.Біла Церква, Київська обл., 09117","1116","409","1109","17","694","13","707","","0","694","13","707","8","699","66","100","12","3","3","36","238","5","3","0","3","2","12","216","29.10.12"
"321135","90","Київська область","школа №3, 2-й поверх, вестибюль
вул.Павліченко, 22, м.Біла Церква, Київська обл., 09107","2376","870","2363","29","1478","28","1506","","0","1478","28","1506","47","1459","120","162","55","5","5","26","515","11","12","0","11","3","4","530","29.10.12"
"321136","90","Київська область","технолого-економічний коледж аграрного університету, хол
вул.Ярослава Мудрого, 21/2, м.Біла Церква, Київська обл., 09117","1494","556","1490","18","922","16","938","","0","922","16","938","25","913","64","145","25","12","2","31","319","3","5","2","11","1","13","280","29.10.12"
"321137","90","Київська область","школа №18, рекреація
вул.Шевченка, 33, м.Біла Церква, Київська обл., 09117","1566","544","1569","15","1009","13","1022","","0","1009","13","1022","22","1000","76","161","23","4","8","8","331","2","5","2","10","2","3","365","29.10.12"
"321138","90","Київська область","спеціалізована школа №19, хол
вул.Мічуріна, 49, м.Біла Церква, Київська обл., 09117","2148","726","2133","26","1398","24","1422","","0","1398","24","1422","36","1386","116","155","46","7","7","51","628","6","5","1","4","9","16","335","29.10.12"
"321139","90","Київська область","коледж сервісу та дизайну, хол
вул.Шевченка, 91, м.Біла Церква, Київська обл., 09117","2454","857","2430","19","1584","13","1597","","0","1584","13","1597","31","1566","127","183","66","5","3","38","546","0","3","1","11","4","14","565","29.10.12"
"321140","90","Київська область","коледж сервісу та дизайну, хол навчального корпусу
вул.Шевченка, 91, м.Біла Церква, Київська обл., 09117","444","128","441","2","314","2","316","","0","314","2","316","4","312","16","27","15","3","0","2","117","2","2","0","3","0","4","121","29.10.12"
"321141","90","Київська область","навчально-виробничий комбінат, коридор
вул.Гризодубової, 84, м.Біла Церква, Київська обл., 09108","2370","854","2346","19","1504","12","1516","","0","1504","12","1516","25","1491","63","132","70","10","3","39","604","6","2","0","3","3","19","537","29.10.12"
"321142","90","Київська область","дитячий будинок ""Материнка"", кім.1
вул.Гризодубової, 84А, м.Біла Церква, Київська обл., 09108","1746","754","1755","5","989","3","992","","0","989","3","992","16","976","68","74","54","7","1","14","292","4","3","0","4","5","16","434","29.10.12"
"321143","90","Київська область","механіко-енергетичний технікум, рекреація 2
вул.Леваневського, 52/4, м.Біла Церква, Київська обл., 09108","2070","755","2061","5","1312","3","1315","","0","1312","3","1315","26","1289","142","143","62","4","6","46","415","6","8","0","13","1","10","433","29.10.12"
"321144","90","Київська область","механіко-енергетичний технікум, рекреація 1
вул.Леваневського, 52/4, м.Біла Церква, Київська обл., 09108","1680","593","1676","10","1079","8","1087","","0","1079","8","1087","15","1072","105","78","64","4","1","29","243","2","4","2","12","0","6","522","29.10.12"
"321145","90","Київська область","Клуб за місцем проживання ""Прометей"", зала для заходів
вул.Східна, 22, м.Біла Церква, Київська обл., 09108","2460","793","2445","20","1651","16","1667","","0","1651","16","1667","29","1638","151","165","136","9","3","98","471","4","4","1","6","1","22","567","29.10.12"
"321146","90","Київська область","школа №11, рекреація 1
вул.Східна, 20, м.Біла Церква, Київська обл., 09108","2424","768","2406","18","1643","13","1656","","0","1643","13","1656","51","1605","71","225","103","4","4","70","547","10","7","0","6","1","19","538","29.10.12"
"321147","90","Київська область","школа №11, рекреація 2
вул.Східна, 20, м.Біла Церква, Київська обл., 09108","486","157","487","1","329","0","329","","0","329","0","329","6","323","27","46","20","1","0","15","109","0","1","0","1","1","5","97","29.10.12"
"321148","90","Київська область","школа №4, 1-й поверх, блок 1
вул.Молодіжна, 12, м.Біла Церква, Київська обл., 09108","1980","814","1967","2","1164","2","1166","","0","1164","2","1166","28","1138","24","104","143","6","3","42","293","4","1","1","9","0","9","499","29.10.12"
"321149","90","Київська область","школа №4, спортзал
вул.Молодіжна, 12, м.Біла Церква, Київська обл., 09108","966","269","952","9","689","8","697","","0","689","8","697","15","682","43","76","56","3","0","36","216","6","1","0","5","0","8","232","29.10.12"
"321150","90","Київська область","школа №4, хол
вул.Молодіжна, 12, м.Біла Церква, Київська обл., 09108","2346","718","2320","16","1615","13","1628","","0","1615","13","1628","48","1580","129","183","124","5","5","69","461","8","6","0","9","5","18","558","29.10.12"
"321151","90","Київська область","бібліотека №8, виставковий зал
вул.Леваневського, 55, м.Біла Церква, Київська обл., 09108","2460","711","2440","17","1733","16","1749","","0","1733","16","1749","34","1715","132","198","97","10","5","34","531","11","5","1","11","6","14","660","29.10.12"
"321152","90","Київська область","палац культури відкритого акціонерного товариства ""Росава"", кришталева зала
вул.Леваневського, 53, м.Біла Церква, Київська обл., 09108","2496","834","2475","36","1630","32","1662","","0","1630","32","1662","28","1634","148","181","87","3","3","85","541","8","4","0","14","2","13","545","29.10.12"
"321153","90","Київська область","музична школа №3, каб.27
вул.Леваневського, 47/1, м.Біла Церква, Київська обл., 09108","372","99","383","6","270","3","273","","0","270","3","273","4","269","23","29","14","3","3","14","86","5","0","0","1","1","2","88","29.10.12"
"321154","90","Київська область","університет ""Україна"", ауд.11
пров.Комсомольський 2-й, 42, м.Біла Церква, Київська обл., 09108","2352","780","2333","12","1563","9","1572","","0","1563","9","1572","35","1537","148","174","71","8","6","76","538","6","10","2","17","2","16","463","29.10.12"
"321155","90","Київська область","спеціалізована школа №12, хол
бульв.Комсомольський, 11, м.Біла Церква, Київська обл., 09108","2490","761","2462","16","1718","11","1729","","0","1718","11","1729","39","1690","81","206","73","12","10","56","584","13","8","1","17","0","22","607","29.10.12"
"321156","90","Київська область","школа №12, хол
бульв.Комсомольський, 11, м.Біла Церква, Київська обл., 09108","510","153","509","0","357","0","357","","0","357","0","357","7","350","47","46","22","2","1","8","104","2","1","1","2","0","6","108","29.10.12"
"321157","90","Київська область","центр творчості дітей та юнацтва ""Соняшник"", клас хореографії
вул.Некрасова, 139, м.Біла Церква, Київська обл., 09108","2502","889","2472","11","1604","9","1613","","0","1604","9","1613","35","1578","133","243","110","9","3","31","523","7","6","1","8","3","12","489","29.10.12"
"321158","90","Київська область","школа №20, рекреація 1
вул.Некрасова, 121, м.Біла Церква, Київська обл., 09108","2424","841","2402","6","1580","3","1583","","0","1580","3","1583","31","1552","171","173","89","22","4","79","525","5","4","0","9","1","22","448","29.10.12"
"321159","90","Київська область","школа №20, спортзал
вул.Некрасова, 121, м.Біла Церква, Київська обл., 09108","444","143","455","0","301","0","301","","0","301","0","301","3","298","32","36","8","0","0","13","109","1","1","0","3","0","4","91","29.10.12"
"321160","90","Київська область","школа №20, рекреація 2
вул.Некрасова, 121, м.Біла Церква, Київська обл., 09108","2466","878","2447","13","1579","9","1588","","0","1579","9","1588","36","1552","125","170","109","11","5","114","459","10","3","1","10","1","14","520","29.10.12"
"321161","90","Київська область","школа №21, рекреація
вул.Некрасова, 127, м.Біла Церква, Київська обл., 09108","2136","679","2112","7","1451","6","1457","","0","1451","6","1457","38","1419","30","193","81","12","3","69","483","8","2","0","5","3","17","513","28.10.12"
"321162","90","Київська область","школа №21, актова зала
вул.Некрасова, 127, м.Біла Церква, Київська обл., 09108","858","293","853","1","564","1","565","","0","564","1","565","9","556","65","70","38","8","3","33","144","1","3","0","3","2","4","182","28.10.12"
"321163","90","Київська область","школа №23, кімната дозвілля
вул.Петра Запорожця, 195, м.Біла Церква, Київська обл., 09114","2376","926","2358","8","1445","5","1450","","0","1445","5","1450","27","1423","119","141","52","12","3","15","554","9","0","0","7","2","0","509","29.10.12"
"321164","90","Київська область","бібліотека №6, читальний зал
вул.Петра Запорожця, 131, м.Біла Церква, Київська обл., 09114","1230","446","1221","0","784","0","784","","0","784","0","784","14","770","67","76","42","7","18","2","245","0","2","0","5","1","3","302","29.10.12"
"321165","90","Київська область","центр олімпійської підготовки, їдальня
вул.Рибна, 3, м.Біла Церква, Київська обл., 09107","2352","941","2326","10","1404","7","1411","","0","1404","7","1411","22","1389","113","167","59","16","1","50","536","12","7","1","10","2","9","406","29.10.12"
"321166","90","Київська область","вечірня школа №6, хол
вул.Калініна, 20, м.Біла Церква, Київська обл., 09109","2226","822","2209","25","1382","22","1404","","0","1382","22","1404","35","1369","27","154","59","10","3","36","561","7","4","2","8","3","29","466","29.10.12"
"321167","90","Київська область","вечірня школа №6, їдальня
вул.Калініна, 20, м.Біла Церква, Київська обл., 09109","1512","687","1513","6","819","6","825","","0","818","6","824","12","812","58","88","18","1","6","25","297","4","0","0","0","3","12","300","29.10.12"
"321168","90","Київська область","Білоцерківське професійно-технічне училище, актова зала
вул.Карбишева, 9А, м.Біла Церква, Київська обл., 09109","1224","539","1206","20","669","16","685","","0","669","16","685","24","661","58","99","15","10","2","10","265","2","0","0","8","0","3","189","29.10.12"
