"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Засуха
Тетяна
Володимирівна","Кияниця
Валерій
Миколайович","Лазебник
Віталій
Михайлович","Михайлівський
Юрій
Ігорович","Мосійчук
Ігор
Володимирович","Онищенко
Віталій
Петрович","Пашкевич
Станіслав
Петрович","Попович
Валерій
Федорович","Продіус
Віктор
Миколайович","Романюк
Віктор
Миколайович","Савицький
Володимир
Іванович","Скороход
Андрій
Валерійович","Тимченко
Катерина
Петрівна","Тугай
Сергій
Іванович","Яковець
Юрій
Миколайович","Дата підписання протоколу"
"000001","94","Київська область","
вул.Луначарського, 1, м. Васильків, Київська обл., 08600","16","3","18","0","13","0","13","","0","13","0","13","0","13","10","0","0","0","0","0","0","0","0","2","0","0","1","0","0","28.10.12"
"320278","94","Київська область","навчально-виховний комплекс, актовий зал
вул.Леніна, 38, с.Барахти, Васильківський р-н, Київська обл., 08646","844","323","838","55","470","51","521","","0","470","51","521","14","507","268","13","4","2","5","1","2","13","2","189","1","3","3","0","1","30.10.12"
"320279","94","Київська область","Приватне підприємство ""Агрофірма Данилівська"", актовий зал
вул.Леніна, 1А, с.Варовичі, Васильківський р-н, Київська обл., 08619","284","53","280","19","213","18","231","","0","213","18","231","6","225","134","5","1","0","4","0","1","0","0","79","0","0","0","0","1","28.10.12"
"320280","94","Київська область","будинок культури, фойє
вул.Шевченка, 37, с.Велика Бугаївка, Васильківський р-н, Київська обл., 08636","460","152","454","38","273","35","308","","0","273","35","308","6","302","197","9","3","1","1","2","2","14","1","67","0","0","0","2","3","29.10.12"
"320281","94","Київська область","сільська рада, зал засідань
вул.Польова, 1, с.Велика Вільшанка, Васильківський р-н, Київська обл., 08671","680","247","674","57","380","53","433","","0","380","53","433","22","411","223","12","5","4","7","3","9","8","1","123","4","1","4","3","4","28.10.12"
"320282","94","Київська область","школа, вестибюль
вул.Леніна, 36, с.Велика Солтанівка, Васильківський р-н, Київська обл., 08641","520","178","513","54","290","52","342","","0","290","52","342","9","333","152","10","6","1","5","0","5","3","4","134","3","0","4","1","5","29.10.12"
"320283","94","Київська область","навчально-виховний комплекс, вестибюль
вул.Щорса, 7А, с.Вінницькі Стави, Васильківський р-н, Київська обл., 08651","344","36","341","26","282","26","308","","0","282","26","308","2","306","294","0","0","0","1","1","0","0","0","10","0","0","0","0","0","28.10.12"
"320284","94","Київська область","школа, вестибюль
вул.Леніна, 10, с.Вільшанська-Новоселиця, Васильківський р-н, Київська обл., 08675","368","127","363","47","196","45","241","","0","196","45","241","10","231","61","11","2","1","6","1","6","4","1","121","1","4","3","1","8","28.10.12"
"320285","94","Київська область","сільський клуб, актовий зал
вул.Леніна, 2, с.Гвоздів, Васильківський р-н, Київська обл., 08634","352","126","350","14","212","14","226","","0","212","14","226","9","217","142","11","2","0","1","1","4","8","1","36","0","2","2","5","2","29.10.12"
"320286","94","Київська область","школа, вестибюль
вул.Вокзальна, 20, смт Глеваха, Васильківський р-н, Київська обл., 08631","2180","728","2163","5","1447","5","1452","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320287","94","Київська область","Науковий національний центр ""Інститут механізації та електрофікації сільського господарстрва"", фойє
вул.Вокзальна, 11, смт Глеваха, Васильківський р-н, Київська обл., 08631","1668","699","1637","19","957","12","969","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320288","94","Київська область","будинок культури, зал
вул.Київська, 78, смт Глеваха, Васильківський р-н, Київська обл., 08631","2084","830","2076","14","1243","11","1254","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320289","94","Київська область","кафе ""Патіфон"", фойє
вул.Київська, 96, смт Глеваха, Васильківський р-н, Київська обл., 08631","1880","863","1863","5","1013","4","1017","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320290","94","Київська область","вул.Південна,3, смт Гребінки, Васильківський р-н, Київська обл., 08662
вул.Південна,3, смт Гребінки, Васильківський р-н, Київська обл., 08662","1464","397","1454","29","1048","19","1067","","0","1048","19","1067","18","1049","683","30","6","0","6","0","19","5","0","300","0","0","0","0","0","28.10.12"
"320291","94","Київська область","Міжшкільний навчально-виробничий комбінат, актовий зал
вул.Карла Маркса, 94, смт Гребінки, Васильківський р-н, Київська обл., 08662","1300","417","1287","46","842","41","883","","0","842","41","883","6","877","512","12","4","0","3","1","8","8","4","313","1","2","1","0","8","29.10.12"
"320292","94","Київська область","гімназія, зал, 2-й поверх
вул.Леніна, 5, смт Гребінки, Васильківський р-н, Київська обл., 08662","1384","464","1367","48","876","44","920","","0","876","44","920","10","910","459","11","8","2","7","3","11","14","3","377","1","5","4","0","5","28.10.12"
"320293","94","Київська область","школа, актовий зал, 2-й поверх
вул.Леніна, 23, смт Гребінки, Васильківський р-н, Київська обл., 08662","1512","475","1500","31","1008","29","1037","","0","1008","29","1037","13","1024","585","15","8","3","6","2","27","16","1","347","3","4","3","1","3","29.10.12"
"320294","94","Київська область","будинок культури, актовий зал
військове містечко 21, будинок культури, с.Данилівка, Васильківський р-н, Київська обл., 08619","1604","674","1529","4","926","4","930","","0","926","4","930","20","910","334","37","23","5","11","14","58","24","10","339","10","5","14","4","22","29.10.12"
"320295","94","Київська область","школа, спортивний зал
вул.Щорса, 88, с.Данилівка, Васильківський р-н, Київська обл., 08618","1268","659","1235","31","584","25","609","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320296","94","Київська область","навчально-виховний комплекс, вестибюль
вул.Грушевського, 34, с.Дзвінкове, Васильківський р-н, Київська обл., 08620","244","70","243","22","152","22","174","","0","152","22","174","2","172","74","15","4","0","0","0","3","1","0","73","1","0","0","0","1","28.10.12"
"320297","94","Київська область","будинок культури, актовий зал
вул.Леніна, 19, с.Діброва, Васильківський р-н, Київська обл., 08627","924","361","925","24","539","24","563","","0","539","24","563","13","550","159","53","8","0","6","2","7","5","3","296","0","1","2","1","7","30.10.12"
"320298","94","Київська область","школа, спортивний зал
вул.Вчених, 1, смт Дослідницьке, Васильківський р-н, Київська обл., 08654","1744","490","1736","22","1233","21","1254","","0","1233","21","1254","26","1228","642","22","10","4","11","6","15","16","5","479","4","2","3","1","8","28.10.12"
"320299","94","Київська область","бібліотека, зал
вул.Мічуріна, 6, с.Залізне, Васильківський р-н, Київська обл., 08606","696","233","749","12","452","11","463","","0","452","11","463","11","452","222","6","13","2","5","3","23","26","2","137","2","1","5","3","2","29.10.12"
"320300","94","Київська область","школа, вестибюль
вул.Пушкінська, 28, с.Здоровка, Васильківський р-н, Київська обл., 08628","1060","483","1047","30","548","29","577","","0","548","29","577","16","561","213","15","11","1","10","1","13","19","0","260","5","3","2","2","6","29.10.12"
"320301","94","Київська область","школа, вестибюль, 1-й поверх
вул.Освіти, 11, с.Зелений Бір, Васильківський р-н, Київська обл., 08635","680","271","672","17","392","17","409","","0","392","17","409","13","396","148","17","4","0","5","1","17","4","2","184","2","1","2","4","5","30.10.12"
"320302","94","Київська область","будинок культури, зал
вул.Леніна, 86, с.Іванковичі, Васильківськийц р-н, Київська обл., 08632","756","300","748","23","434","22","456","","0","434","22","456","16","440","154","22","4","4","10","5","13","18","3","178","2","3","8","13","3","28.10.12"
"320303","94","Київська область","будинок культури, зал
вул.Леніна, 57, смт Калинівка, Васильківський р-н, Київська обл., 08623","1692","661","1679","38","995","36","1031","","0","995","36","1031","23","1008","370","50","19","2","14","4","21","19","5","483","2","3","2","9","5","30.10.12"
"320304","94","Київська область","школа №1, актовий зал, 1-й поверх
вул.Леніна, 59, смт Калинівка, Васильківський р-н, Київська обл., 08623","1668","593","1646","28","1047","28","1075","","0","1047","28","1075","17","1058","441","36","11","2","11","5","26","18","3","479","9","7","3","3","4","29.10.12"
"320305","94","Київська область","школа №2, актовий зал, 1-й поверх
вул.Пушкіна, 24, смт Калинівка, Васильківський р-н, Київська обл., 08623","1416","629","1401","40","751","36","787","","0","751","36","787","20","767","239","40","22","2","9","3","30","10","3","393","3","6","2","2","3","30.10.12"
"320306","94","Київська область","навчально-виховний комплекс ""Ковалівська гімназія"", фойє
вул.Фастівська, 22, с.Ковалівка, Васильківський р-н, Київська обл., 08652","1156","86","1151","95","977","93","1070","","0","977","93","1070","11","1059","1023","4","2","0","2","0","1","2","0","25","0","0","0","0","0","29.10.12"
"320307","94","Київська область","школа, вестибюль
пл.Леніна, 4, с.Кодаки, Васильківський р-н, Київська обл., 08645","1020","302","1024","64","661","57","718","","0","661","57","718","31","687","214","39","6","3","14","7","17","27","3","334","4","3","3","2","11","03.11.12"
"320308","94","Київська область","школа, спортивний зал
вул.Шкільна, 1/1, с.Кожухівка, Васильківский р-н, Київська обл., 08618","1292","552","1281","12","731","9","740","","0","731","9","740","26","714","161","19","11","3","7","6","13","11","5","460","3","4","5","3","3","29.10.12"
"320309","94","Київська область","сільська рада, актовий зал, 2-й поверх
вул.Київська, 5, с.Крушинка, васильківський р-н, Київська обл., 08635","316","115","310","14","187","14","201","","0","187","14","201","4","197","58","2","1","3","6","3","5","2","1","110","0","0","3","2","1","29.10.12"
"320310","94","Київська область","будинок культури, актовий зал
вул.Центральний майдан, 3, с.Ксаверівка, Васильківський р-н, Київська обл., 08660","1040","322","1033","62","657","61","718","","0","657","61","718","12","706","463","33","0","4","3","1","3","2","3","177","2","4","0","3","8","28.10.12"
"320311","94","Київська область","сільський клуб, фойє
вул.Центральна, 1, с.Ксаверівка Друга, Васильківський р-н, Київська обл., 08662","172","25","174","8","139","8","147","","0","139","8","147","1","146","121","0","1","0","4","1","1","2","0","15","0","0","0","0","1","28.10.12"
"320312","94","Київська область","сільський клуб, зал
вул.Кооперативна, 16, с.Липовий Скиток, Васильківський р-н, Київська обл., 08619","236","92","232","7","137","7","144","","0","137","7","144","10","134","51","5","1","2","0","1","1","1","2","63","2","1","1","0","3","28.10.12"
"320313","94","Київська область","будинок культури, зал
вул.Леніна, 7, с.Лосятин, Васильківський р-н, Київська обл., 08667","860","95","853","67","700","65","765","","0","700","65","765","0","765","665","11","2","1","1","1","6","1","1","71","1","1","1","1","1","30.10.12"
"320314","94","Київська область","будинок культури Державне господарство ""Саливонківське"", зал засідань
вул.Польова, 8, с.Лосятин, Васильківський р-н, Київська обл., 08667","196","50","195","3","143","3","146","","0","143","3","146","3","143","119","2","0","0","0","3","2","1","1","12","0","2","1","0","0","28.10.12"
"320315","94","Київська область","фельдшерсько-акушерський пункт, фойє
вул.Леніна, 73, с.Луб’янка, Васильківський р-н, Київська обл., 08637","208","35","206","18","155","18","173","","0","155","18","173","4","169","130","8","1","0","0","0","2","2","0","25","0","0","0","0","1","28.10.12"
"320316","94","Київська область","будинок культури, зал
вул.Першотравнева, 11, с.Мала Солтанівка, Васильківський р-н, Київська обл., 08640","1268","510","1254","57","704","54","758","","0","704","54","758","14","744","370","26","7","5","10","7","12","15","3","264","6","3","6","1","9","28.10.12"
"320317","94","Київська область","будинок культури, фойє
вул.Декабристів, 11А, с.Мар’янівка, Васильківський р-н, Київська обл., 08650","748","262","740","45","443","43","486","","0","443","43","486","8","478","382","2","2","2","4","4","4","10","1","63","0","0","4","0","0","28.10.12"
"320318","94","Київська область","сільська рада, актовий зал
вул.Шкільна, 13, с.Мархалівка, Васильківський р-н, Київська обл., 08633","1144","414","1133","30","702","28","730","","0","702","28","730","24","706","315","26","5","3","10","42","15","8","9","246","6","3","5","7","6","29.10.12"
"320319","94","Київська область","школа, вестибюль
вул.1 Травня, 2А, с.Митниця, Васильківський р-н, Київська обл., 08643","572","141","572","42","394","37","431","","0","394","37","431","7","424","284","8","2","1","2","2","12","7","0","102","1","0","2","0","1","28.10.12"
"320320","94","Київська область","будинок культури, актовий зал
вул.Центральна, 51, с.Перевіз, Васильківський р-н, Київська обл., 08620","172","46","152","4","122","4","126","","0","122","4","126","6","120","45","3","5","1","4","5","4","6","4","32","0","1","4","2","4","28.10.12"
"320321","94","Київська область","будинок культури, зал
вул.Шевченка, 8А, с.Пінчуки, Васильківський р-н, Київська обл., 08661","364","98","364","39","229","37","266","","0","229","37","266","5","261","201","8","2","0","0","1","3","0","1","43","0","0","1","0","1","28.10.12"
"320322","94","Київська область","школа, актовий зал
вул.Леніна, 34, с.Плесецьке, Васильківський р-н, Київська обл., 08622","1300","624","1286","53","628","48","676","","0","628","48","676","28","648","173","68","7","1","5","4","11","11","2","344","2","3","6","2","9","29.10.12"
"320323","94","Київська область","сільська рада, зал засідань
вул.Леніна, 57, с.Плесецьке, Васильківський р-н, Київська обл., 08622","800","421","796","29","356","23","379","","0","356","23","379","12","367","81","51","8","1","5","2","10","5","1","185","2","9","2","1","4","28.10.12"
"320324","94","Київська область","поштове відділення зв’язку
вул.Леніна, 57, с.Плесецьке, Васильківський р-н, Київська обл., 08622","732","380","732","29","327","25","352","","0","327","25","352","13","339","75","51","8","1","3","1","5","7","2","172","2","6","2","1","3","29.10.12"
"320325","94","Київська область","навчально-виховний комплекс, спортивний зал
вул.Леніна, 14, с.Погреби, Васильківський р-н, Київська обл., 08637","468","179","461","27","264","25","289","","0","264","25","289","11","278","140","5","3","0","3","0","7","7","1","100","5","2","3","2","0","29.10.12"
"320326","94","Київська область","будинок культури, фойє
вул.Білоцерківська, 17, с.Пологи, Васильківський р-н, Київська обл., 08656","912","132","911","61","723","57","780","","0","723","57","780","10","770","723","5","0","1","1","0","3","0","0","31","0","5","0","0","1","29.10.12"
"320327","94","Київська область","сільська рада, актовий зал
вул.Революції, 1, с.Порадівка, Васильківський р-н, Київська обл., 08642","328","81","331","40","213","34","247","","0","0","0","247","5","241","159","6","3","0","1","0","0","3","4","58","0","1","0","1","5","01.11.12"
"320328","94","Київська область","будинок культури, глядацький зал
вул.Леніна, 46, с.Путрівка, Васильківський р-н, Київська обл., 08642","2040","918","2039","17","1110","12","1122","","0","1110","12","1122","25","1097","472","19","9","0","7","30","5","82","44","401","7","3","5","3","10","29.10.12"
"320329","94","Київська область","Національний університет біоресурсів і природокористування, їдальня
вул.Леніна, Національний університет біоресурсів і природокористування, с.Пшеничне, Васильківський р-н, Київська обл., 08644","456","116","449","28","318","22","340","","0","318","22","340","3","337","163","25","2","3","1","1","4","2","0","131","1","2","2","0","0","28.10.12"
"320330","94","Київська область","сільський клуб, актовий зал
вул.Леніна, 10А, с.Рославичі, Васильківський р-н, Київська обл., 08681","208","55","205","24","135","18","153","","0","135","18","153","7","146","83","3","1","0","4","1","2","0","0","32","0","2","0","18","0","29.10.12"
"320331","94","Київська область","будинок культури, актовий зал
вул.Леніна, 6, с.Саливінки, Васильківський р-н, Київська обл., 08665","1340","476","1335","52","813","51","864","","0","813","51","864","22","842","381","53","7","6","2","3","19","10","1","347","3","3","3","0","4","29.10.12"
"320332","94","Київська область","Державне господарство ""Саливонківське"", зал
вул.Білоцерківська, 41А, с.Саливінки, Васильківський р-н, Київська обл., 08665","572","174","575","33","366","32","398","","0","366","32","398","5","393","202","5","2","2","1","0","4","1","2","162","0","3","2","2","5","28.10.12"
"320333","94","Київська область","сільська рада, обрядова кімната
вул.Леніна, 1, с.Соколівка, Васильківський р-н, Київська обл., 08666","380","117","378","38","225","38","263","","0","225","38","263","7","256","125","19","3","1","2","2","5","3","2","88","1","0","3","1","1","29.10.12"
"320334","94","Київська область","навчально-виховний комплекс, їдальня
вул.Миру, 22, с.Тростинка, Васильківський р-н, Київська обл., 08670","536","196","530","48","292","48","340","","0","292","48","340","9","331","136","10","6","3","8","2","7","10","1","137","1","2","3","0","5","29.10.12"
"320335","94","Київська область","сільська рада, зал засідань
вул.Шевченка, 38А, с.Тростинська Новоселиця, Васильківський р-н, Київська обл., 08674","184","32","180","28","124","28","152","","0","124","28","152","1","151","135","0","0","0","0","0","2","0","0","14","0","0","0","0","0","28.10.12"
"320336","94","Київська область","школа, актовий зал
вул.Леніна, 12, с.Устимівка, Васильківський р-н, Київська обл., 08653","1416","408","1408","66","947","61","1008","","0","947","61","1008","17","991","646","14","7","2","5","7","10","7","1","283","1","3","2","1","2","29.10.12"
"320337","94","Київська область","сільський клуб, актовий зал, 1-й поверх
вул.Васильківська, 68, с.Безп’ятне, Васильківський р-н, Київська обл., 08628","1188","475","1178","51","668","45","713","","0","668","45","713","10","703","313","18","10","1","5","3","13","41","1","288","2","1","4","0","3","30.10.12"
"320338","94","Київська область","фельдшерсько-акушерський пункт, маніпуляційна
вул.Шевченка, 1, с.Шевченківка, Васильківський р-н, Київська обл., 08672","220","40","226","37","146","34","180","","0","146","34","180","5","175","136","6","0","0","1","1","1","1","1","27","0","0","0","0","1","30.10.12"
"320339","94","Київська область","школа, вестибюль
вул.Калініна, 8, с.Яцьки, Васильківський р-н, Київська обл., 08673","604","165","606","105","338","101","439","","0","338","101","439","7","432","320","37","4","3","2","2","2","0","0","60","0","1","0","0","1","29.10.12"
"320340","94","Київська область","Київське обласне психіатрично-наркологічне медичне об’єднання, конференц-зал
вул.Вокзальна, 8, смт Глеваха, Васильківський р-н, Київська обл., 08631","504","41","660","563","97","366","463","","0","97","366","463","43","420","269","7","3","9","8","15","9","11","10","45","5","2","15","5","7","29.10.12"
"320341","94","Київська область","Київська міська психоневрологічна лікарня №3, зал
вул.Павлова, 7, смт Глеваха, Васильківський р-н, Київська обл., 08631","104","1","146","106","37","66","103","","2","0","0","103","16","87","44","3","4","1","2","3","2","6","2","11","4","1","2","0","2","03.11.12"
"320737","94","Київська область","будинок культури, фойє
вул.Київська, 16, с.Великі Дмитровичі, Обухівський р-н, Київська обл., 08713","768","228","766","42","500","40","540","","0","500","40","540","11","529","306","16","3","3","6","6","12","7","1","150","1","8","3","1","6","29.10.12"
"320738","94","Київська область","сільський клуб, фойє
вул.Каштанова, 11, с.Верем’я, Обухівський р-н, Київська обл., 08744","236","49","232","22","165","22","187","","0","165","22","187","1","186","106","4","3","0","1","1","5","2","2","58","0","2","1","0","1","28.10.12"
"320739","94","Київська область","сільська рада, актова зала
вул.Воздвиженська, 53, с.Витачів, Обухівський р-н, Київська обл., 08740","616","186","608","32","402","28","430","","0","402","28","430","15","415","123","17","6","1","5","4","3","6","9","233","0","1","1","1","5","28.10.12"
"320740","94","Київська область","будинок культури, зал
вул.Б.Хмельницького, 11, с.Германівка, Обухівський р-н, Київська обл., 08753","1408","511","1403","89","811","86","897","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320741","94","Київська область","сільська рада, обрядова зала
вул.Леніна, 2, с.Григорівка, Обухівський р-н, Київська обл., 08750","1496","603","1485","30","872","21","893","","0","0","0","893","22","871","176","31","12","5","10","4","26","13","14","528","5","7","14","6","20","03.11.12"
"320742","94","Київська область","сільський клуб, обрядова зала
вул.Кошового, 2, с.Гусачівка, Обухівський р-н, Київська обл., 08750","572","192","567","43","337","43","380","","0","337","43","380","12","368","110","18","3","1","1","6","3","6","2","190","2","3","6","2","15","29.10.12"
"320743","94","Київська область","сільський клуб, фойє
вул.Петровського, 87, с.Матяшівка, Обухівський р-н, Київська обл., 08750","392","98","386","51","243","51","294","","0","243","51","294","10","284","56","7","1","0","1","5","9","4","1","188","1","4","0","2","5","28.10.12"
"320744","94","Київська область","школа, спортивна зала
вул.Жовтнева, 17, с.Дерев’яна, Обухівський р-н, Київська обл., 08724","448","166","446","21","261","21","282","","0","261","21","282","6","276","61","9","3","1","3","3","8","1","1","178","1","1","5","0","1","28.10.12"
"320745","94","Київська область","будинок культури, фойє
вул.Леніна, 1, с.Деремезна, Обухівський р-н, Київська обл., 08731","328","79","326","50","204","45","249","","0","204","45","249","13","236","92","9","5","0","2","3","6","5","3","108","0","1","1","0","1","28.10.12"
"320746","94","Київська область","школа, спортивна зала
вул.Жовтнева, 8, с.Долина, Обухівський р-н, Київська обл., 08743","360","130","357","29","202","28","230","","0","202","28","230","4","226","109","27","4","0","0","5","6","4","4","56","2","1","4","0","4","29.10.12"
"320747","94","Київська область","сільський клуб, зала
вул.Радянська, 26, с.Макарівка, Обухівський р-н, Київська обл., 08743","56","6","60","3","47","3","50","","0","47","3","50","3","47","13","3","0","0","1","2","2","1","0","22","0","0","0","1","2","28.10.12"
"320748","94","Київська область","будинок культури, фойє
вул.Гагаріна, 6, с.Жуківці, Обухівський р-н, Київська обл., 08742","688","244","684","32","416","28","444","","0","416","28","444","4","440","144","11","6","1","2","5","11","4","8","239","1","0","3","0","5","29.10.12"
