"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Павло
Іванович","Деркач
Степан
Тіберійович","Джанда
Михайло
Михайлович","Лазоришинець
Василь
Васильович","Марущинець
Василь
Іванович","Тимчик
Євгеній
Миколайович","Шімон
Микола
Іванович","Дата підписання протоколу"
"210168","71","Закарпатська область","школа №1, спортивна зала
вул.Максима Рильського, 1, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","1752","994","1725","11","748","10","758","","0","748","10","758","38","720","319","173","17","173","30","3","5","29.10.12"
"210169","71","Закарпатська область","районний центр культури і дозвілля, виставкова зала
пл.Народна, 1, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","1840","985","1833","28","828","27","855","","0","828","27","855","33","821","399","195","11","153","37","11","15","29.10.12"
"210170","71","Закарпатська область","кінотеатр, вестибюль
вул.Гагаріна, 9, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","1848","888","1845","24","943","17","960","","0","943","17","960","37","922","392","258","20","160","71","13","8","29.10.12"
"210171","71","Закарпатська область","школа №2, вестибюль
вул.Шкільна, 25, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","2112","1135","2078","16","964","13","977","","0","964","13","977","37","940","367","255","15","193","78","17","15","29.10.12"
"210181","71","Закарпатська область","будинок культури, зала
вул.Центральна, 111, с.Приборжавське, Іршавський р-н, Закарпатська обл., 90155","1040","615","1025","17","414","11","425","","0","414","11","425","19","406","160","185","5","41","7","4","4","29.10.12"
"210182","71","Закарпатська область","школа, їдальня
вул.Борканюка, 3, с.Приборжавське, Іршавський р-н, Закарпатська обл., 90155","1640","797","1639","16","829","14","843","","0","829","14","843","39","804","347","283","15","117","21","3","18","29.10.12"
"210183","71","Закарпатська область","будинок культури, зала
вул.Набережна, 43, с.Луково, Іршавський р-н, Закарпатська обл., 90156","1200","690","1189","12","498","12","510","","0","498","12","510","22","488","280","139","6","45","6","4","8","29.10.12"
"210185","71","Закарпатська область","школа №1, фойє
вул.Центральна, 14, с.Білки, Іршавський р-н, Закарпатська обл., 90132","2256","1276","2242","22","959","21","980","","0","959","21","980","45","935","358","322","29","153","49","8","16","29.10.12"
"210186","71","Закарпатська область","будинок культури, зала
вул.Центральна, 65, с.Білки, Іршавський р-н, Закарпатська обл., 90132","2448","1500","2436","19","933","15","948","","0","933","15","948","51","897","322","325","37","151","50","4","8","29.10.12"
"210187","71","Закарпатська область","школа №2, фойє
вул.Конституції, 58, с.Білки, Іршавський р-н, Закарпатська обл., 90132","1496","888","1484","19","593","15","608","","0","593","15","608","40","568","199","279","3","63","14","5","5","29.10.12"
"210188","71","Закарпатська область","сільська рада, актова зала
вул.Центральна, 5, с.Малий Раковець, Іршавський р-н, Закарпатська обл., 90144","2312","1349","2295","47","919","44","963","","0","0","0","0","0","0","0","0","0","0","0","0","0","29.10.12"
"210189","71","Закарпатська область","школа, їдальня
вул.Волошина, 5, с.Великий Раковець, Іршавський р-н, Закарпатська обл., 90143","1512","974","1501","6","533","5","538","","0","533","5","538","16","522","180","120","8","45","162","3","4","29.10.12"
"210190","71","Закарпатська область","школа мистецтв, клас занять на фортепіано
вул.Карпатської України, 1, с.Великий Раковець, Іршавський р-н, Закарпатська обл., 90143","1952","1261","1936","12","679","12","691","","0","679","12","691","17","674","277","184","7","29","174","1","2","29.10.12"
"210192","71","Закарпатська область","школа, їдальня
210, с.Дубрівка, Іршавський р-н, Закарпатська обл., 90133","928","433","915","24","474","21","495","","0","474","21","495","18","477","233","142","8","55","9","3","27","29.10.12"
"210193","71","Закарпатська область","сільський клуб, зала
44, с.Мала Розтока, Іршавський р-н, Закарпатська обл., 90133","408","136","407","7","266","6","272","","0","266","6","272","16","256","152","53","9","29","7","0","6","29.10.12"
"210194","71","Закарпатська область","навчально-виховний комплекс, їдальня
44, с.Велика Розтока, Іршавський р-н, Закарпатська обл., 90133","448","143","448","25","280","25","305","","0","280","25","305","13","292","165","82","8","30","4","2","1","29.10.12"
"210195","71","Закарпатська область","школа, фойє
131, с.Гребля, Іршавський р-н, Закарпатська обл., 90140","1000","403","999","9","589","8","597","","0","589","8","597","33","564","259","241","5","40","8","1","10","29.10.12"
"210198","71","Закарпатська область","школа, спортивна зала
вул.Ф. Злоцького, 42, с.Осій, Іршавський р-н, Закарпатська обл., 90131","2304","1278","2271","32","994","32","1026","","0","994","32","1026","32","994","582","315","15","65","6","6","5","29.10.12"
"210199","71","Закарпатська область","сільська рада, зала
вул.Шевченка, 47, с.Осій, Іршавський р-н, Закарпатська обл., 90131","400","178","409","4","218","4","222","","0","218","4","222","13","209","99","75","8","18","5","4","0","29.10.12"
"210200","71","Закарпатська область","школа, фойє
вул.Радянська, 22, с.Ільниця, Іршавський р-н, Закарпатська обл., 90130","2312","1323","2297","71","946","43","989","","0","946","43","989","67","922","345","378","30","132","15","12","10","29.10.12"
"210201","71","Закарпатська область","будинок культури ""Шахтар"", танцювальна зала
вул.Леніна, 41, с.Ільниця, Іршавський р-н, Закарпатська обл., 90130","2248","1158","2224","39","1055","35","1090","","0","1055","35","1090","57","1033","468","283","20","221","27","8","6","29.10.12"
"210202","71","Закарпатська область","сільський клуб ""Новоселиця"", танцювальна зала
вул.Першотравнева, 87, с.Ільниця, Іршавський р-н, Закарпатська обл., 90130","2432","1429","2416","68","951","52","1003","","0","951","52","1003","40","963","466","358","14","100","18","3","4","29.10.12"
"210479","71","Закарпатська область","школа, їдальня
вул.Шкільна, 5, смт Буштино, Тячівський р-н, Закарпатська обл., 90556","2176","1244","2158","47","893","39","932","","0","893","39","932","57","875","425","152","37","196","15","8","42","29.10.12"
"210480","71","Закарпатська область","школа, кабінет біології
вул.Шкільна, 5, смт Буштино, Тячівський р-н, Закарпатська обл., 90556","1904","1055","1887","11","841","8","849","","0","841","8","849","41","808","344","169","48","178","8","12","49","29.10.12"
"210481","71","Закарпатська область","ДНЗ ""Ластівка"", актова зала
вул.Незалежності, 2, смт Буштино, Тячівський р-н, Закарпатська обл., 90556","2376","1404","2347","46","933","39","972","","0","933","39","972","40","932","482","123","43","228","9","16","31","29.10.12"
"210504","71","Закарпатська область","школа, спортивна зала
вул.Головна, 203, с.Вонігове, Тячівський р-н, Закарпатська обл., 90553","1824","979","1817","50","799","46","845","","0","799","46","845","43","802","150","391","15","188","8","9","41","29.10.12"
"210516","71","Закарпатська область","будинок культури, актова зала
вул.Вайди, 105, с.Дулово, Тячівський р-н, Закарпатська обл., 90513","1320","774","1311","6","540","6","546","","0","540","6","546","31","515","188","190","20","80","4","4","29","29.10.12"
"210522","71","Закарпатська область","будинок культури, актова зала
вул.Центральна, 100, с.Кричово, Тячівський р-н, Закарпатська обл., 90511","2264","1552","2232","35","680","32","712","","0","680","32","712","39","673","415","141","5","99","0","0","13","30.10.12"
"210523","71","Закарпатська область","сільська рада, актова зала
вул.Перемоги, 165, с.Лази, Тячівський р-н, Закарпатська обл., 90554","2360","1727","2324","6","628","5","633","","0","628","5","633","25","608","447","48","11","62","8","7","25","29.10.12"
"210524","71","Закарпатська область","школа, їдальня
вул.Шкільна, 45, с.Округла, Тячівський р-н, Закарпатська обл., 90554","888","563","875","10","316","9","325","","0","316","9","325","22","303","147","125","4","9","3","3","12","29.10.12"
"210529","71","Закарпатська область","школа, фойє
вул.Рущака, 10, с.Новобарово, Тячівський р-н, Закарпатська обл., 90552","1392","820","1373","25","547","25","572","","0","547","25","572","23","549","183","258","11","70","3","6","18","29.10.12"
"210534","71","Закарпатська область","будинок культури, актова зала
вул.Травнева, 27, с.Руське Поле, Тячівський р-н, Закарпатська обл., 90551","1936","1134","1916","38","770","32","802","","0","770","32","802","35","767","357","135","35","104","11","12","113","29.10.12"
"210535","71","Закарпатська область","школа, спортивна зала
вул.Шкільна, 1, с.Руське Поле, Тячівський р-н, Закарпатська обл., 90551","1440","1029","1420","19","394","17","411","","0","394","17","411","25","386","194","69","13","48","1","4","57","29.10.12"
"210537","71","Закарпатська область","будинок урочистих подій, весільна зала
вул.Центральна, 100, с.Теребля, Тячівський р-н, Закарпатська обл., 90550","1976","1177","1948","27","779","20","799","","0","779","20","799","39","760","322","194","15","137","24","14","54","29.10.12"
"210538","71","Закарпатська область","школа, вчительська
вул.Шкільна, 8, с.Теребля, Тячівський р-н, Закарпатська обл., 90550","624","356","617","18","251","17","268","","0","251","17","268","19","249","89","74","5","45","4","9","23","29.10.12"
"210616","71","Закарпатська область","сільський клуб, актова зала
вул.Центральна, 95, с.Боронява, Хустський р-н, Закарпатська обл., 90442","1400","694","1384","23","683","23","706","","0","683","23","706","30","676","198","260","25","167","6","4","16","29.10.12"
"210617","71","Закарпатська область","школа, фойє
вул.Центральна, 129, с.Боронява, Хустський р-н, Закарпатська обл., 90442","1192","583","1175","20","589","20","609","","0","589","20","609","20","589","163","245","11","144","2","6","18","29.10.12"
"210618","71","Закарпатська область","сільський клуб, актова зала
97, с.Березово, Хустський р-н, Закарпатська обл., 90426","1264","761","1254","30","477","26","503","","0","477","26","503","16","487","164","216","25","72","2","4","4","29.10.12"
"210619","71","Закарпатська область","сільська рада, кабінет сільського голови
771, с.Березово, Хустський р-н, Закарпатська обл., 90426","1192","837","1178","22","340","15","355","","0","340","15","355","12","343","135","146","10","39","2","9","2","29.10.12"
"210620","71","Закарпатська область","будинок культури, актова зала
82, с.Вільшани, Хустський р-н, Закарпатська обл., 90424","632","307","623","13","312","13","325","","0","312","13","325","14","311","171","78","4","43","6","2","7","29.10.12"
"210621","71","Закарпатська область","будинок культури, актова зала
вул.Веленце, 1, смт Вишково, Хустський р-н, Закарпатська обл., 90454","2032","1368","2023","18","651","13","664","","0","651","13","664","53","611","140","293","21","126","4","2","25","29.10.12"
"210622","71","Закарпатська область","школа №1, актова зала
вул.Тиса, 3, смт Вишково, Хустський р-н, Закарпатська обл., 90454","1648","1125","1632","14","511","12","523","","0","511","12","523","36","487","112","254","15","75","4","7","20","29.10.12"
"210623","71","Закарпатська область","школа №2, їдальня
вул.Велика, 57, смт Вишково, Хустський р-н, Закарпатська обл., 90454","2112","1445","2106","25","642","25","667","","0","642","25","667","49","618","144","304","19","113","8","4","26","29.10.12"
"210624","71","Закарпатська область","школа, їдальня
вул.Незалежності, 108, с.Яблунівка, Хустський р-н, Закарпатська обл., 90458","1056","600","1047","8","448","8","456","","0","448","8","456","19","437","249","89","5","59","4","3","28","29.10.12"
"210625","71","Закарпатська область","школа, фойє
вул.Грушова, 95, с.Ракош, Хустський р-н, Закарпатська обл., 90454","856","507","844","3","346","3","349","","0","346","3","349","15","334","91","135","23","72","3","7","3","29.10.12"
"210626","71","Закарпатська область","навчально-виховний комплекс, зала
вул.Центральна, 28, с.Шаян, Хустський р-н, Закарпатська обл., 90457","672","379","673","3","290","3","293","","0","290","3","293","13","280","81","116","17","56","2","4","4","29.10.12"
"210627","71","Закарпатська область","будинок культури, фойє
вул.Миру, 69, с.Велятин, Хустський р-н, Закарпатська обл., 90453","1688","1040","1671","35","617","31","648","","0","617","31","648","30","618","306","214","13","76","0","2","7","29.10.12"
"210628","71","Закарпатська область","школа, кабінет української мови
вул.Шевченка, 1, с.Велятин, Хустський р-н, Закарпатська обл., 90453","1736","1114","1726","27","603","19","622","","0","603","19","622","23","599","254","252","12","71","0","7","3","29.10.12"
"210629","71","Закарпатська область","будинок культури, актова зала
вул.Незалежності, 159, с.Горінчово, Хустський р-н, Закарпатська обл., 90430","1904","1067","1883","23","814","23","837","","0","814","23","837","26","811","244","362","34","144","6","7","14","29.10.12"
"210630","71","Закарпатська область","бібліотека, читальна зала
вул.Незалежності, 144, с.Горінчово, Хустський р-н, Закарпатська обл., 90430","1264","825","1255","31","416","23","439","","0","416","23","439","20","419","114","207","20","66","2","5","5","29.10.12"
"210631","71","Закарпатська область","сільська рада, актова зала
вул.Миру, 59, с.Данилово, Хустський р-н, Закарпатська обл., 90443","1424","677","1406","32","717","30","747","","0","717","30","747","29","718","162","241","21","268","2","1","23","29.10.12"
"210632","71","Закарпатська область","школа, спортивна зала
вул.Леніна, 49, с.Драгово, Хустськийр-н, Закарпатська обл., 90432","1896","1233","1869","32","642","21","663","","0","642","21","663","31","632","258","187","22","144","5","1","15","29.10.12"
"210633","71","Закарпатська область","будинок культури, глядацька зала
вул.Леніна, 101, с.Драгово, Хустський р-н, Закарпатська обл., 90432","2400","1494","2361","47","878","28","906","","0","878","28","906","46","860","324","343","20","146","7","6","14","29.10.12"
"210634","71","Закарпатська область","школа, фойє
26, с.Кічерели, Хустський р-н, Закарпатська обл., 90432","712","465","702","14","235","12","247","","0","235","12","247","19","228","118","84","10","13","0","0","3","29.10.12"
"210635","71","Закарпатська область","сільська рада, зала урочистих подій
вул.Грушевського, 173, с.Забрідь, Хустський р-н, Закарпатська обл., 90428","1544","1008","1529","2","534","2","536","","0","534","2","536","26","510","216","176","7","94","8","2","7","29.10.12"
"210636","71","Закарпатська область","школа, фойє
вул.Центральна, 68, с.Золотарьово, Хустський р-н, Закарпатська обл., 90441","1624","927","1604","32","675","22","697","","0","675","22","697","35","662","131","143","20","354","5","2","7","29.10.12"
"210637","71","Закарпатська область","будинок культури, актова зала
вул.Центральна, 55Б, с.Золотарьово, Хустський р-н, Закарпатська обл., 90441","1536","1003","1512","32","508","25","533","","0","508","25","533","19","514","107","106","7","277","6","7","4","29.10.12"
"210638","71","Закарпатська область","школа, фойє
вул.Центральна, 100, с.Іза, Хустський р-н, Закарпатська обл., 90436","2288","1166","2266","25","1109","13","1122","","0","1109","13","1122","49","1073","312","482","24","219","6","18","12","29.10.12"
"210639","71","Закарпатська область","будинок культури, актова зала
вул.Центральна, 122, с.Іза, Хустський р-н, Закарпатська обл., 90436","1968","951","1950","48","984","33","1017","","0","984","33","1017","41","976","195","562","29","173","3","6","8","29.10.12"
"210640","71","Закарпатська область","будинок культури, актова зала
вул.Шкільна, 1, с.Крайниково, Хустський р-н, Закарпатська обл., 90452","1104","571","1095","10","525","8","533","","0","525","8","533","17","516","132","119","17","238","1","1","8","29.10.12"
"210641","71","Закарпатська область","школа, актова зала
вул.Шевченка, 42, с.Кошельово, Хустський р-н, Закарпатська обл., 90413","2144","1193","2119","28","925","26","951","","0","925","26","951","40","911","308","445","31","101","16","7","3","29.10.12"
"210642","71","Закарпатська область","школа, їдальня
116А, с.Залом, Хустський р-н, Закарпатська обл., 90414","1912","1269","1913","28","615","28","643","","0","615","28","643","30","613","201","339","9","60","2","2","0","29.10.12"
"210643","71","Закарпатська область","сільський клуб, актова зала
вул.Миру, 2А, с.Крива, Хустський р-н, Закарпатська обл., 90412","1032","496","1018","31","508","28","536","","0","508","28","536","20","516","96","277","28","97","5","11","2","29.10.12"
"210644","71","Закарпатська область","будинок культури, актова зала
вул.Центральна, 130, с.Копашново, Хустський р-н, Закарпатська обл., 90433","2248","1326","2238","21","901","21","922","","0","901","21","922","51","871","291","435","21","89","7","4","24","28.10.12"
"210645","71","Закарпатська область","школа, фойє
вул.Центральна, 155, с.Копашново, Хустський р-н, Закарпатська обл., 90433","1432","979","1425","3","450","3","453","","0","450","3","453","20","433","248","147","4","19","0","2","13","30.10.12"
"210646","71","Закарпатська область","сільська рада, актова зала
вул.Леніна, 35, с.Липча, Хустський р-н, Закарпатська обл., 90415","1776","1080","1735","28","675","21","696","","0","675","21","696","25","671","156","402","13","91","4","3","2","29.10.12"
"210647","71","Закарпатська область","будинок культури, актова зала
вул.Леніна, 39, с.Липча, Хустський р-н, Закарпатська обл., 90415","1744","1116","1740","27","614","14","628","","0","614","14","628","30","598","141","337","4","100","2","8","6","29.10.12"
"210648","71","Закарпатська область","сільська рада, зала урочистих подій
вул.Шевченка, 4, с.Липовець, Хустський р-н, Закарпатська обл., 90416","1072","506","1068","32","546","20","566","","0","546","20","566","16","550","388","120","6","29","3","0","4","29.10.12"
"210649","71","Закарпатська область","сільська рада, актова зала
вул.Миру, 115, с.Липецька Поляна, Хустський р-н, Закарпатська обл., 90425","2152","1317","2132","65","780","55","835","","0","780","55","835","21","814","379","342","16","64","4","2","7","29.10.12"
"210650","71","Закарпатська область","школа, актова зала
11, с.Монастирець, Хустський р-н, Закарпатська обл., 90427","1056","807","1045","9","240","9","249","","0","240","9","249","10","239","105","108","8","13","0","0","5","29.10.12"
"210651","71","Закарпатська область","сільський клуб, актова зала
9, с.Монастирець, Хустський р-н, Закарпатська обл., 90427","1456","835","1442","35","593","28","621","","0","593","28","621","31","590","259","234","11","64","7","3","12","29.10.12"
"210652","71","Закарпатська область","школа, спортивна зала
423, с.Нижній Бистрий, Хустський р-н, Закарпатська обл., 90420","896","494","883","30","376","26","402","","0","376","26","402","12","390","187","173","3","25","1","0","1","29.10.12"
"210653","71","Закарпатська область","сільський клуб, актова зала
278, с.Широке, Хустський р-н, Закарпатська обл., 90420","264","123","255","8","133","8","141","","0","133","8","141","12","129","63","42","3","11","0","1","9","29.10.12"
"210654","71","Закарпатська область","будинок культури, фойє
733, с.Противень, Хустський р-н, Закарпатська обл., 90421","384","171","381","6","207","6","213","","0","207","6","213","14","199","64","99","6","23","1","1","5","29.10.12"
"210655","71","Закарпатська область","будинок культури, актова зала
218, с.Нанково, Хустський р-н, Закарпатська обл., 90435","1752","930","1727","17","807","15","822","","0","807","15","822","38","784","525","144","16","75","3","8","13","29.10.12"
"210656","71","Закарпатська область","будинок культури, актова зала
вул.Центральна, 84, с.Нижнє Селище, Хустський р-н, Закарпатська обл., 90440","2232","1097","2211","62","1095","40","1135","","0","1095","40","1135","59","1076","513","379","17","137","9","12","9","29.10.12"
"210657","71","Закарпатська область","сільська рада, актова зала
вул.Миру, 112, с.Олександрівка, Хустський р-н, Закарпатська обл., 90444","1736","968","1725","57","711","57","768","","0","711","57","768","52","716","351","180","12","141","5","10","17","29.10.12"
"210658","71","Закарпатська область","школа, фойє
вул.Центральна, 89, с.Рокосово, Хустський р-н, Закарпатська обл., 90410","1960","1258","1938","24","681","21","702","","0","681","21","702","31","671","221","244","32","164","1","3","6","29.10.12"
"210659","71","Закарпатська область","будинок культури, актова зала
вул.Рокосівська, 9, с.Рокосово, Хустський р-н, Закарпатська обл., 90410","1664","939","1647","41","695","30","725","","0","695","30","725","27","698","255","265","19","137","8","7","7","29.10.12"
