"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Айб
Володимир
Іванович","Бережник
Михайло
Михайлович","Габор
Іван
Іванович","Дан
Василь
Іванович","Добринський
Ігор
Вікторович","Куцин
Олег
Іванович","Маринець
Роман
Андрійович","Олексій
Василь
Іванович","Петьовка
Василь
Васильович","Шелевер
Михайло
Іванович","Шелемба
Віталій
Михайлович","Дата підписання протоколу"
"210398","72","Закарпатська область","будинок культури, зал
вул.Леніна, 102, с.Біла Церква, Рахівський р-н, Закарпатська обл., 90614","2172","1595","2159","36","555","22","577","","0","555","22","577","30","547","4","5","2","28","4","5","0","0","396","100","3","28.10.12"
"210399","72","Закарпатська область","фельдшерсько-акушерський пункт, каб.1
вул.Підмагура, 40, с.Біла Церква, Рахівський р-н, Закарпатська обл., 90614","306","221","301","2","83","2","85","","0","83","2","85","7","78","0","1","1","8","0","1","1","0","55","9","2","28.10.12"
"210400","72","Закарпатська область","Школа, актова зала
вул.Дечебал, 10, с.Середнє Водяне, Рахівський р-н, Закарпатська обл., 90613","2304","1944","2294","22","349","11","360","","0","349","11","360","19","341","2","2","1","30","1","3","0","2","185","112","3","29.10.12"
"210401","72","Закарпатська область","дитячий садок, актова зала
вул.Вікторія, 2, с.Середнє Водяне, Рахівський р-н, Закарпатська обл., 90613","2172","1920","2158","17","247","5","252","","0","247","5","252","6","246","3","1","0","19","0","6","0","1","122","91","3","28.10.12"
"210402","72","Закарпатська область","сільський клуб, зал
вул.Добрик, 79, с.Середнє Водяне, Рахівський р-н, Закарпатська обл., 90613","852","745","843","7","105","2","107","","0","105","2","107","6","101","1","0","1","9","0","0","0","0","51","37","2","28.10.12"
"210403","72","Закарпатська область","будинок культури, зал
вул.Богдана Хмельницького, 1, с.Водиця, Рахівський р-н, Закарпатська обл., 90610","1344","655","1333","32","659","30","689","","0","659","30","689","21","668","2","2","4","199","1","23","2","0","376","56","3","29.10.12"
"210404","72","Закарпатська область","сільський клуб, зал
вул.Калинська, 2, с.Водиця, Рахівський р-н, Закарпатська обл., 90610","672","508","668","3","161","3","164","","0","161","3","164","2","162","0","3","0","20","0","4","0","2","122","11","0","28.10.12"
"210405","72","Закарпатська область","будинок культури, зала урочистих подій
вул.Леніна, 9, с.Верхнє Водяне, Рахівський р-н, Закарпатська обл., 90611","2200","1543","2189","22","642","15","657","","0","642","15","657","16","641","10","11","5","118","3","29","1","4","374","78","8","29.10.12"
"210406","72","Закарпатська область","Річанська школа, актова зала
вул.70-річчя Жовтня, 99, с.Верхнє Водяне, Рахівський р-н, Закарпатська обл., 90611","1806","1212","1805","18","576","18","594","","0","576","18","594","20","574","8","1","7","112","5","13","2","1","349","73","3","28.10.12"
"210407","72","Закарпатська область","Стримбівська школа, актова зала
вул.Першотравнева, 29А, с.Верхнє Водяне, Рахівський р-н, Закарпатська обл., 90611","1086","778","1077","14","294","14","308","","0","294","14","308","8","300","1","5","3","45","1","6","1","1","186","48","3","29.10.12"
"210408","72","Закарпатська область","будинок культури, зал
вул.Шевченка, 29, смт Кобилецька Поляна, Рахівський р-н, Закарпатська обл., 90620","2406","1262","2396","48","1102","42","1144","","0","1102","42","1144","44","1100","36","19","14","67","39","165","7","3","405","316","29","29.10.12"
"210409","72","Закарпатська область","школа №2, бібліотека
вул.Борканюка, 42, смт Великий Бичків, Рахівський р-н, Закарпатська обл., 90615","2364","1281","2343","52","1041","42","1083","","0","1041","42","1083","26","1057","44","19","17","59","3","280","3","3","522","90","17","29.10.12"
"210410","72","Закарпатська область","селищна рада, зала засідань
вул.Грушевського, 108, смт Великий Бичків, Рахівський р-н, Закарпатська обл., 90615","2406","1308","2395","79","1035","63","1098","","0","1035","63","1098","26","1072","25","24","20","62","9","263","2","2","565","94","6","29.10.12"
"210411","72","Закарпатська область","будинок культури, фойє
вул.Пушкіна, 12, смт Великий Бичків, Рахівський р-н, Закарпатська обл., 90615","2334","1356","2316","27","954","24","978","","0","954","24","978","17","961","17","17","24","59","3","175","1","7","563","86","9","29.10.12"
"210412","72","Закарпатська область","будинок культури, зал
387, с.Косівська Поляна, Рахівський р-н, Закарпатська обл., 90621","1908","1094","1895","40","781","33","814","","0","781","33","814","23","791","28","12","1","60","5","279","4","3","321","71","7","29.10.12"
"210413","72","Закарпатська область","школа №1, їдальня
399, с.Косівська Поляна, Рахівський р-н, Закарпатська обл., 90621","1332","843","1323","29","466","23","489","","0","466","23","489","13","476","6","3","4","35","6","183","1","3","183","49","3","30.10.12"
"210414","72","Закарпатська область","будинок культури, зала урочистих подій
108, с.Росішка, Рахівський р-н, Закарпатська обл., 90622","840","390","834","17","433","17","450","","0","433","17","450","11","439","18","1","1","14","6","33","1","7","219","131","8","28.10.12"
"210415","72","Закарпатська область","сільський клуб, зал
106, с.Луг, Рахівський р-н, Закарпатська обл., 90616","1488","743","1467","54","693","52","745","","0","693","52","745","17","728","31","12","6","37","3","71","0","4","497","63","4","28.10.12"
"210416","72","Закарпатська область","сільський клуб-філіал, зал
вул.40 років Перемоги, 4, с.Ділове, Рахівський р-н, Закарпатська обл., 90625","438","175","437","11","252","11","263","","0","252","11","263","8","255","27","0","4","12","0","13","2","2","183","12","0","28.10.12"
"210417","72","Закарпатська область","будинок культури, зал
вул.Трибушанська, 64, с.Ділове, Рахівський р-н, Закарпатська обл., 90625","2076","1026","2060","32","1024","26","1050","","0","1024","26","1050","36","1014","129","2","3","65","3","183","2","1","546","78","2","29.10.12"
"210418","72","Закарпатська область","будинок культури, зал
вул.Лесі Українки, 61, с.Костилівка, Рахівський р-н, Закарпатська обл., 90623","2208","1179","2197","41","1004","25","1029","","0","1004","25","1029","22","1007","66","2","4","67","14","53","0","7","681","109","4","29.10.12"
"210419","72","Закарпатська область","сільський клуб, зал
280, с.Розтоки, Рахівський р-н, Закарпатська обл., 90644","1956","1241","1943","17","701","14","715","","0","701","14","715","25","690","30","4","13","28","11","19","1","2","428","151","3","28.10.12"
"210420","72","Закарпатська область","школа, спортивна зала
вул.Лесі Українки, 94, с.Видричка, Рахівський р-н, Закарпатська обл., 90646","1584","882","1576","18","688","14","702","","0","688","14","702","15","687","16","4","5","40","6","54","3","4","353","193","9","29.10.12"
"210421","72","Закарпатська область","школа, спортивна зала
вул.Івана Франка, 2, с.Богдан, Рахівський р-н, Закарпатська обл., 90645","1254","704","1241","14","540","10","550","","0","540","10","550","17","533","7","5","7","34","5","28","2","1","314","125","5","29.10.12"
"210422","72","Закарпатська область","будинок культури, зал
вул.Івана Франка, 9, с.Богдан, Рахівський р-н, Закарпатська обл., 90645","1848","923","1834","37","897","28","925","","0","897","28","925","29","896","20","6","8","67","7","57","2","6","501","212","10","29.10.12"
"210423","72","Закарпатська область","сільський клуб, зал
148, с.Луги, Рахівський р-н, Закарпатська обл., 90647","978","453","968","38","490","35","525","","0","490","35","525","10","515","24","5","6","29","4","19","0","2","367","56","3","29.10.12"
"210424","72","Закарпатська область","Лазівська школа №2, спортивна зала
вул.Лазівська, 1А, м.Рахів, Рахівський р-н, Закарпатська обл., 90600","1254","760","1254","6","490","4","494","","0","490","4","494","13","481","10","2","5","83","10","40","2","4","293","27","5","29.10.12"
"210425","72","Закарпатська область","будинок культури, зал
вул.Миру, 16, м.Рахів, Рахівський р-н, Закарпатська обл., 90600","2142","1024","2125","20","1106","12","1118","","0","1106","12","1118","29","1089","36","9","6","129","116","175","0","4","486","124","4","29.10.12"
"210426","72","Закарпатська область","школа №1, спортивна зала
вул.Миру, 26, м.Рахів, Рахівський р-н, Закарпатська обл., 90600","2244","1514","2222","21","714","16","730","","0","714","16","730","20","710","23","1","10","79","41","119","3","4","354","72","4","29.10.12"
"210427","72","Закарпатська область","школа №2, актова зала
вул.Шевченка, 180, м.Рахів, Рахівський р-н, Закарпатська обл., 90600","2430","1315","2414","30","1096","19","1115","","0","1096","19","1115","24","1091","30","5","11","133","50","234","5","2","498","120","3","29.10.12"
"210428","72","Закарпатська область","школа №3, спортивна зала
вул.Партизанська, 1, м.Рахів, Рахівський р-н, Закарпатська обл., 90600","2454","1746","2437","14","698","10","708","","0","698","10","708","27","681","25","10","10","50","28","78","1","3","375","97","4","29.10.12"
"210429","72","Закарпатська область","Рахівський навчально-консультативний центр, зал
вул.Богдана Хмельницького, 69, м.Рахів, Рахівський р-н, Закарпатська обл., 90600","2022","1154","2004","35","835","33","868","","0","835","33","868","26","842","24","11","12","68","49","91","3","2","398","178","6","28.10.12"
"210430","72","Закарпатська область","будинок культури, зал
208А, с.Білин, Рахівський р-н, Закарпатська обл., 90643","1326","723","1322","27","579","24","603","","0","579","24","603","20","583","52","9","1","28","12","38","3","3","347","86","4","28.10.12"
"210431","72","Закарпатська область","сільська рада, актова зала
158, с.Кваси, Рахівський р-н, Закарпатська обл., 90640","1740","962","1721","45","738","40","778","","0","738","40","778","26","752","189","3","4","83","7","59","3","2","341","55","6","29.10.12"
"210432","72","Закарпатська область","Свидовецьке лісництво, клас
вул.Визволення, 184, смт Ясіня, Рахівський р-н, Закарпатська обл., 90630","1074","510","1065","12","556","8","564","","0","556","8","564","19","545","38","4","4","35","3","41","1","1","345","63","10","29.10.12"
"210433","72","Закарпатська область","школа №2, кабінет для навчання
вул.Шевченка, 5, смт Ясіня, Рахівський р-н, Закарпатська обл., 90630","1986","1031","1971","59","898","57","955","","0","898","57","955","31","924","54","9","13","67","12","159","3","7","418","160","22","29.10.12"
"210434","72","Закарпатська область","будинок культури, зал
вул.Миру, 16, смт Ясіня, Рахівський р-н, Закарпатська обл., 90630","2346","1153","2326","39","1171","22","1193","","0","1171","22","1193","46","1147","53","11","11","74","15","156","0","6","622","189","10","30.10.12"
"210435","72","Закарпатська область","сільський клуб, зал
вул.Стебний, 109, смт Ясіня, Рахівський р-н, Закарпатська обл., 90630","552","260","545","15","277","15","292","","0","277","15","292","10","282","14","0","0","17","1","30","1","1","164","45","9","30.10.12"
"210436","72","Закарпатська область","школа №5, клас
вул.Возз’єднання, 99, смт Ясіня, Рахівський р-н, Закарпатська обл., 90630","684","306","686","7","371","7","378","","0","371","7","378","16","362","25","3","8","18","3","55","1","2","207","33","7","28.10.12"
"210437","72","Закарпатська область","школа, актова зала
922, с.Лазещина, Рахівський р-н, Закарпатська обл., 90633","1722","913","1704","40","788","21","809","","0","788","21","809","25","784","78","9","10","70","10","107","3","4","415","70","8","29.10.12"
"210438","72","Закарпатська область","Лазещинське лісництво, актова зала
819, с.Лазещина, Рахівський р-н, Закарпатська обл., 90633","1104","571","1094","16","518","15","533","","0","518","15","533","22","511","37","2","7","39","4","63","0","1","328","26","4","29.10.12"
"210439","72","Закарпатська область","будинок культури, зал
вул.Центральна, 170А, с.Чорна Тиса, Рахівський р-н, Закарпатська обл., 90632","2028","766","2014","90","1192","70","1262","","0","1192","70","1262","55","1207","81","9","7","79","10","53","2","4","703","243","16","29.10.12"
"210474","72","Закарпатська область","будинок культури, фойє
вул.Незалежності, 40, м.Тячів, Тячівський р-н, Закарпатська обл., 90500","2304","1401","2278","13","893","10","903","","0","893","10","903","37","866","20","11","11","43","5","110","8","8","427","214","9","29.10.12"
"210475","72","Закарпатська область","школа №3, фойє
вул.Гагаріна, 9, м.Тячів, Тячівський р-н, Закарпатська обл., 90500","2040","1316","2032","25","705","19","724","","0","705","19","724","24","700","13","10","9","33","2","61","2","8","372","183","7","29.10.12"
"210476","72","Закарпатська область","центр дитячої та юнацької творчості, актова зала
вул.Жовтнева, 3, м.Тячів, Тячівський р-н, Закарпатська обл., 90500","1920","1053","1917","2","865","2","867","","0","865","2","867","14","853","30","16","11","0","50","84","5","7","427","217","6","28.10.12"
"210477","72","Закарпатська область","школа №1, спортивна зала
вул.Вайди, 3, м.Тячів, Тячівський р-н, Закарпатська обл., 90500","1692","996","1684","5","694","2","696","","0","694","2","696","16","680","17","12","6","34","3","102","2","6","364","131","3","29.10.12"
"210478","72","Закарпатська область","будинок культури, актова зала
вул.Шкільна, 110, с.Тячівка, Тячівський р-н, Закарпатська обл., 90500","1266","901","1246","2","363","2","365","","0","363","2","365","14","351","14","6","2","11","1","32","3","3","183","89","7","28.10.12"
"210482","72","Закарпатська область","будинок культури, актова зала
вул.Шевченка, 104, с.Нижній Дубовець, Тячівський р-н, Закарпатська обл., 90531","852","567","833","14","272","13","285","","0","272","13","285","9","276","3","4","14","3","1","7","0","2","103","137","2","29.10.12"
"210483","72","Закарпатська область","школа, спортивна зала
вул.Миру, 124, смт Дубове, Тячівський р-н, Закарпатська обл., 90531","1836","1166","1823","5","665","5","670","","0","665","5","670","17","653","7","13","33","12","1","48","1","3","396","135","4","28.10.12"
"210484","72","Закарпатська область","технікум, спортивна зала
вул.Гагаріна, 1, смт Дубове, Тячівський р-н, Закарпатська обл., 90531","2058","1311","2053","0","747","0","747","","0","747","0","747","17","730","4","10","56","6","1","50","0","1","456","144","2","29.10.12"
"210485","72","Закарпатська область","школа №1, спортивна зала
вул.Фізкультурна, 4, смт Дубове, Тячівський р-н, Закарпатська обл., 90531","2298","1678","2267","3","617","3","620","","0","617","3","620","21","599","2","23","11","11","0","31","1","4","352","160","4","28.10.12"
"210486","72","Закарпатська область","школа №2, спортивна зала
вул.Заводська, 107, смт Дубове, Тячівський р-н, Закарпатська обл., 90531","1536","987","1508","9","540","9","549","","0","540","9","549","23","526","1","19","22","8","1","23","2","2","307","133","8","29.10.12"
"210487","72","Закарпатська область","школа №2, спортивна зала
пл.Народна, 11, смт Солотвино, Тячівський р-н, Закарпатська обл., 90575","2322","1534","2312","34","767","21","788","","0","767","21","788","30","758","9","7","4","18","4","13","4","5","527","162","5","28.10.12"
"210488","72","Закарпатська область","школа №1, фойє
вул.Залізнична, 10, смт Солотвино, Тячівський р-н, Закарпатська обл., 90575","2286","1481","2275","2","803","2","805","","0","803","2","805","46","759","23","10","9","24","2","19","1","3","488","178","2","29.10.12"
"210489","72","Закарпатська область","стадіон, актова зала
вул.Спортивна, 107, смт Солотвино, Тячівський р-н, Закарпатська обл., 90575","1794","1446","1786","16","343","5","348","","0","343","5","348","19","329","6","6","7","15","2","6","1","2","176","101","7","28.10.12"
"210490","72","Закарпатська область","дитяча школа мистецтв, актова зала
вул.Горького, 11, смт Тересва, Тячівський р-н, Закарпатська обл., 90564","1842","1094","1824","21","727","21","748","","0","727","21","748","16","732","30","3","8","20","0","73","2","43","452","100","1","30.10.12"
"210491","72","Закарпатська область","ремонтно-транспортне підприємство, актова зала
вул.Горького, 40, смт Тересва, Тячівський р-н, Закарпатська обл., 90564","1926","1172","1913","9","748","6","754","","0","748","6","754","17","737","22","4","4","21","3","76","2","42","453","109","1","29.10.12"
"210492","72","Закарпатська область","школа, фойє
вул.Горького, 8, смт Тересва, Тячівський р-н, Закарпатська обл., 90564","1860","1192","1839","10","659","9","668","","0","659","9","668","11","657","20","7","4","13","2","61","2","51","396","97","4","29.10.12"
"210493","72","Закарпатська область","селищна рада, актова зала
вул.Верховинська, 233, смт Усть-Чорна, Тячівський р-н, Закарпатська обл., 90520","1002","403","1005","23","581","18","599","","0","581","18","599","9","590","12","5","1","6","1","11","1","4","415","133","1","29.10.12"
"210494","72","Закарпатська область","будинок культури, актова зала
вул.Волошина, 11, с.Бедевля, Тячівський р-н, Закарпатська обл., 90561","2016","1221","2002","24","773","22","795","","0","773","22","795","28","767","8","3","11","13","0","56","0","7","346","308","15","29.10.12"
"210495","72","Закарпатська область","школа, фойє
вул.Волошина, 47, с.Бедевля, Тячівський р-н, Закарпатська обл., 90561","2052","1405","2015","12","640","7","647","","0","640","7","647","24","623","4","8","7","13","1","47","2","4","283","249","5","29.10.12"
"210496","72","Закарпатська область","будинок культури, актова зала
вул.Леніна, 48А, с.Біловарці, Тячівський р-н, Закарпатська обл., 90562","780","318","771","7","455","7","462","","0","455","7","462","9","453","4","3","5","6","0","26","1","4","286","116","2","29.10.12"
"210497","72","Закарпатська область","будинок культури, актова зала
вул.Центральна, 50, с.Велика Уголька, Тячівський р-н, Закарпатська обл., 90515","1242","738","1234","13","491","13","504","","0","491","13","504","8","496","4","1","0","5","1","12","0","1","254","206","12","29.10.12"
"210498","72","Закарпатська область","будинок культури, актова зала
вул.Леніна, 101, с.Вільхівці, Тячівський р-н, Закарпатська обл., 90542","1800","1105","1799","24","681","14","695","","0","681","14","695","16","679","12","3","23","13","0","34","1","2","197","370","24","29.10.12"
"210499","72","Закарпатська область","школа, фойє
вул.Леніна, 59А, с.Вільхівці, Тячівський р-н, Закарпатська обл., 90542","786","389","767","11","391","6","397","","0","391","6","397","7","390","6","1","5","12","0","28","0","3","122","205","8","29.10.12"
"210500","72","Закарпатська область","бригадний будинок, актова зала
68А, с.Сасово, Тячівський р-н, Закарпатська обл., 90542","324","167","320","6","153","4","157","","0","153","4","157","2","155","3","0","0","0","0","4","0","0","38","108","2","28.10.12"
"210501","72","Закарпатська область","школа, спортивна зала
412, с.Вільхівчик, Тячівський р-н, Закарпатська обл., 90542","1164","775","1153","0","389","0","389","","0","389","0","389","11","378","0","1","3","3","1","18","1","10","130","190","21","29.10.12"
"210502","72","Закарпатська область","школа, фойє
вул.Шевченка, 156, с.Вільхівці-Лази, Тячівський р-н, Закарпатська обл., 90544","2490","1559","2462","22","913","18","931","","0","913","18","931","21","910","2","2","0","16","2","44","4","2","503","329","6","29.10.12"
"210503","72","Закарпатська область","школа, спортивна зала
вул.Незалежності, 33, с.Ракове, Тячівський р-н, Закарпатська обл., 90544","750","440","740","3","307","3","310","","0","307","3","310","11","299","4","1","1","5","0","15","0","2","175","95","1","29.10.12"
"210505","72","Закарпатська область","будинок культури, актова зала
вул.Народна, 192, с.Ганичі, Тячівський р-н, Закарпатська обл., 90535","2490","1882","2466","21","597","11","608","","0","597","11","608","15","593","8","73","5","5","0","30","0","4","338","128","2","28.10.12"
"210506","72","Закарпатська область","будинок культури, актова зала
вул.Садова, 165, с.Солоне, Тячівський р-н, Закарпатська обл., 90535","1584","1244","1563","26","327","13","340","","0","327","13","340","13","327","10","34","2","1","1","5","1","0","152","120","1","28.10.12"
"210507","72","Закарпатська область","будинок культури, актова зала
вул.Центральна, 87, с.Глибокий Потік, Тячівський р-н, Закарпатська обл., 90574","2334","2036","2321","0","298","0","298","","0","298","0","298","17","281","2","3","1","4","1","2","2","0","144","117","5","29.10.12"
"210508","72","Закарпатська область","школа, актова зала
вул.Малий Боуц, 171, с.Глибокий Потік, Тячівський р-н, Закарпатська обл., 90574","1890","1751","1909","0","139","0","139","","0","139","0","139","9","130","1","2","3","1","2","2","0","2","91","25","1","28.10.12"
"210509","72","Закарпатська область","будинок культури, танцювальна зала
вул.Леніна, 94, с.Грушово, Тячівський р-н, Закарпатська обл., 90570","2142","1576","2186","15","552","14","566","","0","552","14","566","23","543","3","9","5","13","1","17","0","1","287","205","2","28.10.12"
"210510","72","Закарпатська область","будинок культури, кінозала
вул.Леніна, 94, с.Грушово, Тячівський р-н, Закарпатська обл., 90570","2322","1797","2329","20","506","19","525","","0","506","19","525","23","502","6","2","4","5","0","15","1","2","219","244","4","29.10.12"
"210511","72","Закарпатська область","сільська рада, актова зала
вул.Леніна, 121, с.Нижня Апша, Тячівський р-н, Закарпатська обл., 90571","2238","1810","2231","6","422","6","428","","0","422","6","428","13","415","1","0","2","11","0","9","0","5","259","127","1","29.10.12"
"210512","72","Закарпатська область","музична школа, актова зала
вул.Леніна, 114, с.Нижня Апша, Тячівський р-н, Закарпатська обл., 90571","1698","1438","1688","0","260","0","260","","0","260","0","260","9","251","1","2","2","7","2","4","0","1","172","60","0","28.10.12"
"210513","72","Закарпатська область","школа, фойє
вул.Шкільна, 17, с.Нижня Апша, Тячівський р-н, Закарпатська обл., 90571","1872","1533","1861","0","339","0","339","","0","339","0","339","17","322","1","2","1","10","1","3","1","3","199","100","1","28.10.12"
