"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гриценко
Євгеній
Антонович","Коваль
Іван
Михайлович","Кулик
Олександр
Васильович","Кулічковський
Дмитро
Романович","Лелюк
Олексій
Володимирович","Река
Андрій
Олександрович","Таран
Віталій
Валентинович","Дата підписання протоколу"
"530555","149","Полтавська область","будинок культури, фойє
вул.Леніна, 36, с.Селещина, Машівський р-н, Полтавська обл., 39430","816","397","806","21","398","21","419","","0","398","21","419","14","405","19","11","92","5","165","106","7","29.10.12"
"530556","149","Полтавська область","приймальня громадян в/ч А-0312, зал для прийому громадян
вул.Степова, 12, с.Селещина, Машівський р-н, Полтавська обл., 39431","224","81","222","9","134","9","143","","0","134","9","143","11","132","13","11","10","5","65","24","4","28.10.12"
"530557","149","Полтавська область","фельдшерсько-акушерський пункт, приміщення для засідань
пров.Шкільний, 10, с.Старицьківка, Машівський р-н, Полтавська обл., 39410","256","119","254","22","115","22","137","","0","115","22","137","6","131","15","5","13","2","48","47","1","28.10.12"
"530558","149","Полтавська область","навчально-виховний комплекс, хол
вул.Сонячна, 1, с.Сонячне, Машівський р-н, Полтавська обл., 39410","280","111","265","15","154","15","169","","0","154","15","169","5","164","14","7","21","3","96","22","1","28.10.12"
"530559","149","Полтавська область","Машівська виправна колонія УДДУПВП в Полтавській області, кімната чергової частини
вул.Лісна, 1, с.Кустолово-Суходілка, Машівський р-н, Полтавська обл., 39433","192","27","165","0","165","0","165","","0","165","0","165","13","152","14","7","12","4","84","19","12","28.10.12"
"530605","149","Полтавська область","центр культури та дозвілля, актова зала
пл.Перемоги, 2/2, смт Нові Санжари, Новосанжарський р-н, Полтавська обл., 39300","1720","693","1699","43","994","33","1027","","0","994","33","1027","7","1020","27","7","119","2","172","691","2","29.10.12"
"530606","149","Полтавська область","бібліотека для дорослих, фойє
вул.Жовтнева, 25, смт Нові Санжари, Новосанжарський р-н, Полтавська обл., 39300","824","334","812","18","472","18","490","","0","472","18","490","7","483","11","4","54","2","90","320","2","29.10.12"
"530607","149","Полтавська область","будинок дитячої творчості, фойє
пров.Комунальний, 4, смт Нові Санжари, Новосанжарський р-н, Полтавська обл., 39300","1720","691","1693","20","1013","16","1029","","0","1012","16","1028","15","1013","16","3","157","6","180","647","4","29.10.12"
"530608","149","Полтавська область","навчально-виховний комплекс, фойє
вул.Жовтнева, 41, смт Нові Санжари, Новосанжарський р-н, Полтавська обл., 39300","1488","644","1454","37","812","32","844","","0","812","32","844","13","831","13","2","5","79","141","589","2","29.10.12"
"530609","149","Полтавська область","філія відкритого акціонерного товариства ""Полтаваобленерго"", актова зала
вул.Чкалова, 11, смт Нові Санжари, Новосанжарський р-н, Полтавська обл., 39300","704","297","686","18","390","17","407","","0","390","17","407","3","404","14","2","53","0","59","276","0","28.10.12"
"530610","149","Полтавська область","навчально-виховний комплекс, актова зала
вул.Трудова, 2, с.Богданівка, Новосанжарський р-н, Полтавська обл., 39341","184","18","178","17","149","17","166","","0","149","17","166","2","164","4","2","20","0","123","15","0","28.10.12"
"530611","149","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.лейтенанта Чередняка, 35, с.Варварівка, Новосанжарський р-н, Полтавська обл., 39341","152","28","148","23","101","23","124","","0","101","23","124","2","122","4","0","14","0","84","20","0","28.10.12"
"530612","149","Полтавська область","школа, вчительська
вул.Шевченка, 38, с.Великий Кобелячок, Новосанжарський р-н, Полтавська обл., 39331","456","218","449","19","221","17","238","","0","221","17","238","6","232","2","1","20","6","55","147","1","28.10.12"
"530613","149","Полтавська область","школа, каб.1
вул.Лесі Українки, 2, с.Шовкопляси, Новосанжарський р-н, Полтавська обл., 39331","312","124","304","36","154","34","188","","0","154","34","188","2","186","7","3","9","0","67","97","3","28.10.12"
"530614","149","Полтавська область","будинок культури, актова зала
вул.Жовтнева, 2А, с.Великі Солонці, Новосанжарський р-н, Полтавська обл., 39342","360","110","356","28","224","26","250","","0","224","26","250","3","247","3","3","13","1","144","82","1","29.10.12"
"530615","149","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Горбенка, 4, с.Пологи-Низ, Новосанжарський р-н, Полтавська обл., 39342","200","54","192","23","125","21","146","","0","125","21","146","5","141","1","1","17","0","93","29","0","28.10.12"
"530616","149","Полтавська область","будинок культури, актова зала
пл.Миру, 3, с.Галущина Гребля, Новосанжарський р-н, Полтавська обл., 39344","296","55","291","28","217","24","241","","0","217","24","241","1","240","4","2","37","0","105","91","1","28.10.12"
"530617","149","Полтавська область","будинок культури, актова зала
пров.Колгоспний, 4, с.Мушина Гребля, Новосанжарський р-н, Полтавська обл., 39344","208","42","200","31","143","23","166","","0","143","23","166","4","162","2","0","14","0","93","50","3","28.10.12"
"530618","149","Полтавська область","будинок культури, актова зала
вул.Леніна, 2, с.Драбинівка, Новосанжарський р-н, Полтавська обл., 39351","936","113","937","102","729","94","823","","0","729","94","823","7","816","9","6","34","5","650","108","4","29.10.12"
"530619","149","Полтавська область","будинок культури, актова зала
вул.ім.І.Н.Сидоренка, 21, с.Вовківка, Новосанжарський р-н, Полтавська обл., 39351","104","13","103","13","78","13","91","","0","78","13","91","1","90","2","0","2","0","69","17","0","28.10.12"
"530620","149","Полтавська область","будинок культури, актова зала
вул.Польова, 8, с.Довга Пустош, Новосанжарський р-н, Полтавська обл., 39351","56","5","56","11","40","11","51","","0","40","11","51","0","51","2","0","5","0","32","12","0","28.10.12"
"530621","149","Полтавська область","будинок культури, актова зала
вул.Шкільна, 6, с.Зачепилівка, Новосанжарський р-н, Полтавська обл., 39372","696","312","676","47","340","44","384","","0","340","44","384","7","377","7","5","29","1","114","220","1","28.10.12"
"530622","149","Полтавська область","школа, каб.2
пров.Шкільний, 6, с.Клюсівка, Новосанжарський р-н, Полтавська обл., 39373","424","152","425","44","235","37","272","","0","235","37","272","8","264","9","1","30","0","78","146","0","28.10.12"
"530623","149","Полтавська область","сільська рада, кімната засідань
пров.Річковий, 1, с.Кунцеве, Новосанжарський р-н, Полтавська обл., 39314","632","256","625","83","301","75","376","","0","301","75","376","4","372","8","0","83","5","98","177","1","28.10.12"
"530624","149","Полтавська область","сільська рада, зал засідань
вул.Леніна, 9, с.Крута Балка, Новосанжарський р-н, Полтавська обл., 39350","624","150","615","50","424","50","474","","0","424","50","474","1","473","10","4","29","4","353","71","2","28.10.12"
"530625","149","Полтавська область","будинок культури, актова зала
вул.Чапаєва, 17, с.Вільний Степ, Новосанжарський р-н, Полтавська обл., 39350","112","25","107","8","81","6","87","","0","81","6","87","1","86","2","0","4","0","70","10","0","28.10.12"
"530626","149","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Правди, 16, с.Дудкин Гай, Новосанжарський р-н, Полтавська обл., 39350","152","25","143","16","114","13","127","","0","114","13","127","0","127","2","0","1","0","111","13","0","28.10.12"
"530627","149","Полтавська область","сільська рада, кабінет землевпорядника
вул.Степана Деркача, 3, с.Кустолове, Новосанжарський р-н, Полтавська обл., 39340","240","32","232","22","187","21","208","","0","187","21","208","2","206","6","2","13","3","104","77","1","28.10.12"
"530628","149","Полтавська область","будинок культури, актова зала
вул.Садова, 16, с.Малі Солонці, Новосанжарський р-н, Полтавська обл., 39340","144","23","138","16","105","16","121","","0","105","16","121","0","121","0","1","12","1","72","35","0","28.10.12"
"530629","149","Полтавська область","будинок культури, фойє
вул.Жовтнева, 20, с.Лелюхівка, Новосанжарський р-н, Полтавська обл., 39363","1136","422","1126","30","691","23","714","","0","691","23","714","11","703","13","7","80","3","175","421","4","28.10.12"
"530630","149","Полтавська область","бібліотека, фойє
вул.Перемоги, 10А, с.Забрідки, Новосанжарський р-н, Полтавська обл., 39363","352","110","349","18","224","18","242","","0","224","18","242","7","235","4","2","26","1","77","124","1","28.10.12"
"530631","149","Полтавська область","школа, фойє
вул.Шкільна, 1А, с.Лівенське, Новосанжарський р-н, Полтавська обл., 39360","416","135","415","49","236","45","281","","0","236","45","281","2","279","5","0","20","0","132","120","2","28.10.12"
"530632","149","Полтавська область","сільська рада, актова зала
вул.Леніна, 4, с.Малий Кобелячок, Новосанжарський р-н, Полтавська обл., 39333","888","274","880","59","561","53","614","","0","561","53","614","3","611","10","4","98","8","204","282","5","28.10.12"
"530633","149","Полтавська область","школа, фойє
вул.Енгельса, 14, с.Мала Перещепина, Новосанжарський р-н, Полтавська обл., 39320","1520","697","1502","107","722","101","823","","0","722","101","823","18","805","27","6","164","5","235","359","9","29.10.12"
"530634","149","Полтавська область","школа, фойє
вул.Шкільна, 53А, с.Пристанційне, Новосанжарський р-н, Полтавська обл., 39320","616","246","609","44","328","42","370","","0","328","42","370","8","362","16","6","29","2","103","197","9","29.10.12"
"530635","149","Полтавська область","школа, фойє
вул.Локшина, 2, с.Маячка, Новосанжарський р-н, Полтавська обл., 39362","608","227","603","86","303","78","381","","0","303","78","381","5","376","17","1","52","3","183","112","8","29.10.12"
"530636","149","Полтавська область","будинок культури, актова зала
вул.Корчукова, 1, с.Нехвороща, Новосанжарський р-н, Полтавська обл., 39354","1744","536","1725","124","1099","109","1208","","0","1099","109","1208","21","1187","34","26","178","14","648","277","10","29.10.12"
"530637","149","Полтавська область","будинок культури, фойє
вул.Леніна, 182А, с.Писарівка, Новосанжарський р-н, Полтавська обл., 39321","480","174","472","53","253","53","306","","0","253","53","306","0","306","8","2","42","3","112","133","6","28.10.12"
"530638","149","Полтавська область","дитячий садок, актова зала
вул.Жовтнева, 1А, с.Пологи, Новосанжарський р-н, Полтавська обл., 39320","424","160","420","60","207","57","264","","0","207","57","264","1","263","5","6","48","1","103","94","6","28.10.12"
"530639","149","Полтавська область","навчально-виховний комплекс, фойє
вул.Жовтнева, 29, с.Полузір‘я, Новосанжарський р-н, Полтавська обл., 39310","536","238","525","45","258","40","298","","0","258","40","298","4","294","4","0","35","4","97","152","2","29.10.12"
"530640","149","Полтавська область","приміщення будинку відпочинку та дозвілля, фойє
вул.Центральна, 61, с.Попове, Новосанжарський р-н, Полтавська обл., 39332","248","80","242","31","138","30","168","","0","138","30","168","1","167","2","9","55","11","27","63","0","29.10.12"
"530641","149","Полтавська область","школа, фойє
вул.Шкільна, 5, с.Руденківка, Новосанжарський р-н, Полтавська обл., 39323","1904","825","1885","35","1055","24","1079","","0","1055","24","1079","29","1050","22","8","281","8","294","421","16","28.10.12"
"530642","149","Полтавська область","школа, фойє
вул.Балівська, 4А, с.Дубина, Новосанжарський р-н, Полтавська обл., 39323","472","140","467","47","289","43","332","","0","289","43","332","10","322","2","2","29","1","185","101","2","28.10.12"
"530643","149","Полтавська область","будинок культури, фойє
вул.Центральна, 38А, с.Мар’янівка, Новосанжарський р-н, Полтавська обл., 39323","216","63","215","12","141","12","153","","0","141","12","153","5","148","4","0","14","0","95","34","1","28.10.12"
"530644","149","Полтавська область","будинок культури, фойє
вул.Перемоги, 36А, с.Соколова Балка, Новосанжарський р-н, Полтавська обл., 39352","776","233","778","54","494","49","543","","0","494","49","543","5","538","6","1","126","2","113","285","5","29.10.12"
"530645","149","Полтавська область","будинок культури, фойє
вул.Центральна, 8А, с.Андріївка, Новосанжарський р-н, Полтавська обл., 39352","440","117","436","49","278","45","323","","0","278","45","323","2","321","6","4","73","2","61","172","3","29.10.12"
"530646","149","Полтавська область","сільська рада, актова зала
вул.Старосанжарська, 70, с.Старі Санжари, Новосанжарський р-н, Полтавська обл., 39313","464","278","460","7","180","6","186","","0","180","6","186","3","183","9","2","35","2","58","75","2","28.10.12"
"530647","149","Полтавська область","будинок культури, каб.2
вул.Леніна, 10, с.Старі Санжари, Новосанжарський р-н, Полтавська обл., 39313","472","222","462","6","244","6","250","","0","244","6","250","2","248","6","2","101","1","67","70","1","29.10.12"
"530648","149","Полтавська область","сільська рада, актова зала
вул.Леніна, 7/1, с.Стовбина Долина, Новосанжарський р-н, Полтавська обл., 39312","624","208","611","69","352","64","416","","0","352","64","416","4","412","9","0","29","3","90","278","3","29.10.12"
"530649","149","Полтавська область","сільська рада, актова зала
вул.Леніна, 1/12, с.Судівка, Новосанжарський р-н, Полтавська обл., 39302","400","159","394","43","200","41","241","","0","200","41","241","6","235","6","1","33","1","43","151","0","28.10.12"
"530650","149","Полтавська область","сільський клуб, актова зала
вул.Жовтнева, 1, с.Супротивна Балка, Новосанжарський р-н, Полтавська обл., 39330","240","78","228","22","143","19","162","","0","143","19","162","2","160","6","1","13","3","33","104","0","28.10.12"
"530651","149","Полтавська область","сільський клуб, актова зала
вул.Центральна, 5, с.Пасічне, Новосанжарський р-н, Полтавська обл., 39330","160","54","155","19","91","15","106","","0","91","15","106","2","104","4","0","1","0","31","66","2","28.10.12"
"530652","149","Полтавська область","будинок культури, фойє
вул.Леніна, 41, с.Суха Маячка, Новосанжарський р-н, Полтавська обл., 39343","624","150","608","71","403","71","474","","0","403","71","474","6","468","4","4","48","0","252","158","2","29.10.12"
"530653","149","Полтавська область","будинок культури, актова зала
вул.Шевченка, 3А, с.Шедієве, Новосанжарський р-н, Полтавська обл., 39361","400","107","387","52","243","50","293","","0","243","50","293","2","291","3","2","57","0","152","76","1","28.10.12"
"530933","149","Полтавська область","школа, фойє
вул.Миру, 22, смт Артемівка, Чутівський р-н, Полтавська обл., 38813","1680","949","1657","62","679","52","731","","0","679","52","731","20","711","93","18","13","51","282","239","15","29.10.12"
"530934","149","Полтавська область","будинок культури, зал
вул.Артема, 36, смт Артемівка, Чутівський р-н, Полтавська обл., 38813","1344","749","1322","44","556","39","595","","0","556","39","595","23","572","65","19","52","9","245","173","9","28.10.12"
"530935","149","Полтавська область","дитячий садок ""Чебурашка"", к.2
вул.Центральна, 5, с.Коханівка, Чутівський р-н, Полтавська обл., 38813","520","298","516","27","195","27","222","","0","195","27","222","8","214","21","8","13","1","64","107","0","28.10.12"
"530936","149","Полтавська область","селищна рада, актовий зал
вул.Набережна, 9, смт Чутове, Чутівський р-н, Полтавська обл., 38800","936","439","929","34","465","32","497","","0","465","32","497","13","484","75","23","54","5","142","180","5","28.10.12"
"530937","149","Полтавська область","ПТУ №55, фойє
вул.Жовтнева, 33, смт Чутове, Чутівський р-н, Полтавська обл., 38800","1576","784","1561","25","767","25","792","","0","767","25","792","15","777","83","15","95","8","249","321","6","29.10.12"
"530938","149","Полтавська область","дитячий садок ""Світанок"", к.2
вул.Чкалова, 78А, смт Чутове, Чутівський р-н, Полтавська обл., 38800","1640","908","1618","86","654","78","732","","0","654","78","732","16","716","72","11","53","9","291","268","12","29.10.12"
"530939","149","Полтавська область","районний будинок культури, фойє
вул.Жовтнева, 113, смт Чутове, Чутівський р-н, Полтавська обл., 38800","976","534","963","92","365","77","442","","0","365","77","442","7","435","83","10","22","3","138","176","3","29.10.12"
"530940","149","Полтавська область","школа, зал
вул.Чкалова, 70, с.Новофедорівка, Чутівський р-н, Полтавська обл., 38805","328","129","322","24","175","24","199","","0","175","24","199","5","194","15","17","20","1","77","61","3","28.10.12"
"530941","149","Полтавська область","школа, зал
вул.Шкільна, 1, с.Водяне, Чутівський р-н, Полтавська обл., 38804","360","180","347","36","147","33","180","","0","147","33","180","5","175","6","7","40","1","66","54","1","28.10.12"
"530942","149","Полтавська область","сільський будинок культури, глядацький зал
вул.Леніна, 31, с.Василівка, Чутівський р-н, Полтавська обл., 38850","840","409","821","64","376","55","431","","0","376","55","431","8","423","96","8","33","2","126","153","5","28.10.12"
"530943","149","Полтавська область","фельдшерсько-акушерський пункт, зал
вул.Калініна, 4, с.Лозуватка, Чутівський р-н, Полтавська обл., 38861","200","84","196","3","113","3","116","","0","113","3","116","4","112","44","1","14","4","33","15","1","28.10.12"
"530944","149","Полтавська область","сільська рада, обрядовий зал
вул.Калініна, 34А, с.Вільниця, Чутівський р-н, Полтавська обл., 38834","504","213","497","89","208","83","291","","0","208","83","291","8","283","28","8","29","7","152","57","2","28.10.12"
"530945","149","Полтавська область","школа, спортивний зал
вул.Ювілейна, 1, с.Вільхуватка, Чутівський р-н, Полтавська обл., 38852","560","221","550","91","255","84","339","","0","255","84","339","5","334","40","14","40","2","152","79","7","28.10.12"
"530946","149","Полтавська область","школа, фойє
вул.Леніна, 2, с.Войнівка, Чутівський р-н, Полтавська обл., 38840","424","139","416","39","249","36","285","","0","249","36","285","3","282","56","26","42","0","114","40","4","28.10.12"
"530947","149","Полтавська область","сільський клуб, зал
пров.Шкільний, 7, с.Сторожове, Чутівський р-н, Полтавська обл., 38841","344","115","335","42","188","41","229","","0","188","41","229","4","225","25","20","38","3","77","59","3","29.10.12"
"530948","149","Полтавська область","школа, спортивний зал
вул.Жовтнева, 80, с.Грякове, Чутівський р-н, Полтавська обл., 38851","576","267","558","69","245","64","309","","0","245","64","309","10","299","46","20","29","2","117","82","3","28.10.12"
"530949","149","Полтавська область","сільський будинок культури, хол
вул.40-річчя Перемоги, 80А, с.Смородщина, Чутівський р-н, Полтавська обл., 38843","360","148","355","38","179","33","212","","0","179","33","212","12","200","18","17","17","1","77","68","2","28.10.12"
"530950","149","Полтавська область","сільський клуб, зал
вул.Полтавська, 9, с.Зеленківка, Чутівський р-н, Полтавська обл., 38842","312","99","311","32","184","29","213","","0","184","29","213","11","202","11","27","40","3","66","50","5","28.10.12"
"530951","149","Полтавська область","школа, актовий зал
вул.Леніна, 1Б, с.Іскрівка, Чутівський р-н, Полтавська обл., 38821","384","159","383","44","182","43","225","","0","182","43","225","8","217","29","10","26","3","103","44","2","28.10.12"
"530952","149","Полтавська область","школа, фойє
вул.Комінника, 46, с.Нова Кочубеївка, Чутівський р-н, Полтавська обл., 38830","696","323","694","68","308","65","373","","0","308","65","373","4","369","32","12","25","3","189","104","4","28.10.12"
"530953","149","Полтавська область","сільська рада, кабінет секретаря
вул.Кірова, 21, с.Скибівка, Чутівський р-н, Полтавська обл., 38811","216","49","215","24","146","21","167","","0","146","21","167","2","165","17","6","9","4","71","57","1","28.10.12"
"530954","149","Полтавська область","сільський будинок культури, актовий зал
вул.Миру, 7, с.Рябківка, Чутівський р-н, Полтавська обл., 38812","248","89","249","24","139","20","159","","0","139","20","159","3","156","17","5","4","1","84","43","2","28.10.12"
"530955","149","Полтавська область","школа, актовий зал
вул.Жовтнева, 7А, с.Таверівка, Чутівський р-н, Полтавська обл., 38806","672","354","661","56","264","54","318","","0","264","54","318","5","313","34","10","30","3","135","98","3","29.10.12"
"530956","149","Полтавська область","сільська рада, зал засідань
вул.Шкільна, 1, с.Филенкове, Чутівський р-н, Полтавська обл., 38810","928","340","925","89","503","85","588","","0","503","85","588","7","581","32","10","42","2","341","153","1","29.10.12"
"530957","149","Полтавська область","школа, фойє
вул.Радгоспна, 7, с.Чапаєве, Чутівський р-н, Полтавська обл., 38832","1256","593","1249","104","571","92","663","","0","571","92","663","13","650","57","14","144","9","305","118","3","29.10.12"
"530958","149","Полтавська область","школа, фойє
вул.Свердлова, 35, с.Черняківка, Чутівський р-н, Полтавська обл., 38820","672","295","665","45","335","42","377","","0","335","42","377","2","375","30","15","23","4","187","109","7","28.10.12"
"530959","149","Полтавська область","школа, фойє
вул.Леніна, 9, с.Кочубеївка, Чутівський р-н, Полтавська обл., 38822","680","286","672","45","351","43","394","","0","351","43","394","11","383","69","9","32","2","152","111","8","28.10.12"
