"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Жеваго
Костянтин
Валентинович","Капустян
Ганна
Тимофіївна","Кафізов
Денис
Валерійович","Колісник
Юрій
Олексійович","Мітіна
Ірина
Валентинівна","Панасенко
Іван
Якимович","Савицька
Оксана
Анатоліївна","Сичевський
Анатолій
Павлович","Дата підписання протоколу"
"530140","150","Полтавська область","сільський клуб, глядацький зал
вул.Леніна, 38, с.Липове, Глобинський р-н, Полтавська обл., 39021","296","117","291","16","163","16","179","","0","163","16","179","6","173","87","23","1","9","7","16","28","2","28.10.12"
"530141","150","Полтавська область","школа, фойє
вул.П.Морозенка, 25, с.Федорівка, Глобинський р-н, Полтавська обл., 39031","440","156","435","33","251","33","284","","0","251","33","284","6","278","122","65","5","24","2","32","27","1","29.10.12"
"530142","150","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Леніна, 8А, с.Попівка, Глобинський р-н, Полтавська обл., 39031","136","28","128","14","94","14","108","","0","94","14","108","1","107","69","9","1","2","0","16","9","1","28.10.12"
"530143","150","Полтавська область","сільський будинок культури, фойє
вул.Леніна, 50, с.Фрунзівка, Глобинський р-н, Полтавська обл., 39060","600","201","597","51","350","49","399","","0","350","49","399","12","387","282","34","6","16","6","12","29","2","28.10.12"
"530144","150","Полтавська область","будинок культури, глядацький зал
вул.Шевченка, 2А, с.Сиротенки, Глобинський р-н, Полтавська обл., 39061","208","67","203","18","123","18","141","","0","123","18","141","6","135","83","15","2","6","4","3","20","2","28.10.12"
"530145","150","Полтавська область","центральна районна лікарня, адмінприміщення
тупик Лікарняний, 1, м.Глобине, Глобинський р-н, Полтавська обл., 39000","208","203","8","7","1","4","5","","0","1","4","5","0","5","3","1","0","1","0","0","0","0","28.10.12"
"530379","150","Полтавська область","навчально-виховний комплекс, фойє
вул.Леніна, 149, с.Білецьківка, Кременчуцький р-н, Полтавська обл., 39760","1960","968","1948","33","961","31","992","","0","961","31","992","41","951","407","159","22","92","50","70","131","20","29.10.12"
"530380","150","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Комарова, 2, с.Бурти, Кременчуцький р-н, Полтавська обл., 39762","200","94","198","12","94","12","106","","0","94","12","106","6","100","46","8","0","6","12","11","13","4","28.10.12"
"530381","150","Полтавська область","сільський будинок культури, глядацький зал
вул.Леніна, 330, с.Білецьківка, Кременчуцький р-н, Полтавська обл., 39760","816","404","810","37","375","37","412","","0","375","37","412","14","398","224","52","6","30","25","21","33","7","29.10.12"
"530382","150","Полтавська область","сільський клуб, фойє
вул.Леніна, 48, с.Чечелеве, Кременчуцький р-н, Полтавська обл., 39761","1584","798","1564","62","727","59","786","","0","727","59","786","25","761","377","122","16","50","40","41","103","12","28.10.12"
"530383","150","Полтавська область","сільська рада, зал засідань
вул.Кірова, 11А, с.Бондарі, Кременчуцький р-н, Полтавська обл., 39730","760","369","746","79","322","69","391","","0","322","69","391","6","385","70","244","6","19","15","22","6","3","29.10.12"
"530384","150","Полтавська область","навчально-виховний комплекс, фойє
вул.Петровського, 58, с.Гориславці, Кременчуцький р-н, Полтавська обл., 39703","816","371","814","45","401","44","445","","0","401","44","445","17","428","192","59","9","22","22","68","47","9","28.10.12"
"530385","150","Полтавська область","сільська рада, зал засідань
вул.Шевченка, 8, с.Демидівка, Кременчуцький р-н, Полтавська обл., 39710","384","136","372","24","225","23","248","","0","225","23","248","2","246","172","23","4","15","5","17","10","0","28.10.12"
"530386","150","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Молодіжна, 37, с.Радочини, Кременчуцький р-н, Полтавська обл., 39711","248","74","245","36","141","33","174","","0","141","33","174","3","171","114","11","5","12","2","14","11","2","28.10.12"
"530387","150","Полтавська область","сільський клуб, глядацький зал
вул.Леніна, 100, с.Запсілля, Кременчуцький р-н, Полтавська обл., 39731","544","204","541","54","294","46","340","","0","294","46","340","14","326","207","47","3","16","9","28","13","3","29.10.12"
"530388","150","Полтавська область","школа, фойє
вул.Щорса, 55, с.Садки, Кременчуцький р-н, Полтавська обл., 39625","1720","930","1700","45","749","41","790","","0","749","41","790","36","754","245","131","14","66","40","115","129","14","29.10.12"
"530389","150","Полтавська область","амбулаторія загальної практики сімейної медицини, фойє
вул.Щорса, 159А, с.Садки, Кременчуцький р-н, Полтавська обл., 39625","656","253","649","40","363","40","403","","0","363","40","403","7","396","162","90","4","26","13","62","36","3","28.10.12"
"530390","150","Полтавська область","школа, фойє
вул.Щорса, 405, с.Кам’яні Потоки, Кременчуцький р-н, Полтавська обл., 39763","1776","946","1749","46","786","40","826","","0","790","40","830","21","809","352","117","5","42","29","191","69","4","29.10.12"
"530391","150","Полтавська область","сільська рада, зал засідань
вул.Леніна, 19, с.Кам’яні Потоки, Кременчуцький р-н, Полтавська обл., 39763","1072","580","1063","22","472","20","492","","0","472","20","492","12","480","237","76","4","27","15","85","34","2","28.10.12"
"530392","150","Полтавська область","сільський клуб, глядацький зал
вул.Польова, 31А, с.Ройове, Кременчуцький р-н, Полтавська обл., 39763","296","128","296","16","154","14","168","","0","154","14","168","2","166","94","18","0","8","5","37","4","0","28.10.12"
"530393","150","Полтавська область","сільська рада, зал засідань
вул.Шевченка, 5, с.Келеберда, Кременчуцький р-н, Полтавська обл., 39754","312","84","307","13","215","13","228","","0","215","13","228","3","225","190","8","2","6","10","5","3","1","28.10.12"
"530394","150","Полтавська область","сільський будинок культури, глядацький зал
вул.Свердлова, 23, с.Кобелячок, Кременчуцький р-н, Полтавська обл., 39753","536","202","532","57","281","53","334","","0","281","53","334","6","328","234","14","6","18","14","25","17","0","29.10.12"
"530395","150","Полтавська область","школа, фойє
вул.Жовтнева, 38, с.Майбородівка, Кременчуцький р-н, Полтавська обл., 39712","696","313","688","20","364","19","383","","0","364","19","383","10","373","212","41","7","22","11","53","26","1","29.10.12"
"530396","150","Полтавська область","сільський клуб, глядацький зал
вул.Перемоги, 36, с.Писарщина, Кременчуцький р-н, Полтавська обл., 39712","152","52","150","15","85","15","100","","0","85","15","100","5","95","75","5","0","0","1","6","7","1","28.10.12"
"530397","150","Полтавська область","навчально-виховний комплекс, актовий зал
вул.Леніна, 8, с.Максимівка, Кременчуцький р-н, Полтавська обл., 39720","1632","715","1616","89","836","81","917","","0","836","81","917","19","898","428","145","9","49","19","148","89","11","28.10.12"
"530398","150","Полтавська область","школа, актовий зал
вул.Приморська, 156, с.Недогарки, Кременчуцький р-н, Полтавська обл., 39722","1408","544","1400","114","754","110","864","","0","754","110","864","34","830","456","97","12","54","27","115","62","7","29.10.12"
"530399","150","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Степова, 80А, с.Рокитне-Донівка, Кременчуцький р-н, Полтавська обл., 39722","144","31","145","15","98","15","113","","0","98","15","113","4","109","70","12","1","2","3","12","8","1","28.10.12"
"530400","150","Полтавська область","навчально-виховний комплекс, спортивний зал
вул.Леніна, 64, с.Омельник, Кременчуцький р-н, Полтавська обл., 39713","1520","597","1497","104","829","94","923","","0","829","94","923","26","897","517","128","10","43","21","86","85","7","29.10.12"
"530401","150","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Нова, 32, с.Варакути, Кременчуцький р-н, Полтавська обл., 39710","248","97","244","10","145","6","151","","0","145","6","151","3","148","107","12","4","4","2","11","7","1","28.10.12"
"530402","150","Полтавська область","центр культури і дозвілля, фойє
вул.Київська, 129, с.Піщане, Кременчуцький р-н, Полтавська обл., 39701","2352","1001","2347","68","1288","63","1351","","0","1288","63","1351","42","1309","428","257","24","178","55","185","164","18","29.10.12"
"530403","150","Полтавська область","амбулаторія загальної практики сімейної медицини, фойє
вул.Київська, 237, с.Піщане, Кременчуцький р-н, Полтавська обл., 39701","1944","803","1939","93","1068","73","1141","","0","1068","73","1141","32","1109","339","281","12","205","34","117","112","9","28.10.12"
"530404","150","Полтавська область","сільський клуб, глядацький зал
вул.Богдана Хмельницького, 39А, с.Кривуші, Кременчуцький р-н, Полтавська обл., 39702","1432","800","1446","17","619","13","632","","0","619","13","632","23","609","164","120","17","98","49","53","96","12","29.10.12"
"530405","150","Полтавська область","сільський будинок культури, фойє
вул.Шевченка, 1А, с.Потоки, Кременчуцький р-н, Полтавська обл., 39741","1456","685","1455","34","739","32","771","","0","739","32","771","14","757","415","144","10","83","19","27","52","7","29.10.12"
"530406","150","Полтавська область","школа, фойє
вул.Шкільна, 37, с.Мала Кохнівка, Кременчуцький р-н, Полтавська обл., 39618","1056","497","1054","53","508","51","559","","0","508","51","559","27","532","240","87","8","48","26","49","69","5","29.10.12"
"530407","150","Полтавська область","сільський клуб, глядацький зал
вул.Леніна, 62, с.Дзержинське, Кременчуцький р-н, Полтавська обл., 39618","360","136","362","20","204","20","224","","0","204","20","224","6","218","150","22","1","10","9","8","16","2","28.10.12"
"530408","150","Полтавська область","школа, спортивний зал
вул.Леніна, 19, с.Пришиб, Кременчуцький р-н, Полтавська обл., 39750","824","307","809","82","444","73","517","","0","444","73","517","6","510","401","27","4","21","16","31","10","0","29.10.12"
"530409","150","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Шевченка, 51, с.Єристівка, Кременчуцький р-н, Полтавська обл., 39751","232","75","227","28","129","28","157","","0","129","28","157","3","154","126","10","1","3","5","8","1","0","29.10.12"
"530410","150","Полтавська область","школа, актовий зал
вул.Макаренка, 12, с.Рокитне, Кременчуцький р-н, Полтавська обл., 39740","1256","571","1246","69","620","65","685","","0","620","65","685","19","666","425","72","9","40","19","51","42","8","29.10.12"
"530411","150","Полтавська область","сільський будинок культури, глядацький зал
вул.Жовтнева, 1, с.П’ятихатки, Кременчуцький р-н, Полтавська обл., 39740","376","124","369","15","238","14","252","","0","238","14","252","8","244","160","8","5","34","9","19","9","0","28.10.12"
"530412","150","Полтавська область","сільський клуб, фойє
вул.Петровського, 151, с.Червона Знам’янка, Кременчуцький р-н, Полтавська обл., 39704","2032","943","2010","135","955","134","1089","","0","955","134","1089","37","1052","377","211","19","117","54","115","153","6","29.10.12"
"530413","150","Полтавська область","сільський будинок культури, фойє
вул.Берегового, 2Б, с.Вільна Терешківка, Кременчуцький р-н, Полтавська обл., 39705","1392","651","1372","74","670","71","741","","0","670","71","741","32","709","231","138","10","66","43","129","85","7","28.10.12"
"530414","150","Полтавська область","школа, актовий зал
вул.Піонерська, 1, с.Салівка, Кременчуцький р-н, Полтавська обл., 39752","928","303","913","66","565","60","625","","0","565","60","625","12","613","527","16","5","14","18","25","8","0","29.10.12"
"530415","150","Полтавська область","сільський будинок культури, фойє
вул.Леніна, 8В, с.Ялинці, Кременчуцький р-н, Полтавська обл., 39721","744","231","728","33","482","31","513","","0","482","31","513","15","498","253","107","5","36","9","46","39","3","28.10.12"
"530416","150","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Центральна, 1А, с.Кіндрівка, Кременчуцький р-н, Полтавська обл., 39702","224","83","231","23","121","20","141","","0","121","20","141","6","135","61","21","1","13","10","21","6","2","28.10.12"
"530983","150","Полтавська область","технікум, фойє
вул.Миру, 6, м.Комсомольськ, Полтавська обл., 39800","2392","862","2379","110","1429","101","1530","","0","1429","101","1530","58","1472","1231","56","18","54","66","13","34","0","29.10.12"
"530984","150","Полтавська область","професійний гірничий ліцей, фойє
вул.Космонавтів, 10, м.Комсомольськ, Полтавська обл., 39800","2152","854","2141","18","1285","13","1298","","0","1285","13","1298","29","1269","1135","26","10","29","43","10","16","0","29.10.12"
"530985","150","Полтавська область","школа №1, фойє
вул.Миру, 5, м.Комсомольськ, Полтавська обл., 39800","2280","787","2265","51","1453","40","1493","","0","1453","40","1493","28","1465","1290","36","10","39","68","12","9","1","29.10.12"
"530986","150","Полтавська область","палац культури та творчості, фойє
вул.Миру, 16, м.Комсомольськ, Полтавська обл., 39800","2448","866","2430","29","1561","21","1582","","0","1561","21","1582","21","1561","1369","33","12","36","74","12","22","3","29.10.12"
"530987","150","Полтавська область","палац культури та творчості, фойє
вул.Миру, 16, м.Комсомольськ, Полтавська обл., 39800","2448","812","2435","30","1613","23","1636","","0","1613","23","1636","16","1620","1432","60","15","24","51","12","23","3","29.10.12"
"530988","150","Полтавська область","фізкультурно-оздоровчий комплекс, спортзала
вул.Добровольського, 30, м.Комсомольськ, Полтавська обл., 39800","2432","834","2418","15","1588","10","1598","","0","1588","10","1598","19","1579","1461","37","9","16","39","4","12","1","29.10.12"
"530989","150","Полтавська область","школа №6, вестибюль, 1-й поверх
вул.Добровольського, 65, м.Комсомольськ, Полтавська обл., 39800","2456","874","2426","14","1571","11","1582","","0","1571","11","1582","23","1559","1382","35","15","30","63","13","19","2","29.10.12"
"530990","150","Полтавська область","школа №6, вестибюль, 2-й поверх
вул.Добровольського, 65, м.Комсомольськ, Полтавська обл., 39800","2296","854","2281","22","1424","18","1442","","0","1424","18","1442","16","1426","1269","45","11","14","53","7","25","2","29.10.12"
"530991","150","Полтавська область","виконком Комсомольської міської ради, фойє великої зали
вул.Миру, 24, м.Комсомольськ, Полтавська обл., 39800","2416","825","2401","34","1563","28","1591","","0","1563","28","1591","21","1570","1417","26","11","32","56","14","12","2","28.10.12"
"530992","150","Полтавська область","гімназія ім.В.О.Нижниченка, фойє актової зали
вул.Добровольського, 27, м.Комсомольськ, Полтавська обл., 39800","2256","776","2252","34","1446","34","1480","","0","1446","34","1480","13","1467","1274","42","13","43","56","14","21","4","28.10.12"
"530993","150","Полтавська область","гімназія ім.В.О.Нижниченка, фойє
вул.Добровольського, 27, м.Комсомольськ, Полтавська обл., 39800","2256","801","2240","40","1415","40","1455","","0","1415","40","1455","24","1431","1275","24","16","38","57","7","10","4","29.10.12"
"530994","150","Полтавська область","школа №2, фойє
вул.Молодіжна, 25, м.Комсомольськ, Полтавська обл., 39800","2344","778","2318","50","1523","43","1566","","0","1523","43","1566","27","1539","1320","40","10","48","89","14","18","0","28.10.12"
"530995","150","Полтавська область","школа №2, спортзала
вул.Молодіжна, 25, м.Комсомольськ, Полтавська обл., 39800","2328","800","2308","30","1499","29","1528","","0","1499","29","1528","32","1496","1310","33","8","55","56","13","18","3","29.10.12"
"530996","150","Полтавська область","гуртожиток ВАТ ""ПГЗК"", кімната відпочинку
вул.Строни, 25, м.Комсомольськ, Полтавська обл., 39800","2184","906","2175","20","1258","20","1278","","0","1258","20","1278","19","1259","1130","18","12","32","45","9","11","2","28.10.12"
"530997","150","Полтавська область","спортивний комплекс ""Динамо"", спортзала
вул.Добровольського, 4, м.Комсомольськ, Полтавська обл., 39800","2496","1110","2481","17","1376","10","1386","","0","1376","10","1386","26","1360","1235","15","15","27","39","10","17","2","29.10.12"
"530998","150","Полтавська область","навчально-виховний комплекс ім. Л.І.Бугаєвської, вестибюль
вул.Конституції, 20, м.Комсомольськ, Полтавська обл., 39800","2440","789","2421","22","1635","16","1651","","0","1635","16","1651","27","1624","1452","16","10","50","60","8","26","2","28.10.12"
"530999","150","Полтавська область","школа №4, вестибюль
вул.Конституції, 20, м.Комсомольськ, Полтавська обл., 39800","2448","761","2429","42","1649","38","1687","","0","1649","38","1687","16","1671","1503","39","10","44","50","11","13","1","29.10.12"
"531000","150","Полтавська область","Дмитрівська школа, фойє
вул.Молодіжна, 7, с.Дмитрівка, м.Комсомольськ, Полтавська обл., 39891","2304","1113","2288","199","1016","175","1191","","0","1016","175","1191","18","1173","929","105","11","43","35","15","32","3","29.10.12"
"531001","150","Полтавська область","Комсомольський виправний центр, кімната виховної роботи відділення СПС-2
вул.Будівельників, 33, м.Комсомольськ, Полтавська обл., 39800","200","17","183","2","181","2","183","","0","181","2","183","9","174","162","4","1","2","1","1","2","1","28.10.12"
"531086","150","Полтавська область","школа №12, спортивна зала
вул.Ернста Тельмана, 52, м.Кременчук, Полтавська обл., 39622","2392","1070","2383","26","1303","19","1322","","0","1303","19","1322","53","1269","448","262","27","114","104","77","212","25","29.10.12"
"531087","150","Полтавська область","навчально-виробничий комбінат, автомобільний клас
вул.Маршала Жукова, 140, м.Кременчук, Полтавська обл., 39627","2288","1119","2277","15","1159","10","1169","","0","1159","10","1169","37","1132","431","267","18","71","58","60","219","8","29.10.12"
"531088","150","Полтавська область","дитячий садок №50, музична зала
вул.60 років СРСР, 2, м.Кременчук, Полтавська обл., 39622","2024","920","2004","16","1090","14","1104","","0","1090","14","1104","41","1063","409","216","22","75","67","63","187","24","29.10.12"
"531089","150","Полтавська область","школа №31, хол
вул.Героїв Сталінграда, 39, м.Кременчук, Полтавська обл., 39622","2160","1032","2152","9","1122","6","1128","","0","1122","6","1128","42","1086","382","244","27","81","78","70","187","17","28.10.12"
"531090","150","Полтавська область","гуртожиток, хол
просп.50-річчя Жовтня, 76, м.Кременчук, Полтавська обл., 39622","2248","1037","2234","8","1208","3","1211","","0","1208","3","1211","59","1152","435","225","28","80","75","68","227","14","29.10.12"
"531091","150","Полтавська область","палац культури ""Нафтохімік"", хол
просп.50-річчя Жовтня, 33, м.Кременчук, Полтавська обл., 39622","2392","1041","2379","9","1344","7","1351","","0","1344","7","1351","60","1291","421","260","36","96","107","78","268","25","29.10.12"
"531092","150","Полтавська область","професійний ліцей нафтопереробної промисловості, їдальня
просп.50-річчя Жовтня, 42, м.Кременчук, Полтавська обл., 39622","2504","1212","2495","6","1288","4","1292","","0","1288","4","1292","65","1227","457","219","17","87","81","59","279","28","29.10.12"
"531093","150","Полтавська область","професійний ліцей нафтопереробної промисловості, корпус 2, хол
просп.50-річчя Жовтня, 40, м.Кременчук, Полтавська обл., 39622","2240","1107","2227","8","1126","7","1133","","0","0","0","1133","32","1101","402","222","19","69","73","67","229","20","29.10.12"
"531094","150","Полтавська область","школа ""Вибір"" №17, корпус 1, хол
вул.Трохима Карнаухова, 14, м.Кременчук, Полтавська обл., 39610","2488","1276","2479","25","1191","21","1212","","0","1191","21","1212","45","1167","421","204","16","114","95","84","220","13","28.10.12"
"531095","150","Полтавська область","школа ""Вибір"" №17, корпус 2, хол
вул.Трохима Карнаухова, 14, м.Кременчук, Полтавська обл., 39610","2472","1271","2459","23","1184","17","1201","","0","1184","17","1201","41","1160","414","247","38","128","93","77","149","14","29.10.12"
"531096","150","Полтавська область","дитяча бібліотека, кімната казок
просп.50-річчя Жовтня, 13, м.Кременчук, Полтавська обл., 39610","1808","833","1820","13","963","12","975","","0","963","12","975","51","924","291","169","28","86","87","90","157","16","29.10.12"
"531097","150","Полтавська область","школа №8, хол
вул.Трохима Карнаухова, 6, м.Кременчук, Полтавська обл., 39610","2040","915","2006","17","1108","17","1125","","0","1108","17","1125","35","1090","422","215","16","96","82","77","172","10","28.10.12"
"531098","150","Полтавська область","школа №26, спортивна зала
пров.Грозненський, 4, м.Кременчук, Полтавська обл., 39610","2368","1017","2369","18","1338","13","1351","","0","1337","13","1350","60","1290","446","237","27","103","119","99","236","23","29.10.12"
