"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Вячеслав
Свиридович","Ворона
Петро
Васильович","Домашенко
Тетяна
Михайлівна","Корнієнко
Сергій
Юрійович","Коряк
Василь
Васильович","Костюк
Віктор
Михайлович","Кравецький
Віктор
Миколайович","Пилипенко
Володимир
Пилипович","Сарана
Віктор
Володимирович","Сірик
Ігор
Володимирович","Чаповський
Олександр
Якович","Дата підписання протоколу"
"530488","148","Полтавська область","їдальня, зал
вул.Депутатська, 7, с.Матяшівка, Лубенський р-н, Полтавська обл., 37561","108","43","104","8","57","8","65","","0","57","8","65","3","62","1","11","0","1","1","0","0","43","0","5","0","28.10.12"
"530489","148","Полтавська область","школа, ігрова кімната
вул.Леніна, 106, с.Березоточа, Лубенський р-н, Полтавська обл., 37535","780","280","764","40","460","40","500","","0","460","40","500","17","483","1","103","5","15","47","8","31","242","6","24","1","29.10.12"
"530490","148","Полтавська область","дослідна станція лікарських рослин, зал вченої ради
вул.Леніна, 16А, с.Березоточа, Лубенський р-н, Полтавська обл., 37535","462","188","461","25","249","25","274","","0","249","25","274","14","260","5","67","5","8","33","5","10","116","3","8","0","28.10.12"
"530491","148","Полтавська область","будинок культури, фойє
вул.Леніна, 39, с.Вовчик, Лубенський р-н, Полтавська обл., 37533","1170","405","1158","71","705","60","765","","0","705","60","765","16","749","2","257","9","9","105","23","50","272","2","18","2","28.10.12"
"530492","148","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Шевченка, 2А, с.Висачки, Лубенський р-н, Полтавська обл., 37534","192","55","188","30","108","29","137","","0","108","29","137","6","131","1","23","1","3","6","3","7","81","0","6","0","28.10.12"
"530493","148","Полтавська область","школа, хол
вул.Радянська, 2, с.Литвяки, Лубенський р-н, Полтавська обл., 37531","564","157","554","35","374","33","407","","0","374","33","407","9","398","1","145","1","4","5","7","17","191","4","21","2","28.10.12"
"530494","148","Полтавська область","сільський клуб, фойє
пров.Гагаріна, 1А, с.Жовтневе, Лубенський р-н, Полтавська обл., 37532","198","51","196","28","120","27","147","","0","120","27","147","6","141","2","35","1","0","5","9","6","75","0","7","1","28.10.12"
"530504","148","Полтавська область","сільський клуб, фойє №1
вул.Леніна, 109В, с.Мгар, Лубенський р-н, Полтавська обл., 37536","330","116","325","41","177","37","214","","0","177","37","214","5","209","2","50","4","9","29","1","15","88","1","8","2","29.10.12"
"530505","148","Полтавська область","сільський клуб, фойє
вул.Дмитра Сірика, 31Б, с.Луки, Лубенський р-н, Полтавська обл., 37536","198","48","199","23","128","22","150","","0","128","22","150","4","146","1","20","2","5","7","0","11","96","0","3","1","29.10.12"
"530506","148","Полтавська область","школа, каб.1
вул.Радянська, 37, с.Вільшанка, Лубенський р-н, Полтавська обл., 37501","384","138","384","55","192","54","246","","0","192","54","246","3","243","2","26","1","9","9","4","17","163","2","0","10","29.10.12"
"530522","148","Полтавська область","школа, актова зала
вул.Халявицького, 12, с.Вищий Булатець, Лубенський р-н, Полтавська обл., 37544","948","368","941","30","553","27","580","","0","553","27","580","14","566","6","137","12","24","32","10","49","273","6","15","2","29.10.12"
"530523","148","Полтавська область","школа, хол
вул.Садова, 1А, с.Нижній Булатець, Лубенський р-н, Полтавська обл., 37545","750","308","754","28","414","28","442","","0","414","28","442","19","423","2","102","6","28","23","4","25","221","1","10","1","28.10.12"
"530524","148","Полтавська область","сільський клуб, фойє
вул.Українська, 27, с.Чуднівці, Лубенський р-н, Полтавська обл., 37571","240","85","237","22","133","22","155","","0","133","22","155","2","153","1","29","8","21","8","1","18","59","0","8","0","29.10.12"
"530525","148","Полтавська область","школа, хол
вул.Леніна, 64В, с.Ісківці, Лубенський р-н, Полтавська обл., 37572","636","235","632","23","382","19","401","","0","382","19","401","19","382","1","98","4","7","36","3","47","164","2","19","1","28.10.12"
"530526","148","Полтавська область","сільський клуб, фойє №1
вул.Вербівчанка, 52А, с.Пулинці, Лубенський р-н, Полтавська обл., 37572","204","64","202","13","127","13","140","","0","127","13","140","4","136","0","50","1","1","13","0","13","43","1","14","0","28.10.12"
"530527","148","Полтавська область","будинок культури, фойє
вул.Леніна, 55, с.Михнівці, Лубенський р-н, Полтавська обл., 37570","690","138","688","68","486","66","552","","0","486","66","552","20","532","2","160","9","8","39","8","44","235","5","18","4","28.10.12"
"530528","148","Полтавська область","сільський клуб, фойє
вул.Шевченка, 40, с.П’ятигірці, Лубенський р-н, Полтавська обл., 37570","180","38","175","20","122","20","142","","0","122","20","142","8","134","1","20","2","6","3","3","24","68","0","7","0","28.10.12"
"530529","148","Полтавська область","сільський клуб, фойє
вул.Леніна, 13, с.Олександрівка, Лубенський р-н, Полтавська обл., 37570","420","45","420","49","326","49","375","","0","326","49","375","5","370","1","126","2","8","25","7","28","143","4","24","2","28.10.12"
"530530","148","Полтавська область","школа, спортивний зал
вул.Дружби, 94, с.В’язівок, Лубенський р-н, Полтавська обл., 37571","384","95","382","41","248","41","289","","0","248","41","289","13","276","3","52","9","7","13","1","19","149","2","20","1","28.10.12"
"530531","148","Полтавська область","сільський клуб, фойє
вул.Гагаріна, 4, с.Терни, Лубенський р-н, Полтавська обл., 37503","354","110","360","20","224","20","244","","0","224","20","244","5","239","5","38","0","6","13","5","18","143","1","9","1","29.10.12"
"530654","148","Полтавська область","школа, фойє
вул.Леніна, 16, смт Оржиця, Оржицький р-н, Полтавська обл., 37700","1980","811","1957","57","1126","43","1169","","0","1126","43","1169","36","1133","7","296","11","12","43","12","40","538","37","134","3","29.10.12"
"530655","148","Полтавська область","районний будинок культури, фойє
вул.Леніна, 75, смт Оржиця, Оржицький р-н, Полтавська обл., 37700","1248","507","1232","21","721","20","741","","0","721","20","741","27","714","4","125","13","9","35","11","21","362","18","111","5","29.10.12"
"530656","148","Полтавська область","сільський клуб, фойє
вул.Пушкіна, 22, с.Маяківка, Оржицький р-н, Полтавська обл., 37715","246","49","240","11","186","11","197","","0","186","11","197","7","190","2","49","7","4","7","3","3","104","2","9","0","29.10.12"
"530657","148","Полтавська область","будинок культури, актова зала
вул.Гагаріна, 1, смт Новооржицьке, Оржицький р-н, Полтавська обл., 37714","1566","723","1540","37","810","33","843","","0","810","33","843","57","786","13","189","14","28","34","18","16","348","60","61","5","29.10.12"
"530658","148","Полтавська область","будинок культури, фойє
вул.Леніна, 12, с.Воронинці, Оржицький р-н, Полтавська обл., 37711","828","302","814","91","443","83","526","","0","443","83","526","24","502","3","135","3","6","9","4","7","276","36","23","0","29.10.12"
"530659","148","Полтавська область","школа, фойє
вул.Жовтневої революції, 12, с.Денисівка, Оржицький р-н, Полтавська обл., 37732","732","244","729","71","419","69","488","","0","419","69","488","22","466","2","196","11","2","2","3","15","185","15","34","1","29.10.12"
"530660","148","Полтавська область","школа, фойє
вул.Леніна, 158, с.Заріг, Оржицький р-н, Полтавська обл., 37740","1116","374","1105","84","665","77","742","","0","665","77","742","16","726","5","234","6","3","11","2","22","345","20","76","2","29.10.12"
"530661","148","Полтавська область","сільський клуб, фойє
вул.Радянська, 18/1, с.Золотухи, Оржицький р-н, Полтавська обл., 37733","318","101","317","17","201","16","217","","0","201","16","217","5","212","2","69","5","3","6","0","14","100","5","8","0","29.10.12"
"530662","148","Полтавська область","будинок культури, фойє
вул.Котовського, 15А, с.Тарасенкове, Оржицький р-н, Полтавська обл., 37734","486","169","479","17","300","17","317","","0","300","17","317","11","306","1","61","5","4","3","4","14","178","8","27","1","29.10.12"
"530663","148","Полтавська область","будинок культури, фойє
вул.Леніна, 65, с.Круподеринці, Оржицький р-н, Полтавська обл., 37721","708","142","702","115","454","112","566","","0","454","112","566","10","556","2","119","4","4","88","3","13","305","6","12","0","29.10.12"
"530664","148","Полтавська область","будинок культури, фойє
вул.Крупської, 30, с.Куйбишеве, Оржицький р-н, Полтавська обл., 37712","1074","440","1060","83","554","80","634","","0","554","80","634","25","609","3","176","15","7","35","3","15","264","59","32","0","29.10.12"
"530665","148","Полтавська область","дитячий садок, актова зала
вул.Леніна, 3, с.Тимки, Оржицький р-н, Полтавська обл., 37725","252","94","250","21","141","17","158","","0","141","17","158","10","148","2","54","6","1","1","3","4","62","4","10","1","29.10.12"
"530666","148","Полтавська область","будинок механізатора, актова зала
вул.Шкільна, 2, с.Хоружівка, Оржицький р-н, Полтавська обл., 37712","162","44","159","18","100","18","118","","0","100","18","118","1","117","0","24","3","1","4","0","3","77","2","3","0","29.10.12"
"530667","148","Полтавська область","школа, актова зала
вул.Центральна, 6, с.Несено-Іржавець, Оржицький р-н, Полтавська обл., 37731","180","72","178","16","92","16","108","","0","92","16","108","4","104","1","12","1","4","11","1","7","3","6","58","0","29.10.12"
"530668","148","Полтавська область","сільський клуб, актова зала
вул.Центральна, 6, с.Іванівка, Оржицький р-н, Полтавська обл., 37712","78","33","75","6","40","5","45","","0","40","5","45","3","42","0","3","0","0","0","0","3","35","0","1","0","29.10.12"
"530669","148","Полтавська область","гуртожиток ПТУ-46, фойє
вул.Леніна, 32, с.Лазірки, Оржицький р-н, Полтавська обл., 37710","1086","428","1068","60","601","57","658","","0","601","57","658","12","646","1","151","6","17","47","9","15","204","172","22","2","29.10.12"
"530670","148","Полтавська область","будинок культури, фойє
вул.Кірова, 28, с.Лазірки, Оржицький р-н, Полтавська обл., 37710","894","350","883","82","464","80","544","","0","464","80","544","14","530","3","113","11","1","39","4","14","205","119","19","2","28.10.12"
"530671","148","Полтавська область","школа, спортзал
вул.Шкільна, 16, с.Лукім’я, Оржицький р-н, Полтавська обл., 37751","462","134","451","73","262","66","328","","0","262","66","328","9","319","2","106","3","4","15","11","6","155","6","10","1","29.10.12"
"530672","148","Полтавська область","сільський клуб, актова зала
вул.Шевченка, 38, с.Нижній Іржавець, Оржицький р-н, Полтавська обл., 37751","174","41","170","19","116","17","133","","0","116","17","133","4","129","1","24","4","1","1","1","1","81","6","9","0","29.10.12"
"530673","148","Полтавська область","школа, фойє
вул.Радянська, 1, с.Онішки, Оржицький р-н, Полтавська обл., 37706","648","228","630","38","385","35","420","","0","385","35","420","11","409","2","145","5","6","5","4","10","208","3","20","1","29.10.12"
"530674","148","Полтавська область","школа, спортзал
вул.Леніна, 50, с.Плехів, Оржицький р-н, Полтавська обл., 37752","510","108","508","32","370","32","402","","0","370","32","402","12","390","2","94","4","3","9","8","10","225","9","24","2","29.10.12"
"530675","148","Полтавська область","сільський клуб, фойє
вул.Леніна, 42, с.Тарасівка, Оржицький р-н, Полтавська обл., 37700","240","68","236","8","164","8","172","","0","164","8","172","1","171","0","32","1","0","8","1","1","112","1","15","0","29.10.12"
"530676","148","Полтавська область","школа, спортзал
вул.Леніна, 78, с.Райозеро, Оржицький р-н, Полтавська обл., 37730","450","173","448","36","248","29","277","","0","248","29","277","8","269","3","70","1","6","10","5","17","118","11","20","8","29.10.12"
"530677","148","Полтавська область","будинок культури, фойє
вул.Бабака, 6Г, с.Савинці, Оржицький р-н, Полтавська обл., 37722","606","169","596","21","419","18","437","","0","419","18","437","16","421","0","183","6","6","22","29","11","146","6","10","2","29.10.12"
"530678","148","Полтавська область","приміщення сільської ради, кімната засідань
вул.Радянська, 3, с.Сазонівка, Оржицький р-н, Полтавська обл., 37723","708","256","697","92","364","88","452","","0","364","88","452","15","437","1","91","6","5","3","9","7","255","7","53","0","29.10.12"
"530679","148","Полтавська область","школа, спортзал
вул.Першотравнева, 24, с.Великоселецьке, Оржицький р-н, Полтавська обл., 37750","642","166","630","44","435","41","476","","0","435","41","476","9","467","3","141","0","5","3","1","13","258","5","37","1","28.10.12"
"530680","148","Полтавська область","приміщення сільської ради, кімната засідань
вул.Молодіжна, 1А, с.Старий Іржавець, Оржицький р-н, Полтавська обл., 37741","480","160","475","8","312","8","320","","0","312","8","320","10","310","3","64","7","5","1","5","10","154","3","55","3","29.10.12"
"530681","148","Полтавська область","будинок культури, фойє
вул.Чкалова, 87, с.Чайківщина, Оржицький р-н, Полтавська обл., 37742","576","183","570","7","386","7","393","","0","386","7","393","9","384","1","132","5","8","0","2","5","180","9","40","2","29.10.12"
"530682","148","Полтавська область","школа, фойє
вул.Леніна, 31, с.Чевельча, Оржицький р-н, Полтавська обл., 37724","570","169","559","51","350","51","401","","0","350","51","401","17","384","2","114","5","2","3","0","15","208","14","20","1","29.10.12"
"530683","148","Полтавська область","приміщення сільської ради, кімната засідань
вул.Центральна, 13, с.Черевки, Оржицький р-н, Полтавська обл., 37713","186","42","187","24","123","21","144","","0","123","21","144","8","136","3","24","4","5","7","0","9","57","18","9","0","29.10.12"
"530684","148","Полтавська область","будинок культури, фойє
вул.Польова, 14, с.Хорошки, Оржицький р-н, Полтавська обл., 37713","204","34","198","19","152","18","170","","0","152","18","170","4","166","2","15","5","6","7","0","17","104","5","4","1","29.10.12"
"530685","148","Полтавська область","будинок культури, фойє
вул.Леніна, 17, с.Чутівка, Оржицький р-н, Полтавська обл., 37743","786","265","777","28","494","27","521","","0","494","27","521","14","507","4","148","5","8","47","6","21","202","12","52","2","28.10.12"
"530686","148","Полтавська область","сільський клуб, актова зала
вул.Леніна, 21, с.Новий Іржавець, Оржицький р-н, Полтавська обл., 37741","276","62","270","16","198","16","214","","0","198","16","214","8","206","0","39","5","2","1","1","8","128","6","15","1","28.10.12"
"530687","148","Полтавська область","школа, фойє
вул.Жовтнева, 60В, с.Яблуневе, Оржицький р-н, Полтавська обл., 37720","510","133","497","65","315","62","377","","0","315","62","377","20","357","0","68","2","7","14","3","12","224","1","18","8","29.10.12"
"530688","148","Полтавська область","сільський клуб, актова зала
вул.Нагірна, 14А, с.Пилиповичі, Оржицький р-н, Полтавська обл., 37720","120","16","113","28","76","28","104","","0","76","28","104","1","103","0","17","0","0","1","0","3","81","0","1","0","29.10.12"
"530818","148","Полтавська область","сільська рада, кімната засідань
вул.Леніна, 59, с.Біляки, Семенівський р-н, Полтавська обл., 38253","768","240","755","68","460","68","528","","0","460","68","528","20","508","2","137","3","6","53","2","37","242","6","20","0","29.10.12"
"530819","148","Полтавська область","сільський будинок культури, зал 1
вул.Леніна, 12, с.Богданівка, Семенівський р-н, Полтавська обл., 38241","528","180","514","35","314","34","348","","0","314","34","348","17","331","7","39","8","5","3","5","26","214","2","19","3","29.10.12"
"530820","148","Полтавська область","сільський клуб, гримерна
вул.Леніна, 42, с.Василівка, Семенівський р-н, Полтавська обл., 38254","600","213","590","64","327","60","387","","0","327","60","387","12","375","0","64","3","3","21","7","40","224","2","10","1","29.10.12"
"530821","148","Полтавська область","сільський будинок культури, гримерна
вул.Леніна, 88, с.Брусове, Семенівський р-н, Полтавська обл., 38255","402","140","398","15","249","13","262","","0","249","13","262","11","251","2","22","5","2","2","1","25","177","0","15","0","29.10.12"
"530822","148","Полтавська область","школа, хол
вул.Жовтнева, 64, с.Вереміївка, Семенівський р-н, Полтавська обл., 38251","798","272","792","65","464","62","526","","0","464","62","526","14","512","7","62","7","12","9","4","51","334","2","20","4","29.10.12"
"530823","148","Полтавська область","сільська рада, кімната засідань
вул.Мічуріна, 17А, с.Веселий Поділ, Семенівський р-н, Полтавська обл., 38250","876","282","873","82","512","82","594","","0","512","82","594","17","577","4","73","6","8","8","1","33","407","2","33","2","30.10.12"
"530824","148","Полтавська область","сільський будинок культури, фойє
вул.Перемоги, 37/1А, с.Паніванівка, Семенівський р-н, Полтавська обл., 38250","672","237","670","63","372","63","435","","0","372","63","435","15","420","7","116","7","7","7","6","22","235","2","9","2","29.10.12"
"530825","148","Полтавська область","сільський будинок культури, фойє
вул.Гагаріна, 21А, с.Горошине, Семенівський р-н, Полтавська обл., 38220","516","167","503","59","292","57","349","","0","292","57","349","11","338","4","106","2","0","11","0","16","175","0","24","0","29.10.12"
"530826","148","Полтавська область","сільський клуб, фойє
вул.Леніна, 52А, с.Старий Калкаїв, Семенівський р-н, Полтавська обл., 38220","108","18","107","16","74","16","90","","0","74","16","90","5","85","1","24","0","0","3","2","7","44","2","2","0","29.10.12"
"530827","148","Полтавська область","сільський клуб, фойє
вул.Кірова, 15А, с.Гаївка, Семенівський р-н, Полтавська обл., 38220","102","23","99","14","66","13","79","","0","66","13","79","3","76","2","10","1","4","1","3","22","29","2","2","0","29.10.12"
"530828","148","Полтавська область","сільський клуб, фойє
вул.Леніна, 11, с.Жовтневе, Семенівський р-н, Полтавська обл., 38240","384","71","375","29","284","29","313","","0","284","29","313","8","305","1","68","5","5","4","2","37","165","1","16","1","29.10.12"
"530829","148","Полтавська область","сільський будинок культури, фойє
вул.Свердлова, 3, с.Калинівка, Семенівський р-н, Полтавська обл., 38232","144","41","135","10","95","8","103","","0","95","8","103","3","100","0","16","1","3","1","3","4","65","0","7","0","29.10.12"
"530830","148","Полтавська область","школа, фойє
вул.Радянська, 33, с.Заїчинці, Семенівський р-н, Полтавська обл., 38252","492","164","485","32","299","29","328","","0","299","29","328","3","325","2","43","4","4","32","4","54","159","3","17","3","29.10.12"
"530831","148","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Радянська, 16В, с.Бакумівка, Семенівський р-н, Полтавська обл., 38252","180","45","175","18","120","15","135","","0","120","15","135","2","133","0","13","4","2","2","1","22","82","1","6","0","29.10.12"
"530832","148","Полтавська область","школа, фойє
вул.Серьогіна, 2, с.Іванівка, Семенівський р-н, Полтавська обл., 38260","480","164","474","48","270","46","316","","0","270","46","316","4","312","3","54","3","1","9","4","30","200","1","6","1","29.10.12"
"530833","148","Полтавська область","сільський будинок культури, фойє
вул.Леніна, 45, с.Крива Руда, Семенівський р-н, Полтавська обл., 38262","828","344","823","99","388","96","484","","0","388","96","484","14","470","4","81","13","16","8","1","34","290","4","15","4","29.10.12"
"530834","148","Полтавська область","сільська рада, фойє
вул.Леніна, 3, с.Великі Липняги, Семенівський р-н, Полтавська обл., 38242","240","45","239","15","180","15","195","","0","180","15","195","6","189","4","6","5","4","1","1","32","125","1","7","3","29.10.12"
"530835","148","Полтавська область","школа, класна кімната
вул.Жовтнева, 34, с.Малі Липняги, Семенівський р-н, Полтавська обл., 38242","210","66","209","12","133","11","144","","0","133","11","144","2","142","0","24","6","4","1","0","11","71","2","23","0","29.10.12"
"530836","148","Полтавська область","сільська рада, кімната засідань
вул.Касяненка, 1, с.Наріжжя, Семенівський р-н, Полтавська обл., 38211","300","69","298","34","197","34","231","","0","197","34","231","3","228","0","77","4","3","3","3","31","90","1","15","1","29.10.12"
"530837","148","Полтавська область","сільський клуб, зал
вул.Гагаріна, 68, с.Матвіївка, Семенівський р-н, Полтавська обл., 38215","138","19","136","18","103","16","119","","0","103","16","119","5","114","1","10","1","0","2","3","33","54","0","10","0","29.10.12"
"530838","148","Полтавська область","фельдшерський пункт, оглядовий кабінет
вул.Леніна, 18, с.Новий Калкаїв, Семенівський р-н, Полтавська обл., 38212","84","39","75","9","37","8","45","","0","37","8","45","2","43","0","0","0","1","0","0","9","29","0","4","0","29.10.12"
"530839","148","Полтавська область","школа, фойє
вул.Аеродромна, 2/4, с.Оболонь, Семенівський р-н, Полтавська обл., 38230","1044","425","1035","64","558","61","619","","0","558","61","619","31","588","6","210","13","11","71","16","29","189","4","38","1","29.10.12"
"530840","148","Полтавська область","школа, спортзал
вул.Леніна, 40/43, с.Оболонь, Семенівський р-н, Полтавська обл., 38230","588","220","571","39","332","36","368","","0","332","36","368","15","353","3","121","3","2","47","8","29","102","1","36","1","29.10.12"
"530841","148","Полтавська область","фельдшерсько-акушерський пункт, оглядовий кабінет
вул.Дзержинського, 15А, с.Тукали, Семенівський р-н, Полтавська обл., 38231","228","70","221","33","129","29","158","","0","129","29","158","2","156","1","22","0","2","5","1","15","90","0","20","0","28.10.12"
"530842","148","Полтавська область","школа, спортзал
вул.Леніна, 42А, с.Очеретувате, Семенівський р-н, Полтавська обл., 38231","582","135","578","43","404","43","447","","0","404","43","447","10","437","4","99","6","10","8","10","110","163","7","16","4","29.10.12"
"530843","148","Полтавська область","сільський клуб, зал
вул.Демченко, 4, с.Вільне, Семенівський р-н, Полтавська обл., 38217","198","61","206","9","128","9","137","","0","128","9","137","4","133","1","34","4","1","0","3","9","70","1","10","0","28.10.12"
"530844","148","Полтавська область","школа, хол
вул.Леніна, 23, с.Погребняки, Семенівський р-н, Полтавська обл., 38221","480","154","478","44","284","42","326","","0","284","42","326","6","320","2","75","5","13","17","7","30","144","2","21","4","29.10.12"
"530845","148","Полтавська область","фельдшерсько-акушерський пункт, оглядовий кабінет
вул.Червоноармійська, 26, с.Мирони, Семенівський р-н, Полтавська обл., 38222","198","46","191","30","122","30","152","","0","122","30","152","9","143","2","16","2","0","21","3","20","65","0","13","1","29.10.12"
