"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боровик
Костянтин
Олексійович","Боярський
Юрій
Миколайович","Бублик
Юрій
Васильович","Георгієвський
Андрій
Вячеславович","Дербеньов
Олександр
Володимирович","Лозовський
Борис
Євгенович","Макар
Володимир
Романович","Романюк
Петро
Васильович","Русін
Олександр
Миколайович","Савченко
Сергій
Сергійович","Сердюк
Віктор
Анатолійович","Філенко
Леонід
Олександрович","Дата підписання протоколу"
"530373","145","Полтавська область","сільський клуб, фойє
вул.Дігтяря, 15, с.Шевченкове, Котелевський р-н, Полтавська обл., 38621","72","16","69","11","47","9","56","","0","47","9","56","1","55","9","2","12","5","1","2","14","0","8","0","0","2","28.10.12"
"530374","145","Полтавська область","сільський будинок культури, хол
вул.Перемоги, 32, с.Зайці, Котелевський р-н, Полтавська обл., 38625","150","42","144","12","100","8","108","","0","100","8","108","4","104","5","2","20","4","1","11","44","3","10","3","1","0","28.10.12"
"530375","145","Полтавська область","будинок культури, фойє
вул.Жовтнева, 19, с.Милорадове, Котелевського р-н, Полтавська обл., 38630","786","217","774","84","489","80","569","","0","489","80","569","8","561","28","5","255","23","18","32","136","3","48","2","4","7","28.10.12"
"530376","145","Полтавська область","дитячий оздоровчий центр ""Орлятко"", їдальня
вул.Соснова, 20, с.Матвіївка, Котелевський р-н, Полтавська обл., 38631","180","78","174","28","77","25","102","","0","77","25","102","1","101","3","4","28","7","4","3","47","0","0","2","2","1","28.10.12"
"530377","145","Полтавська область","фермерське господарство ""Мир"", їдальня
вул.Гарнізова, 50, с.Михайлівка Перша, Котелевський р-н, Полтавська обл., 38609","288","84","281","17","188","16","204","","0","188","16","204","6","198","7","6","94","2","2","16","39","1","19","5","2","5","28.10.12"
"530378","145","Полтавська область","сільський клуб, фойє
вул.Миру, 33, с.Сидоряче, Котелевський р-н, Полтавська обл., 38608","156","48","158","15","96","12","108","","0","96","12","108","4","104","3","2","37","1","1","6","36","0","11","1","4","2","28.10.12"
"530724","145","Полтавська область","Абазівська школа, вестибюль і коридор
вул.Жовтнева, 5, с.Абазівка, Полтавський р-н, Полтавська обл., 38715","1374","718","1362","45","612","44","656","","0","612","44","656","21","635","36","9","264","32","8","61","203","2","7","3","10","0","29.10.12"
"530725","145","Полтавська область","Бричківська школа, вестибюль
вул.Леніна, 1А, с.Бричківка, Полтавський р-н, Полтавська обл., 38722","540","191","531","44","307","42","349","","0","307","42","349","10","339","8","3","157","25","8","29","95","0","5","3","3","3","28.10.12"
"530726","145","Полтавська область","медична амбулаторія, вестибюль
вул.Кондратка, 45, с.Петрівка, Полтавський р-н, Полтавська обл., 38723","360","164","359","18","181","15","196","","0","181","15","196","6","190","5","5","85","10","3","35","39","0","4","3","0","1","28.10.12"
"530727","145","Полтавська область","Валківська школа, спортзал
вул.Шкільна, 51, с.Валок, Полтавський р-н, Полтавська обл., 38711","522","241","511","49","232","49","281","","0","232","49","281","3","278","22","5","59","16","6","28","119","9","8","3","1","2","28.10.12"
"530728","145","Полтавська область","сільський клуб, зал
вул.Радянська, 22, с.Василівка, Полтавський р-н, Полтавська обл., 38743","606","246","601","71","291","69","360","","0","291","69","360","10","350","20","12","85","5","1","22","189","3","7","1","0","5","28.10.12"
"530729","145","Полтавська область","будинок культури, зал
вул.Кірова, 4/1, с.Гожули, Полтавский р-н, Полтавська обл., 38713","2442","1290","2421","13","1139","13","1152","","0","1139","13","1152","43","1109","27","17","381","54","16","143","413","8","15","11","12","12","28.10.12"
"530730","145","Полтавська область","будинок культури, зал
вул.Біологічна, 9, с.Падалки, Полтавський р-н, Полтавська обл., 38713","774","420","760","6","348","6","354","","0","348","6","354","10","344","21","5","95","16","20","26","139","6","5","7","2","2","28.10.12"
"530731","145","Полтавська область","будинок культури, зал
вул.Карла Маркса, 13, с.Заворскло, Полтавський р-н, Полтавська обл., 38772","522","237","516","25","260","25","285","","0","260","25","285","9","276","15","12","99","10","5","10","108","5","5","1","6","0","28.10.12"
"530732","145","Полтавська область","сільський клуб, зал
вул.Жовтнева, 74А, с.Головач, Полтавський р-н, Полтавська обл., 38774","756","379","744","19","358","19","377","","0","358","19","377","8","369","10","4","149","16","2","44","124","9","4","2","3","2","28.10.12"
"530733","145","Полтавська область","сільський клуб, зал
вул.Жовтнева, 3, с.Ватажкове, Полтавський р-н, Полтавська обл., 38772","354","147","344","32","175","32","207","","0","175","32","207","8","199","22","7","60","22","5","10","56","1","5","1","8","2","28.10.12"
"530734","145","Полтавська область","сільський клуб, зал
вул.Леніна, 50, с.Минівка, Полтавский р-н, Полтавська обл., 38773","408","168","405","49","194","46","240","","0","194","46","240","10","230","7","4","93","18","5","26","58","6","4","3","4","2","28.10.12"
"530735","145","Полтавська область","будинок культури, зал
вул.Воровського, 10А, с.Калашники, Полтавський р-н, Полтавська обл., 38753","882","355","876","49","481","46","527","","0","481","46","527","17","510","7","8","196","22","6","39","206","2","9","7","6","2","29.10.12"
"530736","145","Полтавська область","будинок культури, зал
вул.Леніна, 4, с.Кірове, Полтавський р-н, Полтавська обл., 38712","1344","708","1317","40","596","40","636","","0","596","40","636","29","607","38","27","207","24","20","45","194","8","21","5","12","6","28.10.12"
"530737","145","Полтавська область","сільський будинок культури, малий зал
вул.Першотравнева, 20А, с.Ковалівка, Полтавський р-н, Полтавська обл., 38701","1668","752","1636","25","892","24","916","","0","892","24","916","10","906","8","12","701","23","0","26","115","2","4","1","9","5","29.10.12"
"530738","145","Полтавська область","товариство з обмеженою відповідальністю ""Моторсервіс"", столова
вул.Магістральна, 1, с.Залізничне, Полтавський р-н, Полтавська обл., 38702","792","350","776","20","422","20","442","","0","422","20","442","9","433","1","6","315","17","1","20","63","1","4","2","3","0","29.10.12"
"530739","145","Полтавська область","сільський клуб, зал
вул.Комсомольська, 17, с.Верхоли, Полтавський р-н, Полтавська обл., 38703","576","302","563","2","272","2","274","","0","272","2","274","6","268","3","8","172","20","5","12","37","5","3","1","0","2","29.10.12"
"530740","145","Полтавська область","сільський клуб, зал
вул.Основна, 1, с.Макухівка, Полтавський р-н, Полтавська обл., 38703","888","468","877","6","414","6","420","","0","414","6","420","14","406","2","10","290","17","0","21","51","1","5","3","2","4","28.10.12"
"530741","145","Полтавська область","будинок культури, зал
вул.Леніна, 25, с.Кротенки, Полтавський р-н, Полтавська обл., 38721","1134","548","1116","52","536","50","586","","0","536","50","586","17","569","18","9","216","40","8","54","188","2","10","5","12","7","29.10.12"
"530742","145","Полтавська область","Куликівська школа, клас 3
вул.Куликівська, 34, с.Куликове, Полтавський р-н, Полтавська обл., 38742","960","553","948","35","372","35","407","","0","372","35","407","17","390","7","7","186","14","3","19","144","2","5","0","0","3","28.10.12"
"530743","145","Полтавська область","Мачухівський навчально-виховний комплекс, коридор молодшого корпусу
вул.Лялі Убийвовк, 3, с.Мачухи, Полтавський р-н, Полтавська обл., 38754","1488","768","1475","3","717","3","720","","0","717","3","720","21","699","27","13","320","33","5","88","152","5","14","7","16","19","28.10.12"
"530744","145","Полтавська область","Мачухівський навчально-виховний комплекс, коридор з центрального входу
вул.Лялі Убийвовк, 3, с.Мачухи, Полтавський р-н, Полтавська обл., 38754","1434","796","1426","18","621","17","638","","0","621","17","638","18","620","25","6","290","29","71","11","155","0","6","7","9","11","28.10.12"
"530745","145","Полтавська область","сільська рада, зал урочистостей
вул.Шевченка, 4, с.Микільське, Полтавський р-н, Полтавська обл., 38760","1200","580","1194","47","574","46","620","","0","574","46","620","23","597","16","17","253","35","3","50","186","7","9","4","13","4","29.10.12"
"530746","145","Полтавська область","будинок культури, танцювальна зала
вул.Театральна, 7, с.Зінці, Полтавський р-н, Полтавська обл., 38760","1002","562","987","23","417","23","440","","0","417","22","439","21","418","13","11","168","25","6","31","132","0","14","4","3","11","29.10.12"
"530747","145","Полтавська область","сільський клуб, танцювальна зала
вул.Чапаєва, 20А, с.Кашубівка, Полтавський р-н, Полтавська обл., 38763","498","252","498","26","223","23","246","","0","223","23","246","10","236","5","10","88","12","14","22","49","3","7","7","17","2","28.10.12"
"530748","145","Полтавська область","фельдшерсько-акушерський пункт, кабінет 1
вул.Леніна, 18, с.Кованьківка, Полтавський р-н, Полтавська обл., 38733","354","147","351","38","169","38","207","","0","169","38","207","5","202","8","2","69","11","2","15","76","2","5","0","12","0","29.10.12"
"530749","145","Полтавська область","Божківський НВК, спортивна зала
вул.40 років Перемоги, 1, с.Божківське, Полтавський р-н, Полтавська обл., 38734","984","419","966","12","554","11","565","","0","554","11","565","13","552","13","8","182","38","10","45","230","2","10","1","11","2","28.10.12"
"530750","145","Полтавська область","сільська рада, зал
вул.Леніна, 10, с.Нестеренки, Полтавський р-н, Полтавська обл., 38731","312","146","311","32","143","23","166","","0","143","23","166","9","157","2","3","46","10","7","8","62","2","5","1","11","0","28.10.12"
"530751","145","Полтавська область","Мар’ївська школа, коридор центрального входу
вул.Леніна, 40, с.Мар’ївка, Полтавський р-н, Полтавська обл., 38731","216","130","213","9","78","8","86","","0","78","8","86","4","82","4","6","27","4","1","5","29","0","1","1","3","1","28.10.12"
"530752","145","Полтавська область","будинок культури, зал
вул.Жовтнева, 33, с.Новоселівка, Полтавський р-н, Полтавська обл., 38702","1380","669","1363","43","671","40","711","","0","671","40","711","31","680","6","11","434","30","9","37","125","8","4","0","14","2","28.10.12"
"530753","145","Полтавська область","фельдшерсько-акушерський пункт, кабінет 1
вул.Шевченка, 62, с.Крюкове, Полтавський р-н, Полтавська обл., 38734","180","72","178","8","100","8","108","","0","100","8","108","6","102","2","0","51","1","1","9","33","1","0","0","3","1","28.10.12"
"530754","145","Полтавська область","будинок культури, зал
вул.Леніна, 15, с.Рунівщина, Полтавский р-н, Полтавська обл., 38730","720","352","721","21","348","20","368","","0","348","20","368","9","359","4","2","109","16","14","18","161","1","11","7","15","1","28.10.12"
"530755","145","Полтавська область","кафе державного підприємства дослідне господарство ""Степне"", зал
вул.Жовтнева, 18, с-ще Степне, Полтавський р-н, Полтавська обл., 38744","1482","647","1466","80","763","72","835","","0","763","72","835","31","804","27","6","292","47","31","79","283","4","12","6","9","8","29.10.12"
"530756","145","Полтавська область","будинок культури, зал
вул.Радянська, 7А, с.Судіївка, Полтавський р-н, Полтавська обл., 38755","1134","496","1123","45","595","43","638","","0","595","43","638","26","612","24","7","344","18","9","44","126","3","11","2","7","17","28.10.12"
"530757","145","Полтавська область","Супрунівська школа, хол
вул.Леніна, 5, с.Супрунівка, Полтавський р-н, Полтавська обл., 38714","1494","732","1475","9","753","9","762","","0","753","9","762","24","738","26","9","293","39","39","112","171","2","12","15","11","9","28.10.12"
"530758","145","Полтавська область","будинок культури, малий зал
вул.Леніна, 14, с.Супрунівка, Полтавський р-н, Полтавська обл., 38714","2046","1001","2029","24","1022","23","1045","","0","1022","23","1045","43","1002","31","17","483","42","35","122","206","16","15","10","21","4","28.10.12"
"530759","145","Полтавська область","Мильчанська початкова школа, клас 1
вул.Центральна, 18, с.Мильці, Полтавський р-н, Полтавська обл., 38714","642","287","643","3","352","3","355","","0","352","3","355","11","344","11","4","154","19","13","54","70","4","2","4","7","2","28.10.12"
"530760","145","Полтавська область","сільський клуб, зал
вул.Жовтнева, 70, с.Івашки, Полтавський р-н, Полтавська обл., 38714","522","218","524","25","279","25","304","","0","279","25","304","13","291","8","4","131","26","10","32","57","3","8","1","10","1","28.10.12"
"530761","145","Полтавська область","будинок культури, зал
вул.Центральна, 58, с.Тахтаулове, Полтавський р-н, Полтавська обл., 38720","1878","986","1870","59","837","55","892","","0","837","55","892","28","864","14","6","360","42","9","90","279","21","13","8","14","8","29.10.12"
"530762","145","Полтавська область","Тахтаулівський навчально-виховний комплекс, спортзал
вул.Центральна, 115, с.Тахтаулове, Полтавський р-н, Полтавська обл., 38720","834","446","819","26","362","26","388","","0","362","26","388","9","379","6","5","201","24","5","24","94","3","6","2","5","4","28.10.12"
"530763","145","Полтавська область","сільська рада, обрядовий зал
вул.Шевченка, 7А, с.Терешки, Полтавський р-н, Полтавська обл., 38762","1914","1036","1890","28","853","25","878","","0","853","25","878","26","852","16","12","315","53","15","95","282","13","23","9","9","10","28.10.12"
"530764","145","Полтавська область","державне підприємство ""Полтавалісгосп"", актовий зал
вул.Лісова, 1А, с.Копили, Полтавський р-н, Полтавська обл., 38761","1998","1044","1988","24","936","18","954","","0","936","18","954","35","919","26","8","399","70","10","134","191","7","49","15","7","3","28.10.12"
"530765","145","Полтавська область","будинок культури, актовий зал
вул.Дзержинського, 4, с.В.Тростянець, Полтавський р-н, Полтавська обл., 38770","948","436","938","26","486","26","512","","0","486","26","512","13","499","20","8","142","22","11","35","237","6","5","3","7","3","29.10.12"
"530766","145","Полтавська область","школа-садок, ігрова кімната
вул.Радянська, 33, с.М.Тростянець, Полтавський р-н, Полтавська обл., 38770","306","132","304","14","164","10","174","","0","164","10","174","13","161","6","1","73","8","3","23","37","0","4","0","5","1","29.10.12"
"530767","145","Полтавська область","фельдшерсько-акушерський пункт, кабінет прийому хворих
вул.Підгірна, 3, с.Пожарна Балка, Полтавський р-н, Полтавська обл., 38770","264","137","260","25","102","25","127","","0","102","25","127","1","126","2","9","38","7","0","16","44","1","5","2","1","1","28.10.12"
"530768","145","Полтавська область","будинок культури, кабінет завідуючого
вул.Першотравнева, 10, с.Черкасівка, Полтавський р-н, Полтавська обл., 38740","552","252","541","53","248","52","300","","0","248","52","300","9","291","5","5","129","20","4","19","94","1","8","1","4","1","29.10.12"
"530769","145","Полтавська область","сільська рада, зал засідань
вул.Миру, 1А, с.Чорноглазівка, Полтавський р-н, Полтавська обл., 38710","546","305","529","26","218","23","241","","0","218","23","241","6","235","5","4","99","6","11","19","82","3","0","2","2","2","28.10.12"
"530770","145","Полтавська область","сільський будинок культури, зал
вул.Перемоги, 10А, с.Щербані, Полтавський р-н, Полтавська обл., 38750","792","322","777","9","461","9","470","","0","461","9","470","24","446","16","10","200","26","12","56","105","4","7","2","6","2","29.10.12"
"530771","145","Полтавська область","районний будинок культури, приміщення для засідань
вул.Центральна, 1, м.Полтава-8, 36008","1134","537","1129","11","586","11","597","","0","586","11","597","19","578","25","11","228","34","9","92","130","15","9","4","13","8","29.10.12"
"530772","145","Полтавська область","Н.Млинська школа, хол
вул.Кучеренка, 196, с.Н.Млини, Полтавський р-н, Полтавська обл., 38752","570","259","569","8","305","6","311","","0","305","6","311","20","291","11","7","126","15","8","54","34","2","18","2","14","0","29.10.12"
"530773","145","Полтавська область","Н.Млинська школа, хол їдальні
вул.Нова, 1А, с.Гора, Полтавський р-н, Полтавська обл., 38752","696","305","690","23","369","22","391","","0","369","22","391","15","376","7","8","197","17","7","45","72","4","10","4","4","1","29.10.12"
"530774","145","Полтавська область","сільський будинок культури, зал
вул.Пушкіна, 16, с.Розсошенці, Полтавський р-н, Полтавська обл., 38751","1758","753","1734","9","996","9","1005","","0","996","9","1005","31","974","113","14","375","55","14","142","208","5","23","8","11","6","29.10.12"
"530775","145","Полтавська область","приміщення Східно-Української геологорозвідувальної експедиції, зал
вул.Леніна, 1, с.Розсошенці, Полтавський р-н, Полтавська обл., 38751","2346","1055","2319","7","1284","7","1291","","0","1284","7","1291","37","1254","119","14","508","105","19","217","210","11","22","5","17","7","29.10.12"
"530776","145","Полтавська область","Розсошенська гімназія, хол
вул.Шкільна, 18, с.Розсошенці, Полтавський р-н, Полтавська обл., 38751","2316","1115","2300","8","1195","6","1201","","0","1195","6","1201","41","1160","240","10","374","80","19","186","189","15","19","9","14","5","29.10.12"
"530777","145","Полтавська область","виправна колонія № 65, адміністративний будинок, зал засідань
с.Божківське, Полтавський р-н, Полтавська обл., 38734","552","87","465","1","464","1","465","","0","464","1","465","0","465","0","0","0","0","0","0","465","0","0","0","0","0","28.10.12"
"530778","145","Полтавська область","виправна колонія № 16, клуб установи
вул.Центральна, 5, с.Божківське, Полтавський р-н, Полтавська обл., 38734","1020","3","1017","0","1017","0","1017","","0","1017","0","1017","10","1007","11","12","18","12","10","22","895","5","5","9","4","4","28.10.12"
"530779","145","Полтавська область","виправна колонія № 29, будинок культури для засуджених
вул.Миру, 4, с.Божківське, п/в Крюкове, Полтавський р-н, Полтавська обл., 38734","300","66","234","3","231","3","234","","0","231","3","234","1","233","2","0","4","0","1","1","222","0","1","1","0","1","28.10.12"
"531138","145","Полтавська область","Аграрно-економічний коледж Полтавської державної аграрної академії, фойє, 1-й поверх
вул.Сковороди, 18, м.Полтава, 36003","2064","1027","2063","30","1010","27","1037","","0","1010","27","1037","30","1007","23","15","446","54","13","157","256","7","21","3","9","3","29.10.12"
"531139","145","Полтавська область","Полтавська державна аграрна академія, 1-й корп., хол
вул.Сковороди, 1/3, м.Полтава, 36000","2040","1069","2150","9","962","9","971","","0","962","9","971","24","947","47","29","263","53","13","260","194","9","30","23","14","12","29.10.12"
"531140","145","Полтавська область","Полтавський університет економіки і торгівлі, хол, 2-й поверх
вул.Коваля, 3, м.Полтава, 36000","1902","1233","1936","4","667","2","669","","0","667","2","669","24","645","20","9","191","30","15","184","131","16","17","17","12","3","29.10.12"
"531141","145","Полтавська область","Полтавський міський будинок культури, хол, 1-й поверх
майдан Незалежності, 5, м.Полтава, 36003","1290","574","1290","17","699","17","716","","0","699","17","716","14","702","16","19","275","60","14","91","197","2","16","3","8","1","28.10.12"
"531142","145","Полтавська область","Полтавська дитячо-юнацька спортивна школа №1, спортзала
вул.Духова, 3/5, м.Полтава, 36000","1980","899","1968","22","1065","16","1081","","0","1065","16","1081","29","1052","23","23","360","85","24","191","284","3","34","12","9","4","29.10.12"
"531143","145","Полтавська область","Полтавська спеціалізована школа №5, коридор, 1-й поверх
вул.Жовтнева, 64, м.Полтава, 36029","2004","961","1998","11","1034","9","1043","","0","1034","9","1043","39","1004","22","25","331","70","18","167","314","5","25","8","10","9","02.11.12"
"531144","145","Полтавська область","Дитячо-юнацька спортивна школа №4, зала боксу
вул.Пушкіна, 155, м.Полтава, 36038","2094","915","2072","19","1165","14","1179","","0","1165","14","1179","39","1140","21","15","411","117","19","160","312","8","48","7","13","9","29.10.12"
"531145","145","Полтавська область","Обласний центр естетичного виховання учнівської молоді, приміщення для засідань
вул.Жовтнева, 67, м.Полтава, 36014","2172","914","2154","28","1233","25","1258","","0","1233","25","1258","41","1217","34","15","462","99","14","153","359","11","47","6","8","9","29.10.12"
"531146","145","Полтавська область","Полтавська гімназія №9, вестибюль, коридор
вул.Шведська, 3, м.Полтава, 36000","2406","1183","2402","22","1204","19","1223","","0","1204","19","1223","41","1182","26","12","393","106","25","171","378","10","28","6","19","8","29.10.12"
"531147","145","Полтавська область","палац культури ВАТ ""Полтавський турбомеханічний завод"", коридор, 1-й поверх
пл.Павленківська, 1, м.Полтава, 36029","2082","952","2107","26","1106","24","1130","","0","1106","24","1130","27","1103","21","10","369","84","26","165","365","4","34","3","15","7","29.10.12"
"531148","145","Полтавська область","Державний навчальний заклад ""Полтавський політехнічний ліцей"", спортивна зала, 2-й поверх
пров.Заячий, 1А, м.Полтава, 36014","2460","1055","2456","10","1396","9","1405","","0","1396","9","1405","43","1362","28","11","461","85","30","218","447","5","35","15","19","8","29.10.12"
"531149","145","Полтавська область","Полтавський міський центр дитячо-юнацьких клубів за місцем проживання, актова зала
вул.Опитна, 4А, м.Полтава, 36000","2256","1336","1755","6","914","6","920","","0","914","6","920","44","876","26","23","292","66","11","141","231","16","38","7","16","9","29.10.12"
"531150","145","Полтавська область","школа №24, коридор
вул.Шведська Могила, 12, м.Полтава, 36000","2508","1360","2491","54","1102","46","1148","","0","1102","46","1148","26","1122","16","8","525","58","15","102","363","3","12","5","11","4","29.10.12"
"531151","145","Полтавська область","Полтавська обласна клінічна психіатрична лікарня, хол
вул.Медична, 1, м.Полтава, 36000","1020","529","1016","14","478","13","491","","0","478","13","491","8","483","11","7","142","17","27","48","202","6","10","5","4","4","29.10.12"
"531152","145","Полтавська область","Клуб селища Івонченці, читальна зала, 1 поверх
вул.Кінноармійська, 39, м.Полтава, 36000","1338","704","1316","23","612","22","634","","0","612","22","634","21","613","3","5","166","51","13","55","274","9","16","11","3","7","28.10.12"
"531153","145","Полтавська область","ВАТ ""Полтавський автоагрегатний завод"", центральна прохідна
вул.Зіньківська, 57, м.Полтава, 36009","1038","561","1032","18","461","16","477","","0","461","16","477","12","465","8","2","177","19","6","69","152","4","12","4","9","3","28.10.12"
"531154","145","Полтавська область","ПрАТ ""Полтавариба"", актова зала
вул.Зіньківська, 51/2, м.Полтава, 36009","2238","1148","2220","25","1070","20","1090","","0","1070","20","1090","38","1052","17","17","446","78","18","147","271","9","27","6","12","4","29.10.12"
