"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безкоровайний
Андрій
Анатолійович","Богодист
Дмитро
Леонідович","Мельников
Олександр
Іванович","Москалець
Сергій
Іванович","Надоша
Олег
Володимирович","Остапець
Геннадій
Олексійович","Степаненко
Микола
Іванович","Таран
Віктор
Васильович","Шаповалов
Юрій
Анатолійович","Дата підписання протоколу"
"531040","146","Полтавська область","Кременчуцький національний університет, корпус 1, хол
вул.Першотравнева, 20, м.Кременчук, Полтавська обл., 39600","1842","999","1814","17","829","14","843","","0","829","14","843","28","815","14","76","4","29","150","95","5","148","294","29.10.12"
"531041","146","Полтавська область","школа №10, актова зала
вул.Карла Маркса, 8, м.Кременчук, Полтавська обл., 39600","1860","844","1828","38","983","33","1016","","0","983","33","1016","42","974","12","66","4","46","172","106","9","194","365","29.10.12"
"531042","146","Полтавська область","ліцей №4, хол
вул.Першотравнева, 13, м.Кременчук, Полтавська обл., 39600","1854","767","1828","14","1075","12","1087","","0","1075","12","1087","38","1049","14","109","7","17","155","109","9","239","390","29.10.12"
"531043","146","Полтавська область","школа №20, хол
вул.Радянська, 12, м.Кременчук, Полтавська обл., 39600","1662","678","1660","20","968","16","984","","0","968","16","984","16","968","13","99","14","25","169","68","16","232","332","29.10.12"
"531044","146","Полтавська область","міський комітет товариства сприяння обороні України, каб.4
вул.Красіна, 3, м.Кременчук, Полтавська обл., 39605","1662","719","1666","11","932","11","943","","0","932","11","943","36","907","16","85","7","29","149","112","9","192","308","29.10.12"
"531045","146","Полтавська область","школа №13, корпус 1, спортивна зала, 1-й поверх
вул.Красіна, 37/49, м.Кременчук, Полтавська обл., 39605","1770","692","1767","15","1065","13","1078","","0","1065","13","1078","33","1045","20","87","16","38","174","81","7","235","387","29.10.12"
"531046","146","Полтавська область","виробничо-торгівельна фірма ""Кремтекс"", хол
вул.29 Вересня, 11/19, м.Кременчук, Полтавська обл., 39600","1350","588","1328","30","739","23","762","","0","738","23","761","25","736","16","61","3","18","131","65","8","198","236","29.10.12"
"531047","146","Полтавська область","школа №13, корпус 2, 1-й поверх, учбове приміщення
вул.Красіна, 37/49, м.Кременчук, Полтавська обл., 39605","1392","660","1378","20","715","17","732","","0","715","17","732","27","705","7","54","8","22","109","36","5","217","247","29.10.12"
"531048","146","Полтавська область","Кременчуцький хлібокомбінат, червоний куток
вул.1905 року, 21, м.Кременчук, Полтавська обл., 39605","1404","591","1409","7","806","7","813","","0","806","7","813","20","793","22","74","2","17","120","60","6","211","281","29.10.12"
"531049","146","Полтавська область","школа №2, хол
вул.Богдана Хмельницького, 66, м.Кременчук, Полтавська обл., 39603","822","384","832","7","434","4","438","","0","434","4","438","18","420","2","37","3","7","57","25","1","142","146","28.10.12"
"531050","146","Полтавська область","рада мікрорайону с.Ревівки, хол
вул.Ревенка, 12, м.Кременчук, Полтавська обл., 39603","1902","907","1899","32","965","30","995","","0","965","30","995","17","978","7","80","8","33","130","78","10","296","336","29.10.12"
"531051","146","Полтавська область","клуб Кременчуцької першої міської лікарні імені О.Т.Богаєвського, актова зала
вул.40-річчя Жовтня, 60/1, м.Кременчук, Полтавська обл., 39602","942","471","950","14","459","12","471","","0","459","12","471","20","450","7","53","3","15","76","29","5","136","126","29.10.12"
"531052","146","Полтавська область","завод залізо-бетонних виробів №2, їдальня
тупик 7-й Хорольський, 1, м.Кременчук, Полтавська обл., 39603","642","290","643","17","336","16","352","","0","336","16","352","4","348","4","30","3","8","51","41","6","95","110","29.10.12"
"531053","146","Полтавська область","Кременчуцьке комунальне автотранспортне підприємство 1628, хол
вул.Горького, 48/75, м.Кременчук, Полтавська обл., 39617","1884","852","1887","19","1014","18","1032","","0","1014","18","1032","25","1007","26","66","9","37","181","84","13","239","352","29.10.12"
"531054","146","Полтавська область","ліцей імені А.С.Макаренка, їдальня
вул.Красіна, 103, м.Кременчук, Полтавська обл., 39617","1722","793","1716","24","914","15","929","","0","914","15","929","27","902","13","87","8","31","189","55","6","206","307","29.10.12"
"531055","146","Полтавська область","технічна бібліотека, зала мистецтв
вул.Щорса, 66/13, м.Кременчук, Полтавська обл., 39601","2160","992","2129","11","1161","7","1168","","0","1161","7","1168","39","1129","30","111","8","55","211","70","9","280","355","29.10.12"
"531056","146","Полтавська область","дитячий садок №57, спортивна зала
пров.Героїв Бреста, 61А, м.Кременчук, Полтавська обл., 39601","2352","1028","2330","23","1305","19","1324","","0","1305","19","1324","40","1284","28","134","8","38","182","100","8","323","463","29.10.12"
"531057","146","Полтавська область","гімназія №5, хол
пров.Героїв Бреста, 65, м.Кременчук, Полтавська обл., 39601","2298","948","2263","18","1334","16","1350","","0","1334","16","1350","49","1300","23","127","13","44","214","81","5","309","484","29.10.12"
"531058","146","Полтавська область","дитячий садок №68, музична зала, 2-й поверх
вул.60-річчя Жовтня, 21, м.Кременчук, Полтавська обл., 39601","2430","1059","2397","6","1366","5","1371","","0","1366","5","1371","38","1333","25","138","22","69","219","89","13","277","481","29.10.12"
"531059","146","Полтавська область","відкрите акціонерне товариство ""Кременчукгаз"", актова зала, 3-й поверх
пров.Героїв Бреста, 46, м.Кременчук, Полтавська обл., 39601","1914","819","1915","31","1069","26","1095","","0","1069","26","1095","27","1068","20","122","10","46","183","78","11","275","323","29.10.12"
"531060","146","Полтавська область","вище професійне училище №7, спортивна зала
вул.Московська, 14, м.Кременчук, Полтавська обл., 39631","2490","911","2460","31","1553","26","1579","","0","1553","26","1579","44","1535","23","126","35","56","253","139","16","341","546","28.10.12"
"531061","146","Полтавська область","вище професійне училище №7, корпус 2, спортивна зала
вул.Московська, 4, м.Кременчук, Полтавська обл., 39631","2370","1027","2336","14","1331","12","1343","","0","1331","12","1343","44","1299","28","123","9","49","183","79","9","372","447","29.10.12"
"531062","146","Полтавська область","школа №28, спортивна зала
пров.Олега Кошового, 5А, м.Кременчук, Полтавська обл., 39631","2514","1138","2478","13","1365","11","1376","","0","1365","11","1376","40","1336","24","107","13","45","193","92","12","291","559","29.10.12"
"531063","146","Полтавська область","школа №30, хол
пров.Олега Кошового, 3, м.Кременчук, Полтавська обл., 39631","2394","955","2360","18","1425","14","1439","","0","1425","14","1439","39","1400","22","107","15","68","215","116","21","317","519","29.10.12"
"531064","146","Полтавська область","палац культури холдингової компанії ""АвтоКраз"", хол
вул.60-річчя Жовтня, 58/2, м.Кременчук, Полтавська обл., 39602","2214","926","2192","19","1273","15","1288","","0","1273","15","1288","46","1242","32","104","9","43","160","80","11","287","516","29.10.12"
"531065","146","Полтавська область","школа №27, хол
вул.60-річчя Жовтня, 104, м.Кременчук, Полтавська обл., 39602","2178","1040","2125","20","1122","16","1138","","0","1122","16","1138","44","1094","28","104","14","44","191","60","14","214","425","29.10.12"
"531066","146","Полтавська область","філія бібліотеки №2, читальна зала
вул.60-річчя Жовтня, 77, м.Кременчук, Полтавська обл., 39623","2184","1008","2149","13","1167","9","1176","","0","1167","9","1176","45","1131","27","104","12","65","175","89","4","295","360","29.10.12"
"531067","146","Полтавська область","Кременчуцький інститут Дніпропетровського університету економіки і права, ауд.3104
вул.60-річчя Жовтня, 79, м.Кременчук, Полтавська обл., 39623","2106","899","2094","36","1180","27","1207","","0","1180","27","1207","28","1179","34","106","12","52","188","105","13","278","391","29.10.12"
"531068","146","Полтавська область","колегіум №25, спортивна зала
вул.Гвардійська, 16, м.Кременчук, Полтавська обл., 39623","2040","775","2025","27","1242","23","1265","","0","1242","23","1265","50","1215","37","119","18","58","154","135","12","253","429","29.10.12"
"531069","146","Полтавська область","навчально-виховний комплекс ""Дніпряночка"", музична зала
вул.Петровського, 114А, м.Кременчук, Полтавська обл., 39611","2256","1087","2237","25","1146","23","1169","","0","1146","23","1169","28","1141","13","119","5","25","162","73","15","298","431","29.10.12"
"531070","146","Полтавська область","філія №8 ради мікрорайону, фойє
вул.Петровського, 101, м.Кременчук, Полтавська обл., 39611","2370","1073","2386","24","1277","20","1297","","0","1277","20","1297","31","1266","24","179","44","11","167","63","12","341","425","29.10.12"
"531071","146","Полтавська область","комунальне підприємство ""Кременчукводоканал"", актова зала
пров.Героїв Бреста, 35А, м.Кременчук, Полтавська обл., 39601","1992","929","1983","20","1044","19","1063","","0","1043","19","1062","24","1038","26","98","7","52","158","103","6","263","325","29.10.12"
"531072","146","Полтавська область","гуртожиток Кременчуцького педагогічного училища, хол
вул.60-річчя Жовтня, 36А, м.Кременчук, Полтавська обл., 39602","2100","954","2164","13","1135","11","1146","","0","1135","11","1146","31","1115","15","110","12","45","148","55","10","238","482","29.10.12"
"531073","146","Полтавська область","Кременчуцький інститут Дніпропетровського університету економіки та права, корпус 4, хол
вул.60-річчя Жовтня, 106, м.Кременчук, Полтавська обл., 39602","1998","828","1976","20","1154","16","1170","","0","1154","16","1170","38","1132","19","83","11","33","156","107","11","297","415","29.10.12"
"531074","146","Полтавська область","Кременчуцький інститут Дніпропетровського університету економіки і права, корпус 6, спортивна зала
вул.Лізи Чайкіної, 35, м.Кременчук, Полтавська обл., 39623","1092","596","1091","20","478","18","496","","0","478","18","496","11","485","4","46","7","27","78","30","9","147","137","29.10.12"
"531075","146","Полтавська область","Кременчуцький медичний коледж, спортивна зала
вул.Червона Гірка, 41, м.Кременчук, Полтавська обл., 39602","1890","808","1891","24","1058","24","1082","","0","1058","24","1082","30","1052","18","123","8","30","159","92","9","197","416","29.10.12"
"531076","146","Полтавська область","школа №18, к.7
вул.Ватутіна, 25, м.Кременчук, Полтавська обл., 39602","1572","692","1560","24","865","15","880","","0","865","15","880","25","855","12","84","10","18","128","56","7","239","301","28.10.12"
"531077","146","Полтавська область","спеціалізована школа-інтернат, хол
вул.Чкалова, 217, м.Кременчук, Полтавська обл., 39623","2052","1033","2063","19","1004","15","1019","","0","1004","15","1019","37","982","13","96","7","41","151","64","5","255","350","28.10.12"
"531078","146","Полтавська область","еколого-натуралістичний центр, актова зала
вул.60-річчя Жовтня, 128, м.Кременчук, Полтавська обл., 39623","1926","858","1920","12","1056","12","1068","","0","1056","12","1068","31","1037","14","87","8","35","131","61","6","217","478","29.10.12"
"531079","146","Полтавська область","школа №24, початкові класи, хол
просп.Полтавський, 13, м.Кременчук, Полтавська обл., 39627","888","439","883","12","438","11","449","","0","438","11","449","16","433","6","43","6","24","64","37","6","116","131","29.10.12"
"531080","146","Полтавська область","школа №24, кабінет історії
просп.Полтавський, 13, м.Кременчук, Полтавська обл., 39627","2148","1130","2140","17","1002","16","1018","","0","1002","16","1018","32","986","20","98","10","62","133","95","4","239","325","29.10.12"
"531081","146","Полтавська область","рада мікрорайону №10, актова зала
пров.Гомельський, 22, м.Кременчук, Полтавська обл., 39627","2232","1109","2224","13","1113","10","1123","","0","1113","10","1123","28","1095","22","113","9","44","160","71","9","253","414","29.10.12"
"531082","146","Полтавська область","приміщення гіпермаркету ""Простір""
проспект 50-річчя Жовтня, 96, м.Кременчук, Полтавська обл., 39622","2424","1185","2414","3","1236","3","1239","","0","1236","3","1239","34","1205","34","144","10","57","178","66","16","286","414","29.10.12"
"531083","146","Полтавська область","лікарня №4, актова зала
просп.50-річчя Жовтня, 80, м.Кременчук, Полтавська обл., 39622","2244","1073","2223","11","1167","4","1171","","0","1167","4","1171","26","1145","19","122","19","33","199","60","8","227","458","28.10.12"
"531084","146","Полтавська область","дитячий садок №80, музична зала
вул.Воїнів-інтернаціоналістів, 9, м.Кременчук, Полтавська обл., 39622","2382","1057","2385","14","1315","10","1325","","0","1315","10","1325","35","1290","27","134","16","43","193","64","15","322","476","29.10.12"
"531085","146","Полтавська область","спортивно-оздоровчий комплекс Кременчуцького національного університету, спортивна зала
квартал 287, 16, м.Кременчук, Полтавська обл., 39622","2316","1071","2293","19","1231","14","1245","","0","1231","14","1245","38","1207","21","92","8","46","151","62","10","279","538","28.10.12"
"531099","146","Полтавська область","Кременчуцька міська лікарня №3, актова зала
вул.Павлова, 2, м.Кременчук, Полтавської обл., 39602","90","43","65","0","47","0","47","","0","47","0","47","1","46","3","2","0","1","9","2","0","16","13","28.10.12"
"531100","146","Полтавська область","Кременчуцька виховна колонія, актова зала
вул.40-річчя Жовтня, 10/30, м.Кременчук, Полтавська обл., 39617","120","18","102","0","102","0","102","","0","102","0","102","1","101","0","0","0","0","44","0","0","1","56","28.10.12"
"531101","146","Полтавська область","рада громадської самоорганізації населення мікрорайону №3, зал засідань
вул.Шевченка, 19/3, м.Кременчук, Полтавська обл., 39600","1230","477","1225","13","744","9","753","","0","744","9","753","18","735","14","59","11","47","142","68","8","163","223","29.10.12"
"531102","146","Полтавська область","ліцей №11, хол
вул.Першотравнева, 53, м.Кременчук, Полтавська обл., 39600","1218","494","1217","18","709","15","724","","0","709","15","724","20","704","13","56","11","30","150","58","1","161","224","29.10.12"
"531103","146","Полтавська область","школа №14, актовий зал
вул.Гагаріна, 14, м.Кременчук, Полтавська обл., 39600","2100","886","2075","22","1197","17","1214","","0","1197","17","1214","39","1175","27","114","12","62","241","113","13","239","354","29.10.12"
"531104","146","Полтавська область","дитяча юнацька спортивна школа №1, тренувальний зал
пров.Свердлова, 2, м.Кременчук, Полтавська обл., 39600","1242","586","1236","6","653","3","656","","0","653","3","656","22","634","10","43","12","17","127","56","5","174","190","28.10.12"
"531105","146","Полтавська область","палац культури ПАТ ""Кредмаш"", хол
вул.60-річчя Жовтня, 4, м.Кременчук, Полтавська обл., 39600","1098","426","1084","15","658","14","672","","0","658","14","672","24","648","9","59","5","37","134","55","9","135","205","29.10.12"
"531106","146","Полтавська область","ПВНЗ Кременчуцький університет економіки, інформаційних технологій і управління, хол
вул.Пролетарська, 24/37, м.Кременчук, Полтавська обл., 39600","1212","476","1209","12","724","12","736","","0","724","12","736","20","716","21","64","8","14","157","68","6","182","196","29.10.12"
"531107","146","Полтавська область","школа №19, хол
вул.Шевченка, 58/69, м.Кременчук, Полтавська обл., 39600","1602","675","1570","11","917","10","927","","0","917","10","927","26","901","16","106","1","18","149","63","4","245","299","29.10.12"
"531108","146","Полтавська область","Кременчуцький міський центр позашкільної освіти, хол
вул.Чапаєва, 69А, м.Кременчук, Полтавська обл., 39600","1596","709","1566","18","871","16","887","","0","871","16","887","27","860","14","70","5","26","153","62","11","248","271","29.10.12"
"531109","146","Полтавська область","професійно-технічне училище №26, к.3
вул.Чкалова, 4, м.Кременчук, Полтавська обл., 39601","1566","755","1551","14","804","7","811","","0","804","7","811","13","798","10","75","15","40","141","61","11","207","238","29.10.12"
"531110","146","Полтавська область","школа №1, їдальня
вул.Чкалова, 1А, м.Кременчук, Полтавська обл., 39601","2100","885","2075","12","1205","10","1215","","0","1205","10","1215","43","1172","16","99","11","39","165","113","9","270","450","29.10.12"
"531111","146","Полтавська область","клуб локомотивного депо, актовий зал
вул.Вокзальна, 2, м.Кременчук, Полтавська обл., 39600","1542","778","1544","7","759","5","764","","0","759","5","764","29","735","10","67","6","64","111","47","15","212","203","29.10.12"
"531112","146","Полтавська область","дитячий дошкільний заклад №60, спортзал
вул.50-річчя СРСР, 23, м.Кременчук, Полтавська обл., 39630","2220","900","2184","23","1300","20","1320","","0","1300","20","1320","48","1272","21","143","14","81","206","96","18","324","369","29.10.12"
