"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Степан
Степанович","Дмитренко
Григорій
Миколайович","Жуковець
Сергій
Павлович","Крат
Ірма
Миколаївна","Кривошей
Михайло
Михайлович","Кутовий
Тарас
Вікторович","Овчаренко
Людмила
Миколаївна","Полупан
Володимир
Артемович","Свиридюк
Роман
Володимирович","Туник
Іван
Семенович","Дата підписання протоколу"
"530446","151","Полтавська область","фельдшерсько-акушерський пункт, оглядова зала
вул.Артополот, 23, с.Старий Хутір, Лохвицький р-н, Полтавська обл., 37224","174","58","172","30","89","27","116","","0","89","27","116","1","115","2","5","0","1","26","46","31","0","2","2","29.10.12"
"530447","151","Полтавська область","школа, коридор
вул.М.П.Кирпоноса, 2А, с.Ісківці, Лохвицький р-н, Полтавська обл., 37251","522","186","508","51","299","37","336","","0","299","37","336","6","330","9","6","1","0","81","155","71","0","0","7","29.10.12"
"530448","151","Полтавська область","школа, коридор
вул.Гора, 1А, с.Скоробагатьки, Лохвицький р-н, Полтавська обл., 37253","258","57","259","36","171","30","201","","0","171","30","201","1","200","4","14","0","0","39","93","47","0","1","2","29.10.12"
"530449","151","Полтавська область","сільський клуб, актовий зал
вул.Попова, 52А, с.Яблунівка, Лохвицький р-н, Полтавська обл., 37252","180","60","177","21","106","14","120","","0","106","14","120","3","117","4","0","1","1","15","58","25","0","1","12","29.10.12"
"530450","151","Полтавська область","будинок культури, актовий зал
вул.Шевченка, 29, с.Корсунівка, Лохвицький р-н, Полтавська обл., 37262","372","101","368","50","227","44","271","","0","227","44","271","8","263","8","9","2","0","70","109","64","0","0","1","29.10.12"
"530451","151","Полтавська область","сільський клуб, актовий зал
вул.Приозерна, 20, с.Вовківське, Лохвицький р-н, Полтавська обл., 37262","216","58","213","32","128","30","158","","0","128","30","158","3","155","6","2","1","1","31","66","45","2","1","0","29.10.12"
"530452","151","Полтавська область","сільський будинок культури, фойє
вул.Центральна, 9, с.Луценки, Лохвицький р-н, Полтавська обл., 37210","420","139","409","43","243","38","281","","0","243","38","281","7","274","12","4","2","1","56","142","56","1","0","0","28.10.12"
"530453","151","Полтавська область","школа, фойє
вул.Радянська, 1, с.Лука, Лохвицький р-н, Полтавська обл., 37221","570","193","564","35","350","27","377","","0","350","27","377","10","367","9","2","1","3","115","164","69","3","0","1","29.10.12"
"530454","151","Полтавська область","сільська рада, актовий зал
вул.Центральна, 39, с.Лука, Лохвицький р-н, Полтавська обл., 37221","420","162","406","43","220","38","258","","0","220","38","258","12","246","8","10","0","0","50","107","69","1","0","1","28.10.12"
"530455","151","Полтавська область","сільський клуб, актовий зал
вул.Привокзальна, 5, с.Юсківці, Лохвицький р-н, Полтавська обл., 37222","300","73","301","23","210","17","227","","0","210","17","227","8","219","2","1","2","0","68","107","36","1","0","2","28.10.12"
"530456","151","Полтавська область","школа, коридор
вул.Радянська, 50, с.Піски, Лохвицький р-н, Полтавська обл., 37233","882","366","866","68","452","64","516","","0","452","64","516","12","504","10","11","2","4","47","214","212","1","1","2","29.10.12"
"530457","151","Полтавська область","школа, коридор
вул.Радянська, 50, с.Піски, Лохвицький р-н, Полтавська обл., 37233","924","431","911","91","426","67","493","","0","426","67","493","19","474","15","12","0","2","50","210","181","0","3","1","29.10.12"
"530458","151","Полтавська область","школа-сад, коридор
вул.Шкільна, 5, с.Яремівщина, Лохвицький р-н, Полтавська обл., 37233","216","65","217","28","127","24","151","","0","127","24","151","2","149","4","5","2","0","19","76","42","0","1","0","28.10.12"
"530459","151","Полтавська область","будинок культури, фойє
вул.Перемоги, 3, с.Погарщина, Лохвицький р-н, Полтавська обл., 37230","678","216","663","70","395","67","462","","0","395","67","462","15","447","8","9","5","8","105","180","126","0","1","5","29.10.12"
"530460","151","Полтавська область","комунальний навчально-виховний комплекс, спортивний зал
вул.70-річчя Жовтня, 21, с.Риги, Лохвицький р-н, Полтавська обл., 37250","456","111","457","48","299","46","345","","0","299","46","345","5","340","4","10","2","4","46","239","33","0","0","2","29.10.12"
"530461","151","Полтавська область","школа, коридор
вул.Шляхова, 80, с.Свиридівка, Лохвицький р-н, Полтавська обл., 37213","414","95","403","42","277","42","319","","0","277","42","319","9","310","4","1","0","1","103","130","68","1","1","1","29.10.12"
"530462","151","Полтавська область","сільський будинок культури, фойє
вул.Соколовського, 24, с.Степуки, Лохвицький р-н, Полтавська обл., 37213","96","12","96","20","64","20","84","","0","64","20","84","1","83","1","4","3","0","30","14","29","0","0","2","29.10.12"
"530463","151","Полтавська область","товариство з обмеженою відповідальністю ""Райз Максимко"", коридор
вул.Перемоги, 45, с.Яшники, Лохвицький р-н, Полтавська обл., 37214","186","62","188","16","108","16","124","","0","108","16","124","3","121","23","4","0","1","38","41","14","0","0","0","29.10.12"
"530464","151","Полтавська область","сільський будинок культури, фойє
вул.Першотравнева, 2, с.Сенча, Лохвицький р-н, Полтавська обл., 37254","948","310","930","68","573","65","638","","0","573","65","638","26","612","17","11","2","9","141","262","161","4","2","3","28.10.12"
"530465","151","Полтавська область","клуб-бібліотека, фойє
вул.Українська, 34, с.Сенча, Лохвицький р-н, Полтавська обл., 37254","726","249","716","46","432","45","477","","0","432","45","477","8","469","11","16","1","3","63","239","128","1","3","4","29.10.12"
"530466","151","Полтавська область","клуб, фойє
вул.Перемоги, 2, с.Сенча, Лохвицький р-н, Полтавська обл., 37254","450","131","453","38","283","36","319","","0","283","36","319","8","311","12","9","2","3","42","174","67","0","0","2","28.10.12"
"530467","151","Полтавська область","клуб, фойє
вул.Жовтнева, 2, с.Лучка, Лохвицький р-н, Полтавська обл., 37254","180","47","183","16","119","14","133","","0","119","14","133","0","133","2","6","0","2","49","40","34","0","0","0","28.10.12"
"530468","151","Полтавська область","сільський будинок культури, фойє
вул.ім.Г.І.Андрусенка, 7, с.Токарі, Лохвицький р-н, Полтавська обл., 37231","1062","327","1060","114","635","100","735","","0","635","100","735","23","712","9","11","5","10","72","416","171","3","6","9","29.10.12"
"530469","151","Полтавська область","сільський клуб, актовий зал
вул.Кільцева, 31, с.Гамаліївка, Лохвицький р-н, Полтавська обл., 37232","390","123","381","51","223","44","267","","0","223","44","267","9","258","8","7","3","2","42","125","66","3","0","2","29.10.12"
"530470","151","Полтавська область","сільський будинок культури, фойє
вул.Тесленка, 49А, с.Харківці, Лохвицький р-н, Полтавська обл., 37207","390","123","381","23","246","21","267","","0","246","21","267","3","264","17","7","2","9","69","88","69","1","1","1","28.10.12"
"530471","151","Полтавська область","сільський клуб, фойє
вул.Молодіжна, 24А, с.Западинці, Лохвицький р-н, Полтавська обл., 37207","198","55","192","15","129","14","143","","0","129","14","143","3","140","6","4","1","2","31","41","54","0","0","1","29.10.12"
"530472","151","Полтавська область","школа, коридор
вул.Сердюка, 50, с.Яхники, Лохвицький р-н, Полтавська обл., 37212","834","264","820","91","484","86","570","","0","484","86","570","11","559","10","17","8","6","119","226","168","1","4","0","29.10.12"
"530473","151","Полтавська область","школа-сад, спортивний зал
вул.Жовтнева, 41А, с.Романиха, Лохвицький р-н, Полтавська обл., 37212","102","20","101","18","64","18","82","","0","64","18","82","0","82","1","0","0","0","28","39","14","0","0","0","28.10.12"
"530495","151","Полтавська область","школа, актова зала
вул.Шкільна, 2, с.Снітин, Лубенський р-н, Полтавська обл., 37530","672","287","664","32","354","31","385","","0","354","31","385","13","372","2","31","4","2","70","125","135","3","0","0","28.10.12"
"530496","151","Полтавська область","школа, каб.2
вул.Леніна, 23, с.Хорошки, Лубенський р-н, Полтавська обл., 37512","678","221","671","50","409","48","457","","0","409","48","457","17","440","19","15","4","0","57","160","177","2","1","5","28.10.12"
"530497","151","Полтавська область","сільський клуб, глядацький зал
вул.Радянська, 2А, с.Ломаки, Лубенський р-н, Полтавська обл., 37512","138","40","136","15","83","15","98","","0","83","15","98","5","93","0","6","2","0","5","53","27","0","0","0","28.10.12"
"530498","151","Полтавська область","сільський клуб, глядацький зал
вул.Кірова, 1, с.Шеки, Лубенський р-н, Полтавська обл., 37513","258","94","249","19","146","18","164","","0","146","18","164","1","163","6","3","1","2","33","76","41","1","0","0","28.10.12"
"530499","151","Полтавська область","будинок культури, глядацький зал
вул.Радянська, 1, с.Хитці, Лубенський р-н, Полтавська обл., 37513","162","37","165","13","112","13","125","","0","112","13","125","7","118","1","8","5","1","25","58","19","0","0","1","28.10.12"
"530500","151","Полтавська область","школа, хол
вул.Леніна, 1А, с.Ждани, Лубенський р-н, Полтавська обл., 37510","648","215","641","32","401","32","433","","0","401","32","433","14","419","8","12","4","7","49","251","82","0","4","2","29.10.12"
"530501","151","Полтавська область","школа, хол
вул.Партизанська, 70, с.Окіп, Лубенський р-н, Полтавська обл., 37511","396","150","384","19","227","19","246","","0","227","19","246","14","232","7","18","3","2","25","95","82","0","0","0","28.10.12"
"530502","151","Полтавська область","будинок культури, фойє
вул.Леніна, 31, с.Тишки, Лубенський р-н, Полтавська обл., 37515","204","61","203","15","128","15","143","","0","128","15","143","1","142","5","5","5","3","18","53","50","2","0","1","28.10.12"
"530503","151","Полтавська область","сільський клуб, фойє
вул.Радянська, 57, с.Крутий Берег, Лубенський р-н, Полтавська обл., 37515","156","49","152","26","86","21","107","","0","86","21","107","6","101","2","8","1","0","6","50","33","0","1","0","29.10.12"
"530507","151","Полтавська область","школа, хол
вул.Рубцова, 57, с.Калайдинці, Лубенський р-н, Полтавська обл., 37525","822","283","815","67","483","56","539","","0","483","56","539","15","524","28","19","9","11","35","265","147","3","6","1","29.10.12"
"530508","151","Полтавська область","сільський клуб, фойє
вул.Шкільна, 14, с.Клепачі, Лубенський р-н, Полтавська обл., 37526","456","176","448","21","260","20","280","","0","260","20","280","14","266","8","4","4","3","36","96","109","0","1","5","29.10.12"
"530509","151","Полтавська область","школа, каб.1
вул.Центральна, 51, с.Хитці, Лубенський р-н, Полтавська обл., 37526","156","37","154","41","79","40","119","","0","79","40","119","10","109","2","4","0","4","10","32","54","1","1","1","29.10.12"
"530510","151","Полтавська область","школа, каб.1
вул.Шкільна, 27, с.Халепці, Лубенський р-н, Полтавська обл., 37525","138","40","132","7","91","7","98","","0","91","7","98","3","95","1","2","0","1","11","47","33","0","0","0","29.10.12"
"530511","151","Полтавська область","школа, хол
вул.Щербаня, 23, с.Новаки, Лубенський р-н, Полтавська обл., 37542","912","360","892","34","520","32","552","","0","520","32","552","24","528","34","21","6","4","54","208","186","4","5","6","28.10.12"
"530512","151","Полтавська область","адмінбудинок, актова зала
вул.Леніна, 44, с.Тарандинці, Лубенський р-н, Полтавська обл., 37540","558","203","546","23","333","22","355","","0","333","22","355","15","340","9","18","3","0","35","165","105","3","1","1","28.10.12"
"530513","151","Полтавська область","школа, каб.1
вул.Кошового, 18, с.Губське, Лубенський р-н, Полтавська обл., 37541","336","134","336","19","183","19","202","","0","183","19","202","7","195","6","13","3","1","12","113","45","0","0","2","29.10.12"
"530514","151","Полтавська область","фельдшерсько-акушерський пункт, к.1
вул.Жовтнева, 26, с.Вили, Лубенський р-н, Полтавська обл., 37540","198","72","196","11","115","11","126","","0","115","11","126","3","123","3","3","0","3","6","51","55","0","1","1","28.10.12"
"530515","151","Полтавська область","дитячий садок, хол
вул.Шевченка, 87, с.Біївці, Лубенський р-н, Полтавська обл., 37523","270","103","270","22","146","21","167","","0","146","21","167","4","163","4","9","7","2","20","58","61","1","1","0","28.10.12"
"530516","151","Полтавська область","сільський клуб, фойє
вул.Радянська, 11, с.Єнківці, Лубенський р-н, Полтавська обл., 37524","240","75","234","12","157","8","165","","0","157","8","165","6","159","4","14","4","7","15","74","36","2","3","0","28.10.12"
"530517","151","Полтавська область","будинок культури, гримерна
вул.Леніна, 36, с.Духове, Лубенський р-н, Полтавська обл., 37520","288","81","285","30","177","30","207","","0","177","30","207","3","204","2","8","3","0","41","92","54","2","0","2","29.10.12"
"530518","151","Полтавська область","сільський клуб, глядацький зал
вул.Павла Рака, 5, с.Карпилівка, Лубенський р-н, Полтавська обл., 37521","276","69","272","35","176","31","207","","0","176","31","207","8","199","0","8","2","0","46","89","48","1","2","3","28.10.12"
"530519","151","Полтавська область","магазин, зал
вул.Жовтнева, 50А, с.Гінці, Лубенський р-н, Полтавська обл., 37522","114","34","114","29","52","28","80","","0","52","28","80","2","78","2","3","1","0","8","41","23","0","0","0","29.10.12"
"530520","151","Полтавська область","будинок культури, гримерна
вул.Лесі Українки, 3, с.Остапівка, Лубенський р-н, Полтавська обл., 37543","312","86","308","27","202","24","226","","0","202","24","226","14","212","10","12","6","1","21","99","59","2","0","2","28.10.12"
"530521","151","Полтавська область","сільський клуб, фойє
вул.Леніна, 25А, с.Богодарівка, Лубенський р-н, Полтавська обл., 37543","240","64","238","18","158","18","176","","0","158","18","176","3","173","5","16","4","1","11","108","24","3","1","0","28.10.12"
"530689","151","Полтавська область","Березоворудський державний аграрний технікум, актова зала
вул.Паркова, 1/1, с.Березова Рудка, Пирятинський р-н, Полтавська обл., 37040","1038","338","1018","95","609","91","700","","0","609","91","700","27","673","31","26","16","6","66","284","238","1","3","2","28.10.12"
"530690","151","Полтавська область","сільський клуб, актова зала
вул.Кірова, 32, с.Крячківка, Пирятинський р-н, Полтавська обл., 37041","366","118","364","37","215","33","248","","0","215","33","248","6","242","6","4","1","2","57","94","73","1","3","1","28.10.12"
"530691","151","Полтавська область","школа, фойє
вул.Леніна, 35, с.Вечірки, Пирятинський р-н, Полтавська обл., 37040","222","73","221","20","130","19","149","","0","130","19","149","4","145","7","7","3","2","29","53","43","1","0","0","29.10.12"
"530692","151","Полтавська область","сільський клуб, глядацька зала
вул.Шевченка, 482, с.Білоцерківці, Пирятинський р-н, Полтавська обл., 37020","264","90","264","29","147","27","174","","0","147","27","174","4","170","10","5","4","3","16","74","53","2","0","3","28.10.12"
"530693","151","Полтавська область","школа, спортивний зал
вул.Гагаріна, 478, с.Яцини, Пирятинський р-н, Полтавська обл., 37021","306","81","301","44","183","42","225","","0","183","42","225","7","218","10","1","6","0","34","103","62","2","0","0","28.10.12"
"530694","151","Полтавська область","сільський клуб, глядацька зала
вул.Леніна, 100, с.Велика Круча, Пирятинський р-н, Полтавська обл., 37052","1518","731","1493","66","731","56","787","","0","731","56","787","30","757","42","58","15","10","101","276","244","2","5","4","29.10.12"
"530695","151","Полтавська область","сільський клуб, глядацька зала
вул.Жовтнева, 66, с.Повстин, Пирятинський р-н, Полтавська обл., 37053","396","118","398","31","247","31","278","","0","247","31","278","14","264","14","6","4","2","88","81","66","0","1","2","28.10.12"
"530696","151","Полтавська область","школа, фойє
вул.Жовтнева, 14, с.Вікторія, Пирятинський р-н, Полтавська обл., 37044","840","327","826","76","443","70","513","","0","443","70","513","19","494","9","14","8","3","40","273","141","2","3","1","29.10.12"
"530697","151","Полтавська область","школа, фойє
вул.Щорса, 18, с.Грабарівка, Пирятинський р-н, Полтавська обл., 37013","396","147","392","33","222","27","249","","0","222","27","249","16","233","4","9","4","4","75","77","53","1","2","4","28.10.12"
"530698","151","Полтавська область","сільський будинок культури, глядацька зала
вул.Кірова, 13, с.Давидівка, Пирятинський р-н, Полтавська обл., 37010","528","159","523","56","319","50","369","","0","319","50","369","11","358","31","24","3","2","89","116","90","2","1","0","28.10.12"
"530699","151","Полтавська область","дитячий садок, фойє
вул.Леніна, 19, с.Гурбинці, Пирятинський р-н, Полтавська обл., 37011","228","73","219","34","125","30","155","","0","125","30","155","6","149","15","4","1","0","22","52","54","0","0","1","28.10.12"
"530700","151","Полтавська область","сільський клуб, фойє
вул.Зої Космодем’янської, 19, с.Кроти, Пирятинський р-н, Полтавська обл., 37011","198","59","184","69","76","63","139","","0","76","63","139","10","129","5","1","4","0","51","40","27","0","1","0","28.10.12"
"530701","151","Полтавська область","центр громади, актова зала
вул.Шевченка, 79Б, с.Нові Мартиновичі, Пирятинський р-н, Полтавська обл., 37012","720","289","712","28","405","26","431","","0","405","26","431","19","412","28","2","4","3","87","114","170","2","2","0","28.10.12"
"530702","151","Полтавська область","адміністративний будинок, актова зала
вул.Марка Наглого, 45, с.Дейманівка, Пирятинський р-н, Полтавська обл., 37050","420","115","419","42","263","42","305","","0","263","42","305","9","296","10","5","3","2","33","163","76","2","2","0","28.10.12"
"530703","151","Полтавська область","навчально-виховний комплекс, актова зала
вул.Григорія Кисіля, 28, с.Прихідьки, Пирятинський р-н, Полтавська обл., 37051","300","93","296","21","188","19","207","","0","188","19","207","10","197","7","5","4","0","30","93","58","0","0","0","28.10.12"
"530704","151","Полтавська область","школа, фойє
вул.Калініна, 15, с.Каплинці, Пирятинський р-н, Полтавська обл., 37030","342","112","337","30","202","28","230","","0","202","28","230","4","226","8","8","10","4","43","57","92","1","1","2","29.10.12"
"530705","151","Полтавська область","сільський клуб, актова зала
вул.Радянська, 39, с.Усівка, Пирятинський р-н, Полтавська обл., 37031","156","35","150","14","107","14","121","","0","107","14","121","4","117","3","6","0","0","13","51","42","1","1","0","28.10.12"
"530706","151","Полтавська область","школа, актова зала
вул.Фрунзе, 22, с.Малютинці, Пирятинський р-н, Полтавська обл., 37043","552","231","538","58","267","54","321","","0","267","54","321","13","308","7","9","5","4","35","126","121","0","1","0","28.10.12"
"530707","151","Полтавська область","школа, фойє
вул.Центральна, 1, с.Олександрівка, Пирятинський р-н, Полтавська обл., 37005","432","176","429","35","228","28","256","","0","228","28","256","10","246","14","6","2","3","47","96","74","1","0","3","28.10.12"
"530708","151","Полтавська область","школа, актова зала
вул.Леніна, 56, с.Сасинівка, Пирятинський р-н, Полтавська обл., 37032","468","158","457","61","258","52","310","","0","258","52","310","8","302","24","4","2","5","45","97","123","1","0","1","28.10.12"
"530709","151","Полтавська область","навчально-виховний комплекс, актова зала
вул.Леніна, 36, с.Кейбалівка, Пирятинський р-н, Полтавська обл., 37033","264","91","264","9","166","7","173","","0","166","7","173","3","170","12","4","6","1","23","81","42","0","0","1","28.10.12"
"530710","151","Полтавська область","сільський клуб, глядацька зала
вул.Жовтнева, 116, с.Леляки, Пирятинський р-н, Полтавська обл., 37033","132","35","129","16","82","15","97","","0","82","15","97","6","91","2","3","0","0","10","43","32","0","0","1","28.10.12"
"530711","151","Полтавська область","фельдшерсько-акушерський пункт, вестибюль
вул.Перемоги, 16, с.Першотравневе, Пирятинський р-н, Полтавська обл., 37032","108","33","104","7","69","6","75","","0","69","6","75","2","73","4","5","1","0","7","22","34","0","0","0","28.10.12"
"530712","151","Полтавська область","школа, фойє
вул.Леніна, 36, с.Смотрики, Пирятинський р-н, Полтавська обл., 37042","678","258","663","45","381","39","420","","0","381","39","420","10","410","15","6","5","2","40","249","91","1","0","1","28.10.12"
"530713","151","Полтавська область","школа, фойє
вул.О.Бідненка, 49, с.Теплівка, Пирятинський р-н, Полтавська обл., 37045","780","306","779","72","406","68","474","","0","406","68","474","16","458","12","13","5","6","36","214","167","1","3","1","29.10.12"
"530714","151","Полтавська область","дитячий садок, їдальня
пл.Димитрова, 38, с.Харківці, Пирятинський р-н, Полтавська обл., 37022","498","195","487","42","267","36","303","","0","267","36","303","15","288","34","7","2","2","46","106","89","1","0","1","28.10.12"
"530715","151","Полтавська область","школа, фойє
вул.Леніна, 15, с.Вишневе, Пирятинський р-н, Полтавська обл., 37023","468","155","468","45","285","28","313","","0","285","28","313","9","304","19","8","6","2","43","116","106","2","2","0","28.10.12"
"530716","151","Полтавська область","Будинок дитячої та юнацької творчості, глядацька зала
вул.Пушкіна, 33, м.Пирятин, Пирятинський р-н, Полтавська обл., 37000","2118","1123","2089","74","934","61","995","","0","934","61","995","68","927","53","39","22","8","83","396","307","4","8","7","29.10.12"
"530717","151","Полтавська область","ліцей, зала відпочинку
вул.Визволення, 2А, м.Пирятин, Пирятинський р-н, Полтавська обл., 37000","2322","1063","2308","59","1208","51","1259","","0","1208","51","1259","76","1183","57","47","35","11","108","520","386","3","11","5","29.10.12"
"530718","151","Полтавська область","школа №4, актова зала
вул.Червоноармійська, 2А, м.Пирятин, Пирятинський р-н, Полтавська обл., 37000","2286","1140","2219","43","1115","31","1146","","0","1115","31","1146","38","1108","59","39","28","12","156","408","387","3","12","4","29.10.12"
"530719","151","Полтавська область","школа №1, фойє
вул.Пролетарська, 116, м.Пирятин, Пирятинський р-н, Полтавська обл., 37000","1578","709","1565","58","816","53","869","","0","816","53","869","45","824","49","30","14","7","93","343","277","3","4","4","28.10.12"
