"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрєєв
Олександр
Вікторович","Бригинець
Олександр
Михайлович","Вільдман
Ігор
Лазаревич","Габер
Микола
Олександрович","Глуховський
Олексій
Станіславович","Годунов
Юрій
Борисович","Гуреєв
Василь
Миколайович","Дерпак
Віталій
Михайлович","Жадан
Володимир
Анатолійович","Забавський
Дмитро
Анатолійович","Ільницький
Сергій
Васильович","Карасьов
Вадим
Юрійович","Крикунов
Юрій
Володимирович","Лановий
Володимир
Тимофійович","Новіков
Олег
Володимирович","Похилевич
Валерій
Андрійович","Силантьєв
Денис
Олегович","Соболев
Максим
Олегович","Столар
Вадим
Михайлович","Товстий
Василь
Охрімович","Товтрівська
Олеся
Олександрівна","Фещук
Олег
Петрович","Дата підписання протоколу"
"800471","217","м.Київ","школа №232, фойє
вул.Гавро Лайоша, 4Г, м.Київ, 04211","2352","1231","2330","13","1116","5","1121","","0","1116","5","1121","15","1106","6","296","235","5","32","57","25","2","4","5","2","16","129","17","0","2","60","12","187","4","6","4",""
"800472","217","м.Київ","школа №216, хол
вул.Мате Залки, 8Г, м.Київ, 04211","2276","818","2257","20","1443","15","1458","","0","1441","15","1456","33","1423","2","430","245","10","31","22","15","7","2","2","8","28","157","32","1","3","95","12","305","7","5","4",""
"800473","217","м.Київ","школа №216, спортивна зала
вул.Мате Залки, 8Г, м.Київ, 04211","2276","818","2255","44","1428","30","1458","","7","1423","30","1453","35","1418","5","432","209","8","36","17","13","3","4","2","3","27","184","26","1","4","94","10","327","2","6","5",""
"800474","217","м.Київ","школа №216, спортивна зала
вул.Мате Залки, 8Г, м.Київ, 04211","2308","754","2294","20","1548","6","1554","","6","1548","6","1554","21","1525","2","508","246","8","30","34","13","2","3","0","8","38","220","43","0","1","101","12","242","3","6","5",""
"800475","217","м.Київ","школа №232, спортивна зала
вул.Гавро Лайоша, 4Г, м.Київ, 04211","3740","2175","2336","18","1555","10","1565","","0","1555","10","1565","45","1520","6","468","195","10","35","27","13","4","2","4","5","41","221","39","1","1","110","10","313","3","8","4",""
"800476","217","м.Київ","школа №232, актова зала
вул.Гавро Лайоша, 4Г, м.Київ, 04211","2008","679","1999","37","1303","26","1329","","0","1303","26","1329","27","1300","1","383","159","7","24","25","12","9","4","0","7","35","168","26","4","1","88","14","321","3","4","5",""
"800477","217","м.Київ","ЖЕК №502, актова зала
вул.Гавро Лайоша, 7А, м.Київ, 04211","2216","706","2206","19","1501","9","1510","","0","1499","9","1508","35","1473","4","483","163","7","37","30","13","3","3","0","5","41","219","48","2","2","57","8","334","7","4","3",""
"800478","217","м.Київ","школа №219, хол
просп.Оболонський, 2Б, м.Київ, 04210","2336","781","2317","34","1528","27","1555","","0","1528","27","1555","35","1520","2","533","247","9","25","26","15","1","3","3","10","37","182","35","4","3","74","13","290","1","3","4",""
"800479","217","м.Київ","школа №219, актова зала
просп.Оболонський, 2Б, м.Київ, 04210","2324","789","2308","32","1514","21","1535","","0","1513","21","1534","36","1498","7","513","191","17","24","34","22","4","6","1","6","61","207","33","1","2","85","9","260","9","4","2",""
"800480","217","м.Київ","ліцей №157, хол
просп.Оболонський, 12В, м.Київ, 04205","2064","675","2057","30","1366","23","1389","","0","1366","23","1389","48","1341","7","398","70","11","60","32","15","9","6","3","9","62","202","43","1","2","40","12","340","4","10","5",""
"800481","217","м.Київ","школа №211, спортивна зала
вул.Гавро Лайоша, 24А, м.Київ, 04210","2160","762","2150","27","1382","16","1398","","0","1382","16","1398","36","1362","5","425","65","14","52","38","9","2","5","5","6","31","216","29","1","2","95","12","337","3","8","2",""
"800482","217","м.Київ","школа №233, спортивна зала
вул.Гавро Лайоша, 22А, м.Київ, 04210","2032","727","2015","19","1296","9","1305","","0","1296","9","1305","30","1275","4","309","42","12","25","23","18","3","6","0","4","43","180","31","1","4","75","19","457","4","9","6",""
"800483","217","м.Київ","школа №233, 2-й поверх, хол
вул.Гавро Лайоша, 22А, м.Київ, 04210","2168","775","2153","15","1381","12","1393","","0","1381","12","1393","22","1371","5","367","83","12","32","23","9","0","5","2","5","42","191","25","2","0","79","15","463","3","4","4",""
"800484","217","м.Київ","школа №211, спортивна зала
вул.Гавро Лайоша, 24А, м.Київ, 04210","2376","822","2355","22","1538","16","1554","","0","1538","16","1554","40","1514","8","476","64","21","38","52","20","2","5","0","4","38","227","39","5","2","97","11","389","4","5","7",""
"800485","217","м.Київ","школа №210, спортивна зала
вул.Гавро Лайоша, 22А, м.Київ, 04210","2320","844","2299","14","1467","9","1476","","0","1467","9","1476","30","1446","8","397","70","13","37","31","23","2","6","6","9","28","237","29","1","8","53","10","462","4","5","7",""
"800486","217","м.Київ","школа №210, актова зала
вул.Гавро Лайоша, 22А, м.Київ, 04210","1856","611","1857","30","1222","23","1245","","0","1222","23","1245","26","1219","6","388","61","6","27","25","20","5","5","4","11","29","189","21","3","3","48","5","349","5","7","2",""
"800487","217","м.Київ","ліцей №157, спортивна зала
просп.Оболонський, 12В, м.Київ, 04205","2092","676","2075","17","1403","13","1416","","0","1403","13","1416","50","1366","5","441","46","12","28","32","22","3","6","2","8","50","207","42","0","3","78","11","358","6","3","3",""
"800488","217","м.Київ","Дитяча академія мистецтв, хол
просп.Героїв Сталінграда, 10, м.Київ, 04210","2264","850","2248","5","1413","1","1414","","0","1413","1","1414","47","1367","6","494","41","15","18","75","45","7","4","0","10","44","308","50","3","11","100","11","101","10","8","6",""
"800489","217","м.Київ","Інститут Гідробіології НАН України, вестибюль
просп.Героїв Сталінграда, 12, м.Київ, 04210","2160","858","2175","3","1300","2","1302","","0","1300","2","1302","28","1274","4","449","28","5","20","78","41","4","14","3","6","42","325","58","4","3","108","5","53","9","10","5",""
"800490","217","м.Київ","ЦНТТ""Сфера"", хол, 1-й поверх
просп.Героїв Сталінграда, 18, м.Київ, 04210","1968","594","1970","7","1370","4","1374","","0","1369","4","1373","32","1341","9","483","32","11","38","110","35","2","13","1","7","41","249","47","1","3","101","18","87","36","9","8",""
"800491","217","м.Київ","ЦНТТ ""Сфера"", хол, 2-й поверх
просп.Героїв Сталінграда, 18, м.Київ, 04210","2144","785","2115","9","1353","6","1359","","0","1353","6","1359","19","1340","3","510","25","9","29","32","22","5","6","0","1","57","238","36","1","2","69","5","251","28","10","1",""
"800492","217","м.Київ","ЦНТТ ""Сфера"", хол
просп.Героїв Сталінграда, 18, м.Київ, 04210","2248","704","2220","5","1541","3","1544","","0","1541","3","1544","51","1493","9","412","28","23","51","115","51","8","11","6","9","62","328","69","1","5","107","21","124","38","10","5",""
"800493","217","м.Київ","школа №239, вестибюль
просп.Оболонський, 16Д, м.Київ, 04205","2148","669","2152","23","1462","17","1479","","0","1462","17","1479","25","1454","8","404","36","12","69","68","41","9","7","1","12","54","306","59","3","7","91","10","238","2","8","9",""
"800494","217","м.Київ","школа №239, спортивна зала
просп.Оболонський, 16Д, м.Київ, 04205","2084","789","2061","18","1279","16","1295","","0","1277","16","1293","42","1251","4","362","40","8","26","37","16","1","11","2","6","33","214","39","0","2","81","12","338","4","8","7",""
"800495","217","м.Київ","школа №239, спортивна зала
просп.Оболонський, 16Д, м.Київ, 04205","2180","704","2173","11","1470","6","1476","","0","1470","6","1476","35","1441","3","550","47","12","35","35","17","4","0","2","5","37","194","44","3","5","79","8","346","3","10","2",""
"800496","217","м.Київ","школа №214, вестибюль
просп.Оболонський, 9А, м.Київ, 04205","2244","771","2229","19","1461","12","1473","","0","1461","12","1473","32","1441","6","528","35","17","55","38","20","2","9","4","8","45","232","32","0","3","74","15","302","3","8","5",""
"800497","217","м.Київ","школа №214, спортивна зала
просп.Оболонський, 9А, м.Київ, 04205","1972","656","1958","13","1307","9","1316","","0","1307","9","1316","26","1290","8","388","38","13","27","23","9","5","6","1","3","29","189","29","1","3","90","13","405","3","6","1",""
"800498","217","м.Київ","школа №214, спортивна зала
просп.Оболонський, 9А, м.Київ, 04205","2164","713","2155","22","1435","16","1451","","0","1435","16","1451","28","1423","7","465","39","23","35","32","19","4","9","3","3","29","227","45","1","1","70","4","394","3","6","4",""
"800499","217","м.Київ","школа №239, вестибюль
просп.Оболонський, 16Д, м.Київ, 04205","2052","732","2052","28","1297","23","1320","","0","1297","23","1320","31","1289","5","364","40","6","23","29","19","4","1","3","9","25","223","37","2","1","57","16","412","6","3","4",""
"800500","217","м.Київ","ліцей №157, рекреаційна зала
просп.Оболонський, 12В, м.Київ, 04205","2796","1353","2330","29","1422","21","1443","","0","1422","21","1443","39","1404","4","350","55","21","34","30","11","4","9","0","11","43","276","44","6","1","64","13","417","2","7","2",""
"800501","217","м.Київ","школа №225, вестибюль
просп.Оболонський, 9Б, м.Київ, 04205","2240","803","2218","36","1409","28","1437","","0","1409","28","1437","31","1406","8","461","42","17","42","36","9","6","8","3","8","48","226","35","0","1","93","9","333","6","12","3",""
"800502","217","м.Київ","школа №219, хол
просп.Оболонський, 2Б, м.Київ, 04210","2228","713","2209","10","1510","5","1515","","0","1510","5","1515","38","1477","0","496","180","13","31","39","15","3","5","2","5","41","179","44","3","0","47","17","338","6","10","3",""
"800503","217","м.Київ","школа №225, спортивна зала
просп.Оболонський, 9Б, м.Київ, 04205","2296","765","2285","35","1500","31","1531","","0","1500","31","1531","44","1487","0","469","75","14","30","27","16","4","4","2","11","41","197","40","2","8","70","8","454","3","8","4",""
"800504","217","м.Київ","школа №225, спортивна зала
просп.Оболонський 9Б, м.Київ, 04205","2456","845","2426","12","1601","10","1611","","0","1601","10","1611","36","1574","6","453","35","11","37","28","10","3","6","2","5","47","229","45","1","3","81","10","536","11","9","6",""
"800505","217","м.Київ","школа №214, хол
просп.Оболонський 9А, м.Київ, 04205","2124","751","2103","33","1353","20","1373","","0","1352","20","1372","30","1342","4","411","30","21","46","32","19","6","4","2","10","39","207","46","2","3","86","14","339","6","11","4",""
"800506","217","м.Київ","НВК №240, гімназія ""Соціум"", вестибюль
просп.Героїв Сталінграда, 39Г, м.Київ, 04210","2308","803","2302","14","1496","9","1505","","0","1496","9","1505","36","1469","7","517","35","29","51","68","25","5","9","1","12","48","258","56","4","5","88","11","211","13","12","4",""
"800507","217","м.Київ","НВК №240, гімназія ""Соціум"", хол
просп.Героїв Сталінграда, 39Г, м.Київ, 04210","2340","765","2319","14","1565","10","1575","","0","1564","10","1574","37","1537","5","521","43","23","31","34","37","0","12","0","7","29","221","56","2","5","67","8","418","5","8","5",""
"800508","217","м.Київ","НВК №240 ""Соціум"", спортивна зала
просп.Героїв Сталінграда, 39Г, м.Київ, 04210","2056","637","2057","9","1415","4","1419","","0","1415","4","1419","37","1382","1","454","62","18","40","36","15","1","9","7","9","30","250","22","2","6","68","7","331","3","10","1",""
"800509","217","м.Київ","спеціалізована школа №20, вестибюль
просп.Оболонський, 32Б, м.Київ, 04214","2336","752","2337","17","1573","11","1584","","0","1571","11","1582","34","1548","6","621","19","17","60","43","25","6","2","2","14","29","213","36","4","1","67","13","348","9","5","8",""
"800510","217","м.Київ","Дитячий Оздоровчо-Екологічний Центр, хол
вул.Героїв Дніпра, 32В, м.Київ, 04209","2356","722","2355","25","1618","16","1634","","0","1617","16","1633","45","1588","9","543","37","19","42","49","22","1","16","0","7","49","233","56","1","3","60","15","397","1","19","9",""
"800511","217","м.Київ","школа №328, вестибюль
просп.Героїв Сталінграда, 47, м.Київ, 04213","2380","872","2379","20","1493","15","1508","","0","1493","15","1508","34","1474","2","442","25","13","45","47","23","4","8","4","7","18","227","29","2","4","54","7","502","5","5","1",""
"800512","217","м.Київ","НВК №240 ""Соціум"", спортивна зала
просп.Героїв Сталінграда 39Г, м.Київ, 04210","2188","743","2171","12","1435","10","1445","","0","1435","10","1445","36","1409","8","465","39","23","38","32","12","0","10","3","3","40","240","28","0","2","66","14","369","7","7","3",""
"800513","217","м.Київ","гімназія ""Потенціал"", спортивна зала
просп.Героїв Сталінграда, 47, м.Київ, 04213","1920","637","1917","17","1275","8","1283","","0","1275","8","1283","36","1247","7","422","22","18","38","54","14","1","4","3","2","27","167","25","0","1","68","20","321","15","13","5",""
"800514","217","м.Київ","гімназія ""Потенціал"", к.105
просп.Героїв Сталінграда, 47, м.Київ, 04213","2176","782","2161","17","1386","8","1394","","0","1385","8","1393","26","1367","8","409","16","5","24","21","15","6","5","2","2","23","176","22","2","3","63","7","543","11","3","1",""
"800515","217","м.Київ","школа №226, хол
вул.Прирічна, 19Є, м.Київ, 04213","2276","818","2251","21","1443","15","1458","","0","1443","15","1458","31","1426","2","415","39","14","30","37","14","6","8","2","8","28","218","47","2","1","69","13","356","100","10","7",""
"800516","217","м.Київ","школа №226, хол
вул.Прирічна, 19Є, м.Київ, 04213","2376","792","2370","20","1574","10","1584","","0","1574","10","1584","44","1540","4","494","35","18","32","39","15","1","11","4","7","45","216","35","2","0","79","12","416","64","6","5",""
"800517","217","м.Київ","школа №226, хол
вул.Прирічна, 19Є, м.Київ, 04213","2356","803","2335","29","1536","17","1553","","0","1536","17","1553","31","1522","9","481","36","15","34","32","11","4","3","0","6","33","220","45","2","2","68","7","454","50","7","3",""
"800518","217","м.Київ","гімназія ""Оболонь"", фойє
вул.Прирічна, 27Б, м.Київ, 04213","2188","760","2177","10","1420","8","1428","","0","1420","8","1428","32","1396","4","443","24","16","24","24","15","0","8","3","4","38","165","28","1","0","45","22","471","53","5","3",""
"800519","217","м.Київ","гімназія ""Оболонь"", спортивна зала
вул.Прирічна, 27Б, м.Київ, 04213","2024","751","1999","13","1263","10","1273","","0","1263","10","1273","31","1242","7","383","33","12","50","33","15","6","18","1","6","29","187","23","1","1","70","10","309","37","6","5",""
"800520","217","м.Київ","школа №298, вестибюль
просп.Героїв Сталінграда, 58Б, м.Київ, 04213","2264","711","2228","10","1545","8","1553","","0","1545","8","1553","31","1522","4","556","25","8","38","26","13","4","12","1","7","40","271","46","2","2","67","14","348","23","10","5",""
