"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Брицький
Руслан
Михайлович","Бузина
Олесь
Олексійович","Гайдук
Андрій
Валерійович","Гладчук
Вадим
Федорович","Глущенко
Артем
Ігорович","Голодняк
Микола
Володимирович","Колбун
Микола
Дмитрович","Куташев
Ігор
Вікторович","Лебедівський
Валерій
Анатолійович","Левченко
Юрій
Володимирович","Ліснича
Вікторія
Миколаївна","Олексюк
Федір
Юрійович","Осадчий
Євгеній
Сергійович","Панченко
Сергій
Федорович","Пархоменко
Ігор
Леонідович","Пилипишин
Віктор
Петрович","Розинська
Наталія
Миколаївна","Супрун
Юрій
Михайлович","Тарима
Сергій
Миколайович","Хмара
Степан
Ілліч","Шаповал
Ігор
Володимирович","Швидкін
Андрій
Олександрович","Шум
Олександр
Вікторович"
"800988","223","м.Київ","клуб КП ЖЕК ""Золотоустівська"", актова зала, 1-й поверх
вул.Рибалка Маршала, 7/18, м.Київ, 04116","2412","1005","2376","7","1400","7","1407","","0","1400","7","1407","44","1363","250","113","2","8","15","2","5","70","12","345","33","0","10","3","2","333","39","4","2","36","73","2",""
"800989","223","м.Київ","школа №101, коридор, 1-й поверх
вул.Коперника, 8, м.Київ, 04116","2444","962","2446","19","1463","19","1482","","0","1463","19","1482","38","1444","257","86","5","12","11","5","4","51","23","361","27","1","10","9","0","393","64","1","0","51","60","1",""
"800990","223","м.Київ","школа №101, коридор, 2-й поверх
вул.Коперника, 8, м.Київ, 04116","2240","888","2224","17","1346","6","1352","","0","1346","6","1352","33","1319","235","121","11","12","4","2","10","79","32","358","23","1","5","3","1","277","28","2","1","56","52","1",""
"800991","223","м.Київ","компанія ""Артем"", спортивна зала, 1-й поверх
вул.Половецька, 49, м.Київ, 04107","2404","871","2393","20","1519","14","1533","","0","0","0","1533","362","1171","196","104","1","9","8","2","6","36","24","235","30","0","7","4","2","373","29","6","1","39","48","3",""
"800992","223","м.Київ","школа №139, коридор, 1-й поверх
пров.Татарський, 1, м.Київ, 04107","2400","791","2400","3","1607","2","1609","","0","1607","2","1609","83","1526","177","61","0","4","8","0","4","50","9","266","23","2","4","2","4","797","33","5","1","32","35","0",""
"800993","223","м.Київ","бібліотека імені Васильченка, хол, 1-й поверх
вул.Половецька, 7/13, м.Київ, 04107","2440","886","2418","13","1544","10","1554","","0","1544","10","1554","52","1502","209","105","4","7","15","3","8","56","16","476","22","0","8","9","3","409","41","7","2","42","42","1",""
"800994","223","м.Київ","Київський інститут автоматики, каб.220, 2-й поверх
вул.Нагірна, 22, м.Київ, 04107","2356","908","2349","14","1437","11","1448","","0","1437","11","1448","45","1403","210","104","1","7","6","2","6","49","23","488","22","1","3","3","4","340","40","0","2","44","40","0",""
"800995","223","м.Київ","школа №61, їдальня, 1-й поверх
вул.Мельникова, 39, м.Київ, 04050","2340","1200","2264","19","1125","15","1140","","0","1125","15","1140","43","1097","186","123","11","5","9","15","10","93","22","266","18","7","8","11","12","182","18","3","1","30","55","4",""
"800996","223","м.Київ","школа №61, хол, 2-й поверх
вул.Мельникова, 39, м.Київ, 04050","2056","708","2049","21","1331","17","1348","","0","0","0","1347","316","1031","194","150","4","9","9","2","8","54","24","200","18","0","6","7","0","213","17","0","0","48","61","1",""
"800997","223","м.Київ","дитяча поліклініка №4, хол, 1-й поверх
вул.Білоруська, 11Б, м.Київ, 04119","2424","1012","2427","17","1401","11","1412","","0","1401","11","1412","40","1372","241","132","3","10","9","12","4","72","30","391","49","0","5","6","3","282","23","2","0","37","49","2",""
"800998","223","м.Київ","гуртожиток медичної академії, кімната відпочинку, 1-й порверх
вул.Довнар-Запольського, 16, м.Київ, 04050","2440","1004","2428","11","1431","5","1436","","0","1431","5","1436","44","1392","154","134","5","5","13","1","6","65","24","341","23","1","4","5","1","476","27","6","1","35","53","3",""
"800999","223","м.Київ","Київський професійний ліцей ""Політехнік"", фойє, 1-й поверх
вул.Василевської Ванди, 24, м.Київ, 04116","2376","839","2346","13","1526","11","1537","","0","1526","11","1537","42","1495","236","102","4","1","10","4","10","52","8","433","26","3","6","5","1","427","22","1","3","71","59","0",""
"801000","223","м.Київ","школа №102, коридор, ліве крило, 1-й поверх
вул.Шулявська, 10/12, м.Київ, 03055","2312","829","2313","29","1458","25","1483","","0","0","0","1483","317","1166","198","98","1","12","10","2","7","59","15","209","34","2","7","6","0","362","29","1","1","42","62","1",""
"801001","223","м.Київ","школа №102, коридор, праве крило, 1-й поверх
вул.Шулявська, 10/12, м.Київ, 03055","2264","852","2250","35","1386","26","1412","","0","1386","26","1412","35","1377","187","119","0","7","7","0","7","45","9","542","56","1","7","2","0","272","17","5","1","41","47","0",""
"801002","223","м.Київ","бібліотека імені Т.Шевченка, вестибюль, 1-й поверх
просп.Перемоги, 25, м.Київ, 03055","2352","855","2328","25","1479","18","1497","","0","0","0","1497","82","1415","229","131","2","12","13","2","5","92","13","458","20","0","4","4","0","283","15","4","0","45","68","0",""
"801003","223","м.Київ","музична школа №5, вестибюль, 1-й поверх
вул.Борщагівська, 14, м.Київ, 03055","2320","850","2314","14","1457","13","1470","","0","1457","13","1470","39","1431","218","126","6","7","8","3","6","65","13","453","26","1","4","6","0","351","14","6","1","31","56","2",""
"801004","223","м.Київ","ліцей ""Універсум"", актова зала, 2-й поверх
вул.Політехнічна, 3А, м.Київ, 03055","2180","898","2169","27","1263","19","1282","","0","0","0","1282","330","952","187","143","2","11","9","4","8","55","24","123","30","1","4","3","2","237","14","3","1","38","47","0",""
"801005","223","м.Київ","управління освіти, актова зала, 1-й поверх
вул.Зоологічна, 6А, м.Київ, 04119","2120","585","2135","5","1533","2","1535","","0","1533","2","1535","31","1504","169","74","9","6","11","12","11","58","17","199","14","1","6","6","8","807","19","9","4","22","28","3",""
"801006","223","м.Київ","Публічне акціонерне товариство Київський мотоциклетний завод, корпус 5, хол, 1-й поверх
вул.Сім’ї Хохлових, 8, м.Київ, 04119","2440","1076","2412","17","1351","13","1364","","0","1351","13","1364","44","1320","202","118","9","10","10","10","7","110","13","300","23","4","12","9","6","310","32","9","2","35","73","5",""
"801007","223","м.Київ","школа №70, хол, головний корпус, 2-й поверх
вул.Пугачова, 10, м.Київ, 04107","2400","1106","2430","14","1283","11","1294","","0","1283","11","1294","32","1262","210","104","6","2","12","2","9","78","11","367","19","2","6","7","6","282","26","4","1","50","46","4",""
"801008","223","м.Київ","школа №70, спортивний зал, 2-й поверх
вул.Пугачова, 10, м.Київ, 04107","2436","881","2418","24","1537","18","1555","","0","1537","18","1555","40","1515","249","176","10","8","9","8","3","62","14","382","22","0","7","7","5","348","43","1","5","57","82","1",""
"801009","223","м.Київ","школа №1, вестибюль, 1-й поверх
пров.Делегатський, 1/28, м.Київ, 04107","2432","898","2411","14","1526","8","1534","","0","1526","8","1534","49","1485","261","179","6","10","11","6","11","49","14","426","22","1","6","5","4","306","37","1","2","64","62","2",""
"801010","223","м.Київ","школа №199, хол, 1-й поверх
вул.Бакинська, 12, м.Київ, 04086","2368","931","2353","11","1426","11","1437","","0","1426","11","1437","35","1402","237","45","5","21","4","3","5","75","15","350","18","0","7","5","3","483","43","2","0","24","52","2",""
"801011","223","м.Київ","школа №199, коридор, 1-й поверх
вул.Бакинська, 12, м.Київ, 04086","2488","1018","2465","13","1460","10","1470","","0","1460","10","1470","41","1429","243","105","4","8","8","2","5","56","24","394","15","2","10","7","0","412","46","5","1","28","40","7",""
"801012","223","м.Київ","будинок культури ""Юний Артемовець"", читальний зал, 1-й поверх
вул.Теліги Олени, 35А, м.Київ, 04086","2416","998","2391","19","1401","17","1418","","0","1401","17","1418","46","1372","223","75","1","12","7","6","5","51","4","345","9","1","6","15","2","455","42","5","2","33","64","0",""
"801013","223","м.Київ","школа №169, хол, 1-й поверх
вул.Котовського, 2, м.Київ, 04060","2380","991","2364","22","1376","13","1389","","0","0","0","1388","46","1343","222","94","4","11","10","3","4","37","18","400","13","0","4","8","3","359","44","4","1","45","48","3",""
"801014","223","м.Київ","Технічний ліцей, вестибюль, 1-й поверх
вул.Щусєва, 20, м.Київ, 04060","1660","789","1644","13","862","8","870","","1","862","8","870","33","837","105","65","1","6","6","2","2","35","13","225","9","3","2","5","1","279","20","1","1","36","13","2",""
"801015","223","м.Київ","Технічний ліцей, вестибюль, 1-й поверх
вул.Щусєва, 20, м.Київ, 04060","1984","816","1959","12","1159","9","1168","","0","1159","9","1168","32","1136","177","62","4","10","7","3","6","38","10","306","13","2","3","8","2","386","38","1","0","24","29","1",""
"801016","223","м.Київ","школа №28, центральний хол, 1-й поверх
вул.Житкова, 7Б, м.Київ, 04060","1836","724","1824","6","1106","6","1112","","0","1106","6","1112","31","1081","168","96","5","1","8","1","3","39","13","298","10","0","5","6","3","332","13","5","0","27","42","1",""
"801017","223","м.Київ","школа №28, лівий хол, 2-й поверх
вул.Житкова, 7Б, м.Київ, 04060","1744","693","1722","12","1043","8","1051","","0","1043","8","1051","35","1016","145","88","3","4","6","2","6","28","14","287","8","2","1","3","1","341","14","3","4","28","22","1",""
"801018","223","м.Київ","територіальний центр №1, актовий зал, 1-й поверх
вул.Котовського, 33, м.Київ, 04060","1784","670","1774","11","1104","10","1114","","0","0","0","1114","26","1088","145","96","1","6","6","4","7","50","7","257","16","2","4","5","4","405","16","2","2","21","25","1",""
"801019","223","м.Київ","бібліотека імені В.Сухомлинського, хол, 1-й поверх
вул.Берлинського Максима, 9, м.Київ, 04060","1880","704","1865","6","1176","0","1176","","0","1176","0","1176","32","1144","178","86","2","6","7","0","4","43","9","370","12","1","2","1","4","312","25","0","2","50","24","3",""
"801020","223","м.Київ","школа №24, хол, 1-й поверх
вул.Теліги Олена, 15А, м.Київ, 04112","1516","555","1511","10","955","6","961","","0","955","6","961","21","940","146","102","0","4","2","4","2","40","17","245","15","0","6","5","2","277","11","7","1","34","16","2",""
"801021","223","м.Київ","школа №24, актовий зал, 2-й поверх
вул.Теліги Олени, 15А, м.Київ, 04112","2148","960","2133","12","1179","9","1188","","0","1179","9","1188","39","1149","173","103","1","11","6","5","2","40","9","315","23","2","5","4","2","345","27","3","1","39","30","2",""
"801022","223","м.Київ","школа-інтернат №20, хол, 1-й поверх
вул.Академіка Грекова, 2, м.Київ, 04060","1516","562","1504","15","943","11","954","","0","943","11","954","22","932","119","63","1","6","3","2","2","24","5","243","2","0","5","5","2","371","12","3","1","30","29","0",""
"801023","223","м.Київ","школа №97, лівий хол, 1-й поверх
вул.Теліги Олени, 5, м.Київ, 04112","1992","840","1995","15","1144","8","1152","","0","1143","8","1151","36","1115","185","104","4","5","6","4","7","56","5","284","10","3","4","7","4","347","11","1","0","36","26","1",""
"801024","223","м.Київ","школа №97, правий хол, 1-й поверх
вул.Теліги Олени, 5, м.Київ, 04112","2424","1137","2427","8","1282","5","1287","","0","1282","5","1287","37","1250","175","152","1","5","10","3","2","39","10","304","13","0","10","7","5","427","17","0","0","29","33","2",""
"801025","223","м.Київ","хореографічне училище, хол, 1-й поверх
вул.Шамрила Тимофія, 4, м.Київ, 04112","2256","921","2238","19","1320","15","1335","","0","1320","15","1335","34","1301","208","123","4","5","7","8","7","35","12","374","9","1","9","1","1","397","10","1","0","42","41","0",""
"801026","223","м.Київ","індустріальний технікум, хол, 1-й поверх
вул.Новоукраїнська, 24А, м.Київ, 04112","2464","1180","2448","6","1278","6","1284","","0","0","0","1284","42","1242","216","49","6","4","9","4","4","35","17","319","18","3","3","2","2","436","27","3","1","43","30","1",""
"801027","223","м.Київ","Київський національний економічний університет, хол, корпус 1, 1-й поверх
просп.Перемоги, 54/1, м.Київ, 03057","1992","1002","2038","0","990","0","990","","0","990","0","990","14","976","224","38","2","2","6","2","4","24","6","254","6","1","204","0","3","158","10","1","0","11","9","0",""
"801028","223","м.Київ","Київський національний економічний університет, вестибюль, хол, корпус 2, 1-й поверх
вул.Дегтярівська, 49Г, м.Київ, 03113","2116","1081","2191","0","1035","0","1035","","0","1035","0","1035","17","1018","205","24","6","2","6","3","5","37","7","271","7","2","77","6","2","292","13","2","1","23","19","1",""
"801029","223","м.Київ","школа №82, спортивний зал, 1-й поверх
вул.Шпака, 4, м.Київ, 03113","2420","1051","2418","17","1353","16","1369","","0","1344","16","1360","32","1328","223","105","1","10","8","0","1","35","9","487","9","2","8","14","2","330","17","1","1","27","30","1",""
"801030","223","м.Київ","школа №82, хол, 1-й поверх
вул.Шпака, 4, м.Київ, 03113","2148","804","2152","16","1334","10","1344","","0","1334","10","1344","47","1297","241","133","2","9","13","5","7","52","17","416","20","0","8","11","3","239","20","5","0","30","60","1",""
"801031","223","м.Київ","ліцей бізнесу, їдальня, 1-й поверх
вул.Лагерна, 30-32, м.Київ, 03113","2300","802","2296","29","1477","21","1498","","0","1477","21","1498","36","1462","226","158","5","1","5","5","3","50","19","477","18","4","9","4","2","336","21","1","2","48","63","0",""
"801032","223","м.Київ","школа №163, їдальня, 1-й поверх
вул.Баумана, 30, м.Київ, 03190","2472","940","2443","11","1524","8","1532","","0","1524","8","1532","31","1501","214","146","2","2","7","1","10","40","28","444","33","0","10","11","2","421","20","3","1","49","52","0",""
"801033","223","м.Київ","школа №172, хол, 1-й поверх
вул.Піка Вільгельма, 30/32, м.Київ, 03190","2464","973","2452","14","1477","14","1491","","0","1477","14","1491","34","1457","194","129","2","5","5","2","6","43","17","400","48","0","5","7","2","529","4","3","1","20","30","0",""
"801034","223","м.Київ","Учбово-курсовий комбінат КП""Київжитлоспецексплуатація"", вестибюль
вул.Баумана, 32, м.Київ, 03190","1784","809","1769","3","972","3","975","","0","972","3","975","37","938","139","55","4","2","2","3","2","37","5","271","27","0","8","18","3","277","14","3","0","27","37","0",""
"801035","223","м.Київ","Київське вище професійне училище сервісу і дизайну, хол, 1-й поверх
вул.Баумана, 8, м.Київ, 03190","1944","779","1935","9","1156","9","1165","","0","1156","9","1165","45","1120","168","97","2","2","8","1","2","43","23","262","18","2","8","3","3","367","19","3","0","52","30","0",""
"801036","223","м.Київ","школа №175, хол, 1-й поверх
вул.Щербакова, 58А, м.Київ, 04128","2420","1019","2396","31","1374","27","1401","","0","1374","27","1401","37","1364","189","132","2","4","9","4","5","53","21","375","33","0","2","14","4","403","18","2","0","38","49","2",""
"801037","223","м.Київ","школа №175, хол, 2-й поверх
вул.Щербакова, 58А, м.Київ, 04128","2460","1022","2433","22","1425","13","1438","","0","1425","13","1438","50","1388","211","93","1","4","6","1","10","51","25","355","31","1","2","13","4","462","25","7","1","34","42","5",""
"801038","223","м.Київ","гуртожиток Національного університету харчових технологій, каб.118, 1-й поверх
вул.Естонська, 8А, м.Київ, 03190","1584","602","1583","13","970","12","982","","0","970","12","982","39","943","154","96","1","1","7","4","10","36","13","268","21","0","5","4","4","237","14","2","0","34","27","2",""
"801039","223","м.Київ","Київське вище професійне училище сервісу та дизайну, хол, 1-й поверх
вул.Баумана, 8, м.Київ, 03190","1768","778","1751","9","984","6","990","","0","984","6","990","35","955","167","79","2","0","8","3","3","37","14","270","9","1","4","4","2","272","12","0","1","27","33","2",""
"801040","223","м.Київ","будинок дитячої творчості, каб.12, 1-й поверх
вул.Щербакова, 18, м.Київ, 03062","1720","677","1705","7","1038","5","1043","","0","0","0","1043","26","1017","202","102","3","2","4","1","4","43","14","269","17","4","3","4","1","257","22","1","1","33","25","2",""
"801041","223","м.Київ","школа №95, хол, 1-й поверх
вул.Щербакова, 61Г, м.Київ, 04128","2396","1041","2404","22","1339","16","1355","","0","1339","16","1355","39","1316","209","104","1","15","5","3","6","44","21","405","13","2","5","4","5","383","21","2","1","28","32","2",""
"801042","223","м.Київ","школа №95, хол, 2-й поверх
вул.Щербакова, 61Г, м.Київ, 04128","2292","989","2278","20","1291","12","1303","","0","1291","12","1303","41","1262","162","57","9","5","9","2","7","34","18","389","17","1","7","2","0","468","15","1","0","21","32","0",""
"801043","223","м.Київ","стадіон ""Піонер"", хол, 1-й поверх
вул.Академіка Туполєва, 22Д, м.Київ, 04128","1792","697","1797","11","1086","9","1095","","0","1086","9","1095","22","1073","139","78","2","9","8","1","3","23","25","282","12","3","6","4","3","395","22","2","0","23","27","0",""
"801044","223","м.Київ","школа №27, хол, 1-й поверх
вул.Академіка Туполєва, 20Є, м.Київ, 04128","2324","1035","2309","16","1279","10","1289","","0","1279","10","1289","33","1256","184","79","3","13","6","1","12","49","27","401","12","2","7","12","1","360","17","0","3","24","36","0",""
"801045","223","м.Київ","школа №27, хол, 2-й поверх
вул.Академіка Туполєва, 20Є, м.Київ, 04128","2472","924","2472","14","1535","13","1548","","0","1535","13","1548","31","1517","236","107","1","9","8","0","11","55","43","465","19","0","7","7","0","438","20","6","1","39","36","1",""
"801046","223","м.Київ","бібліотека імені Костомарова, читальний зал, 2-й поверх
вул.Щербакова, 51В, м.Київ, 04111","2452","1030","2458","17","1407","15","1422","","0","1405","15","1420","44","1376","198","103","3","5","9","0","6","43","41","357","18","1","5","10","6","457","32","2","2","32","40","1",""
"801047","223","м.Київ","КП ЖЕК ""Нивки"", конференц зал, 1-й поверх
вул.Щербакова, 47В, м.Київ, 04111","2308","1157","2305","8","1146","5","1151","","0","1146","5","1151","32","1119","164","70","0","2","6","3","2","37","19","274","36","2","4","4","2","410","15","8","2","26","26","2",""
"801048","223","м.Київ","школа №73, спортивна зала, 1-й поверх
просп.Перемоги, 86, м.Київ, 03062","1896","892","1881","9","998","6","1004","","0","998","6","1004","29","975","124","78","2","3","8","0","1","26","25","278","16","3","6","7","2","322","12","3","0","22","29","1",""
"801049","223","м.Київ","школа №73, актова зала, 1-й поверх
просп.Перемоги, 86, м.Київ, 03062","2416","883","2405","23","1518","15","1533","","0","1518","15","1533","49","1484","234","119","5","7","3","5","16","44","14","409","25","0","8","2","2","477","9","3","0","47","47","3",""
"801050","223","м.Київ","Центр ендокринології та обміну речовин, хол, 1-й поверх
вул.Пушкінська, 22А, м.Київ, 01004","176","144","37","1","31","1","32","","0","31","1","32","4","28","3","2","0","0","0","0","0","5","0","4","0","0","0","2","0","7","0","2","0","3","0","0",""
"801051","223","м.Київ","Міська клінічна лікарня №18, хол, 2-й поверх
бульв.Шевченка Тараса, 17, м.Київ, 01004","432","196","244","85","153","83","236","","0","153","83","236","11","225","42","15","1","1","3","1","1","10","5","34","5","1","2","2","1","63","10","3","2","14","6","1",""
"801052","223","м.Київ","Національний антарктичний науковий центр МОН України, хол, 1-й поверх
бульв.Шевченка Тараса, 16, м.Київ, 01004","0","1","11","0","11","0","11","","0","11","0","11","0","11","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0",""
"801053","223","м.Київ","Міська клінічна лікарня №16, хол, 3-й поверх
вул.Рейтерська, 22, м.Київ, 01034","412","354","64","5","53","5","58","","0","53","5","58","3","55","5","4","0","0","0","0","0","5","0","9","4","0","2","0","1","17","2","2","0","1","2","1",""
"801054","223","м.Київ","Дорожня клінічна лікарня №1, коридор, 1-й поверх
вул.Коцюбинського Михайла, 8А, м.Київ, 01030","212","155","63","8","52","5","57","","0","52","5","57","5","52","10","3","1","0","3","0","1","5","0","10","1","0","1","0","0","6","3","1","0","2","4","1",""
