"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Кіріца
Юрій
Іванович","Клімов
Леонід
Михайлович","Мадон
Ігор
Іванович","Мартинюк
Сергій
Яковлевич","Салтановський
Микола
Васильович","Сокерчак
В’ячеслав
Михайлович","Сорока
Віктор
Петрович","Дата підписання протоколу"
"510070","137","Одеська область","міжшкільний навчально-виробничий комбінат, актова зала
вул.Уварова, 95, м.Балта, Балтський р-н, Одеська обл., 66101","1416","855","1387","23","540","21","561","","0","540","21","561","9","552","79","229","6","16","36","62","124","29.10.12"
"510071","137","Одеська область","АТП 15170, актова зала
вул.Калініна, 53, м.Балта, Балтський р-н, Одеська обл., 66101","1936","1160","1901","45","732","44","776","","0","732","44","776","37","739","104","340","9","19","29","101","137","30.10.12"
"510072","137","Одеська область","школа №2, вестибюль
вул.Шевченка, 4, м.Балта, Балтський р-н, Одеська обл., 66101","1224","549","1202","16","661","14","675","","0","661","14","675","26","649","53","317","9","23","26","87","134","29.10.12"
"510073","137","Одеська область","дитячий садок №9, актова зала, 1-й поверх
вул.Котовського, 75, м.Балта, Балтський р-н, Одеська обл., 66101","1560","735","1542","30","796","29","825","","0","796","29","825","37","788","88","340","14","39","35","91","181","29.10.12"
"510074","137","Одеська область","дитячий садок №6, актова зала
вул.Гагаріна, 74, м.Балта, Балтський р-н, Одеська обл., 66101","1584","745","1540","19","822","17","839","","0","822","17","839","35","804","85","366","8","26","32","93","194","29.10.12"
"510075","137","Одеська область","школа №3, актова зала, 1-й поверх
вул.Уварова, 43, м.Балта, Балтський р-н, Одеська обл., 66101","1352","695","1346","19","642","15","657","","0","642","15","657","20","637","84","250","7","28","41","84","143","28.10.12"
"510076","137","Одеська область","ветеринарна лікарня, актова зала
вул.50 років Жовтня, 111, м.Балта, Балтський р-н, Одеська обл., 66101","936","460","914","14","462","14","476","","0","462","14","476","23","453","61","198","7","17","27","46","97","28.10.12"
"510077","137","Одеська область","будинок культури, глядацька зала
вул.Уварова, 33, м.Балта, Балтський р-н, Одеська обл., 66101","1096","572","1084","12","512","12","524","","0","511","12","523","25","498","56","212","11","35","13","61","110","29.10.12"
"510078","137","Одеська область","музична школа, актова зала
вул.Котовського, 284, м.Балта, Балтський р-н, Одеська обл., 66101","1240","595","1217","28","624","21","645","","0","624","21","645","25","620","69","208","8","27","31","143","134","29.10.12"
"510079","137","Одеська область","дитячий садок №11, актова зала
вул.Леніна, 57, м.Балта, Балтський р-н, Одеська обл., 66101","1512","786","1528","9","719","7","726","","0","719","7","726","27","699","91","286","6","33","25","84","174","28.10.12"
"510080","137","Одеська область","школа №1, актова зала, 2-й поверх
вул.Котовського, 296, м.Балта, Балтський р-н, Одеська обл., 66101","1256","626","1211","37","600","30","630","","0","600","30","630","19","611","72","271","8","23","28","70","139","28.10.12"
"510081","137","Одеська область","сільський клуб, актова зала
вул.Стуса, 91, с.Андріяшівка, Балтський р-н, Одеська обл., 66151","312","128","305","15","170","14","184","","0","170","14","184","12","172","14","66","2","3","13","9","65","28.10.12"
"510082","137","Одеська область","школа, фойє
вул.Миру, 52, с.Бендзари, Балтський р-н, Одеська обл., 66150","792","305","803","40","449","38","487","","0","449","38","487","20","467","45","171","8","18","33","40","152","29.10.12"
"510083","137","Одеська область","сільський клуб, актова зала
вул.Центральна, 2, с.Борсуки, Балтський р-н, Одеська обл., 66126","336","82","333","39","216","38","254","","0","216","38","254","8","246","15","133","1","1","73","13","10","29.10.12"
"510084","137","Одеська область","будинок культури, фойє
вул.Анатолія Висоцького, 87А, с.Оленівка, Балтський р-н, Одеська обл., 66143","640","203","651","66","371","66","437","","0","371","66","437","15","422","20","258","10","17","25","38","54","29.10.12"
"510085","137","Одеська область","клуб, глядацька зала
вул.Механізаторів, 2, с.Євтодія, Балтський р-н, Одеська обл., 66142","296","73","292","27","199","24","223","","0","199","24","223","7","216","13","122","1","9","16","17","38","29.10.12"
"510086","137","Одеська область","будинок культури, глядацька зала
вул.Лесі Українки, 2, с.Кармалюківка, Балтський р-н, Одеська обл., 66141","360","148","354","23","194","18","212","","0","194","18","212","6","206","8","125","2","3","4","14","50","28.10.12"
"510087","137","Одеська область","сільська рада, актова зала
вул.Леніна, 15А, с.Білине, Балтський р-н, Одеська обл., 66161","1104","531","1093","94","494","79","573","","0","494","79","573","18","555","38","237","8","3","48","41","180","29.10.12"
"510088","137","Одеська область","будинок культури, фойє
вул.Привокзальна, 1, с.Білине, Балтський р-н, Одеська обл., 66161","896","426","885","46","426","44","470","","0","426","44","470","18","452","21","235","4","3","14","27","148","29.10.12"
"510089","137","Одеська область","школа, фойє
вул.Капітана Стефанчука, 1, с.Піщана, Балтський р-н, Одеська обл., 66110","1080","503","1085","109","482","95","577","","0","482","95","577","20","557","48","187","20","5","57","82","158","29.10.12"
"510090","137","Одеська область","будинок культури, велика зала
вул.Василя Приходько, 9, с.Піщана, Балтський р-н, Одеська обл., 66110","936","425","931","68","461","50","511","","0","461","50","511","23","488","29","138","11","7","20","87","196","28.10.12"
"510091","137","Одеська область","будинок культури, фойє
вул.Кудрявцева, 148, с.Плоске, Балтський р-н, Одеська обл., 66133","712","278","708","55","389","45","434","","0","389","45","434","19","415","38","165","13","11","49","63","76","28.10.12"
"510092","137","Одеська область","будинок культури, фойє
вул.Шевченка, 24, с.Чернече, Балтський р-н, Одеська обл., 66125","592","148","601","72","379","65","444","","0","379","65","444","13","431","17","298","3","8","8","21","76","29.10.12"
"510093","137","Одеська область","сільський клуб, актова зала
вул.Грушевського, 74, с.Волова, Балтський р-н, Одеська обл., 66115","208","57","207","27","124","27","151","","0","124","27","151","5","146","9","82","6","5","10","22","12","29.10.12"
"510094","137","Одеська область","сільська рада, зала засідань
вул.Шевченка, 14, с.Ухожани, Балтський р-н, Одеська обл., 66114","304","81","290","23","201","22","223","","0","201","22","223","5","218","11","111","4","11","19","49","13","28.10.12"
"510095","137","Одеська область","ФАП, маніпуляційна
вул.Хмельницького, 8, с.Крижовлин, Балтський р-н, Одеська обл., 66114","96","30","88","16","53","13","66","","0","53","13","66","1","65","5","25","7","8","4","7","9","29.10.12"
"510096","137","Одеська область","клуб, глядацька зала
вул.Центральна, 7, с.Кринички, Балтський р-н, Одеська обл., 66121","168","62","161","7","99","7","106","","0","99","7","106","8","98","15","27","1","1","8","10","36","29.10.12"
"510097","137","Одеська область","будинок культури, глядацька зала
вул.Шевченка, 25, с.Ракулове, Балтський р-н, Одеська обл., 66122","296","90","295","27","181","25","206","","0","181","25","206","2","204","7","41","3","9","4","12","128","29.10.12"
"510098","137","Одеська область","клуб, глядацька зала
вул.Центральна, 13, с.Шляхове, Балтський р-н, Одеська обл., 66120","320","101","312","34","186","33","219","","0","186","33","219","10","209","6","58","5","2","9","15","114","28.10.12"
"510099","137","Одеська область","будинок культури, актова зала
вул.Миру, 73, с.Мирони, Балтський р-н, Одеська обл., 66144","496","66","520","51","389","41","430","","0","389","41","430","3","427","19","288","3","11","24","38","44","29.10.12"
"510100","137","Одеська область","будинок культури, глядацька зала
вул.Лесі Українки, 27, с.Гербине, Балтський р-н, Одеська обл., 66111","328","100","314","25","208","20","228","","0","208","20","228","19","209","20","85","6","1","10","19","68","29.10.12"
"510101","137","Одеська область","будинок культури, глядацька зала
вул.Шевченка, 100, с.Гольма, Балтський р-н, Одеська обл., 66154","608","229","611","32","351","28","379","","0","351","28","379","15","364","23","160","9","9","16","34","113","28.10.12"
"510102","137","Одеська область","школа, фойє
вул.Грушевського, 89, с.Гольма, Балтський р-н, Одеська обл., 66154","360","115","370","35","211","34","245","","0","211","34","245","11","234","20","110","8","5","18","9","64","29.10.12"
"510103","137","Одеська область","будинок культури, глядацька зала
вул.Шкільна, 8, с.Козацьке, Балтський р-н, Одеська обл., 66131","408","132","414","39","244","32","276","","0","244","32","276","16","260","21","135","5","3","13","21","62","29.10.12"
"510104","137","Одеська область","будинок культури, фойє
вул.Шевченка, 117, с.Коритне, Балтський р-н, Одеська обл., 66130","464","116","460","82","269","79","348","","0","269","79","348","12","336","17","193","2","7","36","24","57","28.10.12"
"510105","137","Одеська область","будинок культури, актова зала
вул.Перемоги, 8, с.Лісничівка, Балтський р-н, Одеська обл., 66127","456","161","448","25","270","25","295","","0","270","25","295","16","279","33","120","3","11","42","15","55","28.10.12"
"510106","137","Одеська область","приміщення будинку культури, глядацька зала
вул.Кодимська,1, с.Обжиле, Балтський р-н, Одеська обл., 66140","408","127","409","37","246","35","281","","0","246","35","281","9","272","24","167","4","3","17","20","37","28.10.12"
"510107","137","Одеська область","контора, бухгалтерія
вул.Дячишина, 45, с.Березівка, Балтський р-н, Одеська обл., 66140","232","78","224","20","134","20","154","","0","134","20","154","6","148","7","104","0","1","10","16","10","28.10.12"
"510108","137","Одеська область","сільська рада, актова зала
вул.Степана Олійника, 100, с.Пасицели, Балтський р-н, Одеська обл., 66162","392","137","386","39","219","36","255","","0","219","36","255","4","251","7","78","2","4","19","15","126","29.10.12"
"510109","137","Одеська область","школа, столова
вул.Степана Олійника, 50, с.Пасицели, Балтський р-н, Одеська обл., 66162","320","127","315","34","162","31","193","","0","162","31","193","7","186","1","41","1","1","11","10","121","29.10.12"
"510110","137","Одеська область","сільська рада, актова зала
вул.Дмитра Мазура, 67, с.Пасат, Балтський р-н, Одеська обл., 66132","456","70","471","68","322","64","386","","0","322","64","386","17","369","23","148","6","14","46","31","101","29.10.12"
"510111","137","Одеська область","контора, актова зала
вул.Лесі Українки, 70Д, с.Немирівське, Балтський р-н, Одеська обл., 66153","408","170","408","30","210","28","238","","0","210","28","238","6","232","35","116","4","3","13","20","41","28.10.12"
"510112","137","Одеська область","дитячий садок, спальна кімната
вул.Шевченка, 87А, с.Перельоти, Балтський р-н, Одеська обл., 66152","568","307","563","28","237","24","261","","0","237","24","261","6","255","22","115","7","12","8","23","68","29.10.12"
"510113","137","Одеська область","сільська рада, актова зала
вул.Шевченка, 113, с.Перейма, Балтський р-н, Одеська обл., 66124","496","182","488","72","252","62","314","","0","252","62","314","16","298","12","93","3","8","15","9","158","29.10.12"
"510114","137","Одеська область","школа, фойє
вул.Перемоги, 6, с.Пужайкове, Балтський р-н, Одеська обл., 66112","1440","689","1424","97","661","90","751","","0","661","90","751","16","735","18","168","8","4","20","37","480","29.10.12"
"510115","137","Одеська область","клуб, глядацька зала
вул.Зарічна, 7, с.Савранське, Балтський р-н, Одеська обл., 66113","160","63","151","16","85","12","97","","0","85","12","97","0","97","2","62","3","0","0","12","18","30.10.12"
"510116","137","Одеська область","сільська рада, зала засідань
вул.Шевченка, 82, с.Сінне, Балтський р-н, Одеська обл., 66160","480","148","472","26","308","24","332","","0","308","24","332","11","321","18","147","16","10","23","33","74","29.10.12"
"510117","137","Одеська область","школа, актова зала
вул.Хмельницького, 154, с.Саражинка, Балтський р-н, Одеська обл., 66123","672","161","661","67","454","57","511","","0","454","57","511","13","498","26","252","3","16","105","21","75","28.10.12"
"510441","137","Одеська область","Центр дитячої та юнацької творчості, актова зала
вул.Єлісеєва, 55, м.Кодима, Кодимський р-н, Одеська обл., 66000","1480","745","1465","49","688","47","735","","0","688","47","735","23","712","124","285","24","20","46","95","118","29.10.12"
"510442","137","Одеська область","школа №2, фойє, 1-й поверх
вул.Комунарна, 11, м.Кодима, Кодимський р-н, Одеська обл., 66000","1728","793","1713","43","894","41","935","","0","894","41","935","26","909","158","377","21","16","91","96","150","29.10.12"
"510443","137","Одеська область","будинок культури, мала зала
пл.Перемоги, 4, м.Кодима, Кодимський р-н, Одеська обл., 66000","1672","861","1649","36","783","28","811","","0","783","28","811","20","791","132","296","23","10","44","124","162","29.10.12"
"510444","137","Одеська область","ПП ""Рима"", актова зала
вул.Калініна, 22, м.Кодима, Кодимський р-н, Одеська обл., 66000","1592","899","1585","35","662","31","693","","0","662","31","693","28","665","93","201","29","24","130","90","98","29.10.12"
"510445","137","Одеська область","школа-ліцей №1, коридор, 1-й поверх
вул.Леніна, 113, м.Кодима, Кодимський р-н, Одеська обл., 66000","1504","755","1479","23","729","20","749","","0","729","20","749","4","745","125","268","21","24","45","134","128","29.10.12"
"510446","137","Одеська область","будинок культури, актова зала
вул.Бульварна, 8А, смт Слобідка, Кодимський р-н, Одеська обл., 66050","912","407","899","41","471","34","505","","0","471","34","505","20","485","66","224","16","16","51","46","66","29.10.12"
"510447","137","Одеська область","школа, фойє, 1-й поверх
вул.Леніна, 2, смт Слобідка, Кодимський р-н, Одеська обл., 66050","864","397","857","50","420","47","467","","0","420","47","467","33","434","62","204","31","15","43","44","35","29.10.12"
"510448","137","Одеська область","сільський клуб, актова зала
вул.Терешкової, 11, с.Правда, Кодимський р-н, Одеська обл., 66050","64","15","58","1","48","1","49","","0","48","1","49","0","49","9","25","1","3","2","0","9","28.10.12"
"510449","137","Одеська область","школа, фойє, 1-й поверх
вул.Леніна, школа, с.Баштанків, Кодимський р-н, Одеська обл., 66010","872","388","858","65","436","48","484","","0","436","48","484","14","470","48","185","26","26","56","48","81","29.10.12"
