"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аверкієва
Наталя
Віталіївна","Азаров
Вячеслав
Валентинович","Акімова
Ірина
Валентинівна","Атанасов
Віталій
Георгійович","Бакутін
Олег
Ігоревич","Бизу
Вадим
Степанович","Биковський
Юрій
Петрович","Білецький
Олег
Валерійович","Бовбалан
Сергій
Іванович","Боріна
Ірина
Миколаївна","Братчук
Сергій
Борисович","Вареничев
Володимир
Миколайович","Васильченко
Олег
Вячеславович","Векю
Олександр
Семенович","Гливий
Юрій
Дмитрович","Дубіненко
Сергій
Іванович","Єсенович
Ірина
Ігорівна","Костенко
Ольга
Василівна","Лашманов
Володимир
Іванович","Локайчук
Валерій
Федорович","Сомов
Олександр
Олегович","Труханов
Геннадій
Леонідович","Дата підписання протоколу"
"511219","136","Одеська область","ТОВ ""Ветінструмент"", вестибюль
вул.Боженка, 19Б, м.Одеса, 65098","2272","1492","2275","13","768","12","780","","0","768","12","780","51","729","7","29","8","2","5","2","2","5","24","8","67","38","1","3","1","6","4","10","2","11","95","399",""
"511221","136","Одеська область","Офісне пріміщення ПП Жуков В.М.
вул.Паркова, 75к.Є, м.Одеса, 65031","1788","1068","1798","4","717","3","720","","0","717","3","720","38","682","7","17","9","2","5","1","3","9","37","5","118","31","1","3","1","3","5","10","4","16","103","292",""
"511340","136","Одеська область","дошкільний заклад №88, спортивна зала, 1-й поверх
вул.Балківська, 42Б, м.Одеса, 65110","2456","1374","2448","25","1061","21","1082","","0","1061","21","1082","34","1048","4","23","15","9","6","2","1","9","55","8","121","43","2","3","4","1","4","29","9","20","217","463",""
"511341","136","Одеська область","школа №5, вестибюль, 1-й поверх
вул.Балківська, 42, м.Одеса, 65110","2396","1233","2372","29","1139","24","1163","","0","1139","24","1163","39","1124","10","27","13","1","8","0","1","10","28","8","140","66","1","3","1","2","8","12","12","16","208","549",""
"511342","136","Одеська область","школа-інтернат №1, хореографічна зала, 1-й поверх
пл.Молоді, 17, м.Одеса, 65006","2476","1580","2457","16","883","13","896","","0","883","13","896","42","854","10","24","15","1","6","0","2","5","46","5","88","36","2","3","2","4","5","19","4","10","192","375",""
"511343","136","Одеська область","школа-інтернат №1, спортивна зала, 1-й поверх
пл.Молоді, 17, м.Одеса, 65006","2364","1504","2353","19","843","17","860","","0","843","17","860","32","828","8","23","7","6","1","3","3","10","42","3","95","31","3","7","4","4","6","17","3","14","140","398",""
"511344","136","Одеська область","школа №76, вестибюль, 1-й поверх
вул.Академіка Воробйова, 24, м.Одеса, 65006","2451","1497","2442","22","935","19","954","","0","935","19","954","68","886","2","21","13","5","2","4","2","7","33","10","117","56","0","2","3","4","9","24","7","13","135","417",""
"511345","136","Одеська область","школа №76, спортивна зала, 1-й поверх
вул.Академіка Воробйова, 24, м.Одеса, 65006","2396","1414","2400","17","972","10","982","","0","972","10","982","55","927","6","17","8","7","19","3","5","11","27","12","134","44","3","14","3","1","21","22","11","10","154","395",""
"511346","136","Одеська область","школа №61, вестибюль, 1-й поверх
вул.Академіка Воробйова, 20, м.Одеса, 65031","2464","1470","2453","9","987","7","994","","0","987","7","994","38","956","8","13","6","1","7","0","1","7","31","1","113","48","2","5","2","2","9","12","4","18","185","481",""
"511347","136","Одеська область","школа №11, вестибюль, 1-й поверх
вул.Академіка Воробйова, 6, м.Одеса, 65031","2448","1410","2442","30","1016","22","1038","","0","1016","22","1038","46","992","5","23","11","2","3","0","1","5","49","8","115","41","4","2","0","0","2","16","4","16","184","501",""
"511348","136","Одеська область","гуртожиток №1 Одеського медичного університету, їдальня, 2-й поверх
вул.Сергія Ядова, 4А, м.Одеса, 65031","2392","1325","2374","29","1043","24","1067","","0","1042","24","1066","45","1021","12","48","9","11","5","2","6","16","40","8","138","43","7","10","4","1","17","26","11","12","178","417",""
"511349","136","Одеська область","школа №125, вестибюль, 1-й поверх
вул.Кругова, 1, м.Одеса, 65055","2424","1612","2402","19","799","13","812","","0","799","13","812","37","775","3","25","7","6","3","2","1","13","26","4","73","38","5","6","0","8","7","12","4","9","143","380",""
"511350","136","Одеська область","школа №125, спортивна зала, 1-й поверх
вул.Кругова, 1, м.Одеса, 65055","2408","1544","2392","23","846","18","864","","0","846","18","864","34","830","4","15","10","2","5","2","1","1","21","4","90","27","3","1","5","1","4","12","5","11","122","484",""
"511351","136","Одеська область","гуртожиток №3 Одеського медичного університету, фойє, 1-й поверх
вул.Академіка Воробйова, 11, м.Одеса, 65006","2480","1588","2467","23","872","20","892","","0","872","20","892","40","852","6","38","12","7","2","3","3","4","25","10","111","32","1","4","3","4","9","32","5","11","144","386",""
"511352","136","Одеська область","фірма ""ЕЛАКС"", їдальня, 2-й поверх
вул.Вапняна, 87, м.Одеса, 65006","2464","1706","2445","42","729","29","758","","0","728","29","757","39","718","3","8","8","3","3","1","1","2","16","2","49","41","3","2","1","2","7","3","3","7","159","394",""
"511353","136","Одеська область","клуб ВАТ ""ЛУКОЙЛ-ОНПЗ"", фойє, 1-й поверх
вул.Шкодова гора, 1/1, м.Одеса, 65041","1112","701","1099","9","403","8","411","","0","403","8","411","11","400","2","13","7","0","6","0","2","0","6","3","34","20","2","1","2","1","2","9","1","3","74","212",""
"511354","136","Одеська область","школа №127, вестибюль, 1-й поверх
дорога Хаджибейська, 32, м.Одеса, 65041","1592","1114","1597","12","467","11","478","","0","467","11","478","32","446","5","12","7","2","2","0","2","0","9","1","28","22","1","1","0","4","6","7","4","4","84","245",""
"511355","136","Одеська область","ВАТ ""Одеська ТЕЦ"", актова зала, 1-й поверх
вул.Церковна, 29, м.Одеса, 65003","2224","1484","2222","28","717","23","740","","0","717","23","740","30","710","1","14","7","1","9","3","2","8","22","4","87","48","0","2","0","1","13","11","2","10","136","329",""
"511356","136","Одеська область","технікум Одеської національної академії харчових технологій, читальна зала, 1-й поверх
вул.Чорноморського козацтва, 12, м.Одеса, 65003","2100","1444","2092","23","636","20","656","","0","635","20","655","22","633","5","15","5","3","3","1","2","3","27","3","66","22","0","1","0","2","5","10","2","7","111","340",""
"511357","136","Одеська область","клуб ВАТ ""Одессільмаш"", глядацька зала, 2-й поверх
вул.Чорноморського козацтва, 72, м.Одеса, 65003","2340","1609","2323","13","722","9","731","","0","722","9","731","25","706","7","18","9","0","2","1","1","3","12","3","59","31","0","0","0","1","2","6","3","4","104","440",""
"511358","136","Одеська область","комітет СОН ""Балтський"", актова зала, 1-й поверх
дорога Балтська, 38, м.Одеса, 65042","2440","1639","2409","24","785","16","801","","0","785","16","801","32","769","1","7","11","3","1","0","2","0","25","19","2","52","0","4","2","2","2","6","5","4","101","520",""
"511359","136","Одеська область","школа №41, вестибюль, 1-й поверх
пл.Мічуріна, 9, м.Одеса, 65042","1744","1182","1733","21","547","15","562","","0","547","15","562","25","537","3","9","6","2","3","2","0","0","17","0","36","26","2","2","0","3","1","0","2","2","66","355",""
"511360","136","Одеська область","дошкільний заклад-школа №187, вестибюль, 1-й поверх
вул.Посівна, 11, м.Одеса, 65096","1240","666","1243","20","556","18","574","","0","556","18","574","21","553","2","6","3","0","0","2","0","3","21","0","31","13","0","3","0","0","0","6","3","3","67","390",""
"511361","136","Одеська область","школа №30, вестибюль, 1-й поверх
вул.Чорноморського козацтва, 175, м.Одеса, 65013","2380","1574","2348","28","780","26","806","","0","780","26","806","16","790","1","13","6","0","1","2","1","1","19","2","55","35","0","3","0","1","2","9","2","1","99","537",""
"511362","136","Одеська область","палац культури курорту ""Куяльник"", фойє, 1-й поверх
Курорт ""Куяльник"", м.Одеса, 65013","1260","816","1261","8","436","8","444","","0","436","8","444","14","430","0","4","2","0","1","0","0","3","5","1","19","9","0","0","0","0","5","3","0","2","40","336",""
"511363","136","Одеська область","школа №23, вестибюль, 1-й поверх
дорога Миколаївська, 283, м.Одеса, 65102","2384","1376","2377","25","985","23","1008","","0","985","23","1008","27","981","3","10","6","3","1","0","1","2","22","6","65","32","2","4","0","3","5","7","1","2","150","656",""
"511364","136","Одеська область","школа №23, фойє, 1-й поверх
дорога Миколаївська, 283, м.Одеса, 65102","2140","1237","2130","34","882","21","903","","0","882","21","903","29","874","6","19","6","1","1","2","1","4","20","2","51","29","1","1","1","0","6","10","3","6","126","578",""
"511365","136","Одеська область","дільниця №7 КП ЖКС ""Пересипський"", актова зала, 1-й поверх
вул.Лузанівська, 67, м.Одеса, 65102","2140","1160","2135","33","955","25","980","","0","954","25","979","34","945","3","7","4","1","1","3","1","3","23","3","66","23","1","1","2","1","1","10","7","7","162","615",""
"511374","136","Одеська область","школа №40, фойє, 1-й поверх
вул.Затонського, 15А, м.Одеса, 65025","2108","1083","2090","30","998","27","1025","","0","998","27","1025","20","1005","2","14","6","1","1","1","4","4","19","5","88","39","0","1","4","0","0","10","6","8","152","640",""
"511375","136","Одеська область","школа №40, вестибюль, 1-й поверх
вул.Затонського, 15А, м.Одеса, 65025","2292","1257","2279","26","1015","20","1035","","0","1015","20","1035","35","1000","4","11","4","3","2","3","2","3","15","2","92","34","2","1","0","1","4","11","3","6","141","656",""
"511376","136","Одеська область","школа №40, їдальня, 1-й поверх
вул.Затонського, 15А, м.Одеса, 65025","2420","1321","2409","20","1085","14","1099","","0","1085","14","1099","35","1064","5","20","7","0","5","2","1","5","29","2","72","41","2","0","1","0","11","9","7","5","162","678",""
"511377","136","Одеська область","школа №49, спортивна зала, 1-й поверх
вул.Затонського, 12, м.Одеса, 65025","2060","1051","2038","22","987","22","1009","","0","987","22","1009","31","978","2","14","9","1","5","1","3","2","29","3","75","51","3","4","0","2","4","7","4","10","179","570",""
"511378","136","Одеська область","школа №49, вестибюль, 1-й поверх
вул.Затонського, 12, м.Одеса, 65025","2224","1074","2218","27","1132","18","1150","","0","1132","18","1150","27","1123","4","21","8","3","3","4","0","4","17","7","105","36","2","0","1","1","6","12","2","13","188","686",""
"511379","136","Одеська область","школа №49, фойє, 1-й поверх
вул.Затонського, 12, м.Одеса, 65025","2168","1323","2158","17","832","13","845","","0","832","13","845","31","814","2","12","5","3","5","0","1","2","18","1","55","32","0","2","0","1","9","8","3","9","147","499",""
"511380","136","Одеська область","дошкільний заклад №266, зала у лівому крилі, 1-й поверх
вул.Затонського, 6А, м.Одеса, 65025","2112","1180","2102","24","915","17","932","","0","915","17","932","33","899","6","17","9","4","1","4","1","8","39","7","69","41","1","1","1","3","4","10","1","10","117","545",""
"511381","136","Одеська область","дошкільний заклад №266, зала у правому крилі, 1-й поверх
вул.Затонського, 6А, м.Одеса, 65025","2156","1101","2149","21","1038","17","1055","","0","1038","17","1055","24","1031","3","12","8","1","4","2","0","2","34","2","80","56","1","0","2","3","6","10","0","8","182","615",""
"511382","136","Одеська область","школа №67, їдальня, 1-й поверх
вул.Генерала Бочарова, 14А, м.Одеса, 65111","2472","1287","2454","35","1151","34","1185","","0","1151","34","1185","44","1141","4","16","11","4","4","1","2","1","42","3","80","67","4","3","0","4","3","15","8","11","168","690",""
"511383","136","Одеська область","школа №67, спортивна зала, 1-й поверх
вул.Генерала Бочарова, 14А, м.Одеса, 65111","2468","1251","2449","31","1197","20","1217","","0","1197","20","1217","37","1180","7","17","7","1","2","1","0","2","28","2","81","53","1","3","0","0","5","5","5","5","214","741",""
"511384","136","Одеська область","школа №67, вестибюль, 1-й поверх
вул.Генерала Бочарова, 14А, м.Одеса, 65111","2432","1579","2413","14","839","14","853","","0","839","14","853","29","824","5","23","4","3","2","1","1","3","16","2","43","42","1","0","1","1","6","7","7","6","127","523",""
"511385","136","Одеська область","школа №71, спортивна зала, 1-й поверх
вул.Паустовського, 17, м.Одеса, 65111","2336","1232","2322","23","1090","14","1104","","0","1090","14","1104","51","1053","3","14","8","2","2","1","1","5","33","4","79","45","1","1","0","6","6","6","7","5","171","653",""
"511386","136","Одеська область","школа №71, вестибюль, 1-й поверх
вул.Паустовського, 17, м.Одеса, 65111","2384","1218","2377","23","1146","20","1166","","0","1146","20","1166","41","1125","3","14","7","3","4","3","1","3","37","3","77","55","3","4","1","2","4","12","2","4","175","708",""
"511387","136","Одеська область","профтехучилище Одеської Державної академії холоду, фойє, 1-й поверх
вул.Паустовського, 12, м.Одеса, 65111","2416","1244","2416","104","1091","81","1172","","0","1091","81","1172","49","1123","6","17","7","3","5","1","2","3","40","3","66","46","2","2","2","2","2","8","5","19","176","706",""
"511388","136","Одеська область","школа №22, вестибюль у правому крилі, 1-й поверх
вул.Махачкалинська, 4, м.Одеса, 65111","2296","1130","2286","18","1151","15","1166","","0","1151","15","1166","32","1134","3","9","11","5","7","0","2","2","42","4","76","52","2","0","0","3","4","14","2","5","182","709",""
"511389","136","Одеська область","школа №22, спортивна зала, 1-й поверх
вул.Махачкалинська, 4, м.Одеса, 65111","2248","1151","2234","20","1081","16","1097","","0","1081","16","1097","42","1055","3","13","6","2","1","4","0","5","31","3","92","52","2","0","0","2","2","10","4","4","165","654",""
"511390","136","Одеська область","школа №22, вестибюль у лівому крилі, 1-й поверх
вул.Махачкалинська, 4, м.Одеса, 65111","2200","1032","2193","35","1140","28","1168","","0","1140","28","1168","49","1119","7","18","6","5","2","2","3","2","39","3","66","40","0","5","1","2","3","13","3","10","219","670",""
"511391","136","Одеська область","школа №17, вестибюль у лівому крилі, 1-й поверх
вул.Махачкалинська, 7, м.Одеса, 65111","2388","1147","2376","32","1215","26","1241","","0","1215","26","1241","40","1201","7","18","9","3","1","0","0","2","31","2","102","41","0","4","2","1","6","12","2","6","209","743",""
"511392","136","Одеська область","школа №17, їдальня, 1-й поверх
вул.Махачкалинська, 7, м.Одеса, 65111","2372","1154","2350","24","1198","20","1218","","0","1198","20","1218","33","1185","3","16","7","1","2","2","2","4","47","4","102","56","4","1","3","1","4","14","8","10","191","703",""
"511393","136","Одеська область","школа №17, спортивна зала, 1-й поверх
вул.Махачкалинська, 7, м.Одеса, 65111","2380","1167","2364","32","1187","26","1213","","0","1186","26","1212","39","1173","0","15","11","1","2","1","0","2","39","6","98","42","1","0","1","3","0","2","4","11","205","729",""
"511394","136","Одеська область","КП ЖКС ""Північний"", актова зала, 1-й поверх
дорога Дніпропетровська, 118, м.Одеса, 65025","2304","1066","2282","23","1221","17","1238","","0","1221","17","1238","37","1201","0","14","7","2","1","1","2","7","31","4","87","40","0","7","0","2","1","6","5","11","180","793",""
"511395","136","Одеська область","школа №15, їдальня, 1-й поверх
вул.Кримська, 80А, м.Одеса, 65025","2216","1097","2201","19","1103","16","1119","","0","1103","16","1119","37","1082","1","12","4","3","1","0","3","1","17","5","71","32","1","3","2","1","0","4","3","4","175","739",""
"511396","136","Одеська область","школа №15, вестибюль у лівому крилі, 1-й поверх
вул.Кримська, 80А, м.Одеса, 65025","2288","1056","2278","24","1211","21","1232","","0","1211","21","1232","30","1202","3","18","1","3","3","2","0","6","34","4","79","47","1","2","0","0","5","6","7","3","183","795",""
"511397","136","Одеська область","школа №15, спортивна зала, 1-й поверх
вул.Кримська, 80А, м.Одеса, 65025","2151","1029","2141","27","1103","19","1122","","0","1103","19","1122","30","1092","0","12","4","1","4","1","0","3","28","0","64","40","2","2","1","0","3","6","4","8","122","787",""
"511398","136","Одеська область","школа №24, спортивна зала, 1-й поверх
вул.Академіка Заболотного, 38А, м.Одеса, 65025","2336","1199","2312","17","1122","15","1137","","0","1122","15","1137","33","1104","2","14","7","2","0","0","0","3","37","4","85","33","0","3","0","2","1","6","2","8","185","710",""
"511399","136","Одеська область","школа №24, вестибюль у правому крилі, 1-й поверх
вул.Академіка Заболотного, 38А, м.Одеса, 65025","2196","1073","2168","17","1106","17","1123","","0","1106","17","1123","34","1089","1","9","3","4","4","1","2","0","27","3","80","32","1","1","0","2","4","8","3","8","209","687",""
"511400","136","Одеська область","школа №24, їдальня, 1-й поверх
вул.Академіка Заболотного, 38А, м.Одеса, 65025","2204","1236","2196","12","960","8","968","","0","960","8","968","23","945","4","11","5","4","3","2","3","1","27","1","97","33","1","5","0","1","6","20","7","8","183","523",""
"511401","136","Одеська область","дошкільний заклад №292, спортивна зала, 1-й поверх
вул.Академіка Заболотного, 35А, м.Одеса, 65069","2260","1037","2236","14","1212","11","1223","","0","1212","11","1223","29","1194","1","9","1","2","1","1","2","1","22","3","90","30","2","1","0","1","3","7","5","15","156","841",""
"511402","136","Одеська область","школа №13, вестибюль у правому крилі, 1-й поверх
вул.Кримська, 62А, м.Одеса, 65069","2304","1038","2276","24","1248","18","1266","","0","1248","18","1266","42","1224","1","5","4","4","1","1","5","4","24","2","69","41","1","3","0","0","4","3","2","4","124","922",""
"511403","136","Одеська область","школа №13, їдальня, 1-й поверх
вул.Кримська, 62А, м.Одеса, 65069","2292","1131","2268","33","1136","25","1161","","0","1136","25","1161","35","1126","5","6","8","3","1","2","0","1","33","7","57","39","0","0","0","2","5","6","2","2","154","793",""
"511404","136","Одеська область","школа №13, вестибюль у лівому крилі, 1-й поверх
вул.Кримська, 62А, м.Одеса, 65069","2120","1020","2103","21","1082","18","1100","","0","1082","18","1100","32","1068","2","7","2","2","2","0","1","0","22","4","52","28","1","1","0","0","4","10","3","4","112","811",""
"511405","136","Одеська область","спортивна школа №8, спортивна зала, 1-й поверх
вул.Героїв Сталінграду, 76А, м.Одеса, 65069","2400","1219","2379","17","1166","15","1181","","0","1166","15","1181","37","1144","2","12","7","1","6","1","1","6","18","3","81","38","0","1","0","1","3","1","2","5","141","814",""
"511406","136","Одеська область","школа №14, вестибюль у правому крилі, 1-й поверх
вул.Кримська, 56А, м.Одеса, 65069","2136","962","2121","18","1160","14","1174","","0","1160","14","1174","18","1156","2","8","8","3","0","0","0","4","30","3","77","28","2","1","0","2","9","8","1","7","203","760",""
"511407","136","Одеська область","школа №14, фойє, 1-й поверх
вул.Кримська, 56А, м.Одеса, 65069","2132","1188","2119","10","935","9","944","","0","935","9","944","21","923","0","3","2","2","2","1","0","5","18","2","91","34","1","3","0","0","1","5","1","2","174","576",""
"511408","136","Одеська область","школа №14, спортивна зала, 1-й поверх
вул.Кримська, 56А, м.Одеса, 65069","1952","1042","1943","10","900","10","910","","0","900","10","910","20","890","1","5","1","1","3","1","0","1","10","3","83","26","0","1","0","0","2","3","2","3","140","604",""
"511409","136","Одеська область","дошкільний заклад №299, спортивна зала, 1-й поверх
Десантний бульвар, 1А, м.Одеса, 65069","1840","815","1841","22","1007","18","1025","","0","1007","18","1025","22","1003","3","8","6","0","2","0","1","1","34","2","69","29","0","2","2","2","3","3","2","3","147","684",""
"511410","136","Одеська область","дошкільний заклад №293, спортивно-ігрова зала, 1-й поверх
вул.Марсельська, 24А, м.Одеса, 65069","2070","963","2054","17","1093","14","1107","","0","1093","14","1107","36","1071","0","6","1","2","2","1","0","3","33","6","67","22","0","2","0","1","0","3","2","6","161","753",""
"511411","136","Одеська область","школа №44, фойє, 1-й поверх
вул.Героїв Сталінграду, 36, м.Одеса, 65069","2060","960","2045","8","1093","7","1100","","0","1093","7","1100","27","1073","5","12","0","0","1","3","2","2","29","4","79","50","2","3","1","3","0","11","4","3","187","672",""
"511412","136","Одеська область","школа №44, вестибюль у правому крилі, 1-й поверх
вул.Героїв Сталінграду, 36, м.Одеса, 65069","2140","1010","2122","17","1115","15","1130","","0","1115","15","1130","34","1096","3","15","3","0","5","1","1","9","20","3","56","39","0","2","0","0","2","8","3","15","153","758",""
"511413","136","Одеська область","школа №44, їдальня, 1-й поверх
вул.Героїв Сталінграду, 36, м.Одеса, 65069","1940","1046","1923","23","873","21","894","","0","873","21","894","22","872","3","8","3","4","2","0","2","4","23","2","48","34","2","0","1","0","4","8","4","1","130","589",""
"511414","136","Одеська область","гімназія №7, вестибюль у правому крилі, 1-й поверх
вул.Ростовська, 4А, м.Одеса, 65086","2068","1167","2066","20","890","11","901","","0","890","11","901","30","871","0","7","3","0","2","1","2","0","37","5","84","26","0","0","1","0","3","9","5","4","198","484",""
"511415","136","Одеська область","гімназія №7, вестибюль у лівому крилі, 1-й поверх
вул.Ростовська, 4А, м.Одеса, 65086","2096","1151","2092","24","928","17","945","","0","928","17","945","19","926","2","8","4","1","2","2","0","3","29","1","65","46","1","1","0","1","3","8","1","4","158","586",""
"511416","136","Одеська область","гімназія №7, фойє, 1-й поверх
вул.Ростовська, 4А, м.Одеса, 65086","2248","1083","2228","21","1148","17","1165","","0","1148","17","1165","51","1114","1","8","3","1","1","0","2","3","27","5","64","55","1","2","1","0","3","11","1","6","163","756",""
