"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барвіненко
Віталій
Дмитрович","Воробйова
Наталя
Олександрівна","Дубовий
Олександр
Іванович","Кесарчук
Вадим
Вікторович","Мойсейченко
Геннадій
Петрович","Сердцевич
Володимир
Дмитрович","Сидоренко
Пилип
Степанович","Степаненко
Андрій
Миколайович","Юшкевич
Микола
Сергійович","Ярошенко
Віталій
Веніамінович","Дата підписання протоколу"
"510212","141","Одеська область","школа, кл.1
вул.Гагаріна, 30, с.Зеленівка, Білгород-Дністровський р-н, Одеська обл., 67741","90","43","89","5","42","5","47","","0","42","5","47","1","46","31","5","4","0","0","0","5","1","0","0","28.10.12"
"510213","141","Одеська область","сільська рада, актовий зал
вул.Горького, 34, с.Старокозаче, Білгород-Дністровський р-н, Одеська обл., 67730","1956","1067","1949","59","846","43","889","","0","846","43","889","34","855","442","31","248","21","6","15","67","12","1","12","29.10.12"
"510214","141","Одеська область","школа, фойє
вул.Комсомольська, 8, с.Старокозаче, Білгород-Дністровський р-н, Одеська обл., 67730","1842","926","1826","66","856","60","916","","0","856","60","916","40","876","444","12","285","18","0","7","90","15","1","4","29.10.12"
"510215","141","Одеська область","школа, фойє
вул.Леніна, 137А, с.Стара Царичанка, Білгород-Дністровський р-н, Одеська обл., 67723","1200","592","1193","47","577","31","608","","0","577","31","608","37","571","239","14","253","7","4","2","37","6","2","7","29.10.12"
"510216","141","Одеська область","будинок культури, танцювальний зал
вул.Кочубинського, 75, с.Удобне, Білгород-Дністровський р-н, Одеська обл., 67731","1326","593","1307","88","657","76","733","","0","657","76","733","37","696","225","10","340","18","1","3","80","11","3","5","29.10.12"
"510217","141","Одеська область","будинок культури, зал
вул.Радянська, 8Б, с.Біленьке, Білгород-Дністровський р-н, Одеська обл., 67771","900","489","873","21","390","21","411","","0","390","21","411","18","393","197","13","124","2","5","7","31","7","0","7","29.10.12"
"510218","141","Одеська область","Клуб ТОВ ""Агрофірма Шабо"", зал
вул.Островського, 9, с.Шабо, Білгород-Дністровський р-н, Одеська обл., 67770","1422","714","1409","36","681","27","708","","0","681","27","708","38","670","295","34","170","11","7","14","102","20","6","11","29.10.12"
"510219","141","Одеська область","школа №1, спортзал
вул.Шанцера, 1, с.Шабо, Білгород-Дністровський р-н, Одеська обл., 67770","2136","1271","2124","56","818","47","865","","0","818","47","865","66","799","378","32","191","26","6","23","87","36","4","16","29.10.12"
"510220","141","Одеська область","будинок культури, хол
вул.Леніна, 35А, с.Шабо, Білгород-Дністровський р-н, Одеська обл., 67770","2448","1270","2428","29","1157","21","1178","","0","1157","21","1178","66","1112","538","38","267","28","13","31","154","27","4","12","29.10.12"
"510221","141","Одеська область","сільська рада, обрядовий зал
вул.Леніна, 10, с.Широке, Білгород-Дністровський р-н, Одеська обл., 67764","870","406","862","71","406","58","464","","0","406","58","464","31","433","218","12","151","10","2","5","27","3","0","5","29.10.12"
"510407","141","Одеська область","районна санітарно-епідеміологічна станція, актова зала
вул.Лермонтова, 29, м.Кілія, Кілійський р-н, Одеська обл., 68300","1596","909","1578","7","683","4","687","","0","683","4","687","27","660","134","20","397","11","26","1","56","3","2","10","29.10.12"
"510408","141","Одеська область","ВАТ ""Рута і К"", актова зала
вул.Кубишкіна, 20, м.Кілія, Кілійський р-н, Одеська обл., 68300","1206","643","1185","25","542","21","563","","0","542","21","563","24","539","140","11","296","10","12","0","58","4","1","7","29.10.12"
"510409","141","Одеська область","школа №2, актова зала
вул.Леніна, 2, м.Кілія, Кілійський р-н, Одеська обл., 68300","1416","826","1417","22","573","17","590","","0","573","17","590","27","563","112","11","391","1","9","0","33","2","0","4","28.10.12"
"510410","141","Одеська область","районний будинок культури, мала зала
вул.Гагаріна, 23, м.Кілія, Кілійський р-н, Одеська обл., 68300","1566","885","1534","18","666","15","681","","0","666","15","681","36","645","123","14","443","1","14","44","1","1","2","2","29.10.12"
"510411","141","Одеська область","школа №1, спортивна зала
вул.Гагаріна, 46, м.Кілія, Кілійський р-н, Одеська обл., 68300","1548","932","1508","36","592","24","616","","0","592","24","616","19","597","117","15","380","0","14","7","54","4","3","3","29.10.12"
"510412","141","Одеська область","школа №3, їдальня
вул.Кіченка, 71, м.Кілія, Кілійський р-н, Одеська обл., 68300","2460","1476","2396","21","963","21","984","","0","963","21","984","42","942","156","18","640","4","22","4","79","7","2","10","31.10.12"
"510413","141","Одеська область","ТОВ ""Блакитна нива 2005"", фойє
вул.Леніна, 137, м.Кілія, Кілійський р-н, Одеська обл., 68300","1530","892","1520","15","623","15","638","","0","623","15","638","26","612","99","19","415","8","25","0","37","2","2","5","29.10.12"
"510414","141","Одеська область","ТОВ ""Південне"", червоний куток
вул.Белінського, 21, м.Кілія, Кілійський р-н, Одеська обл., 68300","1260","835","1258","16","415","10","425","","0","415","10","425","24","401","89","14","242","3","5","0","41","4","1","2","28.10.12"
"510415","141","Одеська область","школа №5, спортивна зала
вул.Кірова, 108, м.Кілія, Кілійський р-н, Одеська обл., 68300","1218","678","1202","17","526","14","540","","0","526","14","540","25","515","78","6","390","3","11","2","21","1","1","2","31.10.12"
"510416","141","Одеська область","СВК ""Маяк"", мала зала
вул.Будьоного, 71, м.Кілія, Кілійський р-н, Одеська обл., 68300","1692","934","1683","17","744","14","758","","0","744","14","758","37","721","107","10","532","1","11","3","50","4","2","1","29.10.12"
"510417","141","Одеська область","міський будинок культури №2, фойє
вул.Маяк, 96, м.Кілія, Кілійський р-н, Одеська обл., 68300","1152","696","1144","10","450","6","456","","0","450","6","456","31","425","79","12","284","2","26","3","7","9","1","2","29.10.12"
"510418","141","Одеська область","клуб, актова зала
вул.Щорса, 155, м.Кілія, Кілійський р-н, Одеська обл., 68300","594","254","589","18","326","14","340","","0","326","14","340","11","329","29","6","268","1","2","0","20","1","1","1","28.10.12"
"510419","141","Одеська область","ТДВ ""ПМК-98"", їдальня
вул.Т.Повстання, 164, м.Вилкове, Кілійський р-н, Одеська обл., 68355","2184","1363","2142","29","801","20","821","","0","801","20","821","34","787","283","26","281","4","96","1","85","1","0","10","29.10.12"
"510420","141","Одеська область","школа-ліцей, вестибюль
вул.Т.Повстання, 40, м.Вилкове, Кілійський р-н, Одеська обл., 68355","1026","609","1020","32","389","28","417","","0","389","28","417","20","397","162","8","123","1","37","3","55","2","2","4","29.10.12"
"510421","141","Одеська область","школа №1, актова зала
вул.Леніна, 62, м.Вилкове, Кілійський р-н, Одеська обл., 68355","1392","920","1366","48","435","37","472","","0","435","37","472","27","445","208","18","126","0","41","1","45","0","3","3","29.10.12"
"510422","141","Одеська область","міська рада, зала засідань
вул.Кірова, 18, м.Вилкове, Кілійський р-н, Одеська обл., 68355","1158","742","1147","42","379","37","416","","0","379","37","416","10","406","212","7","119","3","31","1","28","1","2","2","29.10.12"
"510423","141","Одеська область","будинок культури, велика зала
вул.Леніна, 11, м.Вилкове, Кілійський р-н, Одеська обл., 68355","1404","822","1390","47","545","37","582","","0","545","37","582","38","544","215","18","184","0","51","3","63","1","5","4","28.10.12"
"510425","141","Одеська область","школа, фойє
вул.Дружби, 33, с.Мирне, Кілійський р-н, Одеська обл., 68340","1074","452","1066","50","586","36","622","","0","586","36","622","34","588","380","18","136","6","16","3","23","1","1","4","29.10.12"
"510426","141","Одеська область","школа, актова зала
вул.Шкільна, 37, с.Десантне, Кілійський р-н, Одеська обл., 68341","1194","608","1188","25","570","16","586","","0","570","16","586","21","565","103","12","410","2","10","1","16","3","4","4","28.10.12"
"510427","141","Одеська область","школа-дитячий садок, фойє
вул.Леніна, 34, с.Новомиколаївка, Кілійський р-н, Одеська обл., 68342","414","202","413","14","200","12","212","","0","200","12","212","16","196","36","8","131","0","1","1","14","1","2","2","28.10.12"
"510428","141","Одеська область","будинок культури, велика зала
вул.Леніна, 32, с.Приморське, Кілійський р-н, Одеська обл., 68350","1302","617","1290","38","649","36","685","","0","649","36","685","26","659","288","37","258","6","23","2","36","2","2","5","29.10.12"
"510431","141","Одеська область","школа-дитячий садок, вестибюль
вул.Шкільна, 16, с.Василівка, Кілійський р-н, Одеська обл., 68323","792","366","789","35","394","32","426","","0","394","32","426","15","411","139","6","187","3","1","1","72","1","0","1","29.10.12"
"510435","141","Одеська область","будинок культури, актова зала
вул.Леніна, 37, с.Ліски, Кілійський р-н, Одеська обл., 68354","1356","646","1346","30","684","26","710","","0","684","26","710","37","673","178","10","433","4","14","3","21","4","0","6","29.10.12"
"510439","141","Одеська область","центральна районна лікарня, вестибюль
вул.Кубишкіна, 19, м.Кілія, Кілійський р-н, Одеська обл., 68300","234","194","42","30","12","28","40","","0","12","28","40","2","38","9","0","24","0","0","0","3","2","0","0","28.10.12"
"510440","141","Одеська область","міська лікарня, вестибюль
вул.Леніна, 55, м.Вилкове, Кілійський р-н, Одеська обл., 68355","48","28","22","2","18","2","20","","0","18","2","20","0","20","8","0","11","0","0","0","1","0","0","0","28.10.12"
"510861","141","Одеська область","Палац культури, танцювальна зала
вул.Карла Маркса, 31А, м.Татарбунари, Татарбунарський р-н, Одеська обл., 68100","1776","850","1755","27","904","22","926","","0","904","22","926","51","875","256","40","417","7","21","6","109","5","3","11","29.10.12"
"510862","141","Одеська область","фабрика-кухня СВАТ ""Україна"", урочиста зала
вул.Московська, 1, м.Татарбунари, Татарбунарський р-н, Одеська обл., 68100","2064","1090","2029","42","942","32","974","","0","942","32","974","49","925","212","50","485","16","17","6","112","12","2","13","29.10.12"
"510863","141","Одеська область","професійно-технічне аграрне училище, фойє
вул.Карла Маркса, 1, м.Татарбунари, Татарбунарський р-н, Одеська обл., 68100","1332","762","1310","24","552","18","570","","0","552","18","570","34","536","120","25","284","12","3","4","69","6","3","10","29.10.12"
"510864","141","Одеська область","Палац спорту, спортивна зала
вул.Жовтнева, 1, м.Татарбунари, Татарбунарський р-н, Одеська обл., 68100","2094","1176","2032","27","899","19","918","","0","899","19","918","62","856","243","38","416","9","10","6","99","10","6","19","29.10.12"
"510865","141","Одеська область","школа №1, фойє
вул.Барінова, 10, м.Татарбунари, Татарбунарський р-н, Одеська обл., 68100","1566","883","1543","17","668","15","683","","0","668","15","683","46","637","204","16","288","10","10","1","89","5","4","10","29.10.12"
"510866","141","Одеська область","школа, актова зала
вул.Шевченка, 17, с.Базар’янка, Татарбунарський р-н, Одеська обл., 68162","804","438","794","32","336","30","366","","0","336","30","366","15","351","124","8","169","3","3","1","33","1","1","8","29.10.12"
"510867","141","Одеська область","сільський клуб, фойє
вул.Леніна, 59А, с.Баштанівка, Татарбунарський р-н, Одеська обл., 68111","684","291","671","45","358","35","393","","0","358","35","393","13","380","144","20","168","5","6","1","23","4","4","5","29.10.12"
"510868","141","Одеська область","Будинок культури, дискотечна зала
вул.Миру, 78А, с.Безім’янка, Татарбунарський р-н, Одеська обл., 68161","360","124","350","44","200","36","236","","0","200","36","236","8","228","127","5","66","2","0","0","27","0","0","1","31.10.12"
"510869","141","Одеська область","Будинок культури, фойє
вул.Леніна, 81А, с.Білолісся, Татарбунарський р-н, Одеська обл., 68130","1524","891","1512","72","575","58","633","","0","575","58","633","28","605","310","12","170","8","7","3","71","10","3","11","29.10.12"
"510870","141","Одеська область","Будинок культури, фойє
вул.Гагаріна, 50, с.Борисівка, Татарбунарський р-н, Одеська обл., 68112","1326","655","1313","61","619","52","671","","0","619","52","671","40","631","367","22","155","14","9","7","35","6","3","13","28.10.12"
"510871","141","Одеська область","Будинок культури, фойє
вул.Леніна, 50, с.Вишневе, Татарбунарський р-н, Одеська обл., 68131","1014","507","1003","58","461","46","507","","0","461","46","507","28","479","226","10","165","10","8","1","39","4","6","10","29.10.12"
"510872","141","Одеська область","Будинок культури, танцювальна зала
вул.Леніна, 35, с.Глибоке, Татарбунарський р-н, Одеська обл., 68113","858","402","847","50","412","44","456","","0","412","44","456","27","429","222","14","152","6","2","3","22","3","4","1","29.10.12"
"510873","141","Одеська область","Будинок культури, концертна зала
вул.Дружби, 18, с.Дивізія, Татарбунарський р-н, Одеська обл., 68150","702","301","693","28","375","26","401","","0","375","26","401","17","384","169","8","153","5","5","2","32","4","2","4","28.10.12"
"510874","141","Одеська область","магазин райспоживспілки, торговельна зала
вул.Дружби, 1, с.Дивізія, Татарбунарський р-н, Одеська обл., 68151","708","331","699","43","339","38","377","","0","339","38","377","16","361","139","11","156","4","7","1","38","0","3","2","31.10.12"
"510875","141","Одеська область","Будинок культури, фойє
вул.Гагаріна, 11В, с.Дмитрівка, Татарбунарський р-н, Одеська обл., 68110","1716","829","1695","72","822","65","887","","0","822","65","887","42","845","497","26","183","4","8","8","98","9","3","9","29.10.12"
"510876","141","Одеська область","школа, фойє
вул.Леніна, 115, с.Дмитрівка, Татарбунарський р-н, Одеська обл., 68110","1506","788","1488","86","637","81","718","","0","637","81","718","51","667","374","13","169","7","5","6","72","8","2","11","29.10.12"
"510877","141","Одеська область","сільський клуб, фойє
вул.Миру, 6, с.Жовтий Яр, Татарбунарський р-н, Одеська обл., 68152","546","232","538","35","285","29","314","","0","285","29","314","16","298","196","11","68","2","4","1","14","1","0","1","28.10.12"
"510878","141","Одеська область","сільський клуб, актова зала
вул.Леніна, 33, с.Маразліївка, Татарбунарський р-н, Одеська обл., 68152","222","81","218","12","129","12","141","","0","129","12","141","5","136","83","2","32","2","2","1","6","5","1","2","29.10.12"
"510879","141","Одеська область","сільський клуб, актова зала
вул.50 років Радянської влади, 18А, с.Нове, Татарбунарський р-н, Одеська обл., 68152","132","50","130","6","76","6","82","","0","76","6","82","4","78","54","3","16","0","1","0","4","0","0","0","28.10.12"
"510880","141","Одеська область","сільський клуб, актова зала
вул.Свердлова, 61А, с.Ройлянка, Татарбунарський р-н, Одеська обл., 68152","132","49","129","10","74","9","83","","0","74","9","83","3","80","35","0","32","0","0","0","10","0","1","2","28.10.12"
"510881","141","Одеська область","сільський клуб, актова зала
вул.Жовтнева, 123А, с.Кочкувате, Татарбунарський р-н, Одеська обл., 68133","342","116","339","22","205","21","226","","0","205","21","226","18","208","108","8","49","2","6","3","16","5","0","11","28.10.12"
"510882","141","Одеська область","Будинок культури, фойє
вул.Леніна, 47А, с.Лиман, Татарбунарський р-н, Одеська обл., 68141","1104","460","1134","108","572","72","644","","0","572","72","644","33","611","252","18","257","13","10","3","40","9","1","8","29.10.12"
"510883","141","Одеська область","школа, фойє
вул.Леніна, 38, с.Нерушай, Татарбунарський р-н, Одеська обл., 68122","696","357","686","47","300","39","339","","0","300","39","339","24","315","96","23","163","2","5","0","17","4","2","3","29.10.12"
"510884","141","Одеська область","Будинок культури, фойє
вул.Леніна, 81, с.Нерушай, Татарбунарський р-н, Одеська обл., 68122","654","282","647","34","340","32","372","","0","340","32","372","13","359","108","22","183","2","4","0","35","2","0","3","29.10.12"
"510885","141","Одеська область","школа, фойє
вул.Кірова, 56А, с.Приморське, Татарбунарський р-н, Одеська обл., 68142","1326","710","1311","66","558","58","616","","0","558","58","616","31","585","162","25","278","7","8","3","83","5","4","10","29.10.12"
"510886","141","Одеська область","сільський клуб, актова зала
вул.Суворова, 21А, с.Трихатки, Татарбунарський р-н, Одеська обл., 68142","72","41","67","5","28","3","31","","0","28","3","31","3","28","10","2","14","0","1","0","1","0","0","0","29.10.12"
"510887","141","Одеська область","Будинок культури, фойє
вул.Леніна, 20, с.Рибальське, Татарбунарський р-н, Одеська обл., 68132","492","188","485","37","277","27","304","","0","277","27","304","14","290","93","11","150","3","3","5","15","1","4","5","28.10.12"
"510888","141","Одеська область","школа, фойє
вул.Перемоги, 97, с.Струмок, Татарбунарський р-н, Одеська обл., 68120","1314","608","1300","92","621","85","706","","0","621","85","706","45","661","265","64","210","5","9","1","99","4","1","3","29.10.12"
"510889","141","Одеська область","школа, к.7
вул.Леніна, 128, с.Спаське, Татарбунарський р-н, Одеська обл., 68121","546","214","542","31","311","21","332","","0","311","21","332","20","312","129","29","91","2","7","4","29","8","5","8","28.10.12"
"510890","141","Одеська область","Будинок культури, актова зала
вул.Леніна, 71, с.Трапівка, Татарбунарський р-н, Одеська обл., 68140","738","354","733","43","342","42","384","","0","342","42","384","22","362","172","13","116","6","10","4","25","2","2","12","28.10.12"
"510891","141","Одеська область","сільський клуб, актова зала
вул.Миру, 67, с.Новоселиця, Татарбунарський р-н, Одеська обл., 68140","420","170","418","29","225","25","250","","0","225","25","250","10","240","111","15","79","1","3","0","29","0","1","1","28.10.12"
"510892","141","Одеська область","Будинок культури, фойє
вул.Завгороднього, 25, с.Тузли, Татарбунарський р-н, Одеська обл., 68160","1194","591","1182","56","558","45","603","","0","558","45","603","24","579","239","22","215","17","8","7","52","9","4","6","31.10.12"
"510893","141","Одеська область","сільський клуб, актова зала
вул.Кутузова, 57, с.Весела Балка, Татарбунарський р-н, Одеська обл., 68160","186","61","183","18","108","17","125","","0","108","17","125","5","120","64","5","29","4","2","2","9","3","0","2","29.10.12"
"510945","141","Одеська область","школа №1, вестибюль, коридор, 1-й поверх
вул.Калініна, 2, м.Білгород-Дністровський, Одеська обл., 67700","894","463","893","34","404","27","431","","0","404","27","431","19","412","165","9","110","16","5","5","76","21","1","4","29.10.12"
"510946","141","Одеська область","Білгород-Дністровське педагогічне училище, актова зала
вул.Пушкіна, 17, м.Білгород-Дністровський, Одеська обл., 67700","1788","896","1778","46","858","34","892","","0","858","34","892","39","853","407","22","171","26","5","14","162","27","4","15","29.10.12"
"510947","141","Одеська область","школа №3, вестибюль, 1-й поверх
вул.Франка, 9, м.Білгород-Дністровський, Одеська обл., 67700","2022","1026","1976","41","964","32","996","","0","964","32","996","41","955","390","28","170","48","5","23","234","48","2","7","29.10.12"
"510948","141","Одеська область","Державний аграрний технікум, спортивна зала
вул.Калініна, 47, м.Білгород-Дністровський, Одеська обл., 67700","2142","1147","2126","41","961","34","995","","0","961","34","995","61","934","404","38","184","33","5","18","192","46","1","13","29.10.12"
"510949","141","Одеська область","Морський рибопромисловий технікум, їдальня
вул.Калініна, 12, м.Білгород-Дністровський, Одеська обл., 67700","1560","842","1548","36","688","30","718","","0","688","30","718","32","686","273","29","153","34","2","28","128","25","2","12","29.10.12"
"510950","141","Одеська область","школа №5, актова зала, 1-й поверх
вул.Кірова, 13, м.Білгород-Дністровський, Одеська обл., 67700","1614","815","1660","31","776","23","799","","0","776","23","799","38","761","379","16","181","17","5","20","108","24","2","9","28.10.12"
"510951","141","Одеська область","Центр культури та дозвілля імені Т.Г.Шевченка, центральний вхід, фойє, 1-й поверх
вул.Жовтнева, 16, м.Білгород-Дністровський, Одеська обл., 67700","1128","687","1113","19","429","12","441","","0","429","12","441","24","417","183","12","102","22","3","10","64","14","1","6","28.10.12"
"510952","141","Одеська область","школа №2, актова зала
вул.Московська, 37, м.Білгород-Дністровський, Одеська обл., 67700","1350","731","1282","14","606","13","619","","0","606","13","619","28","591","230","25","133","37","4","15","95","35","2","15","29.10.12"
"510953","141","Одеська область","школа №6, спортивна зала, 1-й поверх
вул.Кишинівська, 74, м.Білгород-Дністровський, Одеська обл., 67700","2436","1341","2383","33","1074","21","1095","","0","1074","21","1095","67","1028","404","42","263","43","7","50","142","57","6","14","29.10.12"
"510954","141","Одеська область","швейна фабрика, гуртожиток, спортивна зала, 1-й поверх
вул.Вокзальна, 19А, м.Білгород-Дністровський, Одеська обл., 67700","1728","938","1712","42","767","23","790","","0","767","23","790","51","739","306","27","172","21","8","33","115","46","2","9","29.10.12"
"510955","141","Одеська область","школа №4, вестибюль, 1-й поверх
вул.Ізмаїльська, 130, м.Білгород-Дністровський, Одеська обл., 67700","2118","1185","2083","65","877","56","933","","0","877","56","933","52","881","330","36","190","28","4","42","194","46","2","9","29.10.12"
"510956","141","Одеська область","Професійне училище торгівлі та технологій харчування, фойє, 1-й поверх
вул.Толбухіна, 83, м.Білгород-Дністровський, Одеська обл., 67700","1890","1076","1872","34","785","29","814","","0","785","29","814","28","786","317","26","211","29","2","31","100","50","2","18","29.10.12"
"510957","141","Одеська область","школа №7, актова зала
вул.Кишинівська, 227, м.Білгород-Дністровський, Одеська обл., 67700","1194","757","1189","11","429","8","437","","0","429","8","437","51","386","148","13","87","32","5","7","66","21","2","5","29.10.12"
