"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Афанасьєв
Анатолій
Олександрович","Білалов
Алім
Елдарович","Борняков
Олександр
Сергійович","Іксар
Володимир
Леонтійович","Кіссе
Антон
Іванович","Марков
Олександр
Валентинович","Платонова
Тетяна
Борисівна","Плачков
Іван
Васильович","Плохой
Ігор
Іванович","Дата підписання протоколу"
"510312","142","Одеська область","школа, зала їдальні
вул.Шкільна, 71Е, с.Нові Трояни, Болградський р-н, Одеська обл., 68711","1520","710","1512","81","742","68","810","","0","742","68","810","9","801","18","4","35","5","364","0","1","274","100","29.10.12"
"510313","142","Одеська область","сільська рада, танцювальна зала
вул.Суворова, 14, с.Оксамитне, Болградський р-н, Одеська обл., 68740","1024","521","1012","37","472","31","503","","0","472","31","503","26","477","29","3","53","8","142","3","4","120","115","28.10.12"
"510314","142","Одеська область","будинок культури, глядацька зала
вул.Радянська, 98А, с.Олександрівка, Болградський р-н, Одеська обл., 68713","1800","912","1780","163","750","138","888","","0","750","138","888","27","861","4","2","16","11","439","0","2","55","332","29.10.12"
"510315","142","Одеська область","школа, фойє
вул.Кірова, 63А, с.Оріхівка, Болградський р-н, Одеська обл., 68721","1808","961","1788","158","711","136","847","","0","711","136","847","26","821","44","4","68","7","368","2","10","160","158","04.11.12"
"510317","142","Одеська область","будинок культури, зала одружень
вул.Іорданова, 1А, с.Червоноармійське, Болградський р-н, Одеська обл., 68720","2352","1305","2335","81","975","72","1047","","0","975","72","1047","33","1014","140","2","106","11","544","3","6","80","122","29.10.12"
"510318","142","Одеська область","школа №2, спортивна зала
вул.Пролетарська, 26, с.Червоноармійське, Болградський р-н, Одеська обл., 68720","2488","1434","2469","89","977","77","1054","","0","977","77","1054","32","1022","159","3","111","19","524","0","2","66","138","29.10.12"
"510424","142","Одеська область","школа, актова зала
вул.Леніна, 96, с.Старі Трояни, Кілійський р-н, Одеська обл., 68310","1632","827","1620","139","677","128","805","","0","677","128","805","22","783","70","13","58","14","345","11","4","39","229","05.11.12"
"510429","142","Одеська область","школа, актова зала
вул.Леніна, 97А, с.Дмитрівка, Кілійський р-н, Одеська обл., 68330","2176","1394","2155","73","732","50","782","","0","732","50","782","66","716","20","8","102","16","218","16","11","65","260","28.10.12"
"510430","142","Одеська область","будинок культури, танцювальна зала
вул.Родіна, 67, с.Приозерне, Кілійський р-н, Одеська обл., 68312","1248","586","1236","77","593","69","662","","0","593","69","662","52","610","15","7","72","26","280","3","10","47","150","04.11.12"
"510432","142","Одеська область","школа-садок, актова зала
вул.Шкільна, 30А, с.Червоний Яр, Кілійський р-н, Одеська обл., 68322","576","292","563","30","256","28","284","","0","256","28","284","6","278","35","5","34","10","24","1","2","38","129","29.10.12"
"510433","142","Одеська область","будинок культури, мала зала
вул.Леніна, 6, с.Трудове, Кілійський р-н, Одеська обл., 68331","1032","575","1012","67","407","50","457","","0","407","50","457","23","434","36","8","50","12","173","3","6","40","106","29.10.12"
"510434","142","Одеська область","будинок культури, велика зала
вул.Кірова, 1, с.Фурманівка, Кілійський р-н, Одеська обл., 68321","1024","540","1006","60","445","39","484","","0","445","39","484","23","461","26","8","96","11","154","4","5","17","140","05.11.12"
"510436","142","Одеська область","школа №1, актова зала
вул.Музики, 75, с.Шевченкове, Кілійський р-н, Одеська обл., 68332","1936","1043","1935","56","851","42","893","","0","851","42","893","48","845","37","6","378","14","19","3","8","183","197","29.10.12"
"510437","142","Одеська область","школа №2, спортивна зала
вул.8 Березня, 3, с.Шевченкове, Кілійський р-н, Одеська обл., 68332","1944","1014","1936","68","881","49","930","","0","881","49","930","52","878","32","6","454","14","21","2","9","166","174","05.11.12"
"510438","142","Одеська область","будинок культури, фойє
вул.Леніна, 58А, с.Новоселівка, Кілійський р-н, Одеська обл., 68320","1120","502","1102","72","553","65","618","","0","553","65","618","19","599","14","3","82","10","204","5","6","106","169","28.10.12"
"510781","142","Одеська область","будинок культури, глядацька зала
вул.Леніна, 9, с.Введенка, Саратський р-н, Одеська обл., 68230","672","251","667","25","397","24","421","","0","397","24","421","13","408","6","14","22","6","233","3","1","30","93","05.11.12"
"510782","142","Одеська область","школа, спортзала
вул.Виноградна, 9, с.Долинка, Саратський р-н, Одеська обл., 68253","624","259","618","8","360","5","365","","0","360","5","365","9","356","10","6","24","4","109","3","6","38","156","29.10.12"
"510783","142","Одеська область","будинок культури, глядацька зала
вул.Радянська, 54, с.Забари, Саратський р-н, Одеська обл., 68241","392","166","388","8","219","7","226","","0","219","7","226","8","218","4","2","37","3","77","1","3","17","74","28.10.12"
"510784","142","Одеська область","будинок культури, фойє
вул.Леніна, 159, с.Зоря, Саратський р-н, Одеська обл., 68251","2120","1120","2099","20","980","20","1000","","0","980","20","1000","42","958","33","8","113","19","536","3","1","76","169","29.10.12"
"510785","142","Одеська область","будинок культури, танцзала
вул.Леніна, 159, с.Зоря, Саратський р-н, Одеська обл., 68251","2056","1069","2043","13","975","12","987","","0","975","12","987","36","951","35","9","102","27","543","7","5","45","178","05.11.12"
"510786","142","Одеська область","будинок культури, фойє
вул.Шкільна, 121, с.Крива Балка, Саратський р-н, Одеська обл., 68243","960","300","884","83","578","82","660","","0","578","82","660","23","637","7","19","54","25","151","1","2","33","345","29.10.12"
"510787","142","Одеська область","сільський клуб, танцзала
вул.Лугова, 21, с.Над’ярне, Саратський р-н, Одеська обл., 68243","216","35","219","16","165","16","181","","0","165","16","181","1","180","6","4","9","2","48","1","5","11","94","05.11.12"
"510788","142","Одеська область","будинок культури, фойє
вул.Леніна, 47, с.Кулевча, Саратський р-н, Одеська обл., 68261","1384","659","1370","17","710","15","725","","0","710","15","725","42","683","50","31","141","22","166","2","8","52","211","29.10.12"
"510789","142","Одеська область","школа, фойє
вул.Леніна, 74, с.Кулевча, Саратський р-н, Одеська обл., 68261","1520","723","1495","25","782","15","797","","0","782","15","797","37","760","58","51","130","10","231","2","6","40","232","29.10.12"
"510790","142","Одеська область","школа, фойє
вул.Дзержинського, 42, с.Костянтинівка, Саратський р-н, Одеська обл., 68261","152","76","144","7","71","5","76","","0","71","5","76","3","73","2","4","26","1","6","1","0","7","26","29.10.12"
"510791","142","Одеська область","будинок культури, актова зала
вул.Леніна, 94, с.Михайлівка, Саратський р-н, Одеська обл., 68252","1376","714","1369","13","649","13","662","","0","649","13","662","20","642","13","13","147","19","138","4","8","102","198","04.11.12"
"510792","142","Одеська область","будинок культури, актова зала
вул.Шевченка, 16А, с.Міняйлівка, Саратський р-н, Одеська обл., 68210","960","549","936","32","383","28","411","","0","383","28","411","21","390","4","11","53","10","176","3","2","10","121","28.10.12"
"510793","142","Одеська область","школа, актова зала
вул.Леніна, 31А, с.Фуратівка, Саратський р-н, Одеська обл., 68210","216","85","211","6","125","6","131","","0","125","6","131","4","127","0","12","28","1","45","0","0","9","32","28.10.12"
"510794","142","Одеська область","будинок культури, к.1
вул.Леніна, 38, с.Мирнопілля, Саратський р-н, Одеська обл., 68223","480","203","474","33","248","29","277","","0","248","29","277","17","260","3","6","20","3","103","1","3","38","83","28.10.12"
"510795","142","Одеська область","будинок культури, танцзала
вул.Комсомольська, 78, с.Миколаївка-Новоросійська, Саратський р-н, Одеська обл., 68244","816","316","807","38","463","37","500","","0","463","37","500","32","468","13","4","61","9","277","0","2","25","77","29.10.12"
"510796","142","Одеська область","сільський клуб, танцзала
вул.Леніна, 42, с.Благодатне, Саратський р-н, Одеська обл., 68221","248","120","242","7","122","6","128","","0","122","6","128","3","125","0","7","21","7","45","0","0","7","38","05.11.12"
"510797","142","Одеська область","школа, фойє
вул.Леніна, 47, с.Надежда, Саратський р-н, Одеська обл., 68220","448","198","441","25","233","17","250","","0","233","17","250","7","243","7","7","43","5","44","0","3","56","78","04.11.12"
"510798","142","Одеська область","амбулаторія, фойє
вул.Леніна, 1А, с.Надежда, Саратський р-н, Одеська обл., 68220","568","254","562","21","293","21","314","","0","293","21","314","10","304","7","15","49","8","84","1","5","33","102","28.10.12"
"510799","142","Одеська область","радгосп Чорноморський, їдальня
вул.Октябрьська, с.Пасічне, Саратський р-н, Одеська обл., 68219","320","240","312","0","80","0","80","","0","80","0","80","2","78","5","1","13","0","29","0","1","7","22","28.10.12"
"510800","142","Одеська область","школа, фойє
вул.Шкільна, с.Новоселівка, Саратський р-н, Одеська обл., 68250","888","378","878","44","470","40","510","","0","470","40","510","26","484","5","8","33","5","230","3","6","67","127","04.11.12"
"510801","142","Одеська область","будинок культури, фойє
вул.Леніна, 68, с.Новоселівка, Саратський р-н, Одеська обл., 68250","1320","569","1304","50","703","48","751","","0","703","48","751","30","721","9","11","35","18","351","6","7","58","226","04.11.12"
"510802","142","Одеська область","сільський клуб, танцзала
вул.Леніна, 119, с.Петропавлівка, Саратський р-н, Одеська обл., 68211","736","342","717","13","383","11","394","","0","383","11","394","13","381","34","26","46","5","190","0","3","17","60","04.11.12"
"510803","142","Одеська область","школа №2, фойє
вул.Куйбишева, 57Б, с.Плахтіївка, Саратський р-н, Одеська обл., 68232","656","285","659","13","361","10","371","","0","361","10","371","19","352","17","12","54","13","103","2","1","73","77","28.10.12"
"510804","142","Одеська область","будинок культури, танцзала
вул.Шевченко, 52, с.Плахтіївка, Саратський р-н, Одеська обл., 68232","744","284","732","28","434","26","460","","0","434","26","460","20","440","15","9","62","14","142","2","5","103","88","28.10.12"
"510805","142","Одеська область","магазин ""Продукти"", торгова зала
вул.Кірова, 241Б, с.Плахтіївка, Саратський р-н, Одеська обл., 68232","696","288","683","36","376","32","408","","0","376","32","408","19","389","19","16","67","8","104","2","8","69","96","29.10.12"
"510806","142","Одеська область","школа №1, кабінет української мови
вул.Леніна, 287А, с.Плахтіївка, Саратський р-н, Одеська обл., 68232","720","292","711","32","400","28","428","","0","400","28","428","13","415","35","11","54","7","148","2","5","56","97","28.10.12"
"510807","142","Одеська область","школа №3, фойє
вул.Леніна, 167А, с.Плахтіївка, Саратський р-н, Одеська обл., 68232","744","378","725","20","349","17","366","","0","349","17","366","12","354","21","13","66","17","98","1","7","33","98","05.11.12"
"510808","142","Одеська область","будинок культури, танцзала
вул.Першотравнева, 2А, с.Розівка, Саратський р-н, Одеська обл., 68262","584","198","580","15","372","14","386","","0","372","14","386","18","368","13","11","44","15","68","4","0","43","170","28.10.12"
"510809","142","Одеська область","будинок культури, фойє
вул.Мічуріна, с.Ройлянка, Саратський р-н, Одеська обл., 68240","1264","504","1199","65","700","60","760","","0","700","60","760","20","740","22","27","149","14","325","2","6","49","146","29.10.12"
"510810","142","Одеська область","будинок культури, фойє
вул.Мічуріна, с.Світлодолинське, Саратський р-н, Одеська обл., 68231","672","255","676","34","389","28","417","","0","389","28","417","24","393","16","15","37","12","133","1","7","59","113","02.11.12"
"510811","142","Одеська область","будинок культури, танцзала
вул.Леніна, 146, с.Сергіївка, Саратський р-н, Одеська обл., 68263","928","438","920","53","442","48","490","","0","442","48","490","27","463","25","8","58","11","128","2","4","44","183","28.10.12"
"510812","142","Одеська область","школа, фойє
вул.Шкільна, 25, с.Старосілля, Саратський р-н, Одеська обл., 68212","1152","602","1142","69","490","60","550","","0","490","60","550","28","522","5","14","36","18","231","2","3","29","184","29.10.12"
"510813","142","Одеська область","будинок культури, танцзала
вул.Кишинівська, 71, с.Успенівка, Саратський р-н, Одеська обл., 68242","1472","729","1465","45","700","43","743","","0","700","43","743","30","713","31","18","87","16","219","4","9","127","202","29.10.12"
"510814","142","Одеська область","будинок культури, фойє
вул.Леніна, 90, с.Фараонівка, Саратський р-н, Одеська обл., 68213","1216","647","1272","33","538","31","569","","0","538","31","569","31","538","8","258","22","3","72","1","7","32","135","29.10.12"
"510815","142","Одеська область","сільський клуб, танцзала
вул.Шкільна, 90, с.Пшеничне, Саратський р-н, Одеська обл., 68214","288","142","289","2","144","2","146","","0","144","2","146","12","134","1","12","9","0","39","1","1","7","64","28.10.12"
"510816","142","Одеська область","будинок культури, фойє
вул.Леніна, 57Б, с.Ярославка, Саратський р-н, Одеська обл., 68260","928","467","895","38","427","34","461","","0","427","34","461","21","440","19","21","94","6","79","4","8","76","133","29.10.12"
"510817","142","Одеська область","будинок культури, глядацька зала
вул.Миру, 1, с.Великорибальське, Саратський р-н, Одеська обл., 68260","40","9","33","0","31","0","31","","0","31","0","31","7","24","2","1","6","0","3","0","1","2","9","28.10.12"
"510818","142","Одеська область","школа, спортзала
вул.Леніна, 85, смт Сарата, Саратський р-н, Одеська обл., 68200","2056","1095","2040","29","937","24","961","","0","937","24","961","40","921","95","88","155","29","220","5","12","140","177","29.10.12"
"510819","142","Одеська область","будинок культури, фойє
вул.Карла Маркса, 73, смт Сарата, Саратський р-н, Одеська обл., 68200","2120","1022","2058","40","1063","35","1098","","0","1063","35","1098","44","1054","110","78","209","39","241","7","13","153","204","04.11.12"
"510820","142","Одеська область","лікарня, зала засідань
вул.Котовського, 2, смт Сарата, Саратський р-н, Одеська обл., 68200","256","218","46","22","17","21","38","","0","17","21","38","0","38","1","2","3","0","17","0","2","3","10","28.10.12"
"510821","142","Одеська область","школа, фойє
вул.Шевченка, 7, смт Березине, Тарутинський р-н, Одеська обл., 68542","1344","707","1328","43","594","43","637","","0","594","43","637","27","610","22","3","5","35","221","1","2","78","243","28.10.12"
"510822","142","Одеська область","будинок культури, фойє
вул.Радянська, 123, смт Березине, Тарутинський р-н, Одеська обл., 68542","1168","635","1139","43","494","39","533","","0","494","39","533","22","511","10","2","49","6","147","0","6","84","207","04.11.12"
"510823","142","Одеська область","будинок культури, фойє
вул.Леніна, 121А, смт Бородіно, Тарутинський р-н, Одеська обл., 68540","1232","662","1214","27","549","21","570","","0","549","21","570","22","548","48","3","44","5","203","2","1","82","160","29.10.12"
"510824","142","Одеська область","адмінбудівля ДГ ""Комунар"", фойє
вул.Радянська, 49, с.Весела Долина, Тарутинський р-н, Одеська обл., 68544","736","392","717","28","318","26","344","","0","318","26","344","13","331","12","6","26","5","111","1","3","51","116","29.10.12"
"510825","142","Одеська область","школа, фойє
вул.Леніна, 92, с.Виноградівка, Тарутинський р-н, Одеська обл., 68550","1192","473","1173","77","650","69","719","","0","650","69","719","9","710","9","4","18","5","496","0","7","76","95","28.10.12"
"510826","142","Одеська область","будинок культури, фойє
вул.Чапаєва, 62, с.Височанське, Тарутинський р-н, Одеська обл., 68511","752","311","738","22","419","22","441","","0","419","22","441","17","424","5","1","14","15","94","2","3","46","244","04.11.12"
"510827","142","Одеська область","будинок культури, фойє
вул.Леніна, 55/3, с.Вільне, Тарутинський р-н, Одеська обл., 68556","1200","529","1186","91","587","84","671","","0","587","84","671","4","667","7","0","34","5","332","1","2","133","153","04.11.12"
"510828","142","Одеська область","будинок культури, фойє
вул.Леніна, 76, с.Вознесенка Друга, Тарутинський р-н, Одеська обл., 68514","424","181","416","18","225","18","243","","0","225","18","243","9","234","0","1","15","2","119","2","0","27","68","28.10.12"
"510829","142","Одеська область","школа, фойє
вул.Шкільна, 16А, с.Червоне, Тарутинський р-н, Одеська обл., 68514","464","205","456","21","241","18","259","","0","241","18","259","11","248","2","0","21","6","133","1","1","29","55","28.10.12"
"510830","142","Одеська область","сільський клуб, фойє
вул.Центральна, 23, с.Ганнівка, Тарутинський р-н, Одеська обл., 68531","560","234","550","20","308","18","326","","0","308","18","326","15","311","8","1","14","2","86","0","2","68","130","28.10.12"
"510831","142","Одеська область","ЗОШ I-III ст., спортивна зала
вул.Шкільна, 33, с.Євгенівка, Тарутинський р-н, Одеська обл., 68515","1056","417","1041","109","538","101","639","","0","538","101","639","13","626","12","0","5","4","533","0","3","21","48","04.11.12"
"510832","142","Одеська область","будинок культури, фойє
вул.Тарутинська, 9, с.Красне, Тарутинський р-н, Одеська обл., 68552","1032","500","1021","23","512","20","532","","0","512","20","532","22","510","22","2","56","16","180","0","10","46","178","29.10.12"
"510833","142","Одеська область","будинок культури, фойє
вул.Леніна, 53, с.Калачівка, Тарутинський р-н, Одеська обл., 68521","512","251","499","12","252","9","261","","0","252","9","261","15","246","6","2","9","6","119","0","0","34","70","28.10.12"
"510834","142","Одеська область","сільський клуб, актова зала
вул.Калініна, 36, с.Слобідка, Тарутинський р-н, Одеська обл., 68521","232","72","230","3","157","3","160","","0","157","3","160","6","154","7","0","11","3","41","0","1","15","76","03.11.12"
"510835","142","Одеська область","дитячий садок ""Берізка"", актова зала
вул.Заводська, 19, с.Ламбрівка, Тарутинський р-н, Одеська обл., 68534","504","288","495","0","216","0","216","","0","216","0","216","6","210","8","0","16","1","81","0","3","49","52","28.10.12"
"510836","142","Одеська область","будинок культури, актова зала
вул.Першотравневська, 25, с.Лісне, Тарутинський р-н, Одеська обл., 68530","920","473","902","29","419","28","447","","0","419","28","447","29","418","9","1","17","6","168","2","5","45","165","05.11.12"
"510837","142","Одеська область","сільський клуб, актова зала
вул.Леніна, 76А, с.Малоярославець Другий, Тарутинський р-н, Одеська обл., 68551","544","204","533","21","322","18","340","","0","322","18","340","14","326","55","4","17","2","136","0","3","18","91","29.10.12"
"510838","142","Одеська область","будинок культури, актова зала
вул.Шевченко, 18А, с.Миколаївка, Тарутинський р-н, Одеська обл., 68535","1104","519","1087","34","555","30","585","","0","555","30","585","23","562","33","6","34","6","211","3","3","61","205","29.10.12"
"510839","142","Одеська область","будинок культури, актова зала
вул.Центральна, 87, с.Надрічне, Тарутинський р-н, Одеська обл., 68525","1080","415","1070","73","592","73","665","","0","592","73","665","29","636","6","4","27","16","61","2","4","65","451","28.10.12"
"510840","142","Одеська область","сільський клуб, фойє
вул.Гагаріна, 27, с.Іванчанка, Тарутинський р-н, Одеська обл., 68525","416","173","410","21","222","21","243","","0","222","21","243","0","243","2","2","11","3","29","2","1","20","173","04.11.12"
"510841","142","Одеська область","сільський клуб, актова зала
вул.Радянська, 49, с.Нове Тарутине, Тарутинський р-н, Одеська обл., 68512","512","199","504","23","290","23","313","","0","290","23","313","6","307","5","4","24","2","192","0","4","26","50","28.10.12"
"510842","142","Одеська область","сільський клуб, актова зала
вул.Шкільна, 2, с.Новоукраїнка, Тарутинський р-н, Одеська обл., 68512","224","116","222","25","87","21","108","","0","87","21","108","3","105","1","0","8","3","48","0","0","20","25","04.11.12"
"510843","142","Одеська область","будинок культури, фойє
вул.Леніна, 113, с.Олександрівка, Тарутинський р-н, Одеська обл., 68532","1144","603","1136","43","502","39","541","","0","502","39","541","18","523","24","8","30","5","297","2","2","36","119","04.11.12"
"510844","142","Одеська область","школа, фойє
вул.Тер Дмитрія, 82, с.Перемога, Тарутинський р-н, Одеська обл., 68545","512","215","498","11","289","8","297","","0","289","8","297","9","288","2","0","16","2","156","1","2","31","78","03.11.12"
"510845","142","Одеська область","сільський клуб, актова зала
вул.Миру, 39, с.Єлизаветівка, Тарутинський р-н, Одеська обл., 68545","216","82","205","10","124","10","134","","0","124","10","134","6","128","0","0","8","0","65","0","3","6","46","04.11.12"
"510846","142","Одеська область","будинок культури, фойє
вул.Благоєва, 122Б, с.Петрівськ, Тарутинський р-н, Одеська обл., 68513","1192","601","1175","49","543","48","591","","0","543","48","591","18","573","3","1","14","6","459","1","1","34","54","29.10.12"
"510847","142","Одеська область","будинок культури, актова зала
вул.Кірова, 24, с.Петрівка, Тарутинський р-н, Одеська обл., 68510","696","321","687","44","333","42","375","","0","333","42","375","11","364","7","3","18","4","243","1","4","19","65","04.11.12"
"510848","142","Одеська область","школа, фойє
вул.Шевченко, 43А, с.Жовтневе, Тарутинський р-н, Одеська обл., 68510","328","161","319","20","148","19","167","","0","148","19","167","13","154","0","0","8","6","97","1","0","13","29","28.10.12"
"510849","142","Одеська область","школа, фойє
вул.Леніна, 82, с.Підгірне, Тарутинський р-н, Одеська обл., 68524","1344","747","1325","36","564","33","597","","0","564","33","597","21","576","4","1","41","5","175","0","8","80","262","29.10.12"
"510850","142","Одеська область","будинок культури, актова зала
пл.Перемоги, 2, с.Рівне, Тарутинський р-н, Одеська обл., 68555","1112","512","1098","12","588","12","600","","0","588","12","600","16","584","21","1","12","12","393","1","2","59","83","28.10.12"
"510851","142","Одеська область","дитячий садок, актова зала
вул.Тищенко, 56, с.Лужанка, Тарутинський р-н, Одеська обл., 68555","264","107","260","6","151","6","157","","0","151","6","157","1","156","0","2","3","1","125","0","0","9","16","28.10.12"
"510852","142","Одеська область","школа, спортивна зала
вул.Леніна, 122, смт Серпневе, Тарутинський р-н, Одеська обл., 68522","1416","803","1394","45","573","40","613","","0","573","40","613","27","586","39","7","42","12","174","4","9","134","165","29.10.12"
