"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Заботкін
Микола
Олександрович","Задорожнюк
Василь
Миколайович","Кісловський
Андрій
В’ячеславович","Ніколайчук
Юрій
Володимирович","Тімонін
Олександр
Олександрович","Фурсін
Іван
Геннадійович","Дата підписання протоколу"
"510486","138","Одеська область","Комінтернівська школа, спортивна зала
просп.40-річчя Визволення, 3, смт Комінтернівське, Комінтернівський р-н, Одеська обл., 67500","2456","757","2450","51","1666","33","1699","","0","1666","33","1699","72","1627","56","485","150","36","176","724","28.10.12"
"510487","138","Одеська область","СВК ""Світанок"", актова зала
вул.Центральна, 70, смт Комінтернівське, Комінтернівський р-н, Одеська обл., 67500","2368","851","2331","64","1470","47","1517","","0","1470","47","1517","63","1454","36","398","187","46","171","616","29.10.12"
"510488","138","Одеська область","Вовківська школа, спортивна зала
вул.Молодіжна, 41, с.Вовківське, Комінтернівський р-н, Одеська обл., 67503","496","133","492","16","350","13","363","","0","350","13","363","13","350","9","65","47","15","43","171","28.10.12"
"510489","138","Одеська область","сільський клуб, фойє
вул.Центральна, 1А, с.Калинівка, Комінтернівський р-н, Одеська обл., 67530","384","109","384","17","259","16","275","","0","259","16","275","13","262","3","41","13","1","25","179","29.10.12"
"510490","138","Одеська область","будинок культури, актова зала
вул.Центральна, 34, с.Кордон, Комінтернівський р-н, Одеська обл., 67531","368","87","366","11","271","10","281","","0","271","10","281","10","271","4","50","13","8","17","179","28.10.12"
"510491","138","Одеська область","сільський клуб, актова зала
вул.Нижня, 10, с.Пшонянове, Комінтернівський р-н, Одеська обл., 67531","136","41","130","2","93","2","95","","0","93","2","95","7","88","4","7","1","2","6","68","28.10.12"
"510492","138","Одеська область","будинок культури, фойє
вул.Шкільна, 26, с.Дмитрівка, Комінтернівський р-н, Одеська обл., 67532","512","112","501","38","366","34","400","","0","366","34","400","6","394","3","50","7","3","22","309","28.10.12"
"510493","138","Одеська область","будинок культури, фойє
вул.Суворова, 54, с.Любопіль, Комінтернівський р-н, Одеська обл., 67586","616","182","623","35","399","35","434","","0","399","35","434","21","413","11","82","15","17","29","259","29.10.12"
"510494","138","Одеська область","будинок культури, актова зала
вул.Миру, 3, с.Першотравневе, Комінтернівський р-н, Одеська обл., 67541","1840","663","1813","35","1142","35","1177","","0","1142","35","1177","59","1118","33","152","107","26","105","695","28.10.12"
"510495","138","Одеська область","Першотравнева школа, спортивна зала
вул.Учительська, 3, с.Першотравневе, Комінтернівський р-н, Одеська обл., 67541","1424","565","1409","28","831","28","859","","0","831","28","859","38","821","19","121","52","28","74","527","29.10.12"
"510496","138","Одеська область","сільський клуб, фойє
вул.Гагаріна, 31, с.Нова Вільшанка, Комінтернівський р-н, Одеська обл., 67541","552","195","550","26","333","24","357","","0","333","24","357","20","337","5","39","12","2","17","262","28.10.12"
"510497","138","Одеська область","будинок культури, актова зала
вул.Чапаєва, 57, с.Визирка, Комінтернівський р-н, Одеська обл., 67543","1000","289","1004","43","679","32","711","","0","679","32","711","46","665","31","72","20","20","72","450","29.10.12"
"510498","138","Одеська область","Свердлівська школа, спортивна зала
вул.Шкільна, 1В, с.Свердлове, Комінтернівський р-н, Одеська обл., 67542","1360","699","1352","51","616","45","661","","0","616","45","661","21","640","19","48","42","29","34","468","29.10.12"
"510521","138","Одеська область","будинок культури, актова зала
вул.Цвєтаєва, 1, с.Сичавка, Комінтернівський р-н, Одеська обл., 67555","1608","592","1601","41","977","39","1016","","0","977","39","1016","47","969","46","140","79","53","160","491","28.10.12"
"510522","138","Одеська область","Комінтернівська ЦРЛ, фойє відділення
вул.Грубніка, 27, смт Комінтернівське, Комінтернівський р-н, Одеська обл., 67500","192","176","23","11","7","9","16","","0","7","9","16","0","16","0","3","3","1","0","9","28.10.12"
"510611","138","Одеська область","будинок культури, кінозал
вул.Центральна, 56, с.Агафіївка, Любашівський р-н, Одеська обл., 66550","400","139","393","38","227","34","261","","0","227","34","261","6","255","8","96","15","8","38","90","29.10.12"
"510612","138","Одеська область","школа, фойє
вул.Центральна, 57, с.Бобрик Перший, Любашівський р-н, Одеська обл., 66531","760","351","752","30","380","29","409","","0","380","29","409","16","393","13","105","46","6","58","165","28.10.12"
"510613","138","Одеська область","школа, спортивна зала
пров.Шкільний, 7, с.Бобрик Другий, Любашівський р-н, Одеська обл., 66533","616","278","606","22","319","19","338","","0","319","19","338","14","324","15","64","48","3","32","162","28.10.12"
"510614","138","Одеська область","школа, фойє
вул.Мічуріна, 61, с.Янишівка, Любашівський р-н, Одеська обл., 66532","624","306","623","13","308","10","318","","0","308","10","318","13","305","10","91","31","12","48","113","29.10.12"
"510615","138","Одеська область","школа, актова зала
вул.Центральна, 110, с.Бокове, Любашівський р-н, Одеська обл., 66542","616","312","603","38","271","33","304","","0","271","33","304","12","292","9","54","40","7","18","164","28.10.12"
"510616","138","Одеська область","школа, актова зала
вул.Молодіжна, 25, с.Петрівка, Любашівський р-н, Одеська обл., 66544","280","122","271","17","145","13","158","","0","145","13","158","5","153","5","30","49","6","2","61","28.10.12"
"510617","138","Одеська область","будинок культури, глядацька зала
вул.Сонячна, 30, с.Гвоздавка Перша, Любашівський р-н, Одеська обл., 66520","440","232","432","15","194","14","208","","0","194","14","208","12","196","2","28","35","1","18","112","28.10.12"
"510618","138","Одеська область","школа, спортивна зала
вул.Свято-Михайлівська, 6, с.Гвоздавка Друга, Любашівський р-н, Одеська обл., 66520","744","340","734","50","354","50","404","","0","354","50","404","20","384","3","50","40","5","39","247","29.10.12"
"510619","138","Одеська область","дитячий садок, спортивна зала
вул.Молодіжна, 96, с.Солтанівка, Любашівський р-н, Одеська обл., 66521","1104","587","1095","76","448","69","517","","0","448","69","517","17","500","15","70","58","6","52","299","29.10.12"
"510620","138","Одеська область","школа, фойє
вул.Молодіжна, 1, с.Шликареве, Любашівський р-н, Одеська обл., 66522","272","128","273","17","131","13","144","","0","131","13","144","15","129","3","8","20","4","4","90","29.10.12"
"510621","138","Одеська область","будинок культури, фойє
вул.Леніна, 3, смт Зеленогірське, Любашівський р-н, Одеська обл., 66513","1440","726","1424","68","650","64","714","","0","650","64","714","28","686","9","92","65","10","84","426","29.10.12"
"510622","138","Одеська область","сільська рада, актова зала
вул.Леніна, 28, с.Іванівка, Любашівський р-н, Одеська обл., 66523","304","96","291","27","181","27","208","","0","181","27","208","4","204","1","30","24","2","15","132","29.10.12"
"510623","138","Одеська область","сільський клуб, бібліотека
вул.Перемоги, 2, с.Антонівка, Любашівський р-н, Одеська обл., 66524","176","59","175","17","101","16","117","","0","101","16","117","5","112","4","22","22","4","4","56","28.10.12"
"510624","138","Одеська область","будинок культури, фойє 2
вул.Шевченка, 66, с.Кричунове, Любашівський р-н, Одеська обл., 66530","520","246","513","28","250","24","274","","0","250","24","274","19","255","9","61","67","7","15","96","29.10.12"
"510625","138","Одеська область","школа-ліцей, фойє
вул.Радянська, 152, смт Любашівка, Любашівський р-н, Одеська обл., 66502","2304","1197","2285","57","1063","44","1107","","0","1063","44","1107","42","1065","115","186","70","13","110","571","29.10.12"
"510626","138","Одеська область","школа-гімназія, фойє
вул.Леніна, 77, смт Любашівка, Любашівський р-н, Одеська обл., 66502","2008","1035","1995","48","934","39","973","","0","934","39","973","36","937","67","138","74","14","109","535","29.10.12"
"510627","138","Одеська область","ПП ""Шарпатий"", актова зала
вул.Привокзальна, 36, смт Любашівка, Любашівський р-н, Одеська обл., 66502","1776","922","1759","55","815","39","854","","0","815","39","854","30","824","122","99","79","10","76","438","28.10.12"
"510628","138","Одеська область","ТОВ ""Агро-Нордік"", фойє
вул.Кірова, 35, смт Любашівка, Любашівський р-н, Одеська обл., 66502","2144","1219","2103","64","881","44","925","","0","881","44","925","26","899","74","96","70","22","92","545","29.10.12"
"510629","138","Одеська область","будинок культури, зал засідань
пров.Промисловий, 1, с.Мала Василівка, Любашівський р-н, Одеська обл., 66563","552","245","540","34","277","30","307","","0","277","30","307","14","293","8","26","67","8","13","171","29.10.12"
"510630","138","Одеська область","будинок культури, фойє
вул.Степана Олійника, 49, с.Комарівка, Любашівський р-н, Одеська обл., 66565","152","61","146","15","80","11","91","","0","80","11","91","4","87","6","21","22","1","6","31","29.10.12"
"510631","138","Одеська область","будинок культури, кінозал
вул.Молодіжна, 2, с.Новоселівка, Любашівський р-н, Одеська обл., 66540","376","124","371","36","216","36","252","","0","216","36","252","13","239","3","11","29","6","5","185","29.10.12"
"510632","138","Одеська область","будинок культури, фойє
вул.Шевченка, 28, с.Демидівка, Любашівський р-н, Одеська обл., 66541","296","113","286","7","177","6","183","","0","177","6","183","10","173","2","37","18","1","14","101","28.10.12"
"510633","138","Одеська область","сільський клуб, фойє
вул.Центральна, 50, с.Новокарбівка, Любашівський р-н, Одеська обл., 66551","352","143","341","16","201","8","209","","0","201","8","209","7","202","5","26","26","3","14","128","28.10.12"
"510634","138","Одеська область","школа, фойє
вул.Шкільна, 1, с.Червоний Яр, Любашівський р-н, Одеська обл., 66552","176","60","172","18","99","17","116","","0","99","17","116","5","111","3","18","28","3","9","50","28.10.12"
"510635","138","Одеська область","школа-дитсадок, спортивна зала
вул.Центральна, 65, с.Познанка Перша, Любашівський р-н, Одеська обл., 66511","648","282","638","23","346","20","366","","0","346","20","366","12","354","12","53","40","5","35","209","28.10.12"
"510636","138","Одеська область","сільська рада, зал засідань
вул.Радянська, 63, с.Покровка, Любашівський р-н, Одеська обл., 66562","432","117","426","28","291","24","315","","0","291","24","315","8","307","1","78","40","1","13","174","28.10.12"
"510637","138","Одеська область","будинок культури, зал засідань
вул.Центральна, 1А, с.Сергіївка, Любашівський р-н, Одеська обл., 66504","432","144","428","41","248","40","288","","0","248","40","288","1","287","7","20","27","4","18","211","28.10.12"
"510638","138","Одеська область","школа, їдальня
пров.Павла Чібашова, 1, с.Троїцьке, Любашівський р-н, Одеська обл., 66560","992","469","984","52","477","46","523","","0","477","46","523","21","502","12","123","98","3","27","239","29.10.12"
"510639","138","Одеська область","школа-дитсадок, спортивна зала
вул.Леніна, 25А, с.Троїцьке, Любашівський р-н, Одеська обл., 66560","848","384","837","30","437","27","464","","0","437","27","464","29","435","14","97","77","10","39","198","29.10.12"
"510640","138","Одеська область","сільський клуб, актова зала
вул.Грушевського, 22, с.Козачий Яр, Любашівський р-н, Одеська обл., 66561","232","111","234","14","109","12","121","","0","109","12","121","7","114","3","9","16","1","3","82","29.10.12"
"510641","138","Одеська область","бібліотека, актова зала
вул.Хмельницького, 26, с.Шайтанка, Любашівський р-н, Одеська обл., 66564","296","112","293","15","169","15","184","","0","169","15","184","9","175","0","20","34","0","4","117","28.10.12"
"510642","138","Одеська область","будинок культури, фойє
вул.Центральна, 21, с.Ясенове Перше, Любашівський р-н, Одеська обл., 66510","416","189","414","18","214","13","227","","0","214","13","227","10","217","6","49","25","4","10","123","28.10.12"
"510643","138","Одеська область","школа, фойє
вул.Суворова, 153, с.Ясенове Друге, Любашівський р-н, Одеська обл., 66510","1424","550","1416","58","816","58","874","","0","816","58","874","38","836","23","128","117","13","57","498","29.10.12"
"510644","138","Одеська область","будинок культури, актова зала
вул.Леніна, 89А, с.Андрієво-Іванівка, Миколаївський р-н, Одеська обл., 67021","1240","624","1222","42","579","37","616","","0","579","37","616","15","601","8","126","125","17","46","279","29.10.12"
"510645","138","Одеська область","сільська рада, актова зала
вул.Леніна, 30А, с.Антонюки, Миколаївський р-н, Одеська обл., 67040","480","216","471","13","254","10","264","","0","254","10","264","10","254","1","75","40","2","10","126","29.10.12"
"510646","138","Одеська область","школа, актова зала
вул.Миру, 12А, с.Амбарів, Миколаївський р-н, Одеська обл., 67042","312","146","307","9","159","7","166","","0","158","7","165","4","161","1","23","32","3","13","89","29.10.12"
"510647","138","Одеська область","будинок культури, актова зала
будинок культури, вул.Свердлова, с.Романівка, Миколаївський р-н, Одеська обл., 67041","240","97","236","12","131","12","143","","0","131","12","143","2","141","1","42","13","1","4","80","28.10.12"
"510648","138","Одеська область","будинок культури, актова зала
вул.Леніна, 116А, с.Ісаєве, Миколаївський р-н, Одеська обл., 67023","512","214","515","39","259","39","298","","0","259","39","298","9","289","6","46","40","3","23","171","29.10.12"
"510649","138","Одеська область","Ісаївський аграрний ліцей, актова зала
вул.Набережна, 15, с.Ісаєве, Миколаївський р-н, Одеська обл., 67023","616","256","634","42","320","40","360","","0","320","40","360","21","339","7","62","59","6","15","190","29.10.12"
"510650","138","Одеська область","будинок культури, актова зала
вул.Леніна, 106В, с.Левадівка, Миколаївський р-н, Одеська обл., 67020","664","268","662","35","362","34","396","","0","362","34","396","15","381","11","113","41","1","28","187","29.10.12"
"510651","138","Одеська область","будинок культури, актова зала
вул.Домни Ковальової, 13, смт Миколаївка, Миколаївський р-н, Одеська обл., 67000","1896","825","1885","53","1023","48","1071","","0","1023","48","1071","34","1037","9","195","170","13","114","536","29.10.12"
"510652","138","Одеська область","ДНЗ ""Берізка"", актова зала
вул.Гагаріна, 1В, смт Миколаївка, Миколаївський р-н, Одеська обл., 67000","952","416","934","30","509","27","536","","0","509","27","536","22","514","11","89","88","9","63","254","29.10.12"
"510653","138","Одеська область","будинок культури, актова зала
будинок культури, с.Воровського, Миколаївський р-н, Одеська обл., 67004","96","36","99","6","54","6","60","","0","54","6","60","0","60","1","11","11","1","1","35","29.10.12"
"510654","138","Одеська область","пошта, фоє
пошта, с.Дружелюбівка, Миколаївський р-н, Одеська обл., 67004","80","36","75","4","40","4","44","","0","40","4","44","1","43","2","9","2","1","0","29","28.10.12"
"510655","138","Одеська область","будинок культури, актова зала
будинок культури, с.Софіївка, Миколаївський р-н, Одеська обл., 67005","176","40","175","18","118","18","136","","0","118","18","136","5","131","0","20","17","2","4","88","28.10.12"
"510656","138","Одеська область","школа, каб.10
вул.Шкільна, 1, с.Настасіївка, Миколаївський р-н, Одеська обл., 67022","448","195","442","27","228","25","253","","0","228","25","253","6","247","5","67","40","2","26","107","28.10.12"
"510657","138","Одеська область","школа, корп.2, каб.3
школа, вул.Крупської, с.Новогригорівка, Миколаївський р-н, Одеська обл., 67022","280","110","276","10","161","9","170","","0","161","9","170","6","164","3","17","9","2","3","130","28.10.12"
"510658","138","Одеська область","сільська рада, актова зала
вул.Шкільна, 10А, с.Новопетрівка, Миколаївський р-н, Одеська обл., 67030","512","229","499","18","267","16","283","","0","267","16","283","8","275","6","45","23","5","29","167","29.10.12"
"510659","138","Одеська область","будинок культури, актова зала
будинок культури, вул.Гагаріна, с.Гвоздівка, Миколаївський р-н, Одеська обл., 67031","224","102","223","0","122","0","122","","0","122","0","122","3","119","1","36","16","3","11","52","29.10.12"
"510660","138","Одеська область","школа, каб.12
школа, вул.Леніна, с.Переселенці, Миколаївський р-н, Одеська обл., 67031","256","108","251","2","146","2","148","","0","146","2","148","7","141","0","12","13","3","7","106","28.10.12"
"510661","138","Одеська область","школа, фойє
школа, вул.Молодіжна, с.Олексіївка, Миколаївський р-н, Одеська обл., 67010","480","164","469","24","292","24","316","","0","292","24","316","6","310","1","40","9","0","8","252","28.10.12"
"510662","138","Одеська область","школа, спортивна зала
школа, вул.Перемоги, с.Василівка, Миколаївський р-н, Одеська обл., 67011","408","162","406","10","236","10","246","","0","236","10","246","10","236","4","40","13","3","14","162","28.10.12"
"510663","138","Одеська область","будинок культури, актова зала
вул.Миру, 85, с.Петрівка, Миколаївський р-н, Одеська обл., 67051","296","107","291","14","176","13","189","","0","176","13","189","3","186","3","43","30","3","12","95","29.10.12"
"510664","138","Одеська область","ФАП, фоє
вул.Гагаріна, 29, с.Сиротинка, Миколаївський р-н, Одеська обл., 67051","160","53","157","8","99","8","107","","0","99","8","107","1","106","0","19","6","0","3","78","28.10.12"
"510665","138","Одеська область","будинок культури, актова зала
будинок культури, вул.Леніна, с.Скосарівка, Миколаївський р-н, Одеська обл., 67024","880","426","870","23","431","23","454","","0","431","23","454","22","432","13","108","59","8","28","216","29.10.12"
"510666","138","Одеська область","будинок культури, актова зала
вул.Гагаріна, 11А, с.Богданівка, Миколаївський р-н, Одеська обл., 67024","184","82","177","3","99","3","102","","0","99","3","102","6","96","3","20","13","2","10","48","29.10.12"
"510667","138","Одеська область","будинок культури, актова зала
вул.Ламброва, 42, с.Стрюкове, Миколаївський р-н, Одеська обл., 67050","888","451","874","35","403","34","437","","0","403","34","437","16","421","9","98","43","6","42","223","29.10.12"
"510668","138","Одеська область","контора ТОВ ""Єврос"", фойє
вул.Максименка, 47, с.Стрюкове, Миколаївський р-н, Одеська обл., 67050","728","394","718","19","316","18","334","","0","316","18","334","13","321","6","135","39","10","17","114","28.10.12"
"510669","138","Одеська область","будинок культури, актова зала
вул.Леніна, 14, с.Ульяновка, Миколаївський р-н, Одеська обл., 67032","664","244","660","37","384","36","420","","0","384","36","420","7","413","9","62","56","8","24","254","28.10.12"
"510670","138","Одеська область","сільська рада, актова зала
вул.Шкільна, 25, с.Шабельники, Миколаївський р-н, Одеська обл., 67052","320","155","313","2","163","2","165","","0","163","2","165","8","157","2","81","11","0","6","57","28.10.12"
"510671","138","Одеська область","будинок культури, актова зала
будинок культури, с.Жукове, Миколаївський р-н, Одеська обл., 67053","120","55","115","0","65","0","65","","0","65","0","65","3","62","1","15","9","0","5","32","28.10.12"
"510913","138","Одеська область","сільський клуб, зал
вул.Центральна, 6, с.Бердинове, Ширяївський р-н, Одеська обл., 66850","136","60","129","8","68","8","76","","0","68","8","76","6","70","3","12","1","1","5","48","28.10.12"
"510914","138","Одеська область","школа, кл.1
вул.Центральна, 33, с.Бранкованове, Ширяївський р-н, Одеська обл., 66821","288","127","282","11","150","11","161","","0","150","11","161","6","155","4","58","7","4","9","73","28.10.12"
"510915","138","Одеська область","сільський клуб, фойє
вул.Леніна, 17, с.Валентинівка, Ширяївський р-н, Одеська обл., 66823","224","116","221","10","99","9","108","","0","99","9","108","3","105","0","33","9","2","3","58","29.10.12"
"510916","138","Одеська область","школа, коридор
вул.Маліновського, 1, с.Вікторівка, Ширяївський р-н, Одеська обл., 66813","592","212","582","47","338","42","380","","0","338","42","380","16","364","3","60","20","7","17","257","28.10.12"
"510917","138","Одеська область","красний уголок, зал
вул.Калініна, 9А, с.Ганно-Покровка, Ширяївський р-н, Одеська обл., 66861","352","134","347","29","192","26","218","","0","191","26","217","8","209","4","60","9","3","16","117","29.10.12"
"510918","138","Одеська область","Григорівський будинок культури, глядацька зала
вул.Дружби, 4А, с.Григорівка, Ширяївський р-н, Одеська обл., 66812","328","122","317","24","184","22","206","","0","184","22","206","6","200","7","30","15","5","5","138","28.10.12"
"510919","138","Одеська область","палац культури, зала урочистостей
вул.Шевченко, 4, с.Жовтень, Ширяївський р-н, Одеська обл., 66860","1912","914","1893","191","838","160","998","","0","838","160","998","39","959","19","111","159","14","39","617","29.10.12"
"510920","138","Одеська область","школа, спортивна зала
вул.Калініна, 161А, с.Катерино-Платонівка, Ширяївський р-н, Одеська обл., 66861","296","133","290","16","149","14","163","","0","149","14","163","5","158","5","34","8","1","25","85","29.10.12"
"510921","138","Одеська область","сільський клуб, зал
вул.Степова, 36, с.Копійкове, Ширяївський р-н, Одеська обл., 66820","192","58","188","2","132","2","134","","0","132","2","134","3","131","5","28","10","0","6","82","28.10.12"
"510922","138","Одеська область","школа, актова зала
вул.Молодіжна, 45, с.Малігонове, Ширяївський р-н, Одеська обл., 66820","272","124","261","32","123","25","148","","0","123","25","148","8","140","3","21","6","2","4","104","28.10.12"
"510923","138","Одеська область","будинок культури, зал
вул.Леніна, 16А, с.Макарове, Ширяївський р-н, Одеська обл., 66840","664","304","600","57","313","47","360","","0","313","47","360","10","350","8","118","25","7","12","180","28.10.12"
"510924","138","Одеська область","школа, спортивна зала
вул.Виноградна, 3А, с.Маркевичеве, Ширяївський р-н, Одеська обл., 66862","528","176","516","31","321","31","352","","0","321","31","352","2","350","7","32","7","6","16","282","28.10.12"
"510925","138","Одеська область","будинок культури, зал
вул.Леніна, 6, с.Мар’янівка, Ширяївський р-н, Одеська обл., 66814","968","303","951","67","605","60","665","","0","605","60","665","14","651","7","99","30","4","21","490","28.10.12"
"510926","138","Одеська область","школа, коридор, 1-й поверх
вул.Кучеряби, 128, с.Миколаївка, Ширяївський р-н, Одеська обл., 66810","1024","442","1006","45","539","43","582","","0","539","43","582","29","553","123","10","50","8","48","314","29.10.12"
"510927","138","Одеська область","сільський клуб, зал
вул.Садова, 20, с.Никомаврівка, Ширяївський р-н, Одеська обл., 66842","184","77","173","7","100","7","107","","0","100","7","107","4","103","0","22","1","5","4","71","29.10.12"
