"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бернацький
Павло
Васильович","Вознюк
Олександр
Михайлович","Корилкевич
Данило
Михайлович","Королюк
Валентин
Анатолійович","Костючко
Сергій
Степанович","Кравець
Дмитро
Володимирович","Кушнірук
Борис
Борисович","Пшеюк
Ігор
Леонідович","Семенюк
Роман
Володимирович","Тимощук
Василь
Олексійович","Дата підписання протоколу"
"560218","154","Рівненська область","школа, каб.1
вул.Шкільна, 30А, с.Панталія, Дубенський р-н, Рівненська обл., 35600","330","102","323","13","216","12","228","","0","216","12","228","6","222","1","2","87","86","21","7","0","0","0","18","28.10.12"
"560219","154","Рівненська область","будинок культури, актова зала
вул.Грушевського, 4, с.Привільне, Дубенський р-н, Рівненська обл., 35622","1200","494","1180","50","658","48","706","","0","658","48","706","27","679","2","18","174","357","56","18","3","1","3","47","28.10.12"
"560220","154","Рівненська область","ФАП, маніпуляційний кабінет
вул.Миру, 9, с.Черешнівка, Дубенський р-н, Рівненська обл., 35622","132","26","130","23","87","19","106","","0","87","19","106","1","105","2","4","34","49","7","0","0","0","1","8","29.10.12"
"560221","154","Рівненська область","школа, фойє
вул.Шевченка, 33А, с.Кам’яниця, Дубенський р-н, Рівненська обл., 35600","216","34","220","8","174","8","182","","0","174","8","182","8","174","0","10","76","51","14","0","1","0","4","18","28.10.12"
"560222","154","Рівненська область","школа, фойє
вул.Шкільна, 2, с.Микитичі, Дубенський р-н, Рівненська обл., 35656","414","172","402","35","209","33","242","","0","209","33","242","6","236","0","6","74","88","40","0","3","0","9","16","29.10.12"
"560223","154","Рівненська область","школа, фойє
вул.Кременецька, 22, с.Стара Носовиця, Дубенський р-н, Рівненська обл., 35600","462","150","457","10","302","10","312","","0","302","10","312","5","307","1","21","124","104","27","8","1","2","1","18","29.10.12"
"560224","154","Рівненська область","школа, фойє
вул.Шевченка, 83А, с.Підлужжя, Дубенський р-н, Рівненська обл., 35600","300","96","296","7","197","7","204","","0","197","7","204","6","198","1","4","74","69","31","1","1","0","1","16","28.10.12"
"560225","154","Рівненська область","будинок культури, фойє
вул.Львівська, 32, с.Птича, Дубенський р-н, Рівненська обл., 35645","798","225","783","38","536","37","573","","0","536","37","573","6","567","5","23","182","257","51","6","2","3","4","34","29.10.12"
"560226","154","Рівненська область","будинок культури, глядацька зала
вул.Центральна, 30, с.Рачин, Дубенський р-н, Рівненська обл., 35609","1422","466","1397","44","916","40","956","","0","916","40","956","24","932","2","24","258","476","93","18","1","0","4","56","28.10.12"
"560227","154","Рівненська область","ФАП, фойє
вул.Нова, 9, с.Дядьковичі, Дубенський р-н, Рівненська обл., 35610","132","41","129","8","83","8","91","","0","83","8","91","0","91","0","3","47","23","12","0","0","0","2","4","28.10.12"
"560228","154","Рівненська область","ФАП, фойє
вул.Центральна, 32, с.Жорнів, Дубенський р-н, Рівненська обл., 35611","348","117","346","30","202","29","231","","0","202","29","231","9","222","0","14","106","66","23","3","1","1","2","6","28.10.12"
"560229","154","Рівненська область","ФАП, фойє
вул.Шевченка, 19, с.Олибів, Дубенський р-н, Рівненська обл., 35610","174","59","168","6","109","6","115","","0","109","6","115","2","113","0","1","36","45","23","2","0","0","2","4","28.10.12"
"560230","154","Рівненська область","школа, спортивна зала
вул.Миру, 55, с.Сатиїв, Дубенський р-н, Рівненська обл., 35610","552","214","546","21","317","21","338","","0","317","21","338","11","327","1","12","115","116","47","7","1","1","3","24","29.10.12"
"560231","154","Рівненська область","клуб, актова зала
вул.Центральна, 29, с.Грядки, Дубенський р-н, Рівненська обл., 35650","264","49","258","21","195","20","215","","0","195","20","215","13","202","1","4","89","70","27","1","0","1","1","8","29.10.12"
"560232","154","Рівненська область","клуб, актова зала
вул.Центральна, 43, с.Довге Поле, Дубенський р-н, Рівненська обл., 35650","294","88","296","21","186","20","206","","0","186","20","206","2","204","0","2","82","83","14","2","1","0","1","19","29.10.12"
"560233","154","Рівненська область","клуб, фойє
вул.Центральна, 24, с.Залужжя, Дубенський р-н, Рівненська обл., 35650","150","19","152","10","123","8","131","","0","123","8","131","3","128","1","3","81","22","15","0","1","0","0","5","29.10.12"
"560234","154","Рівненська область","школа, каб.1, каб.2
вул.Центральна, 46, с.Семидуби, Дубенський р-н, Рівненська обл., 35650","606","214","592","25","370","22","392","","0","370","22","392","9","383","0","12","178","120","42","3","2","2","0","24","29.10.12"
"560235","154","Рівненська область","клуб, актова зала
вул.Центральна, 41, с.Тростянець, Дубенський р-н, Рівненська обл., 35650","270","54","262","27","197","19","216","","0","197","19","216","6","210","1","14","89","69","16","1","2","0","2","16","28.10.12"
"560236","154","Рівненська область","будинок культури, глядацька зала
вул.Хмельницького, 45, смт Смига, Дубенський р-н, Рівненська обл., 35680","2244","926","2222","41","1281","37","1318","","0","1281","37","1318","54","1264","5","40","243","662","144","23","8","4","17","118","29.10.12"
"560237","154","Рівненська область","школа, спортивна зала
вул.Молодіжна, 30, с.Соснівка, Дубенський р-н, Рівненська обл., 35660","162","52","158","15","98","12","110","","0","98","12","110","2","108","1","0","64","21","15","1","1","0","0","5","28.10.12"
"560238","154","Рівненська область","клуб, глядацька зала
вул.Анастасіїї Мороз, 20, с.Соснівка, Дубенський р-н, Рівненська обл., 35660","462","172","455","41","252","38","290","","0","252","38","290","15","275","0","0","139","76","36","0","0","0","1","23","28.10.12"
"560239","154","Рівненська область","клуб, глядацька зала
вул.Центральна, 42А, с.Кам’яна Верба, Дубенський р-н, Рівненська обл., 35672","126","33","132","11","85","8","93","","0","85","8","93","1","92","0","2","33","27","23","0","1","0","0","6","28.10.12"
"560240","154","Рівненська область","будинок культури, глядацька зала
вул.Незалежності, 17, с.Стовпець, Дубенський р-н, Рівненська обл., 35672","714","248","698","53","415","51","466","","0","415","51","466","15","451","0","9","130","186","70","26","3","3","1","23","28.10.12"
"560241","154","Рівненська область","клуб, актова зала
вул.Богдана Хмельницького, 1, с.Великі Загірці, Дубенський р-н, Рівненська обл., 35641","192","60","183","15","117","15","132","","0","117","15","132","6","126","0","1","47","50","16","0","0","0","3","9","29.10.12"
"560242","154","Рівненська область","школа, спортивна зала
вул.Зелена, 1, с.Тараканів, Дубенський р-н, Рівненська обл., 35641","1326","489","1296","21","818","19","837","","0","818","19","837","24","813","3","16","237","380","88","12","4","0","6","67","29.10.12"
"560243","154","Рівненська область","клуб, актова зала
вул.Л.Українки, 11, с.Мартинівка, Дубенський р-н, Рівненська обл., 35680","462","145","460","32","285","32","317","","0","285","32","317","10","307","0","5","88","134","36","6","5","2","0","31","29.10.12"
"560244","154","Рівненська область","школа, актова зала
вул.Кременецька, 102, с.Стара Миколаївка, Дубенський р-н, Рівненська обл., 35680","756","226","757","22","508","22","530","","0","508","22","530","73","457","0","5","95","243","59","6","4","0","11","34","28.10.12"
"560245","154","Рівненська область","клуб, глядацька зала
вул.Б.Хмельницького, 14, с.Студянка, Дубенський р-н, Рівненська обл., 35681","744","245","730","22","477","22","499","","0","477","22","499","16","483","1","23","118","261","52","5","1","0","4","18","29.10.12"
"560246","154","Рівненська область","школа, спортивна зала
вул.Шкільна, 9, с.Шепетин, Дубенський р-н, Рівненська обл., 35682","552","178","538","38","336","38","374","","0","336","38","374","9","365","0","7","84","197","48","3","2","0","2","22","29.10.12"
"560247","154","Рівненська область","Дубенська районна лікарня
вул.Львівська, 73, м.Дубно, Рівненська обл., 35600","306","246","63","17","43","17","60","","0","43","17","60","1","59","0","0","33","14","9","0","0","0","0","3","28.10.12"
"560346","154","Рівненська область","школа №6, актова зала
вул.Шкільна, 40, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","2088","817","2055","5","1266","5","1271","","0","1266","5","1271","49","1222","4","74","266","431","103","15","3","12","9","305","29.10.12"
"560347","154","Рівненська область","школа №7, актова зала
вул.Лесі Українки, 2, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","1902","811","1873","5","1086","5","1091","","0","1086","5","1091","51","1040","11","42","210","447","73","10","9","7","13","218","29.10.12"
"560348","154","Рівненська область","школа №4, фойє 2-й поверх
вул.Шкільна, 11, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","2058","856","2028","19","1186","16","1202","","0","1186","16","1202","53","1149","7","65","218","407","122","13","8","11","8","290","29.10.12"
"560349","154","Рівненська область","центр творчості дітей та юннацтва, зал хореографії
вул.Шкільна, 1, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","1950","696","1929","75","1179","75","1254","","0","1179","75","1254","48","1206","8","56","273","450","91","12","4","6","23","283","29.10.12"
"560350","154","Рівненська область","БК ПАТ ""Волинь-Цемент"", фойє
вул.Грушевського, 7, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","2304","900","2265","14","1390","14","1404","","0","1390","14","1404","76","1328","10","76","265","478","137","18","10","4","6","324","29.10.12"
"560351","154","Рівненська область","гуманітарна гімназія №2, спортивний зал
вул.Незалежності, 15, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","1302","611","1290","5","686","5","691","","0","686","5","691","46","645","2","40","106","267","58","12","4","3","3","150","29.10.12"
"560352","154","Рівненська область","фізкультурно-спортивний клуб, спортивний зал
вул.Віли-1, 1, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","1314","519","1292","5","791","4","795","","0","791","4","795","34","761","4","53","155","259","91","10","1","8","13","167","29.10.12"
"560353","154","Рівненська область","локомотивне депо, зал засідань
вул.Івана Гончара, 1, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","1698","687","1704","10","1002","9","1011","","0","1002","9","1011","66","945","13","63","129","385","112","10","5","5","12","211","29.10.12"
"560354","154","Рівненська область","""Здолбунівський райавтодор"", актова зала
вул.8 Березня, 27А, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","1038","393","1024","6","640","5","645","","0","640","5","645","24","621","3","25","93","265","58","7","2","3","9","156","28.10.12"
"560355","154","Рівненська область","школа №3, фойє 2-й поверх
вул.Устима Кармелюка, 3, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","1242","454","1216","22","769","19","788","","0","769","19","788","39","749","5","32","123","289","91","19","4","7","9","170","29.10.12"
"560356","154","Рівненська область","міський клуб, фойє
вул.Устима Кармелюка, 1, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35700","2352","946","2323","28","1383","23","1406","","0","1383","23","1406","63","1343","13","91","285","434","173","22","5","11","11","298","29.10.12"
"560357","154","Рівненська область","селищна рада, зал засідань
вул.Липки, 12, смт Мізоч, Здолбунівський р-н, Рівненська обл., 35740","1476","639","1460","40","800","37","837","","0","800","37","837","18","819","4","32","164","233","139","9","4","3","9","222","29.10.12"
"560358","154","Рівненська область","будинок культури, глядацький зал
вул.Липки, 10, смт Мізоч, Здолбунівський р-н, Рівненська обл., 35740","1446","601","1426","33","819","26","845","","0","819","26","845","23","822","4","28","151","252","139","11","7","9","10","211","28.10.12"
"560359","154","Рівненська область","клуб, глядацький зал
вул.Шевченка, 24, с.Озерко, Здолбунівський р-н, Рівненська обл., 35740","288","111","264","21","160","17","177","","0","160","17","177","7","170","0","2","53","61","18","3","1","0","3","29","29.10.12"
"560360","154","Рівненська область","школа, фойє
вул.Попівська, 34, с.Білашів, Здолбунівський р-н, Рівненська обл., 35741","960","453","941","20","494","13","507","","0","494","13","507","24","483","3","7","122","191","64","9","4","0","5","78","29.10.12"
"560361","154","Рівненська область","сільська рада, зал урочистих подій
вул.Радянська, 3, с.Богдашів, Здолбунівський р-н, Рівненська обл., 35707","984","396","975","10","579","9","588","","0","579","9","588","27","561","8","25","128","225","48","16","6","2","5","98","29.10.12"
"560362","154","Рівненська область","школа, клас 1
вул.Приходька, 14, с.Ільпінь, Здолбунівський р-н, Рівненська обл., 35708","1074","421","1082","10","645","8","653","","0","645","8","653","34","619","1","29","145","223","46","12","10","4","10","139","28.10.12"
"560363","154","Рівненська область","школа, к.1
вул.Шевченка, 57, с.Орестів, Здолбунівський р-н, Рівненська обл., 35707","354","114","357","5","235","5","240","","0","235","5","240","9","231","2","8","69","81","29","7","5","0","1","29","29.10.12"
"560364","154","Рівненська область","сільська рада, зал урочистих подій
вул.Радянська, 90, с.Будераж, Здолбунівський р-н, Рівненська обл., 35752","540","210","493","32","301","29","330","","0","301","29","330","10","320","0","10","119","82","27","6","0","0","3","73","29.10.12"
"560365","154","Рівненська область","клуб, актова зала
вул.Центральна, 33А, с.Зелений Дуб, Здолбунівський р-н, Рівненська обл., 35752","78","19","80","0","59","0","59","","0","59","0","59","4","55","0","2","14","28","5","2","0","0","0","4","28.10.12"
"560366","154","Рівненська область","клуб, актова зала
вул.Центральна, 26, с.Мости, Здолбунівський р-н, Рівненська обл., 35752","132","29","133","17","87","16","103","","0","87","16","103","4","99","2","2","39","26","13","2","2","0","0","13","29.10.12"
"560367","154","Рівненська область","школа, фойє
вул.Осередок, 3, с.Буща, Здолбунівський р-н, Рівненська обл., 35753","648","221","635","37","395","32","427","","0","395","32","427","13","414","0","7","108","184","43","3","3","5","5","56","29.10.12"
"560368","154","Рівненська область","ФАП, оглядовий кабінет
вул.Вишнева, 13, с.Борщівка Друга, Здолбунівський р-н, Рівненська обл., 35753","156","66","153","21","72","18","90","","0","72","18","90","4","86","1","1","26","27","18","2","0","0","0","11","28.10.12"
"560369","154","Рівненська область","сільська рада, зал урочистих подій
вул.Центральна, 17, с.Глинськ, Здолбунівський р-н, Рівненська обл., 35710","1416","593","1394","79","757","66","823","","0","757","66","823","43","780","1","19","294","294","68","8","3","1","8","84","29.10.12"
"560370","154","Рівненська область","Дерманський НВК, актова зала
вул.Шкільна, 1, с.Дермань Друга, Здолбунівський р-н, Рівненська обл., 35751","750","314","748","47","392","44","436","","0","392","44","436","8","428","0","12","166","140","43","3","2","0","4","58","29.10.12"
"560371","154","Рівненська область","будинок культури, актова зала
вул.Шевченка, 1А, с.Дермань Перша, Здолбунівський р-н, Рівненська обл., 35750","684","271","672","68","349","64","413","","0","349","64","413","13","400","0","6","156","136","28","9","3","4","7","51","28.10.12"
"560372","154","Рівненська область","будинок культури, танцювальний зал
вул.Шосова, 120, с.Здовбиця, Здолбунівський р-н, Рівненська обл., 35709","1308","544","1283","32","737","27","764","","0","737","27","764","22","742","5","25","143","343","68","11","4","2","7","134","29.10.12"
"560373","154","Рівненська область","сільська рада, зал засідань
вул.Шосова, 105, с.Здовбиця, Здолбунівський р-н, Рівненська обл., 35709","1314","545","1295","35","744","25","769","","0","744","25","769","23","746","7","15","181","336","88","5","4","4","6","100","29.10.12"
"560374","154","Рівненська область","школа, фойє
вул.Шосова, 126, с.Здовбиця, Здолбунівський р-н, Рівненська обл., 35709","1476","664","1467","32","789","23","812","","0","789","23","812","26","786","5","19","169","372","59","13","8","0","7","134","29.10.12"
"560375","154","Рівненська область","будинок культури, фойє
вул.Шкільна, 10А, с.Копиткове, Здолбунівський р-н, Рівненська обл., 35720","618","225","609","31","362","31","393","","0","362","31","393","11","382","0","8","126","129","27","7","1","2","5","77","29.10.12"
"560376","154","Рівненська область","клуб, актова зала
вул.Центральна, 39А, с.Новомильськ, Здолбунівський р-н, Рівненська обл., 35763","678","256","670","30","392","30","422","","0","392","30","422","16","406","5","11","78","202","36","8","3","2","3","58","29.10.12"
"560377","154","Рівненська область","клуб, актова зала
вул.Приходька, 15, с.Степанівка, Здолбунівський р-н, Рівненська обл., 35720","144","48","137","8","88","8","96","","0","88","8","96","5","91","0","6","26","34","15","1","1","0","0","8","28.10.12"
"560378","154","Рівненська область","будинок культури, фойє
вул.Незалежності, 9А, с.Мала Мощаниця, Здолбунівський р-н, Рівненська обл., 35730","474","152","467","14","309","13","322","","0","309","13","322","7","315","1","2","90","79","21","2","3","1","0","116","29.10.12"
"560379","154","Рівненська область","клуб, актова зала
вул.Т.Бульби, 24А, с.Залібівка, Здолбунівський р-н, Рівненська обл., 35730","102","20","101","0","82","0","82","","0","82","0","82","3","79","0","1","28","17","12","2","0","0","0","19","29.10.12"
"560380","154","Рівненська область","клуб, фойє 1-й поверх
вул.Шевченка, 75, с.Гільча Перша, Здолбунівський р-н, Рівненська обл., 35761","408","175","400","0","233","0","233","","0","233","0","233","10","223","2","12","73","68","33","2","0","0","0","33","29.10.12"
"560381","154","Рівненська область","сільська рада, зал засідань
вул.Б.Хмельницького, 70, с.Миротин, Здолбунівський р-н, Рівненська обл., 35721","252","106","253","10","137","9","146","","0","137","9","146","6","140","1","13","31","49","19","3","0","1","2","21","29.10.12"
"560382","154","Рівненська область","клуб, фойє 1-й поверх
вул.Дружби, 38А, с.Миротин, Здолбунівський р-н, Рівненська обл., 35721","222","90","218","6","126","6","132","","0","126","6","132","5","127","0","10","45","44","16","2","1","0","0","9","28.10.12"
"560383","154","Рівненська область","будинок культури, фойє
вул.Сільрадська, 44, с.Івачків, Здолбунівський р-н, Рівненська обл., 35722","762","281","747","43","438","43","481","","0","438","43","481","19","462","2","11","120","184","38","10","2","4","5","86","29.10.12"
"560384","154","Рівненська область","клуб, зал
вул.Центральна, 34, с.Нова Мощаниця, Здолбунівський р-н, Рівненська обл., 35744","570","229","553","16","328","13","341","","0","328","13","341","6","335","1","0","78","50","20","2","2","0","0","182","29.10.12"
"560385","154","Рівненська область","клуб, актова зала
вул.Шкільна, 3, с.Новосілки, Здолбунівський р-н, Рівненська обл., 35723","396","147","390","12","238","11","249","","0","238","11","249","13","236","0","6","54","87","49","2","2","0","1","35","29.10.12"
"560386","154","Рівненська область","будинок культури, фойє
вул.17-го Вересня, 58, с.Півче, Здолбунівський р-н, Рівненська обл., 35743","264","91","260","14","160","13","173","","0","160","13","173","12","161","1","0","44","68","9","0","0","1","3","35","29.10.12"
"560387","154","Рівненська область","сільська рада, к.1
вул.17-го Вересня, 60, с.Півче, Здолбунівський р-н, Рівненська обл., 35743","270","95","268","8","167","8","175","","0","167","8","175","5","170","0","1","41","82","15","0","2","1","0","28","29.10.12"
"560388","154","Рівненська область","клуб, актова зала
вул.Центральна, 25Б, с.П’ятигори, Здолбунівський р-н, Рівненська обл., 35764","444","129","434","19","300","15","315","","0","300","15","315","16","299","2","16","67","152","26","0","2","2","2","30","29.10.12"
"560389","154","Рівненська область","сільська рада, зал урочистих подій
вул.Сагайдачного, 3, с.Спасів, Здолбунівський р-н, Рівненська обл., 35713","570","223","559","14","334","13","347","","0","334","13","347","14","333","1","4","114","126","46","6","0","1","7","28","28.10.12"
"560390","154","Рівненська область","клуб, актова зала
вул.Квітнева, 2Б, с.Стеблівка, Здолбунівський р-н, Рівненська обл., 35740","414","213","401","10","192","9","201","","0","192","9","201","4","197","0","7","40","95","19","0","1","0","0","35","29.10.12"
"560391","154","Рівненська область","школа, кл.2
вул.Миру, 25, с.Цурків, Здолбунівський р-н, Рівненська обл., 35713","300","117","303","3","180","3","183","","0","180","3","183","16","167","2","5","58","71","13","3","1","0","4","10","28.10.12"
"560392","154","Рівненська область","клуб, глядацький зал
вул.Центральна, 23, с.Стара Мощаниця, Здолбунівський р-н, Рівненська обл., 35742","324","133","309","12","179","12","191","","0","179","12","191","3","188","0","1","38","27","8","0","0","0","0","114","28.10.12"
"560393","154","Рівненська область","будинок культури, велика зала
вул.Центральна, 2, с.Ступно, Здолбунівський р-н, Рівненська обл., 35731","672","301","666","53","331","40","371","","0","331","40","371","6","365","0","1","44","52","16","1","0","0","0","251","29.10.12"
"560394","154","Рівненська область","сільська рада, актова зала
вул.Щорса, 35, с.Уїздці, Здолбунівський р-н, Рівненська обл., 35711","864","355","855","38","476","33","509","","0","476","33","509","27","482","4","8","161","149","41","7","2","7","41","62","28.10.12"
"560395","154","Рівненська область","школа, кабінет математики
вул.Травнева, 2А, с.Кунин, Здолбунівський р-н, Рівненська обл., 35712","630","209","629","37","386","35","421","","0","386","35","421","17","404","3","8","128","144","36","4","3","9","5","64","29.10.12"
"560396","154","Рівненська область","клуб, зал гурткової роботи
вул.Молодіжна, 10А, с.Лідаво, Здолбунівський р-н, Рівненська обл., 35709","360","127","355","18","216","17","233","","0","216","17","233","8","225","2","5","58","84","23","5","1","1","4","42","29.10.12"
"560397","154","Рівненська область","будинок культури, актова зала
вул.Першотравнева, 65В, с.Гільча Друга, Здолбунівський р-н, Рівненська обл., 35715","798","334","786","87","394","70","464","","0","394","70","464","24","440","6","10","191","109","38","7","7","4","8","60","29.10.12"
