"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вознюк
Юрій
Володимирович","Заєць
Іван
Олександрович","Лебедюк
Назарій
Віталійович","Музичко
Олександр
Іванович","Нікішин
Олександр
Олександрович","Хахльов
Олексій
Володимирович","Шавурський
Валентин
Броніславович","Юхименко
Анатолій
Олексійович","Дата підписання протоколу"
"560437","153","Рівненська область","ФАП, кабінет фельдшера
вул.Грушевського, 13, с.Бранів, Корецький р-н, Рівненська обл., 34730","144","56","144","12","77","11","88","","0","77","11","88","3","85","51","2","0","0","0","3","0","29","29.10.12"
"560438","153","Рівненська область","школа, фойє
вул.Шкільна, 3, с.Стовпин, Корецький р-н, Рівненська обл., 34731","440","183","434","11","247","10","257","","0","247","10","257","6","251","89","10","1","0","0","29","3","119","29.10.12"
"560439","153","Рівненська область","школа, фойє
вул.Вишнева, 20, с.Сторожів, Корецький р-н, Рівненська обл., 34714","448","153","438","22","274","21","295","","0","274","21","295","16","279","107","22","0","2","1","48","1","98","29.10.12"
"560440","153","Рівненська область","клуб, танцювальна зала
вул.Шевченка, 58, с.Устя, Корецький р-н, Рівненська обл., 34710","504","150","502","26","329","25","354","","0","329","25","354","17","337","99","13","0","3","2","86","5","129","29.10.12"
"560441","153","Рівненська область","школа, фойє
вул.Шевченка, 13, с.Франкопіль, Корецький р-н, Рівненська обл., 34710","112","33","104","9","71","8","79","","0","71","8","79","1","78","29","5","0","0","0","10","1","33","29.10.12"
"560442","153","Рівненська область","школа, фойє
вул.Шевченка, 26, с.Дерманка, Корецький р-н, Рівненська обл., 34710","128","44","119","13","71","13","84","","0","71","13","84","1","83","15","2","0","0","0","3","0","63","29.10.12"
"560443","153","Рівненська область","сільська рада, великий зал
вул.Шкільна, 1, с.Харалуг, Корецький р-н, Рівненська обл., 34723","264","60","256","22","182","22","204","","0","182","22","204","0","204","45","2","0","2","0","8","0","147","29.10.12"
"560444","153","Рівненська область","Будинок культури, кімната засідень та ігрова кімната
вул.Центральна, 34, с.Щекичин, Корецький р-н, Рівненська обл., 34720","568","235","555","41","297","36","333","","0","297","36","333","15","318","113","24","4","2","2","64","3","106","28.10.12"
"560445","153","Рівненська область","клуб, танцювальна зала
вул.Набережна, 11, с.Мала Совпа, Корецький р-н, Рівненська обл., 34753","320","153","315","18","157","10","167","","0","157","10","167","14","153","61","6","0","1","0","34","2","49","28.10.12"
"560569","153","Рівненська область","сільська рада, зала засідань
вул.Центральна, 47, с.Білашів, Острозький р-н, Рівненська обл., 35842","536","192","527","35","311","33","344","","0","311","33","344","10","334","146","33","5","3","1","39","35","72","29.10.12"
"560570","153","Рівненська область","сільський клуб, фойє
вул.Шевченка, 34А, с.Точевики, Острозький р-н, Рівненська обл., 35842","232","83","223","10","141","8","149","","0","141","8","149","8","141","59","9","0","0","0","7","12","54","29.10.12"
"560571","153","Рівненська область","сільська рада, актова зала
вул.1 Травня, 1, с.Бухарів, Острозький р-н, Рівненська обл., 35811","352","131","348","19","204","17","221","","0","204","17","221","10","211","89","19","5","0","2","16","3","77","29.10.12"
"560572","153","Рівненська область","сільський клуб, танцювальна зала
вул.Шкільна, 1А, с.Михалківці, Острозький р-н, Рівненська обл., 35811","152","38","148","5","109","5","114","","0","109","5","114","7","107","54","5","1","0","0","14","0","33","29.10.12"
"560573","153","Рівненська область","школа, фойє
вул.Шевченка, 2, с.Вельбівно, Острозький р-н, Рівненська обл., 35809","1240","487","1228","46","710","43","753","","0","709","43","752","36","716","274","41","3","4","8","67","14","305","29.10.12"
"560574","153","Рівненська область","школа, навчальний каб.2
вул.Механізаторів, 1, с.Бадівка, Острозький р-н, Рівненська обл., 35809","264","85","259","16","165","14","179","","0","165","14","179","1","178","76","13","0","1","1","31","2","54","29.10.12"
"560575","153","Рівненська область","школа, спортивна зала
вул.Центральна, 75, с.Вілія, Острозький р-н, Рівненська обл., 35852","432","138","427","22","272","22","294","","0","272","22","294","11","283","79","12","1","0","0","29","6","156","30.10.12"
"560576","153","Рівненська область","будинок культури, фойє
вул.Миру, 2А, с.Верхів, Острозький р-н, Рівненська обл., 35825","536","172","530","12","353","11","364","","0","353","11","364","12","352","155","26","7","0","3","38","6","117","29.10.12"
"560577","153","Рівненська область","сільська рада, зала урочистих подій
вул.Центральна, 80, с.Грем’яче, Острозький р-н, Рівненська обл., 35841","816","291","799","22","508","17","525","","0","508","17","525","24","501","275","70","5","2","0","54","13","82","29.10.12"
"560578","153","Рівненська область","будинок культури, фойє
вул.Набережна, 1, с.Грозів, Острозький р-н, Рівненська обл., 35841","576","180","565","22","374","22","396","","0","374","22","396","19","377","137","71","5","0","2","45","4","113","28.10.12"
"560579","153","Рівненська область","будинок культури, актова зала
вул.Центральна, 32А, с.Кутянка, Острозький р-н, Рівненська обл., 35850","360","88","353","12","260","12","272","","0","260","12","272","10","262","85","21","2","0","0","46","4","104","29.10.12"
"560580","153","Рівненська область","школа, клас №1
вул.Планова, 1А, с.Болотківці, Острозький р-н, Рівненська обл., 35861","376","121","367","12","243","12","255","","0","243","12","255","11","244","68","37","6","2","1","26","7","97","29.10.12"
"560581","153","Рівненська область","сільський клуб, актова зала
вул.Андреєва, 52А, с.Ілляшівка, Острозький р-н, Рівненська обл., 35850","128","30","124","12","86","12","98","","0","86","12","98","0","98","21","19","0","0","0","21","1","36","29.10.12"
"560582","153","Рівненська область","будинок культури, танцювальна зала
вул.Вигін, 1, с.Межиріч, Острозький р-н, Рівненська обл., 35808","1184","423","1170","6","755","6","761","","0","755","6","761","32","729","263","70","1","2","5","197","19","172","29.10.12"
"560583","153","Рівненська область","школа, спортивна кім.1
вул.Велика Слобідка, 91, с.Слобідка, Острозький р-н, Рівненська обл., 35808","408","144","402","8","256","8","264","","0","256","8","264","9","255","116","5","2","1","0","54","11","66","29.10.12"
"560584","153","Рівненська область","сільський клуб, танцювальна зала
вул.Шевченка, 71, с.Милятин, Острозький р-н, Рівненська обл., 35830","448","139","436","29","282","27","309","","0","282","27","309","4","305","141","16","1","1","1","38","1","106","29.10.12"
"560585","153","Рівненська область","сільський клуб, танцювальна зала
вул.Центральна, 75, с.Могиляни, Острозький р-н, Рівненська обл., 35832","1304","559","1279","61","688","57","745","","0","688","57","745","23","722","478","21","6","3","2","54","4","154","29.10.12"
"560586","153","Рівненська область","будинок культури, танцювальна зала
вул.Шевченка, 2А, с.Мощаниця, Острозький р-н, Рівненська обл., 35833","816","313","797","10","493","10","503","","0","493","10","503","32","471","213","35","4","8","1","76","3","131","29.10.12"
"560587","153","Рівненська область","школа, класний кабінет
вул.Шевченка, 1А, с.Волосківці, Острозький р-н, Рівненська обл., 35832","256","50","259","25","185","21","206","","0","185","21","206","6","200","106","11","3","5","3","35","3","34","29.10.12"
"560588","153","Рівненська область","сільський клуб, танцювальна зала
вул.Шевченка, 1А, с.Кургани, Острозький р-н, Рівненська обл., 35832","272","98","263","4","170","4","174","","0","170","4","174","4","170","82","5","1","0","1","29","3","49","29.10.12"
"560589","153","Рівненська область","сільський клуб, великий зал
вул.Ювілейна, 3, с.Новомалин, Острозький р-н, Рівненська обл., 35843","496","180","491","19","297","19","316","","0","297","19","316","10","306","82","24","4","0","0","53","14","129","29.10.12"
"560590","153","Рівненська область","фельдшерсько-акушерський пункт, процедурна
вул.Жовтнева, 9, с.Лючин, Острозький р-н, Рівненська обл., 35843","336","143","326","6","187","6","193","","0","187","6","193","5","188","80","14","1","1","0","35","6","51","29.10.12"
"560591","153","Рівненська область","будинок культури, актова зала
вул.Центральна, 46, с.Новородчиці, Острозький р-н, Рівненська обл., 35851","224","42","221","15","167","15","182","","0","167","15","182","2","180","59","12","2","0","3","49","11","44","29.10.12"
"560592","153","Рівненська область","сільський клуб, актова зала
вул.Центральна, 38, с.Теремне, Острозький р-н, Рівненська обл., 35851","272","67","265","19","186","19","205","","0","186","19","205","5","200","88","10","0","1","3","46","5","47","29.10.12"
"560593","153","Рівненська область","сільський клуб, фойє
вул.1 Травня, 3, с.Оженин, Острозький р-н, Рівненська обл., 35820","1544","681","1518","28","839","24","863","","0","839","24","863","31","832","430","118","9","7","3","132","20","113","29.10.12"
"560594","153","Рівненська область","ВАТ НВП ""Захід-цукор"", актова зала
вул.Заводська, 31, с.Оженин, Острозький р-н, Рівненська обл., 35820","712","307","708","9","398","7","405","","0","398","7","405","7","398","214","48","1","4","2","48","9","72","29.10.12"
"560595","153","Рівненська область","гуртожиток, актова зала
вул.Заводська, 5А, с.Оженин, Острозький р-н, Рівненська обл., 35820","1040","432","1018","8","601","7","608","","0","601","7","608","25","583","308","24","7","4","1","90","9","140","29.10.12"
"560596","153","Рівненська область","школа, спортивна зала
вул.Мирна, 35, с.Бродів, Острозький р-н, Рівненська обл., 35822","256","99","253","5","152","5","157","","0","152","5","157","6","151","86","8","3","2","0","5","2","45","29.10.12"
"560597","153","Рівненська область","будинок культури, фойє
вул.Мирна, 39А, с.Країв, Острозький р-н, Рівненська обл., 35823","384","144","375","16","224","16","240","","0","224","16","240","18","222","126","15","4","4","1","24","3","45","29.10.12"
"560598","153","Рівненська область","сільський клуб, актова зала
вул.Інтернаціоналістів, 26Б, с.Стадники, Острозький р-н, Рівненська обл., 35867","424","104","418","9","311","9","320","","0","311","9","320","7","313","171","10","2","0","0","40","5","85","29.10.12"
"560599","153","Рівненська область","будинок культури, фойє
вул.Острозька, 74, с.Плоске, Острозький р-н, Рівненська обл., 35826","944","377","932","46","524","43","567","","0","524","43","567","27","540","266","70","2","8","1","68","10","115","29.10.12"
"560600","153","Рівненська область","будинок культури, актова зала
вул.Незалежності, 25, с.Почапки, Острозький р-н, Рівненська обл., 35830","408","139","402","22","247","22","269","","0","247","22","269","13","256","96","22","4","0","1","45","6","82","29.10.12"
"560601","153","Рівненська область","Сільський клуб, актова зала
вул.Центральна, 119, с.Розваж, Острозький р-н, Рівненська обл., 35866","864","296","857","19","550","18","568","","0","550","18","568","25","543","195","66","3","0","1","97","26","155","29.10.12"
"560602","153","Рівненська область","сільський клуб, фойє
вул.Ватутіна, 25, с.Сіянці, Острозький р-н, Рівненська обл., 35812","432","112","423","28","292","28","320","","0","292","28","320","10","310","122","20","0","1","2","30","9","126","29.10.12"
"560603","153","Рівненська область","сільський клуб, фойє
вул.Ватутіна, 6, с.Садки, Острозький р-н, Рівненська обл., 35812","240","54","230","32","154","32","186","","0","154","32","186","3","183","78","11","0","2","0","18","4","70","29.10.12"
"560604","153","Рівненська область","школа, фойє
вул.Центральна, 5, с.Тесів, Острозький р-н, Рівненська обл., 35810","280","75","247","30","175","30","205","","0","175","30","205","1","204","71","17","2","0","0","36","13","65","29.10.12"
"560605","153","Рівненська область","сільський клуб, актова зала
вул.Садова, 16, с.Хрінів, Острозький р-н, Рівненська обл., 35810","120","35","109","8","77","8","85","","0","77","8","85","2","83","42","2","1","0","0","3","9","26","29.10.12"
"560606","153","Рівненська область","школа, спортивна зала
вул.Шкільна, 25А, с.Українка, Острозький р-н, Рівненська обл., 35824","832","317","823","64","459","56","515","","0","459","56","515","17","498","275","42","1","5","4","55","18","98","29.10.12"
"560607","153","Рівненська область","будинок культури, фойє
вул.Шкільна, 8, с.Хорів, Острозький р-н, Рівненська обл., 35840","992","415","986","10","567","10","577","","0","567","10","577","15","562","279","34","5","4","4","81","17","138","29.10.12"
"560608","153","Рівненська область","Молитовний дім, зал, 1-й поверх
вул.Б. Хмельницького, 117, с.Бродівське, Острозький р-н, Рівненська обл., 35840","656","283","648","10","364","9","373","","0","364","9","373","5","368","157","29","1","1","1","49","14","116","29.10.12"
"560655","153","Рівненська область","будинок культури, танцювальний зал
вул.Радгоспна, 45, с.Біла Криниця, Рівненський р-н, Рівненська обл., 35342","2264","821","2237","53","1398","45","1443","","0","1398","45","1443","44","1399","834","91","12","23","12","110","19","298","29.10.12"
"560656","153","Рівненська область","ФАП, їдальня
вул.Київська, 56, с.Антопіль, Рівненський р-н, Рівненська обл., 35371","448","149","447","15","284","15","299","","0","284","15","299","7","292","172","12","2","5","3","22","4","72","29.10.12"
"560657","153","Рівненська область","школа, учительська
вул.Піщана, 1, с.Глинки, Рівненський р-н, Рівненська обл., 35342","312","109","300","12","191","12","203","","0","191","12","203","11","192","55","12","0","1","0","23","4","97","29.10.12"
"560658","153","Рівненська область","школа, фойє
вул.Шкільна, 1А, с.Бронники, Рівненський р-н, Рівненська обл., 35330","720","300","708","22","399","21","420","","0","398","21","419","14","405","198","29","5","6","1","42","5","119","29.10.12"
"560659","153","Рівненська область","школа, спортивний зал
вул.Миру, 14Б, с.Рогачів, Рівненський р-н, Рівненська обл., 35330","264","84","260","3","178","2","180","","0","178","2","180","5","175","110","5","2","0","1","9","1","47","29.10.12"
"560660","153","Рівненська область","ФАП, к.1
вул.Монастирська, 39А, с.Білівські Хутори, Рівненський р-н, Рівненська обл., 35330","96","40","90","4","53","3","56","","0","53","3","56","2","54","30","1","0","0","0","0","0","23","29.10.12"
"560661","153","Рівненська область","будинок культури, фойє
вул.Рівненська, 76А, с.Великий Житин, Рівненський р-н, Рівненська обл., 35340","1120","392","1112","42","690","38","728","","0","690","38","728","15","713","392","53","4","23","3","46","5","187","29.10.12"
"560662","153","Рівненська область","школа, спотрзал
вул.Кузнєцова, 52Б, с.Малий Житин, Рівненський р-н, Рівненська обл., 35376","440","101","435","24","315","24","339","","0","315","24","339","13","326","102","16","1","5","1","73","1","127","29.10.12"
"560663","153","Рівненська область","школа, спотрзал
вул.Шкільна, 14, с.Бармаки, Рівненський р-н, Рівненська обл., 35372","752","235","748","23","494","23","517","","0","494","23","517","19","498","217","34","1","71","0","58","9","108","29.10.12"
"560664","153","Рівненська область","будинок культури, хол
вул.Шевченка, 77, с.Велика Омеляна, Рівненський р-н, Рівненська обл., 35360","1456","570","1442","32","859","27","886","","0","859","27","886","29","857","450","58","6","4","5","111","26","197","29.10.12"
"560665","153","Рівненська область","будинок культури, актовий зал
вул.Центральна, 5, с.Вересневе, Рівненський р-н, Рівненська обл., 33004","624","148","625","8","468","8","476","","0","468","8","476","28","448","276","16","7","1","3","41","4","100","29.10.12"
"560666","153","Рівненська область","школа, коридор
вул.Шкільна, 2, с.Верхівськ, Рівненський р-н, Рівненська обл., 35336","808","329","793","30","452","27","479","","0","452","27","479","21","458","201","34","3","5","2","52","5","156","29.10.12"
"560667","153","Рівненська область","ФАП, к.1
вул.Козацька, 14, с.Макотерти, Рівненський р-н, Рівненська обл., 35337","192","67","187","33","93","32","125","","0","93","32","125","3","122","40","16","3","0","0","33","1","29","29.10.12"
"560668","153","Рівненська область","ФАП, к.1
вул.Старослов’янська, 1, с.Пересопниця, Рівненський р-н, Рівненська обл., 35337","96","31","93","17","52","13","65","","0","52","13","65","1","64","22","2","0","0","0","33","0","7","29.10.12"
"560669","153","Рівненська область","школа, коридор
вул.Рівненська, 76, с.Городище, Рівненський р-н, Рівненська обл., 35341","1520","593","1506","27","905","22","927","","0","905","22","927","49","878","512","53","11","16","11","70","19","186","29.10.12"
"560670","153","Рівненська область","будинок культури, актовий зал
вул.Першотравнева, 2, с.Городок, Рівненський р-н, Рівненська обл., 35331","2368","767","2345","66","1535","66","1601","","0","1535","66","1601","59","1542","786","84","26","19","8","94","24","501","29.10.12"
"560671","153","Рівненська область","будинок культури, актовий зал
вул.Центральна, 12, с.Карпилівка, Рівненський р-н, рівненська обл., 35332","1280","346","1280","28","906","28","934","","0","906","28","934","39","895","459","44","12","10","7","80","6","277","29.10.12"
"560672","153","Рівненська область","сільський клуб, танцювальний зал
вул.Центральна, 45А, с.Михайлівка, Рівненський р-н, Рівненська обл., 35332","56","11","53","3","42","3","45","","0","42","3","45","0","45","21","2","1","0","0","1","1","19","28.10.12"
"560673","153","Рівненська область","сільський клуб, танцювальний зал
вул.Зелена, 7, с.Караєвичі, Рівненський р-н, Рівненська обл., 35331","184","48","180","1","135","1","136","","0","135","1","136","4","132","83","6","1","0","0","6","0","36","29.10.12"
"560674","153","Рівненська область","сільський клуб, танцювальний зал
вул.Центральна, 75, с.Метків, Рівненський р-н, Рівненська обл., 33017","216","64","218","7","145","7","152","","0","145","7","152","2","150","94","0","3","1","1","2","2","47","29.10.12"
"560675","153","Рівненська область","будинок культури, фойє
вул.Шкільна, 8, с.Грушвиця Перша, Рівненський р-н, Рівненська обл., 35364","712","260","698","75","385","67","452","","0","385","67","452","19","433","163","24","7","6","0","35","29","169","29.10.12"
"560676","153","Рівненська область","сільська рада, фойє
вул.40 річчя Перемоги, 1, с.Грушвиця Друга, Рівненський р-н, Рівненська обл., 35364","176","44","173","24","112","20","132","","0","112","20","132","1","131","58","7","0","1","1","16","6","42","29.10.12"
"560677","153","Рівненська область","сільський клуб, танцювальний зал
вул.Лісова, 47, с.Мартинівка, Рівненський р-н, Рівненська обл., 35364","168","61","161","37","73","34","107","","0","73","34","107","1","106","57","7","2","0","1","4","1","34","29.10.12"
"560678","153","Рівненська область","сільський клуб, танцювалький зал
вул.Козацький Шлях, 46А, с.Дядьковичі, Рівненський р-н, Рівненська обл., 35361","1056","336","1039","70","651","69","720","","0","651","69","720","24","696","290","54","3","8","2","14","101","224","29.10.12"
"560679","153","Рівненська область","сільський клуб, танцювальний зал
вул.Троїцька, 44, с.Милостів, Рівненський р-н, Рівненська обл., 35361","216","59","212","25","134","23","157","","0","134","23","157","3","154","56","3","3","5","1","14","6","66","28.10.12"
"560680","153","Рівненська область","сільська рада, актовий зал
вул.Центральна, 7, с.Жобрин, Рівненський р-н, Рівненська обл., 35310","896","366","894","61","471","59","530","","0","471","59","530","30","500","260","38","3","6","1","40","5","147","29.10.12"
"560681","153","Рівненська область","сільський клуб, актовий зал
вул.Лесі Українки, 44, с.Руда-Красна, Рівненський р-н, Рівненська обл., 35311","424","117","410","37","273","34","307","","0","273","34","307","7","300","123","20","0","2","0","19","2","134","29.10.12"
"560682","153","Рівненська область","сільський клуб, зал урочистих подій
вул.Шкільна, 40, с.Забороль, Рівненський р-н, Рівненська обл., 35324","1056","360","1049","115","613","83","696","","0","613","83","696","26","670","288","41","6","11","2","67","6","249","29.10.12"
"560683","153","Рівненська область","школа, фойє
вул.Шевченка, 8, с.Білів, Рівненський р-н, Рівненська обл., 35317","432","165","422","38","239","28","267","","0","239","28","267","7","260","93","11","6","3","2","40","0","105","29.10.12"
"560684","153","Рівненська область","ПрАТ ""Агрофірма Зоря"", актовий зал
вул.Центральна, 54, с.Голишів, Рівненський р-н, Рівненська обл., 35315","1000","354","988","76","573","73","646","","0","573","73","646","22","624","354","70","2","5","1","65","4","123","29.10.12"
"560685","153","Рівненська область","сільський клуб, фойє
вул.Чорновола, 9, с.Грабів, Рівненський р-н, Рівненська обл., 35316","936","312","928","32","592","32","624","","0","592","32","624","19","605","386","19","5","15","3","96","9","72","29.10.12"
"560686","153","Рівненська область","сільський клуб, фойє
вул.Кузнецова, 122А, с.Дерев’яне, Рівненський р-н, Рівненська обл., 35311","584","225","577","35","327","32","359","","0","327","32","359","5","354","230","15","3","7","2","49","5","43","29.10.12"
"560687","153","Рівненська область","палац культури, фойє
пл.Жовтнева, 2А/1, с.Зоря, Рівненський р-н, Рівненська обл., 35314","2072","857","2045","25","1196","19","1215","","0","1196","19","1215","56","1159","541","85","27","24","9","206","25","242","29.10.12"
"560688","153","Рівненська область","палац культури, зимовий сад
пл.Жовтнева, 2А/1, с.Зоря, Рівненський р-н, Рівненська обл., 35314","2336","916","2310","37","1387","33","1420","","0","1387","33","1420","85","1335","698","111","23","18","14","215","24","232","29.10.12"
"560689","153","Рівненська область","школа, фойє
вул.Миру, 52, с.Новостав, Рівненський р-н, Рівненська обл., 35311","744","263","734","34","448","33","481","","0","448","33","481","16","465","290","29","3","2","2","63","6","70","29.10.12"
"560690","153","Рівненська область","сільський клуб, зал урочистих подій
вул.Островського, 11А, с.Старожуків, Рівненський р-н, Рівненська обл., 35317","288","89","278","20","181","18","199","","0","181","18","199","9","190","121","8","0","5","0","25","2","29","29.10.12"
"560691","153","Рівненська область","будинок культури, зал урочистих подій
вул.Центральна, 41Б, с.Корнин, Рівненський р-н, Рівненська обл., 35304","1912","623","1915","40","1253","36","1289","","0","1253","36","1289","75","1214","655","82","8","15","7","136","13","298","29.10.12"
