"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бущик
Петро
Григорович","Грицюк
Анатолій
Петрович","Грицюк
Андрій
Іванович","Єремеєв
Ігор
Миронович","Козік
Ігор
Петрович","Кононенко
Дмитро
Євгенович","Лондар
Олексій
Сергійович","Олешко
Петро
Степанович","Прохоренко
Володимир
Анатолійович","Розтока
Андрій
Вячеславович","Дата підписання протоколу"
"070289","23","Волинська область","школа, коридор
вул.Шкільна, 1Д, с.Мощаниця, Ківерцівський р-н, Волинська обл., 45260","270","79","274","24","169","22","191","","0","169","22","191","8","183","4","64","14","83","1","4","1","4","1","7","29.10.12"
"070290","23","Волинська область","школа, коридор
вул.Миру, 17, с.Дідичі, Ківерцівський р-н, Волинська обл., 45261","714","203","712","46","465","46","511","","0","465","46","511","8","503","13","171","18","261","1","5","10","2","1","21","29.10.12"
"070291","23","Волинська область","школа, коридор
вул.Шкільна, 1, с.Залісоче, Ківерцівський р-н, Волинська обл., 45262","756","236","752","47","473","47","520","","0","473","47","520","15","505","5","176","32","232","4","6","5","9","3","33","29.10.12"
"070292","23","Волинська область","школа, кл.1
вул.Ломоносова, 9А, с.Кадище, Ківерцівський р-н, Волинська обл., 45234","114","26","109","6","82","6","88","","0","82","6","88","2","86","6","32","3","39","1","0","2","1","0","2","29.10.12"
"070293","23","Волинська область","школа, актова зала
вул.Ватутіна, 38, с.Дубище, Ківерцівський р-н, Волинська обл., 45236","216","46","211","23","150","20","170","","0","150","20","170","3","167","6","33","9","94","0","2","0","17","3","3","29.10.12"
"070294","23","Волинська область","школа, актова зала
вул.Шкільна, 15А, с.Башлики, Ківерцівський р-н, Волинська обл., 45237","660","186","662","33","441","33","474","","0","441","33","474","12","462","3","193","15","237","1","5","3","0","0","5","29.10.12"
"070295","23","Волинська область","фельдшерсько-акушерський пункт, к.1
вул.Незалежності, 9, с.Ромашківка, Ківерцівський р-н, Волинська обл., 45236","210","43","204","7","161","6","167","","0","161","6","167","2","165","2","42","10","96","0","0","2","4","1","8","29.10.12"
"070296","23","Волинська область","школа, фойє
вул.Б.Хмельницького, 3, с.Жидичин, Ківерцівський р-н, Волинська обл., 45240","1158","337","1155","34","788","33","821","","0","788","33","821","10","811","5","454","41","241","4","7","9","9","1","40","29.10.12"
"070297","23","Волинська область","школа, класна кімната
вул.Заводська, 38А, с.Кульчин, Ківерцівський р-н, Волинська обл., 45241","732","250","728","9","475","7","482","","0","475","7","482","13","469","5","185","33","204","3","4","5","6","0","24","29.10.12"
"070298","23","Волинська область","школа-інтернат, класна кімната
вул.Санаторна, 8, с.Липляни, Ківерцівський р-н, Волинська обл., 45240","360","119","351","9","232","9","241","","0","232","9","241","1","240","6","103","9","100","1","1","1","2","0","17","29.10.12"
"070299","23","Волинська область","школа, спортивна зала
вул.Центральна, 14, с.Жорнище, Ківерцівський р-н, Волинська обл., 45264","708","143","698","55","517","48","565","","0","517","48","565","14","551","6","252","35","234","5","0","4","5","0","10","29.10.12"
"070300","23","Волинська область","школа, класна кімната
вул.Гагаріна, 22, с.Чемерин, Ківерцівський р-н, Волинська обл., 45264","324","68","259","26","233","23","256","","0","233","23","256","4","252","7","79","18","130","2","5","3","2","0","6","29.10.12"
"070301","23","Волинська область","школа, кл.1
вул.Шевченка, 72, с.Носовичі, Ківерцівський р-н, Волинська обл., 45264","216","52","214","33","133","31","164","","0","133","31","164","2","162","11","73","12","58","2","1","2","1","0","2","29.10.12"
"070302","23","Волинська область","школа, фойє
вул.Шевченка, 57, с.Журавичі, Ківерцівський р-н, Волинська обл., 45213","906","221","892","51","636","49","685","","0","636","49","685","12","673","12","363","41","231","0","0","9","3","2","12","29.10.12"
"070303","23","Волинська область","клуб, глядацька зала
вул.Лесі Українки, 29А, с.Домашів, Ківерцівський р-н, Волинська обл., 45213","186","24","182","19","145","17","162","","0","145","17","162","3","159","0","132","6","19","0","0","0","0","0","2","29.10.12"
"070304","23","Волинська область","клуб, глядацька зала
вул.Незалежності, 9А, с.Микове, Ківерцівський р-н, Волинська обл., 45213","108","20","106","13","75","13","88","","0","75","13","88","3","85","1","52","6","24","1","0","0","0","0","1","29.10.12"
"070305","23","Волинська область","школа, спортивна зала
вул.Шевченка, 36, с.Завітне, Ківерцівський р-н, Волинська обл., 45221","264","77","259","27","163","24","187","","0","163","24","187","2","185","1","58","14","102","0","1","7","1","0","1","29.10.12"
"070306","23","Волинська область","школа, спортивна зала
вул.Кравчука, 16, с.Човниця, Ківерцівський р-н, Волинська обл., 45222","234","52","228","14","169","13","182","","0","169","13","182","3","179","1","33","5","120","0","10","7","0","0","3","29.10.12"
"070307","23","Волинська область","школа, їдальня
вул.Київська, 49А, с.Звірів, Ківерцівський р-н, Волинська обл., 45250","486","113","481","34","339","34","373","","0","339","34","373","3","370","3","93","16","227","0","1","4","18","0","8","29.10.12"
"070308","23","Волинська область","клуб, глядацька зала
вул.1-го Травня, 10, с.Веснянка, Ківерцівський р-н, Волинська обл., 45250","294","73","292","27","196","25","221","","0","196","25","221","2","219","2","92","14","92","1","1","0","12","0","5","29.10.12"
"070309","23","Волинська область","будинок культури, глядацька зала
вул.Івана Франка, 9, с.Карпилівка, Ківерцівський р-н, Волинська обл., 45232","1122","527","1112","8","587","8","595","","0","587","8","595","18","577","8","223","20","290","0","6","3","8","1","18","29.10.12"
"070310","23","Волинська область","школа, коридор
вул.Шкільна, 26, с.Липне, Ківерцівський р-н, Волинська обл., 45212","1236","387","1221","72","777","72","849","","0","777","72","849","23","826","21","332","51","376","1","10","10","13","2","10","29.10.12"
"070311","23","Волинська область","школа, вестибюль
вул.Олексюка, 10, с.Озеро, Ківерцівський р-н, Волинська обл., 45222","540","174","537","22","345","21","366","","0","345","21","366","5","361","3","83","13","237","1","1","4","5","0","14","29.10.12"
"070312","23","Волинська область","клуб, глядацька зала
вул.Незалежності, 56А, с.Гайове, Ківерцівський р-н, Волинська обл., 45222","360","88","351","16","259","13","272","","0","259","13","272","9","263","1","132","22","96","1","4","0","2","0","5","29.10.12"
"070313","23","Волинська область","клуб, глядацька зала
вул.Жовтнева, 18А, с.Озерце, Ківерцівський р-н, Волинська обл., 45242","306","78","300","16","212","16","228","","0","212","16","228","2","226","3","71","3","131","3","1","2","4","1","7","29.10.12"
"070314","23","Волинська область","школа, кл.2
вул.Котляревського, 48, с.Небіжка, Ківерцівський р-н, Волинська обл., 45242","264","117","259","4","144","3","147","","0","144","3","147","8","139","2","54","12","56","0","7","0","2","0","6","29.10.12"
"070315","23","Волинська область","школа, коридор
вул.Незалежності, 89, с.Клепачів, Ківерцівський р-н, Волинська обл., 45242","348","115","336","17","218","15","233","","0","218","15","233","5","228","4","104","15","96","0","0","0","4","0","5","29.10.12"
"070316","23","Волинська область","школа, фойє
вул.Центральна, 31А, с.Омельне, Ківерцівський р-н, Волинська обл., 45210","552","185","540","49","325","42","367","","0","325","42","367","11","356","6","117","18","185","1","1","3","3","0","22","29.10.12"
"070317","23","Волинська область","школа, коридор
вул.Жовтнева, 101, с.Покащів, Ківерцівський р-н, Волинська обл., 45253","480","145","467","58","278","57","335","","0","278","57","335","1","334","5","93","22","206","2","2","0","0","0","4","29.10.12"
"070318","23","Волинська область","школа, актова зала
вул.Шкільна, 27А, с.Одеради, Ківерцівський р-н, Волинська обл., 45253","252","57","249","16","179","16","195","","0","179","16","195","2","193","3","76","16","88","0","3","0","1","0","6","29.10.12"
"070319","23","Волинська область","школа, спортивна зала
вул.Ківерцівська, 37Б, с.Прилуцьке, Ківерцівський р-н, Волинська обл., 45243","1548","551","1523","45","953","44","997","","0","953","44","997","23","974","15","361","43","384","6","15","29","33","1","87","29.10.12"
"070320","23","Волинська область","клуб, зала
вул.Шевченка, 6, с.Дачне, Ківерцівський р-н, Волинська обл., 45244","624","141","620","25","458","25","483","","0","458","25","483","8","475","11","171","13","220","1","7","4","9","0","39","29.10.12"
"070321","23","Волинська область","приватний будинок О.Голубіка, зала
вул.Вишнева, 2, с.Жабка, Ківерцівський р-н, Волинська обл., 45244","204","37","202","8","161","6","167","","0","161","6","167","3","164","3","69","14","66","0","0","1","1","1","9","29.10.12"
"070322","23","Волинська область","фельдшерсько-акушерський пункт, кімната фельдшера
вул.Лесі Українки, 8, с.Сапогове, Ківерцівський р-н, Волинська обл., 45243","138","43","138","15","80","15","95","","0","80","15","95","2","93","0","22","2","59","2","3","1","3","0","1","29.10.12"
"070323","23","Волинська область","школа, актова зала
вул.Шкільна, 1, с.Сильне, Ківерцівський р-н, Волинська обл., 45230","378","118","373","31","232","28","260","","0","232","28","260","1","259","1","106","22","121","1","2","3","0","0","3","29.10.12"
"070324","23","Волинська область","школа, спортивна зала
вул.Шкільна, 39, с.Городище, Ківерцівський р-н, Волинська обл., 45231","528","139","520","20","371","18","389","","0","371","18","389","14","375","4","153","32","170","0","8","4","1","0","3","29.10.12"
"070325","23","Волинська область","клуб, глядацька зала
вул.Комсомольська, 30, с.Клубочин, Ківерцівський р-н, Волинська обл., 45230","96","16","95","5","76","4","80","","0","76","4","80","4","76","4","37","4","27","1","0","0","0","0","3","29.10.12"
"070326","23","Волинська область","школа, спортивна зала
вул.Шкільна, 1, с.Сокиричі, Ківерцівський р-н, Волинська обл., 45223","720","296","711","23","401","23","424","","0","401","23","424","11","413","5","146","19","203","5","4","5","6","0","20","29.10.12"
"070327","23","Волинська область","школа, актова зала
вул.Шкільна, 1, с.Бодячів, Ківерцівський р-н, Волинська обл., 45224","504","213","498","21","271","20","291","","0","271","20","291","4","287","4","93","11","159","2","0","4","3","0","11","29.10.12"
"070328","23","Волинська область","школа, актова зала
вул.Шкільна, 1, с.Муравище, Ківерцівський р-н, Волинська обл., 45273","474","132","465","24","318","24","342","","0","318","24","342","8","334","6","107","22","173","5","2","7","1","2","9","29.10.12"
"070329","23","Волинська область","школа, фойє
вул.Молодіжна, 8, с.Суськ, Ківерцівський р-н, Волинська обл., 45220","360","104","360","21","236","20","256","","0","236","20","256","1","255","8","138","10","92","0","1","2","0","0","4","29.10.12"
"070330","23","Волинська область","школа, фойє
вул.Киричука, 42, с.Словатичі, Ківерцівський р-н, Волинська обл., 45220","240","41","241","14","186","13","199","","0","186","13","199","3","196","3","80","10","97","0","3","0","0","0","3","29.10.12"
"070331","23","Волинська область","школа, актова зала
вул.Жовтнева, 5, с.Звози, Ківерцівський р-н, Волинська обл., 45220","270","75","263","28","169","26","195","","0","169","26","195","3","192","2","104","4","71","0","1","0","3","1","6","29.10.12"
"070332","23","Волинська область","фельдшерсько-акушерський пункт, кабінет гігієни
вул.Колгоспна, 37, с.Славне, Ківерцівський р-н, Волинська обл., 45220","84","16","75","2","66","2","68","","0","66","2","68","0","68","1","38","4","24","0","0","0","0","0","1","29.10.12"
"070333","23","Волинська область","школа, спортивна зала
вул.Волі, 76А, с.Тростянець, Ківерцівський р-н, Волинська обл., 45214","666","208","664","61","399","59","458","","0","399","59","458","4","454","18","167","27","227","3","4","3","1","0","4","29.10.12"
"070334","23","Волинська область","клуб, глядацька зала
вул.Першотравнева, 54А, с.Хопнів, Ківерцівський р-н, Волинська обл., 45214","222","47","220","24","151","24","175","","0","151","24","175","4","171","2","62","9","87","2","1","3","1","0","4","28.10.12"
"070335","23","Волинська область","школа, кл.1
вул.Незалежності, 18А, с.Острів, Ківерцівський р-н, Волинська обл., 45214","162","40","161","13","109","13","122","","0","109","13","122","3","119","0","66","8","40","0","0","0","1","2","2","29.10.12"
"070336","23","Волинська область","фельдшерсько-акушерський пункт, кабінет гігієни
вул.Кузнєцова, 38, с.Яромель, Ківерцівський р-н, Волинська обл., 45214","42","10","38","4","28","4","32","","0","28","4","32","1","31","2","10","1","18","0","0","0","0","0","0","29.10.12"
"070337","23","Волинська область","будинок культури, глядацька зала
вул.Центральна, 11, с.Холоневичі, Ківерцівський р-н, Волинська обл., 45211","798","205","788","70","524","69","593","","0","524","69","593","18","575","3","202","33","317","3","6","2","4","0","5","29.10.12"
"070338","23","Волинська область","клуб, глядацька зала
вул.Жовтнева, 20, с.Знамирівка, Ківерцівський р-н, Волинська обл., 45211","198","40","198","13","145","13","158","","0","145","13","158","1","157","4","44","9","95","0","0","1","1","1","2","29.10.12"
"070339","23","Волинська область","сільська рада, зала
вул.Зелена, 1, с.Хорлупи, Ківерцівський р-н, Волинська обл., 45251","498","129","491","52","318","51","369","","0","318","51","369","0","369","4","99","7","248","0","2","3","1","0","5","29.10.12"
"070340","23","Волинська область","школа, актова зала
вул.Перемоги, 9, с.Пальче, Ківерцівський р-н, Волинська обл., 45252","270","74","264","46","155","41","196","","0","155","41","196","3","193","4","53","16","101","1","3","2","6","0","7","29.10.12"
"070341","23","Волинська область","центральна районна лікарня, фізіотерапевтичне відділення, 1-й поверх
вул.Філатова, 6, м.Ківерці, Ківерцівський р-н, Волинська обл., 45200","234","160","74","26","48","26","74","","0","48","26","74","1","73","3","19","4","38","0","1","1","4","0","3","29.10.12"
"070342","23","Волинська область","виправна колонія №84, актова зала
вул.Шевченка, 54, смт Цумань, Ківерцівський р-н, Волинська обл., 45233","276","15","265","0","261","0","261","","0","261","0","261","19","242","0","20","2","200","1","8","1","5","2","3","29.10.12"
"070545","23","Волинська область","районний будинок культури, глядацька зала
вул.Незалежності, 62, смт Любешів, Любешівський р-н, Волинська обл., 44200","2208","917","2177","13","1280","11","1291","","0","1280","11","1291","25","1266","182","398","21","504","5","48","33","11","2","62","29.10.12"
"070546","23","Волинська область","Любешівський навчально-виховний комплекс, вестибюль
вул.Незалежності, 39, смт Любешів, Любешівський р-н, Волинська обл., 44200","2226","910","2224","19","1305","11","1316","","0","1305","11","1316","20","1296","191","327","19","624","8","55","28","10","0","34","29.10.12"
"070547","23","Волинська область","сільський клуб, глядацька зала
вул.Волі, 3, с.Рудка, Любешівський р-н, Волинська обл., 44200","306","62","306","3","241","3","244","","0","241","3","244","7","237","18","80","10","122","0","1","1","2","1","2","29.10.12"
"070548","23","Волинська область","фельдшерсько-акушерський пункт, коридор
вул.Зарічна, 3, с.Заріка, Любешівський р-н, Волинська обл., 44200","162","47","162","6","110","5","115","","0","110","5","115","2","113","18","30","7","43","0","15","0","0","0","0","29.10.12"
"070549","23","Волинська область","сільський клуб, глядацька зала
вул.Радянська, 21, с.Березичі, Любешівський р-н, Волинська обл., 44252","576","161","559","46","369","46","415","","0","369","46","415","15","400","51","89","10","195","4","17","26","0","1","7","29.10.12"
"070550","23","Волинська область","школа, коридор
вул.Садова, 31, с.Нові Березичі, Любешівський р-н, Волинська обл., 44252","156","26","161","8","122","8","130","","0","122","8","130","6","124","20","27","4","58","1","3","3","3","0","5","29.10.12"
"070551","23","Волинська область","фельдшерсько-акушерський пункт, коридор
вул.Незалежності, 6, с.Віл, Любешівський р-н, Волинська обл., 44252","126","19","124","17","90","17","107","","0","90","17","107","0","107","15","29","4","55","0","4","0","0","0","0","29.10.12"
"070552","23","Волинська область","сільський клуб, глядацька зала
вул.Незалежності, 44, с.Бихів, Любешівський р-н, Волинська обл., 44242","822","247","808","41","539","36","575","","0","539","36","575","6","569","61","146","26","250","4","15","41","4","0","22","29.10.12"
"070553","23","Волинська область","школа, коридор
вул.Травнева, 9, с.Хутомир, Любешівський р-н, Волинська обл., 44242","120","32","121","6","82","6","88","","0","82","6","88","4","84","2","23","1","52","0","3","2","0","0","1","29.10.12"
"070554","23","Волинська область","школа, коридор
вул.Будьонного, 2, с.Бірки, Любешівський р-н, Волинська обл., 44240","1146","436","1132","48","662","48","710","","0","662","48","710","18","692","128","71","14","416","2","9","36","1","1","14","29.10.12"
"070555","23","Волинська область","школа, коридор
вул.Червоноармійська, 1, с.Витуле, Любешівський р-н, Волинська обл., 44240","216","70","198","1","145","1","146","","0","145","1","146","4","142","23","26","3","81","0","3","2","1","0","3","29.10.12"
"070556","23","Волинська область","сільський будинок культури, глядацька зала
вул.Шевченка, 26, с.Велика Глуша, Любешівський р-н, Волинська обл., 44221","1254","414","1247","38","802","38","840","","0","802","38","840","30","810","153","163","24","382","8","7","53","3","1","16","29.10.12"
"070557","23","Волинська область","школа, коридор
вул.Поліська, 4, с.Погулянка, Любешівський р-н, Волинська обл., 44222","432","87","410","20","325","20","345","","0","325","20","345","11","334","57","48","7","181","2","1","19","2","0","17","29.10.12"
"070558","23","Волинська область","школа, коридор
вул.Івана Бубала, 16, с.Невір, Любешівський р-н, Волинська обл., 44223","360","49","363","18","293","18","311","","0","293","18","311","12","299","43","31","7","187","7","13","7","1","0","3","29.10.12"
"070559","23","Волинська область","сільський клуб, глядацька зала
вул.Червоноармійська, 56, с.Великий Курінь, Любешівський р-н, Волинська обл., 44210","540","133","542","10","397","10","407","","0","397","10","407","8","399","54","101","15","203","1","8","6","3","1","7","29.10.12"
"070560","23","Волинська область","сільський клуб, глядацька зала
вул.Лесі Українки, 29, с.Проходи, Любешівський р-н, Волинська обл., 44210","354","93","353","3","258","3","261","","0","258","3","261","4","257","51","56","7","112","2","4","7","3","0","15","29.10.12"
"070561","23","Волинська область","школа, спортивна зала
вул.Радянська, 62А, с.Ветли, Любешівський р-н, Волинська обл., 44220","1152","206","1145","49","898","48","946","","0","898","48","946","31","915","668","81","33","84","8","31","1","0","2","7","29.10.12"
"070562","23","Волинська область","сільська рада, зала
вул.Леніна, 115, с.Гірки, Любешівський р-н, Волинська обл., 44230","612","134","608","39","439","39","478","","0","439","39","478","11","467","169","75","29","168","3","7","4","5","0","7","29.10.12"
"070563","23","Волинська область","народний дім, глядацька зала
вул.Поліська, 61, с.Мукошин, Любешівський р-н, Волинська обл., 44231","294","54","291","9","231","9","240","","0","231","9","240","3","237","76","37","5","102","5","7","1","1","1","2","29.10.12"
"070564","23","Волинська область","сільський будинок культури, глядацька зала
вул.Поліщука, 39, с.Деревок, Любешівський р-н, Волинська обл., 44243","648","153","638","25","470","25","495","","0","470","25","495","5","490","74","93","6","289","3","9","5","3","0","8","29.10.12"
"070565","23","Волинська область","сільська рада, актова зала
вул.Незалежності, 70, с.Дольськ, Любешівський р-н, Волинська обл., 44232","570","159","564","24","388","23","411","","0","388","23","411","4","407","63","61","10","231","2","5","24","1","0","10","29.10.12"
"070566","23","Волинська область","школа, коридор
вул.Садова, 4, с.Шлапань, Любешівський р-н, Волинська обл., 44233","198","28","196","9","164","6","170","","0","164","6","170","1","169","19","39","5","97","0","1","3","0","0","5","29.10.12"
"070567","23","Волинська область","сільський будинок культури, глядацька зала
вул.Малієвського, 91, с.Залаззя, Любешівський р-н, Волинська обл., 44244","1380","554","1367","16","812","14","826","","0","812","14","826","35","791","64","193","42","413","4","10","30","5","6","24","29.10.12"
"070568","23","Волинська область","фельдшерсько-акушерський пункт, коридор
вул.Дібровська, 12, с.Діброва, Любешівський р-н, Волинська обл., 44244","144","42","145","3","99","3","102","","0","99","3","102","0","102","7","22","1","65","2","2","2","1","0","0","28.10.12"
"070569","23","Волинська область","сільський будинок культури, глядацька зала
вул.Радянська, 6, с.Залізниця, Любешівський р-н, Волинська обл., 44253","1332","585","1321","5","742","5","747","","0","742","5","747","18","729","33","144","34","470","6","5","17","7","3","10","29.10.12"
"070570","23","Волинська область","сільський клуб, глядацька зала
вул.Федорова, 49, с.Лобна, Любешівський р-н, Волинська обл., 44252","444","128","442","5","311","5","316","","0","311","5","316","6","310","20","53","15","205","2","4","3","2","2","4","29.10.12"
"070571","23","Волинська область","сільський клуб, глядацька зала
вул.Берегова, 47А, с.Зарудчі, Любешівський р-н, Волинська обл., 44213","960","324","949","5","633","3","636","","0","633","3","636","24","612","80","154","24","305","4","13","15","3","1","13","29.10.12"
"070572","23","Волинська область","сільський клуб, глядацька зала
вул.Молодіжна, 1, с.Підкормілля, Любешівський р-н, Волинська обл., 44214","606","227","600","7","372","7","379","","0","372","7","379","6","373","43","47","7","265","0","2","6","0","1","2","29.10.12"
"070573","23","Волинська область","сільський клуб, глядацька зала
вул.Незалежності, 7А, с.Селісок, Любешівський р-н, Волинська обл., 44215","234","60","223","12","162","12","174","","0","162","12","174","7","167","19","39","10","91","2","3","0","0","1","2","29.10.12"
"070574","23","Волинська область","фельдшерсько-акушерський пункт, коридор
вул.Першотравнева, 1А, с.Пожог, Любешівський р-н, Волинська обл., 44215","48","7","49","4","37","4","41","","0","37","4","41","0","41","6","9","3","23","0","0","0","0","0","0","29.10.12"
