"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бачинський
Віктор
Теодосович","Бордіян
Іван
Порфирович","Довганич
Віктор
Михайлович","Казимирчук
Олександр
Михайлович","Кедь
Володимир
Євгенович","Кузнєцов
Георгій
Васильович","Марараш
Галина
Григорівна","Михайлішин
Віталій
Михайлович","Нейландт
Геннадій
Робертович","Струк
Юлія
Іванівна","Федорук
Микола
Трохимович","Шевчук
Андрій
Георгійович","Дата підписання протоколу"
"000001","201","Чернівецька область","
площа Соборна, 6, м. Чернівці","528","48","480","0","480","0","480","","0","480","0","480","16","464","7","1","7","6","1","2","17","312","1","10","95","5","28.10.12"
"730446","201","Чернівецька область","школа №16, фойє
вул.Білоруська, 77, м.Чернівці, 58021","1806","767","1777","8","1033","6","1039","","0","1033","6","1039","23","1016","13","11","6","3","3","3","79","274","1","2","617","4","29.10.12"
"730447","201","Чернівецька область","спорткомплекс ""Локомотив"", спортзал
вул.Білоруська, 27Б, м.Чернівці, 58021","2466","1002","2439","17","1452","12","1464","","0","1452","12","1464","26","1438","16","34","7","9","2","1","87","381","20","6","866","9","29.10.12"
"730448","201","Чернівецька область","будинок естетики та дозвілля, глядацький зал
вул.Шепетівська, 5, м.Чернівці, 58008","2082","1279","2065","20","788","15","803","","0","788","15","803","22","781","7","14","4","2","1","0","45","281","2","2","419","4","29.10.12"
"730449","201","Чернівецька область","школа №14, фойє
вул.Шкільна, 3, м.Чернівці, 58008","2160","945","2121","21","1195","20","1215","","0","1195","20","1215","26","1189","20","55","8","7","2","0","77","350","1","7","648","14","29.10.12"
"730450","201","Чернівецька область","професійний ліцей автомобільного сервісу, актовий зал
вул.Садовського Миколи, 6, м.Чернівці, 58008","2316","999","2281","38","1287","30","1317","","0","1287","30","1317","38","1279","37","24","8","2","4","4","72","394","2","4","718","10","29.10.12"
"730451","201","Чернівецька область","коледж Львівського державного аграрного університету, читальний зал
вул.Доброго Олександра, 4, м.Чернівці, 58002","900","328","895","20","558","14","572","","0","558","14","572","7","565","12","17","4","5","4","2","34","198","2","5","279","3","29.10.12"
"730452","201","Чернівецька область","гімназія №2, спортзал
вул.Головна, 73, м.Чернівці, 58000","942","344","937","23","579","19","598","","0","579","19","598","8","590","17","16","2","5","0","0","31","201","2","2","312","2","29.10.12"
"730453","201","Чернівецька область","школа №2, спортзал
вул.Головна, 87, м.Чернівці, 58001","990","362","981","13","619","9","628","","0","619","9","628","7","621","21","15","3","0","0","0","18","313","2","3","244","2","29.10.12"
"730454","201","Чернівецька область","регіональне відділення Фонду держмайна України, фойє
вул.Кобилиці Лук’яна, 21А, м.Чернівці, 58001","1134","420","1132","14","701","13","714","","0","701","13","714","20","694","25","17","4","1","1","1","53","215","6","6","364","1","29.10.12"
"730455","201","Чернівецька область","школа №4, спортзал
вул.Шевченка Тараса, 14/16, м.Чернівці, 58001","1086","446","1088","20","620","20","640","","0","619","20","639","11","628","20","11","4","4","0","1","31","193","0","5","354","5","29.10.12"
"730456","201","Чернівецька область","Інститут післядипломної педагогічної освіти, актовий зал
вул.Вірменська, 16, м.Чернівці, 58002","1770","693","1768","28","1054","23","1077","","0","1054","23","1077","28","1049","23","24","5","5","3","3","71","323","5","6","577","4","29.10.12"
"730457","201","Чернівецька область","ліцей №2, фойє
вул.Кобилиці Лук’яна, 88А, м.Чернівці, 58003","2058","812","2032","20","1229","17","1246","","0","1229","17","1246","24","1222","24","30","5","3","5","0","81","389","3","6","667","9","29.10.12"
"730458","201","Чернівецька область","гімназія №3, фойє
вул.Головна, 131, м.Чернівці, 58001","1404","618","1382","23","766","20","786","","0","765","20","785","18","767","20","22","1","3","6","1","54","266","1","5","387","1","29.10.12"
"730459","201","Чернівецька область","кооперативний економіко-правовий коледж, актовий зал
пров.1-й Кармелюка Устима, 6, м.Чернівці, 58003","2340","888","2326","28","1429","23","1452","","0","1429","23","1452","21","1431","33","23","11","2","4","1","133","536","8","6","668","6","29.10.12"
"730460","201","Чернівецька область","школа №3, їдальня
вул.Герцена Олександра, 36, м.Чернівці, 58003","1944","672","1924","14","1260","12","1272","","0","1260","12","1272","16","1256","27","35","5","8","1","1","100","589","2","5","471","12","29.10.12"
"730461","201","Чернівецька область","коледж дизайну та економіки, актовий зал
вул.Гребінки Євгена, 16, м.Чернівці, 58001","1866","744","1868","19","1106","16","1122","","0","1106","16","1122","17","1105","72","23","6","5","4","1","78","484","1","7","422","2","29.10.12"
"730462","201","Чернівецька область","ПАТ ""Цегельний завод №3"", актовий зал
вул.Кармелюка Устима, 78, м.Чернівці, 58022","2064","896","2056","19","1150","18","1168","","0","1150","18","1168","29","1139","45","10","5","5","3","2","96","340","5","4","615","9","29.10.12"
"730463","201","Чернівецька область","школа №20, фойє
вул.Глібова Леоніда, 12, м.Чернівці, 58018","2382","878","2362","45","1467","37","1504","","0","1467","37","1504","47","1457","32","29","8","5","1","2","108","557","2","5","706","2","30.10.12"
"730464","201","Чернівецька область","фірма ""Ніко"", фойє
вул.Головна, 265В, м.Чернівці, 58032","1110","406","1091","6","699","5","704","","0","699","5","704","8","696","8","8","5","6","2","0","43","250","4","1","363","6","29.10.12"
"730465","201","Чернівецька область","КП ""Міжнародний аеропорт ""Чернівці"", зал засідань
вул.Чкалова Валерія, 30, м.Чернівці, 58009","2472","1084","2444","15","1376","12","1388","","0","1376","12","1388","24","1364","21","16","8","3","2","0","73","623","5","4","603","6","29.10.12"
"730466","201","Чернівецька область","комерційний технікум, спортзал
вул.Руська, 194, м.Чернівці, 58023","2454","1052","2446","41","1373","29","1402","","0","1373","29","1402","26","1376","38","23","5","5","4","1","100","444","4","5","740","7","29.10.12"
"730467","201","Чернівецька область","професійно-технічне училище №8, спортзал
вул.Руська, 198, м.Чернівці, 58023","2447","1018","2432","10","1420","9","1429","","0","1420","9","1429","25","1404","49","17","8","8","4","0","96","390","1","4","823","4","29.10.12"
"730468","201","Чернівецька область","школа №42, фойє
вул.Руська, 228А, м.Чернівці, 58023","2454","1052","2419","6","1396","6","1402","","0","1396","6","1402","24","1378","33","20","7","4","0","0","118","316","3","3","868","6","29.10.12"
"730469","201","Чернівецька область","дошкільний навчальний заклад №20, музичний зал
вул.Руська, 182А, м.Чернівці, 58023","2208","954","2197","22","1233","21","1254","","0","1233","21","1254","26","1228","30","23","6","10","2","1","79","494","3","5","566","9","29.10.12"
"730470","201","Чернівецька область","професійний ліцей сфери послуг, спортзал
вул.Руська, 228Б, м.Чернівці, 58023","2340","1028","2325","14","1302","10","1312","","0","1302","10","1312","23","1289","32","21","6","6","0","0","110","355","1","9","744","5","29.10.12"
"730471","201","Чернівецька область","ПП ""Житлосервіс"", фойє
вул.Руська, 251, м.Чернівці, 58023","2376","904","2364","8","1468","4","1472","","0","1468","4","1472","24","1448","26","21","7","11","2","4","110","435","2","6","818","6","29.10.12"
"730472","201","Чернівецька область","школа №28, фойє
вул.Руська, 257А, м.Чернівці, 58023","2400","943","2388","12","1450","7","1457","","0","1450","7","1457","33","1424","30","22","7","10","5","1","123","381","2","11","822","10","29.10.12"
