"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баскевич
Ігор
Володимирович","Бауер
Михайло
Йозефович","Лисюк
Олександр
Михайлович","Любимський
Василь
Олексійович","Манчуленко
Георгій
Манолійович","Назаренко
Клавдія
Дмитрівна","Рибак
Іван
Петрович","Серецький
Михайло
Миколайович","Токарюк
Володимир
Семенович","Фищук
Олександр
Георгійович","Швигар
Леонід
Володимирович","Дата підписання протоколу"
"730001","202","Чернівецька область","будинок народної творчості, актова зала, 2-й поверх
вул.В.Івасюка, 7, м.Вижниця, Вижницький р-н, Чернівецька обл., 59200","1122","469","1121","22","631","22","653","","0","631","22","653","16","637","20","181","16","5","9","86","71","1","4","213","31","29.10.12"
"730002","202","Чернівецька область","коледж прикладного мистецтва, актова зала, 1-й поверх
вул.Д.Загула, 14, м.Вижниця, Вижницький р-н, Чернівецька обл., 59200","1200","487","1205","19","696","17","713","","0","696","17","713","21","692","18","161","24","8","8","72","77","2","1","305","16","29.10.12"
"730003","202","Чернівецька область","пансіонат ""Черемош"", актова зала
вул.Н.Яремчука, 4, м.Вижниця, Вижницький р-н, Чернівецька обл., 59200","1098","488","1091","38","572","38","610","","0","572","38","610","19","591","10","106","20","1","6","81","74","2","1","277","13","29.10.12"
"730004","202","Чернівецька область","міський клуб, актова зала
вул.І.Бажанського, 76, м.Вашківці, Вижницький р-н, Чернівецька обл., 59210","1104","490","1101","48","568","46","614","","0","568","46","614","9","605","24","133","19","0","4","33","135","10","2","240","5","29.10.12"
"730005","202","Чернівецька область","будинок народної творчості, актова зала
вул.Шевченка, 1, м.Вашківці, Вижницький р-н, Чернівецька обл., 59210","1458","651","1445","63","751","56","807","","0","751","56","807","17","790","24","195","19","3","15","67","156","14","3","285","9","29.10.12"
"730006","202","Чернівецька область","клуб медичного коледжу, актова зала
вул.Шевченка, 11, м.Вашківці, Вижницький р-н, Чернівецька обл., 59210","1620","689","1609","85","854","77","931","","0","854","77","931","35","896","23","184","18","8","16","96","158","15","1","361","16","29.10.12"
"730007","202","Чернівецька область","сільський клуб, актова зала
вул.О.Кобилянської, 6, с.Волока, Вижницький р-н, Чернівецька обл., 59210","300","108","296","21","172","20","192","","0","172","20","192","2","190","5","83","3","1","2","16","21","5","0","46","8","29.10.12"
"730008","202","Чернівецька область","гімназія, актова зала, 1-й поверх
вул.Центральна, 27, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","2514","1216","2485","53","1255","43","1298","","0","1255","43","1298","34","1264","35","187","33","5","7","113","195","16","4","652","17","29.10.12"
"730009","202","Чернівецька область","школа №2, актова зала
вул.Руська, 74, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","2520","1246","2475","45","1239","35","1274","","0","1239","35","1274","38","1236","26","270","30","1","10","115","198","12","3","564","7","29.10.12"
"730010","202","Чернівецька область","школа №3, актова зала
вул.Шевченка, 80, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","1314","685","1306","29","602","27","629","","0","602","27","629","31","598","11","88","11","4","0","58","117","10","4","286","9","29.10.12"
"730011","202","Чернівецька область","школа №4, актова зала
вул.Кобилянської, 254А, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","1176","581","1157","24","575","20","595","","0","575","20","595","12","583","16","91","7","9","1","35","55","6","7","353","3","29.10.12"
"730012","202","Чернівецька область","будинок культури, актова зала, 1-й поверх
вул.Головна, 127, с.Багна, Вижницький р-н, Чернівецька обл., 59208","972","374","965","37","564","34","598","","0","564","34","598","25","573","12","87","0","117","3","36","163","2","1","150","2","29.10.12"
"730013","202","Чернівецька область","сільська рада, актова зала
вул.Гостинець, 63, с.Банилів, Вижницький р-н, Чернівецька обл., 59216","1554","733","1539","34","787","34","821","","0","787","34","821","17","804","24","136","18","4","32","81","96","4","4","391","14","29.10.12"
"730014","202","Чернівецька область","будинок культури, велика зала, 1-й поверх
вул.Гостинець, 61, с.Банилів., Вижницький р-н, Чернівецька обл., 59216","1530","742","1519","45","745","43","788","","0","745","43","788","32","756","22","129","12","9","20","70","148","5","2","325","14","29.10.12"
"730015","202","Чернівецька область","школа, актова зала
вул.Головна, 76, с.Бережниця, Вижницький р-н, Чернівецька обл., 59217","468","172","464","9","288","8","296","","0","288","8","296","9","287","10","69","4","4","3","49","38","0","1","109","0","30.10.12"
"730016","202","Чернівецька область","школа, актова зала
вул.Головна, 271, с.Виженка, Вижницький р-н, Чернівецька обл., 59209","1116","431","1105","46","642","43","685","","0","642","43","685","21","664","19","211","20","5","3","67","85","2","5","236","11","29.10.12"
"730017","202","Чернівецька область","сільська рада, зала засідань
вул.Головна, 69, с.Долішній Шепіт, Вижницький р-н, Чернівецька обл., 59240","492","165","486","25","304","23","327","","0","304","23","327","9","318","7","63","20","1","5","13","62","2","2","142","1","29.10.12"
"730018","202","Чернівецька область","сільський клуб, актова зала
вул.Головна, 202Б, с.Долішній Шепіт, Вижницький р-н, Чернівецька обл., 59240","594","159","587","26","409","26","435","","0","409","26","435","7","428","3","82","21","2","2","20","122","2","1","171","2","28.10.12"
"730019","202","Чернівецька область","будинок культури, актова зала, 1-й поверх
вул.Головна, 78Б, с.Лопушна, Вижницький р-н, Чернівецька обл., 59241","876","275","881","58","546","55","601","","0","546","55","601","21","580","12","117","17","10","3","22","103","10","4","276","6","30.10.12"
"730020","202","Чернівецька область","будинок культури, актова зала, 1-поверх
вул.Головна, 39, с.Замостя, Вижницький р-н, Чернівецька обл., 59214","1632","722","1612","104","820","90","910","","0","820","90","910","40","870","41","361","20","10","10","66","121","9","5","214","13","30.10.12"
"730021","202","Чернівецька область","будинок народної творчості, актова зала, 1-й поверх
вул.Шевченка, 70А, с.Іспас, Вижницький р-н, Чернівецька обл., 59222","2502","1059","2480","92","1360","83","1443","","0","1360","83","1443","45","1398","41","264","26","9","18","205","268","15","7","530","15","29.10.12"
"730022","202","Чернівецька область","сільський клуб, актова зала
вул.Горішня, 1А, с.Іспас, Вижницький р-н, Чернівецька обл., 59222","1170","427","1156","21","722","21","743","","0","722","21","743","20","723","10","132","8","20","9","129","148","1","1","258","7","29.10.12"
"730023","202","Чернівецька область","фельдшерсько-акушерський пункт, фойє
вул.Майданська, 27, с.Майдан (Іспаська сільська рада), Вижницький р-н, Чернівецька обл., 59222","174","59","177","4","111","4","115","","0","111","4","115","1","114","1","17","2","3","3","8","20","2","0","56","2","29.10.12"
"730024","202","Чернівецька область","будинок культури, актова зала, 1-й поверх
вул.Головна, 9, с.Карапчів, Вижницький р-н, Чернівецька обл., 59225","1536","704","1522","51","788","44","832","","0","788","44","832","32","800","9","234","15","18","15","71","74","5","6","348","5","29.10.12"
"730025","202","Чернівецька область","школа, актова зала
вул.Шкільна, 1, с.Бабине, Вижницький р-н, Чернівецька обл., 59225","492","185","485","46","261","46","307","","0","261","46","307","9","298","8","125","4","5","1","35","15","2","1","101","1","29.10.12"
"730026","202","Чернівецька область","сільський клуб, актова зала
вул.Центральна, 151, с.Вали, Вижницький р-н, Чернівецька обл., 59227","546","227","542","41","279","40","319","","0","279","40","319","8","311","14","115","4","3","0","21","49","2","0","101","2","29.10.12"
"730027","202","Чернівецька область","школа, актова зала, 1-й поверх
вул.Шкільна, 17, с.Коритне, Вижницький р-н, Чернівецька обл., 59223","1716","773","1720","119","828","115","943","","0","828","115","943","33","910","7","193","9","6","13","144","176","3","5","350","4","29.10.12"
"730028","202","Чернівецька область","сільський клуб, актова зала
вул.В.Лелека, 33, с.Бережонка, Вижницький р-н, Чернівецька обл., 59224","666","265","660","44","358","43","401","","0","358","43","401","16","385","7","99","4","3","2","59","90","0","2","117","2","29.10.12"
"730029","202","Чернівецька область","фельдшерсько-акушерський пункт, зал засідань
вул.Головна, 64, с.Лукавці, Вижницький р-н, Чернівецька обл., 59230","708","292","708","55","365","51","416","","0","365","51","416","18","398","7","106","3","2","8","82","57","5","3","116","9","29.10.12"
"730030","202","Чернівецька область","будинок культури, актова зала, 1-й поверх
вул.Головна, 166, с.Лукавці, Вижницький р-н, Чернівецька обл., 59230","1290","574","1278","67","654","62","716","","0","654","62","716","20","696","15","123","13","3","7","249","78","6","15","180","7","29.10.12"
"730031","202","Чернівецька область","сільський клуб, актова зала
вул.Центральна, 10, с.Вахнівці, Вижницький р-н, Чернівецька обл., 59230","492","234","483","52","210","48","258","","0","210","48","258","12","246","10","71","4","2","4","32","34","2","0","86","1","29.10.12"
"730032","202","Чернівецька область","сільський клуб, актова зала
вул.Центральна, 41, с.Вовчинець, Вижницький р-н, Чернівецька обл., 59232","540","224","534","43","274","42","316","","0","274","42","316","7","309","3","94","9","2","4","58","34","2","2","101","0","29.10.12"
"730033","202","Чернівецька область","школа,каб.1,2,1-й поверх
вул.Центральна,84, с.Мигове, Вижницький р-н, Чернівецька обл.,59236","2040","939","2025","79","1025","76","1101","","0","1025","76","1101","27","1074","25","197","22","12","6","100","170","10","4","522","6","29.10.12"
"730034","202","Чернівецька область","будинок народної творчості, к.1,2,1-й поверх
вул.Центральна, 90, с.Мигове, Вижницький р-н, Чернівецька обл., 59236","942","429","939","21","494","19","513","","0","494","19","513","28","485","10","76","7","5","3","31","100","5","3","245","0","29.10.12"
"730035","202","Чернівецька область","сільський клуб, актова зала
вул.Центральна, 54Б, с.Велике, Вижницький р-н, Чернівецька обл., 59237","522","223","521","19","281","18","299","","0","281","18","299","9","290","2","101","6","1","2","17","71","7","0","80","3","29.10.12"
"730036","202","Чернівецька область","будинок культури, актова зала, 1-й поверх
вул.Шкільна, 3, с.Мілієве, Вижницький р-н, Чернівецька обл., 59220","1746","714","1734","44","995","37","1032","","0","995","37","1032","19","1013","33","163","7","7","9","86","197","10","3","486","12","29.10.12"
"730037","202","Чернівецька область","сільський клуб, актова зала
вул.Буковинська, 3, с.Кибаки, Вижницький р-н, Чернівецька обл., 59220","468","174","463","4","290","4","294","","0","290","4","294","5","289","11","82","3","3","1","19","51","4","1","113","1","29.10.12"
"730038","202","Чернівецька область","сільський клуб, актова зала
вул.Майданська, 68, с.Середній Майдан, Вижницький р-н, Чернівецька обл., 59220","138","41","137","0","97","0","97","","0","97","0","97","1","96","4","20","2","1","1","6","30","3","0","29","0","29.10.12"
"730039","202","Чернівецька область","сільський клуб, актова зала
вул.Н.Яремчука, 270, с.Слобода-Банилів, Вижницький р-н, Чернівецька обл., 59215","714","265","714","63","386","63","449","","0","386","63","449","15","434","11","91","13","1","6","29","94","5","1","176","7","29.10.12"
"730040","202","Чернівецька область","школа, актова зала, 1-й поверх
вул.Українська, 1, с.Черешенька, Вижницький р-н, Чернівецька обл., 59207","900","318","895","31","553","29","582","","0","553","29","582","12","570","31","195","38","4","5","20","77","3","4","192","1","29.10.12"
"730041","202","Чернівецька область","будинок культури, актова зала, 1-й поверх
вул.Українська, 94, с.Чорногузи, Вижницький р-н, Чернівецька обл., 59206","2298","1078","2281","50","1175","45","1220","","0","1175","45","1220","40","1180","38","233","34","9","7","106","174","7","2","553","17","29.10.12"
"730185","202","Чернівецька область","будинок народної творчості та дозвілля, фойє
вул.Незалежності, 42, м.Кіцмань, Кіцманський р-н, Чернівецька обл., 59300","2448","930","2457","43","1480","38","1518","","0","1480","38","1518","37","1481","24","196","6","6","8","86","220","5","14","868","48","29.10.12"
"730186","202","Чернівецька область","приміщення торгового центру, к.1
вул.Незалежності, 52Б, м.Кіцмань, Кіцманський р-н, Чернівецька обл., 59300","702","245","693","26","432","25","457","","0","432","25","457","12","445","19","61","0","4","6","25","77","0","0","241","12","29.10.12"
"730187","202","Чернівецька область","школа, актовий зал
вул.І. Миколайчука, 5, м.Кіцмань, Кіцманський р-н, Чернівецька обл., 59300","2430","967","2407","31","1435","28","1463","","0","1435","28","1463","26","1437","30","213","10","2","14","92","233","7","6","798","32","29.10.12"
"730188","202","Чернівецька область","Адміністративна будівля ДП ""Укрспирт"", зал
вул.Центральна, 47, смт Лужани, Кіцманський р-н, Чернівецька обл., 59342","2142","801","2123","87","1259","82","1341","","0","1259","82","1341","34","1307","29","195","15","11","11","82","148","18","13","755","30","29.10.12"
"730189","202","Чернівецька область","будинок культури, зал
вул.Центральна, 45, смт Лужани, Кіцманський р-н, Чернівецька обл., 59342","1620","623","1600","39","959","38","997","","0","959","38","997","19","978","32","166","10","8","12","71","119","5","4","522","29","29.10.12"
"730190","202","Чернівецька область","школа, спортзал
вул.Т.Шевченка, 35, смт Неполоківці, Кіцманський р-н, Чернівецька обл., 59330","1980","724","1961","76","1184","72","1256","","0","1184","72","1256","38","1218","22","174","5","6","5","35","524","3","7","415","22","29.10.12"
"730191","202","Чернівецька область","сільський клуб, актовий зал
вул.Українська, 25, с.П’ядиківці, Кіцманський р-н, Чернівецька обл., 59330","792","256","794","29","509","27","536","","0","509","27","536","21","515","6","82","3","7","1","15","170","1","4","222","4","29.10.12"
"730192","202","Чернівецька область","будинок культури, актовий зал
вул.Головна, 22, с.Берегомет, Кіцманський р-н, Чернівецька обл., 59332","744","224","738","34","486","34","520","","0","486","34","520","6","514","15","109","6","4","4","31","50","2","6","280","7","29.10.12"
"730193","202","Чернівецька область","клуб, актовий зал
вул.Радянська, 21, с.Клокічка, Кіцманський р-н, Чернівецька обл., 59332","276","62","271","21","193","21","214","","0","193","21","214","6","208","4","45","2","2","0","9","31","1","6","107","1","29.10.12"
"730194","202","Чернівецька область","клуб, актовий зал
вул.Центральна, 28А, с.Реваківці, Кіцманський р-н, Чернівецька обл., 59332","654","232","642","33","390","32","422","","0","390","32","422","8","414","22","99","1","1","3","9","69","1","3","199","7","28.10.12"
"730195","202","Чернівецька область","будинок культури, фойє
вул.Центральна, 33, с.Біла, Кіцманський р-н, Чернівецька обл., 59346","540","158","527","21","366","16","382","","0","366","16","382","11","371","8","118","4","1","3","25","29","3","3","172","5","29.10.12"
"730196","202","Чернівецька область","будинок культури, фойє
вул.Головна, 54, с.Борівці, Кіцманського р-н, Чернівецька обл., 59311","1188","462","1174","60","672","54","726","","0","669","54","723","18","705","1","75","1","12","4","9","40","2","1","549","11","30.10.12"
"730197","202","Чернівецька область","будинок культури, актовий зал
вул.Буковинська, 28, с.Брусниця, Кіцманський р-н, Чернівецька обл., 59350","1590","530","1567","95","967","93","1060","","0","967","93","1060","25","1035","20","223","6","13","14","49","109","5","4","577","15","29.10.12"
"730198","202","Чернівецька область","народний дім, актовий зал
вул.Українська, 7, с.Діброва, Кіцманський р-н, Чернівецька обл., 59350","264","55","262","21","188","21","209","","0","188","21","209","10","199","2","105","1","2","2","11","9","0","0","62","5","29.10.12"
"730199","202","Чернівецька область","клуб, актовий зал
вул.Буковинська, 1, с.Зеленів, Кіцманський р-н, Чернівецька обл., 59350","672","194","661","35","446","32","478","","0","446","32","478","13","465","13","120","4","7","9","18","97","5","1","184","7","29.10.12"
"730200","202","Чернівецька область","школа, спорт зал
вул.Шкільна, 8, с.Кальнівці, Кіцманський р-н, Чернівецька обл., 59350","510","141","501","32","337","32","369","","0","337","32","369","15","354","15","95","3","7","4","8","23","12","9","173","5","29.10.12"
"730201","202","Чернівецька область","клуб, актовий зал
вул.Т.Шевченка, 23, с.Остра, Кіцманський р-н, Чернівецька обл., 59350","198","76","189","10","115","7","122","","0","115","7","122","6","116","6","62","0","1","0","5","10","1","3","27","1","29.10.12"
"730202","202","Чернівецька область","клуб, актовий зал
вул.І.Миколайчука, 23, с.Чортория, Кіцманський р-н, Чернівецька обл., 59350","480","125","491","56","300","55","355","","0","300","55","355","16","339","27","77","4","23","5","28","43","5","3","107","17","29.10.12"
"730203","202","Чернівецька область","будинок культури, актовий зал
вул.Н.Яремчука, 11, с.Валява, Кіцманський р-н, Чернівецька обл., 59340","1224","443","1208","63","720","61","781","","0","720","61","781","24","757","23","150","7","2","4","45","128","4","2","378","14","29.10.12"
"730204","202","Чернівецька область","будинок культури, актовий зал
вул.Миру, 3, с.Верхні Станівці, Кіцманський р-н, Чернівецька обл., 59356","918","321","914","58","544","53","597","","0","544","53","597","21","576","20","118","2","3","9","51","48","19","13","282","11","29.10.12"
"730205","202","Чернівецька область","клуб, актовий зал
вул.Клубна, 1, х.Острий кілок, Кіцманського р-н, Чернівецької обл., 59356","342","137","337","18","189","16","205","","0","189","16","205","9","196","6","84","4","0","1","13","9","3","0","74","2","29.10.12"
"730206","202","Чернівецька область","клуб, зал
вул.Головна, 45, с.Глиниця, Кіцманський р-н, Чернівецька обл., 59355","1266","487","1254","84","695","84","779","","0","695","84","779","32","747","18","246","5","4","11","23","97","3","8","328","4","28.10.12"
