"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баласинович
Богдан
Олександрович","Гончар
Віктор
Васильович","Каденюк
Леонід
Костянтинович","Клевчик
Іван
Валентинович","Криворучко
Віталій
Пилипович","Панчишин
Руслан
Ігорович","Плаксій
Манолій
Васильович","Семенюк
Артем
Олексійович","Совва
Анатолій
Ігорович","Черненко
Віктор
Михайлович","Чулей
Віталій
Михайлович","Швець
Сергій
Сергійович","Дата підписання протоколу"
"730315","204","Чернівецька область","будинок культури, фойє
вул.Грушевського, 25, с.Вашківці, Сокирянський р-н, Чернівецька обл., 60222","1320","421","1310","68","839","60","899","","0","839","60","899","20","879","54","8","33","2","12","103","6","633","5","10","3","10","29.10.12"
"730316","204","Чернівецька область","школа, актовий зал
вул.Грушевського, 27, с.Вашківці, Сокирянський р-н, Чернівецька обл., 60222","1368","494","1356","61","814","60","874","","0","814","60","874","30","844","46","5","31","3","16","110","10","594","7","15","2","5","29.10.12"
"730317","204","Чернівецька область","установа дозвілля, фойє
вул.Б.Хмельницького, 2А, с.Нова Слобода, Сокирянький р-н, Чернівецька обл., 60222","156","47","154","5","104","5","109","","0","104","5","109","3","106","9","1","2","0","0","3","5","79","3","3","0","1","28.10.12"
"730318","204","Чернівецька область","будинок культури, фойє
вул.Шевченка, 14А, с.Вітрянка, Сокирянський р-н, Чернівецька обл., 60214","900","258","871","22","621","21","642","","0","621","21","642","11","631","42","7","51","4","4","55","18","437","6","6","0","1","29.10.12"
"730319","204","Чернівецька область","навчально-виховний комплекс, актовий зал
вул.Шевченка, 39, с.Волошкове, Сокирянський р-н, Чернівецька обл., 60209","588","187","581","30","371","30","401","","0","371","30","401","19","382","13","5","11","2","4","41","9","280","7","10","0","0","28.10.12"
"730320","204","Чернівецька область","будинок культури, фойє
вул.Шевченка, 1, с.Гвіздівці, Сокирянський р-н, Чернівецька обл., 60225","1272","455","1242","31","792","25","817","","0","792","25","817","36","781","97","13","19","3","7","36","10","565","17","10","1","3","29.10.12"
"730321","204","Чернівецька область","будинок культури, фойє
вул.Шевченка, 1, с.Грубна, Сокирянського р-н, Чернівецька обл., 60220","1368","254","1355","75","1053","61","1114","","0","1053","61","1114","29","1085","18","2","12","2","3","14","7","997","5","21","1","3","29.10.12"
"730322","204","Чернівецька область","будинок культури, фойє
вул.Я.Мудрого, 80, с.Коболчин, Сокирянський р-н, Чернівецька обл., 60231","1740","471","1729","2","1267","2","1269","","0","1267","2","1269","52","1217","99","14","46","5","8","56","11","943","2","24","0","9","29.10.12"
"730323","204","Чернівецька область","навчально-виховний комплекс, актовий зал
вул.Шкільна, 5А, с.Кормань, Сокирянський р-н, Чернівецька обл., 60213","750","171","739","13","567","12","579","","0","567","12","579","19","560","51","2","15","0","0","84","4","387","5","6","1","5","29.10.12"
"730324","204","Чернівецька область","адмінбудинок, актовий зал
вул.Мічуріна, 1А, с.Кулішівка, Сокирянський р-н, Чернівецька обл., 60215","786","205","771","19","563","18","581","","0","563","18","581","6","575","23","2","4","0","15","14","11","496","2","6","0","2","29.10.12"
"730325","204","Чернівецька область","школа, актовий зал
вул.Незалежності, 9, с.Ломачинці, Сокирянський р-н, Чернівецька обл., 60235","1470","603","1432","65","818","49","867","","0","818","49","867","49","818","118","13","51","5","29","113","10","434","17","20","1","7","29.10.12"
"730326","204","Чернівецька область","будинок культури, фойє
вул.Шевченка, 64, с.Лопатів, Сокирянського р-н, Чернівецька обл., 60212","462","109","459","15","338","15","353","","0","338","15","353","11","342","28","3","18","2","1","33","10","238","3","3","1","2","28.10.12"
"730327","204","Чернівецька область","будинок культури, фойє
вул.Макаренка, 2, с.Михалкове, Сокирянський р-н, Чернівецька обл., 60234","1806","358","1785","122","1337","111","1448","","0","1337","111","1448","34","1414","188","13","20","7","29","27","15","1093","8","6","1","7","29.10.12"
"730328","204","Чернівецька область","школа, актовий зал
вул.Головна, 47А, с.Олексіївка, Сокирянський р-н, Чернівецька обл., 60223","852","308","828","25","519","25","544","","0","519","25","544","24","520","37","10","15","3","7","58","10","364","8","3","1","4","29.10.12"
"730329","204","Чернівецька область","навчально-виховний комплекс, актовий зал
вул.О.Кобилянської, 24, с.Новоолексіївка, Сокирянський р-н, Чернівецька обл., 60224","288","119","281","12","160","9","169","","0","160","9","169","9","160","9","0","13","0","1","22","10","93","3","8","0","1","29.10.12"
"730330","204","Чернівецька область","будинок культури, фойє
вул.Л.Українки, 24, с.Ожеве, Сокирянський р-н, Чернівецька обл., 60237","864","222","862","57","585","57","642","","0","585","57","642","21","621","58","15","11","1","4","68","15","429","2","13","0","5","01.11.12"
"730331","204","Чернівецька область","будинок культури, зал урочистих подій
вул.Головна, 39, с.Романківці, Сокирянський р-н, Чернівецька обл., 60226","2034","501","2006","54","1482","51","1533","","0","1482","51","1533","28","1505","77","8","19","4","19","46","4","1288","11","21","2","6","30.10.12"
"730332","204","Чернівецька область","гімназія, фойє
вул.Головна, 36, с.Романківці, Сокирянський р-н, Чернівецька обл., 60226","1884","496","1874","39","1349","39","1388","","0","1348","39","1387","45","1342","75","2","26","9","22","57","13","1107","9","14","3","5","29.10.12"
"730333","204","Чернівецька область","будинок культури, фойє
вул.Центральна, 54, с.Селище, Сокирянський р-н, Чернівецька обл., 60216","1128","356","1122","42","731","41","772","","0","731","41","772","32","740","49","10","47","1","16","64","8","525","3","12","2","3","29.10.12"
"730334","204","Чернівецька область","будинок культури, фойє
вул.Л.Українки, 47, с.Сербичани, Сокирянський р-н, Чернівецька обл., 60230","1170","318","1160","44","810","42","852","","0","810","42","852","24","828","136","3","17","3","6","38","10","595","6","10","2","2","29.10.12"
"730335","204","Чернівецька область","будинок культури, фойє
вул.О.Кобилянської, 17, с.Шебутинці, Сокирянський р-н, Чернівецька обл., 60211","1170","224","1160","64","883","63","946","","0","883","63","946","23","923","35","8","15","0","14","111","6","716","4","10","2","2","29.10.12"
"730336","204","Чернівецька область","школа, актовий зал
вул.Шкільна, 4, с.Шишківці, Сокирянський р-н, Чернівецька обл., 60221","1248","401","1243","46","809","38","847","","0","809","38","847","22","825","45","5","23","1","6","48","4","674","0","12","1","6","29.10.12"
"730337","204","Чернівецька область","клуб для засуджених, фойє
пров.Ватутіна, 8, м.Сокиряни, Сокирянський р-н, Чернівецька обл., 60200","1260","21","1239","0","1239","0","1239","","0","1239","0","1239","97","1142","42","22","17","13","11","17","14","944","16","11","7","28","29.10.12"
"730395","204","Чернівецька область","школа №1, актова зала
вул.Воїнів-Визволителів, 62, м.Хотин, Хотинський р-н, Чернівецька обл., 60000","2332","1133","2338","18","1181","18","1199","","0","1181","18","1199","48","1151","270","10","229","44","87","56","10","359","21","35","19","11","29.10.12"
"730396","204","Чернівецька область","будинок народної творчості, фойє
вул.Олімпійська, 84, м.Хотин, Хотинський р-н, Чернівецька обл., 60000","1998","819","1982","17","1165","14","1179","","0","1165","14","1179","43","1136","253","19","271","68","64","61","7","349","6","31","4","3","29.10.12"
"730397","204","Чернівецька область","Хотинський технікум ПДАУ, спортивна зала
вул.Незалежності, 54Б, м.Хотин, Хотинський р-н, Чернівецька обл., 60000","2016","856","2006","11","1149","11","1160","","0","1149","11","1160","53","1107","228","12","194","58","84","70","10","390","15","31","13","2","29.10.12"
"730398","204","Чернівецька область","школа №5, актова зала
вул.Шевченка, 36, м.Хотин, Хотинський р-н, Чернівецька обл., 60000","1608","786","1601","11","814","8","822","","0","814","8","822","36","786","187","14","190","32","58","45","8","213","12","14","6","7","29.10.12"
"730399","204","Чернівецька область","навчально виховний комплекс, фойє
вул.Шкільна, 1, с.Анадоли, Хотинський р-н, Чернівецька обл., 60009","696","183","688","31","482","31","513","","0","482","31","513","24","489","53","10","76","14","21","38","6","255","0","12","2","2","29.10.12"
"730400","204","Чернівецька область","сільський клуб, актова зала
пров.Л.Українки, 4, с.Атаки, Хотинський р-н, Чернівецька обл., 60008","504","214","500","8","284","6","290","","0","284","6","290","14","276","85","3","70","6","2","19","16","64","5","4","0","2","29.10.12"
"730401","204","Чернівецька область","будинок культури, актова зала
вул.Головна, 22Б, с.Білівці, Хотинський р-н, Чернівецька обл., 60053","726","218","721","35","473","35","508","","0","473","35","508","45","463","82","9","68","3","4","30","39","193","7","17","6","5","29.10.12"
"730402","204","Чернівецька область","об’єкт дозвілля, актова зала
вул.28 Червня, 2Б, с.Блищадь, Хотинський р-н, Чернівецька обл., 60005","102","25","100","11","66","11","77","","0","66","11","77","3","74","11","1","6","0","2","1","3","29","1","2","18","0","28.10.12"
"730403","204","Чернівецька область","навчально-виховний комплекс, фойє
вул.Шкільна, 1, с.Бочківці, Хотинський р-н, Чернівецька обл., 60021","1398","519","1383","84","798","81","879","","0","798","81","879","28","851","69","28","83","7","143","35","9","436","5","12","16","8","29.10.12"
"730404","204","Чернівецька область","Зарожанське сільське споживче товориство, зал обрядових послуг
вул.О.Кобилянської, 43, с.Владична, Хотинський р-н, Чернівецька обл., 60033","1242","411","1245","48","786","45","831","","0","786","45","831","30","801","108","13","85","4","60","26","3","481","5","5","7","4","29.10.12"
"730405","204","Чернівецька область","сільський клуб, актова зала
вул.40-чя Перемоги, 4, с.Ворничани, Хотинський р-н, Чернівецька обл., 60042","480","163","472","9","308","9","317","","0","308","9","317","9","308","47","7","38","5","8","146","6","32","15","4","0","0","29.10.12"
"730406","204","Чернівецька область","сільський клуб, актова зала
вул.Головна, 1А, с.Гордівці, Хотинський р-н, Чернівецька обл., 60005","324","75","318","12","237","12","249","","0","237","12","249","14","235","9","1","29","7","1","19","7","143","0","16","2","1","29.10.12"
"730407","204","Чернівецька область","початкова школа, актова зала
вул.Катерини Спотар, 8, с.Гринячка, Хотинський р-н, Чернівецька обл., 60005","108","33","108","6","69","6","75","","0","69","6","75","5","70","3","2","12","1","1","5","3","31","2","2","7","1","28.10.12"
"730408","204","Чернівецька область","будинок культури, актова зала
вул.Головна, 51, с.Грозинці, Хотинський р-н, Чернівецька обл., 60020","1620","525","1598","37","1062","33","1095","","0","1062","33","1095","34","1061","142","25","115","5","105","38","5","595","3","9","14","5","29.10.12"
"730409","204","Чернівецька область","будинок культури, актова зала
вул.Свято Покровська, 51, с.Данківці, Хотинський р-н, Чернівецька обл., 60041","774","300","763","54","425","49","474","","0","425","49","474","43","431","106","5","82","7","9","39","12","142","7","13","4","5","29.10.12"
"730410","204","Чернівецька область","будинок народної творчості та дозвілля, актова зала
вул.Незалежності, 20, с.Долиняни, Хотинський р-н, Чернівецька обл., 60043","1146","398","1144","26","722","26","748","","0","722","26","748","37","711","43","2","36","2","3","66","3","532","10","10","1","3","29.10.12"
"730411","204","Чернівецька область","навчально виховний комплекс, актова зала
вул.Перемоги, 3, с.Зарожани, Хотинський р-н, Чернівецька обл., 60034","1260","640","1253","18","602","18","620","","0","602","18","620","37","583","102","11","86","7","61","14","17","249","9","11","12","4","29.10.12"
"730412","204","Чернівецька область","будинок культури, фойє
вул.О.Кобилянської, 17, с.Зарожани, Хотинський р-н, Чернівецька обл., 60034","1080","459","1077","15","606","15","621","","0","606","15","621","31","590","61","4","111","8","27","13","12","322","6","10","13","3","29.10.12"
"730413","204","Чернівецька область","школа-сад, фойє
вул.Головна, 20А, с.Зелена Липа, Хотинський р-н, Чернівецька обл., 60005","312","88","308","13","212","12","224","","0","212","12","224","5","219","21","8","23","3","0","2","4","141","2","9","6","0","29.10.12"
"730414","204","Чернівецька область","школа, фойє
вул.Лесі Українки, 15, с.Каплівка, Хотинський р-н, Чернівецька обл., 60040","1128","553","1112","57","520","55","575","","0","520","55","575","41","534","72","14","107","16","27","44","29","198","6","12","2","7","29.10.12"
"730415","204","Чернівецька область","школа, актова зала
вул.Головна, 27, с.Керстенці, Хотинський р-н, Чернівецька обл., 60050","1008","449","1001","42","518","41","559","","0","518","41","559","37","522","39","8","45","6","28","132","15","207","7","5","24","6","28.10.12"
"730416","204","Чернівецька область","приміщення кафе ""Колос"" велика зала
вул.Головна, 61, с.Клішківці, Хотинський р-н, Чернівецька обл., 60014","1668","790","1654","11","868","10","878","","0","868","10","878","29","849","51","8","416","2","18","19","11","270","3","7","44","0","29.10.12"
"730417","204","Чернівецька область","гімназія, актова зала
вул.Д.Карвацького, 9, с.Клішківці, Хотинський р-н, Чернівецька обл., 60014","1698","864","1680","23","811","23","834","","0","811","23","834","35","799","42","4","328","3","13","25","12","316","9","5","40","2","29.10.12"
"730418","204","Чернівецька область","школа, фойє
вул.Струмінського, 2, с.Клішківці, Хотинський р-н, Чернівецька обл., 60014","1572","792","1561","24","761","19","780","","0","761","19","780","44","736","30","7","293","9","31","25","9","237","6","12","76","1","29.10.12"
"730419","204","Чернівецька область","навчально-виховний комплекс, спортивна зала
вул.Головна, 103А, с.Колінківці, Хотинський р-н, Чернівецька обл., 60023","1758","788","1739","13","957","13","970","","0","957","13","970","58","912","64","7","81","6","15","69","14","629","11","6","3","7","29.10.12"
"730420","204","Чернівецька область","будинок культури, актова зала
вул.Головна, 84, с.Колінківці, Хотинський р-н, Чернівецька обл., 60023","2130","1077","2117","6","1047","6","1053","","0","1046","6","1052","75","977","88","24","69","8","29","183","7","532","7","15","7","8","29.10.12"
"730421","204","Чернівецька область","об’єкт дозвілля, актова зала
вул.Незалежності, 8, с.Корнешти, Хотинський р-н, Чернівецька обл., 60005","108","30","105","4","74","4","78","","0","74","4","78","4","74","20","3","21","6","1","1","0","11","0","1","10","0","29.10.12"
"730422","204","Чернівецька область","будинок культури, актова зала
вул.Головна, 57А, с.Круглик, Хотинський р-н, Чернівецька обл., 60051","1248","425","1232","74","758","65","823","","0","758","65","823","57","766","181","15","52","19","14","50","15","373","17","15","5","10","29.10.12"
"730423","204","Чернівецька область","будинок культури, фойє
вул.Головна, 26, с.Крутеньки, Хотинський р-н, Чернівецька обл., 60054","780","249","770","31","500","31","531","","0","500","31","531","27","504","59","4","60","10","3","27","8","316","5","7","3","2","28.10.12"
"730424","204","Чернівецька область","сільська рада, зал засідань
вул.Ів.Франка, 32, с.Малинці, Хотинський р-н, Чернівецька обл., 60024","1722","792","1710","28","907","23","930","","0","907","23","930","43","887","140","21","137","9","80","16","18","432","11","6","15","2","29.10.12"
"730425","204","Чернівецька область","будинок культури, актова зала
вул.Грушевського, 2, с.Млинки, Хотинський р-н, Чернівецька обл., 60015","360","100","359","16","249","11","260","","0","249","11","260","7","253","23","2","42","1","1","25","4","134","1","4","13","3","29.10.12"
"730426","204","Чернівецька область","будинок культури, фойє
вул.Головна, 28А, с.Недобоївці, Хотинський р-н, Чернівецька обл., 60035","2430","987","2417","19","1424","19","1443","","0","1424","19","1443","58","1385","178","14","168","15","38","153","6","769","16","8","9","11","29.10.12"
"730427","204","Чернівецька область","будинок дозвілля, актова зала
вул.Річна, 7, с.Орестівка, Хотинський р-н, Чернівецька обл., 60007","444","181","437","14","250","13","263","","0","250","13","263","19","244","30","4","57","0","17","51","12","61","2","7","1","2","29.10.12"
"730428","204","Чернівецька область","будинок культури, актова зала
вул.Ольги Кобилянської, 26, с.Пашківці, Хотинський р-н, Чернівецька обл., 60052","726","162","721","49","515","49","564","","0","515","49","564","29","535","52","8","28","9","1","10","8","391","1","20","2","5","30.10.12"
"730429","204","Чернівецька область","школа, мала зала
вул.Шевченка, 50А, с.Перебиківці, Хотинський р-н, Чернівецька обл., 60010","1686","647","1674","33","1007","32","1039","","0","1007","32","1039","54","985","156","31","111","5","56","46","13","503","15","18","13","18","29.10.12"
"730430","204","Чернівецька область","школа, фойє
вул.Свято-Дмитріївська, 55, с.Поляна, Хотинський р-н, Чернівецька обл., 60016","858","219","859","40","602","37","639","","0","602","37","639","16","623","90","9","99","8","28","20","5","326","2","4","30","2","29.10.12"
"730431","204","Чернівецька область","сільський клуб, актова зала
вул.Головна, 44А, с.Пригородок, Хотинський р-н, Чернівецька обл., 60006","636","224","630","13","399","13","412","","0","399","13","412","17","395","58","2","60","10","11","24","7","190","4","17","2","10","28.10.12"
"730432","204","Чернівецька область","будинок культури, актова зала
вул.Головна, 14, с.Рашків, Хотинський р-н, Чернівецька обл., 60017","822","217","816","55","553","52","605","","0","553","52","605","15","590","69","6","40","9","16","29","4","396","6","3","7","5","29.10.12"
"730433","204","Чернівецька область","школа, спортивна зала
вул.Головна, 46, с.Рукшин, Хотинський р-н, Чернівецька обл., 60030","1188","637","1169","5","546","5","551","","0","546","5","551","31","520","93","3","206","4","13","21","4","152","5","13","3","3","29.10.12"
"730434","204","Чернівецька область","школа, мала зала
вул.Головна, 46, с.Рукшин, Хотинський р-н, Чернівецька обл., 60030","1320","790","1305","3","527","3","530","","0","527","3","530","32","498","79","8","172","15","28","25","4","151","6","5","0","5","29.10.12"
"730435","204","Чернівецька область","сільський клуб, мала зала
вул.Головна, 15, с.Рухотин, Хотинський р-н, Чернівецька обл., 60005","294","82","288","22","190","22","212","","0","190","22","212","3","209","33","2","29","3","0","3","6","112","3","5","13","0","29.10.12"
"730436","204","Чернівецька область","будинок культури, актова зала
вул.Головна, 94А, с.Санківці, Хотинський р-н, Чернівецька обл., 60025","678","217","671","21","440","21","461","","0","440","21","461","28","433","31","1","46","2","28","15","9","281","5","8","1","6","29.10.12"
"730437","204","Чернівецька область","школа, актова зала
вул.Головна, 1, с.Ставчани, Хотинський р-н, Чернівецька обл., 60044","1248","423","1239","54","773","52","825","","0","773","52","825","46","779","185","8","82","4","11","36","17","416","5","7","1","7","29.10.12"
"730438","204","Чернівецька область","сільський клуб, фойє
вул.Хрестовоздвиженська, 2, с.Чепоноси, Хотинський р-н, Чернівецька обл., 60031","1008","483","1005","5","520","5","525","","0","520","5","525","38","487","44","7","98","2","7","44","11","228","11","19","10","6","29.10.12"
"730439","204","Чернівецька область","школа, фойє
вул.Миру, 11, с.Шилівці, Хотинський р-н, Чернівецька обл., 60022","2268","802","2251","134","1373","93","1466","","0","1373","93","1466","43","1423","95","57","101","2","261","21","3","853","6","9","6","9","29.10.12"
"730440","204","Чернівецька область","навчально виховний комплекс, актова зала
вул.Молодіжна, 18, с.Ширівці, Хотинський р-н, Чернівецька обл., 60032","1302","529","1302","16","757","16","773","","0","757","16","773","32","741","59","16","100","5","52","38","5","425","12","17","5","7","29.10.12"
"730441","204","Чернівецька область","будинок культури, актова зала
вул.О.Кобилянської, 6, с.Ярівка, Хотинський р-н, Чернівецька обл., 60055","822","302","813","26","494","26","520","","0","494","26","520","31","489","64","12","66","13","4","20","21","262","7","15","2","3","29.10.12"
"730442","204","Чернівецька область","школа, хол
Новодністровська школа ІІ-ІІІ ступенів, мікрорайон ""Діброва"", м.Новодністровськ, Чернівецька обл., 60236","2106","1051","2082","7","1053","2","1055","","0","1053","2","1055","45","1010","283","13","115","3","17","309","35","136","17","70","1","11","29.10.12"
"730443","204","Чернівецька область","спортивний комплекс, фойє, 2-й поверх
Обласний комунальний заклад ""ДЮСШ у м.Новодністровськ"", Промзона, квартал 10, будівля 15, м.Новодністровськ, Чернівецька обл., 60236","2070","967","2057","11","1093","10","1103","","0","1093","10","1103","42","1061","314","18","118","11","17","292","42","151","14","71","2","11","29.10.12"
"730444","204","Чернівецька область","музична школа, хол
Музична школа, мікрорайон ""Сонячний"", м.Новодністровськ, Чернівецька обл., 60236","2052","977","2031","5","1070","5","1075","","0","1070","5","1075","46","1029","339","17","108","6","19","294","36","148","16","33","1","12","29.10.12"
"730445","204","Чернівецька область","міська гімназія, хол
Новодністровська міська гімназія, мікрорайон ""Сонячний"", м.Новодністровськ, Чернівецької обл., 60236","2496","1258","2477","7","1234","4","1238","","0","1234","4","1238","43","1195","460","27","123","12","13","262","48","165","23","42","3","17","29.10.12"
