"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бичковський
Юрій
Олегович","Вандрашек
Вячеслав
Павлович","Лахнеко
Олег
Іванович","Лебедєв
Олександр
Павлович","Мусійко
Вадим
Юрійович","Назарян
Євген
Григорович","Поддубченко
Ігор
Іванович","Попутько
Юрій
Анатолійович","Путілов
Андрій
Станіславович","Романченко
Борис
Володимирович","Тишкевич
Олексій
Володимирович","Федін
Василь
Вікторович","Дата підписання протоколу"
"650047","183","Херсонська область","школа №2, хол
вул.Батумська, 26, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","2292","1259","2269","9","1029","4","1033","","0","1029","4","1033","61","972","9","2","65","9","14","18","42","13","546","8","8","238","29.10.12"
"650048","183","Херсонська область","будинок культури, концертний зал
вул.Карла Маркса, 100, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","1896","934","1876","27","938","24","962","","0","938","24","962","35","927","4","8","80","11","9","13","41","8","487","6","7","253","29.10.12"
"650049","183","Херсонська область","школа №3, столова
вул.Карла Маркса, 217, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","2082","1129","2078","19","946","7","953","","0","946","7","953","42","911","10","4","44","9","7","14","33","13","538","13","9","217","29.10.12"
"650050","183","Херсонська область","школа №1, актова зала
вул.Романа Вдовиченко, 93, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","1866","993","1852","41","836","37","873","","0","836","37","873","78","795","3","9","65","12","18","14","42","7","374","20","6","225","29.10.12"
"650051","183","Херсонська область","будинок культури, концертна зала
вул.Центральна, 3, с-ще Дніпровське, Білозерський р-н, Херсонська обл., 75003","1506","705","1492","43","765","36","801","","0","765","36","801","45","756","19","3","32","3","3","18","34","10","345","10","6","273","29.10.12"
"650052","183","Херсонська область","сільська рада, зал реєстрації
вул.Радянська, 158, с.Кізомис, Білозерський р-н, Херсонська обл., 75005","1332","627","1321","40","671","34","705","","0","671","34","705","46","659","4","2","85","9","4","6","36","10","293","2","4","204","29.10.12"
"650053","183","Херсонська область","школа, спортивна зала
вул.Радянська, 23А, с-ще Велетенське, Білозерський р-н, Херсонська обл., 75006","1164","557","1150","45","572","35","607","","0","572","35","607","41","566","5","5","104","2","3","5","29","9","245","7","5","147","29.10.12"
"650054","183","Херсонська область","школа, спортивна зала
вул.Центральна, 16, с.Надеждівка, Білозерський р-н, Херсонська обл., 75015","1074","532","1070","29","521","21","542","","0","521","21","542","35","507","11","4","35","1","8","6","34","9","243","5","3","148","29.10.12"
"650055","183","Херсонська область","школа, хол
вул.Комсомольська, 55, с.Олександрівка, Білозерський р-н, Херсонська обл., 75050","1836","1023","1820","70","746","67","813","","0","746","67","813","56","757","13","6","77","8","7","16","26","12","288","17","4","283","29.10.12"
"650056","183","Херсонська область","будинок культури, хол
вул.Леніна, 8, с.Станіслав, Білозерський р-н, Херсонська обл., 75051","1812","931","1798","61","823","58","881","","0","823","58","881","42","839","7","4","55","6","5","13","41","5","500","8","6","189","29.10.12"
"650057","183","Херсонська область","школа, хол
вул.Леніна, 35, с.Станіслав, Білозерський р-н, Херсонська обл., 75051","1974","1089","1954","69","831","54","885","","0","831","54","885","43","842","14","7","68","7","3","9","59","15","407","32","8","213","29.10.12"
"650058","183","Херсонська область","школа, хол
вул.Леніна, 46, с.Томина Балка, Білозерський р-н, Херсонська обл., 75004","864","373","860","29","463","28","491","","0","463","28","491","25","466","5","1","23","2","2","3","27","5","274","8","5","111","29.10.12"
"650059","183","Херсонська область","клуб, кінозал
вул.Радянська, 32, с.Новодмитрівка, Білозерський р-н, Херсонська обл., 75004","282","117","281","7","160","5","165","","0","160","5","165","5","160","0","0","25","1","1","6","6","4","86","1","3","27","29.10.12"
"650060","183","Херсонська область","будинок культури, концертна зала
вул.Херсонське шосе, будинок культури, с.Широка Балка, Білозерський р-н, Херсонська обл., 75052","1764","890","1750","52","834","40","874","","0","834","40","874","68","806","9","4","98","7","12","11","47","10","311","24","19","254","29.10.12"
"650061","183","Херсонська область","клуб, кінозал
вул.Шмідта, клуб, с.Софіївка, Білозерський р-н, Херсонська обл., 75053","384","177","382","14","195","12","207","","0","195","12","207","19","188","0","0","21","0","0","0","11","4","60","4","2","86","29.10.12"
"650062","183","Херсонська область","будинок культури, концертна зала
вул.Висоцької, 56, с.Правдине, Білозерський р-н, Херсонська обл., 75012","1176","602","1163","54","529","45","574","","0","529","45","574","32","542","9","6","73","6","2","12","52","7","122","7","5","241","29.10.12"
"650063","183","Херсонська область","будинок культури, кінозал
вул.Шкільна, 65, с.Кірове, Білозерський р-н, Херсонська обл., 75013","516","265","501","29","227","24","251","","0","227","24","251","10","241","6","3","41","1","2","50","12","2","50","0","1","73","29.10.12"
"650064","183","Херсонська область","школа, хол
вул.Центральна, школа, с-ще Радянське, Білозерський р-н, Херсонська обл., 75014","1518","849","1488","23","647","22","669","","0","647","22","669","49","620","16","2","55","7","7","8","41","9","269","5","8","193","29.10.12"
"650065","183","Херсонська область","будинок культури, хол
вул.Дєдуха, 70, с.Посад-Покровське, Білозерський р-н, Херсонська обл., 75010","1830","1013","1797","80","754","63","817","","0","754","63","817","55","762","70","11","117","6","12","12","15","26","256","5","12","220","29.10.12"
"650066","183","Херсонська область","школа, хол
вул.Херсонська, 33, с.Дар’ївка, Білозерський р-н, Херсонська обл., 75032","2376","1120","2360","112","1180","76","1256","","0","1180","76","1256","69","1187","23","9","108","19","9","21","62","15","538","2","13","368","29.10.12"
"650067","183","Херсонська область","школа, хол
вул.Гагаріна, 45, с.Інгулець, Білозерський р-н, Херсонська обл., 75031","1656","848","1636","46","773","35","808","","0","773","35","808","35","773","8","4","44","16","5","13","55","12","326","13","7","270","29.10.12"
"650068","183","Херсонська область","школа, хол
вул.Радянська, 45, с.Киселівка, Білозерський р-н, Херсонська обл., 75022","1956","1100","1939","53","812","44","856","","0","812","44","856","46","810","14","3","107","10","7","19","67","7","301","5","11","259","29.10.12"
"650069","183","Херсонська область","клуб, кінозал
вул.Радянська, 45, с.Киселівка, Білозерський р-н, Херсонська обл., 75022","192","102","189","0","90","0","90","","0","90","0","90","5","85","2","1","3","5","3","2","5","2","20","1","1","40","28.10.12"
"650070","183","Херсонська область","школа, хол
вул.Леніна, 78, с.Микільське, Білозерський р-н, Херсонська обл., 75033","2046","1014","2033","64","985","47","1032","","0","984","47","1031","65","966","7","6","93","13","5","11","43","7","379","11","4","387","29.10.12"
"650071","183","Херсонська область","школа, хол
вул.Коняєва, 24, с.Понятівка, Білозерський р-н, Херсонська обл., 75034","804","401","808","62","358","45","403","","0","358","45","403","24","379","6","1","32","5","6","5","11","6","131","4","5","167","29.10.12"
"650072","183","Херсонська область","школа, хол
вул.40 років Перемоги, 12, с.Музиківка, Білозерський р-н, Херсонська обл., 75023","2034","1146","2021","72","832","56","888","","0","832","56","888","61","827","41","6","68","19","10","16","49","17","350","5","11","235","29.10.12"
"650073","183","Херсонська область","будинок культури, хол
вул.Жовтнева, 1, с.Петрівське, Білозерський р-н, Херсонська обл., 75011","708","314","710","32","369","25","394","","0","369","25","394","23","371","25","2","26","9","8","5","26","6","129","5","4","126","29.10.12"
"650074","183","Херсонська область","сільська рада, зал засідань
вул.Зої Космодем’янської, 3А, с.Садове, Білозерський р-н, Херсонська обл., 75035","1200","589","1201","36","583","28","611","","0","583","28","611","29","582","4","4","91","5","4","7","21","9","220","3","5","209","30.10.12"
"650075","183","Херсонська область","школа, хол
вул.Шкільна, 12, с-ще Східне, Білозерський р-н, Херсонська обл., 75020","672","356","668","11","306","10","316","","0","306","10","316","20","296","4","1","40","2","9","6","10","9","126","7","2","80","28.10.12"
"650076","183","Херсонська область","2 відділ управління каналів Інгулецької зрошувальної системи, зала засідань
вул.Херсонська, 17, с.Загорянівка, Білозерський р-н, Херсонська обл., 75052","288","127","287","12","151","10","161","","0","151","10","161","10","151","1","0","21","1","0","5","12","2","39","2","1","67","29.10.12"
"650077","183","Херсонська область","школа, їдальня
вул.Придніпровська, 84В, с.Токарівка, Білозерський р-н, Херсонська обл., 75040","1062","522","1068","36","504","36","540","","0","504","36","540","25","515","6","3","49","1","2","3","31","5","197","3","4","211","29.10.12"
"650078","183","Херсонська область","школа, хол
вул.Придніпровська, 69, с.Новотягинка, Білозерський р-н, Херсонська обл., 75041","540","263","534","15","272","5","277","","0","272","5","277","16","261","1","3","16","1","4","3","8","5","92","1","0","127","29.10.12"
"650079","183","Херсонська область","клуб, кінозал
вул.Театральна, 4, с.Іванівка, Білозерський р-н, Херсонська обл., 75042","540","254","534","10","278","8","286","","0","278","8","286","14","272","1","1","41","2","3","2","12","1","114","0","1","94","29.10.12"
"650080","183","Херсонська область","школа, спортивна зала
вул.Першотравнева, 42, с.Федорівка, Білозерський р-н, Херсонська обл., 75030","858","391","850","15","455","12","467","","0","455","12","467","20","447","4","7","39","1","3","1","28","5","165","39","8","147","29.10.12"
"650081","183","Херсонська область","клуб, кінозал
вул.Жовтнева, клуб, с.Ульяновка, Білозерський р-н, Херсонська обл., 75030","408","186","405","5","218","4","222","","0","218","4","222","13","209","1","1","9","4","1","3","15","4","73","12","0","86","28.10.12"
"650082","183","Херсонська область","школа, спортивна зала
вул.Галицька, 21, с.Чорнобаївка, Білозерський р-н, Херсонська обл., 75024","2484","1362","2469","25","1100","22","1122","","0","1100","22","1122","85","1037","26","9","62","20","13","28","54","21","473","15","16","300","31.10.12"
"650083","183","Херсонська область","будинок культури, кінозал
вул.Жовтнева, 5, с.Чорнобаївка, Білозерський р-н, Херсонська обл., 75024","2442","1324","2421","18","1104","14","1118","","0","1104","14","1118","85","1033","26","8","54","20","9","32","35","19","508","17","14","291","29.10.12"
"650084","183","Херсонська область","школа-інтернат, вестибюль
вул.Жовтнева, 1, с.Чорнобаївка, Білозерський р-н, Херсонська обл., 75024","2484","1344","2466","16","1127","13","1140","","0","1127","13","1140","75","1065","11","13","66","29","12","34","45","17","516","22","12","288","29.10.12"
"650085","183","Херсонська область","клуб, кінозал
вул.Крутоярська, 17, с.Крутий Яр, Білозерський р-н, Херсонська обл., 75024","138","49","137","2","87","2","89","","0","87","2","89","4","85","7","1","26","2","1","2","3","2","19","1","3","18","28.10.12"
"650086","183","Херсонська область","Дар’ївська виправна колонія-10, клуб, кінозал
вул.Жовтнева, 187, с.Дар’ївка, Білозерський р-н, Херсонська обл., 75032","1572","36","1536","6","1530","6","1536","","0","1530","6","1536","276","1260","50","25","47","47","38","53","37","38","253","33","26","613","29.10.12"
"650087","183","Херсонська область","Білозерська виправна колонія-105, клуб, кінозал
вул.Жовтнева, 189, с.Дар’ївка, Білозерський р-н, Херсонська обл., 75032","840","73","768","0","767","0","767","","0","767","0","767","82","685","41","27","41","37","20","34","24","29","148","16","16","252","29.10.12"
"650654","183","Херсонська область","спеціалізована школа №12, хол, 1-й поверх
вул.Фурманова, 1, смт Антонівка, м.Херсон, 73000","2220","1155","2215","13","1057","8","1065","","0","1057","8","1065","72","993","28","9","132","10","10","32","38","22","400","15","26","271","29.10.12"
"650655","183","Херсонська область","спеціалізована школа №12, хол, 1-й поверх
вул.Фурманова, 1, смт Антонівка, м.Херсон, 73000","2226","1260","2219","8","959","7","966","","0","959","7","966","83","883","11","10","99","17","18","38","36","17","334","6","19","278","29.10.12"
"650656","183","Херсонська область","школа №18, хол, 1-й поверх
вул.Херсонська, 83, смт Антонівка, м.Херсон, 73000","2022","1092","2006","20","915","15","930","","0","915","15","930","68","862","10","8","80","11","18","34","42","11","336","11","22","279","29.10.12"
"650657","183","Херсонська область","ТОВ ""Південний регіон"", каб.2, 1-й поверх
вул.Кримська, 57, смт Антонівка, м.Херсон, 73000","2244","1447","2246","29","776","21","797","","0","776","21","797","60","737","13","6","69","12","14","25","32","5","297","4","15","245","29.10.12"
