"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Захарченко
Ігор
Георгійович","Мальцев
Устин
Валерійович","Найдьонов
Андрій
Михайлович","Сальдо
Володимир
Васильович","Ткач
Олексій
Олександрович","Урсуленко
Олексій
Анатолійович","Дата підписання протоколу"
"000001","182","Херсонська область","актовий зал
вул. Перекопська, буд. 10, м. Херсон, 73000","808","220","603","16","572","16","588","","0","572","16","588","159","429","23","30","26","220","29","101","29.10.12"
"650622","182","Херсонська область","обласна універсальна наукова бібліотека ім.О.Гончара, хол, 1-й поверх
вул.Дніпропетровська, 2, м.Херсон, 73000","1392","725","1389","9","658","9","667","","0","658","9","667","47","620","24","22","75","244","11","244","05.11.12"
"650623","182","Херсонська область","дитячо-юнацька спортивна школа №3, вестибюль, 1-й поверх
вул.Шмідта, 100, м.Херсон, 73000","1936","1057","1914","32","855","24","879","","0","855","24","879","53","826","31","40","84","343","22","306","29.10.12"
"650624","182","Херсонська область","міжшкільний навчально-виробничий комбінат, вестибюль, 2-й поверх
вул.Старостіна, 55, м.Херсон, 73000","2024","1185","2002","17","824","15","839","","0","824","15","839","69","770","24","26","100","283","18","319","29.10.12"
"650625","182","Херсонська область","школа №13, спортивна зала, 1-й поверх
вул.Старостіна, 19, м.Херсон, 73000","2064","1145","2004","19","902","17","919","","0","901","17","918","44","874","37","34","113","342","27","321","30.10.12"
"650626","182","Херсонська область","Херсонський державний університет, хол, 1-й поверх
вул.40 років Жовтня, 27, м.Херсон, 73000","1296","689","1296","5","602","5","607","","0","602","5","607","38","569","17","22","69","191","14","256","29.10.12"
"650627","182","Херсонська область","школа-інтернат ім.Т.Г.Шевченка, хол, 1-й поверх
вул.Пугачова, 101, м.Херсон, 73000","1936","974","1951","10","954","8","962","","0","954","8","962","71","891","35","48","100","363","18","327","29.10.12"
"650628","182","Херсонська область","школа №35, вестибюль, 1-й поверх
пров.Смоленський, 80, м.Херсон, 73000","984","548","982","9","430","6","436","","0","430","6","436","47","389","14","22","56","142","6","149","29.10.12"
"650629","182","Херсонська область","відділ державної Реєстрації актів цивільного стану районного управління юстиції, хол, 2-й поверх
вул.Чорноморська, 22А, м.Херсон, 73000","1184","578","1164","8","599","7","606","","0","599","7","606","34","572","24","24","68","238","9","209","29.10.12"
"650630","182","Херсонська область","Херсонський базовий медичний коледж, хол, 1-й поверх
вул.Перекопська, 164, м.Херсон, 73000","1168","603","1155","11","554","11","565","","0","554","11","565","36","529","19","14","70","201","13","212","29.10.12"
"650631","182","Херсонська область","школа №53, хол, 1-й поверх
вул.О.Шовкуненка, 86А, м.Херсон, 73000","2288","1053","2264","17","1222","13","1235","","0","1222","13","1235","118","1117","62","50","179","440","26","360","29.10.12"
"650632","182","Херсонська область","палац молоді та студентів, фойє великої зали, 1-й поверх
пл.Т.Г.Шевченка, 1, м.Херсон, 73000","2280","1181","2262","38","1065","34","1099","","0","1065","34","1099","85","1014","98","28","169","323","27","369","29.10.12"
"650633","182","Херсонська область","міський центр позашкільної роботи, актова зала, 1-й поверх
просп.Текстильників, 6А, м.Херсон, 73000","2000","964","1984","29","1019","17","1036","","0","1019","17","1036","56","980","47","39","166","325","28","375","29.10.12"
"650634","182","Херсонська область","школа №32, к.13
вул.Перекопська, 165, м.Херсон, 73000","1584","966","1558","7","614","4","618","","0","614","4","618","33","585","38","20","78","237","14","198","29.10.12"
"650635","182","Херсонська область","школа №36, вестибюль, 1-й поверх
вул.Перекопська, 173А, м.Херсон, 73000","2312","1109","2292","34","1178","25","1203","","0","1178","25","1203","71","1132","41","54","156","419","29","433","29.10.12"
"650636","182","Херсонська область","Херсонський економіко-правовий інститут, ауд.31
вул.Кримська, 134, м.Херсон, 73000","1768","995","1748","28","756","17","773","","0","756","17","773","63","710","28","31","139","268","18","226","29.10.12"
"650637","182","Херсонська область","Херсонський професійний ліцей зв’язку та поліграфії, хол, 1-й поверх
вул.Іллюші Кулика, 147, м.Херсон, 73000","2176","1193","2151","27","967","16","983","","0","967","16","983","91","892","30","42","154","328","25","313","29.10.12"
"650638","182","Херсонська область","Херсонський національний технічний університет, корпус 2, вестибюль, 1-й поверх
вул.Іллюші Кулика, 130, м.Херсон, 73000","1392","827","1362","6","561","4","565","","0","561","4","565","47","518","22","14","89","183","12","198","29.10.12"
"650639","182","Херсонська область","загальноосвітній навчально-виховний комплекс №48, вестибюль, 1-й поверх
вул.28-ї Армії, 14, м.Херсон, 73000","1480","704","1471","26","751","25","776","","0","751","25","776","33","743","31","30","123","287","19","253","29.10.12"
"650640","182","Херсонська область","гуртожиток №1 Херсонського національного технічного університету, вестибюль, 1-й поверх
вул.Миру, 38, м.Херсон, 73000","2272","1338","2264","4","932","2","934","","0","932","2","934","72","862","43","41","135","346","24","273","29.10.12"
"650641","182","Херсонська область","школа №39, вестибюль, 1-й поверх
вул.1 Текстильна, 1, с-ще Текстильне, м.Херсон, 73000","1912","1142","1911","5","769","1","770","","0","769","1","770","46","724","22","33","94","297","12","266","29.10.12"
"650642","182","Херсонська область","школа №39, їдальня, 1-й поверх
вул.1 Текстильна, 1, с-ще Текстильне, м.Херсон, 73000","1760","1003","1752","9","750","7","757","","0","750","7","757","59","698","17","25","81","301","12","262","29.10.12"
"650643","182","Херсонська область","Херсонський економіко-правовий інститут, хол, 1 -й поверх
вул.Кримська, 130, м.Херсон, 73000","1552","672","1540","25","862","18","880","","0","862","18","880","81","799","35","19","162","281","17","285","29.10.12"
"650644","182","Херсонська область","школа №50, вестибюль, 1-й поверх
вул.Кримська, 135, м.Херсон, 73000","1856","888","1837","30","950","18","968","","0","950","18","968","29","939","47","39","165","315","24","349","29.10.12"
"650645","182","Херсонська область","гуртожиток Херсонського професійно-технічного ліцею зв’язку та поліграфії, вестибюль, 1-й поверх
вул.Миру, 31, м.Херсон, 73000","2216","1226","2213","12","983","7","990","","0","983","7","990","70","920","32","39","166","301","16","366","29.10.12"
"650646","182","Херсонська область","школа №52, хол, 1-й поверх
вул.Кримська, 127, м.Херсон, 73000","2384","1109","2356","22","1263","12","1275","","0","1263","12","1275","66","1209","61","56","191","497","23","381","29.10.12"
"650647","182","Херсонська область","школа №53, їдальня, 1-й поверх
вул.О.Шовкуненка, 86А, м.Херсон, 73000","2288","1146","2259","9","1138","4","1142","","0","1137","4","1141","129","1012","29","48","179","382","23","351","05.11.12"
"650648","182","Херсонська область","Херсонський професійний ліцей харчової промисловості, актова зала, 1-й поверх
вул.Поповича, 3, м.Херсон, 73000","2040","1148","2021","24","875","17","892","","0","875","17","892","65","827","29","38","122","271","13","354","29.10.12"
"650649","182","Херсонська область","Херсонський професійний ліцей харчової промисловості, спортивна зала, 1-й поверх
вул.Поповича, 3, м.Херсон, 73000","2088","1084","2054","24","983","21","1004","","0","983","21","1004","65","939","36","42","153","346","21","341","29.10.12"
"650650","182","Херсонська область","ПАТ ""Херсонська теплоелектроцентраль"", клуб, актова зала, 2-й поверх
Бериславське шосе, 1, м.Херсон, 73000","2128","1090","2111","9","1030","8","1038","","0","1030","8","1038","74","964","33","42","155","365","24","345","29.10.12"
"650651","182","Херсонська область","Херсонський навчально-курсовий комбінат ""Професіонал"", аудиторія, 1-й поверх
вул.Перекопська, 180/2, м.Херсон, 73000","1760","1042","1752","16","703","15","718","","0","702","15","717","34","683","21","23","83","182","11","363","30.10.12"
"650652","182","Херсонська область","школа №37, хол, 1-й поверх
Кіндійське шосе, 32А, м.Херсон, 73000","1736","971","1710","29","744","21","765","","0","744","21","765","69","696","11","19","92","195","6","373","29.10.12"
"650653","182","Херсонська область","школа №37, спортивна зала, 1-й поверх
Кіндійське шосе, 32А, м.Херсон, 73000","1864","1074","1857","16","781","9","790","","0","781","9","790","63","727","21","27","85","229","11","354","29.10.12"
"650662","182","Херсонська область","школа №38, хол, 1-й поверх
вул.Степова, 20А, смт Зеленівка, м.Херсон, 73481","1544","927","1504","11","609","8","617","","0","609","8","617","26","591","14","27","90","285","9","166","29.10.12"
"650663","182","Херсонська область","школа №38, спортивна зала, 1-й поверх
вул.Степова, 20А, смт Зеленівка, м.Херсон, 73481","1704","983","1690","13","710","11","721","","0","710","11","721","66","655","14","25","73","307","5","231","29.10.12"
"650664","182","Херсонська область","ясла-садок №47, група, 1-й поверх
вул.Б.Хмельницького, 5, смт Зеленівка, м.Херсон, 73481","1424","843","1396","18","570","11","581","","0","570","11","581","32","549","9","11","78","260","15","176","29.10.12"
"650665","182","Херсонська область","будинок культури, хол, 1-й поверх
вул.60 років Жовтня, 21А, с.Богданівка, м.Херсон, 73482","400","192","393","9","199","9","208","","0","199","9","208","14","194","0","5","63","88","3","35","29.10.12"
"650666","182","Херсонська область","будинок культури, хол, 1-й поверх
вул.Шкільна, 32, с.Петрівка, м.Херсон, 73482","264","134","257","2","128","2","130","","0","128","2","130","11","119","2","1","49","41","1","25","29.10.12"
"650667","182","Херсонська область","школа №43, хол, 1-й поверх
вул.Робоча, 3, с-ще Сонячне, м.Херсон, 73482","600","295","582","19","287","18","305","","0","287","18","305","33","272","2","3","45","141","4","77","30.10.12"
"650668","182","Херсонська область","Херсонська міська клінічна лікарня ім.О.С.Лучанського, стаціонарний корпус, 2-й поверх
вул.Кримська, 138, м.Херсон, 73000","488","287","219","39","164","37","201","","0","164","37","201","17","184","10","5","21","104","4","40","29.10.12"
"650669","182","Херсонська область","Херсонська дитяча обласна клінічна лікарня, корпус новонароджених, 1-й поверх
вул.Українська, 81, м.Херсон, 73013","208","173","36","0","35","0","35","","0","35","0","35","3","32","6","3","3","13","2","5","29.10.12"
"650670","182","Херсонська область","лікарня УМВС, стаціонарне відділення, 4-й поверх
вул.Кременчуцька, 86, м.Херсон, 73013","72","56","16","0","16","0","16","","0","16","0","16","0","16","7","1","2","3","0","3","29.10.12"
"650726","182","Херсонська область","управління водоканала, актова зала, 1-й поверх
пл.ім.Ю.Тутушкіна, 9, м.Херсон, 73000","2400","1268","2395","30","1105","27","1132","","0","1104","27","1131","65","1066","32","77","163","408","21","365","29.10.12"
"650727","182","Херсонська область","Державна морська академія, спортивна зала
просп.Ушакова, 20, м.Херсон, 73022","2032","1007","2019","24","1009","16","1025","","0","1009","16","1025","50","975","44","43","187","322","26","353","30.10.12"
"650728","182","Херсонська область","гімназія №6, хол, 2-й поверх
вул.Пестеля, 4, м.Херсон, 73000","1848","823","1846","13","1014","11","1025","","0","1014","11","1025","44","981","27","48","164","348","20","374","29.10.12"
"650729","182","Херсонська область","гуртожиток політехнічного коледжу, хол, 1-й поверх
вул.40 років Жовтня, 23А, м.Херсон, 73022","2192","1160","2229","18","1018","14","1032","","0","1018","14","1032","73","959","19","34","162","345","25","374","29.10.12"
"650730","182","Херсонська область","школа №30, фойє, 1-й поверх
вул.Молодіжна, 12, м.Херсон, 73013","2416","1179","2384","25","1217","20","1237","","0","1217","20","1237","78","1159","39","61","221","437","26","375","29.10.12"
"650731","182","Херсонська область","школа №30, спортивна зала, 1-й поверх
вул.Молодіжна, 12, м.Херсон, 73013","2232","1300","2206","17","917","15","932","","0","917","15","932","59","873","33","45","162","314","34","285","29.10.12"
"650732","182","Херсонська область","школа гуманітарної праці, хол
вул.Молодіжна, 33, м.Херсон, 73013","2416","1292","2411","17","1114","10","1124","","0","1114","10","1124","80","1044","23","44","137","395","25","420","29.10.12"
"650733","182","Херсонська область","школа №15, фойє, 1-й поверх
пров.Комбайновий, 13, м.Херсон, 73026","2392","1135","2378","33","1230","27","1257","","0","1230","27","1257","93","1164","40","34","213","384","31","462","29.10.12"
"650734","182","Херсонська область","школа №31, хол
просп.Ушакова, 79А, м.Херсон, 73026","2232","1173","2213","32","1035","24","1059","","0","1035","24","1059","77","982","30","46","190","355","20","341","05.11.12"
"650735","182","Херсонська область","школа мистецтв ""Ювента"", хол
вул.Тракторна, 20, м.Херсон, 73022","1984","1103","1993","15","871","10","881","","0","871","10","881","54","827","25","33","105","313","17","334","29.10.12"
"650736","182","Херсонська область","школа №28, спортивна зала, 1-й поверх
пров.Маяковського, 1, м.Херсон, 73022","1544","862","1520","13","672","10","682","","0","672","10","682","58","624","15","39","127","205","20","218","29.10.12"
"650737","182","Херсонська область","музичне училище, фойє, 1-й поверх
просп.Ушакова, 39, м.Херсон, 73022","1560","822","1557","17","727","11","738","","0","727","11","738","45","693","27","22","130","227","18","269","29.10.12"
"650738","182","Херсонська область","школа №34, каб.2
вул.Червонофлотська, 32, м.Херсон, 73010","2288","1291","2278","24","978","19","997","","0","978","19","997","73","924","34","35","145","320","29","361","30.10.12"
"650739","182","Херсонська область","школа №16, спортивна зала, 1-й поверх
вул.Суворова, 2, м.Херсон, 73003","1712","786","1719","8","918","8","926","","0","918","8","926","36","890","20","46","114","337","16","357","29.10.12"
"650740","182","Херсонська область","гімназія №20, їдальня, 1-й поверх
вул.Дзержинського, 2, м.Херсон, 73003","1992","1061","1993","28","912","19","931","","0","912","19","931","65","866","21","31","126","336","23","329","30.10.12"
"650741","182","Херсонська область","комерційне училище, хол, 1-й поверх
просп.Адмірала Сенявіна, 26, м.Херсон, 73034","2000","1153","1993","13","838","9","847","","0","838","9","847","62","785","40","42","100","269","27","307","29.10.12"
"650742","182","Херсонська область","комерційне училище, їдальня, 1-й поверх
просп.Адмірала Сенявіна, 26, м.Херсон, 73034","2160","1176","2137","10","978","6","984","","0","978","6","984","64","920","31","35","139","318","21","376","29.10.12"
"650743","182","Херсонська область","школа №27, хол, 1-й поверх
вул.Будьонного, 8А, м.Херсон, 73034","2376","1178","2352","9","1189","9","1198","","0","1189","9","1198","124","1074","35","50","172","442","25","350","29.10.12"
"650744","182","Херсонська область","школа №27, актова зала, 2-й поверх
вул.Будьонного, 8А, м.Херсон, 73034","2288","1261","2266","11","1016","11","1027","","0","1016","11","1027","56","971","34","45","181","317","23","371","29.10.12"
"650745","182","Херсонська область","Вище професійне училище №2, хол 2, 1-й поверх
Миколаївське шосе, 52, м.Херсон, 73034","2152","1186","2146","10","958","8","966","","0","957","8","965","70","895","34","30","128","325","18","360","30.10.12"
"650746","182","Херсонська область","Вище професійне училище №2, хол 1, 1-й поверх
Миколаївське шосе, 52, м.Херсон, 73034","1856","997","1841","10","849","10","859","","0","849","10","859","64","795","25","36","113","283","27","311","30.10.12"
"650747","182","Херсонська область","школа №33, актова зала, 1-й поверх
селище Приміське, 7, м.Херсон, 73032","2008","1211","2016","11","789","8","797","","0","788","8","796","57","739","16","36","114","287","14","272","30.10.12"
