"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вінник
Іван
Юлійович","Воличенко
Роман
Миколайович","Діденко
Сергій
Володимирович","Дмитрук
Микола
Ілліч","Литвин
Ігор
Йосипович","Севрюков
Георгій
Іванович","Сіленков
Борис
Віталійович","Стретович
Володимир
Миколайович","Терлецький
Юрій
Сергійович","Дата підписання протоколу"
"650001","184","Херсонська область","школа №4, фойє, 1-й поверх
вул.Херсонська, 163, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2448","1446","2442","25","978","24","1002","","0","0","0","1002","50","952","171","9","18","352","58","96","73","60","115","31.10.12"
"650002","184","Херсонська область","ПАТ ""Машинобудівний завод"", фойє
вул.25 років Жовтня, 73, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2136","1241","2106","42","860","35","895","","0","860","35","895","48","847","141","7","13","308","56","90","78","55","99","28.10.12"
"650003","184","Херсонська область","школа №1, вестибюль, 1-й поверх
вул.1Травня, 266, м.Берислав, Бериславський р-н, Херсонська обл., 74300","1320","688","1295","34","599","33","632","","0","599","33","632","21","611","138","5","1","180","40","65","59","47","76","28.10.12"
"650004","184","Херсонська область","районний будинок культури, фойє, 1-й поверх
вул.Гоголя, 3, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2010","924","1969","32","1058","28","1086","","0","0","0","1086","32","1054","207","6","11","316","81","137","61","83","152","31.10.12"
"650005","184","Херсонська область","Бериславське медичне училище, спортивний зал, 1-й поверх
вул.1Травня, 173, м.Берислав, Бериславський р-н, Херсонська обл., 74300","1752","837","1731","38","878","37","915","","0","878","37","915","39","876","135","7","7","296","63","116","51","69","132","29.10.12"
"650006","184","Херсонська область","Бериславське педагогічне училище, фойє, 1-й поверх
вул.Слобідська, 45, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2010","1116","1982","28","870","24","894","","0","870","24","894","43","851","135","7","17","263","70","131","52","70","106","29.10.12"
"650007","184","Херсонська область","сільський клуб, зал
вул.Леніна, 18А, с.Бургунка, Бериславський р-н, Херсонська обл., 74334","834","354","834","20","461","19","480","","0","461","19","480","13","467","24","6","11","184","19","103","31","67","22","28.10.12"
"650008","184","Херсонська область","будинок культури, танцювальний зал
вул.Леніна, 8, с-ще Веселе, Бериславський р-н, Херсонська обл., 74344","2016","960","1990","68","990","66","1056","","0","990","66","1056","65","991","102","12","15","236","99","132","80","137","178","28.10.12"
"650009","184","Херсонська область","школа, актовий зал
вул.Комарова, 36, смт Козацьке, Бериславський р-н, Херсонська обл., 74343","1716","883","1685","34","802","31","833","","0","802","31","833","61","772","83","11","11","146","82","140","65","124","110","28.10.12"
"650010","184","Херсонська область","будинок культури, фойє
вул.Шевченко, 9, смт Козацьке, Бериславський р-н, Херсонська обл., 74343","1422","789","1404","30","606","27","633","","0","606","27","633","46","586","76","10","12","167","70","62","39","48","102","29.10.12"
"650011","184","Херсонська область","школа, фойє
пров.Шкільний, 17, с.Одрадокам’янка, Бериславський р-н, Херсонська обл., 74341","1734","905","1718","47","794","35","829","","0","0","0","829","35","794","105","4","12","420","64","53","35","30","71","31.10.12"
"650012","184","Херсонська область","школа, фойє
вул.1Травня, 2, с.Миколаївка, Бериславський р-н, Херсонська обл., 74342","594","275","587","13","307","12","319","","0","307","12","319","12","307","19","4","7","169","14","38","28","9","19","29.10.12"
"650013","184","Херсонська область","школа, фойє
вул.Поштова, 5, с.Тягинка, Бериславський р-н, Херсонська обл., 74330","1446","741","1428","54","654","51","705","","0","654","51","705","31","674","205","13","14","97","34","117","53","72","69","28.10.12"
"650014","184","Херсонська область","сільський клуб, зал
вул.Жовтнева, 9, с.Високе, Бериславський р-н, Херсонська обл., 74323","744","343","735","26","378","23","401","","0","378","23","401","17","384","50","5","5","92","27","26","22","62","95","28.10.12"
"650015","184","Херсонська область","контора, червоний куток
вул.Центральна, 8, с.Львівські Отруби, Бериславський р-н, Херсонська обл., 74323","102","51","100","5","46","5","51","","0","46","5","51","3","48","3","0","1","22","4","6","6","3","3","28.10.12"
"650016","184","Херсонська область","залізнична станція, червоний куток
вул.Центральна, 3, с-ще Матросівка, Бериславський р-н, Херсонська обл., 74323","66","21","67","0","45","0","45","","0","45","0","45","0","45","11","0","1","9","0","1","2","18","3","28.10.12"
"650017","184","Херсонська область","школа, класна кімната
вул.Молодіжна, 36, с.Зміївка, Бериславський р-н, Херсонська обл., 74372","444","208","445","12","226","10","236","","0","226","10","236","5","231","36","5","3","65","6","21","21","53","21","28.10.12"
"650018","184","Херсонська область","школа, фойє
пров.Миру, 1, с.Зміївка, Бериславський р-н, Херсонська обл., 74372","1428","553","1416","98","786","89","875","","0","786","89","875","31","844","167","3","6","84","48","43","146","182","165","28.10.12"
"650019","184","Херсонська область","будинок культури, фойє
вул.Миру, 21, с.Урожайне, Бериславський р-н, Херсонська обл., 74314","366","149","365","9","208","9","217","","0","208","9","217","10","207","37","1","2","111","3","15","17","13","8","28.10.12"
"650020","184","Херсонська область","будинок культури, фойє
вул.Карла Маркса, 45А, с.Качкарівка, Бериславський р-н, Херсонська обл., 74350","1272","624","1249","41","609","39","648","","0","609","39","648","25","623","142","5","16","118","25","100","43","148","26","29.10.12"
"650021","184","Херсонська область","сільський клуб, фойє
вул.Леніна, 13А, с.Саблуківка, Бериславський р-н, Херсонська обл., 74350","192","72","187","9","111","9","120","","0","111","9","120","5","115","15","1","3","36","4","17","12","23","4","28.10.12"
"650022","184","Херсонська область","будинок культури, малий зал
вул.Жовтнева, 10, с.Кірове, Бериславський р-н, Херсонська обл., 74320","672","268","669","19","385","19","404","","0","385","19","404","11","393","91","3","12","126","15","29","22","43","52","28.10.12"
"650023","184","Херсонська область","сільський клуб, малий зал
вул.Зелена, 19, с.Інгулівка, Бериславський р-н, Херсонська обл., 74320","180","79","178","5","96","5","101","","0","96","5","101","7","94","23","2","1","32","1","4","4","22","5","28.10.12"
"650024","184","Херсонська область","сільський клуб, великий зал
вул.Злагоди, 26, с.Куйбишеве, Бериславський р-н, Херсонська обл., 74321","102","35","98","3","64","3","67","","0","64","3","67","1","66","23","0","0","17","4","5","2","13","2","28.10.12"
"650025","184","Херсонська область","школа, кабінет початкових класів
вул.Каховська, 21, с.Чайкине, Бериславський р-н, Херсонська обл., 74322","312","153","309","7","153","6","159","","0","153","6","159","9","150","35","1","5","42","4","13","8","27","15","29.10.12"
"650026","184","Херсонська область","будинок культури, фойє
вул.Радянська, 69, с.Львове, Бериславський р-н, Херсонська обл., 74331","1638","872","1619","51","719","47","766","","0","719","47","766","21","745","96","16","12","127","67","101","109","76","141","29.10.12"
"650027","184","Херсонська область","сільський клуб, зал
вул.Урожайна, 1Б, с.Максима Горького, Бериславський р-н, Херсонська обл., 74310","366","146","358","16","204","16","220","","0","204","16","220","13","207","32","7","7","65","8","18","14","47","9","28.10.12"
"650028","184","Херсонська область","будинок культури, малий зал
вул.Бериславська, будинок культури, с.Милове, Бериславський р-н, Херсонська обл., 74351","810","384","788","33","397","29","426","","0","397","29","426","9","417","49","6","10","156","39","36","45","18","58","28.10.12"
"650029","184","Херсонська область","школа, фойє
вул.Гагаріна, 5, с.Суханове, Бериславський р-н, Херсонська обл., 74351","186","88","180","9","89","9","98","","0","89","9","98","2","96","21","2","0","38","3","14","4","13","1","28.10.12"
"650030","184","Херсонська область","фельдшерсько-акушерський пункт, оглядова кімната
вул.Шкільна, 5, с.Червоний Яр, Бериславський р-н, Херсонська обл., 74351","72","29","67","1","42","1","43","","0","42","1","43","0","43","1","0","0","12","1","8","2","16","3","28.10.12"
"650031","184","Херсонська область","сільська рада, обрядовий зал, 2-й поверх
вул.Комарова, 72, с.Новоберислав, Бериславський р-н, Херсонська обл., 74371","834","349","831","42","454","31","485","","0","454","31","485","12","473","48","7","8","248","13","49","30","38","32","28.10.12"
"650032","184","Херсонська область","школа, фойє
вул.Бархутова, 79, с.Новокаїри, Бериславський р-н, Херсонська обл., 74362","888","421","876","37","434","33","467","","0","434","33","467","18","449","77","8","6","107","28","54","63","48","58","28.10.12"
"650033","184","Херсонська область","школа, класна кімната
вул.Запорізька, 1, с.Республіканець, Бериславський р-н, Херсонська обл., 74362","186","56","181","12","118","12","130","","0","118","12","130","3","127","5","0","3","53","2","15","2","45","2","28.10.12"
"650034","184","Херсонська область","будинок культури, обрядовий зал
вул.Леніна, 30, с-ще Новорайськ, Бериславський р-н, Херсонська обл., 74360","1644","775","1620","58","813","56","869","","0","813","56","869","57","812","201","11","12","144","44","104","65","150","81","28.10.12"
"650035","184","Херсонська область","сільський клуб, зал
вул.1Травня, 42, с.Костирка, Бериславський р-н, Херсонська обл., 74360","444","211","440","6","227","6","233","","0","227","6","233","18","215","53","6","3","30","14","18","39","17","35","28.10.12"
"650036","184","Херсонська область","фельдшерсько-акушерський пункт, кабінет маніпуляції
вул.Садова, 26, с-ще Заможне, Бериславський р-н, Херсонська обл., 74360","78","29","86","2","48","1","49","","0","48","1","49","1","48","5","3","2","15","3","3","4","12","1","28.10.12"
"650037","184","Херсонська область","будинок культури, фойє
вул.Миру, 10А, с.Ольгівка, Бериславський р-н, Херсонська обл., 74332","876","362","869","37","478","36","514","","0","478","36","514","21","493","120","8","12","101","43","58","48","50","53","28.10.12"
"650038","184","Херсонська область","будинок культури, фойє
вул.Центральна, 22В, с.Вірівка, Бериславський р-н, Херсонська обл., 74333","318","95","325","12","213","10","223","","0","213","10","223","12","211","23","0","6","50","28","33","12","42","17","28.10.12"
"650039","184","Херсонська область","будинок культури, актовий зал
вул.Радянська, 11, с.Раківка, Бериславський р-н, Херсонська обл., 74312","570","273","558","18","285","12","297","","0","285","12","297","19","278","55","5","4","65","20","30","23","50","26","28.10.12"
"650040","184","Херсонська область","сільський клуб, фойє
вул.Бериславська, 3, с.Томарине, Бериславський р-н, Херсонська обл., 74340","588","226","589","16","348","14","362","","0","348","14","362","14","348","76","3","6","114","17","24","53","37","18","29.10.12"
"650041","184","Херсонська область","школа, фойє
вул.Нова, 20, с.Степне, Бериславський р-н, Херсонська обл., 74311","534","250","526","12","272","12","284","","0","272","12","284","9","275","19","2","1","95","12","19","24","83","20","29.10.12"
"650042","184","Херсонська область","школа, фойє
вул.Центральна, 5, с-ще Червоний Маяк, Бериславський р-н, Херсонська обл., 74370","1158","555","1149","32","572","31","603","","0","572","31","603","20","583","160","11","8","126","32","60","23","45","118","29.10.12"
"650043","184","Херсонська область","сільська їдальня, зал
вул.Веремко, 8, с.Крупиця, Бериславський р-н, Херсонська обл., 74370","108","42","108","0","66","0","66","","0","66","0","66","1","65","26","0","2","14","0","3","2","18","0","28.10.12"
"650044","184","Херсонська область","школа, фойє
вул.Нова, 7, с-ще Ударник, Бериславський р-н, Херсонська обл., 74370","240","105","238","1","134","1","135","","0","134","1","135","3","132","22","1","1","34","8","12","7","35","12","28.10.12"
"650045","184","Херсонська область","сільська рада, актовий зал, 2-й поверх
вул.Чкалова, 1А, с-ще Шляхове, Бериславський р-н, Херсонська обл., 74307","792","373","785","14","405","14","419","","0","405","14","419","14","405","70","3","5","183","18","23","59","10","34","29.10.12"
"650046","184","Херсонська область","районна лікарня, вестибюль
вул.1Травня, 124, м.Берислав, Бериславський р-н, Херсонська обл., 74300","180","150","33","9","21","9","30","","0","21","9","30","2","28","4","0","2","10","3","2","5","0","2","28.10.12"
"650088","184","Херсонська область","районний будинок культури, диско-зал
вул.Щорса, 3А, смт Велика Лепетиха, Великолепетиський р-н, Херсонська обл., 74502","1794","884","1752","43","872","38","910","","0","872","38","910","34","876","110","9","15","206","37","119","137","88","155","29.10.12"
"650089","184","Херсонська область","школа №1, фойє
вул.Куйбишева, 18, смт Велика Лепетиха, Великолепетиський р-н, Херсонська обл., 74502","1452","769","1400","19","666","17","683","","0","666","17","683","26","657","52","3","11","123","34","103","114","110","107","29.10.12"
"650090","184","Херсонська область","професійно-технічне училище №22, їдальня
вул.Українська, 55, смт Велика Лепетиха, Великолепетиський р-н, Херсонська обл., 74502","1458","746","1446","20","693","19","712","","0","693","19","712","22","690","100","7","13","120","44","78","154","68","106","29.10.12"
"650091","184","Херсонська область","селищний будинок культури, диско-зал
вул.Островського, 13Б, смт Велика Лепетиха, Великолепетиський р-н, Херсонська обл., 74501","1632","808","1611","32","793","31","824","","0","793","31","824","28","796","98","9","13","132","53","144","139","104","104","29.10.12"
"650092","184","Херсонська область","клуб елеватора, фойє
вул.Леніна, 157, смт Велика Лепетиха, Великолепетиський р-н, Херсонська обл., 74501","1338","696","1308","28","616","26","642","","0","616","26","642","25","617","57","8","12","87","36","100","118","87","112","29.10.12"
"650093","184","Херсонська область","школа, фойє
вул.Основікова, 61, с.Демидівка, Великолепетиський р-н, Херсонська обл., 74524","216","74","216","4","138","4","142","","0","138","4","142","5","137","26","1","6","23","13","12","18","25","13","28.10.12"
"650094","184","Херсонська область","школа, фойє
вул.Основікова, 17, с.Запоріжжя, Великолепетиський р-н, Херсонська обл., 74523","138","36","136","5","97","5","102","","0","97","5","102","8","94","17","1","5","32","5","12","6","5","11","28.10.12"
"650095","184","Херсонська область","будинок культури, фойє
вул.Чапаєва, будинок культури, с.Катеринівка, Великолепетиський р-н, Херсонська обл., 74520","354","122","351","30","202","30","232","","0","202","30","232","8","224","31","3","22","71","8","20","20","26","23","29.10.12"
"650096","184","Херсонська область","будинок культури, фойє
вул.Маяковського, будинок культури, с.Костянтинівка, Великолепетиський р-н, Херсонська обл., 74521","234","78","233","7","149","7","156","","0","149","7","156","10","146","22","2","2","44","1","12","23","27","13","29.10.12"
"650097","184","Херсонська область","будинок культури, фойє
вул.Адамяна, 1, с.Князе-Григорівка, Великолепетиський р-н, Херсонська обл., 74530","1308","605","1290","25","680","23","703","","0","680","23","703","33","670","126","9","15","142","33","102","91","76","76","28.10.12"
"650098","184","Херсонська область","сільський клуб, фойє
вул.Богдана Хмельницького, 1, с.Середнє, Великолепетиський р-н, Херсонська обл., 74530","72","22","68","1","50","0","50","","0","50","0","50","2","48","11","1","4","22","0","1","2","6","1","28.10.12"
"650099","184","Херсонська область","будинок культури, фойє
вул.Суворова, 8, с.Мала Лепетиха, Великолепетиський р-н, Херсонська обл., 74510","924","411","904","24","489","24","513","","0","489","24","513","22","491","121","7","32","75","35","76","53","34","58","29.10.12"
"650100","184","Херсонська область","сільський клуб, фойє
вул.Гагаріна, 13, с.Мала Лепетиха, Великолепетиський р-н, Херсонська обл., 74510","468","188","438","27","253","27","280","","0","253","27","280","19","261","36","5","12","37","30","29","40","59","13","29.10.12"
"650101","184","Херсонська область","сільський клуб, фойє
вул.Комарова, 13, с.Дмитрівка, Великолепетиський р-н, Херсонська обл., 74510","54","13","53","0","41","0","41","","0","41","0","41","4","37","9","0","8","6","2","2","2","1","7","28.10.12"
"650102","184","Херсонська область","сільська рада, актова зала
вул.Леніна, 63Б, с.Миколаївка, Великолепетиський р-н, Херсонська обл., 74522","438","149","438","27","263","26","289","","0","263","26","289","19","270","54","11","8","64","14","38","29","24","28","29.10.12"
"650103","184","Херсонська область","школа №1, фойє
вул.Першотравнева, 1, с.Рубанівка, Великолепетиський р-н, Херсонська обл., 74531","1032","504","1035","17","512","16","528","","0","512","16","528","26","502","85","10","23","68","32","87","55","83","59","29.10.12"
"650104","184","Херсонська область","дитячий садок ""Вишенька"", фойє
вул.Ульянова, 33, с.Рубанівка, Великолепетиський р-н, Херсонська обл., 74531","840","442","826","18","382","16","398","","0","382","16","398","29","369","48","2","9","71","23","81","54","35","46","29.10.12"
"650105","184","Херсонська область","школа №2, фойє
вул.Гридасова, 1, с.Рубанівка, Великолепетиський р-н, Херсонська обл., 74531","654","331","634","23","300","23","323","","0","300","23","323","7","316","59","2","10","64","14","89","46","18","14","28.10.12"
"650106","184","Херсонська область","сільський клуб, фойє
вул.Коноваленка, сільський клуб, с.Веселе, Великолепетиський р-н, Херсонська обл., 74531","48","2","51","0","46","0","46","","0","46","0","46","1","45","0","0","2","15","0","7","2","13","6","28.10.12"
"650107","184","Херсонська область","Центральна районна лікарня, поліклініка, фойє
вул.Островського, 11, смт Велика Лепетиха, Великолепетиський р-н, Херсонська обл., 74501","72","38","40","2","33","1","34","","0","33","1","34","0","34","2","0","2","7","2","4","7","6","4","28.10.12"
"650108","184","Херсонська область","районний будинок культури, фойє
вул.Леніна, 145, смт Велика Олександрівка, Великоолександрівський р-н, Херсонська обл., 74100","1152","484","1152","30","638","30","668","","0","638","30","668","32","636","50","6","9","152","64","68","50","86","151","28.10.12"
"650109","184","Херсонська область","селищна рада, зала засідань, каб.9
вул.Леніна, 161, смт Велика Олександрівка, Великоолександрівський р-н, Херсонська обл., 74100","1140","543","1125","36","561","36","597","","0","561","36","597","15","582","58","7","11","107","47","110","37","72","133","28.10.12"
"650110","184","Херсонська область","школа №1, їдальня
вул.Леніна, 75, смт Велика Олександрівка, Великоолександрівський р-н, Херсонська обл., 74100","1854","1007","1826","39","810","37","847","","0","810","37","847","44","803","97","8","16","181","67","86","73","126","149","29.10.12"
