"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гончарський
Іван
Львович","Журавко
Олексій
Валерійович","Негой
Федір
Федорович","Реуцький
Іван
Васильович","Самойлик
Катерина
Семенівна","Сергеєв
Сергій
Олександрович","Твердовський
Олександр
Миколайович","Фролов
Олексій
Володимирович","Халупенко
Денис
Миколайович","Дата підписання протоколу"
"650235","186","Херсонська область","гімназія, вестибюль
вул.Ларіонова, 132, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2328","1292","2241","5","1031","5","1036","","0","1030","5","1035","33","1002","205","238","161","11","184","10","119","36","38","29.10.12"
"650236","186","Херсонська область","санаторій ""Гопри"", вестибюль
вул.Леніна, 72, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","1216","637","1194","0","579","0","579","","0","579","0","579","22","557","78","149","93","6","102","7","72","17","33","04.11.12"
"650237","186","Херсонська область","школа мистецтв, вестибюль
вул.Горького, 18, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2320","1221","2260","13","1089","10","1099","","0","1089","10","1099","30","1069","198","275","124","9","200","11","130","53","69","29.10.12"
"650238","186","Херсонська область","школа №4, вестибюль
вул.1 Травня, 38, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2288","1249","2229","6","1034","5","1039","","0","1034","5","1039","45","994","164","206","118","12","225","10","148","57","54","29.10.12"
"650239","186","Херсонська область","школа №1, вестибюль
вул.1 Травня, 62, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","1712","961","1636","4","748","3","751","","0","748","3","751","28","723","108","139","176","8","133","10","84","27","38","29.10.12"
"650240","186","Херсонська область","автопідприємство-16540, вестибюль
вул.Дзержинського, 32, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","1752","943","1742","9","801","8","809","","0","801","8","809","26","783","113","151","190","7","129","9","107","27","50","29.10.12"
"650241","186","Херсонська область","Приморське управління водного господарства, фойє
вул.Московська, 2, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2008","1103","1994","11","896","9","905","","0","896","9","905","32","872","141","171","181","5","165","7","127","38","37","28.10.12"
"650242","186","Херсонська область","геріатричний пансіонат, фойє
вул.Червоноармійська, 103А, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","232","31","230","85","122","79","201","","0","122","79","201","14","187","10","113","13","1","38","3","5","3","1","29.10.12"
"650243","186","Херсонська область","бібліотека-філія, фойє
с.Білогрудове, Голопристанський р-н, Херсонська обл., 75600","144","55","153","0","89","0","89","","0","89","0","89","6","83","14","48","6","0","6","0","5","3","1","29.10.12"
"650244","186","Херсонська область","будинок культури, фойє
вул.Українська, 26, с.Велика Кардашинка, Голопристанський р-н, Херсонська обл., 75610","1048","500","1040","1","548","0","548","","0","548","0","548","17","531","54","84","209","4","85","3","53","19","20","28.10.12"
"650245","186","Херсонська область","бібліотека, фойє
вул.Шкільна, 52, с.Мала Кардашинка, Голопристанський р-н, Херсонська обл., 75612","824","410","815","2","412","2","414","","0","412","2","414","22","392","65","66","147","11","54","2","32","8","7","29.10.12"
"650246","186","Херсонська область","школа, вестибюль
вул.Шевченка, 85А, с.Кардашинка, Голопристанський р-н, Херсонська обл., 75611","912","541","880","1","370","1","371","","0","370","1","371","13","358","33","97","136","3","48","0","27","6","8","29.10.12"
"650247","186","Херсонська область","кафе, фойє
вул.Лісова, 17, с.Кохани, Голопристанський р-н, Херсонська обл., 75611","296","171","290","1","124","1","125","","0","124","1","125","3","122","8","32","33","4","28","0","10","4","3","28.10.12"
"650248","186","Херсонська область","сільський будинок культури, вестибюль
вул.Дубинди, 22, с.Геройське, Голопристанський р-н, Херсонська обл., 75620","416","136","415","14","267","13","280","","0","267","13","280","8","272","23","75","46","0","87","1","29","4","7","29.10.12"
"650249","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 158, с.Гладківка, Голопристанський р-н, Херсонська обл., 75633","1848","1017","1831","33","801","30","831","","0","801","30","831","18","813","118","78","367","5","171","4","42","14","14","29.10.12"
"650250","186","Херсонська область","сільський клуб, вестибюль
вул.Українська, 2, с.Рідна Голопристанський р-н, Херсонська обл., 75633","104","40","103","0","64","0","64","","0","64","0","64","1","63","10","9","33","1","3","2","2","1","2","28.10.12"
"650251","186","Херсонська область","сільський будинок культури, фойє
вул.Гагаріна, 19, с.Малі Копані, Голопристанський р-н, Херсонська обл., 75632","1584","878","1567","18","688","18","706","","0","688","18","706","23","683","98","105","289","3","90","3","41","20","34","29.10.12"
"650252","186","Херсонська область","школа, вестибюль
вул.Степова, 57А, с.Рибальче, Голопристанський р-н, Херсонська обл., 75621","712","323","714","29","360","29","389","","0","360","29","389","16","373","34","124","49","5","72","1","66","11","11","29.10.12"
"650253","186","Херсонська область","сільський будинок культури, вестибюль
вул.Леніна, 150, с.Пам’ятне, Голопристанський р-н, Херсонська обл., 75624","808","347","801","10","451","10","461","","0","451","10","461","16","445","65","107","104","3","93","3","28","6","36","29.10.12"
"650254","186","Херсонська область","сільський клуб, фойє
вул.Леніна, 27, с-ще Садове, Голопристанський р-н, Херсонська обл., 75622","688","280","679","12","396","12","408","","0","396","12","408","10","398","69","83","115","2","76","4","19","18","12","30.10.12"
"650255","186","Херсонська область","сільський клуб, фойє
вул.Українська, 75, с.Іванівка, Голопристанський р-н, Херсонська обл., 75623","320","116","309","12","192","12","204","","0","192","12","204","12","192","22","49","43","2","50","0","14","1","11","30.10.12"
"650256","186","Херсонська область","школа, вестибюль
вул.Першотравнева, 80, с.Стара Збур’ївка, Голопристанський р-н, Херсонська обл., 75630","1680","893","1669","10","778","9","787","","0","778","9","787","25","762","72","152","303","9","111","3","60","22","30","29.10.12"
"650257","186","Херсонська область","сільський будинок культури, вестибюль
вул.Больнична, 18, с.Нова Збур’ївка, Голопристанський р-н, Херсонська обл., 75631","2400","1369","2388","1","1030","1","1031","","0","1030","1","1031","29","1002","89","190","314","6","282","9","59","16","37","29.10.12"
"650258","186","Херсонська область","школа №3, вестибюль
вул.Шкільна, 31, с.Нова Збур’вка, Голопристанський р-н, Херсонська обл., 75631","1608","940","1592","0","668","0","668","","0","668","0","668","20","648","49","172","208","3","150","1","38","13","14","28.10.12"
"650259","186","Херсонська область","школа №2, вестибюль
вул.Леніна, 237, с.Нова Збур’ївка, Голопристанський р-н, Херсонська обл., 75631","1440","854","1417","0","586","0","586","","0","586","0","586","24","562","57","101","211","3","115","1","50","11","13","29.10.12"
"650260","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 25, с.Новофедорівка, Голопристанський р-н, Херсонська обл., 75652","712","250","704","15","447","15","462","","0","447","15","462","10","452","117","94","127","2","67","3","20","14","8","04.11.12"
"650261","186","Херсонська область","школа, вестибюль
вул.Миру, 2, с.Залізний Порт, Голопристанський р-н, Херсонська обл., 75653","1264","631","1245","8","625","8","633","","0","625","8","633","21","612","143","122","150","6","88","6","72","15","10","29.10.12"
"650262","186","Херсонська область","сільський будинок культури, вестибюль
вул.Калініна, 51А, с.Бехтери, Голопристанський р-н, Херсонська обл., 75650","1144","625","1129","21","501","18","519","","0","501","18","519","8","511","75","82","201","5","82","3","43","7","13","04.11.12"
"650263","186","Херсонська область","школа, вестибюль
вул.Леніна, 3, с.Бехтери, Голопристанський р-н, Херсонська обл., 75655","1016","587","1005","15","414","15","429","","0","414","15","429","15","414","47","72","149","2","92","1","36","4","11","01.11.12"
"650264","186","Херсонська область","сільський клуб, фойє
вул.Леніна, 43, с.Новочорномор’я, Голопристанський р-н, Херсонська обл., 75651","192","70","189","6","116","6","122","","0","116","6","122","5","117","13","26","45","1","17","3","5","2","5","28.10.12"
"650265","186","Херсонська область","школа, вестибюль
вул.Леніна, 13, с.Добропілля, Голопристанський р-н, Херсонська обл., 75663","768","379","761","1","388","1","389","","0","388","1","389","12","377","66","82","71","1","110","3","20","5","19","29.10.12"
"650266","186","Херсонська область","сільський клуб, фойє
вул.Кірова, 47, с-ще Жовтневе, Голопристанський р-н, Херсонська обл., 75663","232","105","227","0","127","0","127","","0","127","0","127","8","119","13","28","42","2","22","1","5","2","4","28.10.12"
"650267","186","Херсонська область","сільський клуб, фойє
вул.Чапаєва, сільський клуб, с.Київка, Голопристанський р-н, Херсонська обл., 75663","224","103","221","2","119","2","121","","0","119","2","121","4","117","10","26","47","0","19","1","6","4","4","28.10.12"
"650268","186","Херсонська область","школа, вестибюль
вул.Горького, 33, с.Долматівка, Голопристанський р-н, Херсонська обл., 75662","952","510","950","0","442","0","442","","0","442","0","442","20","422","35","72","187","4","80","2","28","7","7","28.10.12"
"650269","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 81, с.Збур’ївка, Голопристанський р-н, Херсонська обл., 75643","680","277","675","8","395","8","403","","0","395","8","403","7","396","30","116","161","3","53","3","20","4","6","29.10.12"
"650270","186","Херсонська область","сільський клуб, фойє
вул.Комсомольська, 67, с.Облої, Голопристанський р-н, Херсонська обл., 75643","112","30","106","6","76","6","82","","0","76","6","82","0","82","6","29","23","2","14","1","2","1","4","28.10.12"
"650271","186","Херсонська область","сільський клуб, фойє
вул.Миру, 14, с.Краснознам’янська, Голопристанський р-н, Херсонська обл., 75640","376","129","367","7","241","6","247","","0","241","6","247","5","242","20","54","71","1","86","0","4","3","3","28.10.12"
"650272","186","Херсонська область","сільський клуб, фойє
вул.Південна, 6, с.Очаківське, Голопристанський р-н, Херсонська обл., 75640","112","40","109","0","72","0","72","","0","72","0","72","2","70","5","26","16","0","18","0","1","4","0","29.10.12"
"650273","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 52А, с.Круглоозерка, Голопристанський р-н, Херсонська обл., 75654","936","393","928","29","514","29","543","","0","514","29","543","12","531","81","96","161","2","135","2","38","9","7","29.10.12"
"650274","186","Херсонська область","сільський клуб, фойє
вул.Миру, 26А, с.Більшовик, Голопристанський р-н, Херсонська обл., 75655","264","101","263","11","152","11","163","","0","152","11","163","2","161","25","34","26","2","57","1","11","2","3","28.10.12"
"650275","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 16А, с.Нововолодимирівка, Голопристанський р-н, Херсонська обл., 75660","728","332","719","0","396","0","396","","0","396","0","396","8","388","43","53","220","2","40","4","12","5","9","30.10.12"
"650276","186","Херсонська область","сільський клуб, фойє
вул.70 років Жовтня, 97, с.Зеленотропинське, Голопристанський р-н, Херсонська обл., 75661","344","120","332","0","224","0","224","","0","224","0","224","10","214","10","41","125","3","23","0","3","3","6","29.10.12"
"650277","186","Херсонська область","сільський клуб, фойє
вул.Тельмана, 9А, с.Сліпушинське, Голопристанський р-н, Херсонська обл., 75660","160","53","160","0","107","0","107","","0","107","0","107","3","104","16","45","27","2","11","0","2","0","1","28.10.12"
"650278","186","Херсонська область","будинок молоді, вестибюль
вул.Калініна, 71, с.Новософіївка, Голопристанський р-н, Херсонська обл., 75664","944","481","913","15","450","13","463","","0","450","13","463","15","448","56","164","147","1","40","3","12","17","8","28.10.12"
"650279","186","Херсонська область","сільський клуб, фойє
пров.Центральний, сільський клуб, с.Петрівка, Голопристанський р-н, Херсонська обл., 75652","224","64","228","8","152","8","160","","0","152","8","160","4","156","37","23","75","0","12","2","5","1","1","28.10.12"
"650280","186","Херсонська область","сільський клуб, фойє
вул.Григорія Сковороди, сільський клуб, с.Калинівка, Голопристанський р-н, Херсонська обл., 75664","176","52","178","4","120","4","124","","0","120","4","124","5","119","16","21","32","1","35","3","3","5","3","29.10.12"
"650281","186","Херсонська область","сільський клуб, фойє
пров.Промисловий, 7, с.Олексіївка, Голопристанський р-н, Херсонська обл., 75642","736","278","726","14","444","14","458","","0","444","14","458","6","452","18","93","115","8","173","3","18","15","9","29.10.12"
"650282","186","Херсонська область","школа, вестибюль
вул.8 Березня, 57, с-ще Чорноморське, Голопристанський р-н, Херсонська обл., 75641","864","444","848","10","413","7","420","","0","413","7","420","15","405","57","90","154","1","61","7","13","2","20","29.10.12"
"650283","186","Херсонська область","сільський клуб, фойє
вул.Калініна, сільський клуб, с.Лиманівка, Голопристанський р-н, Херсонська обл., 75641","272","78","271","7","187","7","194","","0","187","7","194","5","189","12","26","86","1","38","2","11","5","8","28.10.12"
"650284","186","Херсонська область","сільський будинок культури, вестибюль
вул.Віктора Заїки, сільський будинок культури, с.Чулаківка, Голопристанський р-н, Херсонська обл., 75635","2200","1073","2193","5","1122","5","1127","","0","1122","5","1127","52","1075","124","210","360","9","215","9","53","40","55","04.11.12"
"650285","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 410В, с.Таврійське, Голопристанський р-н, Херсонська обл., 75656","1456","700","1444","32","725","31","756","","0","725","31","756","26","730","137","124","228","4","118","7","55","20","37","29.10.12"
"650286","186","Херсонська область","школа, вестибюль
вул.Кірова, 20Б, с.Великий Клин, Голопристанський р-н, Херсонська обл., 75634","232","79","232","7","147","6","153","","0","147","6","153","2","151","32","52","42","0","11","0","10","0","4","29.10.12"
"650287","186","Херсонська область","виправна колонія №7, актовий зал
Голопристанська виправна колонія №7, с.Стара Збур’ївка, Голопристанський р-н, Херсонська обл., 75630","664","49","615","0","615","0","615","","0","615","0","615","117","498","33","325","10","10","29","13","27","20","31","29.10.12"
"650323","186","Херсонська область","районний будинок культури, фойє, 2-й поверх
вул.Чорноморська, 7, смт Каланчак, Каланчацький р-н, Херсонська обл., 75800","2256","1097","2246","48","1117","42","1159","","0","1117","42","1159","43","1116","158","238","170","12","334","12","63","40","89","29.10.12"
"650324","186","Херсонська область","школа №2, їдальня
вул.Шевченка, 53, смт Каланчак, Каланчацький р-н, Херсонська обл., 75800","2072","983","2056","48","1044","45","1089","","0","1044","45","1089","27","1062","132","224","169","8","376","9","61","36","47","29.10.12"
"650325","186","Херсонська область","селищний будинок культури ""Жовтневий"", глядацька зала
вул.Перекопська, 17, смт Каланчак, Каланчацький р-н, Херсонська обл., 75800","2400","1260","2379","38","1107","33","1140","","0","1107","33","1140","46","1093","153","201","206","4","356","5","70","32","66","29.10.12"
"650326","186","Херсонська область","селищний будинок культури ""Партизан"", концертна зала
пров.Західний, 5, смт Каланчак, Каланчацький р-н, Херсонська обл., 75800","1632","769","1602","23","843","20","863","","0","843","20","863","26","837","118","164","154","2","251","3","35","63","47","29.10.12"
"650327","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 39, с.Новокиївка, Каланчацький р-н, Херсонська обл., 75804","1192","494","1171","32","674","24","698","","0","674","24","698","39","659","56","145","187","5","228","3","10","12","13","29.10.12"
"650328","186","Херсонська область","сільський будинок культури, малий зал
вул.Шкільна, 17, с.Новопавлівка, Каланчацький р-н, Херсонська обл., 75820","528","189","519","15","327","12","339","","0","327","12","339","13","326","30","105","92","1","83","2","4","4","5","28.10.12"
"650329","186","Херсонська область","школа, фойє, 1-й поверх
вул.Шевченко, 58, с.Новоолександрівка, Каланчацький р-н, Херсонська обл., 75821","944","322","950","34","591","31","622","","0","591","31","622","20","602","12","68","67","5","421","4","4","6","15","29.10.12"
"650330","186","Херсонська область","селищний будинок культури, танцзал
вул.Шевченка, 37, смт Мирне, Каланчацький р-н, Херсонська обл., 75822","1576","684","1557","46","850","42","892","","0","850","42","892","21","871","53","170","104","2","436","10","26","9","61","29.10.12"
"650331","186","Херсонська область","сільський будинок культури, фойє
вул.Миру, 22Б, с.Гаврилівка Друга, Каланчацький р-н, Херсонська обл., 75832","952","396","943","35","525","31","556","","0","525","31","556","33","523","53","156","55","2","143","2","28","31","53","29.10.12"
"650332","186","Херсонська область","сільська рада, актова зала
вул.Радянська, 7, с.Олександрівка, Каланчацький р-н, Херсонська обл., 75840","728","245","723","26","460","23","483","","0","460","23","483","15","468","38","181","66","1","133","3","11","11","24","28.10.12"
