"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Амельченко
Василь
Васильович","Журман
Сергій
Миколайович","Зінов’єв
Артур
Петрович","Куніцин
Володимир
Миколайович","Лещенко
Володимир
Олексійович","Матюха
Валерія
Валеріївна","Неживий
Леонід
Михайлович","Петров
Олег
Борисович","Петров
Олег
Володимирович","Рибаков
Ігор
Олександрович","Шаповал
Петро
Дмитрович","Юхименко
Сергій
Володимирович","Дата підписання протоколу"
"740716","207","Чернігівська область","будинок культури, мала зала
вул.І.Франка, 26, с.Погорільці, Семенівський р-н, Чернігівська обл., 15452","594","158","584","64","372","64","436","","0","372","64","436","14","422","11","23","4","4","93","12","38","11","17","195","10","4","29.10.12"
"740717","207","Чернігівська область","клуб-бібліотека, велика зала
вул.Грушевського, 1, с.Тополівка, Семенівський р-н, Чернігівська обл., 15452","168","49","166","23","96","23","119","","0","96","23","119","2","117","1","4","1","0","12","1","4","7","8","72","4","3","28.10.12"
"740718","207","Чернігівська область","ТОВ ""Вітчизна"", бухгалтерія
вул.Партизанська, 9, с.Лосівка, Семенівський р-н, Чернігівська обл., 15452","144","28","141","9","107","9","116","","0","107","9","116","4","112","9","5","3","2","18","7","10","3","8","43","2","2","28.10.12"
"740719","207","Чернігівська область","школа, коридор
вул.Миру, 3, с.Радомка, Семенівський р-н, Чернігівська обл., 15470","432","135","425","47","253","44","297","","0","253","44","297","7","290","12","12","3","1","59","11","23","11","18","107","11","22","29.10.12"
"740720","207","Чернігівська область","сільський клуб, фойє
вул.Центральна, 5, с.Стара Гутка, Семенівський р-н, Чернігівська обл., 15471","150","37","146","36","78","35","113","","0","78","35","113","1","112","7","8","0","0","11","1","2","0","9","72","0","2","28.10.12"
"740721","207","Чернігівська область","будинок культури, фойє
вул.Шевченка, 53, с.Тимоновичі, Семенівський р-н, Чернігівська обл., 15410","342","136","335","22","186","20","206","","0","186","20","206","8","198","4","18","0","1","31","1","11","7","15","99","10","1","29.10.12"
"740722","207","Чернігівська область","адмінприміщення (колишня школа), фойє
вул.Лесі Українки, 2А, с.Медведівка, Семенівський р-н, Чернігівська обл., 15411","282","139","270","42","106","37","143","","0","106","37","143","3","140","3","7","2","0","30","0","8","0","4","77","8","1","28.10.12"
"740723","207","Чернігівська область","школа, фойє
вул.Озерна, 32, с.Хотіївка, Семенівський р-н, Чернігівська обл., 15421","258","90","254","17","152","16","168","","0","152","16","168","9","159","2","11","4","2","48","2","7","0","3","75","5","0","28.10.12"
"740724","207","Чернігівська область","сільський клуб, фойє
вул.Центральна, 26, с.Прогрес, Семенівський р-н, Чернігівська обл., 15421","156","56","154","30","74","26","100","","0","74","26","100","3","97","2","10","2","0","5","0","6","8","4","58","1","1","28.10.12"
"740725","207","Чернігівська область","сільський клуб, велика зала
вул.Шевченка, 18, с.Чорний Ріг, Семенівський р-н, Чернігівська обл., 15472","300","97","295","19","184","19","203","","0","184","19","203","6","197","10","12","1","0","13","0","11","6","11","129","3","1","28.10.12"
"740726","207","Чернігівська область","центральна районна лікарня, актова зала
вул.Лікарняний Хуторок, 2, м.Семенівка, Семенівський р-н, Чернігівська обл., 15400","138","109","29","7","22","7","29","","0","22","7","29","0","29","0","4","1","0","9","0","2","1","1","11","0","0","29.10.12"
"740727","207","Чернігівська область","районний будинок культури, фойє
вул.Освіти, 21А, смт Сосниця, Сосницький р-н, Чернігівська обл., 16100","2034","802","1983","47","1194","38","1232","","0","1194","38","1232","38","1194","297","161","6","13","73","9","128","17","41","382","50","17","29.10.12"
"740728","207","Чернігівська область","кінотеатр імені О.П.Довженка, фойє
вул.Лесі Українки, 34, смт Сосниця, Сосницький р-н, Чернігівська обл., 16100","2010","844","1974","41","1128","38","1166","","0","1128","38","1166","31","1135","297","141","12","23","64","10","132","24","53","322","47","10","29.10.12"
"740729","207","Чернігівська область","будинок культури, фойє
вул.Довженка, 71А, смт Сосниця, Сосницький р-н, Чернігівська обл., 16100","1800","727","1758","60","1021","52","1073","","0","1020","52","1072","33","1038","276","132","13","13","68","9","106","25","64","292","28","12","29.10.12"
"740730","207","Чернігівська область","клуб, фойє
вул.Леніна, 63А, с.Мале Устя, Сосницький р-н, Чернігівська обл., 16100","174","46","169","10","118","10","128","","0","118","10","128","4","124","29","2","2","4","6","2","7","5","24","33","8","2","29.10.12"
"740731","207","Чернігівська область","школа, спортивна зала
вул.Сіверська, 30, с.Авдіївка, Сосницький р-н, Чернігівська обл., 16110","1104","389","1085","59","665","50","715","","0","665","50","715","25","690","154","99","5","8","107","4","43","20","38","181","22","9","29.10.12"
"740732","207","Чернігівська область","клуб, актова зала
вул.Лузіцька, 2, с.Авдіївка, Сосницький р-н, Чернігівська обл., 16110","228","62","219","9","157","9","166","","0","157","9","166","4","162","32","5","1","1","39","1","6","14","15","45","2","1","28.10.12"
"740733","207","Чернігівська область","будинок культури, актова зала
вул.1 Травня, 40, с.Бутівка, Сосницький р-н, Чернігівська обл., 16152","438","78","430","71","291","69","360","","0","291","69","360","9","351","45","9","4","1","106","1","42","6","14","114","5","4","29.10.12"
"740734","207","Чернігівська область","будинок культури, фойє
вул.Гагаріна, 29, с.Бондарівка, Сосницький р-н, Чернігівська обл., 16153","138","28","135","12","99","11","110","","0","99","11","110","5","105","11","5","2","0","13","0","3","2","11","51","6","1","29.10.12"
"740735","207","Чернігівська область","будинок культури, фойє
вул.Деснянська, 17, с.Велике Устя, Сосницький р-н, Чернігівська обл., 16154","318","89","313","42","191","38","229","","0","191","38","229","4","225","23","12","1","2","33","2","20","3","4","117","2","6","28.10.12"
"740736","207","Чернігівська область","клуб, фойє
вул.Першотравнева, 1, с.Долинське, Сосницький р-н, Чернігівська обл., 16154","150","29","151","7","115","6","121","","0","115","6","121","1","120","14","7","1","1","7","1","5","1","2","77","4","0","28.10.12"
"740737","207","Чернігівська область","клуб, актова зала
вул.О.Розумієнка, 22, с.Волинка, Сосницький р-н, Чернігівська обл., 16131","540","135","528","70","335","70","405","","0","335","70","405","12","393","138","57","0","4","32","2","30","7","6","108","7","2","29.10.12"
"740738","207","Чернігівська область","сільська рада, актова зала
вул.Грушевського, 16А, с.Вільшане, Сосницький р-н, Чернігівська обл., 16130","516","185","507","27","305","26","331","","0","305","26","331","8","323","63","33","4","1","42","3","35","3","10","127","2","0","29.10.12"
"740739","207","Чернігівська область","клуб, фойє
вул.Шевченка, 34, с.Загребелля, Сосницький р-н, Чернігівська обл., 16105","654","179","644","35","443","32","475","","0","443","32","475","13","462","111","77","1","1","17","3","49","3","17","168","12","3","29.10.12"
"740740","207","Чернігівська область","школа, спортивна зала
вул.Лугова, 6, с.Масалаївка, Сосницький р-н, Чернігівська обл., 16105","102","15","106","10","80","7","87","","0","80","7","87","6","81","9","24","1","0","10","0","3","1","13","14","6","0","29.10.12"
"740741","207","Чернігівська область","будинок культури, фойє
вул.Придеснянська, 72, с.Змітнів, Сосницький р-н, Чернігівська обл., 16141","390","87","384","46","258","45","303","","0","258","45","303","9","294","67","15","2","4","18","1","10","7","26","132","11","1","28.10.12"
"740742","207","Чернігівська область","клуб, фойє
вул.Леніна, 12, с.Купчичі, Сосницький р-н, Чернігівська обл., 16141","150","29","144","23","102","19","121","","0","102","19","121","3","118","12","16","2","0","5","1","4","2","12","52","12","0","28.10.12"
"740743","207","Чернігівська область","будинок культури, фойє
вул.Квіткова, 15, с.Киріївка, Сосницький р-н, Чернігівська обл., 16133","372","94","365","42","237","41","278","","0","237","41","278","5","273","49","9","0","0","29","0","25","9","20","116","14","2","29.10.12"
"740744","207","Чернігівська область","сільська рада, актова зала
вул.Смирнова, 42, с.Козляничі, Сосницький р-н, Чернігівська обл., 16120","234","52","226","28","156","26","182","","0","156","26","182","6","176","34","20","4","0","15","1","14","6","4","70","8","0","28.10.12"
"740745","207","Чернігівська область","школа, коридор
вул.Довженка, 6, с.Рудня, Сосницький р-н, Чернігівська обл., 16120","174","47","168","18","112","15","127","","0","112","15","127","7","120","9","20","2","0","20","1","7","2","9","42","8","0","28.10.12"
"740746","207","Чернігівська область","сільська рада, актова зала
вул.Ювілейна, 24А, с.Конятин, Сосницький р-н, Чернігівська обл., 16140","516","131","501","56","337","48","385","","0","337","48","385","17","368","65","18","9","18","39","1","33","4","13","152","13","3","29.10.12"
"740747","207","Чернігівська область","школа, спортивна зала
вул.Жолдака, 11А, с.Кудрівка, Сосницький р-н, Чернігівська обл., 16122","666","164","647","93","415","87","502","","0","415","87","502","16","486","104","40","7","1","70","2","79","1","10","150","15","7","29.10.12"
"740748","207","Чернігівська область","сільська рада, актова зала
вул.Миру, 111Б, с.Лави, Сосницький р-н, Чернігівська обл., 16132","372","83","365","62","230","59","289","","0","230","59","289","10","279","45","56","3","1","18","5","27","1","11","102","8","2","29.10.12"
"740749","207","Чернігівська область","клуб, фойє
вул.Савченка, 72Б, с.Матвіївка, Сосницький р-н, Чернігівська обл., 16123","144","34","146","18","93","17","110","","0","93","17","110","3","107","12","10","1","1","3","3","6","4","2","63","2","0","29.10.12"
"740750","207","Чернігівська область","школа, спортивна зала
вул.Лісова, 90, с.Полісся, Сосницький р-н, Чернігівська обл., 16123","234","59","226","24","153","22","175","","0","153","22","175","3","172","28","11","2","3","10","2","29","3","12","63","8","1","29.10.12"
"740751","207","Чернігівська область","школа, спортивна зала
вул.Довженка, 37А, с.Пекарів, Сосницький р-н, Чернігівська обл., 16150","318","88","311","33","197","33","230","","0","197","33","230","6","224","69","31","0","2","8","0","3","2","9","93","6","1","29.10.12"
"740752","207","Чернігівська область","клуб, актова зала
вул.Гагаріна, 7, с.Кнути, Сосницький р-н, Чернігівська обл., 16150","204","33","203","32","140","31","171","","0","140","31","171","2","169","28","2","0","1","4","0","5","1","5","116","7","0","29.10.12"
"740753","207","Чернігівська область","сільська рада, актова зала
вул.Придеснянська, 62, с.Спаське, Сосницький р-н, Чернігівська обл., 16142","396","132","391","25","241","23","264","","0","241","23","264","10","254","71","18","3","2","21","1","14","8","5","102","8","1","29.10.12"
"740754","207","Чернігівська область","фельдшерський пункт, коридор
вул.Садова, 15А, с.Якличі, Сосницький р-н, Чернігівська обл., 16142","150","34","144","27","93","23","116","","0","93","23","116","1","115","11","6","3","0","10","3","4","1","10","64","3","0","28.10.12"
"740755","207","Чернігівська область","сільська рада, актова зала
вул.Центральна, 20, с.Хлоп’яники, Сосницький р-н, Чернігівська обл., 16112","438","111","429","52","277","50","327","","0","277","50","327","6","321","48","18","3","5","40","1","19","5","22","159","1","0","28.10.12"
"740756","207","Чернігівська область","фельдшерський пункт, коридор
вул.Щорса, 4, с.Соснівка, Сосницький р-н, Чернігівська обл., 16112","78","17","77","4","57","4","61","","0","57","4","61","3","58","14","1","0","0","1","0","3","1","5","31","2","0","28.10.12"
"740757","207","Чернігівська область","сільська рада, актова зала
вул.Бурівка, 19, с.Чорнотичі, Сосницький р-н, Чернігівська обл., 16121","744","219","739","64","466","59","525","","0","466","59","525","13","512","183","35","3","7","51","5","60","11","21","122","13","1","29.10.12"
"740758","207","Чернігівська область","школа, спортивна зала
вул.Довженка, 66, с.Шаболтасівка, Сосницький р-н, Чернігівська обл., 16111","660","165","649","51","457","38","495","","0","457","38","495","20","475","89","95","5","7","36","5","20","6","15","166","28","3","29.10.12"
"740759","207","Чернігівська область","центральна районна лікарня, к.1, 1-й поверх
вул.Довженка, 9, смт Сосниця, Сосницький р-н, Чернігівська обл., 16100","162","124","41","18","23","15","38","","0","23","15","38","0","38","6","3","1","1","3","0","3","2","1","12","3","3","29.10.12"
"740891","207","Чернігівська область","гімназія, фойє
вул.Піонерська, 6, м.Щорс, Щорський р-н, Чернігівська обл., 15200","1596","766","1577","22","812","18","830","","0","812","18","830","27","803","147","133","5","4","87","9","75","11","19","213","98","2","29.10.12"
"740892","207","Чернігівська область","Щорське ВПТУЛГ, навчальний корпус, фойє
вул.Бульварна, 5, м.Щорс, Щорський р-н, Чернігівська обл., 15200","1572","767","1536","16","789","16","805","","0","789","16","805","17","788","109","114","6","4","116","5","75","9","15","247","81","7","29.10.12"
"740893","207","Чернігівська область","районний будинок культури, паркетна зала
вул.Леніна, 2, м.Щорс, Щорський р-н, Чернігівська обл., 15200","1920","909","1887","30","984","27","1011","","0","984","27","1011","39","972","125","173","10","3","142","6","82","13","29","256","131","2","29.10.12"
"740894","207","Чернігівська область","школа №1, фойє, 1-й поверх
вул.55-ї Стрілецької дивізії, 35, м.Щорс, Щорський р-н, Чернігівська обл., 15200","2268","1114","2228","39","1120","34","1154","","0","1120","34","1154","35","1119","176","170","10","4","130","15","103","11","31","320","136","13","29.10.12"
"740895","207","Чернігівська область","автошкола ТСОУ, фойє, 2-й поверх
вул.Леніна, 101, м.Щорс, Щорський р-н, Чернігівська обл., 15200","2424","1158","2379","29","1244","22","1266","","0","1244","22","1266","45","1221","179","204","8","9","140","16","105","8","36","313","199","4","29.10.12"
"740896","207","Чернігівська область","сільська рада, зала засідань
вул.Щорса, 15, с.Великий Щимель, Щорський р-н, Чернігівська обл., 15207","678","314","672","23","347","17","364","","0","347","17","364","8","356","32","36","3","4","41","2","22","3","11","177","22","3","29.10.12"
"740897","207","Чернігівська область","сільський клуб, танцювальна зала
вул.Маханова, 7, с.Гірськ, Щорський р-н, Чернігівська обл., 15211","450","149","433","45","259","42","301","","0","259","42","301","3","298","17","18","2","1","30","0","37","3","5","141","43","1","29.10.12"
"740898","207","Чернігівська область","сільський клуб, актова зала
вул.Садова, 19, с.Гута-Студенецька, Щорський р-н, Чернігівська обл., 15230","168","43","157","23","103","22","125","","0","103","22","125","4","121","0","21","1","0","15","1","4","0","10","58","11","0","28.10.12"
"740899","207","Чернігівська область","сільський клуб, актова зала
вул.ім.О.Ф.Федорова, 77, с.Єліне, Щорський р-н, Чернігівська обл., 15212","246","55","244","41","157","34","191","","0","157","34","191","4","187","6","20","1","3","33","3","8","3","4","94","11","1","28.10.12"
"740900","207","Чернігівська область","сільська рада, зала засідань
вул.Самодіда, 45, с.Жовідь, Щорський р-н, Чернігівська обл., 15213","264","64","258","30","170","30","200","","0","170","30","200","10","190","19","14","1","1","15","1","27","3","8","84","17","0","28.10.12"
"740901","207","Чернігівська область","сільський клуб, актова зала
вул.Щорса, 95, с.Займище, Щорський р-н, Чернігівська обл., 15209","360","126","359","17","219","15","234","","0","219","15","234","11","223","15","25","3","2","39","2","19","8","2","82","22","4","29.10.12"
"740902","207","Чернігівська область","сільська рада, зала засідань
вул.Щорса, 1, с.Заріччя, Щорський р-н, Чернігівська обл., 15224","186","57","177","8","122","7","129","","0","122","7","129","4","125","8","7","0","2","31","1","5","2","13","51","5","0","28.10.12"
"740903","207","Чернігівська область","сільський клуб, актова зала
вул.Партизанська, 34, с.Клюси, Щорський р-н, Чернігівська обл., 15210","156","45","149","15","98","13","111","","0","98","13","111","2","109","2","2","1","0","10","0","10","0","4","71","9","0","28.10.12"
"740904","207","Чернігівська область","сільська рада, зала засідань
вул.Чапаєва, 1, с.Кучинівка, Щорський р-н, Чернігівська обл., 15252","984","356","976","87","550","78","628","","0","550","78","628","18","610","44","70","8","6","85","4","93","10","18","221","47","4","28.10.12"
"740905","207","Чернігівська область","будинок культури, фойє
вул.30 років Перемоги, 5, с.Нові Боровичі, Щорський р-н, Чернігівська обл., 15214","678","277","662","69","340","61","401","","0","340","61","401","14","387","18","34","2","2","85","1","31","4","7","161","42","0","03.11.12"
"740906","207","Чернігівська область","сільська рада, зала засідань
вул.Попудренка, 35, с.Нові Млини, Щорський р-н, Чернігівська обл., 15241","186","59","181","9","119","8","127","","0","119","8","127","2","125","16","24","0","0","24","0","11","0","4","34","12","0","28.10.12"
"740907","207","Чернігівська область","сільський клуб, актова зала
вул.Щорса, 35, с.Лосєва Слобода, Щорський р-н, Чернігівська обл., 15241","138","45","129","13","82","11","93","","0","82","11","93","0","93","3","5","0","0","25","1","6","4","6","32","11","0","29.10.12"
"740908","207","Чернігівська область","сільська рада, зала засідань
вул.Перемоги, 56, с.Низківка, Щорський р-н, Чернігівська обл., 15260","408","152","393","30","230","26","256","","0","230","26","256","2","253","23","30","1","0","29","3","7","4","11","127","16","2","29.10.12"
"740909","207","Чернігівська область","будинок культури, мала зала
вул.Дружби, 2, с.Петрівка, Щорський р-н, Чернігівська обл., 15222","822","330","801","98","400","92","492","","0","400","92","492","31","461","40","50","4","4","76","4","37","6","18","185","34","3","28.10.12"
"740910","207","Чернігівська область","будинок культури, обрядова кімната
вул.Шевченка, 1Є, с.Рогізки, Щорський р-н, Чернігівська обл., 15253","618","243","609","39","341","34","375","","0","341","34","375","12","363","15","37","7","1","47","2","16","8","13","183","34","0","29.10.12"
"740911","207","Чернігівська область","сільський клуб, актова зала
вул.Молодіжна, 16, с.Смяч, Щорський р-н, Чернігівська обл., 15240","540","200","536","27","315","25","340","","0","315","25","340","15","325","26","43","5","0","54","2","23","3","7","139","21","2","28.10.12"
"740912","207","Чернігівська область","сільська рада, зала засідань
вул.30 років Перемоги, 6, с.Сновське, Щорський р-н, Чернігівська обл., 15204","624","209","612","45","370","45","415","","0","370","45","415","16","399","30","58","5","0","47","1","24","2","6","196","29","1","02.11.12"
"740913","207","Чернігівська область","сільський клуб, актова зала
вул.Зелена, 28, с.Іванівка, Щорський р-н, Чернігівська обл., 15232","198","56","191","21","121","21","142","","0","121","21","142","2","140","9","7","3","2","27","2","5","0","3","55","27","0","28.10.12"
"740914","207","Чернігівська область","сільська рада, фойє
вул.Центральна, 5, с.Старі Боровичі, Щорський р-н, Чернігівська обл., 15221","276","94","243","33","155","27","182","","0","155","27","182","4","178","9","3","17","1","30","1","1","3","6","50","55","2","28.10.12"
"740915","207","Чернігівська область","Щорський міжшкільний навчально-виробничий комбінат, к.2
вул.Неретіна, 72, с.Гвоздиківка, Щорський р-н, Чернігівська обл., 15208","318","93","315","44","184","41","225","","0","184","41","225","1","224","20","54","0","1","16","0","22","2","1","67","40","1","28.10.12"
"740916","207","Чернігівська область","сільська рада, зала засідань
пров.Щорса, 13, с.Стара Рудня, Щорський р-н, Чернігівська обл., 15223","534","192","525","61","283","59","342","","0","283","59","342","7","335","35","42","1","2","63","5","17","2","9","152","6","1","28.10.12"
"740917","207","Чернігівська область","сільська рада, зала засідань
вул.Коновалова, 2В, с.Суничне, Щорський р-н, Чернігівська обл., 15251","348","135","348","27","189","24","213","","0","189","24","213","9","204","15","29","1","1","31","1","10","6","9","89","10","2","28.10.12"
"740918","207","Чернігівська область","будинок культури, актова зала
вул.Ново-Слобідська, 1, с.Тихоновичі, Щорський р-н, Чернігівська обл., 15230","528","183","520","64","291","54","345","","0","291","54","345","10","335","13","5","2","1","23","1","36","7","12","216","19","0","28.10.12"
"740919","207","Чернігівська область","сільська рада, зала засідань
вул.М’язя, 8, с.Тур’я, Щорський р-н, Чернігівська обл., 15231","756","246","744","93","426","84","510","","0","426","84","510","16","494","37","46","3","5","61","6","35","7","16","240","36","2","29.10.12"
"740920","207","Чернігівська область","сільська рада, зала засідань
вул.Шевченка, 143, с.Хотуничі, Щорський р-н, Чернігівська обл., 15220","456","196","443","56","212","48","260","","0","212","48","260","12","248","5","30","3","2","22","5","16","7","14","102","40","2","28.10.12"
"740921","207","Чернігівська область","сільський клуб, актова зала
вул.Шевченка, 48, с.Чепелів, Щорський р-н, Чернігівська обл., 15233","162","46","162","11","107","9","116","","0","107","9","116","1","115","2","15","0","0","16","0","6","0","3","69","4","0","28.10.12"
"740922","207","Чернігівська область","Щорська центральна районна лікарня, поліклініка, актова зала
вул.Спортивна, 21, м.Щорс, Щорський р-н, Чернігівська обл., 15200","204","129","138","21","55","20","75","","0","55","20","75","0","75","7","8","2","0","13","0","8","1","6","20","10","0","29.10.12"
