"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Атрошенко
Владислав
Анатолійович","Атрощенко
Андрій
Петрович","Ерістова
Ірина
Леонідівна","Кириченко
Олександр
Володимирович","Купрієнко
Олег
Васильович","Михеєвський
Сергій
Андрійович","Поліщук
Володимир
Андрійович","Попова
Олена
Михайлівна","Прокопенко
Станіслав
Миколайович","Прохорський
Олександр
Леонідович","Рябченко
Валерій
Миколайович","Свириденко
Віталій
Анатолійович","Сураєва
Валентина
Миколаївна","Шевцов
Олег
Олександрович","Ясочко
Раїса
Костянтинівна","Дата підписання протоколу"
"740858","206","Чернігівська область","сільський клуб, актова зала
вул.Чернігівська, 54, с.Петрушин, Чернігівський р-н, Чернігівська обл., 15521","460","174","456","50","247","39","286","","0","247","39","286","8","278","133","8","3","2","8","1","43","14","50","1","1","0","2","0","12","29.10.12"
"740859","206","Чернігівська область","сільська рада, зала засідань
вул.Центральна, 37, с.Пльохів, Чернігівський р-н, Чернігівська обл., 15516","376","117","373","67","202","57","259","","0","202","57","259","8","251","104","6","2","0","1","1","57","6","61","1","2","0","1","1","8","29.10.12"
"740860","206","Чернігівська область","школа, актова зала
вул.Волгоградська, 16Б, с.Радянська Слобода, Чернігівський р-н, Чернігівська обл., 15505","928","411","919","10","507","10","517","","0","507","10","517","16","500","191","14","3","2","19","1","117","39","72","1","7","1","1","4","28","29.10.12"
"740861","206","Чернігівська область","будинок культури, актова зала
вул.30 років Перемоги, 2Д, с.Павлівка, Чернігівський р-н, Чернігівська обл., 15503","828","292","820","11","528","8","536","","0","528","8","536","10","526","222","23","1","2","26","0","111","49","58","4","6","3","1","2","18","29.10.12"
"740862","206","Чернігівська область","навчально-виховний комплекс, спортивна зала
вул.Процька, 8, с.Редьківка, Чернігівський р-н, Чернігівська обл., 15518","308","58","311","25","228","22","250","","0","228","22","250","5","245","66","3","2","2","5","0","28","18","103","1","2","1","1","0","13","29.10.12"
"740863","206","Чернігівська область","сільська рада, зала засідань
вул.Перемоги, 7, с.Рудка, Чернігівський р-н, Чернігівська обл., 15514","556","140","556","47","371","45","416","","0","371","45","416","11","405","126","12","3","6","4","0","81","29","122","0","5","1","0","0","16","29.10.12"
"740864","206","Чернігівська область","сільський клуб, актова зала
вул.Весняна, 4, с.Селянська Слобода, Чернігівський р-н, Чернігівська обл., 15517","148","38","145","12","100","10","110","","0","100","10","110","4","106","40","5","0","0","2","0","16","5","32","0","0","1","2","1","2","28.10.12"
"740865","206","Чернігівська область","школа, спортивна зала
вул.Молодіжна, 2, с.Роїще, Чернігівський р-н, Чернігівська обл., 15520","904","289","898","99","523","92","615","","0","523","92","615","26","589","197","8","4","1","18","1","158","14","159","0","0","1","1","2","25","29.10.12"
"740866","206","Чернігівська область","селищна рада, актова зала
вул.Я.Лизогуба, 21, смт Седнів, Чернігівський р-н, Чернігівська обл., 15522","1044","380","1041","70","602","62","664","","0","602","62","664","18","646","178","18","10","3","22","2","116","26","238","3","2","1","3","2","22","29.10.12"
"740867","206","Чернігівська область","дитячий садок, к.3
вул.Центральна, 3, с-ще Нове, Чернігівський р-н, Чернігівська обл., 15527","412","159","410","23","232","21","253","","0","232","21","253","8","245","140","8","0","4","2","1","27","2","50","2","0","0","2","1","6","30.10.12"
"740868","206","Чернігівська область","школа, фізичний кабінет
вул.Жовтнева, 94, с.Серединка, Чернігівський р-н, Чернігівська обл., 15574","252","86","250","38","130","36","166","","0","130","36","166","11","155","57","5","1","5","8","1","20","3","48","0","0","1","1","1","4","29.10.12"
"740869","206","Чернігівська область","сільська бібліотека, к.2
вул.Шосейна, 7А, с.Топчіївка, Чернігівський р-н, Чернігівська обл., 15574","224","66","220","36","130","28","158","","0","130","28","158","2","156","80","3","0","0","10","0","11","6","44","0","0","1","0","1","0","28.10.12"
"740870","206","Чернігівська область","будинок культури, актова зала
вул.Молодіжна, 10, с.Слабин, Чернігівський р-н, Чернігівська обл., 15555","512","186","502","47","282","44","326","","0","282","44","326","10","316","147","14","0","0","4","0","37","18","74","1","0","1","1","3","16","29.10.12"
"740871","206","Чернігівська область","сільська рада, зала засідань
вул.Дружби, 76, с.Слобода, Чернігівський р-н, Чернігівська обл., 15564","484","139","483","59","290","55","345","","0","290","55","345","10","335","164","15","1","0","5","1","42","8","85","2","1","0","2","0","9","30.10.12"
"740872","206","Чернігівська область","будинок культури, спортивна зала
вул.Нова, 17, с.Смолин, Чернігівський р-н, Чернігівська обл., 15557","540","188","531","38","314","38","352","","0","314","38","352","15","337","176","11","4","1","7","0","51","12","49","3","1","2","0","0","20","03.11.12"
"740873","206","Чернігівська область","клуб-бібліотека, к.3
вул.Лугова, 1К, с.Козероги, Чернігівський р-н, Чернігівська обл., 15556","124","49","125","11","69","6","75","","0","69","6","75","3","72","26","4","1","2","0","0","11","1","18","0","0","1","1","0","7","29.10.12"
"740874","206","Чернігівська область","школа, актова зала
вул.Київська, 2, с.Старий Білоус, Чернігівський р-н, Чернігівська обл., 15504","2100","901","2088","66","1143","56","1199","","0","1143","56","1199","35","1164","406","37","21","6","32","0","253","96","221","4","9","0","2","2","75","29.10.12"
"740875","206","Чернігівська область","сільська рада, депутатська кімната
вул.Незалежності, 4, с.Терехівка, Чернігівський р-н, Чернігівська обл., 15525","312","117","308","25","171","24","195","","0","171","24","195","6","189","83","6","0","0","4","0","13","7","70","0","0","0","0","0","6","28.10.12"
"740876","206","Чернігівська область","фельдшерсько-акушерський пункт, к.3
вул.1 Травня, 19, с.Малинівка, Чернігівський р-н, Чернігівська обл., 15525","264","87","261","44","138","39","177","","0","138","39","177","5","172","104","4","1","1","3","0","11","0","39","1","0","0","1","1","6","28.10.12"
"740877","206","Чернігівська область","фельдшерсько-акушерський пункт, к.3
вул.Дружби, 3, с.Товстоліс, Чернігівський р-н, Чернігівська обл., 15525","176","42","174","16","118","16","134","","0","118","16","134","5","129","53","2","1","0","1","0","19","4","41","0","0","1","0","0","7","28.10.12"
"740878","206","Чернігівська область","навчально-виховний комплекс, спортивна зала
вул.Першотравнева, 1А, с.Улянівка, Чернігівський р-н, Чернігівська обл., 15535","472","152","470","18","305","15","320","","0","305","15","320","11","309","137","11","2","2","2","0","71","9","58","2","0","0","0","2","13","29.10.12"
"740879","206","Чернігівська область","школа, к.3
вул.Щорса, 28, с.Новоселівка, Чернігівський р-н, Чернігівська обл., 15502","664","201","662","27","438","25","463","","0","438","25","463","10","453","254","25","4","0","15","0","74","11","59","1","1","0","0","0","9","29.10.12"
"740880","206","Чернігівська область","сільська рада, зала засідань
вул.Шевченка, 55, с.Халявин, Чернігівський р-н, Чернігівська обл., 15524","780","343","760","40","411","26","437","","0","411","26","437","15","422","170","16","1","2","6","0","35","29","147","3","1","1","1","0","10","29.10.12"
"740881","206","Чернігівська область","фельдшерсько-акушерський пункт, к.3
вул.Дружби, 4, с.Полуботки, Чернігівський р-н, Чернігівська обл., 14039","208","82","205","16","111","15","126","","0","111","15","126","3","123","64","4","0","1","4","1","22","8","11","0","1","0","0","0","7","29.10.12"
"740882","206","Чернігівська область","навчально-виховний комплекс, спортивна зала
вул.Шкільна, 1, с.Хмільниця, Чернігівський р-н, Чернігівська обл., 15510","532","159","531","37","342","31","373","","0","342","31","373","6","367","132","11","2","5","14","3","60","12","99","4","1","2","1","1","20","29.10.12"
"740883","206","Чернігівська область","сільський клуб, танцювальна зала
вул.Перемоги, 16, с.Рівнопілля, Чернігівський р-н, Чернігівська обл., 15582","492","179","491","12","302","11","313","","0","302","11","313","7","306","128","12","1","1","13","0","43","15","63","9","1","0","1","1","18","29.10.12"
"740884","206","Чернігівська область","контора сільськогосподарського підприємства, к.3
вул.Радянська, 41А, с.Рябці, Чернігівський р-н, Чернігівська обл., 15510","256","84","254","29","143","29","172","","0","143","29","172","7","165","66","8","1","1","3","0","34","10","32","2","0","0","0","0","8","30.10.12"
"740885","206","Чернігівська область","школа, коридор
вул.Щорса, 41, с.Черниш, Чернігівський р-н, Чернігівська обл., 15522","360","127","357","37","204","29","233","","0","204","29","233","12","221","112","13","1","1","1","2","53","3","29","0","0","0","0","0","6","28.10.12"
"740886","206","Чернігівська область","школа, коридор
вул.Пролетарська, 35, с.Клочків, Чернігівський р-н, Чернігівська обл., 15528","284","95","279","31","161","28","189","","0","161","28","189","5","184","64","8","2","2","5","0","43","6","35","1","3","0","0","1","14","29.10.12"
"740887","206","Чернігівська область","будинок культури, фойє
вул.Перемоги, 40, с.Шестовиця, Чернігівський р-н, Чернігівська обл., 15561","484","143","478","51","292","49","341","","0","292","49","341","13","328","98","10","1","3","4","1","59","16","125","3","0","0","0","1","7","29.10.12"
"740888","206","Чернігівська область","ТОВ ""Чернігівська індустріальна молочна компанія"", фойє
вул.Садова, 6, с.Шибиринівка, Чернігівський р-н, Чернігівська обл., 15515","352","107","345","29","217","28","245","","0","217","28","245","7","238","99","9","0","0","5","0","61","10","42","1","1","1","0","0","9","28.10.12"
"740889","206","Чернігівська область","сільський клуб, фойє
вул.Першотравнева, 7А, с.Антоновичі, Чернігівський р-н, Чернігівська обл., 15515","128","34","123","17","80","14","94","","0","80","14","94","2","92","26","0","0","0","1","0","22","1","35","1","1","0","0","0","5","28.10.12"
"740890","206","Чернігівська область","Чернігівська обласна психоневрологічна лікарня, комплекс 2, актова зала, 4-й поверх
вул.4 км Гомельського шоссе, 6, Чернігівський р-н, Чернігівська обл., 15524","704","506","242","4","194","4","198","","0","194","4","198","28","170","40","14","10","7","8","0","10","13","52","1","2","1","3","2","7","29.10.12"
"741061","206","Чернігівська область","школа №4, 1-й корпус, спортивна зала
вул.Толстого, 17, м.Чернігів, 14008","2064","1007","2042","20","1040","17","1057","","0","1040","17","1057","54","1003","380","25","12","3","33","0","225","115","126","1","4","4","1","4","70","29.10.12"
"741062","206","Чернігівська область","школа №4, 2-й корпус, кабінет трудового навчання
вул.Толстого, 17, м.Чернігів, 14008","1456","639","1442","20","797","20","817","","0","797","20","817","33","784","288","21","6","4","27","1","188","63","114","1","8","3","4","2","54","29.10.12"
"741063","206","Чернігівська область","професійний ліцей побуту, танцювальна зала
вул.Ушинського, 10, м.Чернігів, 14014","1588","801","1584","4","785","2","787","","0","785","2","787","35","752","379","29","10","0","39","0","90","79","79","4","2","3","1","2","35","29.10.12"
"741064","206","Чернігівська область","школа №24, актова зала
вул.Толстого, 148, м.Чернігів, 14014","2148","910","2134","26","1220","18","1238","","0","1219","18","1237","54","1183","449","29","21","4","58","4","239","107","143","2","9","6","6","2","104","29.10.12"
"741065","206","Чернігівська область","професійний ліцей хімічної промисловості, спортивна зала
вул.Щорса, 72, м.Чернігів, 14001","1732","823","1722","1","908","1","909","","0","908","1","909","26","883","398","25","7","6","40","0","142","75","109","3","6","7","2","5","58","29.10.12"
"741066","206","Чернігівська область","школа №34, фойє
вул.Текстильників, 27, м.Чернігів, 14001","2244","992","2211","11","1246","6","1252","","0","1246","6","1252","37","1215","653","29","8","2","47","2","188","109","109","5","6","2","0","4","51","29.10.12"
"741067","206","Чернігівська область","школа №34, фойє
вул.Текстильників, 27, м.Чернігів, 14001","2412","1051","2388","17","1347","14","1361","","0","1347","14","1361","50","1311","682","39","8","4","50","0","209","108","128","3","9","4","4","7","56","29.10.12"
"741068","206","Чернігівська область","школа №14, фойє
вул.Текстильників, 30, м.Чернігів, 14001","2388","985","2377","21","1390","13","1403","","0","1390","13","1403","45","1357","806","25","13","6","48","1","187","82","113","1","10","1","1","2","61","29.10.12"
"741069","206","Чернігівська область","палац культури художньої творчості дітей, юнацтва та молоді, вестибюль
вул.Стахановців, 8, м.Чернігів, 14001","2388","1043","2364","9","1340","5","1345","","0","1340","5","1345","48","1297","818","34","7","6","36","1","138","86","95","2","7","5","2","4","56","29.10.12"
"741070","206","Чернігівська область","професійний ліцей деревообробної промисловості, спортивна зала
вул.Музикальна, 2А, м.Чернігів, 14014","2004","875","1981","17","1117","12","1129","","0","1117","12","1129","50","1079","407","23","14","9","43","3","210","103","128","10","8","5","4","4","108","29.10.12"
"741071","206","Чернігівська область","школа №17, спортивна зала
вул.Малясова, 14, м.Чернігів, 14017","2296","921","2285","31","1353","22","1375","","0","1353","22","1375","47","1328","480","16","23","4","54","1","310","138","173","2","10","7","2","5","103","03.11.12"
"741072","206","Чернігівська область","школа №10, актова зала
вул.Попудренка, 33, м.Чернігів, 14000","1928","794","1903","41","1106","28","1134","","0","1106","28","1134","38","1095","395","16","16","8","27","4","225","111","167","6","8","5","5","5","97","29.10.12"
"741073","206","Чернігівська область","школа №6, їдальня
вул.Щорса, 35, м.Чернігів, 14017","2224","945","2191","30","1253","26","1279","","0","1253","26","1279","43","1236","408","26","15","6","58","2","255","114","198","6","14","2","5","2","125","29.10.12"
"741074","206","Чернігівська область","обласний інститут післядипломної педагогічної освіти, 3-й корпус, к.112
пров.Коцюбинського, 4, м.Чернігів, 14000","2280","874","2265","37","1371","35","1406","","0","1371","35","1406","44","1362","408","15","19","3","68","3","311","137","222","3","9","17","1","4","142","29.10.12"
"741075","206","Чернігівська область","школа №20, їдальня
вул.Коцюбинського, 8, м.Чернігів, 14000","1728","707","1708","25","998","23","1021","","0","998","23","1021","33","988","346","16","12","4","51","2","190","99","150","3","11","7","7","6","84","29.10.12"
"741076","206","Чернігівська область","міський центр зайнятості, каб.1
вул.Попудренка, 14, м.Чернігів, 14017","1940","892","1049","27","1022","26","1048","","0","1020","26","1046","38","1008","381","22","10","4","28","5","236","86","112","4","9","2","3","6","100","29.10.12"
"741077","206","Чернігівська область","професійний ліцей залізничного транспорту, спортивна зала
вул.Комсомольська, 56, м.Чернігів, 14000","2204","925","2158","20","1262","17","1279","","0","1262","17","1279","46","1233","362","13","17","1","43","3","273","162","203","6","6","8","3","5","128","29.10.12"
"741078","206","Чернігівська область","міський палац культури, фойє
вул.Щорса, 23, м.Чернігів, 14017","2152","932","2131","15","1205","15","1220","","0","1205","15","1220","36","1184","357","28","17","6","51","3","257","150","151","7","9","4","8","4","132","29.10.12"
"741079","206","Чернігівська область","міська дезінфекційна станція, актова зала
вул.Старобілоуська, 15, м.Чернігів, 14017","904","49","897","0","855","0","855","","0","855","0","855","10","845","67","13","7","1","9","0","15","23","685","6","0","3","2","1","13","29.10.12"
"741080","206","Чернігівська область","школа №13, коридор, 2-й поверх
вул.Любецька, 40, м.Чернігів, 14021","1948","839","1922","18","1094","15","1109","","0","1094","15","1109","31","1078","343","30","20","4","44","3","213","106","172","5","13","4","6","8","107","29.10.12"
"741081","206","Чернігівська область","школа №13, фойє, 1-й поверх
вул.Любецька, 40, м.Чернігів, 14021","1848","742","1835","15","1092","14","1106","","0","1092","14","1106","33","1073","365","16","15","6","49","2","257","121","127","1","12","4","2","6","90","29.10.12"
"741082","206","Чернігівська область","Чернігівський державний обласний навчально-курсовий комбінат, зала
вул.Богунського, 55, м.Чернігів, 14021","2264","864","2231","15","1386","14","1400","","0","1386","14","1400","38","1362","404","25","14","3","57","2","281","157","192","7","11","7","3","10","189","29.10.12"
"741083","206","Чернігівська область","ліцей №32, фойє
вул.Шевчука, 11, м.Чернігів, 14005","2136","779","2120","10","1350","7","1357","","0","1350","7","1357","46","1311","514","26","27","3","53","1","250","142","140","6","16","9","5","10","109","29.10.12"
"741084","206","Чернігівська область","ліцей №32, фойє
вул.Шевчука, 11, м.Чернігів, 14005","2404","964","2366","18","1426","14","1440","","0","1426","14","1440","41","1398","517","32","23","6","58","1","263","119","185","5","10","5","5","11","158","29.10.12"
"741085","206","Чернігівська область","дошкільний навчальний заклад №66, спортивна зала
вул.Ленінградська, 2А, м.Чернігів, 14021","1544","715","1527","11","819","10","829","","0","819","10","829","36","793","295","20","9","4","28","2","187","87","94","0","4","2","2","5","54","29.10.12"
"741087","206","Чернігівська область","геріатричний пансіонат, галерея
вул.Олександра Беспалова, 12, м.Чернігів, 14010","392","2","404","225","165","225","390","","0","165","225","390","23","367","165","13","3","0","4","1","8","10","124","16","1","0","1","1","20","03.11.12"
"741088","206","Чернігівська область","вокзал станції Чернігів, зала очікування
просп.Перемоги, 1, м.Чернігів, 14017","2384","1013","2360","10","1363","8","1371","","0","1363","8","1371","43","1328","470","40","15","8","62","2","287","142","159","3","6","3","6","6","119","29.10.12"
"741089","206","Чернігівська область","дошкільний навчальний заклад №7, музична зала
вул.Старобілоуська, 18, м.Чернігів, 14017","2328","996","2306","37","1298","34","1332","","0","1298","34","1332","39","1293","442","34","19","5","46","4","244","100","185","6","5","5","7","8","183","29.10.12"
"741090","206","Чернігівська область","дошкільний навчальний заклад №57, музична зала
вул.Харківська, 5, м.Чернігів, 14010","2180","1048","2142","13","1121","11","1132","","0","1121","11","1132","45","1087","451","28","9","4","40","3","225","125","110","2","13","3","5","5","64","29.10.12"
"741091","206","Чернігівська область","клуб ""Ровесник"", спортивна зала
вул.Дніпровська, 35, м.Чернігів, 14010","2248","917","2225","9","1324","7","1331","","0","1324","7","1331","41","1290","513","33","18","3","61","4","288","128","131","0","11","2","3","4","91","29.10.12"
"741092","206","Чернігівська область","школа №21, фойє
вул.Гагаріна, 27, м.Чернігів, 14010","2412","1086","2361","25","1304","22","1326","","0","1304","22","1326","40","1286","514","40","19","2","48","2","260","138","152","11","7","6","3","7","77","29.10.12"
"741093","206","Чернігівська область","школа №18, спортивна зала
вул.Гагаріна, 24, м.Чернігів, 14010","2184","944","2175","14","1230","10","1240","","0","1230","10","1240","42","1198","493","28","11","9","37","2","248","126","134","1","6","4","7","4","88","29.10.12"
"741094","206","Чернігівська область","дошкільний навчальний заклад санаторного типу №58 ""Лісова казка"", музична зала
вул.Орловська, 6, м.Чернігів, 14021","2436","1140","2412","25","1274","22","1296","","0","1274","22","1296","38","1258","377","34","12","3","32","1","336","121","229","3","4","3","4","6","93","29.10.12"
"741095","206","Чернігівська область","гуртожиток ДП ""Чернігівнафтогазгеологія"", вестибюль
вул.Нафтовиків, 3, м.Чернігів, 14026","2164","944","2152","9","1214","6","1220","","0","1214","6","1220","34","1186","435","37","14","4","43","2","296","116","142","5","4","7","2","4","75","29.10.12"
"741100","206","Чернігівська область","школа №35, коридор, 2-й поверх
вул.Незалежності, 42А, м.Чернігів, 14026","2376","1114","2350","8","1256","6","1262","","0","1256","6","1262","43","1219","398","22","21","8","36","3","329","128","179","8","8","1","3","9","66","29.10.12"
"741101","206","Чернігівська область","школа №35, фойє, 1-й поверх
вул.Незалежності, 42А, м.Чернігів, 14026","2248","945","2236","7","1299","4","1303","","0","1299","4","1303","40","1263","445","20","26","7","36","4","241","150","219","7","10","7","3","9","79","29.10.12"
"741102","206","Чернігівська область","школа №35, фойє, 1-й поверх
вул.Незалежності, 42А, м.Чернігів, 14026","2368","1057","2346","8","1304","7","1311","","0","1304","7","1311","47","1264","458","16","16","6","55","0","315","135","161","11","5","4","5","6","71","29.10.12"
"741103","206","Чернігівська область","ДП ""Чернігівський експертно-технічний центр Держгірпромнагляду України"", каб.25
вул.Красносільського, 89, м.Чернігів, 14026","396","186","406","7","205","5","210","","0","205","5","210","6","204","79","2","3","0","10","1","36","26","34","0","2","0","0","0","11","29.10.12"
"741104","206","Чернігівська область","дошкільний навчальний заклад №75, спортивна зала
вул.Незалежності, 20, м.Чернігів, 14026","2260","972","2242","10","1279","9","1288","","0","1279","9","1288","44","1244","459","19","10","3","48","5","326","132","140","0","4","5","4","7","82","29.10.12"
"741105","206","Чернігівська область","обласна дитяча лікарня, учбова кімната
вул.Пирогова, 16, м.Чернігів, 14005","32","11","21","0","21","0","21","","0","21","0","21","0","21","6","1","0","0","2","0","6","2","4","0","0","0","0","0","0","29.10.12"
"741106","206","Чернігівська область","обласний кардіологічний диспансер, актова зала
вул.Войкова, 24, м.Чернігів, 14005","124","47","94","14","71","6","77","","0","71","6","77","5","72","18","7","2","1","6","1","14","8","8","0","1","3","0","1","2","03.11.12"
"741107","206","Чернігівська область","обласна психоневрологічна лікарня, хол
вул.Щорса, 3, м.Чернігів, 14000","40","1","51","0","39","0","39","","0","39","0","39","4","35","15","1","1","0","0","1","5","0","7","1","1","1","1","1","0","29.10.12"
"741108","206","Чернігівська область","виправна колонія №44, спортивна зала
вул.Промислова, 38, м.Чернігів, 14014","664","12","659","5","647","5","652","","0","647","5","652","47","605","29","6","9","11","9","1","19","11","468","8","6","3","7","8","10","29.10.12"
