"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барвіна
Наталія
Олександрівна","Вікторов
Андрій
Сергійович","Горохов
Сергій
Олександрович","Жданова
Валентина
Олександрівна","Кривобоков
Владислав
Анатолійович","Мошенський
Сергій
Захарович","Попов
Володимир
Євгенович","Скіріч
Андрій
Степанович","Тамашев
Геннадій
Анатолійович","Чаленко
Максим
Михайлович","Дата підписання протоколу"
"000001","105","Луганська область","
вул.23 лінія, 4, м.Луганськ, 91055","1764","182","1661","243","1339","243","1582","","0","1339","243","1582","149","1433","83","27","1074","35","37","28","30","25","65","29","29.10.12"
"441331","105","Луганська область","Палац культури ім.В.І.Леніна, фойє, 1-й поверх
пл.Рози Люксембург, 2А, м.Луганськ, 91000","1782","801","1763","36","953","28","981","","0","953","28","981","58","923","25","4","423","24","78","12","18","25","144","170","29.10.12"
"441332","105","Луганська область","школа №10, актова зала
вул.Октябрьская, 103, м.Луганськ, 91000","1488","704","1466","33","756","28","784","","0","756","28","784","34","750","23","2","441","14","53","2","12","14","71","118","29.10.12"
"441333","105","Луганська область","МКП ""Луганськ-житло"", кімната, 1-й поверх
вул.Совєтская, 92А, м.Луганськ, 91000","1494","667","1469","22","810","17","827","","0","810","17","827","60","767","28","4","407","17","71","4","16","12","86","122","29.10.12"
"441334","105","Луганська область","школа №44, актова зала
вул.Дальнєвосточная, 1, м.Луганськ, 91000","2028","991","1992","34","1004","33","1037","","0","1004","33","1037","32","1005","38","8","529","22","89","5","16","17","128","153","28.10.12"
"441335","105","Луганська область","Коледж СНУ ім.В.Даля, корп.14, фойє, 1-й поверх
вул.Фрунзе, 110, м.Луганськ, 91000","1314","614","1280","26","679","21","700","","0","679","21","700","43","657","15","3","399","6","51","3","14","20","59","87","29.10.12"
"441336","105","Луганська область","Центр професійно-технічної освіти, їдальня
вул.Фрунзе, 109, м.Луганськ, 91000","1704","761","1685","55","890","53","943","","0","890","53","943","44","899","26","3","499","18","67","7","20","23","91","145","29.10.12"
"441337","105","Луганська область","МКП ""Луганськ-житло"", червоний куток
вул.Гвардєйская, 4, м.Луганськ, 91000","846","387","834","14","445","14","459","","0","445","14","459","33","426","16","3","229","9","32","0","11","16","42","68","28.10.12"
"441338","105","Луганська область","школа №25, хореографічна зала, 1-й поверх
вул.Щаденко, 1, м.Луганськ, 91000","1800","752","1773","33","1019","29","1048","","0","1019","29","1048","52","996","28","2","529","13","73","7","21","24","122","177","28.10.12"
"441339","105","Луганська область","школа №25, спортзал
вул.Щаденко, 1, м.Луганськ, 91000","1818","755","1789","24","1043","20","1063","","0","1043","20","1063","66","997","32","14","516","17","70","6","38","27","108","169","29.10.12"
"441340","105","Луганська область","Управління механізації, спортзал
вул.Ломоносова, 98, м.Луганськ, 91000","2238","1010","2193","42","1188","40","1228","","0","1188","40","1228","65","1163","41","8","671","21","76","7","24","26","120","169","29.10.12"
"441341","105","Луганська область","Інститут культури і мистецтв, актова зала
вул.Годуванцева, 3, м.Луганськ, 91000","2046","938","2020","29","1085","23","1108","","0","1085","23","1108","71","1037","30","6","561","18","61","6","16","26","105","208","29.10.12"
"441342","105","Луганська область","Художньо-промисловий професійний ліцей, актова зала
вул.Новий городок, 13, м.Луганськ, 91000","2076","960","2024","38","1080","36","1116","","0","1079","36","1115","49","1066","37","15","605","22","74","8","27","27","93","158","29.10.12"
"441343","105","Луганська область","Художньо-промисловий професійний ліцей, спорт зала
вул.Новий городок, 13, м.Луганськ, 91000","1596","697","1587","47","856","43","899","","0","856","43","899","38","861","26","3","500","13","54","1","13","17","98","136","29.10.12"
"441344","105","Луганська область","ХК ""Луганськтепловоз"", гуртожиток №2, червоний куток
вул.Лянгузова, 2, м.Луганськ, 91000","1362","591","1353","28","744","27","771","","0","744","27","771","44","727","13","6","424","17","32","7","14","19","55","140","29.10.12"
"441345","105","Луганська область","школа №12, спортивна зала
вул.Калугіна, 4, м.Луганськ, 91000","1992","913","1967","46","1037","42","1079","","0","1037","42","1079","50","1029","31","3","616","22","45","2","17","21","100","172","29.10.12"
"441346","105","Луганська область","школа №12, хол, 2-й поверх
вул.Калугіна, 4, м.Луганськ, 91000","2082","1037","2061","43","1009","36","1045","","0","1009","36","1045","52","993","29","14","539","21","63","3","26","21","105","172","29.10.12"
"441347","105","Луганська область","школа №44, спортзал
вул.Дальнєвосточная, 1, м.Луганськ, 91000","2088","979","2070","48","1068","41","1109","","0","1068","41","1109","48","1061","31","3","519","22","72","8","25","28","146","207","29.10.12"
"441348","105","Луганська область","корпус №9 СНУ ім.В.Даля, фойє, 1-й поверх
вул.Ватутіна, 1, м.Луганськ, 91000","2418","1165","2387","60","1203","50","1253","","0","1203","50","1253","58","1195","25","11","659","27","97","5","41","17","104","209","29.10.12"
"441349","105","Луганська область","школа №43, спортзал
пл.Маяковского, 1, м.Луганськ, 91000","2472","1144","2431","66","1263","65","1328","","0","1263","65","1328","53","1275","30","6","689","16","93","3","22","20","170","226","29.10.12"
"441350","105","Луганська область","школа №43, їдальня
пл.Маяковского, 1, м.Луганськ, 91000","2436","1196","2399","73","1173","67","1240","","0","1173","67","1240","63","1177","30","11","692","9","104","6","22","28","102","173","29.10.12"
"441351","105","Луганська область","школа №6, актова зала
кв-л Молодьожний, 1Д, м.Луганськ, 91000","2406","1079","2369","63","1274","53","1327","","0","1274","53","1327","69","1258","37","15","700","20","101","7","25","15","113","225","29.10.12"
"441352","105","Луганська область","гуртожиток №2 СНУ ім.В.Даля, актова зала
кв-л Молодьожний, 20А, м.Луганськ, 91000","1530","299","1520","0","1231","0","1231","","0","1231","0","1231","108","1123","80","15","721","29","34","25","35","18","73","93","29.10.12"
"441353","105","Луганська область","гуртожиток №3 СНУ ім.В.Даля, зал ""Юність""
кв-л Молодьожний, 20А, м.Луганськ, 91000","1704","691","1731","29","989","24","1013","","0","989","24","1013","65","948","63","5","573","17","69","14","23","21","59","104","29.10.12"
"441354","105","Луганська область","Коледж ТД ЛНУ ім.Т.Шевченка, їдальня, 1-й поверх
вул.Ватутіна, 87, м.Луганськ, 91000","2142","1001","2106","54","1091","50","1141","","0","1091","50","1141","33","1108","14","3","711","11","78","4","18","20","74","175","29.10.12"
"441355","105","Луганська область","школа №8, спортзал
кв-л Ватутіна, школа №8, м.Луганськ, 91000","1974","954","1954","51","974","46","1020","","0","974","46","1020","63","957","16","5","582","12","59","4","17","16","87","159","29.10.12"
"441356","105","Луганська область","школа №8, актова зала
кв-л Ватутіна, школа №8, м.Луганськ, 91000","1980","832","1962","24","1125","23","1148","","0","1125","23","1148","60","1088","30","4","640","10","101","5","19","12","111","156","29.10.12"
"441357","105","Луганська область","корпус №20 СНУ ім.В.Даля, їдальня
кв-л Молодьожний, 20А, м.Луганськ, 91000","2046","965","2013","85","1004","77","1081","","0","1004","77","1081","45","1036","20","3","676","17","65","5","14","21","88","127","29.10.12"
"441358","105","Луганська область","школа №36, актова зала
кв-л Жукова, 15А, м.Луганськ, 91000","1794","803","1762","37","957","34","991","","0","957","34","991","50","941","30","3","530","16","54","4","16","29","128","131","29.10.12"
"441359","105","Луганська область","школа №36, рекреація, 1-й поверх
кв-л Жукова, 15А, м.Луганськ, 91000","2112","939","2092","41","1135","38","1173","","0","1135","38","1173","54","1119","31","2","607","19","83","5","15","16","112","229","29.10.12"
"441360","105","Луганська область","Центр творчості дітей та юнацтва, каб.33 (велика танцювальна зала)
кв-л Якіра, 6А, м.Луганськ, 91000","1938","871","1916","19","1049","18","1067","","0","1049","18","1067","63","1004","39","5","482","18","98","5","12","24","128","193","29.10.12"
"441361","105","Луганська область","Центр творчості дітей та юнацтва, каб.16 (мала танцювальна зала)
кв-л Якіра, 6А, м.Луганськ, 91000","1638","732","1631","21","886","20","906","","0","886","20","906","56","850","29","6","455","13","77","4","14","15","78","159","29.10.12"
"441362","105","Луганська область","Професійне училище сфери послуг, актова зала
вул.Учєбная, 6, м.Луганськ, 91000","2070","942","2052","33","1098","30","1128","","0","1098","30","1128","51","1077","30","4","580","29","100","6","30","15","88","195","29.10.12"
"441363","105","Луганська область","школа №48, їдальня
кв-л Лєвчєнко, школа №48, м.Луганськ, 91000","2250","932","2225","39","1282","36","1318","","0","1282","36","1318","42","1275","33","9","734","16","100","8","29","19","123","204","29.10.12"
"441364","105","Луганська область","коледж економіки і торгівлі, актова зала
вул.Тухачєвского, 7, м.Луганськ, 91000","1872","799","1847","17","1058","15","1073","","0","1058","15","1073","50","1022","27","2","645","16","77","8","18","19","80","130","29.10.12"
"441365","105","Луганська область","школа №40, рекреація, 1-й поверх
кв-л Солнєчний, школа №40, м.Луганськ, 91000","2310","1115","2279","51","1153","42","1195","","0","1153","42","1195","66","1129","24","2","685","15","89","5","26","21","97","165","29.10.12"
"441366","105","Луганська область","школа №40, їдальня, 2-й поверх
кв-л Солнєчний, школа №40, м.Луганськ, 91000","2070","864","2064","46","1164","42","1206","","0","1164","42","1206","38","1168","29","6","663","16","92","7","31","20","103","201","28.10.12"
"441367","105","Луганська область","корпус №12 СНУ ім. В.Даля, хол
вул.Тухачєвского, 11, м.Луганськ, 91000","2105","908","2066","47","1155","42","1197","","0","1155","42","1197","40","1157","20","3","668","21","114","6","24","16","146","139","29.10.12"
"441368","105","Луганська область","школа №52, хол
вул.Учєбная, 2, м.Луганськ, 91000","1746","781","1706","18","950","15","965","","0","950","15","965","55","910","16","6","485","13","97","5","22","10","121","135","29.10.12"
"441369","105","Луганська область","професійне училище №47, спортзал
вул.Учєбная, 18А, м.Луганськ, 91000","1956","830","1943","37","1096","30","1126","","0","1096","30","1126","52","1074","34","8","591","23","99","11","14","18","107","169","29.10.12"
"441370","105","Луганська область","школа №47, актова зала
кв-л Комарова, школа №47, м.Луганськ, 91000","1794","785","1780","30","983","26","1009","","0","982","26","1008","53","955","22","5","536","19","97","4","18","10","105","139","29.10.12"
"441371","105","Луганська область","школа №47, їдальня
кв-л Комарова, школа №47, м.Луганськ, 91000","1704","817","1678","15","875","12","887","","0","875","12","887","51","836","20","5","484","10","72","7","18","16","70","134","29.10.12"
"441372","105","Луганська область","Коледж ЛНУ ім.Т.Шевченка, їдальня
вул.30-лєтія Побєди, 41, м.Луганськ, 91000","1500","657","1484","18","828","15","843","","0","828","15","843","33","810","17","15","499","12","70","5","10","6","57","119","29.10.12"
"441373","105","Луганська область","Коледж ЛНУ ім.Т.Шевченка, хол, 1-й поверх
вул.30-лєтія Побєди, 41, м.Луганськ, 91000","1302","591","1312","21","696","15","711","","0","696","15","711","39","672","15","3","390","9","72","9","7","11","64","92","28.10.12"
"441374","105","Луганська область","ПП ""Луганьбудсервіс"", червоний куток
кв-л Волкова, 1А, м.Луганськ, 91000","1992","862","1970","23","1107","23","1130","","0","1107","23","1130","60","1070","18","8","512","15","145","8","24","19","154","167","29.10.12"
"441375","105","Луганська область","школа №42, їдальня
кв-л Волкова, школа №42, м.Луганськ, 91000","1518","668","1500","22","832","18","850","","0","832","18","850","42","808","16","2","462","11","82","3","21","9","55","147","29.10.12"
"441376","105","Луганська область","школа-ліцей №24, спортивна зала
кв-л Волкова, школа-ліцей №24, м.Луганськ, 91000","1746","802","1723","31","919","25","944","","0","919","25","944","41","903","24","7","486","9","116","5","18","4","82","152","29.10.12"
"441377","105","Луганська область","школа №42, читальна зала
кв-л Волкова, школа №42, м.Луганськ, 91000","1998","892","1973","26","1084","22","1106","","0","1084","22","1106","51","1055","17","2","626","14","85","7","17","9","99","179","29.10.12"
"441378","105","Луганська область","школа-ліцей №24, їдальня
кв-л Волкова, школа-ліцей №24, м.Луганськ, 91000","1740","774","1714","23","947","19","966","","0","947","19","966","36","930","33","3","499","7","101","2","17","6","106","156","29.10.12"
"441379","105","Луганська область","школа №49, рекреація, 2-й поверх 1-го блоку
кв-л Гагаріна, школа №49, м.Луганськ, 91000","2418","1164","2380","46","1213","41","1254","","0","1213","41","1254","64","1190","30","6","724","18","86","3","28","17","121","157","29.10.12"
"441380","105","Луганська область","школа №49, рекреація, 2-й поверх 1-го блоку, праве крило
кв-л Гагаріна, школа №49, м.Луганськ, 91000","2412","1106","2395","45","1265","41","1306","","0","1265","41","1306","83","1223","29","4","719","18","91","8","25","16","109","204","29.10.12"
"441381","105","Луганська область","школа №49, рекреація, 2-й поверх 3-го блоку
кв-л Гагаріна, школа №49, м.Луганськ, 91000","2424","1263","2394","50","1113","48","1161","","0","1113","48","1161","33","1128","37","1","651","14","93","2","31","17","137","145","29.10.12"
"441382","105","Луганська область","автомобільна школа, актова зала
вул.Клубная, 2, м.Луганськ, 91000","2304","1174","2283","58","1078","52","1130","","0","1078","52","1130","54","1076","18","7","684","17","72","3","11","13","86","165","29.10.12"
"441383","105","Луганська область","професійно-технічне училище-інтернат, актова зала
кв-л Восточний, 3, м.Луганськ, 91000","1800","839","1792","10","954","7","961","","0","954","7","961","59","902","19","8","567","14","58","5","20","6","96","109","29.10.12"
"441384","105","Луганська область","КЗ ЛНВО ""Барвінок"" №9, спортивна зала
кв-л 50-лєт Октября, КЗ ЛНВО ""Барвінок"" №9, м.Луганськ, 91000","2130","988","2093","42","1107","35","1142","","0","1107","35","1142","74","1067","24","4","667","15","82","1","10","14","77","173","28.10.12"
"441385","105","Луганська область","КЗ ЛНВО ""Барвінок"" №9, коридори рекреації, 2-й поверх
кв-л 50-лєт Октября, КЗ ЛНВО ""Барвінок"" №9, м.Луганськ, 91000","1968","893","1946","36","1044","31","1075","","0","1044","31","1075","47","1028","28","6","635","14","78","5","15","13","99","135","29.10.12"
"441386","105","Луганська область","КЗ ЛНВО ""Барвінок"" №9, актова зала
кв-л 50-лєт Октября, КЗ ЛНВО ""Барвінок"" №9, м.Луганськ, 91000","2058","971","2040","42","1049","38","1087","","0","1049","38","1087","52","1035","25","4","624","14","82","1","24","14","98","149","29.10.12"
"441387","105","Луганська область","КЗ ЛНВО ""Барвінок"" №9, рекреація, 1-й поверх
кв-л 50-лєт Октября, КЗ ЛНВО ""Барвінок"" №9, м.Луганськ, 91000","1644","821","1630","28","802","21","823","","0","802","21","823","38","785","17","6","469","6","78","3","16","19","70","101","29.10.12"
"441388","105","Луганська область","школа №18, спортивна зала
кв-л Дзєржинского Ф.Е., 9Д, м.Луганськ, 91000","1500","666","1496","9","825","9","834","","0","825","9","834","37","797","15","2","522","9","43","1","14","11","55","125","28.10.12"
