"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андріянов
Олександр
Олександрович","Гуславський
Володимир
Станіславович","Заіка
Артем
Миколайович","Кириченко
Людмила
Федорівна","Колесніков
Володимир
Анатолійович","Мошенський
Валерій
Захарович","Підгорний
Володимир
Миколайович","Ржавський
Олександр
Миколайович","Сафонова
Дар’я
Євгеніївна","Терніков
Юрій
Миколайович","Федоров
Василь
Васильович","Фролов
Володимир
Миколайович","Чередник
Геннадій
Олександрович","Дата підписання протоколу"
"440376","108","Луганська область","Перевальська обласна психоневрологічна лікарня, диспансерне відділення
вул.Театральна, 10 (ПОПНЛ), м.Зоринськ, Перевальський р-н, Луганська обл., 94323","72","5","81","6","62","5","67","","0","62","5","67","1","66","2","1","2","7","3","11","0","1","2","35","1","0","1","28.10.12"
"440377","108","Луганська область","Перевальська виправна колонія №15, клуб
вул.Тевелєва, 1, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1134","0","1145","0","1134","0","1134","","0","1134","0","1134","53","1081","24","8","20","21","35","11","11","34","11","853","25","10","18","28.10.12"
"440378","108","Луганська область","Чорнухинська виправна колонія №23, клуб установи
пров.Студенчеський, 2(ЧВК), смт Чорнухине, Перевальський р-н, Луганська обл., 94340","1086","43","1068","0","1043","0","1043","","0","1043","0","1043","32","1011","10","6","6","17","14","10","4","10","10","891","8","5","20","29.10.12"
"440379","108","Луганська область","Комісарівська виправна колонія №22, клуб
Комісарівська виправна колонія №22, смт Комісарівка, Перевальський р-н, Луганська обл., 94325","744","48","723","0","696","0","696","","0","696","0","696","5","691","6","17","3","8","8","9","1","8","5","606","4","11","5","29.10.12"
"440380","108","Луганська область","Селезнівська виправна колонія №143, клуб установи
вул.Чкалова, 1, смт Селезнівка, Перевальський р-н, Луганська обл., 94331","234","11","238","0","223","0","223","","0","223","0","223","4","219","1","0","1","0","0","2","0","1","0","212","0","0","2","29.10.12"
"440850","108","Луганська область","школа №7, фойє
вул.Ялтинська, 2, м.Красний Луч, Луганська обл., 94503","2016","1044","1972","43","940","32","972","","0","940","32","972","21","951","61","234","11","45","2","376","1","29","9","173","3","1","6","29.10.12"
"440851","108","Луганська область","адміністративно-побутовий комбінат шахти ім.""Ізвєстій"", конференцзал
вул.Стаханова, 4, м.Красний Луч, Луганська обл., 94503","1770","827","1744","46","897","46","943","","0","0","0","943","24","919","78","70","18","37","10","383","3","42","9","251","5","1","12","01.11.12"
"440852","108","Луганська область","школа №7, гардероб, 1-й поверх
вул.Ялтинська, 2, м.Красний Луч, Луганська обл., 94503","1920","901","1905","57","972","47","1019","","0","972","47","1019","24","995","76","123","23","72","8","358","2","56","10","228","24","1","14","29.10.12"
"440853","108","Луганська область","відокремлене підприємство ""Краснолуцьке вантажно-транспортне управління"", актова зала
вул.Димитрова, 20, м.Красний Луч, Луганська обл., 94517","1038","497","1039","17","525","16","541","","0","525","16","541","17","524","42","42","7","33","9","226","1","23","5","121","8","1","6","29.10.12"
"440854","108","Луганська область","мале приватне підприємство ""Шахтостройсервис"", офіс 103
вул.Ковпака, 88, м.Красний Луч, Луганська обл., 94517","2028","972","1991","28","1035","21","1056","","0","1035","21","1056","16","1040","55","140","20","55","7","519","3","29","5","191","1","2","13","29.10.12"
"440855","108","Луганська область","школа №20, коридор
м-н 2, 7А, м.Красний Луч, Луганська обл., 94517","1488","738","1469","17","740","10","750","","0","740","10","750","25","725","49","37","12","24","13","369","1","9","5","193","6","0","7","29.10.12"
"440856","108","Луганська область","комбінат з озеленення та благоустрою, актова зала
вул.Миру, 31, м.Красний Луч, Луганська обл., 94517","1944","963","1912","33","953","28","981","","0","953","28","981","23","958","51","190","22","27","6","424","4","42","10","164","6","0","12","29.10.12"
"440857","108","Луганська область","Краснолуцька автошкола товариства сприяння оборони України, актова зала
вул.Миру, 29, м.Красний Луч, Луганська обл., 94503","1428","736","1414","30","666","26","692","","0","0","0","692","12","680","39","68","12","35","7","302","3","53","4","135","11","0","11","01.11.12"
"440858","108","Луганська область","школа №29, фойє
вул.В.Пахолі, 1Г, м.Красний Луч, Луганська обл., 94518","2466","1409","2431","31","1031","26","1057","","0","1031","26","1057","14","1043","81","109","20","50","8","488","9","45","4","203","7","4","15","30.10.12"
"440859","108","Луганська область","конференцзал завода""Красний Луч"", фойє
пл.Трофімова, 1, м.Красний Луч, Луганська обл., 94518","2466","1154","2417","28","1286","26","1312","","0","1286","26","1312","33","1279","73","183","25","52","23","610","5","46","7","236","9","0","10","30.10.12"
"440860","108","Луганська область","школа №4, фойє
м-н 3, школа №4, м.Красний Луч, Луганська обл., 94518","2358","1129","2324","29","1207","22","1229","","0","1207","22","1229","16","1213","73","100","19","65","17","578","2","48","12","267","8","4","20","29.10.12"
"440861","108","Луганська область","школа №15, зала їдальні
м-н 3, 47Б, м.Красний Луч, Луганська обл., 94518","1992","946","1938","34","1017","29","1046","","0","1017","29","1046","22","1024","58","136","26","41","12","474","2","51","11","193","4","1","15","29.10.12"
"440862","108","Луганська область","центр зайнятості населення, сектор активної підтримки безробітних
м-н 4, 9А, м.Красний Луч, Луганська обл., 94518","1866","920","1835","17","941","5","946","","0","941","5","946","17","929","40","69","22","49","10","474","8","47","5","191","7","0","7","29.10.12"
"440863","108","Луганська область","Краснолуцький центр професійно-технічної освіти, фойє
вул.Луганське шосе, 31, м.Красний Луч, Луганська обл., 94518","1824","882","1807","13","930","12","942","","0","930","12","942","21","921","57","117","15","45","13","441","5","30","6","174","6","3","9","29.10.12"
"440864","108","Луганська область","гірничо-промисловий коледж, фойє
вул.Луганське шосе, 27, м.Красний Луч, Луганська обл., 94517","2466","1153","2422","60","1255","58","1313","","0","1255","58","1313","23","1290","110","199","22","38","19","585","6","47","3","227","11","2","21","29.10.12"
"440865","108","Луганська область","відокремлений підрозділ"" Навчально-курсовий комбінат"", кабінет 103
вул.Студентська, 4, м.Красний Луч, Луганська обл., 94506","2124","998","2099","36","1094","32","1126","","0","1094","32","1126","31","1095","95","59","17","49","13","557","2","51","9","207","9","3","24","29.10.12"
"440866","108","Луганська область","побутовий комплекс ""Корал"", зала
вул.Хрустальське шосе, 2, м.Красний Луч, Луганська обл., 94513","1104","545","1092","29","532","27","559","","0","532","27","559","11","548","43","70","11","20","6","229","1","15","3","127","5","1","17","29.10.12"
"440867","108","Луганська область","будинок колишнього ремонтно-будівельного управління, актова зала
вул.Іркутська, 1, м.Красний Луч, Луганська обл., 94513","774","362","756","37","377","35","412","","0","377","35","412","8","404","29","17","5","20","4","180","0","29","3","99","1","0","17","29.10.12"
"440868","108","Луганська область","школа №5, фойє
вул.Перекопська, 3, м.Красний Луч, Луганська обл., 94504","1200","554","1184","24","628","18","646","","0","628","18","646","15","631","50","169","5","25","9","196","2","29","3","131","1","0","11","29.10.12"
"440869","108","Луганська область","клуб шахти ""Княгинінська"", актова зала
вул.Краснофлотська, 3А, м.Красний Луч, Луганська обл., 94504","846","377","834","22","454","15","469","","0","454","15","469","12","457","35","26","9","16","12","169","1","34","2","120","2","0","31","29.10.12"
"440870","108","Луганська область","акціонерне товариство ""Краснолучвуглебуд"", фойє
вул.Лутугіна, 22, м.Красний Луч, Луганська обл., 94504","1344","610","1314","16","721","13","734","","0","721","13","734","16","718","29","89","8","30","9","278","1","88","2","140","4","1","39","30.10.12"
"440871","108","Луганська область","кафе, банкетна зала
вул.Шахтарська, 27, м.Красний Луч, Луганська обл., 94508","1938","901","1911","40","998","39","1037","","0","998","39","1037","27","1010","88","262","14","20","6","434","2","22","4","133","5","3","17","29.10.12"
"440872","108","Луганська область","комплекс спортивних споруд, фойє
вул.Спортивна, 1, м.Красний Луч, Луганська обл., 94501","1764","835","1710","42","892","37","929","","0","891","37","928","19","909","49","293","21","38","6","330","2","35","3","113","4","1","14","29.10.12"
"440873","108","Луганська область","школа №11, спортзал
вул.8 Марта, 7, м.Красний Луч, Луганська обл., 94501","1794","959","1628","22","813","22","835","","0","813","22","835","22","813","71","221","10","40","6","254","2","37","5","149","4","2","12","29.10.12"
"440874","108","Луганська область","управління житлово-комунального господарства, актова зала
вул.Погорєлова, 5, м.Красний Луч, Луганська обл., 94501","1062","561","1060","21","483","18","501","","0","483","18","501","10","491","41","73","15","39","5","155","0","22","5","125","2","0","9","29.10.12"
"440875","108","Луганська область","вище професійне училище №64, фойє
вул.Горна, 2, м.Красний Луч, Луганська обл., 94513","1860","809","1847","41","1020","31","1051","","0","0","0","1051","18","1033","83","226","21","33","13","416","2","35","11","158","0","0","35","01.11.12"
"440876","108","Луганська область","Краснолуцька санепідемстанція, фойє
вул.Хасанова, 23, м.Красний Луч, Луганська обл., 94517","1248","556","1236","21","673","19","692","","0","0","0","692","16","676","50","147","16","21","7","252","1","23","7","140","5","2","5","31.10.12"
"440877","108","Луганська область","клуб 5 воєнізованого гірничо-рятувального загону, актова зала
вул.Орджонікідзе, 20, м.Красний Луч, Луганська обл., 94520","1356","686","1330","25","649","21","670","","0","649","21","670","10","660","41","77","18","40","4","297","0","27","3","142","3","2","6","29.10.12"
"440878","108","Луганська область","управління матеріально-технічного забезпечення, актова зала
вул.Дубенка, 24, м.Красний Луч, Луганська обл., 94520","996","509","986","15","472","15","487","","0","472","15","487","11","476","30","94","24","22","6","178","1","15","2","93","3","1","7","29.10.12"
"440879","108","Луганська область","центр культури, фойє
вул.К.Маркса, 4, м.Красний Луч, Луганська обл., 94520","1716","741","1686","16","960","15","975","","0","960","15","975","24","951","89","200","31","53","15","331","5","30","8","174","3","2","10","29.10.12"
"440880","108","Луганська область","школа №10, вестибюль
вул.Леніна, 37, м.Красний Луч, Луганська обл., 94520","1524","679","1529","19","827","18","845","","0","827","18","845","24","820","82","215","15","43","7","253","3","28","3","154","2","1","14","29.10.12"
"440881","108","Луганська область","дитяча музична школа №1, фойє, 2 поверх
вул.К.Маркса, 19, м.Красний Луч, Луганська обл., 94505","1380","674","1361","15","693","13","706","","0","693","13","706","19","687","67","80","12","22","8","276","4","29","13","167","2","1","6","29.10.12"
"440882","108","Луганська область","механо-складальний завод, зала засідань
вул.Транспортна, 1, м.Красний Луч, Луганська обл., 94505","996","457","980","16","523","16","539","","0","523","16","539","6","533","36","126","8","25","7","147","0","31","2","148","1","0","2","29.10.12"
"440883","108","Луганська область","школа №6, актова зала
вул.Антрацитівське шосе, 30, м.Красний Луч, Луганська обл., 94505","1680","825","1662","28","832","23","855","","0","832","23","855","28","827","70","240","13","36","9","242","1","13","9","175","7","0","12","29.10.12"
"440884","108","Луганська область","дитячий реабілітаційний центр №7 ""Ласточка"", фойє
вул.Клари Цеткін, 42, м.Красний Луч, Луганська обл., 94502","1296","709","1282","14","581","6","587","","0","581","6","587","17","570","60","64","7","36","10","158","0","58","0","168","0","1","8","29.10.12"
"440885","108","Луганська область","професійний будівельний ліцей, фойє, кабінет літератури
вул.Литвинова, 45А, м.Красний Луч, Луганська обл., 94502","1446","703","1411","19","728","15","743","","0","728","15","743","28","715","72","68","17","35","9","264","0","33","4","201","0","3","9","29.10.12"
"440886","108","Луганська область","школа №3, фойє
вул.Правди, 45, м.Красний Луч, Луганська обл., 94502","1992","981","1967","46","972","39","1011","","0","972","39","1011","24","987","100","53","13","54","7","282","3","38","6","415","4","2","10","29.10.12"
"440887","108","Луганська область","меблева фабрика, вестибюль
вул.Космічна, 1, м.Красний Луч, Луганська обл., 94502","1524","726","1505","18","781","17","798","","0","781","17","798","19","779","56","101","13","34","9","276","0","32","3","244","3","0","8","29.10.12"
"440888","108","Луганська область","клуб шахти ""Новопавлівська"", фойє
вул.Лузіна, 7А, м.Красний Луч, Луганська обл., 94509","1806","736","1785","40","1033","37","1070","","0","1033","37","1070","32","1038","140","70","19","47","10","292","1","37","12","399","5","3","3","29.10.12"
"440889","108","Луганська область","клуб шахти ""Міусинська"", фойє
вул.Комарова, 2В, м.Красний Луч, Луганська обл., 94508","1386","529","1374","44","820","37","857","","0","820","37","857","18","839","91","156","14","23","5","186","2","20","4","328","0","0","10","29.10.12"
"440890","108","Луганська область","школа №13, фойє
вул.Е.Золя, 9, м.Красний Луч, Луганська обл., 94508","972","476","969","27","478","18","496","","0","478","18","496","9","487","38","76","8","12","3","166","0","18","0","156","3","1","6","29.10.12"
"440891","108","Луганська область","будинок культури ""Енергетик"", фойє
вул.Дзержинського, 2, м.Міусинськ, м.Красний Луч, Луганська обл., 94534","678","287","678","27","366","25","391","","0","366","25","391","9","382","49","74","10","22","4","129","1","18","1","72","0","0","2","29.10.12"
"440892","108","Луганська область","енерготехнікум, фойє
вул.Кірова, 13, м.Міусинськ, м.Красний Луч, Луганська обл., 94534","666","327","669","27","316","23","339","","0","316","23","339","9","330","35","62","3","19","3","98","1","16","3","88","1","0","1","29.10.12"
"440893","108","Луганська область","школа №19, фойє
вул.Ярмарочна, 1, м.Міусинськ, м.Красний Луч, Луганська обл., 94533","1440","607","1423","65","769","64","833","","0","769","64","833","13","820","84","107","12","22","4","352","1","18","1","205","6","1","7","29.10.12"
"440894","108","Луганська область","Міусинська міська рада, фойє
вул.Октябрська, 15, м.Міусинськ, м.Красний Луч, Луганська обл., 94533","1386","563","1375","49","779","44","823","","0","779","44","823","16","807","66","206","6","20","4","266","1","13","0","224","1","0","0","29.10.12"
"440895","108","Луганська область","Хрустальненська селищна рада, конференцзал
вул.Б.Хмельницького, 26, смт Хрустальне, м.Красний Луч, Луганська обл., 94530","1068","399","1063","58","613","56","669","","0","613","56","669","13","656","30","111","5","27","8","278","0","17","3","167","2","0","8","29.10.12"
"440896","108","Луганська область","фельдшерсько-акушерський пункт, коридор
вул.Халтуріна, 1, с-ще Хрустальний, смт Хрустальне, м.Красний Луч, Луганська обл., 94567","162","38","166","11","114","10","124","","0","114","10","124","2","122","10","19","3","8","4","39","0","13","3","23","0","0","0","29.10.12"
"440897","108","Луганська область","клуб смт Княгинівка, фойє
вул.Леніна, 25, смт Княгинівка, м.Красний Луч, Луганська обл., 94532","792","328","772","27","437","27","464","","0","437","27","464","15","449","21","143","3","13","1","101","0","7","5","149","4","0","2","29.10.12"
"440898","108","Луганська область","навчально-виховний комплекс №1, коридор початкових класів
вул.Космічна, 1, м.Вахрушеве, м.Красний Луч, Луганська обл., 94562","1080","424","1064","35","625","31","656","","0","625","31","656","15","641","57","17","6","30","4","406","1","8","2","101","3","1","5","30.10.12"
"440899","108","Луганська область","клуб ім.Білухи М.М., фойє
кв.Белинського, 1В, м.Вахрушеве, м.Красний Луч, Луганська обл., 94562","1500","580","1473","40","889","31","920","","0","889","31","920","21","899","55","22","7","25","8","622","1","12","1","140","0","1","5","28.10.12"
"440900","108","Луганська область","адмінбудівля гірничозбагачувальної фабрики ""Хрустальська "", кімната нарядної
вул.Луначарського, 2, м.Вахрушеве, м.Красний Луч, Луганська обл., 94562","834","331","834","38","471","32","503","","0","471","32","503","18","485","21","7","14","50","1","292","1","10","2","81","2","1","3","29.10.12"
"440901","108","Луганська область","навчально-виховний комплекс №4 ""Вікторія"", хол
вул.Гагаріна, 13, м.Вахрушеве, м.Красний Луч, Луганська обл., 94560","1224","562","1204","40","628","34","662","","0","628","34","662","16","646","41","102","14","19","2","323","3","13","1","114","5","0","9","29.10.12"
"440902","108","Луганська область","будинок культури м.Вахрушеве, фойє, 2-й поверх
вул.Калініна, 17, м.Вахрушеве, м.Красний Луч, Луганська обл., 94560","1584","754","1542","42","791","39","830","","0","791","39","830","23","807","109","50","7","11","0","429","0","13","5","173","5","2","3","29.10.12"
"440903","108","Луганська область","навчально-виховний комплекс №2 ""Берегиня"", фойє
вул.Пушкіна, 1, м.Вахрушеве, м.Красний Луч, Луганська обл., 94560","1968","973","1941","21","974","21","995","","0","974","21","995","30","965","84","160","4","29","3","480","3","25","4","163","3","1","6","29.10.12"
"440904","108","Луганська область","навчально-виховний комплекс №3 ""Світанок"", приміщення шкільної рекреації
вул.Л.Українки, 24, м.Вахрушеве, м.Красний Луч, Луганська обл., 94563","954","393","943","46","517","44","561","","0","517","44","561","8","553","50","116","12","6","3","250","3","24","4","83","1","0","1","31.10.12"
"440905","108","Луганська область","клуб, вестибюль
вул.Тімірязєва, 1, смт Садово-Хрустальненський, м.Вахрушеве, м.Красний Луч, Луганська обл., 94566","390","150","390","16","225","15","240","","0","225","15","240","5","235","29","7","0","12","3","100","0","10","0","71","1","0","2","29.10.12"
"440906","108","Луганська область","школа №27, фойє
вул.Комсомольська, 62, смт Софіївський, м.Красний Луч, Луганська обл., 94552","1326","411","1317","65","857","58","915","","0","857","58","915","25","890","101","98","12","38","3","188","2","28","3","404","4","4","5","30.10.12"
"440907","108","Луганська область","школа №31, фойє
вул.Шкільна, 16, смт Софіївський, м.Красний Луч, Луганська обл., 94553","1104","364","1089","59","694","46","740","","0","694","46","740","25","715","42","217","7","11","2","203","2","6","3","213","4","1","4","29.10.12"
"440908","108","Луганська область","адмінбудівля приватного сільського підприємства ""Зоря"", фойє
вул.Молодіжна, 11, смт Софіївський, м.Красний Луч, Луганська обл., 94552","462","166","458","21","275","21","296","","0","275","21","296","6","290","16","26","8","8","0","89","1","8","0","132","1","0","1","29.10.12"
"440909","108","Луганська область","школа №32, фойє
вул.Авіаційна, 20, смт Грушове, м.Красний Луч, Луганська обл., 94555","678","226","679","41","412","40","452","","0","412","40","452","9","443","62","11","4","14","3","67","1","16","3","249","12","0","1","29.10.12"
"440910","108","Луганська область","клуб смт Запоріжжя, фойє
вул.Енгельса, 6, смт Запоріжжя, м.Красний Луч, Луганська обл., 94550","702","267","707","60","384","51","435","","0","384","51","435","14","421","73","8","6","64","7","24","1","9","6","216","4","2","1","30.10.12"
"440911","108","Луганська область","клуб смт Штерівка, фойє
вул.Леніна 1, смт Штерівка, м.Красний Луч, Луганська обл., 94548","978","304","974","48","628","46","674","","0","628","46","674","20","654","63","248","1","7","6","89","0","12","9","213","4","0","2","29.10.12"
"440912","108","Луганська область","школа №22, фойє
вул.Леніна, 3, м.Петровське, м.Красний Луч, Луганська обл., 94540","1680","772","1672","37","875","33","908","","0","875","33","908","22","886","77","186","5","40","7","178","2","22","5","351","5","5","3","29.10.12"
"440913","108","Луганська область","виконком Петровської міської ради, фойє
пл.Свободи, 1, м.Петровське, м.Красний Луч, Луганська обл., 94540","2094","942","2075","31","1130","22","1152","","0","1130","22","1152","24","1128","72","207","13","54","11","311","5","39","3","403","4","1","5","29.10.12"
"440914","108","Луганська область","контора агрофірми ""Колос"", кімната побуту
вул.Совхозна, 4, м.Петровське, м.Красний Луч, Луганська обл., 94540","570","212","576","27","333","25","358","","0","333","25","358","12","346","25","58","5","17","4","68","1","24","7","132","1","1","3","29.10.12"
"440915","108","Луганська область","будівля їдальні хімкомбінату, обідня зала
вул.Первомайська, 8, м.Петровське, м.Красний Луч, Луганська обл., 94540","876","405","856","45","430","41","471","","0","430","41","471","11","460","49","102","4","16","8","91","0","19","0","163","1","1","6","29.10.12"
"440916","108","Луганська область","товариство з обмеженою відповідальністю ""Житниця"", актова зала
вул.Робоча, 2, м. Петровське, м.Красний Луч, Луганська обл., 94540","552","259","543","25","268","25","293","","0","268","25","293","14","279","22","55","2","17","1","53","2","16","2","103","2","1","3","29.10.12"
"440917","108","Луганська область","клуб ім.Щорса, глядацька зала
вул.Ювілейна, 54, смт Федорівка, м.Петровське, м.Красний Луч, Луганська обл., 94540","372","124","373","68","186","62","248","","0","186","62","248","5","243","12","4","2","15","3","93","1","13","0","97","3","0","0","29.10.12"
"440918","108","Луганська область","школа №36, зала їдальні
вул.Красна, 41, м.Петровське, м.Красний Луч, Луганська обл., 94540","1368","603","1349","77","699","66","765","","0","699","66","765","16","749","71","221","6","18","3","153","2","28","4","230","6","4","3","29.10.12"
"440919","108","Луганська область","дитяча школа мистецтв, конференцзала
вул.Леніна, 23, м.Петровське, м.Красний Луч, Луганська обл., 94540","900","419","908","30","456","25","481","","0","456","25","481","16","465","44","94","3","17","5","112","0","20","3","166","0","1","0","29.10.12"
"440920","108","Луганська область","будинок культури, танцфойє
вул.Леніна, 14А, м.Петровське, м.Красний Луч, Луганська обл., 94540","1584","759","1557","38","793","32","825","","0","0","0","825","11","814","55","195","1","25","9","175","3","32","5","306","4","1","3","01.11.12"
