"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баркасов
Олексій
Володимирович","Бондарєв
Віктор
Леонідович","Гайдей
Олександр
Петрович","Доровський
Юрій
Михайлович","Ільченко
Костянтин
Григорійович","Коваль
Олександр
Іванович","Степанець
Олена
Миколаївна","Дата підписання протоколу"
"441057","111","Луганська область","будинок культури імені Шевченка, фойє, 1-й поверх
вул.Леніна, 1, смт Великокам’янка, м.Ровеньки, Луганська обл., 94785","952","344","937","68","549","59","608","","0","549","59","608","38","570","11","115","202","6","1","207","28","28.10.12"
"441058","111","Луганська область","клуб, глядацька зала
вул.Шевченка, 36, с-ще Новоукраїнка, м.Ровеньки, Луганська обл., 94784","240","69","237","8","165","6","171","","0","165","6","171","13","158","3","41","36","1","1","74","2","28.10.12"
"441059","111","Луганська область","будинок культури, фойє
вул.Ворошилова, 79, смт Пролетарський, м.Ровеньки, Луганська обл., 94784","1168","414","1151","42","716","38","754","","0","716","38","754","28","726","13","204","168","12","8","307","14","29.10.12"
"441060","111","Луганська область","бібліотека, читацька зала
вул.Леніна, 68А, с.Чапаєвка, м.Ровеньки, Луганська обл., 94784","320","83","324","17","222","15","237","","0","222","15","237","16","221","2","70","39","3","0","99","8","29.10.12"
"441061","111","Луганська область","Ясенівська гімназія, їдальня
вул.Стаханова, 27, смт Ясенівський, м.Ровеньки, Луганська обл., 94780","2272","1027","2221","59","1195","50","1245","","0","1195","50","1245","35","1210","19","385","235","30","6","490","45","29.10.12"
"441062","111","Луганська область","Ясенівська гімназія №2, їдальня, 2-й поверх
вул.Гагаріна, 17, смт Ясенівський, м.Ровеньки, Луганська обл., 94781","1280","471","1261","45","770","39","809","","0","770","39","809","35","774","11","244","141","12","8","318","40","29.10.12"
"441063","111","Луганська область","виконком селищної ради, зал реєстрації шлюбу, 1-й поверх
вул.Леніна, 18, смт Ясенівський, м.Ровеньки, Луганська обл., 94781","1000","411","986","24","567","22","589","","0","567","22","589","22","567","11","158","143","8","4","228","15","29.10.12"
"441064","111","Луганська область","будинок культури імені Горького, фойє, 1-й поверх
вул.Леніна, 21, смт Ясенівський, м.Ровеньки, Луганська обл., 94781","2272","1008","2237","63","1219","45","1264","","0","1219","45","1264","52","1212","17","436","193","25","6","488","47","29.10.12"
"441065","111","Луганська область","контора сільськогосподарського виробничого комплексу імені Кірова, кабінет бухгалтера
вул.Леніна, 32, с.Благівка, м.Ровеньки, Луганська обл., 94793","800","344","787","52","408","48","456","","0","408","48","456","18","438","6","69","99","19","7","223","15","29.10.12"
"441066","111","Луганська область","клуб, фойє
вул.Гагаріна, 40А, с.Грибуваха, м.Ровеньки, Луганська обл., 94793","432","203","420","29","206","23","229","","0","206","23","229","11","218","2","45","72","1","1","93","4","29.10.12"
"441067","111","Луганська область","багатопрофільна міська лікарня, масажний кабінет, 1-й поверх
вул.Шевченка, 11, м.Ровеньки, Луганська обл., 94701","504","460","52","23","24","20","44","","0","24","20","44","2","42","5","11","5","0","0","20","1","29.10.12"
"441068","111","Луганська область","протитуберкульозний диспансер, фойє, 1-й поверх
вул.Весела, 1А, смт Новодар’ївка, м.Ровеньки, Луганська обл., 94786","96","56","40","0","40","0","40","","0","40","0","40","1","39","4","10","6","1","1","14","3","28.10.12"
"441092","111","Луганська область","ВП ""Вантажно-транспортне управління"", вестибюль, 1-й поверх
вул.Міра, 3, м.Свердловськ, Луганська обл., 94801","1664","831","1639","67","777","56","833","","0","777","56","833","38","795","12","129","180","26","32","382","34","29.10.12"
"441093","111","Луганська область","ВП ""Обчислювальний центр"", вестибюль, 1-й поверх
вул.Якіра, ВП ""Обчислювальний центр"", м.Свердловськ, Луганська обл., 94801","1088","502","1083","27","560","26","586","","0","560","26","586","24","562","7","89","131","22","18","254","41","29.10.12"
"441094","111","Луганська область","школа №4, їдальня
вул.Зарєчная, 55, м.Свердловськ, Луганська обл., 94801","1336","752","1325","22","566","18","584","","0","566","18","584","22","562","5","74","119","18","13","293","40","29.10.12"
"441095","111","Луганська область","школа №2, каб.104
вул.Куйбишева, школа №2, м.Свердловськ, Луганська обл., 94802","2024","1014","1986","55","966","44","1010","","0","966","44","1010","35","975","14","112","281","30","20","443","75","29.10.12"
"441096","111","Луганська область","молодіжний культурно-дозвільний центр ""Побєда"", вестибюль
вул.Жилова, молодіжний культурно-дозвільний центр ""Побєда"", м.Свердловськ, Луганська обл., 94801","1696","782","1680","33","888","26","914","","0","888","26","914","38","876","33","105","232","27","21","421","37","29.10.12"
"441097","111","Луганська область","ВП ""Шахтобудівельне управління"", вестибюль, 2-й поверх
вул.Горюшкіна, 1, м.Свердловськ, Луганська обл., 94802","1176","599","1178","39","539","38","577","","0","539","38","577","26","551","9","98","172","14","9","231","18","29.10.12"
"441098","111","Луганська область","ВАТ ""Свердловський машинобудівельний завод"", адміністративна будівля, вестибюль
вул.Заводская, 1, м.Свердловськ, Луганська обл., 94801","1592","816","1592","78","706","70","776","","0","706","70","776","31","745","6","102","161","20","13","392","51","29.10.12"
"441099","111","Луганська область","школа №11, вестибюль
пл.Дружби, 6, м.Свердловськ, Луганська обл., 94801","2424","1169","2394","48","1217","38","1255","","0","1217","38","1255","45","1210","21","171","219","46","30","651","72","29.10.12"
"441100","111","Луганська область","палац культури ім.Свердлова, правий кулуар, 1-й поверх
вул.Енгєльса, 45, м.Свердловськ, Луганська обл., 94801","1848","851","1826","46","958","39","997","","0","958","39","997","36","961","13","122","210","29","20","514","53","29.10.12"
"441101","111","Луганська область","ВП ""Центр підготовки кадрів"", вестибюль
вул.Тельмана, ВП ""Центр підготовки кадрів"", м.Свердловск, Луганська обл., 94801","1416","688","1407","19","711","17","728","","0","711","17","728","27","701","14","95","155","29","15","356","37","29.10.12"
"441102","111","Луганська область","гірничий ліцей, їдальня
вул.Пірогова, 9, м.Свердловськ, Луганська обл., 94801","976","417","963","43","530","29","559","","0","530","29","559","22","537","20","68","130","26","16","257","20","29.10.12"
"441103","111","Луганська область","школа №9, спортивний зал, 1-й поверх
кв-л 50 лєт Октября, школа №9, м.Свердловськ, Луганська обл., 94809","1800","729","1778","42","1034","37","1071","","0","1034","37","1071","40","1031","12","112","243","26","27","539","72","29.10.12"
"441104","111","Луганська область","школа мистецтв №2, музикальний зал
вул.Украінская, школа мистецтв №2, м.Свердловськ, Луганська обл., 94809","1760","860","1718","34","875","25","900","","0","875","25","900","27","873","23","117","135","29","23","488","58","29.10.12"
"441105","111","Луганська область","комбінат комунальних підприємств, актовий зал
вул.Карла Маркса, 18, м.Свердловськ, Луганська обл., 94809","1824","854","1785","44","940","30","970","","0","940","30","970","43","927","14","123","215","27","26","466","56","29.10.12"
"441106","111","Луганська область","лісо-мисливське господарство, червоний куток
вул.Максіма Бриксіна, лісо-мисливське господарство, м.Свердловск, Луганська обл., 94809","1408","722","1393","30","659","27","686","","0","659","27","686","21","665","26","96","133","30","15","330","35","29.10.12"
"441107","111","Луганська область","школа №5, вестибюль
вул.Строітєльная, школа №5, м.Свердловськ, Луганська обл., 94809","2464","1313","2422","56","1111","40","1151","","0","1111","40","1151","50","1101","15","206","227","39","30","529","55","28.10.12"
"441108","111","Луганська область","ліцей №1, спортивний зал учбового корпусу №2
вул.Мірющенко, 1, м.Свердловськ, Луганська обл., 94801","1496","840","1477","32","629","27","656","","0","629","27","656","28","628","10","74","139","15","17","322","51","29.10.12"
"441109","111","Луганська область","гімназія №2, вестибюль
вул.Красноармєйская, гімназія №2, м.Свердловськ, Луганська обл., 94801","1416","744","1404","27","648","24","672","","0","648","24","672","28","644","13","79","149","25","23","319","36","28.10.12"
"441110","111","Луганська область","торгово-кулінарний ліцей, вестибюль учбового корпусу
вул.Гагаріна, торгово-кулінарний ліцей, м.Свердловськ, Луганська обл., 94812","1712","846","1691","53","826","40","866","","0","826","40","866","48","818","14","113","143","13","22","468","45","29.10.12"
"441111","111","Луганська область","будівельний ліцей, їдальня
вул.Карла Лібкнєхта, будівельний ліцей, м.Свердловськ, Луганська обл., 94812","1040","638","1027","13","393","9","402","","0","393","9","402","14","388","9","45","93","10","9","186","36","29.10.12"
"441112","111","Луганська область","ДП ""Укрдонбасекологія"", їдальня
вул.Карла Лібкнєхта, 18А, м.Свердловськ, Луганська обл., 94812","2440","1275","2379","18","1154","11","1165","","0","1154","11","1165","35","1130","23","175","214","38","28","601","51","29.10.12"
"441113","111","Луганська область","школа №6, вестибюль, 1-й поверх
кв-л 60 лєт СССР, школа №6, м.Свердловськ, Луганська обл., 94812","2224","1204","2173","17","1005","15","1020","","0","1005","15","1020","38","982","19","168","212","21","16","472","74","29.10.12"
"441114","111","Луганська область","школа мистецтв №3, зал для танців
кв-л 60 лєт СССР, 47, м.Свердловськ, Луганська обл., 94812","2304","1156","2261","34","1121","27","1148","","0","1121","27","1148","37","1111","22","171","261","33","32","514","78","29.10.12"
"441115","111","Луганська область","школа №8, вестибюль
кв-л Пролєтаріата Донбасса, школа №8, м.Свердловськ, Луганська обл., 94812","2088","1133","2055","24","937","18","955","","0","937","18","955","35","920","15","109","200","28","26","482","60","29.10.12"
"441116","111","Луганська область","школа-інтернат, вестибюль
вул.Гагаріна, 83А, м.Свердловськ, Луганська обл., 94810","2216","1035","2192","77","1117","64","1181","","0","1117","64","1181","44","1137","18","138","246","29","27","572","107","29.10.12"
"441117","111","Луганська область","УК ""КомЕнерго-Свердловськ"", вестибюль
кв-л Пролєтаріата Донбасса, 64, м.Свердловськ, Луганська обл., 94812","1776","849","1757","25","906","21","927","","0","906","21","927","42","885","16","110","171","22","47","460","59","29.10.12"
"441118","111","Луганська область","школа №7, вестибюль
пров.Покришкіна, 5, м.Свердловськ, Луганська обл., 94810","2256","1100","2216","57","1112","44","1156","","0","1112","44","1156","36","1120","21","165","185","23","36","609","81","29.10.12"
"441119","111","Луганська область","ПрАТ ""Свердловськекологія"", актовий зал
вул.Гагаріна, 159, м.Свердловськ, Луганська обл., 94810","1848","906","1825","50","896","46","942","","0","896","46","942","29","913","14","97","170","16","28","495","93","29.10.12"
"441120","111","Луганська область","школа №3, їдальня
вул.Школьная, школа №3, м.Свердловськ, Луганська обл., 94806","2472","1252","2443","50","1178","42","1220","","0","1178","42","1220","41","1179","20","181","228","27","19","623","81","29.10.12"
"441121","111","Луганська область","школа №12, вестибюль, 1-й поверх
вул.Фрунзе, школа №12, м.Свердловськ, Луганська обл., 94806","1872","870","1852","72","936","66","1002","","0","936","66","1002","28","974","17","157","169","26","15","516","74","29.10.12"
"441122","111","Луганська область","клуб шахти №71, зал для глядачів
вул.Тєрєшковой, 15, м.Свердловськ, Луганська обл., 94808","632","252","625","19","365","15","380","","0","365","15","380","19","361","2","33","61","6","9","204","46","29.10.12"
"441123","111","Луганська область","школа №2, вестибюль, 1-й поверх
вул.Спортивна, школа №2, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94832","1592","818","1560","43","742","32","774","","0","742","32","774","32","742","15","96","221","18","13","318","61","29.10.12"
"441124","111","Луганська область","центр дитячої та юнацької творчості, актовий зал
вул.Терешкової, 8, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94832","1616","729","1583","38","867","20","887","","0","867","20","887","43","844","24","114","221","5","19","381","80","29.10.12"
"441125","111","Луганська область","палац культури ім.В.І.Леніна, танцювальний зал
пл.Леніна, 5, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94830","1640","739","1597","34","874","27","901","","0","874","27","901","27","874","18","131","213","22","10","414","66","28.10.12"
"441126","111","Луганська область","гімназія, вестибюль, 1-й поверх
вул.Шкільна, гімназія, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94830","1352","572","1335","25","763","17","780","","0","763","17","780","30","750","11","115","190","13","13","346","62","29.10.12"
"441127","111","Луганська область","школа №1, вестибюль
вул.Гагаріна, 25, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94830","1480","686","1449","26","777","17","794","","0","777","17","794","32","762","11","105","199","23","13","341","70","29.10.12"
"441128","111","Луганська область","професійне-технічне вчилище №15, вестибюль
вул.Ворошилова, 11, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94830","1584","750","1554","18","820","14","834","","0","820","14","834","25","809","7","106","204","10","17","421","44","28.10.12"
"441129","111","Луганська область","школа №3, актовий зал
вул.Корчагіна, 9, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94831","2352","1136","2310","65","1175","41","1216","","0","1175","41","1216","44","1172","23","192","325","20","17","506","89","29.10.12"
"441130","111","Луганська область","будинок культури, танцювальний зал
вул.Леніна, будинок культури, смт Бірюкове, Свердловський р-н, Луганська обл., 94864","1552","757","1465","61","740","55","795","","0","740","55","795","24","771","20","124","174","20","14","362","57","29.10.12"
"441131","111","Луганська область","будинок творчості, зал народних інструментів
вул.Гагаріна, будинок творчості, смт Бірюкове, Свердловський р-н, Луганська обл., 94864","1512","697","1551","37","783","32","815","","0","783","32","815","23","792","15","133","175","18","12","364","75","29.10.12"
"441132","111","Луганська область","школа, вестибюль
вул.Центральна, школа, с-ще Довжанське, Свердловський р-н, Луганська обл., 94865","480","200","470","18","263","17","280","","0","263","17","280","8","272","4","30","35","3","4","193","3","28.10.12"
"441133","111","Луганська область","школа, вестибюль
вул.Шкільна, 5А, смт Володарськ, м.Свердловськ, Луганська обл., 94822","1128","528","1120","60","559","41","600","","0","559","41","600","18","582","11","44","148","11","8","303","57","29.10.12"
"441134","111","Луганська область","клуб, вестибюль
вул.Советська, 26, смт Володарськ, м.Свердловськ, Луганська обл., 94822","1216","562","1193","52","613","41","654","","0","613","41","654","18","636","13","78","146","9","5","325","60","28.10.12"
"441135","111","Луганська область","клуб, вестибюль
вул.Шевченка, 22А, смт Павлівка, м.Свердловськ, Луганська обл., 94820","768","310","753","50","415","43","458","","0","415","43","458","16","442","9","47","158","8","2","205","13","29.10.12"
"441136","111","Луганська область","школа, вестибюль
вул.Шкільна, школа, смт Калінінський, м.Свердловськ, Луганська обл., 94840","1664","698","1641","69","907","59","966","","0","907","59","966","40","926","17","97","241","17","55","429","70","28.10.12"
"441137","111","Луганська область","залізнична станція, зал очікування
вул.Железнодорожна, залізнична станція, с-ще Хмельницький, м.Свердловськ, Луганська обл., 94842","464","173","448","23","269","22","291","","0","269","22","291","8","283","2","27","43","7","7","161","36","28.10.12"
"441138","111","Луганська область","школа, вестибюль
вул.Піонерська, 26, смт Комсомольський, м.Свердловськ, Луганська обл., 94824","1344","490","1318","33","822","32","854","","0","822","32","854","19","835","21","111","165","10","17","426","85","29.10.12"
"441139","111","Луганська область","клуб, дискозал
вул.Леваневського, 68, смт Комсомольський, м.Свердловськ, Луганська обл., 94824","1432","499","1410","35","898","35","933","","0","898","35","933","11","922","13","87","196","9","12","521","84","29.10.12"
"441140","111","Луганська область","школа, спортивний зал
вул.З.Космодєм’янской, школа, смт Ленінське, м.Свердловськ, Луганська обл., 94835","944","402","941","24","519","23","542","","0","519","23","542","21","521","5","28","115","5","4","338","26","29.10.12"
"441141","111","Луганська область","селищна рада, актовий зал, 2-й поверх
вул.Маяковского, 68, смт Ленінське, м.Свердловськ, Луганська обл., 94835","1960","863","1928","69","1047","50","1097","","0","1047","50","1097","28","1069","9","81","206","11","30","667","65","29.10.12"
"441142","111","Луганська область","школа №1, вестибюль
вул.Калініна, 31, смт Шахтарське, м.Свердловськ, Луганська обл., 94853","1440","597","1409","90","775","68","843","","0","775","68","843","29","814","10","121","150","9","9","462","53","29.10.12"
"441143","111","Луганська область","клуб, вестибюль
вул.Лєрмонтова, 1А, смт Шахтарське, м.Свердловськ, Луганська обл., 94853","1288","445","1267","57","792","51","843","","0","792","51","843","37","806","12","87","115","7","6","517","62","29.10.12"
"441144","111","Луганська область","колишня школа №2, актовий зал
вул.Олєга Кошевого, 51А, смт Шахтарське, м.Свердловськ, Луганська обл., 94853","448","131","440","30","288","29","317","","0","288","29","317","11","306","5","28","69","3","5","178","18","28.10.12"
"441145","111","Луганська область","сільська рада, кабінет голови
вул.Крупської, 52, с.Олександрівка, Свердловський р-н, Луганська обл., 94860","520","170","516","34","321","29","350","","0","321","29","350","14","336","4","56","79","7","10","136","44","28.10.12"
"441146","111","Луганська область","сільський клуб, зал для глядачів
вул.Польова, сільський клуб, с.Панченкове, Свердловський р-н, Луганська обл., 94862","512","160","505","45","313","39","352","","0","313","39","352","7","345","10","32","101","3","3","175","21","28.10.12"
"441147","111","Луганська область","школа, вестибюль
вул.Ювілейна, школа, с.Карпове-Кріпенське, Свердловський р-н, Луганська обл., 94868","720","306","705","38","379","35","414","","0","379","35","414","17","397","5","51","43","5","4","273","16","29.10.12"
"441148","111","Луганська область","сільська рада, зал для реєстрації шлюбу
вул.Советська, 3, с.Дар’їно-Єрмаківка, Свердловський р-н, Луганська обл., 94866","432","188","428","34","213","31","244","","0","213","31","244","11","233","6","16","84","2","2","119","4","29.10.12"
"441149","111","Луганська область","школа, тир
вул.Соколовського, школа, с.Астахове, Свердловський р-н, Луганська обл., 94867","600","275","592","32","294","31","325","","0","294","31","325","12","313","1","33","71","9","1","192","6","29.10.12"
"441150","111","Луганська область","сільський клуб, танцювальний зал
вул.Октябрьская, 14А, с.Матвіївка, Свердловський р-н, Луганська обл., 94855","456","136","456","42","281","39","320","","0","281","39","320","8","312","4","42","41","11","8","186","20","29.10.12"
"441151","111","Луганська область","сільська рада, кабінет голови
вул.Гребенюка, 10, с.Медвежанка, Свердловський р-н, Луганська обл., 94850","880","400","871","36","448","32","480","","0","448","32","480","23","457","12","54","72","9","11","282","17","28.10.12"
"441152","111","Луганська область","сільський клуб, актовий зал
вул.Жовтнева, сільський клуб, с.Куряче, Свердловський р-н, Луганська обл., 94824","144","52","147","10","82","10","92","","0","82","10","92","2","90","1","6","24","2","0","53","4","29.10.12"
"441153","111","Луганська область","сільський будинок культури, вестибюль
вул.Шевченка, сільський будинок культури, с.Новоборовиці, Свердловський р-н, Луганська обл., 94870","896","394","876","78","429","73","502","","0","429","73","502","23","479","2","47","78","4","6","330","12","29.10.12"
"441154","111","Луганська область","сільський клуб, вестибюль
вул.Советська, 12, с.Провалля, Свердловський р-н, Луганська обл., 94851","936","386","916","63","493","57","550","","0","493","57","550","14","536","14","67","70","5","2","350","28","28.10.12"
"441155","111","Луганська область","сільська бібліотека, вестибюль
вул.Перемоги, 11А, с.Бобриківка, Свердловський р-н, Луганська обл., 94824","272","95","270","17","169","8","177","","0","169","8","177","2","175","6","25","26","2","4","91","21","28.10.12"
"441156","111","Луганська область","Свердловська центральна міська лікарня №1, бібліотека адміністративного корпусу
вул.Пірогова, 2, м.Свердловськ, Луганська обл., 94801","480","419","65","47","17","44","61","","0","17","44","61","3","58","0","8","6","3","1","39","1","29.10.12"
"441157","111","Луганська область","Свердловська обласна інфекційна лікарня, вестибюль
вул.Гагаріна, 138, м.Свердловськ, Луганська обл., 94810","80","53","27","0","27","0","27","","0","27","0","27","1","26","0","5","2","2","0","14","3","28.10.12"
"441158","111","Луганська область","Свердловська центральна міська лікарня №2, актовий зал, 2-й поверх
вул.Терешкової, 1, м.Червонопартизанськ, м.Свердловськ, Луганська обл., 94832","160","109","52","18","33","18","51","","0","33","18","51","0","51","1","8","9","3","1","26","3","29.10.12"
"441159","111","Луганська область","Бірюківська обласна психіатрична лікарня, вестибюль
вул.Гагаріна, 9А, смт Бірюкове, Свердловський р-н, Луганська обл., 94864","40","0","50","0","40","0","40","","0","40","0","40","0","40","2","11","4","0","0","21","2","29.10.12"
"441160","111","Луганська область","виправна колонія №38, робочий кабінет
вул.Профсоюзная, 16, смт Ленінське, м.Свердловськ, Луганська обл., 94835","1168","13","1156","0","1155","0","1155","","0","1155","0","1155","49","1106","18","55","11","12","5","996","9","28.10.12"
"441161","111","Луганська область","виправна колонія №68, клуб для засуджених
вул.Совхозна, 91, с.Панченкове, Свердловський р-н, Луганська обл., 94862","400","4","396","0","396","0","396","","0","396","0","396","1","395","4","7","3","4","0","375","2","28.10.12"
