"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойко
Володимир
Олександрович","Букаєва
Марина
Володимирівна","Данієлян
Вадим
Романович","Дудник
Олена
Григорівна","Кісельов
Олег
Валентинович","Корнієвський
Аркадій
Юрійович","Кривобоков
Артем
Анатолійович","Лозко
Ігор
Якович","Макаров
Костянтин
Костянтинович","Макаров
Олександр
Костянтинович","Медяник
Володимир
Юрійович","Моравський
Юрій
Вікторович","Павлінський
Олексій
Вікторович","Пригеба
Григорій
Валентинович","Рєзнік
Микола
Миколайович","Суглобов
Євген
Валерійович","Дата підписання протоколу"
"440124","109","Луганська область","сільська рада, актова зала
вул.Леніна, 12, с.Пархоменко, Краснодонський р-н, Луганська обл., 94450","1104","413","1094","52","639","52","691","","0","639","52","691","19","672","29","12","32","2","2","2","0","0","11","156","231","14","5","12","164","0","29.10.12"
"440125","109","Луганська область","сільський клуб, глядацька зала
вул.Дружби, 5, с.Кружилівка, Краснодонський р-н, Луганська обл., 94453","104","43","103","7","54","7","61","","0","54","7","61","2","59","1","0","3","0","0","0","0","0","3","18","24","0","0","1","8","1","29.10.12"
"440126","109","Луганська область","фельдшерсько-акушерський пункт, службова кімната
вул.Димченка, 68, с.Новокиївка, Краснодонський р-н, Луганська обл., 94454","96","23","94","12","61","12","73","","0","61","12","73","0","73","0","0","1","0","0","1","0","0","7","9","49","1","0","1","4","0","29.10.12"
"440127","109","Луганська область","школа, фойє
вул.Совхозна, 14, с.Огульчанськ, Краснодонський р-н, Луганська обл., 94454","552","159","545","23","370","23","393","","0","370","23","393","10","383","4","10","22","1","3","0","0","2","8","70","185","6","0","28","44","0","28.10.12"
"440128","109","Луганська область","школа, фойє
вул.Бикова, 27, с-ще Поріччя, Краснодонський р-н, Луганська обл., 94406","916","338","906","33","545","33","578","","0","545","33","578","13","565","1","62","85","2","5","1","2","0","11","88","237","14","3","13","39","2","29.10.12"
"440129","109","Луганська область","сільський клуб, глядацька зала
вул.Берегова, 19А, с.Королівка, Краснодонський р-н, Луганська обл., 94486","144","52","144","12","81","11","92","","0","81","11","92","2","90","0","12","5","0","1","0","0","0","4","20","40","1","0","2","4","1","29.10.12"
"440130","109","Луганська область","сільський клуб, глядацька зала
вул.Молодогвардійська, 34, с.Самсонівка, Краснодонський р-н, Луганська обл., 94472","1260","464","1245","83","719","77","796","","0","719","77","796","22","774","7","74","93","6","7","0","2","2","6","34","362","18","5","14","139","5","29.10.12"
"440131","109","Луганська область","школа, фойє
вул.Гагаріна, 1, с-ще Хрящувате, Краснодонський р-н, Луганська обл., 94457","1208","447","1181","56","705","56","761","","0","705","56","761","22","739","3","23","18","2","3","1","7","0","8","121","351","15","11","18","147","11","29.10.12"
"440132","109","Луганська область","ПСП ""Колос"", їдальня
вул.Річна, 19, с.Комісарівка, Краснодонський р-н, Луганська обл., 94455","204","56","201","12","137","11","148","","0","137","11","148","5","143","0","0","2","0","0","0","1","0","2","5","92","0","0","2","39","0","28.10.12"
"440133","109","Луганська область","Краснодонська центральна районна лікарня, актова зала
квартал Восточний, 1, смт Новосвітлівка, Краснодонський р-н, Луганська обл., 94455","172","59","116","5","109","4","113","","0","109","4","113","1","112","0","6","7","0","0","0","0","0","3","10","68","2","0","1","15","0","29.10.12"
"440788","109","Луганська область","школа мистецтв, хол
вул.Клубна, 1, м.Краснодон, Луганська обл., 94400","2064","790","2031","14","1261","13","1274","","0","1261","13","1274","43","1231","3","304","19","4","10","2","0","0","22","247","447","57","22","8","80","6","29.10.12"
"440789","109","Луганська область","гімназія, кабінет інформатики
квартал Советський, гімназія, м.Краснодон, Луганська обл., 94400","1528","738","1517","85","721","69","790","","0","721","69","790","21","769","2","160","8","1","3","0","1","0","18","106","336","26","16","9","81","2","29.10.12"
"440790","109","Луганська область","палац культури, фойє
пл.Леніна, 5, м.Краснодон, Луганська обл., 94400","1424","570","1399","34","827","27","854","","0","827","27","854","22","832","1","200","18","0","8","1","1","0","19","162","302","26","18","2","72","2","29.10.12"
"440791","109","Луганська область","школа №1, вестибюль
вул.Комсомольська, 4, м.Краснодон, Луганська обл., 94400","1376","570","1358","50","760","46","806","","0","760","46","806","23","783","0","184","20","3","1","1","1","1","9","119","326","15","11","8","77","7","02.11.12"
"440792","109","Луганська область","палац спорту, фойє
просп.ім.""Молодої гвардії"", 6А, м.Краснодон, Луганська обл., 94400","1416","605","1395","33","785","26","811","","0","785","26","811","28","783","2","157","15","0","9","0","1","2","10","97","378","33","7","6","60","6","02.11.12"
"440793","109","Луганська область","школа №24, вестибюль
вул.Артема, 1, м.Краснодон, Луганська обл., 94400","1440","713","1419","23","708","19","727","","0","708","19","727","21","706","1","131","16","1","6","1","0","1","11","136","289","32","13","7","56","5","29.10.12"
"440794","109","Луганська область","клуб, актова зала
вул.Шахтна, 1, м.Краснодон, Луганська обл., 94400","1128","542","1103","48","543","43","586","","0","543","43","586","19","567","2","86","6","2","4","0","1","0","14","71","312","9","8","9","42","1","29.10.12"
"440795","109","Луганська область","школа №4, вестибюль
вул.Р.Юркіна, 1, м.Краснодон, Луганська обл., 94400","2256","1099","2227","36","1125","32","1157","","0","1125","32","1157","30","1127","3","252","25","2","8","4","4","1","16","223","407","37","15","7","120","3","29.10.12"
"440796","109","Луганська область","школа №6, рекреація
вул.Красних партизанів, 18, м.Краснодон, Луганська обл., 94400","1864","858","1860","101","945","61","1006","","0","945","61","1006","25","980","3","124","9","1","8","0","1","1","29","185","508","18","10","1","77","5","29.10.12"
"440797","109","Луганська область","клуб імені М.Горького, концертна зала
вул.Чкалова, 18, м.Краснодон, Луганська обл., 94400","1236","646","1215","24","566","24","590","","0","566","24","590","17","573","1","81","16","1","3","2","3","1","17","124","236","15","6","6","57","4","29.10.12"
"440798","109","Луганська область","ТОВ ""Луганське енергетичне об’єднання"", червоний куток
вул.Лобачевського, 44, м.Краснодон, Луганська обл., 94400","1164","643","1150","61","479","42","521","","0","479","42","521","18","503","3","69","2","4","2","2","1","0","19","93","261","8","3","1","33","2","29.10.12"
"440799","109","Луганська область","Міськгаз, червоний куток
вул.Петровського, 2А, м.Краснодон, Луганська обл., 94400","1316","609","1318","55","652","55","707","","0","652","55","707","23","684","4","117","10","2","0","1","2","0","16","96","367","11","7","11","38","2","29.10.12"
"440800","109","Луганська область","СП ""Вуглепостачання"", червоний куток
квартал 10-й квартал 1-а лінія, 1, м.Краснодон, Луганська обл., 94400","1172","591","1164","46","536","45","581","","0","536","45","581","18","563","6","98","3","4","5","0","1","1","14","75","291","14","7","9","34","1","29.10.12"
"440801","109","Луганська область","промислово-економічний коледж, фойє
вул.Октябрська, 1-а лінія, 1, м.Краснодон, Луганська обл., 94400","984","468","976","49","472","44","516","","0","472","44","516","15","501","3","82","7","3","5","1","2","1","12","72","255","14","5","6","31","2","29.10.12"
"440802","109","Луганська область","школа №9, екологічна зала
вул.Макаренка, 5, м.Краснодон, Луганська обл., 94400","1748","878","1733","64","808","62","870","","0","808","62","870","16","854","5","166","15","2","10","3","2","1","18","107","410","32","8","7","62","6","28.10.12"
"440803","109","Луганська область","Управління монтажу, демонтажу, ремонту гірничошахтного обладнання, їдальня
просп.ім. 60-річчя СРСР, Управління монтажу, демонтажу, ремонту гірничошахтного обладнання, м.Краснодон, Луганська обл., 94400","776","317","773","32","429","30","459","","0","429","30","459","19","440","0","78","3","1","3","0","0","0","17","81","209","10","4","2","29","3","29.10.12"
"440804","109","Луганська область","Краснодонський факультет інженерії та менеджменту, актова зала
вул.Первоконна, 42, м.Краснодон, Луганська обл., 94400","872","335","867","32","509","28","537","","0","509","28","537","12","525","0","115","5","1","2","1","1","0","9","114","205","17","8","6","38","3","29.10.12"
"440805","109","Луганська область","дошкільний навчальний заклад ""Калинка"", група
вул.Красноармійська, 52, м.Краснодон, Луганська обл., 94400","1568","416","1536","90","1077","75","1152","","0","1077","75","1152","30","1122","3","187","15","1","5","4","3","3","16","104","663","27","13","7","69","2","29.10.12"
"440806","109","Луганська область","санітарно-епідеміологічна станція, актова зала
вул.Мечнікова, 1, м.Краснодон, Луганська обл., 94400","684","271","688","33","380","33","413","","0","380","33","413","6","407","1","82","8","3","0","0","1","0","13","59","166","18","2","2","50","2","28.10.12"
"440807","109","Луганська область","гуртожиток Краснодонського професійного торгово-кулінарного ліцею, хол
квартал Лютикова, 12, м.Краснодон, Луганська обл., 94400","1728","699","1708","26","1007","22","1029","","0","1007","22","1029","30","999","2","181","10","2","8","4","1","1","21","218","370","35","12","10","121","3","02.11.12"
"440808","109","Луганська область","школа №8, спортивна зала
квартал Лютикова, школа №8, м.Краснодон, Луганська обл., 94400","1912","818","1896","31","1073","21","1094","","0","1073","21","1094","27","1067","1","229","13","3","12","2","5","1","17","200","437","28","8","10","97","4","29.10.12"
"440809","109","Луганська область","школа №8, зала карате
квартал Лютикова, школа №8, м.Краснодон, Луганська обл., 94400","968","389","967","18","562","17","579","","0","562","17","579","14","565","1","102","7","2","8","2","0","0","6","64","279","22","4","4","63","1","29.10.12"
"440810","109","Луганська область","центр дитячої творчості, вестибюль
квартал Шахтьор, 11, м.Краснодон, Луганська обл., 94400","1892","909","1867","17","969","14","983","","0","969","14","983","33","950","3","227","14","2","7","2","1","2","18","169","383","39","5","6","65","7","29.10.12"
"440811","109","Луганська область","школа №2, блок шестирічок
квартал Баракова, школа №2, м.Краснодон, Луганська обл., 94400","1584","685","1567","10","893","6","899","","0","893","6","899","29","870","2","198","9","4","13","2","0","1","17","156","313","63","11","10","68","3","29.10.12"
"440812","109","Луганська область","школа №2, їдальня
квартал Баракова, школа №2, м.Краснодон, Луганська обл., 94400","1536","749","1520","2","785","2","787","","0","785","2","787","20","767","2","202","7","1","7","0","2","1","18","110","257","59","20","5","70","6","01.11.12"
"440813","109","Луганська область","професійний будівельний ліцей, їдальня
вул.Тюленіна, 1, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1940","926","1908","22","997","17","1014","","0","997","17","1014","30","984","3","113","12","5","11","2","4","1","18","134","465","32","17","14","143","10","29.10.12"
"440814","109","Луганська область","школа №7, рекреація, 2-й поверх
вул.Калініна, 1, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1820","875","1794","48","900","45","945","","0","900","45","945","41","904","5","67","11","1","3","0","1","2","26","139","489","32","5","11","109","3","29.10.12"
"440815","109","Луганська область","палац культури, фойє
вул.Клубна, 21А, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1612","643","1605","35","939","30","969","","0","939","30","969","44","925","10","95","17","5","7","3","2","1","21","119","429","30","17","18","144","7","29.10.12"
"440816","109","Луганська область","центр дитячої творчості №2, спортивна зала
вул.Молодіжна, 6, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1876","819","1844","52","1006","51","1057","","0","1006","51","1057","31","1026","3","91","13","2","12","0","2","0","32","209","500","22","5","2","126","7","29.10.12"
"440817","109","Луганська область","гуртожиток №6, їдальня
вул.Молодіжна, 9, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","2036","1023","2014","32","983","30","1013","","0","983","30","1013","47","966","6","101","14","2","10","3","5","0","33","172","463","37","12","8","96","4","29.10.12"
"440818","109","Луганська область","шахта ""Горіхівська"", актова зала
шахта ""Горіхівська"", с-ще Новосімейкіне, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","356","148","354","19","192","16","208","","0","192","16","208","9","199","1","12","1","1","3","0","0","2","3","41","80","8","4","1","41","1","29.10.12"
"440819","109","Луганська область","школа №10, рекреація
вул.Коцюбинського, 8, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","2484","1192","2458","53","1241","51","1292","","0","1241","51","1292","46","1246","3","145","16","3","10","1","4","1","31","246","553","49","11","13","151","9","29.10.12"
"440820","109","Луганська область","палац культури, фойє
вул.Леніна, 21, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","2384","1054","2339","50","1288","42","1330","","0","1288","42","1330","42","1288","6","147","8","17","5","1","2","28","188","601","65","17","10","18","170","5","29.10.12"
"440821","109","Луганська область","школа №21, рекреація
квартал Кошового, 47, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1684","769","1673","33","887","28","915","","0","887","28","915","35","880","4","120","14","5","13","2","3","1","20","128","418","41","9","7","88","7","29.10.12"
"440822","109","Луганська область","школа №21, рекреація, 2-й поверх
квартал Кошового, 47, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1968","981","1950","53","936","51","987","","0","936","51","987","35","952","1","96","16","3","8","2","5","3","16","200","450","43","11","2","94","2","29.10.12"
"440823","109","Луганська область","дошкільний навчальний заклад ""Ладусі"", спортивна зала
квартал Кошового, 24, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1184","546","1188","16","622","16","638","","0","622","16","638","26","612","4","92","7","2","6","2","4","0","14","90","282","21","5","5","75","3","29.10.12"
"440824","109","Луганська область","дитячий садок ""Колобок"", актова зала
вул.Гастелло, 4, м.Суходільськ, м.Краснодон, Луганська обл., 94420","864","359","852","39","471","34","505","","0","471","34","505","23","482","4","49","1","2","2","1","1","0","15","71","245","21","8","4","56","2","29.10.12"
"440825","109","Луганська область","шахта ""Дуванна"", їдальня
вул.Жуковського, шахта ""Дуванна"", м.Суходільськ, м.Краснодон, Луганська обл., 94420","860","364","854","28","473","23","496","","0","473","23","496","15","481","1","29","1","1","3","0","0","0","9","57","287","23","4","4","61","1","28.10.12"
"440826","109","Луганська область","школа №14, фойє, 2-й поверх
вул.Гастелло, 14, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1588","760","1566","73","762","66","828","","0","762","66","828","30","798","3","72","5","4","10","2","1","1","19","182","354","40","7","12","83","3","29.10.12"
"440827","109","Луганська область","школа-інтернат, фойє
вул.Леніна, 3, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2108","923","2066","46","1142","43","1185","","0","1142","43","1185","51","1134","6","126","17","5","19","2","3","1","30","174","531","58","7","7","138","10","29.10.12"
"440828","109","Луганська область","центр дитячої творчості, фойє
вул.Д.Виставкіна, 31, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1092","536","1081","48","518","38","556","","0","518","38","556","23","533","0","41","3","2","4","0","3","2","10","79","287","26","8","11","54","3","29.10.12"
"440829","109","Луганська область","гірнично-промисловий ліцей, актова зала, 2-й поверх
вул.Блюхера, 7, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2256","1078","2216","44","1148","30","1178","","0","1148","30","1178","30","1148","1","68","11","1","6","2","1","1","33","223","578","59","11","9","134","10","29.10.12"
"440830","109","Луганська область","палац культури, фойє
пл.Блюхера, 1, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2372","1119","2358","62","1199","54","1253","","0","1196","54","1250","32","1218","3","112","5","4","9","0","3","1","36","248","603","54","9","11","116","4","29.10.12"
"440831","109","Луганська область","школа №5, фойє
вул.Станіславського, 21, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1860","835","1855","27","1004","21","1025","","0","1004","21","1025","36","989","2","87","3","1","11","2","1","3","29","183","468","70","10","2","111","6","29.10.12"
"440832","109","Луганська область","школа №17, фойє
вул.Станіславського, 61, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2368","1217","2324","27","1125","26","1151","","0","1125","26","1151","35","1116","1","97","8","2","8","1","6","0","21","209","526","83","9","6","133","6","29.10.12"
"440833","109","Луганська область","школа №11, фойє
вул.Шкільна, 1, смт Урало-Кавказ, м.Краснодон, Луганська обл., 94440","772","322","767","39","420","30","450","","0","420","30","450","18","432","1","50","8","0","6","0","0","0","7","78","191","9","2","13","67","0","29.10.12"
"440834","109","Луганська область","амбулаторія, фойє
вул.Горького, 17, смт Урало-Кавказ, м.Краснодон, Луганська обл., 94440","728","352","718","39","342","34","376","","0","342","34","376","5","371","1","43","9","2","0","1","0","0","9","93","114","12","5","4","78","0","29.10.12"
"440835","109","Луганська область","ТОВ ""Перемога"", актова зала
вул.3-й квартал, ТОВ ""Перемога"", смт Урало-Кавказ, м.Краснодон, Луганська обл., 94440","600","239","596","30","333","28","361","","0","333","28","361","11","350","3","46","4","1","0","0","2","0","12","121","100","6","0","2","53","0","29.10.12"
"440836","109","Луганська область","будинок культури, фойє
вул.Клубна, 2А, смт Ізварине, м.Краснодон, Луганська обл., 94443","796","391","794","27","378","27","405","","0","378","27","405","8","397","2","36","1","1","0","0","2","0","11","98","218","5","3","2","18","0","29.10.12"
"440837","109","Луганська область","адміністративна будівля залізнична-дорожньої станції ""Ізварине"", фойє
вул.Вокзальна, 1, смт Ізварине, м.Краснодон, Луганська обл., 94443","372","165","368","16","191","16","207","","0","191","16","207","2","205","0","14","2","0","1","0","0","0","8","64","94","6","1","1","14","0","29.10.12"
"440838","109","Луганська область","школа №15, фойє
вул.Центральна, 23, смт Краснодарський, м.Краснодон, Луганська обл., 94446","208","34","211","14","160","14","174","","0","160","14","174","7","167","2","2","6","5","1","0","0","0","9","43","74","11","2","0","12","0","28.10.12"
"440839","109","Луганська область","палац культури, танцювальна зала
вул.Советська, 18, смт Сєверний, м.Краснодон, Луганська обл., 94425","1432","550","1347","68","814","68","882","","0","814","68","882","23","859","2","63","20","8","2","2","2","0","30","270","316","52","3","12","77","0","29.10.12"
"440840","109","Луганська область","школа №13, актова зала
вул.Почтова, 7, смт Сєверо-Гундорівський, м.Краснодон, Луганська обл., 94427","992","414","968","58","524","54","578","","0","524","54","578","12","566","1","24","13","1","2","1","1","2","21","137","258","28","3","6","67","1","29.10.12"
"440841","109","Луганська область","школа №18, фойє
вул.Карла Маркса, 12, смт Енгельсове, м.Краснодон, Луганська обл., 94433","692","234","683","28","430","28","458","","0","430","28","458","11","447","2","35","18","0","2","1","0","0","11","54","224","28","2","3","65","2","29.10.12"
"440842","109","Луганська область","приватний будинок, к.2
вул.Кірова, 22, с-ще Широке, м.Краснодон, Луганська обл., 94433","336","134","332","18","184","18","202","","0","184","18","202","2","200","0","10","10","0","2","0","0","0","12","53","64","10","1","2","36","0","29.10.12"
"440843","109","Луганська область","приватний будинок, к.2
вул.Леніна, 27, смт Гірне, м.Краснодон, Луганська обл., 94436","124","68","123","6","50","6","56","","0","50","6","56","2","54","0","11","7","0","0","0","0","0","2","4","22","4","0","0","4","0","29.10.12"
"440844","109","Луганська область","школа №22, рекреація
вул.Єлисеєнко, 17, смт Краснодон, м.Краснодон, Луганська обл., 94430","2156","1015","2112","43","1099","42","1141","","0","1099","42","1141","33","1108","3","115","94","6","9","3","1","3","26","204","381","22","14","11","212","4","29.10.12"
"440845","109","Луганська область","школа-інтернат, фойє
вул.Садова, 1А, смт Краснодон, м.Краснодон, Луганська обл., 94430","1868","832","1851","80","972","64","1036","","0","972","64","1036","30","1006","8","106","74","5","7","6","6","0","33","134","366","20","4","9","226","2","29.10.12"
"440846","109","Луганська область","приватна будівля, к.1
вул.Леніна, 2, с-ще Світличне, м.Краснодон, Луганська обл., 94436","80","17","78","0","63","0","63","","0","63","0","63","0","63","0","4","2","0","0","0","0","0","0","3","31","15","1","0","7","0","30.10.12"
"440847","109","Луганська область","центральна міська лікарня, актова зала
вул.Земнухова, 151, м.Краснодон, Луганська обл., 94400","304","157","167","56","103","44","147","","0","103","44","147","4","143","0","13","2","0","0","1","0","2","4","29","58","15","2","3","14","0","29.10.12"
"440848","109","Луганська область","міська лікарня №2, пал.3
вул.Больнична колона, 1, м.Краснодон, Луганська обл., 94400","40","4","36","7","29","7","36","","0","29","7","36","3","33","0","8","0","0","0","0","0","0","0","4","17","3","0","1","0","0","29.10.12"
"440849","109","Луганська область","виправна колонія, їдальня
вул.Карпинського, 46, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1172","33","1139","0","1139","0","1139","","0","1139","0","1139","12","1127","4","17","5","2","1","2","2","0","5","8","1052","10","7","6","5","1","29.10.12"
"441434","109","Луганська область","ДП ""Луганськвугілля"", актова зала
вул.Карла Маркса, 45, м.Луганськ, 91055","1736","662","1722","18","1058","16","1074","","0","1058","16","1074","43","1031","4","62","22","8","16","7","23","5","12","118","411","69","59","44","152","19","29.10.12"
"441435","109","Луганська область","Луганський обласний палац культури, фойє
вул.Пушкіна, 2, м.Луганськ, 91055","1004","432","998","15","557","15","572","","0","557","15","572","23","549","10","24","10","4","14","3","19","1","60","272","25","28","20","46","10","3","29.10.12"
