"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Біленький
Олександр
Юрійович","Бобошко
Микола
Михайлович","Бухалов
Олександр
Юрійович","Іоффе
Юлій
Якович","Клименко
Дмитро
Володимирович","Козюберда
Костянтин
Григорійович","Костєв
Микола
Михайлович","Радченко
Ігор
Олександрович","Сичова
Олена
Іванівна","Сінченко
Сергій
Григорович","Хохлов
Юрій
Миколайович","Дата підписання протоколу"
"440763","112","Луганська область","школа №13, хол
вул.Залізнична, 4, смт Ломуватка, м.Брянка, Луганська обл., 94193","696","258","691","20","421","17","438","","0","421","17","438","20","418","4","7","122","180","3","3","7","24","3","3","62","29.10.12"
"440764","112","Луганська область","клуб шахти Вергулівська, фойє
вул.Центральна, 1, смт Вергулівка, м.Брянка, Луганська обл., 94195","948","347","917","33","571","30","601","","0","571","30","601","20","581","6","2","155","265","4","2","11","15","9","11","101","29.10.12"
"440765","112","Луганська область","клуб, фойє
вул.Бабушкіна, клуб, смт Ганнівка, м.Брянка, Луганська обл., 94191","186","56","190","17","113","17","130","","0","113","17","130","2","128","2","0","45","50","1","0","1","9","0","0","20","28.10.12"
"440766","112","Луганська область","центральна лікарня, хол
вул.Доватора, 1, м.Брянка, Луганська обл., 94101","216","93","206","34","90","33","123","","0","90","33","123","5","118","0","1","50","49","0","0","2","7","0","0","9","28.10.12"
"440767","112","Луганська область","протитуберкульозний диспансер, хол
вул.Комінтерна, 186, м.Брянка, Луганська обл., 94103","30","7","28","0","23","0","23","","0","23","0","23","0","23","0","0","8","9","0","0","0","5","0","0","1","28.10.12"
"440768","112","Луганська область","міська лікарня №5, хол
вул.Аненська, 11А, м.Брянка, Луганська обл., 94104","54","14","41","10","30","10","40","","0","30","10","40","0","40","0","0","7","18","0","1","1","9","0","0","4","28.10.12"
"440769","112","Луганська область","міська лікарня №3, червоний куток
вул.Цілинна, 7А, смт Южна Ломуватка, м.Брянка, Луганська обл., 94194","54","29","25","0","25","0","25","","0","25","0","25","0","25","0","0","8","6","0","0","0","5","1","1","4","28.10.12"
"440770","112","Луганська область","виправна колонія №11, клуб, актова зала
вул.Залізняка, 6А, м.Брянка, Луганська обл., 94106","1295","115","1182","0","1180","0","1180","","0","1180","0","1180","130","1050","19","12","32","792","38","25","9","49","32","21","21","28.10.12"
"440771","112","Луганська область","школа №5, каб.1, 1-й поверх
вул.Філатова, 5, м.Кіровськ, Луганська обл., 93805","2196","1033","2160","100","1080","83","1163","","0","1080","83","1163","66","1097","5","16","379","406","13","7","11","57","11","14","178","28.10.12"
"440772","112","Луганська область","школа №6, коридор, 1-й поверх
вул.Лермонтова, 16А, м.Кіровськ, Луганська обл., 93806","2124","962","2097","122","1066","96","1162","","0","1066","96","1162","40","1122","11","32","412","357","2","2","9","51","28","3","215","29.10.12"
"440773","112","Луганська область","школа №1, їдальня, 1-й поверх
вул.Войкова, 66, м.Кіровськ, Луганська обл., 93808","1428","633","1414","58","739","56","795","","0","739","56","795","49","746","2","32","252","234","2","3","10","42","3","21","145","29.10.12"
"440774","112","Луганська область","школа №1, вестибюль, 1-й поверх
вул.Войкова, 66, м.Кіровськ, Луганська обл., 93808","1470","680","1442","110","687","103","790","","0","687","103","790","33","757","6","34","248","278","4","2","8","28","2","16","131","29.10.12"
"440775","112","Луганська область","міський палац, фойє, 1-й поверх
вул.Театральна, 1Б, м.Кіровськ, Луганська обл., 93801","1326","620","1310","29","678","28","706","","0","678","28","706","34","672","1","22","221","257","6","4","7","29","21","4","100","29.10.12"
"440776","112","Луганська область","школа №2, фойє, 1-й поверх
квартал 60 лєт Октября, 23, м.Кіровськ, Луганська обл., 93801","2046","870","2017","42","1140","36","1176","","0","1140","36","1176","41","1135","6","33","428","393","7","2","16","52","10","25","163","29.10.12"
"440777","112","Луганська область","міський музей, виставочна зала, 1-й поверх
квартал 60 лєт Октября, 3А, м.Кіровськ, Луганська обл., 93801","1386","655","1373","34","700","31","731","","0","700","31","731","32","699","3","29","245","229","3","3","10","31","5","18","123","29.10.12"
"440778","112","Луганська область","транспортний технікум, їдальня, 1-й поверх
вул.Правди, 10, м.Кіровськ, Луганська обл., 93801","2304","956","2273","66","1296","52","1348","","0","1296","52","1348","61","1287","5","33","469","441","9","6","19","80","13","33","179","29.10.12"
"440779","112","Луганська область","школа №3, вчительська, 1-й поверх
вул.Макаренка, 26, м.Кіровськ, Луганська обл., 93801","1680","791","1662","37","856","33","889","","0","856","33","889","26","863","5","19","348","252","6","3","12","53","6","40","119","29.10.12"
"440780","112","Луганська область","центр позашкільної роботи, фойє, 1-й поверх
вул.Леніна, 1, м.Кіровськ, Луганська обл., 93801","2406","1097","2362","66","1258","51","1309","","0","1258","51","1309","55","1254","8","32","439","453","5","9","17","58","20","11","202","30.10.12"
"440781","112","Луганська область","гімназія, спортзала, 1-й поверх
вул.Леніна, 7, м.Кіровськ, Луганська обл., 93801","2268","1042","2248","78","1163","63","1226","","0","1163","63","1226","60","1166","5","30","376","463","5","6","12","51","10","35","173","29.10.12"
"440782","112","Луганська область","професійний ліцей, фойє, 1-й поверх
вул.Пугачова, 2, м.Кіровськ, Луганська обл., 93805","546","235","553","33","280","31","311","","0","280","31","311","9","302","3","6","101","112","4","1","4","19","6","5","41","28.10.12"
"440783","112","Луганська область","навчально-виховний комплекс №16, гардеробна, 1-й поверх
вул.Некрасова, 2, м.Кіровськ, Луганська обл., 93803","1752","792","1737","71","893","67","960","","0","893","67","960","50","910","5","13","330","273","6","5","2","34","5","33","204","29.10.12"
"440784","112","Луганська область","навчально-виховний комплекс №18, коридор, 2-й поверх
вул.Московська, 1, смт Червоногвардійське, м.Кіровськ, Луганська обл., 93892","1314","627","1296","88","609","78","687","","0","609","78","687","22","665","6","11","169","346","7","2","9","27","3","8","77","29.10.12"
"440785","112","Луганська область","школа №21, каб.1, 1-й поверх
вул.Московська, 23, смт Донецький, м.Кіровськ, Луганська обл., 93890","1056","453","1034","85","527","76","603","","0","527","76","603","37","566","3","6","143","284","9","6","6","20","3","4","82","29.10.12"
"440786","112","Луганська область","школа №21, актова зала, 1-й поверх
вул.Московська, 23, смт Донецький, м.Кіровськ, Луганська обл., 93890","1680","851","1643","120","714","115","829","","0","714","115","829","34","795","6","7","194","417","7","3","10","20","4","7","120","29.10.12"
"440787","112","Луганська область","навчально-виховний комплекс №10, фойє, 1-й поверх
вул.Піонерська, 2, смт Новотошківське, м.Кіровськ, Луганська обл., 93891","1764","867","1740","72","838","59","897","","0","838","59","897","26","871","6","15","212","384","7","3","5","34","3","9","193","29.10.12"
"440981","112","Луганська область","Первомайський професійний гірничий ліцей імені О.І.Бахмутського, актовий зал, 1-й поверх
вул.Бахмутського, 1, м.Первомайськ, Луганська обл., 93200","2058","947","2028","48","1069","42","1111","","0","1069","42","1111","68","1043","14","5","343","460","5","11","42","58","6","6","93","29.10.12"
"440982","112","Луганська область","спеціалізована школа №6, вестибюль, 1-й поверх
вул.Київська, 7, м.Первомайськ, Луганська обл., 93200","1764","738","1705","32","996","30","1026","","0","996","30","1026","67","959","5","6","321","389","10","5","37","54","5","5","122","29.10.12"
"440983","112","Луганська область","ПАТ ""Первомайське ШПУ по бурінню стволів і свердловин"", кабінет нарядної
вул.Воровського, 22, м.Первомайськ, Луганська обл., 93200","1500","680","1476","6","817","3","820","","0","817","3","820","49","771","6","7","321","261","9","1","29","36","6","17","78","29.10.12"
"440984","112","Луганська область","клуб імені Крупської, фойє
вул.Ілліча, 9, м.Первомайськ, Луганська обл., 93200","2358","1136","2309","33","1200","22","1222","","0","1200","22","1222","67","1155","11","9","364","499","4","9","54","51","8","6","140","29.10.12"
"440985","112","Луганська область","спортивний зал дитячо-юнацької спортивної школи, спортивний зал
вул.Кооперативна, 6, м.Первомайськ, Луганська обл., 93203","882","372","873","31","479","31","510","","0","0","0","510","20","490","2","5","230","176","2","2","4","16","4","6","43","30.10.12"
"440986","112","Луганська область","ВП ""Спецуправління"", фойє, 1-й поверх
вул.Партизан, 1А, м.Первомайськ, Луганська обл., 93203","774","377","754","8","389","8","397","","0","389","8","397","15","382","3","7","181","112","3","2","10","15","2","7","40","29.10.12"
"440989","112","Луганська область","ДП ""Первомайськпогрузтранс"", кімната красний уголок
вул.Тельмана, 9, м.Первомайськ, Луганська обл., 93205","798","343","787","33","425","30","455","","0","425","30","455","30","425","2","6","159","186","2","1","15","25","3","4","22","29.10.12"
"440990","112","Луганська область","ТДВ ""Первомайський електромеханічний завод імені К.Маркса"", будівля їдальні
пров.Заводський, 7, м.Первомайськ, Луганська обл., 93205","1428","502","1411","129","820","106","926","","0","820","106","926","49","876","12","11","330","361","14","4","18","34","7","9","76","29.10.12"
"440991","112","Луганська область","ВП ""Ремонтно-механічний завод імені Бахмутського"", коридор, 1-й поверх
вул.Коваленка, 9, м.Первомайськ, Луганська обл., 93205","768","352","766","19","397","19","416","","0","397","19","416","16","400","3","1","205","129","4","2","8","17","2","1","28","28.10.12"
"440992","112","Луганська область","залізничний вокзал, зал очікування
вул.Аніченка, 5А, м.Первомайськ, Луганська обл., 93205","648","294","641","26","328","26","354","","0","328","26","354","22","332","3","5","154","115","5","2","8","7","5","5","23","28.10.12"
"440993","112","Луганська область","спортивний зал с-ща Сокологорівка, спортивний зал, 1-й поверх
вул.Садова, 28А, м.Первомайськ, Луганська обл., 93207","1104","501","1081","46","562","41","603","","0","562","41","603","31","572","4","4","266","195","2","2","12","17","5","12","53","29.10.12"
"440994","112","Луганська область","школа №8, їдальня, 1-й поверх
вул.Терьошина, 15, м.Первомайськ, Луганська обл., 93207","786","407","767","33","350","29","379","","0","350","29","379","25","354","1","5","171","107","3","0","3","13","2","2","47","28.10.12"
"440995","112","Луганська область","Палац культури імені Островського, фойє
вул.Миру, 1А, м.Золоте, м.Первомайськ, Луганська обл., 93299","1832","687","1793","68","1088","57","1145","","0","1088","57","1145","60","1085","9","13","380","461","8","7","21","80","6","7","93","29.10.12"
"440996","112","Луганська область","школа №4, коридор, 1-й поверх
вул.Войкова, 3А, м.Золоте, м.Первомайськ, Луганська обл., 93299","1038","431","945","70","546","61","607","","0","546","61","607","30","577","3","4","210","246","6","6","12","22","5","6","57","29.10.12"
"440997","112","Луганська область","клуб імені Дзержинського, фойє
вул.Комсомольська, 14, м.Золоте, м.Первомайськ, Луганська обл., 93298","858","283","848","22","556","19","575","","0","556","19","575","29","546","6","8","163","222","4","0","8","18","4","5","108","29.10.12"
"440998","112","Луганська область","школа №14, спортивний зал, 1-й поверх
вул.Театральна, 2, м.Золоте, м.Первомайськ, Луганська обл., 93297","1098","396","1082","22","684","18","702","","0","684","18","702","29","673","4","4","194","336","9","6","15","23","3","3","76","28.10.12"
"440999","112","Луганська область","клуб ""Шахтар"", фойє
вул.Петровського, 51А, м.Золоте, м.Первомайськ, Луганська обл., 93294","816","323","813","24","470","23","493","","0","470","23","493","16","477","4","8","159","234","2","4","7","20","3","1","35","29.10.12"
"441000","112","Луганська область","Золотовська багатопрофільна гімназія, спортивний зал, 1-й поверх
квартал Сонячний, 12, м.Золоте, м.Первомайськ, Луганська обл., 93295","2363","1124","2318","47","1208","31","1239","","0","1208","31","1239","56","1183","7","2","378","552","8","5","17","105","9","7","93","29.10.12"
"441001","112","Луганська область","Палац культури ""Красний Октябрь"", фойє
вул.Піонерська, 18, м.Золоте, м.Первомайськ, Луганська обл., 93295","1416","616","1402","35","765","35","800","","0","765","35","800","40","760","3","4","216","352","6","9","24","44","6","9","87","29.10.12"
"441002","112","Луганська область","школа №5, їдальня
вул.Коцюбинського, 28, м.Золоте, м.Первомайськ, Луганська обл., 93295","906","397","895","33","478","31","509","","0","478","31","509","25","484","4","5","163","213","8","3","6","26","2","3","51","29.10.12"
"441003","112","Луганська область","АПК шахти ""Карбоніт"", хол
вул.Луначарського, 1, м.Золоте, м.Первомайськ, Луганська обл., 93295","1182","611","1155","27","547","24","571","","0","547","24","571","28","543","5","4","142","237","5","4","18","50","7","2","69","29.10.12"
"441004","112","Луганська область","АПК ЗФ ""Гірська"", хол
вул.Станціонна, 1, м.Гірське, м.Первомайськ, Луганська обл., 93292","1428","528","1428","53","847","53","900","","0","847","53","900","32","868","5","6","169","536","5","6","9","36","8","3","85","29.10.12"
"441005","112","Луганська область","Гірська школа мистецтв, навчальний клас, 1-й поверх
вул.Совєцька, 26, м.Гірське, м.Первомайськ, Луганська обл., 93292","846","332","853","23","492","22","514","","0","492","22","514","17","497","2","7","112","304","0","0","7","22","1","7","35","29.10.12"
"441006","112","Луганська область","АПК шахти ""Гірська"", 1-й поверх
вул.Куйбишева, 21, м.Гірське, м.Первомайськ, Луганська обл., 93292","552","215","542","21","320","17","337","","0","320","17","337","12","325","1","2","84","178","4","0","8","20","1","3","24","28.10.12"
"441007","112","Луганська область","Палац культури ""Україна"", фойє
вул.Гагаріна, 13А, м.Гірське, м.Первомайськ, Луганська обл., 93292","1488","530","1453","24","946","12","958","","0","946","12","958","28","930","5","6","156","626","4","6","9","44","3","0","71","30.10.12"
"441008","112","Луганська область","Гірська багатопрофільна гімназія, спортивний зал, 1-й поверх
вул.Гагаріна, 19, м.Гірське, м.Первомайськ, Луганська обл., 93292","1650","622","1634","36","1000","28","1028","","0","1000","28","1028","33","995","4","4","240","606","7","2","14","51","4","4","59","28.10.12"
"441009","112","Луганська область","школа №15, хол, 1-й поверх
вул.Первомайська, 88, м.Гірське, м.Первомайськ, Луганська обл., 93293","804","246","801","35","526","32","558","","0","526","32","558","28","530","1","0","60","399","5","2","3","10","5","3","42","29.10.12"
"441010","112","Луганська область","клуб ""Маяк"", фойє
вул.Челюскіна, 2, смт Тошківка, м.Первомайськ, Луганська обл., 93281","1944","737","1921","82","1132","75","1207","","0","1132","75","1207","58","1149","11","8","313","603","6","6","28","40","12","8","114","29.10.12"
"441011","112","Луганська область","клуб 7-й річниці Великого Октября, фойє
вул.Леніна, 12, смт Тошківка, м.Первомайськ, Луганська обл., 93280","1128","317","1115","142","678","133","811","","0","678","133","811","33","778","7","7","174","444","9","7","6","46","1","18","59","29.10.12"
"441012","112","Луганська область","Нижнєнська селищна рада, актовий зал
вул.Леніна, 11А, смт Нижнє, м.Первомайськ, Луганська обл., 93290","1440","559","1417","144","771","110","881","","0","771","110","881","46","835","9","23","78","423","14","10","21","39","12","21","185","29.10.12"
"441013","112","Луганська область","Нижнєнський навчально-виховний комплекс, спортивна кімната, 1-й поверх
вул.Шкільна, 16, смт Нижнє, м.Первомайськ, Луганська обл., 93291","618","186","607","31","405","27","432","","0","0","0","432","14","418","2","7","159","163","2","1","7","17","4","3","53","30.10.12"
"441014","112","Луганська область","Первомайська багатопрофільна міська лікарня, хол, 1-й поверх
вул.Тимошенко, 13, м.Первомайськ, Луганська обл., 93205","156","111","61","11","36","9","45","","0","36","9","45","0","45","1","0","9","20","0","0","0","8","0","0","7","29.10.12"
"441015","112","Луганська область","Первомайський міський пологовий будинок, актовий зал, 1-й поверх
вул.Тимошенко, 15, м.Первомайськ, Луганська обл., 93205","156","24","133","15","117","15","132","","0","117","15","132","3","129","0","1","14","101","1","1","4","2","1","2","2","29.10.12"
"441069","112","Луганська область","Рубіжанський міський ліцей, актова зала, 2-й поверх
вул.Будівельників, 32, м.Рубіжне, Луганська обл., 93012","2118","1116","2084","11","995","7","1002","","0","995","7","1002","40","962","1","1","152","579","5","55","3","85","14","8","59","29.10.12"
"441070","112","Луганська область","Рубіжанський міський ліцей, спортивна зала, 2-й поверх
вул.Будівельників, 32, м.Рубіжне, Луганська обл., 93012","2298","1218","2280","18","1067","13","1080","","0","1067","13","1080","40","1040","4","1","115","660","2","51","6","119","5","12","65","29.10.12"
"441071","112","Луганська область","центральна міська бібліотека, хол
вул.Леніна, 51, м.Рубіжне, Луганська обл., 93012","2316","1232","2278","9","1076","8","1084","","0","1076","8","1084","33","1051","0","7","134","627","4","49","7","143","8","17","55","29.10.12"
"441072","112","Луганська область","школа №2, хол, 1-й поверх
просп.Кірова, 28, м.Рубіжне, Луганська обл., 93011","2382","1086","2347","31","1270","26","1296","","0","1270","26","1296","28","1268","7","1","117","801","13","96","3","117","6","23","84","29.10.12"
"441073","112","Луганська область","комунальне підприємство ""РВУВКГ"", червоний куточок, 2-й поверх
вул.Мєндєлєєва, 49, м.Рубіжне, Луганська обл., 93010","2364","1288","2342","51","1026","50","1076","","0","1026","50","1076","35","1041","5","9","111","609","2","75","5","130","14","14","67","28.10.12"
"441074","112","Луганська область","клуб боксу ""Ринг"", хол
вул.Мєндєлєєва, 47А, м.Рубіжне, Луганська обл., 93010","2484","1184","2450","54","1254","46","1300","","0","1254","46","1300","62","1238","1","6","95","792","3","59","10","161","15","15","81","29.10.12"
"441075","112","Луганська область","школа №7, фойє, 1-й поверх
вул.Визволителів, 53, м.Рубіжне, Луганська обл., 93010","2454","1189","2415","58","1221","44","1265","","0","1221","44","1265","56","1209","6","3","104","704","4","75","12","132","6","22","141","30.10.12"
"441076","112","Луганська область","школа №1, їдальня, 1-й поверх
вул.Смирнова, 27, м.Рубіжне, Луганська обл., 93003","2496","1345","2466","50","1112","39","1151","","0","1112","39","1151","37","1114","2","8","110","663","6","68","5","123","11","11","107","29.10.12"
"441077","112","Луганська область","школа №5, фойє, 1-й поверх
вул.Свердлова, 9, м.Рубіжне, Луганська обл., 93008","2483","1328","2451","51","1115","40","1155","","0","1115","40","1155","37","1118","1","4","67","730","4","69","8","131","7","0","97","29.10.12"
"441078","112","Луганська область","філія МКУ ""Палац культури"", фойє, 1-й поверх, праве крило
вул.Чехова, 11, м.Рубіжне, Луганська обл., 93001","1536","645","1518","48","851","40","891","","0","851","40","891","47","844","7","5","58","475","29","64","9","93","15","17","72","29.10.12"
"441079","112","Луганська область","філія МКУ ""Палац культури"", фойє, 1-й поверх, ліве крило
вул.Чехова, 11, м.Рубіжне, Луганська обл., 93001","1644","754","1637","56","843","47","890","","0","843","47","890","25","865","5","1","75","489","3","83","9","111","12","13","64","29.10.12"
"441080","112","Луганська область","школа №10, фойє, 1-й поверх, праве крило
вул.Будівельників, 28, м.Рубіжне, Луганська обл., 93012","2208","1069","2153","31","1110","29","1139","","0","1110","29","1139","26","1113","3","6","99","741","2","66","7","101","8","11","69","29.10.12"
"441081","112","Луганська область","школа №10, фойє, 1-й поверх, ліве крило
вул.Будівельників, 28, м.Рубіжне, Луганська обл., 93012","2316","1054","2292","26","1238","24","1262","","0","1238","24","1262","55","1207","5","2","91","803","5","61","6","128","5","23","78","29.10.12"
"441082","112","Луганська область","МКУ ""Палац культури"", мала зала, 2-й поверх
пл.Леніна, 1, м.Рубіжне, Луганська обл., 93010","2010","991","1986","40","983","36","1019","","0","983","36","1019","35","984","2","6","36","651","8","64","5","116","35","6","55","29.10.12"
"441083","112","Луганська область","МКУ ""Палац культури"", фойє, 2-й поверх
пл.Леніна, 1, м.Рубіжне, Луганська обл., 93010","2130","1026","2098","38","1072","32","1104","","0","1072","32","1104","43","1061","2","8","68","660","2","93","4","115","12","20","77","29.10.12"
"441084","112","Луганська область","школа №8, вестибюль, 1-й поверх
вул.Мєндєлєєва, 35, м.Рубіжне, Луганська обл., 93010","2490","1205","2475","70","1229","56","1285","","0","1229","56","1285","52","1233","5","6","66","816","8","69","5","134","13","15","96","29.10.12"
"441085","112","Луганська область","Рубіжанський політехнічний коледж, хол, 1-й поверх
пров.Клубний, 12, м.Рубіжне, Луганська обл., 93003","2454","1298","2428","63","1101","55","1156","","0","1101","55","1156","30","1126","5","5","58","775","5","49","3","101","17","18","90","29.10.12"
"441086","112","Луганська область","Рубіжанський індустріально-педагогічний технікум, вестибюль, 1-й поверх
вул.Померанчука, 28, м.Рубіжне, Луганська обл., 93009","2292","1131","2319","75","1095","66","1161","","0","1095","66","1161","35","1126","9","4","138","701","10","52","12","101","7","24","68","29.10.12"
"441087","112","Луганська область","школа №6, їдальня, 2-й поверх
вул.Леніна, 19, м.Рубіжне, Луганська обл., 93009","2358","1274","2338","62","1030","54","1084","","0","1030","54","1084","39","1045","1","2","106","642","5","58","3","115","18","13","82","29.10.12"
"441088","112","Луганська область","Інститут хімічних технологій СНУ імені В.Даля, хол, 1-й поверх
вул.Леніна, 31, м.Рубіжне, Луганська обл., 93009","2322","1118","2280","66","1148","56","1204","","0","1148","56","1204","42","1162","3","3","58","780","5","78","4","114","9","19","89","29.10.12"
"441089","112","Луганська область","Рубіжанський професійний ліцей, їдальня, 1-й поверх
вул.Будівельників, 39, м.Рубіжне, Луганська обл., 93009","1638","812","1632","15","815","11","826","","0","815","11","826","40","786","3","1","82","478","1","48","5","89","16","13","50","29.10.12"
